7434_75939_000000_000000	Chapter XXXII.	Chapter thirty two.	false	0.48	21.58	24.3996
7434_75939_000115_000000	"There is no time to be lost."	"There is no time to be lost."	true	882.98	884.77	21.592505
7434_75939_000116_000000	"Oh, I will use the utmost diligence.	"Oh, I will use the utmost diligence.	true	884.93	887.23	24.020594
7434_75939_000116_000001	There is a repetition of the ballet this afternoon."	There is a repetition of the ballet this afternoon."	true	887.33	890.23	24.056131
7434_75939_000117_000000	"You will read her a lecture while you are dancing?"	"You will read her a lecture while you are dancing?"	true	890.72	893.17	23
7434_75939_000118_000000	"Yes, madame."	"Yes, madame."	true	893.63	894.55	31.685484
7434_75939_000119_000000	"You promise to convert her?"	"You promise to convert her?"	true	895.25	896.89	21.303722
7434_75939_000120_000000	"I will root out the heresy altogether, either by convincing her, or by extreme measures."	"I will root out the heresy altogether, either by convincing her, or by extreme measures."	true	897.26	902.35	23.234299
7434_75939_000121_000000	"That is all right, then.	"That is all right, then.	true	903.17	904.51	22.719992
7434_75939_000121_000001	Do not mix me up in the affair; Madame would never forgive me all her life, and as a mother-in-law, I ought to desire to live on good terms with my new-found daughter."	Do not mix me up in the affair; Madame would never forgive me all her life, and as a mother in law, I ought to desire to live on good terms with my new found daughter."	false	904.67	913.3	23.445208
7434_75939_000122_000000	"The king, madame, will take all upon himself.	"The king, madame, will take all upon himself.	true	914.27	917.02	25.59227
7434_75939_000122_000001	But let me reflect."	But let me reflect."	true	917.18	918.64	29.933102
7434_75939_000123_000000	"What about?"	"What about?"	true	919.22	920.68	34.506702
7434_75939_000124_000000	"It would be better, perhaps, if I were to go and see Madame in her own apartment."	"It would be better, perhaps, if I were to go and see Madame in her own apartment."	true	920.75	924.76	31.20894
7434_75939_000125_000000	"Would that not seem a somewhat serious step to take?"	"Would that not seem a somewhat serious step to take?"	true	925.28	928.54	26.910717
7434_75939_000126_000000	"Yes; but seriousness is not unbecoming in preachers, and the music of the ballet would drown half my arguments.	"Yes; but seriousness is not unbecoming in preachers, and the music of the ballet would drown half my arguments.	true	929.63	936.04	26
7434_75939_000126_000001	Besides, the object is to prevent any violent measures on my brother's part, so that a little precipitation may be advisable.	Besides, the object is to prevent any violent measures on my brother's part, so that a little precipitation may be advisable.	true	936.53	943.42	24.694685
7434_75939_000126_000002	Is Madame in her own apartment?"	Is Madame in her own apartment?"	true	943.43	945.28	31.10531
7434_75939_000127_000000	"I believe so."	"I believe so."	true	946.13	947.23	28.3292
7434_75939_000128_000000	"What is my statement of grievances to consist of?"	"What is my statement of grievances to consist of?"	true	948.08	950.83	24.410921
7434_75939_000129_000000	"In a few words, of the following: music uninterruptedly; Guiche's assiduity; suspicions of treasonable plots and practices."	"In a few words, of the following: music uninterruptedly; Guiche's assiduity; suspicions of treasonable plots and practices."	true	952.01	961.15	23.770216
7434_75939_000130_000000	"And the proofs?"	"And the proofs?"	true	961.73	962.68	40.559162
7434_75939_000131_000000	"There _are_ none."	"There underscore are underscore none."	false	963.08	964.21	22.217798
7434_75939_000132_000000	"Very well; I will go at once to see Madame." The king turned to look in the mirrors at his costume, which was very rich, and his face, which was radiant as the morning.	"Very well; I will go at once to see Madame." The king turned to look in the mirrors at his costume, which was very rich, and his face, which was radiant as the morning.	true	965.15	975.43	21.083858
7434_75939_000132_000001	"I suppose my brother is kept a little at a distance," said the king.	"I suppose my brother is kept a little at a distance," said the king.	true	976.37	979.96	24.875862
7434_75939_000133_000000	"Fire and water cannot be more opposite."	"Fire and water cannot be more opposite."	true	980.78	983.38	17.276117
7434_75939_000134_000000	"That will do.	"That will do.	true	984.17	985.15	30.989986
7434_75939_000134_000001	Permit me, madame, to kiss your hands, the most beautiful hands in France."	Permit me, madame, to kiss your hands, the most beautiful hands in France."	true	985.37	989.53	23.85548
7434_75939_000135_000000	"May you be successful, sire, as the family peacemaker."	"May you be successful, sire, as the family peacemaker."	true	990.35	993.58	20.82183
7434_75939_000136_000000	"I do not employ an ambassador," said Louis, "which is as much as to say that I shall succeed." He laughed as he left the room, and carelessly adjusted his ruffles as he went along.	"I do not employ an ambassador," said Louis, "which is as much as to say that I shall succeed." He laughed as he left the room, and carelessly adjusted his ruffles as he went along.	false	994.4	1006.8	22.356136
7434_75939_000137_000000	Chapter XXXIII.	Chapter thirty three.	false	1006.8	1007.58	27
7434_75939_000137_000001	The Mediator.	The Mediator.	false	1007.58	1007.58	
7434_75939_000138_000000	When the king made his appearance in Madame's apartments, the courtiers, whom the news of a conjugal misunderstanding had dispersed through the various apartments, began to entertain the most serious apprehensions.	When the king made his appearance in Madame's apartments, the courtiers, whom the news of a conjugal misunderstanding had dispersed through the various apartments, began to entertain the most serious apprehensions.	false	1007.58	1007.58	
7434_75939_000138_000001	A storm was brewing in that direction, the elements of which the Chevalier de Lorraine, in the midst of the different groups, was analyzing with delight, contributing to the weaker, and acting, according to his own wicked designs, in such a manner with regard to the stronger, as to produce the most disastrous consequences possible.	A storm was brewing in that direction, the elements of which the Chevalier de Lorraine, in the midst of the different groups, was analyzing with delight, contributing to the weaker, and acting, according to his own wicked designs, in such a manner with regard to the stronger, as to produce the most disastrous consequences possible.	false	1007.58	1007.58	
7434_75939_000138_000002	As Anne of Austria had herself said, the presence of the king gave a solemn and serious character to the event.	As Anne of Austria had herself said, the presence of the king gave a solemn and serious character to the event.	false	1007.58	1007.58	
7434_75939_000138_000003	Indeed, in the year 1662, the dissatisfaction of Monsieur with Madame, and the king's intervention in the private affairs of Monsieur, was a matter of no inconsiderable moment.	Indeed, in the year sixteen sixty two, the dissatisfaction of Monsieur with Madame, and the king's intervention in the private affairs of Monsieur, was a matter of no inconsiderable moment.	false	1007.58	1009.83	26.448366
7434_75939_000138_000004	[3]	[three]	false	1009.83	1009.86	3
