7484_39971_000000_000000	Summary.	Summary.	false	0	0.21	11
7484_39971_000012_000001	It makes it possible to act with an end in view.	It makes it possible to act with an end in view.	true	1228.7	1231.99	29.3448
7484_39971_000012_000002	It is the condition of our having aims.	It is the condition of our having aims.	true	1232.24	1234.87	23.56899
7484_39971_000012_000003	As soon as an infant begins to expect he begins to use something which is now going on as a sign of something to follow; he is, in however simple a fashion, judging.	As soon as an infant begins to expect he begins to use something which is now going on as a sign of something to follow; he is, in however simple a fashion, judging.	true	1235.18	1246.33	23.046686
7484_39971_000012_000004	For he takes one thing as evidence of something else, and so recognizes a relationship.	For he takes one thing as evidence of something else, and so recognizes a relationship.	true	1246.58	1252.45	21.804237
7484_39971_000012_000005	Any future development, however elaborate it may be, is only an extending and a refining of this simple act of inference.	Any future development, however elaborate it may be, is only an extending and a refining of this simple act of inference.	false	1253.12	1261.21	23.865318
7484_39971_000012_000006	All that the wisest man can do is to observe what is going on more widely and more minutely and then select more carefully from what is noted just those factors which point to something to happen.	All that the wisest man can do is to observe what is going on more widely and more minutely and then select more carefully from what is noted just those factors which point to something to happen.	false	1261.67	1272.85	21
7484_39971_000012_000007	The opposites, once more, to thoughtful action are routine and capricious behavior.	The opposites, once more, to thoughtful action are routine and capricious behavior.	true	1273.28	1279.33	26.103764
7484_39971_000012_000008	The former accepts what has been customary as a full measure of possibility and omits to take into account the connections of the particular things done.	The former accepts what has been customary as a full measure of possibility and omits to take into account the connections of the particular things done.	true	1279.91	1288.78	24
7484_39971_000012_000009	The latter makes the momentary act a measure of value, and ignores the connections of our personal action with the energies of the environment.	The latter makes the momentary act a measure of value, and ignores the connections of our personal action with the energies of the environment.	true	1288.97	1298.47	23.556965
7484_39971_000012_000010	It says, virtually, "things are to be just as I happen to like them at this instant," as routine says in effect "let things continue just as I have found them in the past." Both refuse to acknowledge responsibility for the future consequences which flow from present action.	It says, virtually, "things are to be just as I happen to like them at this instant," as routine says in effect "let things continue just as I have found them in the past." Both refuse to acknowledge responsibility for the future consequences which flow from present action.	true	1298.72	1317.82	23.547493
7484_39971_000012_000011	Reflection is the acceptance of such responsibility.	Reflection is the acceptance of such responsibility.	true	1318.04	1321.36	26
7484_39971_000013_000000	The starting point of any process of thinking is something going on, something which just as it stands is incomplete or unfulfilled.	The starting point of any process of thinking is something going on, something which just as it stands is incomplete or unfulfilled.	true	1323.89	1331.59	23.897667
7484_39971_000013_000001	Its point, its meaning lies literally in what it is going to be, in how it is going to turn out.	Its point, its meaning lies literally in what it is going to be, in how it is going to turn out.	true	1331.99	1338.73	20.975992
7484_39971_000013_000002	As this is written, the world is filled with the clang of contending armies.	As this is written, the world is filled with the clang of contending armies.	true	1339.28	1343.74	22.159672
7484_39971_000013_000003	For an active participant in the war, it is clear that the momentous thing is the issue, the future consequences, of this and that happening.	For an active participant in the war, it is clear that the momentous thing is the issue, the future consequences, of this and that happening.	true	1344.44	1353.07	24.9181
7484_39971_000013_000004	He is identified, for the time at least, with the issue; his fate hangs upon the course things are taking.	He is identified, for the time at least, with the issue; his fate hangs upon the course things are taking.	true	1353.59	1360.21	25.489494
7484_39971_000013_000005	But even for an onlooker in a neutral country, the significance of every move made, of every advance here and retreat there, lies in what it portends. To think upon the news as it comes to us is to attempt to see what is indicated as probable or possible regarding an outcome.	But even for an onlooker in a neutral country, the significance of every move made, of every advance here and retreat there, lies in what it portends. To think upon the news as it comes to us is to attempt to see what is indicated as probable or possible regarding an outcome.	true	1360.64	1379.62	22.687586
7484_39971_000013_000006	To fill our heads, like a scrapbook, with this and that item as a finished and done-for thing, is not to think.	To fill our heads, like a scrapbook, with this and that item as a finished and done for thing, is not to think.	true	1380.08	1387.66	23.008839
7484_39971_000013_000007	It is to turn ourselves into a piece of registering apparatus.	It is to turn ourselves into a piece of registering apparatus.	true	1388.15	1392.55	23.467344
7484_39971_000013_000008	To consider the bearing of the occurrence upon what may be, but is not yet, is to think.	To consider the bearing of the occurrence upon what may be, but is not yet, is to think.	true	1392.92	1398.82	23.068329
7484_39971_000013_000009	Nor will the reflective experience be different in kind if we substitute distance in time for separation in space.	Nor will the reflective experience be different in kind if we substitute distance in time for separation in space.	true	1399.19	1406.68	22.617702
7484_39971_000013_000010	Imagine the war done with, and a future historian giving an account of it.	Imagine the war done with, and a future historian giving an account of it.	true	1407.41	1412.65	21.691643
7484_39971_000013_000011	The episode is, by assumption, past.	The episode is, by assumption, past.	true	1413.05	1416.22	20.954903
7484_39971_000013_000012	But he cannot give a thoughtful account of the war save as he preserves the time sequence; the meaning of each occurrence, as he deals with it, lies in what was future for it, though not for the historian.	But he cannot give a thoughtful account of the war save as he preserves the time sequence; the meaning of each occurrence, as he deals with it, lies in what was future for it, though not for the historian.	true	1416.62	1428.61	23.480207
7484_39971_000013_000013	To take it by itself as a complete existence is to take it unreflectively. Reflection also implies concern with the issue--a certain sympathetic identification of our own destiny, if only dramatic, with the outcome of the course of events.	To take it by itself as a complete existence is to take it unreflectively. Reflection also implies concern with the issue-a certain sympathetic identification of our own destiny, if only dramatic, with the outcome of the course of events.	true	1429.07	1445.14	23.89136
7484_39971_000013_000014	For the general in the war, or a common soldier, or a citizen of one of the contending nations, the stimulus to thinking is direct and urgent.	For the general in the war, or a common soldier, or a citizen of one of the contending nations, the stimulus to thinking is direct and urgent.	true	1445.75	1455.76	20.32318
7484_39971_000013_000015	For neutrals, it is indirect and dependent upon imagination.	For neutrals, it is indirect and dependent upon imagination.	true	1456.04	1460.74	26.59214
7484_39971_000013_000016	But the flagrant partisanship of human nature is evidence of the intensity of the tendency to identify ourselves with one possible course of events, and to reject the other as foreign.	But the flagrant partisanship of human nature is evidence of the intensity of the tendency to identify ourselves with one possible course of events, and to reject the other as foreign.	true	1461.53	1472.89	22
7484_39971_000013_000017	If we cannot take sides in overt action, and throw in our little weight to help determine the final balance, we take sides emotionally and imaginatively.	If we cannot take sides in overt action, and throw in our little weight to help determine the final balance, we take sides emotionally and imaginatively.	true	1473.44	1483.99	23.041721
7484_39971_000013_000018	We desire this or that outcome.	We desire this or that outcome.	true	1484.21	1486.69	21.162197
7484_39971_000013_000019	One wholly indifferent to the outcome does not follow or think about what is happening at all.	One wholly indifferent to the outcome does not follow or think about what is happening at all.	true	1487.09	1492.78	24.733845
7484_39971_000013_000020	From this dependence of the act of thinking upon a sense of sharing in the consequences of what goes on, flows one of the chief paradoxes of thought.	From this dependence of the act of thinking upon a sense of sharing in the consequences of what goes on, flows one of the chief paradoxes of thought.	false	1493.3	1502.11	20.767616
7484_39971_000013_000021	Born in partiality, in order to accomplish its tasks it must achieve a certain detached impartiality.	Born in partiality, in order to accomplish its tasks it must achieve a certain detached impartiality.	true	1502.66	1509.91	27.930307
7484_39971_000013_000022	The general who allows his hopes and desires to affect his observations and interpretations of the existing situation will surely make a mistake in calculation.	The general who allows his hopes and desires to affect his observations and interpretations of the existing situation will surely make a mistake in calculation.	true	1510.4	1520.74	20.591944
7484_39971_000013_000023	While hopes and fears may be the chief motive for a thoughtful following of the war on the part of an onlooker in a neutral country, he too will think ineffectively in the degree in which his preferences modify the stuff of his observations and reasonings.	While hopes and fears may be the chief motive for a thoughtful following of the war on the part of an onlooker in a neutral country, he too will think ineffectively in the degree in which his preferences modify the stuff of his observations and reasonings.	false	1521.56	1537.09	23.825792
7484_39971_000013_000024	There is, however, no incompatibility between the fact that the occasion of reflection lies in a personal sharing in what is going on and the fact that the value of the reflection lies upon keeping one's self out of the data.	There is, however, no incompatibility between the fact that the occasion of reflection lies in a personal sharing in what is going on and the fact that the value of the reflection lies upon keeping one's self out of the data.	false	1537.55	1552.09	23.308474
7484_39971_000013_000025	The almost insurmountable difficulty of achieving this detachment is evidence that thinking originates in situations where the course of thinking is an actual part of the course of events and is designed to influence the result.	The almost insurmountable difficulty of achieving this detachment is evidence that thinking originates in situations where the course of thinking is an actual part of the course of events and is designed to influence the result.	true	1552.43	1566.94	24.833231
7484_39971_000013_000026	Only gradually and with a widening of the area of vision through a growth of social sympathies does thinking develop to include what lies beyond our direct interests: a fact of great significance for education.	Only gradually and with a widening of the area of vision through a growth of social sympathies does thinking develop to include what lies beyond our direct interests: a fact of great significance for education.	true	1567.34	1582.03	23.308743
7484_39971_000014_000000	To say that thinking occurs with reference to situations which are still going on, and incomplete, is to say that thinking occurs when things are uncertain or doubtful or problematic.	To say that thinking occurs with reference to situations which are still going on, and incomplete, is to say that thinking occurs when things are uncertain or doubtful or problematic.	true	1583.99	1596.58	23.389101
7484_39971_000014_000001	Only what is finished, completed, is wholly assured.	Only what is finished, completed, is wholly assured.	true	1596.98	1600.9	23.394995
7484_39971_000014_000002	Where there is reflection there is suspense.	Where there is reflection there is suspense.	true	1601.33	1604.11	21.682653
7484_39971_000014_000003	The object of thinking is to help reach a conclusion, to project a possible termination on the basis of what is already given.	The object of thinking is to help reach a conclusion, to project a possible termination on the basis of what is already given.	true	1604.42	1612.33	23
7484_39971_000014_000004	Certain other facts about thinking accompany this feature.	Certain other facts about thinking accompany this feature.	true	1612.73	1616.56	26.476948
7484_39971_000014_000005	Since the situation in which thinking occurs is a doubtful one, thinking is a process of inquiry, of looking into things, of investigating.	Since the situation in which thinking occurs is a doubtful one, thinking is a process of inquiry, of looking into things, of investigating.	true	1617.02	1625.53	23
7484_39971_000014_000006	Acquiring is always secondary, and instrumental to the act of inquiring.	Acquiring is always secondary, and instrumental to the act of inquiring.	false	1625.84	1630.6	22.822142
7484_39971_000014_000007	It is seeking, a quest, for something that is not at hand.	It is seeking, a quest, for something that is not at hand.	true	1631.15	1635.52	27.224884
7484_39971_000014_000008	We sometimes talk as if "original research" were a peculiar prerogative of scientists or at least of advanced students.	We sometimes talk as if "original research" were a peculiar prerogative of scientists or at least of advanced students.	true	1636.19	1644.16	24.648943
7484_39971_000014_000009	But all thinking is research, and all research is native, original, with him who carries it on, even if everybody else in the world already is sure of what he is still looking for.	But all thinking is research, and all research is native, original, with him who carries it on, even if everybody else in the world already is sure of what he is still looking for.	true	1644.53	1655.95	24.238245
7484_39971_000015_000000	It also follows that all thinking involves a risk.	It also follows that all thinking involves a risk.	true	1657.61	1660.93	21.865934
7484_39971_000015_000001	Certainty cannot be guaranteed in advance.	Certainty cannot be guaranteed in advance.	true	1660.97	1663.87	25
7484_39971_000015_000002	The invasion of the unknown is of the nature of an adventure; we cannot be sure in advance.	The invasion of the unknown is of the nature of an adventure; we cannot be sure in advance.	true	1664.45	1669.93	21.178148
7484_39971_000015_000003	The conclusions of thinking, till confirmed by the event, are, accordingly, more or less tentative or hypothetical.	The conclusions of thinking, till confirmed by the event, are, accordingly, more or less tentative or hypothetical.	true	1670.12	1677.67	23.783623
7484_39971_000015_000004	Their dogmatic assertion as final is unwarranted, short of the issue, in fact.	Their dogmatic assertion as final is unwarranted, short of the issue, in fact.	true	1678.01	1683.73	24.054886
7484_39971_000015_000005	The Greeks acutely raised the question: How can we learn?	The Greeks acutely raised the question: How can we learn?	true	1684.34	1688.56	26.200567
7484_39971_000015_000006	For either we know already what we are after, or else we do not know.	For either we know already what we are after, or else we do not know.	true	1688.87	1693.12	22.211803
7484_39971_000015_000007	In neither case is learning possible; on the first alternative because we know already; on the second, because we do not know what to look for, nor if, by chance, we find it can we tell that it is what we were after.	In neither case is learning possible; on the first alternative because we know already; on the second, because we do not know what to look for, nor if, by chance, we find it can we tell that it is what we were after.	false	1693.4	1707.34	23.886625
7484_39971_000015_000008	The dilemma makes no provision for coming to know, for learning; it assumes either complete knowledge or complete ignorance. Nevertheless the twilight zone of inquiry, of thinking, exists.	The dilemma makes no provision for coming to know, for learning; it assumes either complete knowledge or complete ignorance. Nevertheless the twilight zone of inquiry, of thinking, exists.	true	1707.8	1720.81	22.700819
7484_39971_000015_000009	The possibility of hypothetical conclusions, of tentative results, is the fact which the Greek dilemma overlooked.	The possibility of hypothetical conclusions, of tentative results, is the fact which the Greek dilemma overlooked.	true	1721.3	1729.09	26.001768
7484_39971_000015_000010	The perplexities of the situation suggest certain ways out.	The perplexities of the situation suggest certain ways out.	true	1729.49	1733.11	24
7484_39971_000015_000011	We try these ways, and either push our way out, in which case we know we have found what we were looking for, or the situation gets darker and more confused--in which case, we know we are still ignorant.	We try these ways, and either push our way out, in which case we know we have found what we were looking for, or the situation gets darker and more confused-in which case, we know we are still ignorant.	true	1733.3	1745.41	23.131493
7484_39971_000015_000012	Tentative means trying out, feeling one's way along provisionally.	Tentative means trying out, feeling one's way along provisionally.	true	1745.9	1751.05	22.354206
7484_39971_000015_000013	Taken by itself, the Greek argument is a nice piece of formal logic.	Taken by itself, the Greek argument is a nice piece of formal logic.	true	1751.24	1756.3	24.632874
7484_39971_000015_000014	But it is also true that as long as men kept a sharp disjunction between knowledge and ignorance, science made only slow and accidental advance.	But it is also true that as long as men kept a sharp disjunction between knowledge and ignorance, science made only slow and accidental advance.	true	1756.61	1766.29	20
7484_39971_000015_000015	Systematic advance in invention and discovery began when men recognized that they could utilize doubt for purposes of inquiry by forming conjectures to guide action in tentative explorations, whose development would confirm, refute, or modify the guiding conjecture.	Systematic advance in invention and discovery began when men recognized that they could utilize doubt for purposes of inquiry by forming conjectures to guide action in tentative explorations, whose development would confirm, refute, or modify the guiding conjecture.	true	1766.78	1784.62	21
7484_39971_000015_000016	While the Greeks made knowledge more than learning, modern science makes conserved knowledge only a means to learning, to discovery.	While the Greeks made knowledge more than learning, modern science makes conserved knowledge only a means to learning, to discovery.	true	1785.02	1793.77	19.864422
7484_39971_000015_000017	To recur to our illustration.	To recur to our illustration.	true	1793.99	1796.11	22.868715
7484_39971_000015_000018	A commanding general cannot base his actions upon either absolute certainty or absolute ignorance. He has a certain amount of information at hand which is, we will assume, reasonably trustworthy.	A commanding general cannot base his actions upon either absolute certainty or absolute ignorance. He has a certain amount of information at hand which is, we will assume, reasonably trustworthy.	true	1796.15	1809.31	21.765345
7484_39971_000015_000019	He then infers certain prospective movements, thus assigning meaning to the bare facts of the given situation.	He then infers certain prospective movements, thus assigning meaning to the bare facts of the given situation.	true	1809.41	1817.14	20.876678
7484_39971_000015_000020	His inference is more or less dubious and hypothetical.	His inference is more or less dubious and hypothetical.	true	1817.45	1820.68	22.002256
7484_39971_000015_000021	But he acts upon it. He develops a plan of procedure, a method of dealing with the situation. The consequences which directly follow from his acting this way rather than that test and reveal the worth of his reflections.	But he acts upon it. He develops a plan of procedure, a method of dealing with the situation. The consequences which directly follow from his acting this way rather than that test and reveal the worth of his reflections.	true	1820.84	1835.89	23.972826
7484_39971_000015_000022	What he already knows functions and has value in what he learns.	What he already knows functions and has value in what he learns.	true	1836.2	1840	18.41497
7484_39971_000015_000023	But will this account apply in the case of the one in a neutral country who is thoughtfully following as best he can the progress of events?	But will this account apply in the case of the one in a neutral country who is thoughtfully following as best he can the progress of events?	true	1840.61	1849	22
7484_39971_000015_000024	In form, yes, though not of course in content.	In form, yes, though not of course in content.	true	1849.46	1853.23	21.515617
7484_39971_000015_000025	It is self-evident that his guesses about the future indicated by present facts, guesses by which he attempts to supply meaning to a multitude of disconnected data, cannot be the basis of a method which shall take effect in the campaign.	It is self evident that his guesses about the future indicated by present facts, guesses by which he attempts to supply meaning to a multitude of disconnected data, cannot be the basis of a method which shall take effect in the campaign.	false	1853.78	1868.8	26.199001
7484_39971_000015_000026	That is not his problem.	That is not his problem.	true	1869.29	1871.02	23.168991
7484_39971_000015_000027	But in the degree in which he is actively thinking, and not merely passively following the course of events, his tentative inferences will take effect in a method of procedure appropriate to his situation.	But in the degree in which he is actively thinking, and not merely passively following the course of events, his tentative inferences will take effect in a method of procedure appropriate to his situation.	true	1871.33	1883.23	23.962595
7484_39971_000015_000028	He will anticipate certain future moves, and will be on the alert to see whether they happen or not.	He will anticipate certain future moves, and will be on the alert to see whether they happen or not.	true	1883.84	1889.56	22.70946
7484_39971_000015_000029	In the degree in which he is intellectually concerned, or thoughtful, he will be actively on the lookout; he will take steps which although they do not affect the campaign, modify in some degree his subsequent actions.	In the degree in which he is intellectually concerned, or thoughtful, he will be actively on the lookout; he will take steps which although they do not affect the campaign, modify in some degree his subsequent actions.	true	1889.84	1902.97	23.472418
7484_39971_000015_000030	Otherwise his later "I told you so" has no intellectual quality at all; it does not mark any testing or verification of prior thinking, but only a coincidence that yields emotional satisfaction--and includes a large factor of self-deception.	Otherwise his later "I told you so" has no intellectual quality at all; it does not mark any testing or verification of prior thinking, but only a coincidence that yields emotional satisfaction-and includes a large factor of self deception.	true	1903.34	1920.16	23.037046
7484_39971_000015_000031	The case is comparable to that of an astronomer who from given data has been led to foresee (infer) a future eclipse.	The case is comparable to that of an astronomer who from given data has been led to foresee (infer) a future eclipse.	false	1920.86	1929.91	25.549162
7484_39971_000015_000032	No matter how great the mathematical probability, the inference is hypothetical--a matter of probability. 1 The hypothesis as to the date and position of the anticipated eclipse becomes the material of forming a method of future conduct.	No matter how great the mathematical probability, the inference is hypothetical-a matter of probability. one The hypothesis as to the date and position of the anticipated eclipse becomes the material of forming a method of future conduct.	false	1930.34	1963.15	24.428087
7484_39971_000015_000033	Apparatus is arranged; possibly an expedition is made to some far part of the globe.	Apparatus is arranged; possibly an expedition is made to some far part of the globe.	true	1963.52	1968.82	22.256657
7484_39971_000015_000034	In any case, some active steps are taken which actually change some physical conditions. And apart from such steps and the consequent modification of the situation, there is no completion of the act of thinking.	In any case, some active steps are taken which actually change some physical conditions. And apart from such steps and the consequent modification of the situation, there is no completion of the act of thinking.	true	1969.22	1984.18	26.946722
7484_39971_000015_000035	It remains suspended.	It remains suspended.	true	1984.34	1986.34	21.151348
7484_39971_000015_000036	Knowledge, already attained knowledge, controls thinking and makes it fruitful.	Knowledge, already attained knowledge, controls thinking and makes it fruitful.	true	1986.47	1992.16	22.417677
7484_39971_000016_000000	So much for the general features of a reflective experience.	So much for the general features of a reflective experience.	true	1993.37	1996.84	24.863268
7484_39971_000016_000001	They are (i) perplexity, confusion, doubt, due to the fact that one is implicated in an incomplete situation whose full character is not yet determined; (ii) a conjectural anticipation--a tentative interpretation of the given elements, attributing to them a tendency to effect certain consequences; (iii) a careful survey (examination, inspection, exploration, analysis) of all attainable consideration which will define and clarify the problem in hand; (iv) a consequent elaboration of the tentative hypothesis to make it more precise and more consistent, because squaring with a wider range of facts; (v) taking one stand upon the projected hypothesis as a plan of action which is applied to the existing state of affairs: doing something overtly to bring about the anticipated result, and thereby testing the hypothesis.	They are (i) perplexity, confusion, doubt, due to the fact that one is implicated in an incomplete situation whose full character is not yet determined; (ii) a conjectural anticipation-a tentative interpretation of the given elements, attributing to them a tendency to effect certain consequences; (iii) a careful survey (examination, inspection, exploration, analysis) of all attainable consideration which will define and clarify the problem in hand; (i v) a consequent elaboration of the tentative hypothesis to make it more precise and more consistent, because squaring with a wider range of facts; (v) taking one stand upon the projected hypothesis as a plan of action which is applied to the existing state of affairs: doing something overtly to bring about the anticipated result, and thereby testing the hypothesis.	false	1997.24	2059.36	22.16545
7484_39971_000016_000002	It is the extent and accuracy of steps three and four which mark off a distinctive reflective experience from one on the trial and error plane.	It is the extent and accuracy of steps three and four which mark off a distinctive reflective experience from one on the trial and error plane.	true	2060.09	2068.66	21
7484_39971_000016_000003	They make thinking itself into an experience.	They make thinking itself into an experience.	true	2069.12	2072.17	28.176397
7484_39971_000016_000004	Nevertheless, we never get wholly beyond the trial and error situation.	Nevertheless, we never get wholly beyond the trial and error situation.	true	2072.45	2077.15	19.086632
7484_39971_000016_000005	Our most elaborate and rationally consistent thought has to be tried in the world and thereby tried out.	Our most elaborate and rationally consistent thought has to be tried in the world and thereby tried out.	true	2077.31	2083.75	24
7484_39971_000016_000006	And since it can never take into account all the connections, it can never cover with perfect accuracy all the consequences.	And since it can never take into account all the connections, it can never cover with perfect accuracy all the consequences.	true	2084.06	2092.18	25.196539
7484_39971_000016_000007	Yet a thoughtful survey of conditions is so careful, and the guessing at results so controlled, that we have a right to mark off the reflective experience from the grosser trial and error forms of action.	Yet a thoughtful survey of conditions is so careful, and the guessing at results so controlled, that we have a right to mark off the reflective experience from the grosser trial and error forms of action.	true	2092.61	2105.89	24.299667
7484_39971_000017_000000	Summary.	Summary.	true	2107.28	2108.26	22.253912
7484_39971_000017_000001	In determining the place of thinking in experience we first noted that experience involves a connection of doing or trying with something which is undergone in consequence.	In determining the place of thinking in experience we first noted that experience involves a connection of doing or trying with something which is undergone in consequence.	true	2109.11	2119.75	22.338797
7484_39971_000017_000002	A separation of the active doing phase from the passive undergoing phase destroys the vital meaning of an experience.	A separation of the active doing phase from the passive undergoing phase destroys the vital meaning of an experience.	true	2120.18	2128.42	22.703789
7484_39971_000017_000003	Thinking is the accurate and deliberate instituting of connections between what is done and its consequences.	Thinking is the accurate and deliberate instituting of connections between what is done and its consequences.	true	2129	2135.95	27.957315
7484_39971_000017_000004	It notes not only that they are connected, but the details of the connection.	It notes not only that they are connected, but the details of the connection.	true	2136.59	2141.53	27.152029
7484_39971_000017_000005	It makes connecting links explicit in the form of relationships.	It makes connecting links explicit in the form of relationships.	true	2142.02	2146.24	26.614424
7484_39971_000017_000006	The stimulus to thinking is found when we wish to determine the significance of some act, performed or to be performed.	The stimulus to thinking is found when we wish to determine the significance of some act, performed or to be performed.	true	2146.61	2154.73	23.288988
7484_39971_000017_000007	Then we anticipate consequences.	Then we anticipate consequences.	true	2155.22	2157.55	27.034489
7484_39971_000017_000008	This implies that the situation as it stands is, either in fact or to us, incomplete and hence indeterminate.	This implies that the situation as it stands is, either in fact or to us, incomplete and hence indeterminate.	true	2157.59	2165.53	24.277172
7484_39971_000017_000009	The projection of consequences means a proposed or tentative solution.	The projection of consequences means a proposed or tentative solution.	true	2166.05	2171.02	23.854012
7484_39971_000017_000010	To perfect this hypothesis, existing conditions have to be carefully scrutinized and the implications of the hypothesis developed--an operation called reasoning.	To perfect this hypothesis, existing conditions have to be carefully scrutinized and the implications of the hypothesis developed-an operation called reasoning.	true	2171.48	2182.15	25.288784
7484_39971_000017_000011	Then the suggested solution--the idea or theory--has to be tested by acting upon it.	Then the suggested solution-the idea or theory-has to be tested by acting upon it.	true	2182.76	2188.69	25.987438
7484_39971_000017_000012	If it brings about certain consequences, certain determinate changes, in the world, it is accepted as valid.	If it brings about certain consequences, certain determinate changes, in the world, it is accepted as valid.	true	2189.27	2196.67	23.967283
7484_39971_000017_000013	Otherwise it is modified, and another trial made.	Otherwise it is modified, and another trial made.	true	2196.92	2200	19.615625
7484_39971_000017_000014	Thinking includes all of these steps,--the sense of a problem, the observation of conditions, the formation and rational elaboration of a suggested conclusion, and the active experimental testing.	Thinking includes all of these steps,--the sense of a problem, the observation of conditions, the formation and rational elaboration of a suggested conclusion, and the active experimental testing.	true	2200.37	2214.31	22.566446
7484_39971_000017_000015	While all thinking results in knowledge, ultimately the value of knowledge is subordinate to its use in thinking.	While all thinking results in knowledge, ultimately the value of knowledge is subordinate to its use in thinking.	true	2214.68	2221.3	23
7484_39971_000017_000016	For we live not in a settled and finished world, but in one which is going on, and where our main task is prospective, and where retrospect--and all knowledge as distinct from thought is retrospect--is of value in the solidity, security, and fertility it affords our dealings with the future.	For we live not in a settled and finished world, but in one which is going on, and where our main task is prospective, and where retrospect-and all knowledge as distinct from thought is retrospect-is of value in the solidity, security, and fertility it affords our dealings with the future.	false	2221.76	2245.59	22.272993
