7484_39971_000001_000000	Chapter Eleven: Experience and Thinking	Chapter Eleven: Experience and Thinking
7484_39971_000015_000020	His inference is more or less dubious and hypothetical.	His inference is more or less dubious and hypothetical.
7484_39971_000015_000021	But he acts upon it. He develops a plan of procedure, a method of dealing with the situation. The consequences which directly follow from his acting this way rather than that test and reveal the worth of his reflections.	But he acts upon it. He develops a plan of procedure, a method of dealing with the situation. The consequences which directly follow from his acting this way rather than that test and reveal the worth of his reflections.
7484_39971_000015_000023	But will this account apply in the case of the one in a neutral country who is thoughtfully following as best he can the progress of events?	But will this account apply in the case of the one in a neutral country who is thoughtfully following as best he can the progress of events?
7484_39971_000015_000024	In form, yes, though not of course in content.	In form, yes, though not of course in content.
7484_39971_000015_000026	That is not his problem.	That is not his problem.
7484_39971_000015_000027	But in the degree in which he is actively thinking, and not merely passively following the course of events, his tentative inferences will take effect in a method of procedure appropriate to his situation.	But in the degree in which he is actively thinking, and not merely passively following the course of events, his tentative inferences will take effect in a method of procedure appropriate to his situation.
7484_39971_000015_000028	He will anticipate certain future moves, and will be on the alert to see whether they happen or not.	He will anticipate certain future moves, and will be on the alert to see whether they happen or not.
7484_39971_000015_000029	In the degree in which he is intellectually concerned, or thoughtful, he will be actively on the lookout; he will take steps which although they do not affect the campaign, modify in some degree his subsequent actions.	In the degree in which he is intellectually concerned, or thoughtful, he will be actively on the lookout; he will take steps which although they do not affect the campaign, modify in some degree his subsequent actions.
7484_39971_000015_000030	Otherwise his later "I told you so" has no intellectual quality at all; it does not mark any testing or verification of prior thinking, but only a coincidence that yields emotional satisfaction--and includes a large factor of self-deception.	Otherwise his later "I told you so" has no intellectual quality at all; it does not mark any testing or verification of prior thinking, but only a coincidence that yields emotional satisfaction-and includes a large factor of self deception.
7484_39971_000015_000033	Apparatus is arranged; possibly an expedition is made to some far part of the globe.	Apparatus is arranged; possibly an expedition is made to some far part of the globe.
7484_39971_000015_000034	In any case, some active steps are taken which actually change some physical conditions. And apart from such steps and the consequent modification of the situation, there is no completion of the act of thinking.	In any case, some active steps are taken which actually change some physical conditions. And apart from such steps and the consequent modification of the situation, there is no completion of the act of thinking.
7484_39971_000015_000035	It remains suspended.	It remains suspended.
7484_39971_000015_000036	Knowledge, already attained knowledge, controls thinking and makes it fruitful.	Knowledge, already attained knowledge, controls thinking and makes it fruitful.
7484_39971_000016_000000	So much for the general features of a reflective experience.	So much for the general features of a reflective experience.
7484_39971_000016_000002	It is the extent and accuracy of steps three and four which mark off a distinctive reflective experience from one on the trial and error plane.	It is the extent and accuracy of steps three and four which mark off a distinctive reflective experience from one on the trial and error plane.
7484_39971_000016_000003	They make thinking itself into an experience.	They make thinking itself into an experience.
7484_39971_000016_000005	Our most elaborate and rationally consistent thought has to be tried in the world and thereby tried out.	Our most elaborate and rationally consistent thought has to be tried in the world and thereby tried out.
7484_39971_000016_000006	And since it can never take into account all the connections, it can never cover with perfect accuracy all the consequences.	And since it can never take into account all the connections, it can never cover with perfect accuracy all the consequences.
7484_39971_000016_000007	Yet a thoughtful survey of conditions is so careful, and the guessing at results so controlled, that we have a right to mark off the reflective experience from the grosser trial and error forms of action.	Yet a thoughtful survey of conditions is so careful, and the guessing at results so controlled, that we have a right to mark off the reflective experience from the grosser trial and error forms of action.
7484_39971_000017_000000	Summary.	Summary.
7484_39971_000017_000001	In determining the place of thinking in experience we first noted that experience involves a connection of doing or trying with something which is undergone in consequence.	In determining the place of thinking in experience we first noted that experience involves a connection of doing or trying with something which is undergone in consequence.
7484_39971_000017_000002	A separation of the active doing phase from the passive undergoing phase destroys the vital meaning of an experience.	A separation of the active doing phase from the passive undergoing phase destroys the vital meaning of an experience.
7484_39971_000017_000003	Thinking is the accurate and deliberate instituting of connections between what is done and its consequences.	Thinking is the accurate and deliberate instituting of connections between what is done and its consequences.
7484_39971_000017_000004	It notes not only that they are connected, but the details of the connection.	It notes not only that they are connected, but the details of the connection.
7484_39971_000017_000005	It makes connecting links explicit in the form of relationships.	It makes connecting links explicit in the form of relationships.
7484_39971_000017_000006	The stimulus to thinking is found when we wish to determine the significance of some act, performed or to be performed.	The stimulus to thinking is found when we wish to determine the significance of some act, performed or to be performed.
7484_39971_000017_000007	Then we anticipate consequences.	Then we anticipate consequences.
7484_39971_000017_000008	This implies that the situation as it stands is, either in fact or to us, incomplete and hence indeterminate.	This implies that the situation as it stands is, either in fact or to us, incomplete and hence indeterminate.
7484_39971_000017_000009	The projection of consequences means a proposed or tentative solution.	The projection of consequences means a proposed or tentative solution.
7484_39971_000017_000010	To perfect this hypothesis, existing conditions have to be carefully scrutinized and the implications of the hypothesis developed--an operation called reasoning.	To perfect this hypothesis, existing conditions have to be carefully scrutinized and the implications of the hypothesis developed-an operation called reasoning.
7484_39971_000017_000011	Then the suggested solution--the idea or theory--has to be tested by acting upon it.	Then the suggested solution-the idea or theory-has to be tested by acting upon it.
7484_39971_000017_000012	If it brings about certain consequences, certain determinate changes, in the world, it is accepted as valid.	If it brings about certain consequences, certain determinate changes, in the world, it is accepted as valid.
7484_39971_000017_000014	Thinking includes all of these steps,--the sense of a problem, the observation of conditions, the formation and rational elaboration of a suggested conclusion, and the active experimental testing.	Thinking includes all of these steps,--the sense of a problem, the observation of conditions, the formation and rational elaboration of a suggested conclusion, and the active experimental testing.
7484_39971_000017_000015	While all thinking results in knowledge, ultimately the value of knowledge is subordinate to its use in thinking.	While all thinking results in knowledge, ultimately the value of knowledge is subordinate to its use in thinking.
