2517_135229_000000_000000	"Who were the victims of the Mista Kosek?"	"Who were the victims of the Mista Kosek?"	false	0	5.58	18.795671
2517_135229_000045_000001	"The Kohen is the lowest and least influential man in the city."	"The Kohen is the lowest and least influential man in the city."	true	860.265	863.95	21
2517_135229_000046_000000	"Why, who are influential if he is not?" I asked.	"Why, who are influential if he is not?" I asked.	true	863.99	867.31	23.072868
2517_135229_000047_000000	"The paupers," said Almah.	"The paupers," said Almah.	true	867.32	868.93	29.111265
2517_135229_000048_000000	"The paupers!" I exclaimed, in amazement.	"The paupers!" I exclaimed, in amazement.	true	869.12	871.45	26.335327
2517_135229_000049_000000	"Yes," said Almah.	"Yes," said Almah.	true	871.52	872.82	22.57754
2517_135229_000049_000001	"Here among these people the paupers form the most honored, influential, and envied portion of the community."	"Here among these people the paupers form the most honored, influential, and envied portion of the community."	true	872.82	878.41	18
2517_135229_000050_000000	This was incomprehensible.	This was incomprehensible.	true	878.81	880.66	26.082441
2517_135229_000050_000001	Almah tried to explain, but to no purpose, and I determined to talk to the Kohen.	Almah tried to explain, but to no purpose, and I determined to talk to the Kohen.	false	880.7	883.8	24
2517_135229_000051_000000	CHAPTER XV	CHAPTER fifteen	false	883.8	883.83	-20
2517_135229_000052_000000	THE KOHEN IS INEXORABLE	THE KOHEN IS INEXORABLE	false	883.83	883.89	3
2517_135229_000053_000000	I determined to talk to the Kohen, and try for myself whether he might not be accessible to pity.	I determined to talk to the Kohen, and try for myself whether he might not be accessible to pity.	false	883.89	887.01	26.570328
2517_135229_000053_000001	This greatest of cannibals might, indeed, have his little peculiarities, I thought, and who has not?--yet at bottom he seemed full of tender and benevolent feeling; and as he evidently spent his whole time in the endeavor to make us happy, it seemed not unlikely that he might do something for our happiness in a case where our very existence was at stake.	This greatest of cannibals might, indeed, have his little peculiarities, I thought, and who has not?--yet at bottom he seemed full of tender and benevolent feeling; and as he evidently spent his whole time in the endeavor to make us happy, it seemed not unlikely that he might do something for our happiness in a case where our very existence was at stake.	false	887.01	888.63	16
