329_861_000000_000000	CHAPTER IX: THE SIEGE OF HENNEBON	CHAPTER nine: THE SIEGE OF h e n n e b o n	false	1.38	28.245	21.524273
329_861_000033_000001	They pointed out to him that his name would be dishonoured in all countries where the laws of chivalry prevailed by such a deed, and besought him to choose some other boon. Don Louis refused to yield, and Charles of Blois, finding no alternative between breaking his promise and delivering his prisoners, at last agreed to his request.	They pointed out to him that his name would be dishonoured in all countries where the laws of chivalry prevailed by such a deed, and besought him to choose some other boon. Don Louis refused to yield, and Charles of Blois, finding no alternative between breaking his promise and delivering his prisoners, at last agreed to his request.	false	1120.37	1141.81	22
329_861_000034_000000	The prisoners were sent for, and were informed by Don Louis himself of their approaching end.	The prisoners were sent for, and were informed by Don Louis himself of their approaching end.	false	1142.27	1147.84	22
329_861_000034_000001	At first they could not believe that he was in earnest, for such a proceeding was so utterly opposed to the spirit of the times that it seemed impossible to them.	At first they could not believe that he was in earnest, for such a proceeding was so utterly opposed to the spirit of the times that it seemed impossible to them.	true	1147.91	1157.8	22
329_861_000034_000002	Finding that he was in earnest they warned him of the eternal stain which such a deed would bring upon his name.	Finding that he was in earnest they warned him of the eternal stain which such a deed would bring upon his name.	true	1158.17	1165	20
329_861_000034_000003	The Spaniard, however, was unmoved either by their words or by the entreaties of the French nobles but told them that he would give them a few hours to prepare for death, and that they should be executed in sight of the walls after the usual dinner hour of the army.	The Spaniard, however, was unmoved either by their words or by the entreaties of the French nobles but told them that he would give them a few hours to prepare for death, and that they should be executed in sight of the walls after the usual dinner hour of the army.	false	1165.13	1180.99	17
329_861_000035_000000	In those days sieges were not conducted in the strict manner in which they are at present, and non-combatants passed without difficulty to and fro between town and camp.	In those days sieges were not conducted in the strict manner in which they are at present, and non combatants passed without difficulty to and fro between town and camp.	true	1182.14	1193.19	18
329_861_000035_000001	The news, therefore, of what was intended speedily reached the garrison, whom it filled with indignation and horror.	The news, therefore, of what was intended speedily reached the garrison, whom it filled with indignation and horror.	true	1193.19	1200.16	21
329_861_000035_000002	A council was immediately called, and Sir Walter Manny proposed a plan, which was instantly adopted.	A council was immediately called, and Sir Walter Manny proposed a plan, which was instantly adopted.	true	1200.53	1207.09	22.698421
329_861_000036_000000	Without loss of time Almeric de Clisson issued forth from the great gate of Hennebon, accompanied by 300 men-at-arms and 1000 archers.	Without loss of time Almeric de Clisson issued forth from the great gate of Hennebon, accompanied by three hundred men at arms and one thousand archers.	false	1207.31	1217.71	22
329_861_000036_000001	The latter took post at once along the edge of the ditches.	The latter took post at once along the edge of the ditches.	true	1217.99	1221.79	24
329_861_000036_000002	The men-at-arms rode straight for the enemy's camp, which was undefended, the whole army being within their tents at dinner.	The men at arms rode straight for the enemy's camp, which was undefended, the whole army being within their tents at dinner.	false	1221.89	1229.38	22
329_861_000036_000003	Dashing into their midst the English and Breton men-at-arms began to overthrow the tents and spear all that were in them.	Dashing into their midst the English and Breton men at arms began to overthrow the tents and spear all that were in them.	true	1229.63	1237.48	19
329_861_000036_000004	Not knowing the extent of the danger or the smallness of the attacking force, the French knights sprang up from table, mounted, and rode to encounter the assailants.	Not knowing the extent of the danger or the smallness of the attacking force, the French knights sprang up from table, mounted, and rode to encounter the assailants.	false	1237.58	1247.32	20
329_861_000037_000000	For some time these maintained their ground against all assaults until, finding that the whole army was upon them, Almeric de Clisson gave order for his troop to retire slowly upon the town.	For some time these maintained their ground against all assaults until, finding that the whole army was upon them, Almeric de Clisson gave order for his troop to retire slowly upon the town.	false	1248.08	1259.98	19
329_861_000037_000001	Fighting every step of the ground and resisting obstinately the repeated onslaught of the French, Clisson approached the gate.	Fighting every step of the ground and resisting obstinately the repeated onslaught of the French, Clisson approached the gate.	false	1260.5	1267.93	22.923536
329_861_000037_000002	Here he was joined by the archers, who with bent bows prepared to resist the advance of the French.	Here he was joined by the archers, who with bent bows prepared to resist the advance of the French.	true	1268.12	1274.38	21
329_861_000037_000003	As it appeared that the garrison were prepared to give battle outside the walls, the whole French army prepared to move against them.	As it appeared that the garrison were prepared to give battle outside the walls, the whole French army prepared to move against them.	false	1274.66	1282.03	20
329_861_000038_000000	In the meantime Sir Walter Manny, with 100 men-at-arms and 500 horse archers, issued by a sally-port on the other side of the town, and with all speed rode round to the rear of the French camp.	In the meantime Sir Walter Manny, with one hundred men at arms and five hundred horse archers, issued by a sally port on the other side of the town, and with all speed rode round to the rear of the French camp.	true	1282.61	1295.44	20
329_861_000038_000001	There he found none to oppose him save servants and camp-followers, and making his way straight to the tent of Charles of Blois, where the two knights were confined, he soon freed them from their bonds.	There he found none to oppose him save servants and camp followers, and making his way straight to the tent of Charles of Blois, where the two knights were confined, he soon freed them from their bonds.	false	1295.54	1307.5	19
329_861_000038_000002	They were mounted without wasting a moment's time upon two spare horses, and turning again the whole party rode back towards Hennebon, and had reached the postern gate before the fugitives from the camp reached the French commanders and told them what had happened.	They were mounted without wasting a moment's time upon two spare horses, and turning again the whole party rode back towards Hennebon, and had reached the postern gate before the fugitives from the camp reached the French commanders and told them what had happened.	true	1307.69	1323.52	19
329_861_000039_000000	Seeing that he was now too late, because of De Clisson's sortie, Charles of Blois recalled his army from the attack, in which he could only have suffered heavily from the arrows of the archers and the missiles from the walls.	Seeing that he was now too late, because of De Clisson's sortie, Charles of Blois recalled his army from the attack, in which he could only have suffered heavily from the arrows of the archers and the missiles from the walls.	false	1324.31	1337.29	17
329_861_000039_000001	The same day, he learned from some prisoners captured in the sortie, of the undiminished spirit of the garrison, and that Hennebon was amply supplied with provisions brought by sea.	The same day, he learned from some prisoners captured in the sortie, of the undiminished spirit of the garrison, and that Hennebon was amply supplied with provisions brought by sea.	false	1337.45	1347.76	17
329_861_000039_000002	His own army was becoming straitened by the scarcity of supplies in the country round, he therefore determined at once to raise the siege, and to besiege some place where he would encounter less serious resistance.	His own army was becoming straitened by the scarcity of supplies in the country round, he therefore determined at once to raise the siege, and to besiege some place where he would encounter less serious resistance.	true	1348.13	1361.02	16
329_861_000040_000000	Accordingly, next morning he drew off his army and marched to Carhaix.	Accordingly, next morning he drew off his army and marched to Carhaix.	true	1361.33	1366.18	23.639343
329_861_000041_000000	Shortly afterwards the news came that the Earl of Northampton and Robert of Artois, with their force, had sailed, and Don Louis, with the Genoese and other Italian mercenaries, started to intercept them with a large fleet.	Shortly afterwards the news came that the Earl of Northampton and Robert of Artois, with their force, had sailed, and Don Louis, with the Genoese and other Italian mercenaries, started to intercept them with a large fleet.	false	1367.12	1381.18	22
329_861_000041_000001	The fleets met off the island of Guernsey, and a severe engagement took place, which lasted till night.	The fleets met off the island of Guernsey, and a severe engagement took place, which lasted till night.	false	1381.22	1388.17	22.626692
329_861_000041_000002	During the darkness a tremendous storm burst upon them and the combatants separated.	During the darkness a tremendous storm burst upon them and the combatants separated.	true	1388.33	1393.69	21.680279
329_861_000041_000003	The English succeeded in making their way to Brittany and landed near Vannes.	The English succeeded in making their way to Brittany and landed near Vannes.	false	1393.76	1398.66	19.786959
329_861_000041_000004	The Spaniards captured four small ships which had been separated in the storm from their consorts, but did not succeed in regaining the coast of Brittany, being driven south by the storm as far as Spain.	The Spaniards captured four small ships which had been separated in the storm from their consorts, but did not succeed in regaining the coast of Brittany, being driven south by the storm as far as Spain.	true	1398.66	1411.48	21
329_861_000041_000005	The Earl of Northampton at once laid siege to Vannes, and Sir Walter Manny moved with every man that could be spared from Hennebon to assist him.	The Earl of Northampton at once laid siege to Vannes, and Sir Walter Manny moved with every man that could be spared from Hennebon to assist him.	false	1411.7	1421.29	19
329_861_000042_000000	As it was certain that the French army would press forward with all speed to relieve the town, it was decided to lose no time in battering the walls, but to attempt to carry it at once by assault.	As it was certain that the French army would press forward with all speed to relieve the town, it was decided to lose no time in battering the walls, but to attempt to carry it at once by assault.	false	1421.93	1432.96	20
329_861_000042_000001	The walls, however, were so strong that there seemed little prospect of success attending such an attempt, and a plan was therefore determined upon by which the enemy might be thrown off their guard.	The walls, however, were so strong that there seemed little prospect of success attending such an attempt, and a plan was therefore determined upon by which the enemy might be thrown off their guard.	true	1433.06	1444.33	20
329_861_000042_000002	The assault commenced at three points in the early morning and was continued all day.	The assault commenced at three points in the early morning and was continued all day.	true	1444.46	1449.25	20
329_861_000042_000003	No great vigour, however, was shown in these attempts which were repulsed at all points.	No great vigour, however, was shown in these attempts which were repulsed at all points.	true	1449.53	1455.28	20
329_861_000043_000000	At nightfall the assailants drew off to their camp, and Oliver de Clisson, who commanded the town, suffered his weary troops to quit the walls and to seek for refreshment and repose.	At nightfall the assailants drew off to their camp, and Oliver de Clisson, who commanded the town, suffered his weary troops to quit the walls and to seek for refreshment and repose.	false	1455.74	1467.25	22.836851
329_861_000043_000001	The assailants, however, did not disarm, but after a sufficient time had elapsed to allow the garrison to lay aside their armour two strong parties attacked the principal gates of the town, while Sir Walter Manny and the Earl of Oxford moved round to the opposite side with ladders for an escalade. The plan was successful.	The assailants, however, did not disarm, but after a sufficient time had elapsed to allow the garrison to lay aside their armour two strong parties attacked the principal gates of the town, while Sir Walter Manny and the Earl of Oxford moved round to the opposite side with ladders for an escalade. The plan was successful.	true	1467.44	1487.47	20
329_861_000043_000002	The garrison, snatching up their arms, hurried to repel their attack upon the gates, every man hastening in that direction.	The garrison, snatching up their arms, hurried to repel their attack upon the gates, every man hastening in that direction.	true	1487.51	1494.73	20
329_861_000043_000003	Sir Walter Manny with his party were therefore enabled to mount the walls unobserved and make their way into the town; here they fell upon the defenders in the rear, and the sudden onslaught spread confusion and terror among them.	Sir Walter Manny with his party were therefore enabled to mount the walls unobserved and make their way into the town; here they fell upon the defenders in the rear, and the sudden onslaught spread confusion and terror among them.	true	1494.92	1508.98	20
329_861_000043_000004	The parties at the gates forced their way in and joined their friends, and the whole of the garrison were killed or taken prisoners, save a few, including Oliver Clisson, who made their escape by sally-ports.	The parties at the gates forced their way in and joined their friends, and the whole of the garrison were killed or taken prisoners, save a few, including Oliver Clisson, who made their escape by sally ports.	false	1509.26	1522.15	22
329_861_000043_000005	Robert of Artois, with the Earl of Stafford, was left with a garrison to hold the town.	Robert of Artois, with the Earl of Stafford, was left with a garrison to hold the town.	true	1522.49	1528.27	23
329_861_000043_000006	The Earl of Salisbury, with four thousand men, proceeded to lay siege to Rennes, and Sir Walter Manny hastened back to Hennebon.	The Earl of Salisbury, with four thousand men, proceeded to lay siege to Rennes, and Sir Walter Manny hastened back to Hennebon.	false	1528.4	1537.24	23
329_861_000044_000000	Some of Sir Walter's men formed part of the garrison of Vannes, and among these was Sir John Powis with a hundred men-at-arms.	Some of Sir Walter's men formed part of the garrison of Vannes, and among these was Sir john Powis with a hundred men at arms.	false	1537.94	1546.42	17
329_861_000045_000000	The knight had been so pleased with Walter's coolness and courage at the siege at Hennebon that he requested Sir Walter to leave him with him at Vannes.	The knight had been so pleased with Walter's coolness and courage at the siege at Hennebon that he requested Sir Walter to leave him with him at Vannes.	false	1546.73	1556.76	22.872868
329_861_000045_000001	"It is possible," he said to Walter, "that we may have fighting here.	"It is possible," he said to Walter, "that we may have fighting here.	true	1556.76	1560.88	21
329_861_000045_000002	Methinks that Sir Walter would have done better to leave a stronger force.	Methinks that Sir Walter would have done better to leave a stronger force.	true	1560.92	1565.05	17
329_861_000045_000003	The town is a large one, and the inhabitants ill-disposed towards us.	The town is a large one, and the inhabitants ill disposed towards us.	true	1565.18	1569.31	17
329_861_000045_000004	Oliver Clisson and the French nobles will feel their honour wounded at the way in which we outwitted them, and will likely enough make an effort to regain the town.	Oliver Clisson and the French nobles will feel their honour wounded at the way in which we outwitted them, and will likely enough make an effort to regain the town.	true	1569.38	1579.03	15
329_861_000045_000005	However, Rennes and Hennebon are not far away, and we may look for speedy aid from the Earl of Salisbury and Sir Walter should occasion arise."	However, Rennes and Hennebon are not far away, and we may look for speedy aid from the Earl of Salisbury and Sir Walter should occasion arise."	false	1579.25	1589.56	19
329_861_000046_000000	Sir John's previsions were speedily verified.	Sir John's previsions were speedily verified.	true	1590.29	1593.22	20.95881
329_861_000046_000001	Oliver Clisson and his friends were determined to wipe out their defeat, and scattered through the country raising volunteers from among the soldiery in all the neighbouring towns and castles, and a month after Vannes was taken they suddenly appeared before the town with an army of 12,000 men, commanded by Beaumanoir, marshal of Bretagne for Charles of Blois.	Oliver Clisson and his friends were determined to wipe out their defeat, and scattered through the country raising volunteers from among the soldiery in all the neighbouring towns and castles, and a month after Vannes was taken they suddenly appeared before the town with an army of twelve thousand men, commanded by Beaumanoir, marshal of Bretagne for Charles of Blois.	false	1593.35	1617.54	21
329_861_000046_000002	The same reasons which had induced the Earl of Northampton to decide upon a speedy assault instead of the slow process of breaching the walls, actuated the French in pursuing the same course, and, divided into a number of storming parties, the army advanced at once to the assault on the walls.	The same reasons which had induced the Earl of Northampton to decide upon a speedy assault instead of the slow process of breaching the walls, actuated the French in pursuing the same course, and, divided into a number of storming parties, the army advanced at once to the assault on the walls.	true	1617.54	1636.51	17
329_861_000046_000003	The little garrison prepared for the defence.	The little garrison prepared for the defence.	true	1636.64	1639.51	20.510414
329_861_000047_000000	"The outlook is bad, Walter," Sir John Powis said.	"The outlook is bad, Walter," Sir john Powis said.	true	1640	1643.47	21.97311
329_861_000047_000001	"These men approach with an air of resolution which shows that they are bent upon success. They outnumber us by twelve to one, and it is likely enough that the citizens may rise and attack us in the rear.	"These men approach with an air of resolution which shows that they are bent upon success. They outnumber us by twelve to one, and it is likely enough that the citizens may rise and attack us in the rear.	false	1643.66	1656.49	19
329_861_000047_000002	They have been ordered to bring the stones for the machines to the walls, but no one has laid his hand to the work.	They have been ordered to bring the stones for the machines to the walls, but no one has laid his hand to the work.	false	1656.86	1663.84	18
329_861_000047_000003	We must do our duty as brave men, my lad, but I doubt me if yonder is not the last sun which we shall see.	We must do our duty as brave men, my lad, but I doubt me if yonder is not the last sun which we shall see.	true	1663.88	1671.94	16
329_861_000047_000004	Furious as the French are at our recent success here you may be sure that little quarter will given."	Furious as the French are at our recent success here you may be sure that little quarter will given."	true	1672.34	1679.7	18
329_861_000048_000000	CHAPTER X: A PLACE OF REFUGE	CHAPTER ten: A PLACE OF REFUGE	false	1679.7	1679.82	-4
329_861_000049_000000	The French, excited to the utmost by the exhortations of their commanders, and by their desire to wipe out the disgrace of the easy capture of Vannes by the English, advanced with ardour to the assault, and officers and men vied with each other in the valour which they displayed.	The French, excited to the utmost by the exhortations of their commanders, and by their desire to wipe out the disgrace of the easy capture of Vannes by the English, advanced with ardour to the assault, and officers and men vied with each other in the valour which they displayed.	false	1679.82	1680.84	-7
329_861_000049_000001	In vain did the garrison shower arrows and cross-bow bolts among them, and pour down burning oil and quicklime upon them as they thronged at the foot of the wall.	In vain did the garrison shower arrows and cross bow bolts among them, and pour down burning oil and quicklime upon them as they thronged at the foot of the wall.	false	1680.84	1681.5	-20
329_861_000049_000002	In vain were the ladders, time after time, hurled back loaded with men upon the mass below.	In vain were the ladders, time after time, hurled back loaded with men upon the mass below.	false	1681.5	1681.86	-20
329_861_000049_000003	The efforts of the men-at-arms to scale the defences were seconded by their archers and crossbow-men, who shot such a storm of bolts that great numbers of the defenders were killed.	The efforts of the men at arms to scale the defences were seconded by their archers and crossbow men, who shot such a storm of bolts that great numbers of the defenders were killed.	false	1681.86	1683.42	21
329_861_000049_000004	The assault was made at a score of different points, and the garrison was too weak to defend all with success.	The assault was made at a score of different points, and the garrison was too weak to defend all with success.	false	1683.42	1685.49	29.145866
329_861_000049_000005	Sir John Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.	Sir john Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.	false	1685.49	1690.02	20.907024
