3119_163527_000000_000000	THE WIDOW'S SON	THE WIDOW'S SON	false	20.625	27.55	21.28857
3119_163527_000081_000000	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	true	1194.41	1205.56	22.942818
3119_163527_000082_000000	So he got the Princess to wife; but when he went down into the stable where his horse was on the day the wedding was to be, there it stood so dull and heavy, and hung its ears down, and wouldn't eat its corn. So when the young king--for he was now a king, and had got half the kingdom--spoke to him, and asked what ailed him, the Horse said:	So he got the Princess to wife; but when he went down into the stable where his horse was on the day the wedding was to be, there it stood so dull and heavy, and hung its ears down, and wouldn't eat its corn. So when the young king-for he was now a king, and had got half the kingdom-spoke to him, and asked what ailed him, the Horse said:	true	1206.77	1232.95	23.535707
3119_163527_000083_000000	'Now I have helped you on, and now I won't live any longer.	'Now I have helped you on, and now I won't live any longer.	true	1233.05	1237.01	20
3119_163527_000083_000001	So just take the sword, and cut my head off.'	So just take the sword, and cut my head off.'	true	1237.01	1240.06	26.873417
3119_163527_000084_000000	'No, I'll do nothing of the kind', said the young king; 'but you shall have all you want, and rest all your life.'	'No, I'll do nothing of the kind', said the young king; 'but you shall have all you want, and rest all your life.'	true	1240.28	1247.77	19.594765
3119_163527_000085_000000	'Well', said the Horse, 'If you don't do as I tell you, see if I don't take your life somehow.'	'Well', said the Horse, 'If you don't do as I tell you, see if I don't take your life somehow.'	true	1248.14	1254.13	24.990877
3119_163527_000086_000000	So the king had to do what he asked; but when he swung the sword and was to cut his head off, he was so sorry he turned away his face, for he would not see the stroke fall.	So the king had to do what he asked; but when he swung the sword and was to cut his head off, he was so sorry he turned away his face, for he would not see the stroke fall.	false	1255.07	1269.49	19.844738
3119_163527_000086_000001	But as soon as ever he had cut off the head, there stood the loveliest Prince on the spot where the horse had stood.	But as soon as ever he had cut off the head, there stood the loveliest Prince on the spot where the horse had stood.	true	1270.28	1279.69	20.016413
3119_163527_000087_000000	'Why, where in all the world did you come from?' asked the king.	'Why, where in all the world did you come from?' asked the king.	true	1279.97	1284.1	20.430195
3119_163527_000088_000000	'It was I who was a horse', said the Prince; 'for I was king of that land whose king you slew yesterday.	'It was I who was a horse', said the Prince; 'for I was king of that land whose king you slew yesterday.	false	1284.65	1292.47	21
3119_163527_000088_000001	He it was who threw this Troll's shape over me, and sold me to the Troll.	He it was who threw this Troll's shape over me, and sold me to the Troll.	true	1292.84	1298.38	23
3119_163527_000088_000002	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another.'	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another.'	true	1298.54	1308.58	20
3119_163527_000089_000000	And they didn't either; for they were friends as long as they lived, and each paid the other very many visits.	And they didn't either; for they were friends as long as they lived, and each paid the other very many visits.	true	1309.19	1317.45	19.897808
3119_163527_000090_000000	BUSHY BRIDE	BUSHY BRIDE	false	1317.45	1317.72	15
3119_163527_000091_000000	Once on a time there was a widower, who had a son and a daughter by his first marriage.	Once on a time there was a widower, who had a son and a daughter by his first marriage.	false	1317.72	1319.79	100
3119_163527_000091_000001	Both were good children, and loved each other dearly.	Both were good children, and loved each other dearly.	false	1319.79	1319.88	10
3119_163527_000091_000002	Some time after the man married a widow, who had a daughter by her first husband, and she was both ugly and bad, like her mother. So from the day the new wife came into the house there was no peace for her stepchildren in any corner; and at last the lad thought he'd best go out into the world, and try to earn his own bread.	Some time after the man married a widow, who had a daughter by her first husband, and she was both ugly and bad, like her mother. So from the day the new wife came into the house there was no peace for her stepchildren in any corner; and at last the lad thought he'd best go out into the world, and try to earn his own bread.	false	1319.88	1320.69	11
3119_163527_000091_000003	And when he had wandered a while he came to a king's palace, and got a place under the coachman, and quick and willing he was, and the horses he looked after were so sleek and clean that their coats shone again.	And when he had wandered a while he came to a king's palace, and got a place under the coachman, and quick and willing he was, and the horses he looked after were so sleek and clean that their coats shone again.	false	1320.69	1326.24	14.955831
