3025_12971_000000_000000	Part I	Part one	true	23.175	24.25	21.069983
3025_12971_000039_000001	Squire Updegraff had leaped up at her entrance, and blared, "Well, well, and how is the little girl making it?"	Squire Updegraff had leaped up at her entrance, and blared, "Well, well, and how is the little girl making it?"	true	1373.42	1381.09	18.465597
3025_12971_000039_000002	He had set out a chair for her and held her hand.	He had set out a chair for her and held her hand.	true	1381.76	1385.29	13
3025_12971_000039_000003	But he knew that her only experience with her father's affairs had been an effort to balance Captain Golden's account-books, which were works of genius in so far as they were composed according to the inspirational method.	But he knew that her only experience with her father's affairs had been an effort to balance Captain Golden's account books, which were works of genius in so far as they were composed according to the inspirational method.	false	1385.66	1401.13	14
3025_12971_000039_000004	So there was nothing very serious in their elaborate discussion of giving Una a job.	So there was nothing very serious in their elaborate discussion of giving Una a job.	false	1401.65	1407.82	12
3025_12971_000040_000000	It was her last hope in Panama.	It was her last hope in Panama.	true	1409.09	1411.84	17
3025_12971_000040_000001	She went disconsolately down the short street, between the two-story buildings and the rows of hitched lumber-wagons.	She went disconsolately down the short street, between the two story buildings and the rows of hitched lumber wagons.	true	1412.24	1420.66	14
3025_12971_000040_000002	Nellie Page, the town belle, tripping by in canvas sneakers and a large red hair-ribbon, shouted at her, and Charlie Martindale, of the First National Bank, nodded to her, but these exquisites were too young for her; they danced too well and laughed too easily.	Nellie Page, the town belle, tripping by in canvas sneakers and a large red hair ribbon, shouted at her, and Charlie Martindale, of the First National Bank, nodded to her, but these exquisites were too young for her; they danced too well and laughed too easily.	false	1421.15	1442.35	17
3025_12971_000040_000003	The person who stopped her for a long curbstone conference about the weather, while most of the town observed and gossiped, was the fateful Henry Carson.	The person who stopped her for a long curbstone conference about the weather, while most of the town observed and gossiped, was the fateful Henry Carson.	true	1442.9	1454.32	16
3025_12971_000040_000004	The village sun was unusually blank and hard on Henry's bald spot to-day. _Heavens!_ she cried to herself, in almost hysterical protest, would she have to marry Henry?	The village sun was unusually blank and hard on Henry's bald spot to day. underscore Heavens!underscore she cried to herself, in almost hysterical protest, would she have to marry Henry?	false	1454.81	1469.08	16
3025_12971_000041_000000	Miss Mattie Pugh drove by, returning from district school.	Miss Mattie Pugh drove by, returning from district school.	true	1470.65	1475.35	17
3025_12971_000041_000001	Miss Mattie had taught at Clark's Crossing for seventeen years, had grown meek and meager and hopeless.	Miss Mattie had taught at Clark's Crossing for seventeen years, had grown meek and meager and hopeless.	true	1475.69	1483.71	17
3025_12971_000041_000002	_Heavens!_ thought Una, would she have to be shut into the fetid barn of a small school unless she married Henry?	underscore Heavens!underscore thought Una, would she have to be shut into the fetid barn of a small school unless she married Henry?	false	1483.71	1493.17	17
3025_12971_000042_000000	"I _won't_ be genteel!	"I underscore won't underscore be genteel!	false	1494.92	1497.43	17.390432
3025_12971_000042_000001	I'll work in The Hub or any place first!" Una declared.	I'll work in The Hub or any place first!" Una declared.	true	1497.62	1502.68	19.655289
3025_12971_000042_000002	While she trudged home--a pleasant, inconspicuous, fluffy-haired young woman, undramatic as a field daisy--a cataract of protest poured through her.	While she trudged home-a pleasant, inconspicuous, fluffy haired young woman, undramatic as a field daisy-a cataract of protest poured through her.	true	1503.11	1515.1	20
3025_12971_000042_000003	All the rest of her life she would have to meet that doddering old Mr. Mosely, who was unavoidably bearing down on her now, and be held by him in long, meaningless talks.	All the rest of her life she would have to meet that doddering old mr Mosely, who was unavoidably bearing down on her now, and be held by him in long, meaningless talks.	true	1515.59	1528.57	15
3025_12971_000042_000004	And there was nothing amusing to do!	And there was nothing amusing to do!	true	1528.91	1531.57	15
3025_12971_000042_000005	She was so frightfully bored.	She was so frightfully bored.	true	1531.73	1534.12	19.931974
3025_12971_000042_000006	She suddenly hated the town, hated every evening she would have to spend there, reading newspapers and playing cards with her mother, and dreading a call from Mr. Henry Carson.	She suddenly hated the town, hated every evening she would have to spend there, reading newspapers and playing cards with her mother, and dreading a call from mr Henry Carson.	true	1534.34	1547.77	17
3025_12971_000043_000000	She wanted--wanted some one to love, to talk with.	She wanted-wanted some one to love, to talk with.	true	1549.25	1554.4	18.925358
3025_12971_000043_000001	Why had she discouraged the beautiful Charlie Martindale, the time he had tried to kiss her at a dance?	Why had she discouraged the beautiful Charlie Martindale, the time he had tried to kiss her at a dance?	true	1554.83	1562.08	16
3025_12971_000043_000002	Charlie was fatuous, but he was young, and she wanted, yes, yes! that was it, she wanted youth, she who was herself so young.	Charlie was fatuous, but he was young, and she wanted, yes, yes! that was it, she wanted youth, she who was herself so young.	true	1562.48	1573.99	18.616583
3025_12971_000043_000003	And she would grow old here unless some one, one of these godlike young men, condescended to recognize her.	And she would grow old here unless some one, one of these godlike young men, condescended to recognize her.	true	1574.21	1582.66	16
3025_12971_000043_000004	Grow old among these streets like piles of lumber.	Grow old among these streets like piles of lumber.	true	1582.94	1587.01	17
3025_12971_000044_000000	She charged into the small, white, ambling Golden house, with its peculiar smell of stale lamb gravy, and on the old broken couch--where her father had snored all through every bright Sunday afternoon--she sobbed feebly.	She charged into the small, white, ambling Golden house, with its peculiar smell of stale lamb gravy, and on the old broken couch-where her father had snored all through every bright Sunday afternoon-she sobbed feebly.	true	1588.7	1607.11	17
3025_12971_000045_000000	She raised her head to consider a noise overhead--the faint, domestic thunder of a sewing-machine shaking the walls with its rhythm.	She raised her head to consider a noise overhead-the faint, domestic thunder of a sewing machine shaking the walls with its rhythm.	true	1608.65	1619.05	16
3025_12971_000045_000001	The machine stopped.	The machine stopped.	true	1619.33	1620.97	19.14095
3025_12971_000045_000002	She heard the noise of scissors dropped on the floor--the most stuffily domestic sound in the world.	She heard the noise of scissors dropped on the floor-the most stuffily domestic sound in the world.	true	1621.34	1628.5	18.170015
3025_12971_000045_000003	The airless house was crushing her.	The airless house was crushing her.	true	1628.78	1631.68	18.563908
3025_12971_000045_000004	She sprang up--and then she sat down again.	She sprang up-and then she sat down again.	true	1632.05	1635.61	19.221498
3025_12971_000045_000005	There was no place to which she could flee.	There was no place to which she could flee.	true	1635.83	1638.49	20
3025_12971_000045_000006	Henry Carson and the district school were menacing her.	Henry Carson and the district school were menacing her.	true	1638.98	1642.99	14
3025_12971_000045_000007	And meantime she had to find out what her mother was sewing--whether she had again been wasting money in buying mourning.	And meantime she had to find out what her mother was sewing-whether she had again been wasting money in buying mourning.	true	1643.39	1651.78	12
3025_12971_000046_000000	"Poor, poor little mother, working away happy up there, and I've got to go and scold you," Una agonized.	"Poor, poor little mother, working away happy up there, and I've got to go and scold you," Una agonized.	true	1653.02	1661.35	20.835001
3025_12971_000046_000001	"Oh, I want to earn money, I want to earn real money for you."	"Oh, I want to earn money, I want to earn real money for you."	true	1661.72	1667.88	18.259155
3025_12971_000047_000000	She saw a quadrangle of white on the table, behind a book.	She saw a quadrangle of white on the table, behind a book.	true	1667.88	1672.52	18
3025_12971_000047_000001	She pounced on it.	She pounced on it.	true	1672.52	1673.92	20
3025_12971_000047_000002	It was a letter from Mrs. Sessions, and Una scratched it open excitedly.	It was a letter from mrs Sessions, and Una scratched it open excitedly.	true	1673.99	1679.68	16
3025_12971_000048_000000	Mr. and Mrs. Albert Sessions, of Panama, had gone to New York.	mr and mrs Albert Sessions, of Panama, had gone to New York.	true	1680.8	1686.19	21
3025_12971_000048_000001	Mr. Sessions was in machinery.	mr Sessions was in machinery.	true	1686.38	1689.1	14
3025_12971_000048_000002	They liked New York.	They liked New York.	true	1689.35	1691.23	24.690628
3025_12971_000048_000003	They lived in a flat and went to theaters.	They lived in a flat and went to theaters.	true	1691.3	1694.44	18.994345
3025_12971_000048_000004	Mrs. Sessions was a pillowy soul whom Una trusted.	mrs Sessions was a pillowy soul whom Una trusted.	true	1694.84	1699.21	17
3025_12971_000049_000000	"Why don't you," wrote Mrs. Sessions, "if you don't find the kind of work you want in Panama, think about coming up to New York and taking stenography?	"Why don't you," wrote mrs Sessions, "if you don't find the kind of work you want in Panama, think about coming up to New York and taking stenography?	true	1700.48	1712.2	18
3025_12971_000049_000001	There are lots of chances here for secretaries, etc."	There are lots of chances here for secretaries, etc"	true	1712.51	1716.73	18
3025_12971_000050_000000	Una carefully laid down the letter.	Una carefully laid down the letter.	true	1718.21	1720.84	16
3025_12971_000050_000001	She went over and straightened her mother's red wool slippers.	She went over and straightened her mother's red wool slippers.	true	1721.24	1725.49	12
3025_12971_000050_000002	She wanted to postpone for an exquisite throbbing moment the joy of announcing to herself that she had made a decision.	She wanted to postpone for an exquisite throbbing moment the joy of announcing to herself that she had made a decision.	true	1725.86	1735.84	17
3025_12971_000051_000000	She _would_ go to New York, become a stenographer, a secretary to a corporation president, a rich woman, free, responsible.	She underscore would underscore go to New York, become a stenographer, a secretary to a corporation president, a rich woman, free, responsible.	false	1736.75	1747.3	19.908262
3025_12971_000052_000000	The fact of making this revolutionary decision so quickly gave her a feeling of power, of already being a business woman.	The fact of making this revolutionary decision so quickly gave her a feeling of power, of already being a business woman.	true	1748.72	1758.76	18
3025_12971_000053_000000	She galloped up-stairs to the room where her mother was driving the sewing-machine.	She galloped up stairs to the room where her mother was driving the sewing machine.	true	1759.85	1765.09	14
3025_12971_000054_000000	"Mumsie!" she cried, "we're going to New York!	"Mumsie!" she cried, "we're going to New York!	true	1766.12	1769.86	21.690262
3025_12971_000054_000001	I'm going to learn to be a business woman, and the little mother will be all dressed in satin and silks, and dine on what-is-it and peaches and cream--the poem don't come out right, but, oh, my little mother, we're going out adventuring, we are!"	I'm going to learn to be a business woman, and the little mother will be all dressed in satin and silks, and dine on what is it and peaches and cream-the poem don't come out right, but, oh, my little mother, we're going out adventuring, we are!"	true	1769.99	1786.42	15
3025_12971_000055_000000	She plunged down beside her mother, burrowed her head in her mother's lap, kissed that hand whose skin was like thinnest wrinkly tissue-paper.	She plunged down beside her mother, burrowed her head in her mother's lap, kissed that hand whose skin was like thinnest wrinkly tissue paper.	false	1787.54	1798.45	18.319708
3025_12971_000056_000000	"Why, my little daughter, what is it?	"Why, my little daughter, what is it?	true	1799.69	1802.14	18
3025_12971_000056_000001	Has some one sent for us?	Has some one sent for us?	true	1802.24	1804.06	19
3025_12971_000056_000002	Is it the letter from Emma Sessions?	Is it the letter from Emma Sessions?	true	1804.25	1806.64	20
3025_12971_000056_000003	What did she say in it?"	What did she say in it?"	true	1806.74	1808.38	18.845892
3025_12971_000057_000000	"She suggested it, but we are going up independent."	"She suggested it, but we are going up independent."	true	1809.23	1813.27	20
3025_12971_000058_000000	"But can we afford to?...	"But can we afford to?...	true	1814.18	1815.97	23.151564
3025_12971_000058_000001	I would like the draymas and art-galleries and all!"	I would like the draymas and art galleries and all!"	true	1816.31	1819.54	19
3025_12971_000059_000000	"We _will_ afford to!	"We underscore will underscore afford to!	false	1820.48	1822.51	19
3025_12971_000059_000001	We'll gamble, for once!"	We'll gamble, for once!"	false	1822.58	1834.83	15.636669
