6904_262291_000000_000000	"Yes, I shall be out in time for the examination at the Guildhall.	"Yes, I shall be out in time for the examination at the Guildhall.	false	0	3.69	25.123613
6904_262291_000091_000001	"Galloway has never turned you off!"	"Galloway has never turned you off!"	true	797.18	799.39	22.60805
6904_262291_000092_000000	"Yes, he has."	"Yes, he has."	true	799.94	801.07	22.510443
6904_262291_000093_000000	"Then I'll go too!" thundered Roland, who, truth to say, had flown into an uncontrollable passion, startling Jenkins and arousing Mr. Galloway. "I'll not stop in a place where that sort of injustice goes on!	"Then I'll go too!" thundered Roland, who, truth to say, had flown into an uncontrollable passion, startling Jenkins and arousing mr Galloway. "I'll not stop in a place where that sort of injustice goes on!	true	801.77	813.22	24.298439
6904_262291_000093_000001	He'll be turning me out next!	He'll be turning me out next!	true	813.29	814.905	22.25129
6904_262291_000093_000002	Catch me stopping for it!"	Catch me stopping for it!"	true	814.905	816.43	27.948683
6904_262291_000094_000000	"Are you taken crazy, Mr. Roland Yorke?"	"Are you taken crazy, mr Roland Yorke?"	true	817.01	819.91	23.691162
6904_262291_000095_000000	The question proceeded from his master, who came forth to make it. Roland turned to him, his temper unsubdued, and his colour rising.	The question proceeded from his master, who came forth to make it. Roland turned to him, his temper unsubdued, and his colour rising.	true	820.46	828.31	22.70649
6904_262291_000096_000000	"Channing never took the money, sir!	"Channing never took the money, sir!	true	829.19	830.955	23.044842
6904_262291_000096_000001	It is not just to turn him away."	It is not just to turn him away."	true	830.955	832.87	24.356543
6904_262291_000097_000000	"Did you help him to take it, pray, that you identify yourself with the affair so persistently and violently?" demanded Mr. Galloway, in a cynical tone.	"Did you help him to take it, pray, that you identify yourself with the affair so persistently and violently?" demanded mr Galloway, in a cynical tone.	true	833.15	841.75	26.173754
6904_262291_000097_000001	And Roland answered with a hot and haughty word.	And Roland answered with a hot and haughty word.	true	842.03	844.51	20.654354
6904_262291_000098_000000	"If you cannot attend to your business a little better, you will get your dismissal from me; you won't require to dismiss yourself," said Mr. Galloway.	"If you cannot attend to your business a little better, you will get your dismissal from me; you won't require to dismiss yourself," said mr Galloway.	true	845.54	852.52	26.149
6904_262291_000098_000001	"Sit down, sir, and go on with your work."	"Sit down, sir, and go on with your work."	true	852.71	855.1	27.169325
6904_262291_000099_000000	"And that's all the thanks a fellow gets for taking up a cause of oppression!" muttered Mr. Roland Yorke, as he sullenly resumed his place at the desk.	"And that's all the thanks a fellow gets for taking up a cause of oppression!" muttered mr Roland Yorke, as he sullenly resumed his place at the desk.	true	855.5	863.1	24.841452
6904_262291_000099_000001	"This is a precious world to live in!"	"This is a precious world to live in!"	false	863.1	874.98	24.56137
