8474_281187_000000_000000	THE ARABIAN NIGHTS	THE ARABIAN NIGHTS	false	0	0.27	-20
8474_281187_000038_000000	After Baba Mustapha had finished his task, she blindfolded him again, gave him the third piece of gold as she had promised, and recommending secrecy to him, carried him back to the place where she first bound his eyes, pulled off the bandage, and let him go home, but watched him that he returned toward his stall, till he was quite out of sight, for fear he should have the curiosity to return and dodge her; she then went home.	After Baba Mustapha had finished his task, she blindfolded him again, gave him the third piece of gold as she had promised, and recommending secrecy to him, carried him back to the place where she first bound his eyes, pulled off the bandage, and let him go home, but watched him that he returned toward his stall, till he was quite out of sight, for fear he should have the curiosity to return and dodge her; she then went home.	true	997.1	1022.62	22.58994
8474_281187_000038_000001	Morgiana, on her return, warmed some water to wash the body, and at the same time Ali Baba perfumed it with incense, and wrapped it in the burying clothes with the accustomed ceremonies.	Morgiana, on her return, warmed some water to wash the body, and at the same time Ali Baba perfumed it with incense, and wrapped it in the burying clothes with the accustomed ceremonies.	false	1023.29	1034.77	23.403574
8474_281187_000038_000002	Not long after, the proper officer brought the bier, and when the attendants of the mosque, whose business it was to wash the dead, offered to perform their duty, she told them that it was done already.	Not long after, the proper officer brought the bier, and when the attendants of the mosque, whose business it was to wash the dead, offered to perform their duty, she told them that it was done already.	true	1035.44	1047.34	23.817476
8474_281187_000038_000003	Shortly after this the imaun and the other ministers of the mosque arrived.	Shortly after this the imaun and the other ministers of the mosque arrived.	false	1048.22	1052.74	21.77434
8474_281187_000038_000004	Four neighbors carried the corpse to the burying ground, following the imaun, who recited some prayers.	Four neighbors carried the corpse to the burying ground, following the imaun, who recited some prayers.	false	1053.02	1058.95	23.029366
8474_281187_000038_000005	Ali Baba came after with some neighbors, who often relieved the others in carrying the bier to the burying ground.	Ali Baba came after with some neighbors, who often relieved the others in carrying the bier to the burying ground.	true	1059.5	1065.85	22
8474_281187_000038_000006	Morgiana, a slave to the deceased, followed in the procession, weeping, beating her breast, and tearing her hair. Cassim's wife stayed at home mourning, uttering lamentable cries with the women of the neighborhood, who came, according to custom, during the funeral, and, joining their lamentations with hers, filled the quarter far and near with sounds of sorrow.	Morgiana, a slave to the deceased, followed in the procession, weeping, beating her breast, and tearing her hair. Cassim's wife stayed at home mourning, uttering lamentable cries with the women of the neighborhood, who came, according to custom, during the funeral, and, joining their lamentations with hers, filled the quarter far and near with sounds of sorrow.	true	1066.43	1089.37	21.42445
8474_281187_000039_000000	In this manner Cassim's melancholy death was concealed, and hushed up between Ali Baba, his widow, and Morgiana, his slave, with so much contrivance that nobody in the city had the least knowledge or suspicion of the cause of it.	In this manner Cassim's melancholy death was concealed, and hushed up between Ali Baba, his widow, and Morgiana, his slave, with so much contrivance that nobody in the city had the least knowledge or suspicion of the cause of it.	true	1090.13	1103.77	22.744081
8474_281187_000039_000001	Three or four days after the funeral, Ali Baba removed his few goods openly to his sister-in- law's house, in which it was agreed that he should in future live; but the money he had taken from the robbers he conveyed thither by night.	Three or four days after the funeral, Ali Baba removed his few goods openly to his sister in law's house, in which it was agreed that he should in future live; but the money he had taken from the robbers he conveyed thither by night.	true	1104.44	1117.36	22.760267
8474_281187_000039_000002	As for Cassim's warehouse, he intrusted it entirely to the management of his eldest son.	As for Cassim's warehouse, he intrusted it entirely to the management of his eldest son.	true	1117.82	1122.73	20
8474_281187_000040_000000	While these things were being done, the forty robbers again visited their retreat in the forest.	While these things were being done, the forty robbers again visited their retreat in the forest.	true	1123.55	1128.37	21.50516
8474_281187_000040_000001	Great, then, was their surprise to find Cassim's body taken away, with some of their bags of gold.	Great, then, was their surprise to find Cassim's body taken away, with some of their bags of gold.	true	1128.56	1134.43	22.96952
8474_281187_000040_000002	"We are certainly discovered," said the captain.	"We are certainly discovered," said the captain.	true	1134.68	1137.34	25.904715
8474_281187_000040_000003	"The removal of the body and the loss of some of our money plainly show that the man whom we killed had an accomplice; and for our own lives' sake we must try and find him.	"The removal of the body and the loss of some of our money plainly show that the man whom we killed had an accomplice; and for our own lives' sake we must try and find him.	true	1137.53	1146.81	20
8474_281187_000040_000004	What say you, my lads?"	What say you, my lads?"	false	1146.81	1148.89	21.508242
8474_281187_000041_000000	All the robbers unanimously approved of the captain's proposal.	All the robbers unanimously approved of the captain's proposal.	true	1149.59	1153.21	22.220675
8474_281187_000042_000000	"Well," said the captain, "one of you, the boldest and most skilful among you, must go into the town, disguised as a traveller and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.	"Well," said the captain, "one of you, the boldest and most skilful among you, must go into the town, disguised as a traveller and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.	true	1154.18	1168.84	22.629017
8474_281187_000042_000001	This is a matter of the first importance, and for fear of any treachery, I propose that whoever undertakes this business without success, even though the failure arises only from an error of judgment, shall suffer death."	This is a matter of the first importance, and for fear of any treachery, I propose that whoever undertakes this business without success, even though the failure arises only from an error of judgment, shall suffer death."	true	1169.15	1181.8	22.73452
8474_281187_000043_000000	Without waiting for the sentiments of his companions, one of the robbers started up, and said, "I submit to this condition, and think it an honor to expose my life to serve the troop."	Without waiting for the sentiments of his companions, one of the robbers started up, and said, "I submit to this condition, and think it an honor to expose my life to serve the troop."	true	1182.47	1192.9	25.395685
8474_281187_000044_000000	After this robber had received great commendations from the captain and his comrades, he disguised himself so that nobody would take him for what he was; and taking his leave of the troop that night, went into the town just at daybreak, and walked up and down, till accidentally he came to Baba Mustapha's stall, which was always open before any of the shops.	After this robber had received great commendations from the captain and his comrades, he disguised himself so that nobody would take him for what he was; and taking his leave of the troop that night, went into the town just at daybreak, and walked up and down, till accidentally he came to Baba Mustapha's stall, which was always open before any of the shops.	true	1193.72	1213.51	22.890581
8474_281187_000045_000000	Baba Mustapha was seated with an awl in his hand, just going to work.	Baba Mustapha was seated with an awl in his hand, just going to work.	true	1214.06	1218.46	21.321804
8474_281187_000046_000000	The robber saluted him, bidding him good-morrow; and, perceiving that he was old, said, "Honest man, you begin to work very early: is it possible that one of your age can see so well?	The robber saluted him, bidding him good morrow; and, perceiving that he was old, said, "Honest man, you begin to work very early: is it possible that one of your age can see so well?	true	1218.98	1230.46	22.397388
8474_281187_000046_000001	I question, even if it were somewhat lighter, whether you could see to stitch."	I question, even if it were somewhat lighter, whether you could see to stitch."	true	1230.59	1234.93	25.225075
8474_281187_000047_000000	"You do not know me," replied Baba Mustapha; "for old as I am, I have extraordinary good eyes; and you will not doubt it when I tell you that I sewed the body of a dead man together in a place where I had not so much light as I have now."	"You do not know me," replied Baba Mustapha; "for old as I am, I have extraordinary good eyes; and you will not doubt it when I tell you that I sewed the body of a dead man together in a place where I had not so much light as I have now."	true	1235.96	1250.53	22
8474_281187_000048_000000	"A dead body!" exclaimed the robber, with affected amazement. "Yes, yes," answered Baba Mustapha; "I see you want to have me speak out, but you shall know no more."	"A dead body!" exclaimed the robber, with affected amazement. "Yes, yes," answered Baba Mustapha; "I see you want to have me speak out, but you shall know no more."	true	1251.38	1262.5	21.92231
8474_281187_000049_000000	The robber felt sure that he had discovered what he sought.	The robber felt sure that he had discovered what he sought.	true	1263.26	1266.16	24.156715
8474_281187_000049_000001	He pulled out a piece of gold, and putting it into Baba Mustapha's hand, said to him, "I do not want to learn your secret, though I can assume you you might safely trust me with it.	He pulled out a piece of gold, and putting it into Baba Mustapha's hand, said to him, "I do not want to learn your secret, though I can assume you you might safely trust me with it.	true	1266.29	1276.3	24.571907
8474_281187_000049_000002	The only thing I desire of you is to show me the house where you stitched up the dead body."	The only thing I desire of you is to show me the house where you stitched up the dead body."	true	1276.4	1281.04	23.214306
8474_281187_000050_000000	"If I were disposed to do you that favor," replied Baba Mustapha, "I assure you I cannot.	"If I were disposed to do you that favor," replied Baba Mustapha, "I assure you I cannot.	true	1281.89	1288.1	25.113058
8474_281187_000050_000001	I was taken to a certain place, whence I was led blindfold to the house, and afterward brought back again in the same manner; you see, therefore, the impossibility of my doing what you desire."	I was taken to a certain place, whence I was led blindfold to the house, and afterward brought back again in the same manner; you see, therefore, the impossibility of my doing what you desire."	false	1288.1	1299.67	21
8474_281187_000051_000000	"Well," replied the robber, "you may, however, remember a little of the way that you were led blindfold.	"Well," replied the robber, "you may, however, remember a little of the way that you were led blindfold.	true	1300.1	1305.9	22.766829
8474_281187_000051_000001	Come, let me blind your eyes at the same place.	Come, let me blind your eyes at the same place.	true	1305.9	1308.86	24.957695
8474_281187_000051_000002	We will walk together; perhaps you may recognize some part; and as everybody ought to be paid for their trouble, there is another piece of gold for you; gratify me in what I ask you." So saying, he put another piece of gold into his hand.	We will walk together; perhaps you may recognize some part; and as everybody ought to be paid for their trouble, there is another piece of gold for you; gratify me in what I ask you." So saying, he put another piece of gold into his hand.	false	1308.86	1323.04	23.315525
8474_281187_000052_000000	The two pieces of gold were great temptations to Baba Mustapha.	The two pieces of gold were great temptations to Baba Mustapha.	true	1323.38	1327.18	24
8474_281187_000052_000001	He looked at them a long time in his hand without saying a word, but at last he pulled out his purse and put them in.	He looked at them a long time in his hand without saying a word, but at last he pulled out his purse and put them in.	false	1327.28	1333.24	22.821062
8474_281187_000052_000002	"I cannot promise," said he to the robber, "that I can remember the way exactly; but since you desire, I will try what I can do." At these words Baba Mustapha rose up, to the great joy of the robber, and led him to the place where Morgiana had bound his eyes.	"I cannot promise," said he to the robber, "that I can remember the way exactly; but since you desire, I will try what I can do." At these words Baba Mustapha rose up, to the great joy of the robber, and led him to the place where Morgiana had bound his eyes.	false	1333.55	1348.87	22.925402
8474_281187_000052_000003	"It was here," said Baba Mustapha, "I was blindfolded; and I turned this way." The robber tied his handkerchief over his eyes, and walked by him till they stopped directly at Cassim's house, where Ali Baba then lived.	"It was here," said Baba Mustapha, "I was blindfolded; and I turned this way." The robber tied his handkerchief over his eyes, and walked by him till they stopped directly at Cassim's house, where Ali Baba then lived.	true	1349.09	1362.55	22.701374
8474_281187_000052_000004	The thief, before he pulled off the band, marked the door with a piece of chalk, which he had ready in his hand, and then asked him if he knew whose house that was; to which Baba Mustapha replied, that as he did not live in that neighborhood he could not tell.	The thief, before he pulled off the band, marked the door with a piece of chalk, which he had ready in his hand, and then asked him if he knew whose house that was; to which Baba Mustapha replied, that as he did not live in that neighborhood he could not tell.	true	1362.83	1376.47	23.163225
8474_281187_000053_000000	The robber, finding he could discover no more from Baba Mustapha, thanked him for the trouble he had taken, and left him to go back to his stall, while he returned to the forest, persuaded that he should be very well received.	The robber, finding he could discover no more from Baba Mustapha, thanked him for the trouble he had taken, and left him to go back to his stall, while he returned to the forest, persuaded that he should be very well received.	true	1377.2	1388.47	21.824076
8474_281187_000054_000000	A little after the robber and Baba Mustapha had parted, Morgiana went out of Ali Baba's house upon some errand, and upon her return, seeing the mark the robber had made, stopped to observe it.	A little after the robber and Baba Mustapha had parted, Morgiana went out of Ali Baba's house upon some errand, and upon her return, seeing the mark the robber had made, stopped to observe it.	true	1389.23	1399.93	23.27729
8474_281187_000054_000001	"What can be the meaning of this mark?" said she to herself; "somebody intends my master no good: however, with whatever intention it was done, it is advisable to guard against the worst." Accordingly, she fetched a piece of chalk, and marked two or three doors on each side, in the same manner, without saying a word to her master or mistress.	"What can be the meaning of this mark?" said she to herself; "somebody intends my master no good: however, with whatever intention it was done, it is advisable to guard against the worst." Accordingly, she fetched a piece of chalk, and marked two or three doors on each side, in the same manner, without saying a word to her master or mistress.	true	1400.27	1419.37	22.545486
8474_281187_000055_000000	In the meantime, the robber rejoined his troop in the forest, and recounted to them his success, expatiating upon his good fortune in meeting so soon with the only person who could inform him of what he wanted to know.	In the meantime, the robber rejoined his troop in the forest, and recounted to them his success, expatiating upon his good fortune in meeting so soon with the only person who could inform him of what he wanted to know.	true	1419.86	1431.34	22
8474_281187_000055_000001	All the robbers listened to him with the utmost satisfaction; when the captain, after commending his diligence, addressing himself to them all, said, "Comrades, we have no time to lose: let us set off well armed, without its appearing who we are; but that we may not excite any suspicion, let only one or two go into the town together, and join at our rendezvous, which shall be the great square.	All the robbers listened to him with the utmost satisfaction; when the captain, after commending his diligence, addressing himself to them all, said, "Comrades, we have no time to lose: let us set off well armed, without its appearing who we are; but that we may not excite any suspicion, let only one or two go into the town together, and join at our rendezvous, which shall be the great square.	true	1431.77	1453.27	22.893875
8474_281187_000055_000002	In the meantime, our comrade who brought us the good news and I will go and find out the house, that we may consult what had best be done."	In the meantime, our comrade who brought us the good news and I will go and find out the house, that we may consult what had best be done."	false	1453.64	1460.59	23
8474_281187_000056_000000	This speech and plan were approved of by all, and they were soon ready.	This speech and plan were approved of by all, and they were soon ready.	true	1461.29	1464.88	24.808428
8474_281187_000056_000001	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.	true	1465.19	1472.23	23.643585
8474_281187_000056_000002	The captain, and he who had visited the town in the morning as spy, came in the last.	The captain, and he who had visited the town in the morning as spy, came in the last.	true	1472.66	1477.63	23.636356
8474_281187_000056_000003	He led the captain into the street where he had marked Ali Baba's residence; and when they came to the first of the houses which Morgiana had marked, he pointed it out.	He led the captain into the street where he had marked Ali Baba's residence; and when they came to the first of the houses which Morgiana had marked, he pointed it out.	false	1477.85	1486.12	22.24321
8474_281187_000056_000004	But the captain observed that the next door was chalked in the same manner, and in the same place; and showing it to his guide, asked him which house it was, that, or the first. The guide was so confounded that he knew not what answer to make, but still more puzzled when he and the captain saw five or six houses similarly marked.	But the captain observed that the next door was chalked in the same manner, and in the same place; and showing it to his guide, asked him which house it was, that, or the first. The guide was so confounded that he knew not what answer to make, but still more puzzled when he and the captain saw five or six houses similarly marked.	false	1486.52	1504.81	22.71743
8474_281187_000056_000005	He assured the captain, with an oath, that he had marked but one, and could not tell who had chalked the rest, so that he could not distinguish the house which the cobbler had stopped at.	He assured the captain, with an oath, that he had marked but one, and could not tell who had chalked the rest, so that he could not distinguish the house which the cobbler had stopped at.	false	1505.18	1523.52	22.895151
