3032_19361_000000_000000	LAW I. _Planets move in ellipses, with the Sun in one focus._	LAW i underscore Planets move in ellipses, with the Sun in one focus.underscore	false	109.05	141.75	21.996206
3032_19361_000052_000001	Hence was introduced the idea of an Equant, _i.e._ an arbitrary point, not the earth, about which the speed might be uniform.	Hence was introduced the idea of an Equant, underscore i e underscore an arbitrary point, not the earth, about which the speed might be uniform.	false	1441.55	1453.21	24.63802
3032_19361_000052_000002	Copernicus, by making the sun the centre, had been able to simplify a good deal of this, and to abolish the equant.	Copernicus, by making the sun the centre, had been able to simplify a good deal of this, and to abolish the equant.	false	1453.76	1463.11	23.268097
3032_19361_000053_000000	But now that Kepler had the accurate observations of Tycho to refer to, he found immense difficulty in obtaining the true positions of the planets for long together on any such theory.	But now that Kepler had the accurate observations of Tycho to refer to, he found immense difficulty in obtaining the true positions of the planets for long together on any such theory.	true	1463.72	1477.42	22.110928
3032_19361_000054_000000	He specially attacked the motion of the planet Mars, because that was sufficiently rapid in its changes for a considerable collection of data to have accumulated with respect to it.	He specially attacked the motion of the planet Mars, because that was sufficiently rapid in its changes for a considerable collection of data to have accumulated with respect to it.	true	1478.75	1491.28	23.302084
3032_19361_000054_000001	He tried all manner of circular orbits for the earth and for Mars, placing them in all sorts of aspects with respect to the sun.	He tried all manner of circular orbits for the earth and for Mars, placing them in all sorts of aspects with respect to the sun	true	1491.65	1500.73	21.051247
3032_19361_000054_000002	The problem to be solved was to choose such an orbit and such a law of speed, for both the earth and Mars, that a line joining them, produced out to the stars, should always mark correctly the apparent position of Mars as seen from the earth.	The problem to be solved was to choose such an orbit and such a law of speed, for both the earth and Mars, that a line joining them, produced out to the stars, should always mark correctly the apparent position of Mars as seen from the earth.	true	1501.49	1519.42	22.93984
3032_19361_000054_000003	He had to arrange the size of the orbits that suited best, then the positions of their centres, both being supposed excentric with respect to the sun; but he could not get any such arrangement to work with uniform motion about the sun.	He had to arrange the size of the orbits that suited best, then the positions of their centres, both being supposed excentric with respect to the sun; but he could not get any such arrangement to work with uniform motion about the sun	true	1520	1537.3	22.216846
3032_19361_000054_000004	So he reintroduced the equant, and thus had another variable at his disposal--in fact, two, for he had an equant for the earth and another for Mars, getting a pattern of the kind suggested in Fig. 29.	So he reintroduced the equant, and thus had another variable at his disposal-in fact, two, for he had an equant for the earth and another for Mars, getting a pattern of the kind suggested in Fig. twenty nine.	false	1538.42	1555.15	22.209795
3032_19361_000055_000000	The equants might divide the line in any arbitrary ratio.	The equants might divide the line in any arbitrary ratio.	true	1556	1561.03	22.111416
3032_19361_000055_000001	All sorts of combinations had to be tried, the relative positions of the earth and Mars to be worked out for each, and compared with Tycho's recorded observations.	All sorts of combinations had to be tried, the relative positions of the earth and Mars to be worked out for each, and compared with Tycho's recorded observations.	true	1561.25	1573.09	22.82533
3032_19361_000055_000002	It was easy to get them to agree for a short time, but sooner or later a discrepancy showed itself.	It was easy to get them to agree for a short time, but sooner or later a discrepancy showed itself.	true	1573.64	1581.48	22.987455
3032_19361_000056_000000	[Illustration: FIG. 29.--_S_ represents the sun; _EC_, the centre of the earth's orbit, to be placed as best suited; _MC_, the same for Mars; _EE_, the earth's equant, or point about which the earth uniformly revolved (_i.e._ the point determining the law of speed about the sun), likewise to be placed anywhere, but supposed to be in the line joining _S_ to _EC_; _ME_, the same thing for Mars; with _?ME_ for an alternative hypothesis that perhaps Mars' equant was on line joining _EC_ with _MC_.]	[Illustration: FIG. twenty nine.--underscore S underscore represents the sun; underscore e c underscore, the centre of the earth's orbit, to be placed as best suited; underscore m c underscore, the same for Mars; underscore EE underscore, the earth's equant, or point about which the earth uniformly revolved (underscore i e underscore the point determining the law of speed about the sun), likewise to be placed anywhere, but supposed to be in the line joining underscore S underscore to underscore e c underscore; underscore ME underscore, the same thing for Mars; with underscore?ME underscore for an alternative hypothesis that perhaps Mars' equant was on line joining underscore e c underscore with underscore m c underscore.]	false	1581.48	1582.08	100
3032_19361_000057_000000	I need not say that all these attempts and gropings, thus briefly summarized, entailed enormous labour, and required not only great pertinacity, but a most singularly constituted mind, that could thus continue groping in the dark without a possible ray of theory to illuminate its search.	I need not say that all these attempts and gropings, thus briefly summarized, entailed enormous labour, and required not only great pertinacity, but a most singularly constituted mind, that could thus continue groping in the dark without a possible ray of theory to illuminate its search.	false	1582.08	1603.63	22.40314
3032_19361_000057_000001	Grope he did, however, with unexampled diligence.	Grope he did, however, with unexampled diligence.	true	1604	1608.16	24.849922
3032_19361_000058_000000	At length he hit upon a point that seemed nearly right.	At length he hit upon a point that seemed nearly right.	true	1608.95	1613.47	22.863949
3032_19361_000058_000001	He thought he had found the truth; but no, before long the position of the planet, as calculated, and as recorded by Tycho, differed by eight minutes of arc, or about one-eighth of a degree.	He thought he had found the truth; but no, before long the position of the planet, as calculated, and as recorded by Tycho, differed by eight minutes of arc, or about one eighth of a degree.	true	1613.72	1629.16	24.461014
3032_19361_000058_000002	Could the observation be wrong by this small amount?	Could the observation be wrong by this small amount?	false	1629.41	1633.33	20.417948
3032_19361_000058_000003	No, he had known Tycho, and knew that he was never wrong eight minutes in an observation.	No, he had known Tycho, and knew that he was never wrong eight minutes in an observation.	true	1633.67	1641.37	22.108603
3032_19361_000059_000000	So he set out the whole weary way again, and said that with those eight minutes he would yet find out the law of the universe.	So he set out the whole weary way again, and said that with those eight minutes he would yet find out the law of the universe.	true	1641.95	1651.21	21.358332
3032_19361_000059_000001	He proceeded to see if by making the planet librate, or the plane of its orbit tilt up and down, anything could be done.	He proceeded to see if by making the planet librate, or the plane of its orbit tilt up and down, anything could be done.	true	1651.58	1661.26	22.30709
3032_19361_000059_000002	He was rewarded by finding that at any rate the plane of the orbit did not tilt up and down: it was fixed, and this was a simplification on Copernicus's theory.	He was rewarded by finding that at any rate the plane of the orbit did not tilt up and down: it was fixed, and this was a simplification on Copernicus's theory.	true	1661.75	1674.04	23.407393
3032_19361_000059_000003	It is not an absolute fixture, but the changes are very small (see Laplace, page 266).	It is not an absolute fixture, but the changes are very small (see Laplace, page two hundred sixty six).	false	1674.47	1679.82	23.515856
3032_19361_000060_000000	[Illustration: FIG. 30.--Excentric circle supposed to be divided into equal areas.	[Illustration: FIG. thirty.--Excentric circle supposed to be divided into equal areas.	false	1679.82	1680.18	-20
3032_19361_000060_000001	The sun, _S_, being placed at a selected point, it was possible to represent the varying speed of a planet by saying that it moved from _A_ to _B_, from _B_ to _C_, and so on, in equal times.]	The sun, underscore S underscore, being placed at a selected point, it was possible to represent the varying speed of a planet by saying that it moved from underscore A underscore to underscore B underscore, from underscore B underscore to underscore C underscore, and so on, in equal times.]	false	1680.18	1680.69	25.470116
3032_19361_000061_000000	At last he thought of giving up the idea of _uniform_ circular motion, and of trying _varying_ circular motion, say inversely as its distance from the sun.	At last he thought of giving up the idea of underscore uniform underscore circular motion, and of trying underscore varying underscore circular motion, say inversely as its distance from the sun	false	1680.69	1693.3	21.950787
3032_19361_000061_000001	To simplify calculation, he divided the orbit into triangles, and tried if making the triangles equal would do.	To simplify calculation, he divided the orbit into triangles, and tried if making the triangles equal would do.	true	1693.64	1702.9	24.410173
3032_19361_000061_000002	A great piece of luck, they did beautifully: the rate of description of areas (not arcs) is uniform.	A great piece of luck, they did beautifully: the rate of description of areas (not arcs) is uniform.	true	1703.42	1712.2	22.910305
3032_19361_000061_000003	Over this discovery he greatly rejoices.	Over this discovery he greatly rejoices.	true	1712.57	1715.83	24.29926
3032_19361_000061_000004	He feels as though he had been carrying on a war against the planet and had triumphed; but his gratulation was premature.	He feels as though he had been carrying on a war against the planet and had triumphed; but his gratulation was premature.	true	1715.99	1725.07	21.161129
3032_19361_000061_000005	Before long fresh little errors appeared, and grew in importance.	Before long fresh little errors appeared, and grew in importance.	false	1725.32	1731.1	21.614916
3032_19361_000061_000006	Thus he announces it himself:--	Thus he announces it himself:--	true	1731.38	1733.89	21.529783
3032_19361_000062_000000	"While thus triumphing over Mars, and preparing for him, as for one already vanquished, tabular prisons and equated excentric fetters, it is buzzed here and there that the victory is vain, and that the war is raging anew as violently as before.	"While thus triumphing over Mars, and preparing for him, as for one already vanquished, tabular prisons and equated excentric fetters, it is buzzed here and there that the victory is vain, and that the war is raging anew as violently as before.	true	1734.29	1755.31	21.660976
3032_19361_000062_000001	For the enemy left at home a despised captive has burst all the chains of the equations, and broken forth from the prisons of the tables."	For the enemy left at home a despised captive has burst all the chains of the equations, and broken forth from the prisons of the tables."	true	1755.44	1766.59	22.66796
3032_19361_000063_000000	Still, a part of the truth had been gained, and was not to be abandoned any more.	Still, a part of the truth had been gained, and was not to be abandoned any more.	true	1767.89	1774.03	23.673359
3032_19361_000063_000001	The law of speed was fixed: that which is now known as his second law.	The law of speed was fixed: that which is now known as his second law.	true	1774.25	1780.12	20.981316
3032_19361_000063_000002	But what about the shape of the orbit--Was it after all possible that Aristotle, and every philosopher since Aristotle, had been wrong?	But what about the shape of the orbit-Was it after all possible that Aristotle, and every philosopher since Aristotle, had been wrong?	true	1780.46	1791.97	24.436409
3032_19361_000063_000003	that circular motion was not the perfect and natural motion, but that planets might move in some other closed curve?	that circular motion was not the perfect and natural motion, but that planets might move in some other closed curve?	true	1792.13	1802.53	23.99094
3032_19361_000064_000000	Suppose he tried an oval.	Suppose he tried an oval.	true	1802.78	1805.2	22.879524
3032_19361_000064_000001	Well, there are a great variety of ovals, and several were tried: with the result that they could be made to answer better than a circle, but still were not right.	Well, there are a great variety of ovals, and several were tried: with the result that they could be made to answer better than a circle, but still were not right.	true	1805.48	1818.16	22.092442
3032_19361_000065_000000	Now, however, the geometrical and mathematical difficulties of calculation, which before had been tedious and oppressive, threatened to become overwhelming; and it is with a rising sense of despondency that Kepler sees his six years' unremitting labour leading deeper and deeper into complication.	Now, however, the geometrical and mathematical difficulties of calculation, which before had been tedious and oppressive, threatened to become overwhelming; and it is with a rising sense of despondency that Kepler sees his six years' unremitting labour leading deeper and deeper into complication.	true	1818.83	1843.48	22.80035
3032_19361_000066_000000	One most disheartening circumstance appeared, viz. that when he made the circuit oval his law of equable description of areas broke down.	One most disheartening circumstance appeared, viz. that when he made the circuit oval his law of equable description of areas broke down.	true	1843.85	1855.3	24.310669
3032_19361_000066_000001	That seemed to require the circular orbit, and yet no circular orbit was quite accurate.	That seemed to require the circular orbit, and yet no circular orbit was quite accurate.	false	1855.7	1863	22.404558
3032_19361_000067_000000	While thinking and pondering for weeks and months over this new dilemma and complication of difficulties, till his brain reeled, an accidental ray of light broke upon him in a way not now intelligible, or barely intelligible.	While thinking and pondering for weeks and months over this new dilemma and complication of difficulties, till his brain reeled, an accidental ray of light broke upon him in a way not now intelligible, or barely intelligible.	false	1863	1882.06	22.056768
3032_19361_000067_000001	Half the extreme breadth intercepted between the circle and oval was 429/100,000 of the radius, and he remembered that the "optical inequality" of Mars was also about 429/100,000.	Half the extreme breadth intercepted between the circle and oval was four hundred twenty nine one hundred thousandths of the radius, and he remembered that the "optical inequality" of Mars was also about four hundred twenty nine one hundred thousandths.	false	1882.25	1902.97	24.003145
3032_19361_000067_000002	This coincidence, in his own words, woke him out of sleep; and for some reason or other impelled him instantly to try making the planet oscillate in the diameter of its epicycle instead of revolve round it--a singular idea, but Copernicus had had a similar one to explain the motions of Mercury.	This coincidence, in his own words, woke him out of sleep; and for some reason or other impelled him instantly to try making the planet oscillate in the diameter of its epicycle instead of revolve round it-a singular idea, but Copernicus had had a similar one to explain the motions of Mercury.	true	1903.4	1928.28	22.998785
3032_19361_000068_000000	[Illustration: FIG. 31.--Mode of drawing an ellipse.	[Illustration: FIG. thirty one.--Mode of drawing an ellipse.	false	1928.28	1928.91	-20
3032_19361_000068_000001	The two pins _F_ are the foci.]	The two pins underscore F underscore are the foci.]	false	1928.91	1929.57	-20
3032_19361_000069_000000	Away he started through his calculations again.	Away he started through his calculations again.	true	1929.57	1933.27	24.268175
3032_19361_000069_000001	A long course of work night and day was rewarded by finding that he was now able to hit off the motions better than before; but what a singularly complicated motion it was.	A long course of work night and day was rewarded by finding that he was now able to hit off the motions better than before; but what a singularly complicated motion it was.	true	1933.64	1947.4	22.134663
3032_19361_000069_000002	Could it be expressed no more simply?	Could it be expressed no more simply?	true	1947.41	1950.61	23.60109
3032_19361_000069_000003	Yes, the curve so described by the planet is a comparatively simple one: it is a special kind of oval--the ellipse.	Yes, the curve so described by the planet is a comparatively simple one: it is a special kind of oval-the ellipse.	true	1950.86	1961.41	23.440035
3032_19361_000069_000004	Strange that he had not thought of it before. It was a famous curve, for the Greek geometers had studied it as one of the sections of a cone, but it was not so well known in Kepler's time. The fact that the planets move in it has raised it to the first importance, and it is familiar enough to us now.	Strange that he had not thought of it before. It was a famous curve, for the Greek geometers had studied it as one of the sections of a cone, but it was not so well known in Kepler's time. The fact that the planets move in it has raised it to the first importance, and it is familiar enough to us now.	true	1961.87	1983.91	23.739267
3032_19361_000069_000005	But did it satisfy the law of speed?	But did it satisfy the law of speed?	true	1984.31	1987.57	25.160994
3032_19361_000069_000006	Could the rate of description of areas be uniform with it?	Could the rate of description of areas be uniform with it?	true	1987.58	1992.28	22.3525
3032_19361_000069_000007	Well, he tried the ellipse, and to his inexpressible delight he found that it did satisfy the condition of equable description of areas, if the sun was in one focus.	Well, he tried the ellipse, and to his inexpressible delight he found that it did satisfy the condition of equable description of areas, if the sun was in one focus.	true	1992.53	2007.64	22.163078
3032_19361_000069_000008	So, moving the planet in a selected ellipse, with the sun in one focus, at a speed given by the equable area description, its position agreed with Tycho's observations within the limits of the error of experiment.	So, moving the planet in a selected ellipse, with the sun in one focus, at a speed given by the equable area description, its position agreed with Tycho's observations within the limits of the error of experiment.	true	2008.1	2025.55	22.73842
3032_19361_000069_000009	Mars was finally conquered, and remains in his prison-house to this day.	Mars was finally conquered, and remains in his prison house to this day.	true	2026.25	2032.36	20.595417
3032_19361_000069_000010	The orbit was found.	The orbit was found.	true	2032.64	2035.05	26.612831
3032_19361_000070_000000	[Illustration: FIG. 32.]	[Illustration: FIG. thirty two.]	false	2035.05	2035.74	14
3032_19361_000071_000000	In a paroxysm of delight Kepler celebrates his victory by a triumphant figure, sketched actually on his geometrical diagram--the diagram which proves that the law of equable description of areas can hold good with an ellipse.	In a paroxysm of delight Kepler celebrates his victory by a triumphant figure, sketched actually on his geometrical diagram-the diagram which proves that the law of equable description of areas can hold good with an ellipse.	true	2035.74	2053.33	23.865599
3032_19361_000071_000001	The above is a tracing of it.	The above is a tracing of it.	true	2053.49	2055.73	22.95431
3032_19361_000072_000000	Such is a crude and bald sketch of the steps by which Kepler rose to his great generalizations--the two laws which have immortalized his name.	Such is a crude and bald sketch of the steps by which Kepler rose to his great generalizations-the two laws which have immortalized his name.	true	2056.31	2067.76	22.722097
3032_19361_000073_000000	All the complications of epicycle, equant, deferent, excentric, and the like, were swept at once away, and an orbit of striking and beautiful properties substituted.	All the complications of epicycle, equant, deferent, excentric, and the like, were swept at once away, and an orbit of striking and beautiful properties substituted.	true	2068.43	2082.43	23.475033
3032_19361_000073_000001	Well might he be called, as he was, "the legislator," or law interpreter, "of the heavens."	Well might he be called, as he was, "the legislator," or law interpreter, "of the heavens."	true	2082.62	2091.33	21.424353
3032_19361_000074_000000	[Illustration: FIG. 33.--If _S_ is the sun, a planet or comet moves from _P_ to _P_1_, from _P_2_ to _P_3_, and from _P_4_ to _P_5_ in the same time; if the shaded areas are equal.]	[Illustration: FIG. thirty three.--If underscore S underscore is the sun, a planet or comet moves from underscore P underscore to underscore P underscore one underscore, from underscore P underscore two underscore to underscore P underscore three underscore, and from underscore P underscore four underscore to underscore P underscore five underscore in the same time; if the shaded areas are equal.]	false	2091.33	2092.64	-20
3032_19361_000075_000000	He concludes his book on the motions of Mars with a half comic appeal to the Emperor to provide him with the sinews of war for an attack on Mars's relations--father Jupiter, brother Mercury, and the rest--but the death of his unhappy patron in 1612 put an end to all these schemes, and reduced Kepler to the utmost misery.	He concludes his book on the motions of Mars with a half comic appeal to the Emperor to provide him with the sinews of war for an attack on Mars's relations-father Jupiter, brother Mercury, and the rest-but the death of his unhappy patron in sixteen twelve put an end to all these schemes, and reduced Kepler to the utmost misery.	true	2092.64	2117.47	22.97996
3032_19361_000075_000001	While at Prague his salary was in continual arrear, and it was with difficulty that he could provide sustenance for his family.	While at Prague his salary was in continual arrear, and it was with difficulty that he could provide sustenance for his family.	true	2117.84	2127.4	21.826694
3032_19361_000075_000002	He had been there eleven years, but they had been hard years of poverty, and he could leave without regret were it not that he should have to leave Tycho's instruments and observations behind him.	He had been there eleven years, but they had been hard years of poverty, and he could leave without regret were it not that he should have to leave Tycho's instruments and observations behind him.	true	2128.01	2140.99	22.943945
3032_19361_000075_000003	While he was hesitating what best to do, and reduced to the verge of despair, his wife, who had long been suffering from low spirits and despondency, and his three children, were taken ill; one of the sons died of small-pox, and the wife eleven days after of low fever and epilepsy.	While he was hesitating what best to do, and reduced to the verge of despair, his wife, who had long been suffering from low spirits and despondency, and his three children, were taken ill; one of the sons died of small pox, and the wife eleven days after of low fever and epilepsy.	true	2141.96	2165.86	22.171091
3032_19361_000075_000004	No money could be got at Prague, so after a short time he accepted a professorship at Linz, and withdrew with his two quite young remaining children.	No money could be got at Prague, so after a short time he accepted a professorship at Linz, and withdrew with his two quite young remaining children.	true	2166.35	2177.68	23.139828
3032_19361_000076_000000	He provided for himself now partly by publishing a prophesying almanack, a sort of Zadkiel arrangement--a thing which he despised, but the support of which he could not afford to do without.	He provided for himself now partly by publishing a prophesying almanack, a sort of Zadkiel arrangement-a thing which he despised, but the support of which he could not afford to do without.	false	2178.32	2193.37	22.855347
3032_19361_000076_000001	He is continually attacking and throwing sarcasm at astrology, but it was the only thing for which people would pay him, and on it after a fashion he lived.	He is continually attacking and throwing sarcasm at astrology, but it was the only thing for which people would pay him, and on it after a fashion he lived.	true	2193.77	2205.46	23.08867
3032_19361_000076_000002	We do not find that his circumstances were ever prosperous, and though 8,000 crowns were due to him from Bohemia he could not manage to get them paid.	We do not find that his circumstances were ever prosperous, and though eight thousand crowns were due to him from Bohemia he could not manage to get them paid.	true	2205.95	2218.48	21.253767
3032_19361_000077_000000	About this time occurred a singular interruption to his work.	About this time occurred a singular interruption to his work.	true	2219.45	2224.24	24.128988
3032_19361_000077_000001	His old mother, of whose fierce temper something has already been indicated, had been engaged in a law-suit for some years near their old home in Wuertemberg.	His old mother, of whose fierce temper something has already been indicated, had been engaged in a law suit for some years near their old home in Wuertemberg.	true	2224.43	2236.8	21.993858
3032_19361_000077_000002	A change of judge having in process of time occurred, the defendant saw his way to turn the tables on the old lady by accusing her of sorcery.	A change of judge having in process of time occurred, the defendant saw his way to turn the tables on the old lady by accusing her of sorcery.	true	2236.8	2248.24	22.278002
3032_19361_000077_000003	She was sent to prison, and condemned to the torture, with the usual intelligent idea of extracting a "voluntary" confession. Kepler had to hurry from Linz to interpose.	She was sent to prison, and condemned to the torture, with the usual intelligent idea of extracting a "voluntary" confession. Kepler had to hurry from Linz to interpose.	true	2248.52	2262.1	23.552647
3032_19361_000077_000004	He succeeded in saving her from the torture, but she remained in prison for a year or so.	He succeeded in saving her from the torture, but she remained in prison for a year or so.	true	2262.32	2268.37	20.628498
3032_19361_000077_000005	Her spirit, however, was unbroken, for no sooner was she released than she commenced a fresh action against her accuser.	Her spirit, however, was unbroken, for no sooner was she released than she commenced a fresh action against her accuser.	true	2268.68	2277.85	20.958616
3032_19361_000077_000006	But fresh trouble was averted by the death of the poor old dame at the age of nearly eighty.	But fresh trouble was averted by the death of the poor old dame at the age of nearly eighty.	true	2278.13	2285.17	23.96277
3032_19361_000078_000000	This narration renders the unflagging energy shown by her son in his mathematical wrestlings less surprising.	This narration renders the unflagging energy shown by her son in his mathematical wrestlings less surprising.	true	2285.63	2293.99	21.676859
3032_19361_000079_000000	Interspersed with these domestic troubles, and with harassing and unsuccessful attempts to get his rights, he still brooded over his old problem of some possible connection between the distances of the planets from the sun and their times of revolution, _i.e._ the length of their years.	Interspersed with these domestic troubles, and with harassing and unsuccessful attempts to get his rights, he still brooded over his old problem of some possible connection between the distances of the planets from the sun and their times of revolution, underscore i e underscore the length of their years.	false	2294.96	2316.4	22.118523
3032_19361_000080_000000	It might well have been that there was no connection, that it was purely imaginary, like his old idea of the law of the successive distances of the planets, and like so many others of the guesses and fancies which he entertained and spent his energies in probing.	It might well have been that there was no connection, that it was purely imaginary, like his old idea of the law of the successive distances of the planets, and like so many others of the guesses and fancies which he entertained and spent his energies in probing.	true	2317.04	2334.67	22.717564
3032_19361_000080_000001	But fortunately this time there was a connection, and he lived to have the joy of discovering it.	But fortunately this time there was a connection, and he lived to have the joy of discovering it.	true	2335.16	2342.08	22.485622
3032_19361_000081_000000	The connection is this, that if one compares the distance of the different planets from the sun with the length of time they take to go round him, the cube of the respective distances is proportional to the square of the corresponding times.	The connection is this, that if one compares the distance of the different planets from the sun with the length of time they take to go round him, the cube of the respective distances is proportional to the square of the corresponding times.	true	2342.6	2360.3	22.659582
3032_19361_000081_000001	In other words, the ratio of r^3 to T^2 for every planet is the same.	In other words, the ratio of r cubed to T squared for every planet is the same.	true	2360.3	2366.92	26.03007
3032_19361_000081_000002	Or, again, the length of a planet's year depends on the 3/2th power of its distance from the sun. Or, once more, the speed of each planet in its orbit is as the inverse square-root of its distance from the sun.	Or, again, the length of a planet's year depends on the three halves power of its distance from the sun Or, once more, the speed of each planet in its orbit is as the inverse square root of its distance from the sun	false	2367.14	2385.01	23.085154
3032_19361_000081_000003	The product of the distance into the square of the speed is the same for each planet.	The product of the distance into the square of the speed is the same for each planet.	true	2385.11	2391.58	23.730232
3032_19361_000082_000000	This (however stated) is called Kepler's third law.	This (however stated) is called Kepler's third law.	true	2391.95	2396.8	25.753054
3032_19361_000082_000001	It welds the planets together, and shows them to be one system.	It welds the planets together, and shows them to be one system.	true	2396.99	2402.26	21.725145
3032_19361_000082_000002	His rapture on detecting the law was unbounded, and he breaks out into an exulting rhapsody:--	His rapture on detecting the law was unbounded, and he breaks out into an exulting rhapsody:--	true	2402.39	2409.88	24.749508
3032_19361_000083_000000	"What I prophesied two-and-twenty years ago, as soon as I discovered the five solids among the heavenly orbits--what I firmly believed long before I had seen Ptolemy's _Harmonies_--what I had promised my friends in the title of this book, which I named before I was sure of my discovery--what sixteen years ago, I urged as a thing to be sought--that for which I joined Tycho Brahe, for which I settled in Prague, for which I have devoted the best part of my life to astronomical contemplations, at length I have brought to light, and recognized its truth beyond my most sanguine expectations.	"What I prophesied two and twenty years ago, as soon as I discovered the five solids among the heavenly orbits-what I firmly believed long before I had seen Ptolemy's underscore Harmonies underscore--what I had promised my friends in the title of this book, which I named before I was sure of my discovery-what sixteen years ago, I urged as a thing to be sought-that for which I joined Tycho Brahe, for which I settled in Prague, for which I have devoted the best part of my life to astronomical contemplations, at length I have brought to light, and recognized its truth beyond my most sanguine expectations.	false	2410.88	2458.48	22.440016
3032_19361_000083_000001	It is not eighteen months since I got the first glimpse of light, three months since the dawn, very few days since the unveiled sun, most admirable to gaze upon, burst upon me.	It is not eighteen months since I got the first glimpse of light, three months since the dawn, very few days since the unveiled sun, most admirable to gaze upon, burst upon me.	true	2458.76	2474.05	23.042845
3032_19361_000083_000002	Nothing holds me; I will indulge my sacred fury; I will triumph over mankind by the honest confession that I have stolen the golden vases of the Egyptians to build up a tabernacle for my God far away from the confines of Egypt.	Nothing holds me; I will indulge my sacred fury; I will triumph over mankind by the honest confession that I have stolen the golden vases of the Egyptians to build up a tabernacle for my God far away from the confines of Egypt.	false	2474.3	2495.08	21.917662
3032_19361_000083_000003	If you forgive me, I rejoice; if you are angry, I can bear it; the die is cast, the book is written, to be read either now or by posterity, I care not which; it may well wait a century for a reader, as God has waited six thousand years for an observer."	If you forgive me, I rejoice; if you are angry, I can bear it; the die is cast, the book is written, to be read either now or by posterity, I care not which; it may well wait a century for a reader, as God has waited six thousand years for an observer."	true	2495.45	2518.57	21.737638
3032_19361_000084_000000	Soon after this great work his third book appeared: it was an epitome of the Copernican theory, a clear and fairly popular exposition of it, which had the honour of being at once suppressed and placed on the list of books prohibited by the Church, side by side with the work of Copernicus himself, _De Revolutionibus Orbium Coelestium_.	Soon after this great work his third book appeared: it was an epitome of the Copernican theory, a clear and fairly popular exposition of it, which had the honour of being at once suppressed and placed on the list of books prohibited by the Church, side by side with the work of Copernicus himself, underscore De Revolutionibus Orbium Coelestium underscore.	false	2519.93	2547.9	23.178226
3032_19361_000085_000000	This honour, however, gave Kepler no satisfaction--it rather occasioned him dismay, especially as it deprived him of all pecuniary benefit, and made it almost impossible for him to get a publisher to undertake another book.	This honour, however, gave Kepler no satisfaction-it rather occasioned him dismay, especially as it deprived him of all pecuniary benefit, and made it almost impossible for him to get a publisher to undertake another book.	true	2547.9	2564.53	23.11162
3032_19361_000086_000000	Still he worked on at the Rudolphine tables of Tycho, and ultimately, with some small help from Vienna, completed them; but he could not get the means to print them.	Still he worked on at the Rudolphine tables of Tycho, and ultimately, with some small help from Vienna, completed them; but he could not get the means to print them.	true	2565.26	2577.94	23.665741
3032_19361_000086_000001	He applied to the Court till he was sick of applying: they lay idle four years.	He applied to the Court till he was sick of applying: they lay idle four years.	true	2578.67	2584.33	21.813545
3032_19361_000086_000002	At last he determined to pay for the type himself.	At last he determined to pay for the type himself.	true	2585	2588.65	24.253216
3032_19361_000086_000003	What he paid it with, God knows, but he did pay it, and he did bring out the tables, and so was faithful to the behest of his friend.	What he paid it with, God knows, but he did pay it, and he did bring out the tables, and so was faithful to the behest of his friend.	false	2589.02	2598.34	23.395197
3032_19361_000087_000000	This great publication marks an era in astronomy.	This great publication marks an era in astronomy.	true	2599.4	2603.32	23.982887
3032_19361_000087_000001	They were the first really accurate tables which navigators ever possessed; they were the precursors of our present _Nautical Almanack_.	They were the first really accurate tables which navigators ever possessed; they were the precursors of our present underscore Nautical Almanack underscore.	false	2603.87	2614.95	22.287172
3032_19361_000088_000000	After this, the Grand Duke of Tuscany sent Kepler a golden chain, which is interesting inasmuch as it must really have come from Galileo, who was in high favour at the Italian Court at this time.	After this, the Grand Duke of Tuscany sent Kepler a golden chain, which is interesting inasmuch as it must really have come from Galileo, who was in high favour at the Italian Court at this time.	true	2614.95	2631.34	22.946238
3032_19361_000089_000000	Once more Kepler made a determined attempt to get his arrears of salary paid, and rescue himself and family from their bitter poverty.	Once more Kepler made a determined attempt to get his arrears of salary paid, and rescue himself and family from their bitter poverty.	true	2632.13	2642.95	22.89451
3032_19361_000089_000001	He travelled to Prague on purpose, attended the imperial meeting, and pleaded his own cause, but it was all fruitless; and exhausted by the journey, weakened by over-study, and disheartened by the failure, he caught a fever, and died in his fifty-ninth year.	He travelled to Prague on purpose, attended the imperial meeting, and pleaded his own cause, but it was all fruitless; and exhausted by the journey, weakened by over study, and disheartened by the failure, he caught a fever, and died in his fifty ninth year.	false	2643.41	2664.76	23.888737
3032_19361_000089_000002	His body was buried at Ratisbon, and a century ago a proposal was made to erect a marble monument to his memory, but nothing was done.	His body was buried at Ratisbon, and a century ago a proposal was made to erect a marble monument to his memory, but nothing was done.	true	2665.28	2676.7	22.50992
3032_19361_000089_000003	It matters little one way or the other whether Germany, having almost refused him bread during his life, should, a century and a half after his death, offer him a stone.	It matters little one way or the other whether Germany, having almost refused him bread during his life, should, a century and a half after his death, offer him a stone.	true	2677.01	2689.98	22.708622
3032_19361_000090_000000	[Illustration: FIG. 34.--Portrait of Kepler, older.]	[Illustration: FIG. thirty four.--Portrait of Kepler, older.]	false	2689.98	2691.27	-3
3032_19361_000091_000000	The contiguity of the lives of Kepler and Tycho furnishes a moral too obvious to need pointing out.	The contiguity of the lives of Kepler and Tycho furnishes a moral too obvious to need pointing out.	true	2691.27	2699.17	22.140139
