339_132717_000000_000000	HERLAND ***	HERLAND asterisk asterisk asterisk	false	1.95	19.065	23.803286
339_132717_000087_000004	They've got some peculiarly isolated valley or tableland up there, and their primeval customs have survived. That's all there is to it."	They've got some peculiarly isolated valley or tableland up there, and their primeval customs have survived. That's all there is to it."	true	909.75	917.14	23.589703
339_132717_000088_000000	"How about the boys?" Jeff asked.	"How about the boys?" Jeff asked.	false	918.38	920.65	24.903591
339_132717_000089_000000	"Oh, the men take them away as soon as they are five or six, you see."	"Oh, the men take them away as soon as they are five or six, you see."	true	921.02	924.36	19
339_132717_000090_000000	"And how about this danger theory all our guides were so sure of?"	"And how about this danger theory all our guides were so sure of?"	false	924.36	928	18.539747
339_132717_000091_000000	"Danger enough, Terry, and we'll have to be mighty careful.	"Danger enough, Terry, and we'll have to be mighty careful.	true	928.58	931.51	23.250668
339_132717_000091_000001	Women of that stage of culture are quite able to defend themselves and have no welcome for unseasonable visitors."	Women of that stage of culture are quite able to defend themselves and have no welcome for unseasonable visitors."	true	931.67	937.93	21
339_132717_000092_000000	We talked and talked.	We talked and talked.	true	938.66	940.42	26.320633
339_132717_000093_000000	And with all my airs of sociological superiority I was no nearer than any of them.	And with all my airs of sociological superiority I was no nearer than any of them.	false	941.03	947.23	22.62496
339_132717_000094_000000	It was funny though, in the light of what we did find, those extremely clear ideas of ours as to what a country of women would be like.	It was funny though, in the light of what we did find, those extremely clear ideas of ours as to what a country of women would be like.	true	947.93	954.67	16
339_132717_000094_000001	It was no use to tell ourselves and one another that all this was idle speculation.	It was no use to tell ourselves and one another that all this was idle speculation.	true	955.28	959.35	17
339_132717_000094_000002	We were idle and we did speculate, on the ocean voyage and the river voyage, too.	We were idle and we did speculate, on the ocean voyage and the river voyage, too.	false	960.02	965.29	21.52974
339_132717_000095_000000	"Admitting the improbability," we'd begin solemnly, and then launch out again.	"Admitting the improbability," we'd begin solemnly, and then launch out again.	true	966.32	970.9	17
339_132717_000096_000000	"They would fight among themselves," Terry insisted.	"They would fight among themselves," Terry insisted.	true	971.54	973.83	18.755741
339_132717_000096_000001	"Women always do. We mustn't look to find any sort of order and organization."	"Women always do. We mustn't look to find any sort of order and organization."	true	973.83	978.97	23.044987
339_132717_000097_000000	"You're dead wrong," Jeff told him.	"You're dead wrong," Jeff told him.	true	979.13	981.01	13.877312
339_132717_000097_000001	"It will be like a nunnery under an abbess--a peaceful, harmonious sisterhood."	"It will be like a nunnery under an abbess-a peaceful, harmonious sisterhood."	true	981.23	987.4	21.913342
339_132717_000098_000000	I snorted derision at this idea.	I snorted derision at this idea.	false	987.59	989.835	18
339_132717_000099_000000	"Nuns, indeed!	"Nuns, indeed!	true	989.835	991.21	17
339_132717_000099_000001	Your peaceful sisterhoods were all celibate, Jeff, and under vows of obedience.	Your peaceful sisterhoods were all celibate, Jeff, and under vows of obedience.	true	991.31	995.41	18.34235
339_132717_000099_000002	These are just women, and mothers, and where there's motherhood you don't find sisterhood--not much."	These are just women, and mothers, and where there's motherhood you don't find sisterhood-not much."	true	995.51	1001.56	21.076883
339_132717_000100_000000	"No, sir--they'll scrap," agreed Terry.	"No, sir-they'll scrap," agreed Terry.	true	1001.87	1004.32	23.067045
339_132717_000100_000001	"Also we mustn't look for inventions and progress; it'll be awfully primitive."	"Also we mustn't look for inventions and progress; it'll be awfully primitive."	true	1004.45	1009.03	19.162142
339_132717_000101_000000	"How about that cloth mill?" Jeff suggested.	"How about that cloth mill?" Jeff suggested.	false	1009.49	1011.99	24.404152
339_132717_000102_000000	"Oh, cloth!	"Oh, cloth!	true	1011.99	1013.34	21.166302
339_132717_000102_000001	Women have always been spinsters.	Women have always been spinsters.	true	1013.34	1014.91	18
339_132717_000102_000002	But there they stop--you'll see."	But there they stop-you'll see."	true	1015.01	1016.98	23.813887
339_132717_000103_000000	We joked Terry about his modest impression that he would be warmly received, but he held his ground.	We joked Terry about his modest impression that he would be warmly received, but he held his ground.	true	1017.41	1023.22	22.768421
339_132717_000104_000000	"You'll see," he insisted.	"You'll see," he insisted.	true	1024.07	1025.55	16.410236
339_132717_000104_000001	"I'll get solid with them all--and play one bunch against another.	"I'll get solid with them all-and play one bunch against another.	false	1025.55	1028.97	20
339_132717_000104_000002	I'll get myself elected king in no time--whew! Solomon will have to take a back seat!"	I'll get myself elected king in no time-whew! Solomon will have to take a back seat!"	true	1028.97	1033.87	24.068745
339_132717_000105_000000	"Where do we come in on that deal?" I demanded.	"Where do we come in on that deal?" I demanded.	false	1034.75	1037.07	21.975544
339_132717_000105_000001	"Aren't we Viziers or anything?"	"Aren't we Viziers or anything?"	false	1037.07	1039.5	22.31814
339_132717_000106_000000	"Couldn't risk it," he asserted solemnly.	"Couldn't risk it," he asserted solemnly.	true	1039.5	1041.43	23
339_132717_000106_000001	"You might start a revolution--probably would.	"You might start a revolution-probably would.	false	1041.43	1044.13	19
339_132717_000106_000002	No, you'll have to be beheaded, or bowstrung--or whatever the popular method of execution is."	No, you'll have to be beheaded, or bowstrung-or whatever the popular method of execution is."	true	1044.38	1049.34	17
339_132717_000107_000000	"You'd have to do it yourself, remember," grinned Jeff.	"You'd have to do it yourself, remember," grinned Jeff.	false	1049.34	1053.22	21.697264
339_132717_000107_000001	"No husky black slaves and mamelukes!	"No husky black slaves and mamelukes!	true	1053.22	1055.53	18
339_132717_000107_000002	And there'd be two of us and only one of you--eh, Van?"	And there'd be two of us and only one of you-eh, Van?"	false	1055.66	1058.53	22
339_132717_000108_000000	Jeff's ideas and Terry's were so far apart that sometimes it was all I could do to keep the peace between them.	Jeff's ideas and Terry's were so far apart that sometimes it was all I could do to keep the peace between them.	true	1059.2	1064.98	18
339_132717_000108_000001	Jeff idealized women in the best Southern style.	Jeff idealized women in the best Southern style.	true	1065.23	1068.04	19.772076
339_132717_000108_000002	He was full of chivalry and sentiment, and all that.	He was full of chivalry and sentiment, and all that.	true	1068.2	1070.94	19.503115
339_132717_000108_000003	And he was a good boy; he lived up to his ideals.	And he was a good boy; he lived up to his ideals.	true	1070.94	1074.07	20.877209
339_132717_000109_000000	You might say Terry did, too, if you can call his views about women anything so polite as ideals.	You might say Terry did, too, if you can call his views about women anything so polite as ideals.	true	1074.92	1080.55	19
339_132717_000109_000001	I always liked Terry.	I always liked Terry.	true	1081.07	1082.34	20.28972
339_132717_000109_000002	He was a man's man, very much so, generous and brave and clever; but I don't think any of us in college days was quite pleased to have him with our sisters.	He was a man's man, very much so, generous and brave and clever; but I don't think any of us in college days was quite pleased to have him with our sisters.	true	1082.34	1094.17	21.584278
339_132717_000109_000003	We weren't very stringent, heavens no!	We weren't very stringent, heavens no!	true	1094.87	1096.71	18.411531
339_132717_000109_000004	But Terry was "the limit." Later on--why, of course a man's life is his own, we held, and asked no questions.	But Terry was "the limit." Later on-why, of course a man's life is his own, we held, and asked no questions.	true	1096.71	1106.17	21.442785
339_132717_000110_000000	But barring a possible exception in favor of a not impossible wife, or of his mother, or, of course, the fair relatives of his friends, Terry's idea seemed to be that pretty women were just so much game and homely ones not worth considering.	But barring a possible exception in favor of a not impossible wife, or of his mother, or, of course, the fair relatives of his friends, Terry's idea seemed to be that pretty women were just so much game and homely ones not worth considering.	false	1106.9	1121.83	21.642862
339_132717_000111_000000	It was really unpleasant sometimes to see the notions he had.	It was really unpleasant sometimes to see the notions he had.	true	1122.68	1126.57	16.831392
339_132717_000112_000000	But I got out of patience with Jeff, too.	But I got out of patience with Jeff, too.	true	1127.48	1129.53	26.356682
339_132717_000112_000001	He had such rose-colored halos on his womenfolks.	He had such rose colored halos on his womenfolks.	true	1129.53	1133.02	14
339_132717_000112_000002	I held a middle ground, highly scientific, of course, and used to argue learnedly about the physiological limitations of the sex.	I held a middle ground, highly scientific, of course, and used to argue learnedly about the physiological limitations of the sex.	false	1133.72	1141.12	20.9124
339_132717_000113_000000	We were not in the least "advanced" on the woman question, any of us, then.	We were not in the least "advanced" on the woman question, any of us, then.	false	1141.64	1147.15	23.669813
339_132717_000114_000000	So we joked and disputed and speculated, and after an interminable journey, we got to our old camping place at last.	So we joked and disputed and speculated, and after an interminable journey, we got to our old camping place at last.	true	1148.36	1154.89	19
339_132717_000115_000000	It was not hard to find the river, just poking along that side till we came to it, and it was navigable as far as the lake.	It was not hard to find the river, just poking along that side till we came to it, and it was navigable as far as the lake.	true	1155.29	1161.85	22.133837
339_132717_000116_000000	When we reached that and slid out on its broad glistening bosom, with that high gray promontory running out toward us, and the straight white fall clearly visible, it began to be really exciting.	When we reached that and slid out on its broad glistening bosom, with that high gray promontory running out toward us, and the straight white fall clearly visible, it began to be really exciting.	true	1163.48	1174.69	17
339_132717_000117_000000	There was some talk, even then, of skirting the rock wall and seeking a possible footway up, but the marshy jungle made that method look not only difficult but dangerous.	There was some talk, even then, of skirting the rock wall and seeking a possible footway up, but the marshy jungle made that method look not only difficult but dangerous.	true	1175.39	1184.11	21.452017
339_132717_000118_000000	Terry dismissed the plan sharply.	Terry dismissed the plan sharply.	true	1184.63	1186.72	21.560932
339_132717_000119_000000	"Nonsense, fellows!	"Nonsense, fellows!	true	1186.94	1187.88	18.5461
339_132717_000119_000001	We've decided that.	We've decided that.	true	1187.88	1188.94	20.964184
339_132717_000119_000002	It might take months--we haven't got the provisions.	It might take months-we haven't got the provisions.	true	1189.01	1191.66	24.029186
339_132717_000119_000003	No, sir--we've got to take our chances.	No, sir-we've got to take our chances.	true	1191.66	1193.53	22.879547
339_132717_000119_000004	If we get back safe--all right.	If we get back safe-all right.	true	1193.75	1195.52	24.457968
339_132717_000119_000005	If we don't, why, we're not the first explorers to get lost in the shuffle.	If we don't, why, we're not the first explorers to get lost in the shuffle.	true	1195.52	1199.17	23.22019
339_132717_000119_000006	There are plenty to come after us."	There are plenty to come after us."	false	1199.24	1200.76	25.031507
339_132717_000120_000000	So we got the big biplane together and loaded it with our scientifically compressed baggage: the camera, of course; the glasses; a supply of concentrated food.	So we got the big biplane together and loaded it with our scientifically compressed baggage: the camera, of course; the glasses; a supply of concentrated food.	true	1201.55	1210.74	21.032595
339_132717_000120_000001	Our pockets were magazines of small necessities, and we had our guns, of course--there was no knowing what might happen.	Our pockets were magazines of small necessities, and we had our guns, of course-there was no knowing what might happen.	true	1210.74	1216.72	22
339_132717_000121_000000	Up and up and up we sailed, way up at first, to get "the lay of the land" and make note of it.	Up and up and up we sailed, way up at first, to get "the lay of the land" and make note of it.	true	1217.6	1224.16	20.285902
339_132717_000122_000000	Out of that dark green sea of crowding forest this high-standing spur rose steeply.	Out of that dark green sea of crowding forest this high standing spur rose steeply.	true	1225.28	1231	16
339_132717_000122_000001	It ran back on either side, apparently, to the far-off white-crowned peaks in the distance, themselves probably inaccessible.	It ran back on either side, apparently, to the far off white crowned peaks in the distance, themselves probably inaccessible.	true	1231.31	1238.71	23.640038
339_132717_000123_000000	"Let's make the first trip geographical," I suggested.	"Let's make the first trip geographical," I suggested.	true	1239.68	1242.51	23.125347
339_132717_000123_000001	"Spy out the land, and drop back here for more gasoline.	"Spy out the land, and drop back here for more gasoline.	true	1242.51	1245.43	18
339_132717_000123_000002	With your tremendous speed we can reach that range and back all right.	With your tremendous speed we can reach that range and back all right.	true	1245.62	1248.85	23
339_132717_000123_000003	Then we can leave a sort of map on board--for that relief expedition."	Then we can leave a sort of map on board-for that relief expedition."	true	1248.95	1254.37	21.324156
339_132717_000124_000000	"There's sense in that," Terry agreed.	"There's sense in that," Terry agreed.	true	1255.31	1257.19	19.965624
339_132717_000124_000001	"I'll put off being king of Ladyland for one more day."	"I'll put off being king of Ladyland for one more day."	true	1257.19	1259.74	19
339_132717_000125_000000	So we made a long skirting voyage, turned the point of the cape which was close by, ran up one side of the triangle at our best speed, crossed over the base where it left the higher mountains, and so back to our lake by moonlight.	So we made a long skirting voyage, turned the point of the cape which was close by, ran up one side of the triangle at our best speed, crossed over the base where it left the higher mountains, and so back to our lake by moonlight.	true	1260.77	1273.54	23.553911
339_132717_000126_000000	"That's not a bad little kingdom," we agreed when it was roughly drawn and measured.	"That's not a bad little kingdom," we agreed when it was roughly drawn and measured.	true	1274.27	1278.31	22
339_132717_000126_000001	We could tell the size fairly by our speed.	We could tell the size fairly by our speed.	true	1278.47	1280.88	22.203203
339_132717_000126_000002	And from what we could see of the sides--and that icy ridge at the back end--"It's a pretty enterprising savage who would manage to get into it," Jeff said.	And from what we could see of the sides-and that icy ridge at the back end-"It's a pretty enterprising savage who would manage to get into it," Jeff said.	true	1280.88	1290.19	21.643568
339_132717_000127_000000	Of course we had looked at the land itself--eagerly, but we were too high and going too fast to see much.	Of course we had looked at the land itself-eagerly, but we were too high and going too fast to see much.	false	1290.74	1296.31	22.996082
339_132717_000127_000001	It appeared to be well forested about the edges, but in the interior there were wide plains, and everywhere parklike meadows and open places.	It appeared to be well forested about the edges, but in the interior there were wide plains, and everywhere parklike meadows and open places.	true	1296.62	1304.47	20
339_132717_000128_000000	There were cities, too; that I insisted.	There were cities, too; that I insisted.	false	1305.47	1309.14	26.180994
339_132717_000128_000001	It looked--well, it looked like any other country--a civilized one, I mean.	It looked-well, it looked like any other country-a civilized one, I mean.	true	1309.14	1316.2	22.33944
339_132717_000129_000000	We had to sleep after that long sweep through the air, but we turned out early enough next day, and again we rose softly up the height till we could top the crowning trees and see the broad fair land at our pleasure.	We had to sleep after that long sweep through the air, but we turned out early enough next day, and again we rose softly up the height till we could top the crowning trees and see the broad fair land at our pleasure.	true	1317.26	1328.38	21
339_132717_000130_000000	"Semitropical.	"Semitropical.	true	1329.17	1330.3	25.877043
339_132717_000130_000001	Looks like a first-rate climate.	Looks like a first rate climate.	true	1330.55	1332.3	21.696398
339_132717_000130_000002	It's wonderful what a little height will do for temperature." Terry was studying the forest growth.	It's wonderful what a little height will do for temperature." Terry was studying the forest growth.	true	1332.3	1337.23	22.11836
339_132717_000131_000000	"Little height!	"Little height!	true	1337.81	1338.6	18.091532
339_132717_000131_000001	Is that what you call little?" I asked.	Is that what you call little?" I asked.	true	1338.6	1340.95	26
339_132717_000131_000002	Our instruments measured it clearly.	Our instruments measured it clearly.	true	1340.99	1342.85	19.904556
339_132717_000131_000003	We had not realized the long gentle rise from the coast perhaps.	We had not realized the long gentle rise from the coast perhaps.	true	1342.85	1346.53	16
339_132717_000132_000000	"Mighty lucky piece of land, I call it," Terry pursued.	"Mighty lucky piece of land, I call it," Terry pursued.	true	1347.05	1349.84	26.033081
339_132717_000132_000001	"Now for the folks--I've had enough scenery."	"Now for the folks-I've had enough scenery."	true	1349.84	1352.53	22.488752
339_132717_000133_000000	So we sailed low, crossing back and forth, quartering the country as we went, and studying it.	So we sailed low, crossing back and forth, quartering the country as we went, and studying it.	true	1353.2	1358.83	24.89836
339_132717_000133_000001	We saw--I can't remember now how much of this we noted then and how much was supplemented by our later knowledge, but we could not help seeing this much, even on that excited day--a land in a state of perfect cultivation, where even the forests looked as if they were cared for; a land that looked like an enormous park, only it was even more evidently an enormous garden.	We saw-I can't remember now how much of this we noted then and how much was supplemented by our later knowledge, but we could not help seeing this much, even on that excited day-a land in a state of perfect cultivation, where even the forests looked as if they were cared for; a land that looked like an enormous park, only it was even more evidently an enormous garden.	true	1359.17	1386.67	22.588652
339_132717_000134_000000	"I don't see any cattle," I suggested, but Terry was silent.	"I don't see any cattle," I suggested, but Terry was silent.	true	1387.22	1392.49	23.278574
339_132717_000134_000001	We were approaching a village.	We were approaching a village.	true	1392.77	1394.41	24.23773
339_132717_000135_000000	I confess that we paid small attention to the clean, well-built roads, to the attractive architecture, to the ordered beauty of the little town.	I confess that we paid small attention to the clean, well built roads, to the attractive architecture, to the ordered beauty of the little town.	true	1396.49	1405.06	19
339_132717_000135_000001	We had our glasses out; even Terry, setting his machine for a spiral glide, clapped the binoculars to his eyes.	We had our glasses out; even Terry, setting his machine for a spiral glide, clapped the binoculars to his eyes.	true	1405.28	1411.24	20.74034
339_132717_000136_000000	They heard our whirring screw.	They heard our whirring screw.	true	1411.94	1414.27	20.611296
339_132717_000136_000001	They ran out of the houses--they gathered in from the fields, swift-running light figures, crowds of them.	They ran out of the houses-they gathered in from the fields, swift running light figures, crowds of them.	true	1414.31	1419.67	17
339_132717_000136_000002	We stared and stared until it was almost too late to catch the levers, sweep off and rise again; and then we held our peace for a long run upward.	We stared and stared until it was almost too late to catch the levers, sweep off and rise again; and then we held our peace for a long run upward.	true	1419.8	1429.03	21.775768
339_132717_000137_000000	"Gosh!" said Terry, after a while.	"Gosh!" said Terry, after a while.	true	1429.67	1432.39	22.243082
339_132717_000138_000000	"Only women there--and children," Jeff urged excitedly.	"Only women there-and children," Jeff urged excitedly.	true	1432.79	1437.19	21.352724
339_132717_000139_000000	"But they look--why, this is a CIVILIZED country!" I protested.	"But they look-why, this is a CIVILIZED country!" I protested.	false	1437.8	1444.17	25.159502
339_132717_000139_000001	"There must be men."	"There must be men."	true	1444.17	1445.64	17
339_132717_000140_000000	"Of course there are men," said Terry.	"Of course there are men," said Terry.	false	1445.64	1447.29	21.28189
339_132717_000140_000001	"Come on, let's find 'em."	"Come on, let's find 'em."	false	1447.29	1449.75	22.349924
339_132717_000141_000000	He refused to listen to Jeff's suggestion that we examine the country further before we risked leaving our machine.	He refused to listen to Jeff's suggestion that we examine the country further before we risked leaving our machine.	true	1449.75	1455.28	13
339_132717_000142_000000	"There's a fine landing place right there where we came over," he insisted, and it was an excellent one--a wide, flat-topped rock, overlooking the lake, and quite out of sight from the interior.	"There's a fine landing place right there where we came over," he insisted, and it was an excellent one-a wide, flat topped rock, overlooking the lake, and quite out of sight from the interior.	true	1456.28	1465.66	21
339_132717_000143_000000	"They won't find this in a hurry," he asserted, as we scrambled with the utmost difficulty down to safer footing.	"They won't find this in a hurry," he asserted, as we scrambled with the utmost difficulty down to safer footing.	true	1466.24	1471.47	20.378843
339_132717_000143_000001	"Come on, boys--there were some good lookers in that bunch."	"Come on, boys-there were some good lookers in that bunch."	true	1471.47	1474.3	23.411499
339_132717_000144_000000	Of course it was unwise of us.	Of course it was unwise of us.	false	1474.97	1478.98	21.892862
339_132717_000145_000000	It was quite easy to see afterward that our best plan was to have studied the country more fully before we left our swooping airship and trusted ourselves to mere foot service.	It was quite easy to see afterward that our best plan was to have studied the country more fully before we left our swooping airship and trusted ourselves to mere foot service.	true	1479.5	1489.96	18
339_132717_000145_000001	But we were three young men.	But we were three young men.	true	1490.87	1492.45	22.11271
339_132717_000145_000002	We had been talking about this country for over a year, hardly believing that there was such a place, and now--we were in it.	We had been talking about this country for over a year, hardly believing that there was such a place, and now-we were in it.	false	1493	1535.37	22.768826
