7733_106800_000000_000000	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	true	40.65	45.64	19
7733_106800_000039_000000	"All right, Cody, I'll leave it to you, as you seem to want to be boss," he replied, pleasantly.	"All right, Cody, I'll leave it to you, as you seem to want to be boss," he replied, pleasantly.	true	997.94	1003.24	25.515484
7733_106800_000039_000001	He at once ordered the command to dismount and lead the horses down the mountain side.	He at once ordered the command to dismount and lead the horses down the mountain side.	false	1003.79	1007.62	17
7733_106800_000039_000002	The wagon train was a mile in the rear, and when it came up one of the drivers asked, "How are we going down there?"	The wagon train was a mile in the rear, and when it came up one of the drivers asked, "How are we going down there?"	true	1007.75	1014.22	20.825296
7733_106800_000040_000000	"Run down, slide down, or fall down; any way to get down," said I.	"Run down, slide down, or fall down; any way to get down," said i	true	1015.7	1019.92	17
7733_106800_000041_000000	"We can never do it; it's too steep; the wagons will run over the mules," said another wagon master.	"We can never do it; it's too steep; the wagons will run over the mules," said another wagon master.	true	1020.86	1026.4	20
7733_106800_000042_000000	"I guess not; the mules have got to keep out of the way," was my reply.	"I guess not; the mules have got to keep out of the way," was my reply.	false	1027.49	1033.32	23.310947
7733_106800_000043_000000	I told Wilson, the chief wagon master, to bring on his mess wagon, which was at the head of the train, and I would try the experiment at least. Wilson drove the team and wagon to the brink of the hill, and following my directions he brought out some extra chains with which we locked the wheels on each side, and then rough-locked them.	I told Wilson, the chief wagon master, to bring on his mess wagon, which was at the head of the train, and I would try the experiment at least. Wilson drove the team and wagon to the brink of the hill, and following my directions he brought out some extra chains with which we locked the wheels on each side, and then rough locked them.	true	1033.32	1050.52	20
7733_106800_000043_000001	We now started the wagon down the hill.	We now started the wagon down the hill.	true	1050.95	1053.49	20
7733_106800_000043_000002	The wheel horses--or rather the wheel mules--were good on the hold back, and we got along finely until we nearly reached the bottom, when the wagon crowded the mules so hard that they started on a run and galloped down into the valley and to the place where General Carr had located his camp.	The wheel horses-or rather the wheel mules-were good on the hold back, and we got along finely until we nearly reached the bottom, when the wagon crowded the mules so hard that they started on a run and galloped down into the valley and to the place where General Carr had located his camp.	false	1053.86	1070.47	18
7733_106800_000043_000003	Three other wagons immediately followed in the same way, and in half an hour every wagon was in camp, without the least accident having occurred.	Three other wagons immediately followed in the same way, and in half an hour every wagon was in camp, without the least accident having occurred.	true	1070.87	1078.84	20.916306
7733_106800_000043_000004	It was indeed an exciting sight to see the six mule teams come straight down the mountain and finally break into a full run.	It was indeed an exciting sight to see the six mule teams come straight down the mountain and finally break into a full run.	true	1079.18	1085.59	15
7733_106800_000043_000005	At times it looked as if the wagons would turn a somersault and land on the mules.	At times it looked as if the wagons would turn a somersault and land on the mules.	true	1085.84	1090.08	13
7733_106800_000044_000000	[Illustration: I DISENTANGLED MYSELF AND JUMPED BEHIND THE DEAD BODY OF THE HORSE.]	[Illustration: I DISENTANGLED MYSELF AND JUMPED BEHIND THE DEAD BODY OF THE HORSE.]	false	1090.08	1091.81	-20
7733_106800_000045_000000	This proved to be a lucky march for us, as far as gaining on Penrose was concerned; for the route he had taken on the west side of the stream turned out to be a bad one, and we went with our immense wagon train as far in one day as Penrose had in seven.	This proved to be a lucky march for us, as far as gaining on Penrose was concerned; for the route he had taken on the west side of the stream turned out to be a bad one, and we went with our immense wagon train as far in one day as Penrose had in seven.	true	1091.81	1105.36	16
7733_106800_000045_000001	His command had marched on to a plateau or high tableland so steep that not even a pack mule could descend it, and he was obliged to retrace his steps a long way, thus losing three days' time, as we afterward learned.	His command had marched on to a plateau or high tableland so steep that not even a pack mule could descend it, and he was obliged to retrace his steps a long way, thus losing three days' time, as we afterward learned.	true	1105.55	1118.62	15
7733_106800_000046_000000	From this point on, for several days, we had no trouble in following Penrose's trail, which led us in a southeasterly direction toward the Canadian River.	From this point on, for several days, we had no trouble in following Penrose's trail, which led us in a southeasterly direction toward the Canadian River.	false	1119.53	1127.86	16
7733_106800_000046_000001	No Indians were seen, nor any signs of them found.	No Indians were seen, nor any signs of them found.	true	1128.35	1131.85	19.609337
7733_106800_000046_000002	One day, while riding in advance of the command down San Francisco Creek, I heard some one calling my name from a little bunch of willow brush on the opposite bank, and upon looking closely at the spot, I saw a negro.	One day, while riding in advance of the command down San Francisco Creek, I heard some one calling my name from a little bunch of willow brush on the opposite bank, and upon looking closely at the spot, I saw a negro.	true	1132.04	1144.93	19.599293
7733_106800_000047_000000	"Sakes alive!	"Sakes alive!	true	1145.69	1146.72	13.424427
7733_106800_000047_000001	Massa Bill, am dat you?" asked the man, whom I recognized as one of the colored soldiers of the Tenth Cavalry.	Massa Bill, am dat you?" asked the man, whom I recognized as one of the colored soldiers of the Tenth Cavalry.	false	1146.72	1153.15	22.481012
7733_106800_000047_000002	I next heard him say to some one in the brush: "Come out o' heah.	I next heard him say to some one in the brush: "Come out o' heah.	false	1153.15	1157.37	17.736525
7733_106800_000047_000003	Dar's Massa Buffalo Bill." Then he sang out, "Massa Bill, is you got any hawdtack?"	Dar's Massa Buffalo Bill." Then he sang out, "Massa Bill, is you got any hawdtack?"	false	1157.37	1165.17	25.134829
7733_106800_000048_000000	"Nary a hardtack; but the wagons will be along presently, and then you can get all you want," said I.	"Nary a hardtack; but the wagons will be along presently, and then you can get all you want," said i	true	1165.17	1170.18	15
7733_106800_000049_000000	"Dat's de best news I's heerd foah sixteen long days, Massa Bill," said he.	"Dat's de best news I's heerd f o a h sixteen long days, Massa Bill," said he.	false	1170.18	1176.19	21.464375
7733_106800_000050_000000	"Where's your command?	"Where's your command?	true	1176.92	1178.07	29.18692
7733_106800_000050_000001	Where's General Penrose?" I asked.	Where's General Penrose?" I asked.	false	1178.07	1180.62	23.979847
7733_106800_000051_000000	"I dun'no'," said the darky; "we got lost and we's been starvin' eber since."	"I dun'no'," said the darky; "we got lost and we's been starvin' eber since."	false	1180.62	1184.04	23
7733_106800_000052_000000	By this time two other negroes had emerged from their place of concealment.	By this time two other negroes had emerged from their place of concealment.	false	1184.04	1188.77	15.442698
7733_106800_000052_000001	They had deserted Penrose's command--which was out of rations and nearly in a starving condition--and were trying to make their way back to Fort Lyon.	They had deserted Penrose's command-which was out of rations and nearly in a starving condition-and were trying to make their way back to Fort Lyon.	true	1188.77	1195.81	17
7733_106800_000052_000002	General Carr concluded, from what they could tell him, that General Penrose was somewhere on Palladora Creek; but we could not learn anything definite, for they knew not where they were themselves.	General Carr concluded, from what they could tell him, that General Penrose was somewhere on Palladora Creek; but we could not learn anything definite, for they knew not where they were themselves.	false	1196.06	1206.04	18
7733_106800_000053_000000	Having learned that General Penrose's troops were in such bad shape, General Carr ordered Major Brown to start out the next morning with two companies of cavalry and fifty pack mules loaded with provisions, and to make all possible speed to reach and relieve the suffering soldiers.	Having learned that General Penrose's troops were in such bad shape, General Carr ordered Major Brown to start out the next morning with two companies of cavalry and fifty pack mules loaded with provisions, and to make all possible speed to reach and relieve the suffering soldiers.	true	1206.86	1222.15	18
7733_106800_000053_000001	I accompanied this detachment, and on the third day out we found the half-famished soldiers camped on the Palladora.	I accompanied this detachment, and on the third day out we found the half famished soldiers camped on the Palladora.	true	1222.52	1228.63	18
7733_106800_000053_000002	The camp presented a pitiful sight, indeed.	The camp presented a pitiful sight, indeed.	true	1229.06	1231.63	22
7733_106800_000053_000003	For over two weeks the men had had only quarter rations, and were now nearly starved to death.	For over two weeks the men had had only quarter rations, and were now nearly starved to death.	true	1231.67	1237.3	19
7733_106800_000053_000004	Over two hundred horses and mules were lying dead, having died from fatigue and starvation.	Over two hundred horses and mules were lying dead, having died from fatigue and starvation.	true	1237.55	1243.06	19.050018
7733_106800_000053_000005	General Penrose, fearing that General Carr would not find him, had sent back a company of the Seventh Cavalry to Fort Lyon for supplies; but no word had as yet been heard from them.	General Penrose, fearing that General Carr would not find him, had sent back a company of the Seventh Cavalry to Fort Lyon for supplies; but no word had as yet been heard from them.	true	1243.85	1253.8	17
7733_106800_000053_000006	The rations which Major Brown brought to the command came none too soon, and were the means of saving many lives.	The rations which Major Brown brought to the command came none too soon, and were the means of saving many lives.	true	1253.93	1260.1	15
7733_106800_000054_000000	General Carr, upon arriving with his force, took command of all the troops, he being the senior officer and ranking General Penrose.	General Carr, upon arriving with his force, took command of all the troops, he being the senior officer and ranking General Penrose.	true	1260.8	1268.32	18
7733_106800_000054_000001	After selecting a good camp, he unloaded the wagons and sent them back to Fort Lyon for fresh supplies.	After selecting a good camp, he unloaded the wagons and sent them back to Fort Lyon for fresh supplies.	true	1268.54	1273.72	17
7733_106800_000054_000002	He then picked out five hundred of the best men and horses, and, taking his pack train with him, started south for the Canadian River, leaving the rest of the troops at the supply camp.	He then picked out five hundred of the best men and horses, and, taking his pack train with him, started south for the Canadian River, leaving the rest of the troops at the supply camp.	true	1273.94	1283.83	20.617104
7733_106800_000055_000000	For several days we scouted along the Canadian River, but found no signs of Indians. General Carr then went back to his camp, and soon afterward our wagon train came in from Fort Lyon with a fresh load of provisions.	For several days we scouted along the Canadian River, but found no signs of Indians. General Carr then went back to his camp, and soon afterward our wagon train came in from Fort Lyon with a fresh load of provisions.	true	1284.02	1296.31	16
7733_106800_000055_000001	At length, our horses and mules having become sufficiently recruited to return, we returned to Fort Lyon, arriving there in March, 1869, where the command was to rest and recruit for thirty days before proceeding to the Department of the Platte, whither it had been ordered.	At length, our horses and mules having become sufficiently recruited to return, we returned to Fort Lyon, arriving there in March, eighteen sixty nine, where the command was to rest and recruit for thirty days before proceeding to the Department of the Platte, whither it had been ordered.	false	1296.8	1322.94	20.644854
