2238_121415_000000_000000	"Where?" asked Porthos, filling a second glass of wine.	"Where?" asked Porthos, filling a second glass of wine.	false	0	2.43	19.461515
2238_121415_000099_000000	Gondy dressed himself as an officer, put on a felt cap with a red feather, hung on a long sword, buckled spurs to his boots, wrapped himself in an ample cloak and followed the curate.	Gondy dressed himself as an officer, put on a felt cap with a red feather, hung on a long sword, buckled spurs to his boots, wrapped himself in an ample cloak and followed the curate.	true	1042.64	1054.63	22.452133
2238_121415_000100_000000	The coadjutor and his companion passed through all the streets lying between the archbishopric and the St. Eustache Church, watching carefully to ascertain the popular feeling.	The coadjutor and his companion passed through all the streets lying between the archbishopric and the st Eustache Church, watching carefully to ascertain the popular feeling.	false	1055.57	1065.85	23.686506
2238_121415_000100_000001	The people were in an excited mood, but, like a swarm of frightened bees, seemed not to know at what point to concentrate; and it was very evident that if leaders of the people were not provided all this agitation would pass off in idle buzzing.	The people were in an excited mood, but, like a swarm of frightened bees, seemed not to know at what point to concentrate; and it was very evident that if leaders of the people were not provided all this agitation would pass off in idle buzzing.	true	1066.55	1082.23	20.36899
2238_121415_000101_000000	On arriving at the Rue des Prouvaires, the curate pointed toward the square before the church.	On arriving at the Rue des Prouvaires, the curate pointed toward the square before the church.	true	1083.08	1088.74	21.606453
2238_121415_000102_000000	"Stop!" he said, "there he is at his post."	"Stop!" he said, "there he is at his post."	true	1088.93	1091.92	20.760113
2238_121415_000103_000000	Gondy looked at the spot indicated and perceived a beggar seated in a chair and leaning against one of the moldings; a little basin was near him and he held a holy water brush in his hand.	Gondy looked at the spot indicated and perceived a beggar seated in a chair and leaning against one of the moldings; a little basin was near him and he held a holy water brush in his hand.	true	1093.31	1104.49	17.626749
2238_121415_000104_000000	"Is it by permission that he remains there?" asked Gondy.	"Is it by permission that he remains there?" asked Gondy.	true	1105.34	1108.24	16
2238_121415_000105_000000	"No, my lord; these places are bought.	"No, my lord; these places are bought.	true	1108.67	1111.39	19.894442
2238_121415_000105_000001	I believe this man paid his predecessor a hundred pistoles for his."	I believe this man paid his predecessor a hundred pistoles for his."	true	1111.58	1115.56	23
2238_121415_000106_000000	"The rascal is rich, then?"	"The rascal is rich, then?"	true	1116.26	1117.87	23.250433
2238_121415_000107_000000	"Some of those men sometimes die worth twenty thousand and twenty-five and thirty thousand francs and sometimes more."	"Some of those men sometimes die worth twenty thousand and twenty five and thirty thousand francs and sometimes more."	true	1119.35	1126.14	20.59955
2238_121415_000108_000000	"Hum!" said Gondy, laughing; "I was not aware my alms were so well invested."	"Hum!" said Gondy, laughing; "I was not aware my alms were so well invested."	false	1126.14	1131.7	19.155533
2238_121415_000109_000000	In the meantime they were advancing toward the square, and the moment the coadjutor and the curate put their feet on the first church step the mendicant arose and proffered his brush.	In the meantime they were advancing toward the square, and the moment the coadjutor and the curate put their feet on the first church step the mendicant arose and proffered his brush.	true	1132.85	1144.09	22.920565
2238_121415_000110_000000	He was a man between sixty-six and sixty-eight years of age, little, rather stout, with gray hair and light eyes.	He was a man between sixty six and sixty eight years of age, little, rather stout, with gray hair and light eyes.	true	1145.33	1153.18	20.343418
2238_121415_000110_000001	His countenance denoted the struggle between two opposite principles--a wicked nature, subdued by determination, perhaps by repentance.	His countenance denoted the struggle between two opposite principles-a wicked nature, subdued by determination, perhaps by repentance.	true	1153.46	1163.17	22.42431
2238_121415_000111_000000	He started on seeing the cavalier with the curate.	He started on seeing the cavalier with the curate.	true	1164.23	1166.83	19
2238_121415_000111_000001	The latter and the coadjutor touched the brush with the tips of their fingers and made the sign of the cross; the coadjutor threw a piece of money into the hat, which was on the ground.	The latter and the coadjutor touched the brush with the tips of their fingers and made the sign of the cross; the coadjutor threw a piece of money into the hat, which was on the ground.	false	1167.5	1178.67	20.20933
2238_121415_000112_000000	"Maillard," began the curate, "this gentleman and I have come to talk with you a little."	"Maillard," began the curate, "this gentleman and I have come to talk with you a little."	false	1178.67	1183.84	21.238396
2238_121415_000113_000000	"With me!" said the mendicant; "it is a great honor for a poor distributor of holy water."	"With me!" said the mendicant; "it is a great honor for a poor distributor of holy water."	true	1184.54	1189.81	21.095148
2238_121415_000114_000000	There was an ironical tone in his voice which he could not quite disguise and which astonished the coadjutor.	There was an ironical tone in his voice which he could not quite disguise and which astonished the coadjutor.	true	1190.54	1197.07	23.807882
2238_121415_000115_000000	"Yes," continued the curate, apparently accustomed to this tone, "yes, we wish to know your opinion of the events of to-day and what you have heard said by people going in and out of the church."	"Yes," continued the curate, apparently accustomed to this tone, "yes, we wish to know your opinion of the events of to day and what you have heard said by people going in and out of the church."	true	1197.8	1208.44	20.893116
2238_121415_000116_000000	The mendicant shook his head.	The mendicant shook his head.	true	1209.32	1210.96	22.585257
2238_121415_000117_000000	"These are melancholy doings, your reverence, which always fall again upon the poor.	"These are melancholy doings, your reverence, which always fall again upon the poor.	true	1212.17	1217.5	19.671003
2238_121415_000117_000001	As to what is said, everybody is discontented, everybody complains, but 'everybody' means 'nobody.'"	As to what is said, everybody is discontented, everybody complains, but 'everybody' means 'nobody.'"	true	1218.08	1225.39	20.141085
2238_121415_000118_000000	"Explain yourself, my good friend," said the coadjutor.	"Explain yourself, my good friend," said the coadjutor.	true	1225.46	1228.84	18
2238_121415_000119_000000	"I mean that all these cries, all these complaints, these curses, produce nothing but storms and flashes and that is all; but the lightning will not strike until there is a hand to guide it."	"I mean that all these cries, all these complaints, these curses, produce nothing but storms and flashes and that is all; but the lightning will not strike until there is a hand to guide it."	true	1229.72	1241.74	21.932251
2238_121415_000120_000000	"My friend," said Gondy, "you seem to be a clever and a thoughtful man; are you disposed to take a part in a little civil war, should we have one, and put at the command of the leader, should we find one, your personal influence and the influence you have acquired over your comrades?"	"My friend," said Gondy, "you seem to be a clever and a thoughtful man; are you disposed to take a part in a little civil war, should we have one, and put at the command of the leader, should we find one, your personal influence and the influence you have acquired over your comrades?"	true	1242.83	1259.8	21.335955
2238_121415_000121_000000	"Yes, sir, provided this war were approved of by the church and would advance the end I wish to attain--I mean, the remission of my sins."	"Yes, sir, provided this war were approved of by the church and would advance the end I wish to attain-I mean, the remission of my sins."	true	1259.99	1269.28	20.173437
2238_121415_000122_000000	"The war will not only be approved of, but directed by the church.	"The war will not only be approved of, but directed by the church.	true	1270.64	1274.68	20.824123
2238_121415_000122_000001	As for the remission of your sins, we have the archbishop of Paris, who has the very greatest power at the court of Rome, and even the coadjutor, who possesses some plenary indulgences; we will recommend you to him."	As for the remission of your sins, we have the archbishop of Paris, who has the very greatest power at the court of Rome, and even the coadjutor, who possesses some plenary indulgences; we will recommend you to him."	true	1275.05	1288.57	21.100246
2238_121415_000123_000000	"Consider, Maillard," said the curate, "that I have recommended you to this gentleman, who is a powerful lord, and that I have made myself responsible for you."	"Consider, Maillard," said the curate, "that I have recommended you to this gentleman, who is a powerful lord, and that I have made myself responsible for you."	false	1289.9	1298.47	20.859554
2238_121415_000124_000000	"I know, monsieur le cure," said the beggar, "that you have always been very kind to me, and therefore I, in my turn, will be serviceable to you."	"I know, monsieur le cure," said the beggar, "that you have always been very kind to me, and therefore I, in my turn, will be serviceable to you."	false	1299.35	1307.65	21.023499
2238_121415_000125_000000	"And do you think your power as great with the fraternity as monsieur le cure told me it was just now?"	"And do you think your power as great with the fraternity as monsieur le cure told me it was just now?"	false	1309.22	1315.72	20
2238_121415_000126_000000	"I think they have some esteem for me," said the mendicant with pride, "and that not only will they obey me, but wherever I go they will follow me."	"I think they have some esteem for me," said the mendicant with pride, "and that not only will they obey me, but wherever I go they will follow me."	true	1317.2	1325.35	20.86058
2238_121415_000127_000000	"And could you count on fifty resolute men, good, unemployed, but active souls, brawlers, capable of bringing down the walls of the Palais Royal by crying, 'Down with Mazarin,' as fell those at Jericho?"	"And could you count on fifty resolute men, good, unemployed, but active souls, brawlers, capable of bringing down the walls of the Palais Royal by crying, 'Down with Mazarin,' as fell those at Jericho?"	true	1326.17	1339.81	22.043997
2238_121415_000128_000000	"I think," said the beggar, "I can undertake things more difficult and more important than that."	"I think," said the beggar, "I can undertake things more difficult and more important than that."	true	1340.57	1345.9	20.773005
2238_121415_000129_000000	"Ah, ah," said Gondy, "you will undertake, then, some night, to throw up some ten barricades?"	"Ah, ah," said Gondy, "you will undertake, then, some night, to throw up some ten barricades?"	false	1346.63	1352.62	19
2238_121415_000130_000000	"I will undertake to throw up fifty, and when the day comes, to defend them."	"I will undertake to throw up fifty, and when the day comes, to defend them."	true	1353.47	1357.99	22.839392
2238_121415_000131_000000	"I'faith!" exclaimed Gondy, "you speak with a certainty that gives me pleasure; and since monsieur le cure can answer for you----"	"I'faith!" exclaimed Gondy, "you speak with a certainty that gives me pleasure; and since monsieur le cure can answer for you----"	false	1358.84	1366.45	24.50267
2238_121415_000132_000000	"I answer for him," said the curate.	"I answer for him," said the curate.	true	1366.55	1368.94	25.819689
2238_121415_000133_000000	"Here is a bag containing five hundred pistoles in gold; make all your arrangements, and tell me where I shall be able to find you this evening at ten o'clock."	"Here is a bag containing five hundred pistoles in gold; make all your arrangements, and tell me where I shall be able to find you this evening at ten o'clock."	true	1369.64	1379.29	19.8652
2238_121415_000134_000000	"It must be on some elevated place, whence a given signal may be seen in every part of Paris."	"It must be on some elevated place, whence a given signal may be seen in every part of Paris."	true	1380.14	1386.07	20.462984
2238_121415_000135_000000	"Shall I give you a line for the vicar of St. Jacques de la Boucherie? he will let you into the rooms in his tower," said the curate.	"Shall I give you a line for the vicar of st Jacques de la Boucherie? he will let you into the rooms in his tower," said the curate.	false	1387.52	1394.71	21.141766
2238_121415_000136_000000	"Capital," answered the mendicant.	"Capital," answered the mendicant.	true	1395.29	1397.14	23
2238_121415_000137_000000	"Then," said the coadjutor, "this evening, at ten o'clock, and if I am pleased with you another bag of five hundred pistoles will be at your disposal."	"Then," said the coadjutor, "this evening, at ten o'clock, and if I am pleased with you another bag of five hundred pistoles will be at your disposal."	true	1397.87	1407.25	21.675303
2238_121415_000138_000000	The eyes of the mendicant dashed with cupidity, but he quickly suppressed his emotion.	The eyes of the mendicant dashed with cupidity, but he quickly suppressed his emotion.	true	1408.49	1413.94	23.523512
2238_121415_000139_000000	"This evening, sir," he replied, "all will be ready."	"This evening, sir," he replied, "all will be ready."	false	1414.82	1426.32	16.038136
