8464_282934_000000_000000	THE REFORMATION OF CALLIOPE	THE REFORMATION OF CALLIOPE	false	7.26	22.245	23.990225
8464_282934_000030_000004	A officer has got to take up for the law--it's his duty--and them that acts bad and lives wrong has to suffer.	A officer has got to take up for the law-it's his duty-and them that acts bad and lives wrong has to suffer.	true	1008.62	1016.26	21.852297
8464_282934_000030_000005	Don't blame my son any, sir--'tain't his fault.	Don't blame my son any, sir-'tain't his fault.	true	1016.9	1020.34	23.11532
8464_282934_000030_000006	He's always been a good boy--good when he was growin' up, and kind and 'bedient and well-behaved.	He's always been a good boy-good when he was growin' up, and kind and 'bedient and well behaved.	true	1020.41	1026.79	20.27005
8464_282934_000030_000007	Won't you let me advise you, sir, not to do so no more?	Won't you let me advise you, sir, not to do so no more?	true	1026.95	1030.24	20
8464_282934_000030_000008	Be a good man, and leave liquor alone and live peaceably and goodly.	Be a good man, and leave liquor alone and live peaceably and goodly.	true	1030.64	1034.98	24
8464_282934_000030_000009	Keep away from bad company and work honest and sleep sweet."	Keep away from bad company and work honest and sleep sweet."	false	1035.29	1040.08	24.018314
8464_282934_000031_000000	The black-mitted hand of the old pleader gently touched the breast of the man she addressed.	The black mitted hand of the old pleader gently touched the breast of the man she addressed.	true	1040.54	1045.6	21
8464_282934_000031_000001	Very earnest and candid her old, worn face looked.	Very earnest and candid her old, worn face looked.	false	1046	1049.79	20.522919
8464_282934_000031_000002	In her rusty black dress and antique bonnet she sat, near the close of a long life, and epitomised the experience of the world. Still the man to whom she spoke gazed above her head, contemplating the silent son of the old mother.	In her rusty black dress and antique bonnet she sat, near the close of a long life, and epitomised the experience of the world. Still the man to whom she spoke gazed above her head, contemplating the silent son of the old mother.	false	1049.79	1065.79	22.011595
8464_282934_000032_000000	"What does the marshal say?" he asked.	"What does the marshal say?" he asked.	true	1066.67	1069.08	21.17771
8464_282934_000032_000001	"Does he believe the advice is good?	"Does he believe the advice is good?	false	1069.08	1071.61	20.197989
8464_282934_000032_000002	Suppose the marshal speaks up and says if the talk's all right?"	Suppose the marshal speaks up and says if the talk's all right?"	true	1071.98	1075.89	24.59937
8464_282934_000033_000000	The tall man moved uneasily.	The tall man moved uneasily.	false	1075.89	1079.32	17.520105
8464_282934_000033_000001	He fingered the badge on his breast for a moment, and then he put an arm around the old woman and drew her close to him.	He fingered the badge on his breast for a moment, and then he put an arm around the old woman and drew her close to him.	true	1079.33	1085.71	21.635366
8464_282934_000033_000002	She smiled the unchanging mother smile of three-score years, and patted his big brown hand with her crooked, mittened fingers while her son spake.	She smiled the unchanging mother smile of three score years, and patted his big brown hand with her crooked, mittened fingers while her son spake.	true	1086.11	1095.79	19.93938
8464_282934_000034_000000	"I says this," he said, looking squarely into the eyes of the other man, "that if I was in your place I'd follow it.	"I says this," he said, looking squarely into the eyes of the other man, "that if I was in your place I'd follow it.	false	1095.95	1102.48	20.317326
8464_282934_000034_000001	If I was a drunken, desp'rate character, without shame or hope, I'd follow it.	If I was a drunken, desp'rate character, without shame or hope, I'd follow it.	false	1102.76	1107.52	23.465431
8464_282934_000034_000002	If I was in your place and you was in mine I'd say: 'Marshal, I'm willin' to swear if you'll give me the chance I'll quit the racket.	If I was in your place and you was in mine I'd say: 'Marshal, I'm willin' to swear if you'll give me the chance I'll quit the racket.	false	1108.01	1116.31	26.005419
8464_282934_000034_000003	I'll drop the tanglefoot and the gun play, and won't play hoss no more.	I'll drop the tanglefoot and the gun play, and won't play hoss no more.	true	1116.44	1120.84	20.745623
8464_282934_000034_000004	I'll be a good citizen and go to work and quit my foolishness.	I'll be a good citizen and go to work and quit my foolishness.	true	1121.06	1124.74	20.452555
8464_282934_000034_000005	So help me God!' That's what I'd say to you if you was marshal and I was in your place."	So help me God!' That's what I'd say to you if you was marshal and I was in your place."	true	1124.74	1130.53	20.183208
8464_282934_000035_000000	"Hear my son talkin'," said the old woman softly.	"Hear my son talkin'," said the old woman softly.	true	1131.2	1134.13	25.466944
8464_282934_000035_000001	"Hear him, sir.	"Hear him, sir.	true	1134.13	1135.24	27.339191
8464_282934_000035_000002	You promise to be good and he won't do you no harm.	You promise to be good and he won't do you no harm.	true	1135.64	1138.66	23.076946
8464_282934_000035_000003	Forty-one year ago his heart first beat ag'in' mine, and it's beat true ever since."	Forty one year ago his heart first beat ag'in' mine, and it's beat true ever since."	false	1139.09	1145.23	18.753727
8464_282934_000036_000000	The other man rose to his feet, trying his limbs and stretching his muscles.	The other man rose to his feet, trying his limbs and stretching his muscles.	true	1146.02	1150.75	19.535479
8464_282934_000037_000000	"Then," said he, "if you was in my place and said that, and I was marshal, I'd say: 'Go free, and do your best to keep your promise.'"	"Then," said he, "if you was in my place and said that, and I was marshal, I'd say: 'Go free, and do your best to keep your promise.'"	false	1151.48	1163.19	20.777273
8464_282934_000038_000000	"Lawsy!" exclaimed the old woman, in a sudden flutter, "ef I didn't clear forget that trunk of mine!	"Lawsy!" exclaimed the old woman, in a sudden flutter, "e f I didn't clear forget that trunk of mine!	false	1163.19	1169.11	21.504234
8464_282934_000038_000001	I see a man settin' it on the platform jest as I seen son's face in the window, and it went plum out of my head.	I see a man settin' it on the platform jest as I seen son's face in the window, and it went plum out of my head.	false	1169.63	1176.22	20.222475
8464_282934_000038_000002	There's eight jars of home-made quince jam in that trunk that I made myself.	There's eight jars of home-made quince jam in that trunk that I made myself.	false	1176.35	1181.26	19.807632
8464_282934_000038_000003	I wouldn't have nothin' happen to them jars for a red apple."	I wouldn't have nothin' happen to them jars for a red apple."	true	1181.84	1184.94	20.864777
8464_282934_000039_000000	Away to the door she trotted, spry and anxious, and then Calliope Catesby spoke out to Buck Patterson:	Away to the door she trotted, spry and anxious, and then Calliope Catesby spoke out to Buck Patterson:	false	1184.94	1192.66	21.170088
8464_282934_000040_000000	"I just couldn't help it, Buck.	"I just couldn't help it, Buck.	false	1193.39	1195.38	30.65976
8464_282934_000040_000001	I seen her through the window a-comin' in.	I seen her through the window a comin' in.	true	1195.38	1197.52	24
8464_282934_000040_000002	She never had heard a word 'bout my tough ways.	She never had heard a word 'bout my tough ways.	false	1197.71	1200.76	18.522545
8464_282934_000040_000003	I didn't have the nerve to let her know I was a worthless cuss bein' hunted down by the community.	I didn't have the nerve to let her know I was a worthless cuss bein' hunted down by the community.	true	1200.89	1206.82	18.819695
8464_282934_000040_000004	There you was lyin' where my shot laid you, like you was dead.	There you was lyin' where my shot laid you, like you was dead.	true	1207.4	1210.99	19.391865
8464_282934_000040_000005	The idea struck me sudden, and I just took your badge off and fastened it onto myself, and I fastened my reputation onto you.	The idea struck me sudden, and I just took your badge off and fastened it onto myself, and I fastened my reputation onto you.	true	1211.54	1218.91	23.472038
8464_282934_000040_000006	I told her I was the marshal and you was a holy terror.	I told her I was the marshal and you was a holy terror.	true	1219.13	1223.17	18.342337
8464_282934_000040_000007	You can take your badge back now, Buck."	You can take your badge back now, Buck."	true	1223.9	1226.11	25.823225
8464_282934_000041_000000	With shaking fingers Calliope began to unfasten the disc of metal from his shirt.	With shaking fingers Calliope began to unfasten the disc of metal from his shirt.	true	1226.9	1231.72	19
8464_282934_000042_000000	"Easy there!" said Buck Patterson.	"Easy there!" said Buck Patterson.	true	1232.33	1234.75	21.358532
8464_282934_000042_000001	"You keep that badge right where it is, Calliope Catesby.	"You keep that badge right where it is, Calliope Catesby.	true	1234.91	1238.47	21.83092
8464_282934_000042_000002	Don't you dare to take it off till the day your mother leaves this town.	Don't you dare to take it off till the day your mother leaves this town.	true	1238.75	1242.76	21.081966
8464_282934_000042_000003	You'll be city marshal of Quicksand as long as she's here to know it.	You'll be city marshal of Quicksand as long as she's here to know it.	true	1243.25	1247.38	18
8464_282934_000042_000004	After I stir around town a bit and put 'em on I'll guarantee that nobody won't give the thing away to her.	After I stir around town a bit and put 'em on I'll guarantee that nobody won't give the thing away to her.	true	1248.02	1253.5	18
8464_282934_000042_000005	And say, you leather-headed, rip-roarin', low-down son of a locoed cyclone, you follow that advice she give me!	And say, you leather headed, rip roarin', low down son of a locoed cyclone, you follow that advice she give me!	true	1253.9	1261.39	17.174133
8464_282934_000042_000006	I'm goin' to take some of it myself, too."	I'm goin' to take some of it myself, too."	false	1261.88	1264.39	23.624027
8464_282934_000043_000000	"Buck," said Calliope feelingly, "ef I don't I hope I may--"	"Buck," said Calliope feelingly, "e f I don't I hope I may-"	false	1265.24	1269.88	24.70747
8464_282934_000044_000000	"Shut up," said Buck.	"Shut up," said Buck.	true	1269.88	1271.59	22.737871
8464_282934_000044_000001	"She's a-comin' back."	"She's a comin' back."	false	1271.66	1275.45	18.374691
8464_282934_000045_000000	***END OF THE PROJECT GUTENBERG EBOOK HEART OF THE WEST***	asterisk asterisk END OF THE PROJECT GUTENBERG EBOOK HEART OF THE WEST asterisk asterisk	false	1275.45	1284.33	20.6243
