8080_274558_000000_000000	They play.	They play.	false	0	0.84	30.53318
8080_274558_000026_000000	In this manner I fancied I could distinguish the precise moment when he fairly disengaged the lid--also, that I could determine when he removed it altogether, and when he deposited it upon the lower berth in his room; this latter point I knew, for example, by certain slight taps which the lid made in striking against the wooden edges of the berth, as he endeavored to lay it down very gently--there being no room for it on the floor.	In this manner I fancied I could distinguish the precise moment when he fairly disengaged the lid-also, that I could determine when he removed it altogether, and when he deposited it upon the lower berth in his room; this latter point I knew, for example, by certain slight taps which the lid made in striking against the wooden edges of the berth, as he endeavored to lay it down very gently-there being no room for it on the floor.	false	1204.64	1235.05	23.244566
8080_274558_000026_000001	After this there was a dead stillness, and I heard nothing more, upon either occasion, until nearly daybreak; unless, perhaps, I may mention a low sobbing, or murmuring sound, so very much suppressed as to be nearly inaudible--if, indeed, the whole of this latter noise were not rather produced by my own imagination.	After this there was a dead stillness, and I heard nothing more, upon either occasion, until nearly daybreak; unless, perhaps, I may mention a low sobbing, or murmuring sound, so very much suppressed as to be nearly inaudible-if, indeed, the whole of this latter noise were not rather produced by my own imagination.	true	1235.75	1262.53	20.537376
8080_274558_000026_000002	I say it seemed to resemble sobbing or sighing--but, of course, it could not have been either.	I say it seemed to resemble sobbing or sighing-but, of course, it could not have been either.	false	1263.26	1269.88	22.565128
8080_274558_000026_000003	I rather think it was a ringing in my own ears.	I rather think it was a ringing in my own ears.	true	1270.28	1273.75	18.255377
8080_274558_000026_000004	Mr. Wyatt, no doubt, according to custom, was merely giving the rein to one of his hobbies--indulging in one of his fits of artistic enthusiasm.	mr Wyatt, no doubt, according to custom, was merely giving the rein to one of his hobbies-indulging in one of his fits of artistic enthusiasm.	false	1274.39	1285.27	24.74562
8080_274558_000026_000005	He had opened his oblong box, in order to feast his eyes on the pictorial treasure within.	He had opened his oblong box, in order to feast his eyes on the pictorial treasure within.	true	1285.94	1292.35	22.021421
8080_274558_000026_000006	There was nothing in this, however, to make him sob. I repeat, therefore, that it must have been simply a freak of my own fancy, distempered by good Captain Hardy's green tea.	There was nothing in this, however, to make him sob. I repeat, therefore, that it must have been simply a freak of my own fancy, distempered by good Captain Hardy's green tea.	true	1292.93	1306.3	25.348616
8080_274558_000026_000007	Just before dawn, on each of the two nights of which I speak, I distinctly heard Mr. Wyatt replace the lid upon the oblong box, and force the nails into their old places by means of the muffled mallet.	Just before dawn, on each of the two nights of which I speak, I distinctly heard mr Wyatt replace the lid upon the oblong box, and force the nails into their old places by means of the muffled mallet.	false	1306.94	1320.97	25
8080_274558_000026_000008	Having done this, he issued from his state-room, fully dressed, and proceeded to call Mrs. W. from hers.	Having done this, he issued from his state room, fully dressed, and proceeded to call mrs w from hers.	false	1321.55	1328.98	25.235218
8080_274558_000027_000000	We had been at sea seven days, and were now off Cape Hatteras, when there came a tremendously heavy blow from the southwest.	We had been at sea seven days, and were now off Cape Hatteras, when there came a tremendously heavy blow from the southwest.	false	1329.8	1338.34	21.620832
8080_274558_000027_000001	We were, in a measure, prepared for it, however, as the weather had been holding out threats for some time.	We were, in a measure, prepared for it, however, as the weather had been holding out threats for some time.	true	1338.95	1345.9	20.691742
8080_274558_000027_000002	Every thing was made snug, alow and aloft; and as the wind steadily freshened, we lay to, at length, under spanker and foretopsail, both double-reefed.	Every thing was made snug, alow and aloft; and as the wind steadily freshened, we lay to, at length, under spanker and foretopsail, both double reefed.	true	1346.39	1358.47	26.222235
8080_274558_000028_000000	In this trim we rode safely enough for forty-eight hours--the ship proving herself an excellent sea-boat in many respects, and shipping no water of any consequence.	In this trim we rode safely enough for forty eight hours-the ship proving herself an excellent sea boat in many respects, and shipping no water of any consequence.	true	1359.14	1370.8	23.793158
8080_274558_000028_000001	At the end of this period, however, the gale had freshened into a hurricane, and our after--sail split into ribbons, bringing us so much in the trough of the water that we shipped several prodigious seas, one immediately after the other.	At the end of this period, however, the gale had freshened into a hurricane, and our after-sail split into ribbons, bringing us so much in the trough of the water that we shipped several prodigious seas, one immediately after the other.	true	1371.44	1388.02	21.337969
8080_274558_000028_000002	By this accident we lost three men overboard with the caboose, and nearly the whole of the larboard bulwarks.	By this accident we lost three men overboard with the caboose, and nearly the whole of the larboard bulwarks.	false	1388.51	1395.88	22.72076
8080_274558_000028_000003	Scarcely had we recovered our senses, before the foretopsail went into shreds, when we got up a storm stay--sail and with this did pretty well for some hours, the ship heading the sea much more steadily than before.	Scarcely had we recovered our senses, before the foretopsail went into shreds, when we got up a storm stay-sail and with this did pretty well for some hours, the ship heading the sea much more steadily than before.	true	1396.46	1411.42	25.377682
8080_274558_000029_000000	The gale still held on, however, and we saw no signs of its abating. The rigging was found to be ill-fitted, and greatly strained; and on the third day of the blow, about five in the afternoon, our mizzen-mast, in a heavy lurch to windward, went by the board.	The gale still held on, however, and we saw no signs of its abating. The rigging was found to be ill fitted, and greatly strained; and on the third day of the blow, about five in the afternoon, our mizzen mast, in a heavy lurch to windward, went by the board.	true	1412.27	1431.4	21.523335
8080_274558_000029_000001	For an hour or more, we tried in vain to get rid of it, on account of the prodigious rolling of the ship; and, before we had succeeded, the carpenter came aft and announced four feet of water in the hold.	For an hour or more, we tried in vain to get rid of it, on account of the prodigious rolling of the ship; and, before we had succeeded, the carpenter came aft and announced four feet of water in the hold.	true	1431.65	1446.97	21.607765
8080_274558_000029_000002	To add to our dilemma, we found the pumps choked and nearly useless.	To add to our dilemma, we found the pumps choked and nearly useless.	true	1447.43	1452.52	20.85893
8080_274558_000030_000000	All was now confusion and despair--but an effort was made to lighten the ship by throwing overboard as much of her cargo as could be reached, and by cutting away the two masts that remained.	All was now confusion and despair-but an effort was made to lighten the ship by throwing overboard as much of her cargo as could be reached, and by cutting away the two masts that remained.	true	1453.13	1466.14	21.645643
8080_274558_000030_000001	This we at last accomplished--but we were still unable to do any thing at the pumps; and, in the meantime, the leak gained on us very fast.	This we at last accomplished-but we were still unable to do any thing at the pumps; and, in the meantime, the leak gained on us very fast.	true	1466.78	1477.09	23.162367
8080_274558_000031_000000	At sundown, the gale had sensibly diminished in violence, and as the sea went down with it, we still entertained faint hopes of saving ourselves in the boats.	At sundown, the gale had sensibly diminished in violence, and as the sea went down with it, we still entertained faint hopes of saving ourselves in the boats.	true	1477.91	1489	20.743294
8080_274558_000031_000001	At eight P. M., the clouds broke away to windward, and we had the advantage of a full moon--a piece of good fortune which served wonderfully to cheer our drooping spirits.	At eight p m, the clouds broke away to windward, and we had the advantage of a full moon-a piece of good fortune which served wonderfully to cheer our drooping spirits.	true	1489.52	1501.87	24.183329
8080_274558_000032_000000	After incredible labor we succeeded, at length, in getting the longboat over the side without material accident, and into this we crowded the whole of the crew and most of the passengers.	After incredible labor we succeeded, at length, in getting the longboat over the side without material accident, and into this we crowded the whole of the crew and most of the passengers.	true	1502.48	1515.52	22.321608
8080_274558_000032_000001	This party made off immediately, and, after undergoing much suffering, finally arrived, in safety, at Ocracoke Inlet, on the third day after the wreck.	This party made off immediately, and, after undergoing much suffering, finally arrived, in safety, at Ocracoke Inlet, on the third day after the wreck.	true	1515.98	1527.85	26.13631
8080_274558_000033_000000	Fourteen passengers, with the captain, remained on board, resolving to trust their fortunes to the jolly-boat at the stern.	Fourteen passengers, with the captain, remained on board, resolving to trust their fortunes to the jolly boat at the stern.	true	1528.13	1536.85	21.901762
8080_274558_000033_000001	We lowered it without difficulty, although it was only by a miracle that we prevented it from swamping as it touched the water.	We lowered it without difficulty, although it was only by a miracle that we prevented it from swamping as it touched the water.	true	1537.28	1545.22	23.348034
8080_274558_000033_000002	It contained, when afloat, the captain and his wife, Mr. Wyatt and party, a Mexican officer, wife, four children, and myself, with a negro valet.	It contained, when afloat, the captain and his wife, mr Wyatt and party, a Mexican officer, wife, four children, and myself, with a negro valet.	true	1545.89	1558.06	22.191307
8080_274558_000034_000000	We had no room, of course, for any thing except a few positively necessary instruments, some provisions, and the clothes upon our backs. No one had thought of even attempting to save any thing more.	We had no room, of course, for any thing except a few positively necessary instruments, some provisions, and the clothes upon our backs. No one had thought of even attempting to save any thing more.	true	1558.67	1571.26	23.419926
8080_274558_000034_000001	What must have been the astonishment of all, then, when having proceeded a few fathoms from the ship, Mr. Wyatt stood up in the stern-sheets, and coolly demanded of Captain Hardy that the boat should be put back for the purpose of taking in his oblong box!	What must have been the astonishment of all, then, when having proceeded a few fathoms from the ship, mr Wyatt stood up in the stern sheets, and coolly demanded of Captain Hardy that the boat should be put back for the purpose of taking in his oblong box!	true	1571.69	1588.48	26
8080_274558_000035_000000	"Sit down, Mr. Wyatt," replied the captain, somewhat sternly, "you will capsize us if you do not sit quite still.	"Sit down, mr Wyatt," replied the captain, somewhat sternly, "you will capsize us if you do not sit quite still.	true	1589.57	1598.26	26.446383
8080_274558_000035_000001	Our gunwhale is almost in the water now."	Our gunwhale is almost in the water now."	true	1598.27	1600.84	19.982529
8080_274558_000036_000000	"The box!" vociferated Mr. Wyatt, still standing--"the box, I say! Captain Hardy, you cannot, you will not refuse me.	"The box!" vociferated mr Wyatt, still standing-"the box, I say! Captain Hardy, you cannot, you will not refuse me.	true	1601.54	1610.86	27.113295
8080_274558_000036_000001	Its weight will be but a trifle--it is nothing--mere nothing.	Its weight will be but a trifle-it is nothing-mere nothing.	true	1610.87	1614.81	26.37945
8080_274558_000036_000002	By the mother who bore you--for the love of Heaven--by your hope of salvation, I implore you to put back for the box!"	By the mother who bore you-for the love of Heaven-by your hope of salvation, I implore you to put back for the box!"	true	1614.81	1623.7	24.651937
8080_274558_000037_000000	The captain, for a moment, seemed touched by the earnest appeal of the artist, but he regained his stern composure, and merely said:	The captain, for a moment, seemed touched by the earnest appeal of the artist, but he regained his stern composure, and merely said:	true	1624.67	1633.21	22.702156
8080_274558_000038_000000	"Mr. Wyatt, you are mad.	"mr Wyatt, you are mad.	true	1633.34	1635.67	32.24749
8080_274558_000038_000001	I cannot listen to you.	I cannot listen to you.	true	1635.86	1637.4	22.702581
8080_274558_000038_000002	Sit down, I say, or you will swamp the boat.	Sit down, I say, or you will swamp the boat.	true	1637.4	1640.33	23.345081
8080_274558_000038_000003	Stay--hold him--seize him!--he is about to spring overboard!	Stay-hold him-seize him!--he is about to spring overboard!	true	1640.33	1644.61	24.712614
8080_274558_000038_000004	There--I knew it--he is over!"	There-I knew it-he is over!"	true	1644.71	1647.39	27.461084
8080_274558_000039_000000	As the captain said this, Mr. Wyatt, in fact, sprang from the boat, and, as we were yet in the lee of the wreck, succeeded, by almost superhuman exertion, in getting hold of a rope which hung from the fore-chains.	As the captain said this, mr Wyatt, in fact, sprang from the boat, and, as we were yet in the lee of the wreck, succeeded, by almost superhuman exertion, in getting hold of a rope which hung from the fore chains.	false	1647.39	1664.62	23.641884
8080_274558_000039_000001	In another moment he was on board, and rushing frantically down into the cabin.	In another moment he was on board, and rushing frantically down into the cabin.	true	1665.77	1671.22	19.106152
8080_274558_000040_000000	In the meantime, we had been swept astern of the ship, and being quite out of her lee, were at the mercy of the tremendous sea which was still running.	In the meantime, we had been swept astern of the ship, and being quite out of her lee, were at the mercy of the tremendous sea which was still running.	true	1671.89	1681.75	19.55974
8080_274558_000040_000001	We made a determined effort to put back, but our little boat was like a feather in the breath of the tempest.	We made a determined effort to put back, but our little boat was like a feather in the breath of the tempest.	false	1682.3	1689.13	25.869915
8080_274558_000040_000002	We saw at a glance that the doom of the unfortunate artist was sealed.	We saw at a glance that the doom of the unfortunate artist was sealed.	true	1689.68	1694.68	26.866331
8080_274558_000041_000000	As our distance from the wreck rapidly increased, the madman (for as such only could we regard him) was seen to emerge from the companion--way, up which by dint of strength that appeared gigantic, he dragged, bodily, the oblong box.	As our distance from the wreck rapidly increased, the madman (for as such only could we regard him) was seen to emerge from the companion-way, up which by dint of strength that appeared gigantic, he dragged, bodily, the oblong box.	false	1695.68	1714.24	24.843782
8080_274558_000041_000001	While we gazed in the extremity of astonishment, he passed, rapidly, several turns of a three-inch rope, first around the box and then around his body.	While we gazed in the extremity of astonishment, he passed, rapidly, several turns of a three inch rope, first around the box and then around his body.	true	1714.85	1725.82	26.910257
8080_274558_000041_000002	In another instant both body and box were in the sea--disappearing suddenly, at once and forever.	In another instant both body and box were in the sea-disappearing suddenly, at once and forever.	true	1726.49	1734.49	24.991007
8080_274558_000042_000000	We lingered awhile sadly upon our oars, with our eyes riveted upon the spot.	We lingered awhile sadly upon our oars, with our eyes riveted upon the spot.	true	1735.43	1741.84	21.02631
8080_274558_000042_000001	At length we pulled away.	At length we pulled away.	true	1743.05	1744.84	21.875834
8080_274558_000042_000002	The silence remained unbroken for an hour.	The silence remained unbroken for an hour.	true	1745.21	1748.32	20.484629
8080_274558_000042_000003	Finally, I hazarded a remark.	Finally, I hazarded a remark.	true	1748.84	1751.74	22.320555
8080_274558_000043_000000	"Did you observe, captain, how suddenly they sank?	"Did you observe, captain, how suddenly they sank?	true	1752.26	1755.55	22.788023
8080_274558_000043_000001	Was not that an exceedingly singular thing?	Was not that an exceedingly singular thing?	true	1755.83	1759	26.198547
8080_274558_000043_000002	I confess that I entertained some feeble hope of his final deliverance, when I saw him lash himself to the box, and commit himself to the sea."	I confess that I entertained some feeble hope of his final deliverance, when I saw him lash himself to the box, and commit himself to the sea."	true	1759.31	1768.99	21.618418
8080_274558_000044_000000	"They sank as a matter of course," replied the captain, "and that like a shot.	"They sank as a matter of course," replied the captain, "and that like a shot.	true	1769.81	1775.41	25.408833
8080_274558_000044_000001	They will soon rise again, however--but not till the salt melts."	They will soon rise again, however-but not till the salt melts."	false	1775.54	1779.61	23.978275
8080_274558_000045_000000	"The salt!" I ejaculated.	"The salt!" I ejaculated.	true	1780.43	1783.42	26.469759
8080_274558_000046_000000	"Hush!" said the captain, pointing to the wife and sisters of the deceased.	"Hush!" said the captain, pointing to the wife and sisters of the deceased.	false	1783.85	1789.27	21.889427
8080_274558_000046_000001	"We must talk of these things at some more appropriate time."	"We must talk of these things at some more appropriate time."	true	1789.46	1792.84	31
8080_274558_000047_000000	We suffered much, and made a narrow escape, but fortune befriended us, as well as our mates in the long-boat.	We suffered much, and made a narrow escape, but fortune befriended us, as well as our mates in the long boat.	false	1794.08	1802.52	20.601555
8080_274558_000047_000001	We landed, in fine, more dead than alive, after four days of intense distress, upon the beach opposite Roanoke Island.	We landed, in fine, more dead than alive, after four days of intense distress, upon the beach opposite Roanoke Island.	true	1802.52	1811.89	25.378061
8080_274558_000047_000002	We remained here a week, were not ill-treated by the wreckers, and at length obtained a passage to New York.	We remained here a week, were not ill treated by the wreckers, and at length obtained a passage to New York.	true	1812.41	1819.93	23.305584
8080_274558_000048_000000	About a month after the loss of the "Independence," I happened to meet Captain Hardy in Broadway.	About a month after the loss of the "Independence," I happened to meet Captain Hardy in Broadway.	true	1820.3	1826.74	22.862799
8080_274558_000048_000001	Our conversation turned, naturally, upon the disaster, and especially upon the sad fate of poor Wyatt.	Our conversation turned, naturally, upon the disaster, and especially upon the sad fate of poor Wyatt.	true	1827.08	1834.72	24.92593
8080_274558_000048_000002	I thus learned the following particulars.	I thus learned the following particulars.	true	1835.15	1838.08	18.38183
8080_274558_000049_000000	The artist had engaged passage for himself, wife, two sisters and a servant.	The artist had engaged passage for himself, wife, two sisters and a servant.	true	1838.93	1844.68	26.552015
8080_274558_000049_000001	His wife was, indeed, as she had been represented, a most lovely, and most accomplished woman.	His wife was, indeed, as she had been represented, a most lovely, and most accomplished woman.	true	1845.05	1852.09	24.263523
8080_274558_000049_000002	On the morning of the fourteenth of June (the day in which I first visited the ship), the lady suddenly sickened and died.	On the morning of the fourteenth of June (the day in which I first visited the ship), the lady suddenly sickened and died.	true	1852.58	1861.93	23.770262
8080_274558_000049_000003	The young husband was frantic with grief--but circumstances imperatively forbade the deferring his voyage to New York. It was necessary to take to her mother the corpse of his adored wife, and, on the other hand, the universal prejudice which would prevent his doing so openly was well known.	The young husband was frantic with grief-but circumstances imperatively forbade the deferring his voyage to New York. It was necessary to take to her mother the corpse of his adored wife, and, on the other hand, the universal prejudice which would prevent his doing so openly was well known.	true	1862.63	1883.41	21.85701
8080_274558_000049_000004	Nine-tenths of the passengers would have abandoned the ship rather than take passage with a dead body.	Nine tenths of the passengers would have abandoned the ship rather than take passage with a dead body.	false	1883.81	1890.07	22.234106
8080_274558_000050_000000	In this dilemma, Captain Hardy arranged that the corpse, being first partially embalmed, and packed, with a large quantity of salt, in a box of suitable dimensions, should be conveyed on board as merchandise. Nothing was to be said of the lady's decease; and, as it was well understood that Mr. Wyatt had engaged passage for his wife, it became necessary that some person should personate her during the voyage. This the deceased lady's-maid was easily prevailed on to do.	In this dilemma, Captain Hardy arranged that the corpse, being first partially embalmed, and packed, with a large quantity of salt, in a box of suitable dimensions, should be conveyed on board as merchandise. Nothing was to be said of the lady's decease; and, as it was well understood that mr Wyatt had engaged passage for his wife, it became necessary that some person should personate her during the voyage. This the deceased lady's maid was easily prevailed on to do.	true	1890.98	1925.23	24.037804
8080_274558_000050_000001	The extra state-room, originally engaged for this girl during her mistress' life, was now merely retained.	The extra state room, originally engaged for this girl during her mistress' life, was now merely retained.	false	1925.72	1933.87	24.45648
8080_274558_000050_000002	In this state-room the pseudo-wife, slept, of course, every night.	In this state room the pseudo wife, slept, of course, every night.	true	1934.45	1938.73	22.66896
8080_274558_000050_000003	In the daytime she performed, to the best of her ability, the part of her mistress--whose person, it had been carefully ascertained, was unknown to any of the passengers on board.	In the daytime she performed, to the best of her ability, the part of her mistress-whose person, it had been carefully ascertained, was unknown to any of the passengers on board.	true	1939.16	1950.4	23.914274
8080_274558_000051_000000	My own mistake arose, naturally enough, through too careless, too inquisitive, and too impulsive a temperament.	My own mistake arose, naturally enough, through too careless, too inquisitive, and too impulsive a temperament.	true	1951.1	1959.79	26.27829
8080_274558_000051_000001	But of late, it is a rare thing that I sleep soundly at night.	But of late, it is a rare thing that I sleep soundly at night.	true	1960.28	1965.31	21.176939
8080_274558_000051_000002	There is a countenance which haunts me, turn as I will.	There is a countenance which haunts me, turn as I will.	true	1965.8	1969.99	26.282164
8080_274558_000051_000003	There is an hysterical laugh which will forever ring within my ears.	There is an hysterical laugh which will forever ring within my ears.	false	1970.45	1985.04	20.385883
