3792_176660_000000_000000	"Man cannot live by bread alone--in these mountains," said the Red Fox grimly.	"Man cannot live by bread alone-in these mountains," said the Red Fox grimly.	false	0	2.85	12.227853
3792_176660_000083_000000	The liquor was as fiery as ever, but it was grateful, and again the old man took nearly a tumbler full plying Hale, meanwhile, about the happenings in town the day before--but Hale could tell him nothing that he seemed not already to know.	The liquor was as fiery as ever, but it was grateful, and again the old man took nearly a tumbler full plying Hale, meanwhile, about the happenings in town the day before-but Hale could tell him nothing that he seemed not already to know.	true	951.2	967.03	19.019691
3792_176660_000084_000000	"It was quar," the old mountaineer said.	"It was quar," the old mountaineer said.	true	967.82	970.56	18.097094
3792_176660_000084_000001	"I've seed two men with the drap on each other and both afeerd to shoot, but I never heerd of sech a ring-around-the-rosy as eight fellers with bead on one another and not a shoot shot.	"I've seed two men with the drap on each other and both afeerd to shoot, but I never heerd of sech a ring around the rosy as eight fellers with bead on one another and not a shoot shot.	false	970.56	981.94	18.682552
3792_176660_000084_000002	I'm glad I wasn't thar."	I'm glad I wasn't thar."	false	982.52	985.23	16.354258
3792_176660_000085_000000	He frowned when Hale spoke of the Red Fox.	He frowned when Hale spoke of the Red Fox.	true	985.23	987.82	18
3792_176660_000086_000000	"You can't never tell whether that ole devil is fer ye or agin ye, but I've been plum' sick o' these doin's a long time now and sometimes I think I'll just pull up stakes and go West and git out of hit--altogether."	"You can't never tell whether that ole devil is fer ye or agin ye, but I've been plum' sick o' these doin's a long time now and sometimes I think I'll just pull up stakes and go West and git out of hit-altogether."	false	989.15	1001.5	18.114029
3792_176660_000087_000000	"How did you learn so much about yesterday--so soon?"	"How did you learn so much about yesterday-so soon?"	true	1002.8	1007.7	18.57088
3792_176660_000088_000000	"Oh, we hears things purty quick in these mountains.	"Oh, we hears things purty quick in these mountains.	false	1007.7	1010.05	11
3792_176660_000088_000001	Little Dave Tolliver come over here last night."	Little Dave Tolliver come over here last night."	true	1010.42	1013.05	19.88386
3792_176660_000089_000000	"Yes," broke in Bub, "and he tol' us how you carried Loretty from town on a mule behind ye, and she jest a-sassin' you, an' as how she said she was a-goin' to git you fer HER sweetheart."	"Yes," broke in Bub, "and he tol' us how you carried Loretty from town on a mule behind ye, and she jest a sassin' you, an' as how she said she was a goin' to git you fer HER sweetheart."	false	1014.35	1029.94	19.40056
3792_176660_000090_000000	Hale glanced by chance at the little girl.	Hale glanced by chance at the little girl.	true	1030.67	1033.51	16.785704
3792_176660_000090_000001	Her face was scarlet, and a light dawned.	Her face was scarlet, and a light dawned.	true	1033.97	1037.4	19.145674
3792_176660_000091_000000	"An' sis, thar, said he was a-tellin' lies--an' when she growed up she said she was a-goin' to marry---"	"An' sis, thar, said he was a tellin' lies-an' when she growed up she said she was a goin' to marry---"	false	1037.4	1045.24	19.64345
3792_176660_000092_000000	Something snapped like a toy-pistol and Bub howled.	Something snapped like a toy pistol and Bub howled.	false	1045.24	1049.67	18.253672
3792_176660_000092_000001	A little brown hand had whacked him across the mouth, and the girl flashed indoors without a word.	A little brown hand had whacked him across the mouth, and the girl flashed indoors without a word.	true	1049.67	1055.88	18.332842
3792_176660_000092_000002	Bub got to his feet howling with pain and rage and started after her, but the old man caught him:	Bub got to his feet howling with pain and rage and started after her, but the old man caught him:	false	1055.88	1064.31	19.087742
3792_176660_000093_000000	"Set down, boy!	"Set down, boy!	false	1064.31	1066.42	20.524721
3792_176660_000093_000001	Sarved you right fer blabbin' things that hain't yo' business." He shook with laughter.	Sarved you right fer blabbin' things that hain't yo' business." He shook with laughter.	true	1066.7	1071.79	20.407099
3792_176660_000094_000000	Jealousy!	Jealousy!	true	1072.88	1073.86	19.683039
3792_176660_000094_000001	Great heavens--Hale thought--in that child, and for him!	Great heavens-Hale thought-in that child, and for him!	true	1074.32	1078.33	18.84859
3792_176660_000095_000000	"I knowed she was cryin' 'bout something like that.	"I knowed she was cryin' 'bout something like that.	true	1079.39	1081.93	19.764389
3792_176660_000095_000001	She sets a great store by you, an' she's studied them books you sent her plum' to pieces while you was away.	She sets a great store by you, an' she's studied them books you sent her plum' to pieces while you was away.	false	1081.97	1089.73	17.911676
3792_176660_000095_000002	She ain't nothin' but a baby, but in sartain ways she's as old as her mother was when she died." The amazing secret was out, and the little girl appeared no more until supper time, when she waited on the table, but at no time would she look at Hale or speak to him again.	She ain't nothin' but a baby, but in sartain ways she's as old as her mother was when she died." The amazing secret was out, and the little girl appeared no more until supper time, when she waited on the table, but at no time would she look at Hale or speak to him again.	false	1090.82	1110.49	17.365845
3792_176660_000095_000003	For a while the two men sat on the porch talking of the feud and the Gap and the coal on the old man's place, and Hale had no trouble getting an option for a year on the old man's land.	For a while the two men sat on the porch talking of the feud and the Gap and the coal on the old man's place, and Hale had no trouble getting an option for a year on the old man's land.	true	1111.4	1123.51	18.396814
3792_176660_000095_000004	Just as dusk was setting he got his horse.	Just as dusk was setting he got his horse.	false	1124.12	1126.8	16
3792_176660_000096_000000	"You'd better stay all night."	"You'd better stay all night."	false	1126.8	1129.51	19.09824
3792_176660_000097_000000	"No, I'll have to get along."	"No, I'll have to get along."	true	1130.12	1132.57	19.288048
3792_176660_000098_000000	The little girl did not appear to tell him goodby, and when he went to his horse at the gate, he called:	The little girl did not appear to tell him goodby, and when he went to his horse at the gate, he called:	true	1133.84	1139.74	18.360893
3792_176660_000099_000000	"Tell June to come down here.	"Tell June to come down here.	true	1140.56	1142.62	21.385809
3792_176660_000099_000001	I've got something for her."	I've got something for her."	false	1142.84	1145.1	18.332844
3792_176660_000100_000000	"Go on, baby," the old man said, and the little girl came shyly down to the gate.	"Go on, baby," the old man said, and the little girl came shyly down to the gate.	false	1145.1	1150.69	19.899893
3792_176660_000100_000001	Hale took a brown-paper parcel from his saddle-bags, unwrapped it and betrayed the usual blue-eyed, flaxen-haired, rosy-cheeked doll. Only June did not know the like of it was in all the world.	Hale took a brown paper parcel from his saddle bags, unwrapped it and betrayed the usual blue eyed, flaxen haired, rosy cheeked doll. Only June did not know the like of it was in all the world.	true	1152.47	1167.18	18.277655
3792_176660_000100_000002	And as she caught it to her breast there were tears once more in her uplifted eyes.	And as she caught it to her breast there were tears once more in her uplifted eyes.	false	1167.18	1172.8	19.482674
3792_176660_000101_000000	"How about going over to the Gap with me, little girl--some day?"	"How about going over to the Gap with me, little girl-some day?"	false	1174.55	1178.59	17.460503
3792_176660_000102_000000	He never guessed it, but there were a child and a woman before him now and both answered:	He never guessed it, but there were a child and a woman before him now and both answered:	true	1179.68	1186.32	16.264814
3792_176660_000103_000000	"I'll go with ye anywhar."	"I'll go with ye anywhar."	false	1186.32	1191.99	16.742624
3792_176660_000104_000000	Hale stopped a while to rest his horse at the base of the big pine.	Hale stopped a while to rest his horse at the base of the big pine.	true	1191.99	1196.11	17
3792_176660_000104_000001	He was practically alone in the world.	He was practically alone in the world.	true	1196.96	1199.31	17.62851
3792_176660_000104_000002	The little girl back there was born for something else than slow death in that God-forsaken cove, and whatever it was--why not help her to it if he could?	The little girl back there was born for something else than slow death in that God forsaken cove, and whatever it was-why not help her to it if he could?	false	1199.31	1211.14	18.096443
3792_176660_000104_000003	With this thought in his brain, he rode down from the luminous upper world of the moon and stars toward the nether world of drifting mists and black ravines.	With this thought in his brain, he rode down from the luminous upper world of the moon and stars toward the nether world of drifting mists and black ravines.	true	1211.96	1222.99	20.088955
3792_176660_000104_000004	She belonged to just such a night--that little girl--she was a part of its mists, its lights and shadows, its fresh wild beauty and its mystery. Only once did his mind shift from her to his great purpose, and that was when the roar of the water through the rocky chasm of the Gap made him think of the roar of iron wheels, that, rushing through, some day, would drown it into silence.	She belonged to just such a night-that little girl-she was a part of its mists, its lights and shadows, its fresh wild beauty and its mystery. Only once did his mind shift from her to his great purpose, and that was when the roar of the water through the rocky chasm of the Gap made him think of the roar of iron wheels, that, rushing through, some day, would drown it into silence.	true	1224.17	1255.03	19.094252
3792_176660_000104_000005	At the mouth of the Gap he saw the white valley lying at peace in the moonlight and straightway from it sprang again, as always, his castle in the air; but before he fell asleep in his cottage on the edge of the millpond that night he heard quite plainly again:	At the mouth of the Gap he saw the white valley lying at peace in the moonlight and straightway from it sprang again, as always, his castle in the air; but before he fell asleep in his cottage on the edge of the millpond that night he heard quite plainly again:	false	1256.33	1285.47	18.365515
