7809_108638_000000_000000	A TALE OF THE RAGGED MOUNTAINS	A TALE OF THE RAGGED MOUNTAINS	true	32.07	35.56	23.900639
7809_108638_000019_000004	In the mean time we were borne far from the kiosk, and became bewildered and entangled among the narrow streets of tall, overhanging houses, into the recesses of which the sun had never been able to shine.	In the mean time we were borne far from the kiosk, and became bewildered and entangled among the narrow streets of tall, overhanging houses, into the recesses of which the sun had never been able to shine.	false	1255.8	1269.43	21.245016
7809_108638_000019_000005	The rabble pressed impetuously upon us, harrassing us with their spears, and overwhelming us with flights of arrows.	The rabble pressed impetuously upon us, harrassing us with their spears, and overwhelming us with flights of arrows.	true	1270.22	1277.74	22.048798
7809_108638_000019_000006	These latter were very remarkable, and resembled in some respects the writhing creese of the Malay.	These latter were very remarkable, and resembled in some respects the writhing creese of the Malay.	false	1278.53	1285.15	21.277664
7809_108638_000019_000007	They were made to imitate the body of a creeping serpent, and were long and black, with a poisoned barb.	They were made to imitate the body of a creeping serpent, and were long and black, with a poisoned barb.	false	1285.94	1293.16	23.135641
7809_108638_000019_000008	One of them struck me upon the right temple.	One of them struck me upon the right temple.	true	1293.74	1296.64	21.614143
7809_108638_000019_000009	I reeled and fell.	I reeled and fell.	true	1296.83	1298.74	24.722944
7809_108638_000019_000010	An instantaneous and dreadful sickness seized me.	An instantaneous and dreadful sickness seized me.	true	1299.2	1302.43	21.166037
7809_108638_000019_000011	I struggled--I gasped--I died." "You will hardly persist now," said I smiling, "that the whole of your adventure was not a dream.	I struggled-I gasped-I died." "You will hardly persist now," said I smiling, "that the whole of your adventure was not a dream.	true	1302.92	1314.21	20.606045
7809_108638_000019_000012	You are not prepared to maintain that you are dead?"	You are not prepared to maintain that you are dead?"	false	1314.21	1316.83	21.427673
7809_108638_000020_000000	When I said these words, I of course expected some lively sally from Bedloe in reply, but, to my astonishment, he hesitated, trembled, became fearfully pallid, and remained silent.	When I said these words, I of course expected some lively sally from Bedloe in reply, but, to my astonishment, he hesitated, trembled, became fearfully pallid, and remained silent.	false	1317.89	1331.53	21.57616
7809_108638_000020_000001	I looked toward Templeton.	I looked toward Templeton.	true	1332.35	1333.9	24.636158
7809_108638_000020_000002	He sat erect and rigid in his chair--his teeth chattered, and his eyes were starting from their sockets.	He sat erect and rigid in his chair-his teeth chattered, and his eyes were starting from their sockets.	true	1334.36	1342.09	24.192425
7809_108638_000020_000003	"Proceed!" he at length said hoarsely to Bedloe.	"Proceed!" he at length said hoarsely to Bedloe.	true	1343.63	1348.09	19.050701
7809_108638_000021_000000	"For many minutes," continued the latter, "my sole sentiment--my sole feeling--was that of darkness and nonentity, with the consciousness of death.	"For many minutes," continued the latter, "my sole sentiment-my sole feeling-was that of darkness and nonentity, with the consciousness of death.	true	1350.11	1363.69	20.612957
7809_108638_000021_000001	At length there seemed to pass a violent and sudden shock through my soul, as if of electricity.	At length there seemed to pass a violent and sudden shock through my soul, as if of electricity.	true	1364.51	1372.12	20.979269
7809_108638_000021_000002	With it came the sense of elasticity and of light.	With it came the sense of elasticity and of light.	false	1372.7	1377.24	19.636799
7809_108638_000021_000003	This latter I felt--not saw.	This latter I felt-not saw.	true	1377.24	1380.37	20.750154
7809_108638_000021_000004	In an instant I seemed to rise from the ground.	In an instant I seemed to rise from the ground.	true	1381.16	1384.12	21.449154
7809_108638_000021_000005	But I had no bodily, no visible, audible, or palpable presence.	But I had no bodily, no visible, audible, or palpable presence.	false	1384.76	1390.33	17.811396
7809_108638_000021_000006	The crowd had departed.	The crowd had departed.	false	1391.3	1392.97	24.806854
7809_108638_000021_000007	The tumult had ceased.	The tumult had ceased.	true	1393.46	1395.4	26.221376
7809_108638_000021_000008	The city was in comparative repose.	The city was in comparative repose.	true	1396.04	1399.81	22.997675
7809_108638_000021_000009	Beneath me lay my corpse, with the arrow in my temple, the whole head greatly swollen and disfigured.	Beneath me lay my corpse, with the arrow in my temple, the whole head greatly swollen and disfigured.	true	1400.75	1407.76	23.32241
7809_108638_000021_000010	But all these things I felt--not saw.	But all these things I felt-not saw.	true	1408.34	1411.66	22.380949
7809_108638_000021_000011	I took interest in nothing.	I took interest in nothing.	true	1412.27	1413.88	26.09198
7809_108638_000021_000012	Even the corpse seemed a matter in which I had no concern.	Even the corpse seemed a matter in which I had no concern.	true	1414.4	1417.99	22
7809_108638_000021_000013	Volition I had none, but appeared to be impelled into motion, and flitted buoyantly out of the city, retracing the circuitous path by which I had entered it.	Volition I had none, but appeared to be impelled into motion, and flitted buoyantly out of the city, retracing the circuitous path by which I had entered it.	true	1418.57	1429.78	21.219269
7809_108638_000021_000014	When I had attained that point of the ravine in the mountains at which I had encountered the hyena, I again experienced a shock as of a galvanic battery, the sense of weight, of volition, of substance, returned.	When I had attained that point of the ravine in the mountains at which I had encountered the hyena, I again experienced a shock as of a galvanic battery, the sense of weight, of volition, of substance, returned.	false	1430.6	1446.16	21.07633
7809_108638_000021_000015	I became my original self, and bent my steps eagerly homeward--but the past had not lost the vividness of the real--and not now, even for an instant, can I compel my understanding to regard it as a dream."	I became my original self, and bent my steps eagerly homeward-but the past had not lost the vividness of the real-and not now, even for an instant, can I compel my understanding to regard it as a dream."	true	1446.83	1462.68	20.311647
7809_108638_000022_000000	"Nor was it," said Templeton, with an air of deep solemnity, "yet it would be difficult to say how otherwise it should be termed.	"Nor was it," said Templeton, with an air of deep solemnity, "yet it would be difficult to say how otherwise it should be termed.	false	1462.68	1476.15	20.78546
7809_108638_000022_000001	Let us suppose only, that the soul of the man of to-day is upon the verge of some stupendous psychal discoveries.	Let us suppose only, that the soul of the man of to day is upon the verge of some stupendous psychal discoveries.	false	1476.15	1487.32	19.86713
7809_108638_000022_000002	Let us content ourselves with this supposition.	Let us content ourselves with this supposition.	true	1487.45	1490.77	23
7809_108638_000022_000003	For the rest I have some explanation to make.	For the rest I have some explanation to make.	true	1491.41	1494.97	25.373585
7809_108638_000022_000004	Here is a watercolor drawing, which I should have shown you before, but which an unaccountable sentiment of horror has hitherto prevented me from showing."	Here is a watercolor drawing, which I should have shown you before, but which an unaccountable sentiment of horror has hitherto prevented me from showing."	false	1495.7	1508.83	21.795788
7809_108638_000023_000000	We looked at the picture which he presented.	We looked at the picture which he presented.	true	1509.98	1512.52	26.579311
7809_108638_000023_000001	I saw nothing in it of an extraordinary character, but its effect upon Bedloe was prodigious.	I saw nothing in it of an extraordinary character, but its effect upon Bedloe was prodigious.	true	1513.01	1519.24	22.030323
7809_108638_000023_000002	He nearly fainted as he gazed.	He nearly fainted as he gazed.	true	1519.79	1521.85	21.762674
7809_108638_000023_000003	And yet it was but a miniature portrait--a miraculously accurate one, to be sure--of his own very remarkable features.	And yet it was but a miniature portrait-a miraculously accurate one, to be sure-of his own very remarkable features.	true	1522.37	1531.96	21.793083
7809_108638_000023_000004	At least this was my thought as I regarded it.	At least this was my thought as I regarded it.	true	1532.87	1536.76	23.205006
7809_108638_000024_000000	"You will perceive," said Templeton, "the date of this picture--it is here, scarcely visible, in this corner--1780.	"You will perceive," said Templeton, "the date of this picture-it is here, scarcely visible, in this corner minus one thousand seven hundred eighty.	false	1537.49	1550.05	25.276567
7809_108638_000024_000001	In this year was the portrait taken.	In this year was the portrait taken.	true	1551.14	1553.62	17.816404
7809_108638_000024_000002	It is the likeness of a dead friend--a Mr. Oldeb--to whom I became much attached at Calcutta, during the administration of Warren Hastings.	It is the likeness of a dead friend-a mr Oldeb-to whom I became much attached at Calcutta, during the administration of Warren Hastings.	false	1554.35	1566.49	22.554762
7809_108638_000024_000003	I was then only twenty years old.	I was then only twenty years old.	true	1567.52	1569.85	23.487595
7809_108638_000024_000004	When I first saw you, Mr. Bedloe, at Saratoga, it was the miraculous similarity which existed between yourself and the painting which induced me to accost you, to seek your friendship, and to bring about those arrangements which resulted in my becoming your constant companion.	When I first saw you, mr Bedloe, at Saratoga, it was the miraculous similarity which existed between yourself and the painting which induced me to accost you, to seek your friendship, and to bring about those arrangements which resulted in my becoming your constant companion.	false	1570.61	1591.51	23.617752
7809_108638_000024_000005	In accomplishing this point, I was urged partly, and perhaps principally, by a regretful memory of the deceased, but also, in part, by an uneasy, and not altogether horrorless curiosity respecting yourself.	In accomplishing this point, I was urged partly, and perhaps principally, by a regretful memory of the deceased, but also, in part, by an uneasy, and not altogether horrorless curiosity respecting yourself.	false	1592.39	1610.86	22.734505
7809_108638_000025_000000	"In your detail of the vision which presented itself to you amid the hills, you have described, with the minutest accuracy, the Indian city of Benares, upon the Holy River.	"In your detail of the vision which presented itself to you amid the hills, you have described, with the minutest accuracy, the Indian city of Benares, upon the Holy River.	true	1611.77	1626.79	20.485281
7809_108638_000025_000001	The riots, the combat, the massacre, were the actual events of the insurrection of Cheyte Sing, which took place in 1780, when Hastings was put in imminent peril of his life.	The riots, the combat, the massacre, were the actual events of the insurrection of Cheyte Sing, which took place in seventeen eighty, when Hastings was put in imminent peril of his life.	false	1627.28	1643.47	24.670717
7809_108638_000025_000002	The man escaping by the string of turbans was Cheyte Sing himself.	The man escaping by the string of turbans was Cheyte Sing himself.	false	1644.89	1650.01	21.474737
7809_108638_000025_000003	The party in the kiosk were sepoys and British officers, headed by Hastings.	The party in the kiosk were sepoys and British officers, headed by Hastings.	true	1650.5	1657.3	20.874435
7809_108638_000025_000004	Of this party I was one, and did all I could to prevent the rash and fatal sally of the officer who fell, in the crowded alleys, by the poisoned arrow of a Bengalee.	Of this party I was one, and did all I could to prevent the rash and fatal sally of the officer who fell, in the crowded alleys, by the poisoned arrow of a Bengalee.	false	1658.06	1672.42	20.606297
7809_108638_000025_000005	That officer was my dearest friend.	That officer was my dearest friend.	true	1673.27	1676.26	20.910244
7809_108638_000025_000006	It was Oldeb. You will perceive by these manuscripts," (here the speaker produced a note-book in which several pages appeared to have been freshly written,) "that at the very period in which you fancied these things amid the hills, I was engaged in detailing them upon paper here at home."	It was Oldeb. You will perceive by these manuscripts," (here the speaker produced a note book in which several pages appeared to have been freshly written,) "that at the very period in which you fancied these things amid the hills, I was engaged in detailing them upon paper here at home."	false	1676.72	1700.74	21.242178
7809_108638_000026_000000	In about a week after this conversation, the following paragraphs appeared in a Charlottesville paper:	In about a week after this conversation, the following paragraphs appeared in a Charlottesville paper:	false	1702.67	1709.47	21.70927
7809_108638_000027_000000	"We have the painful duty of announcing the death of Mr. Augustus Bedlo, a gentleman whose amiable manners and many virtues have long endeared him to the citizens of Charlottesville.	"We have the painful duty of announcing the death of mr Augustus Bedlo, a gentleman whose amiable manners and many virtues have long endeared him to the citizens of Charlottesville.	true	1711.04	1725.58	21.44273
7809_108638_000028_000000	"Mr. B., for some years past, has been subject to neuralgia, which has often threatened to terminate fatally; but this can be regarded only as the mediate cause of his decease.	"mr b, for some years past, has been subject to neuralgia, which has often threatened to terminate fatally; but this can be regarded only as the mediate cause of his decease.	false	1726.34	1739.08	24.140882
7809_108638_000028_000001	The proximate cause was one of especial singularity.	The proximate cause was one of especial singularity.	true	1740.02	1744.56	26.046446
7809_108638_000028_000002	In an excursion to the Ragged Mountains, a few days since, a slight cold and fever were contracted, attended with great determination of blood to the head.	In an excursion to the Ragged Mountains, a few days since, a slight cold and fever were contracted, attended with great determination of blood to the head.	false	1744.56	1756.96	22.91057
7809_108638_000028_000003	To relieve this, Dr. Templeton resorted to topical bleeding.	To relieve this, dr Templeton resorted to topical bleeding.	true	1757.75	1762.45	22.370943
7809_108638_000028_000004	Leeches were applied to the temples.	Leeches were applied to the temples.	true	1762.73	1765.03	26.470034
7809_108638_000028_000005	In a fearfully brief period the patient died, when it appeared that in the jar containing the leeches, had been introduced, by accident, one of the venomous vermicular sangsues which are now and then found in the neighboring ponds.	In a fearfully brief period the patient died, when it appeared that in the jar containing the leeches, had been introduced, by accident, one of the venomous vermicular sangsues which are now and then found in the neighboring ponds.	false	1766.15	1782.4	22.592108
7809_108638_000028_000006	This creature fastened itself upon a small artery in the right temple.	This creature fastened itself upon a small artery in the right temple.	true	1782.83	1787.29	24.153942
7809_108638_000028_000007	Its close resemblance to the medicinal leech caused the mistake to be overlooked until too late.	Its close resemblance to the medicinal leech caused the mistake to be overlooked until too late.	true	1787.75	1793.76	25.640125
7809_108638_000029_000000	"N.	"N.	false	1793.76	1795.17	21.003967
7809_108638_000029_000001	B.	B.	false	1795.17	1796.58	20.54498
7809_108638_000029_000002	The poisonous sangsue of Charlottesville may always be distinguished from the medicinal leech by its blackness, and especially by its writhing or vermicular motions, which very nearly resemble those of a snake."	The poisonous sangsue of Charlottesville may always be distinguished from the medicinal leech by its blackness, and especially by its writhing or vermicular motions, which very nearly resemble those of a snake."	true	1796.58	1811.17	22.483536
7809_108638_000030_000000	I was speaking with the editor of the paper in question, upon the topic of this remarkable accident, when it occurred to me to ask how it happened that the name of the deceased had been given as Bedlo.	I was speaking with the editor of the paper in question, upon the topic of this remarkable accident, when it occurred to me to ask how it happened that the name of the deceased had been given as Bedlo.	true	1811.9	1825.06	23.496937
7809_108638_000031_000000	"I presume," I said, "you have authority for this spelling, but I have always supposed the name to be written with an e at the end."	"I presume," I said, "you have authority for this spelling, but I have always supposed the name to be written with an e at the end."	true	1826.96	1835.41	22.781898
7809_108638_000032_000000	"Authority?--no," he replied.	"Authority?--no," he replied.	true	1836.08	1839.54	23.130955
7809_108638_000032_000001	"It is a mere typographical error.	"It is a mere typographical error.	false	1839.54	1842.19	21.60775
7809_108638_000032_000002	The name is Bedlo with an e, all the world over, and I never knew it to be spelt otherwise in my life."	The name is Bedlo with an e, all the world over, and I never knew it to be spelt otherwise in my life."	true	1842.53	1849.69	22.31229
7809_108638_000033_000000	"Then," said I mutteringly, as I turned upon my heel, "then indeed has it come to pass that one truth is stranger than any fiction--for Bedloe, without the e, what is it but Oldeb conversed!	"Then," said I mutteringly, as I turned upon my heel, "then indeed has it come to pass that one truth is stranger than any fiction-for Bedloe, without the e, what is it but Oldeb conversed!	true	1850.78	1866.25	23.033741
7809_108638_000033_000001	And this man tells me that it is a typographical error."	And this man tells me that it is a typographical error."	true	1867.01	1871.1	23.540318
7809_108638_000034_000000	THE SPECTACLES	THE SPECTACLES	false	1871.1	1871.7	-20
7809_108638_000035_000000	MANY years ago, it was the fashion to ridicule the idea of "love at first sight;" but those who think, not less than those who feel deeply, have always advocated its existence.	MANY years ago, it was the fashion to ridicule the idea of "love at first sight;" but those who think, not less than those who feel deeply, have always advocated its existence.	false	1871.7	1878.03	20.906048
7809_108638_000035_000001	Modern discoveries, indeed, in what may be termed ethical magnetism or magnetoesthetics, render it probable that the most natural, and, consequently, the truest and most intense of the human affections are those which arise in the heart as if by electric sympathy--in a word, that the brightest and most enduring of the psychal fetters are those which are riveted by a glance.	Modern discoveries, indeed, in what may be termed ethical magnetism or magnetoesthetics, render it probable that the most natural, and, consequently, the truest and most intense of the human affections are those which arise in the heart as if by electric sympathy-in a word, that the brightest and most enduring of the psychal fetters are those which are riveted by a glance.	false	1878.03	1886.64	8.717977
7809_108638_000035_000002	The confession I am about to make will add another to the already almost innumerable instances of the truth of the position.	The confession I am about to make will add another to the already almost innumerable instances of the truth of the position.	false	1886.64	1889.67	-20
