79_121541_000006_000000	Inferno: Canto XVI	Inferno: Canto sixteen
79_121541_000215_000000	By a thousand springs, I think, and more, is bathed, 'Twixt Garda and Val Camonica, Pennino, With water that grows stagnant in that lake.	By a thousand springs, I think, and more, is bathed, 'Twixt Garda and Val Camonica, Pennino, With water that grows stagnant in that lake.
79_121541_000218_000000	There of necessity must fall whatever In bosom of Benaco cannot stay, And grows a river down through verdant pastures.	There of necessity must fall whatever In bosom of Benaco cannot stay, And grows a river down through verdant pastures.
79_121541_000219_000000	Soon as the water doth begin to run, No more Benaco is it called, but Mincio, Far as Governo, where it falls in Po.	Soon as the water doth begin to run, No more Benaco is it called, but Mincio, Far as Governo, where it falls in Po.
79_121541_000220_000000	Not far it runs before it finds a plain In which it spreads itself, and makes it marshy, And oft 'tis wont in summer to be sickly.	Not far it runs before it finds a plain In which it spreads itself, and makes it marshy, And oft 'tis wont in summer to be sickly.
79_121541_000221_000000	Passing that way the virgin pitiless Land in the middle of the fen descried, Untilled and naked of inhabitants;	Passing that way the virgin pitiless Land in the middle of the fen descried, Untilled and naked of inhabitants;
79_121541_000222_000000	There to escape all human intercourse, She with her servants stayed, her arts to practise And lived, and left her empty body there.	There to escape all human intercourse, She with her servants stayed, her arts to practise And lived, and left her empty body there.
79_121541_000223_000000	The men, thereafter, who were scattered round, Collected in that place, which was made strong By the lagoon it had on every side;	The men, thereafter, who were scattered round, Collected in that place, which was made strong By the lagoon it had on every side;
79_121541_000224_000000	They built their city over those dead bones, And, after her who first the place selected, Mantua named it, without other omen.	They built their city over those dead bones, And, after her who first the place selected, Mantua named it, without other omen.
79_121541_000225_000000	Its people once within more crowded were, Ere the stupidity of Casalodi From Pinamonte had received deceit.	Its people once within more crowded were, Ere the stupidity of Casalodi From Pinamonte had received deceit.
79_121541_000226_000000	Therefore I caution thee, if e'er thou hearest Originate my city otherwise, No falsehood may the verity defraud."	Therefore I caution thee, if e'er thou hearest Originate my city otherwise, No falsehood may the verity defraud."
79_121541_000227_000000	And I: "My Master, thy discourses are To me so certain, and so take my faith, That unto me the rest would be spent coals.	And I: "My Master, thy discourses are To me so certain, and so take my faith, That unto me the rest would be spent coals.
79_121541_000228_000000	But tell me of the people who are passing, If any one note-worthy thou beholdest, For only unto that my mind reverts."	But tell me of the people who are passing, If any one note worthy thou beholdest, For only unto that my mind reverts."
79_121541_000231_000000	Eryphylus his name was, and so sings My lofty Tragedy in some part or other; That knowest thou well, who knowest the whole of it.	Eryphylus his name was, and so sings My lofty Tragedy in some part or other; That knowest thou well, who knowest the whole of it.
79_121541_000233_000000	Behold Guido Bonatti, behold Asdente, Who now unto his leather and his thread Would fain have stuck, but he too late repents.	Behold Guido Bonatti, behold Asdente, Who now unto his leather and his thread Would fain have stuck, but he too late repents.
79_121541_000234_000000	Behold the wretched ones, who left the needle, The spool and rock, and made them fortune-tellers; They wrought their magic spells with herb and image.	Behold the wretched ones, who left the needle, The spool and rock, and made them fortune tellers; They wrought their magic spells with herb and image.
79_121541_000235_000000	But come now, for already holds the confines Of both the hemispheres, and under Seville Touches the ocean-wave, Cain and the thorns,	But come now, for already holds the confines Of both the hemispheres, and under Seville Touches the ocean wave, Cain and the thorns,
79_121541_000236_000000	And yesternight the moon was round already; Thou shouldst remember well it did not harm thee From time to time within the forest deep."	And yesternight the moon was round already; Thou shouldst remember well it did not harm thee From time to time within the forest deep."
79_121541_000237_000000	Thus spake he to me, and we walked the while.	Thus spake he to me, and we walked the while.
