1825_135580_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	true	23.1	24.73	23.941107
1825_135580_000091_000004	Alice and Edith did not quite so much approve of it, and a few tears were shed at the idea of Edward leaving the cottage.	Alice and Edith did not quite so much approve of it, and a few tears were shed at the idea of Edward leaving the cottage.	true	1011.35	1018.18	20
1825_135580_000091_000005	The next day, Edward and Humphrey set off for Lymington, with Billy in the cart.	The next day, Edward and Humphrey set off for Lymington, with Billy in the cart.	true	1018.55	1023.58	22
1825_135580_000092_000000	"Do you know, Edward," said Humphrey, "what I am going to try and purchase?	"Do you know, Edward," said Humphrey, "what I am going to try and purchase?	true	1024.49	1029.46	19.50338
1825_135580_000092_000001	I will tell you: as many kids as I can, or goats and kids, I don't care which."	I will tell you: as many kids as I can, or goats and kids, I don't care which."	true	1029.62	1035.22	21
1825_135580_000093_000000	"Why, have you not stock enough already?	"Why, have you not stock enough already?	true	1035.89	1038.91	20.405594
1825_135580_000093_000001	You will this year have four cows in milk, and you have two cow calves bringing up."	You will this year have four cows in milk, and you have two cow calves bringing up."	true	1038.91	1044.34	21.060165
1825_135580_000094_000000	"That is very true; but I do not intend to have goats for their milk, but simply for eating in lieu of mutton.	"That is very true; but I do not intend to have goats for their milk, but simply for eating in lieu of mutton.	true	1044.95	1051.21	19
1825_135580_000094_000001	Sheep I can not manage, but goats, with a little hay in winter, will do well, and will find themselves in the forest all the year round.	Sheep I can not manage, but goats, with a little hay in winter, will do well, and will find themselves in the forest all the year round.	true	1051.58	1060.06	19
1825_135580_000094_000002	I won't kill any of the females for the first year or two, and after that I expect we shall have a flock sufficient to meet any demand upon it."	I won't kill any of the females for the first year or two, and after that I expect we shall have a flock sufficient to meet any demand upon it."	true	1060.31	1067.92	18
1825_135580_000095_000000	"It is not a bad idea, Humphrey; they will always come home if you have hay for them during the winter."	"It is not a bad idea, Humphrey; they will always come home if you have hay for them during the winter."	true	1068.53	1074.04	18
1825_135580_000096_000000	"Yes, and a large shed for them to lie in when the snow is on the ground."	"Yes, and a large shed for them to lie in when the snow is on the ground."	false	1074.44	1078.54	12
1825_135580_000097_000000	"Now I recollect, when we used to go to Lymington, I saw a great many goats, and I have no doubt that they are to be purchased.	"Now I recollect, when we used to go to Lymington, I saw a great many goats, and I have no doubt that they are to be purchased.	true	1079.03	1086.43	19
1825_135580_000097_000001	I will soon ascertain that for you, from the landlord of the hostelry," replied Edward.	I will soon ascertain that for you, from the landlord of the hostelry," replied Edward.	true	1086.86	1092.6	20.63692
1825_135580_000097_000002	"We will drive there first, as I must ask him to recommend me to a tailor."	"We will drive there first, as I must ask him to recommend me to a tailor."	true	1092.6	1096.51	15
1825_135580_000098_000000	On their arrival at Lymington, they went straight to the hostelry, and found the landlord at home.	On their arrival at Lymington, they went straight to the hostelry, and found the landlord at home.	true	1097.33	1103.11	20.18319
1825_135580_000098_000001	He recommended a tailor to Edward, who sent for him to the inn, and was measured by him for a plain suit of dark cloth.	He recommended a tailor to Edward, who sent for him to the inn, and was measured by him for a plain suit of dark cloth.	true	1103.27	1110.4	20
1825_135580_000098_000002	Edward and Humphrey then went out, as Edward had to procure boots, and many other articles of dress, to correspond with the one which he was about to assume.	Edward and Humphrey then went out, as Edward had to procure boots, and many other articles of dress, to correspond with the one which he was about to assume.	false	1110.62	1121.37	20.817883
1825_135580_000099_000000	"I am most puzzled about a hat, Humphrey," said Edward: "I hate those steeple-crowned hats worn by the Roundheads; yet the hat and feather is not proper for a secretary."	"I am most puzzled about a hat, Humphrey," said Edward: "I hate those steeple crowned hats worn by the Roundheads; yet the hat and feather is not proper for a secretary."	false	1121.37	1131.43	20
1825_135580_000100_000000	"I would advise you to submit to wear the steeple-crowned hats, nevertheless," said Humphrey.	"I would advise you to submit to wear the steeple crowned hats, nevertheless," said Humphrey.	true	1131.65	1137.07	16
1825_135580_000100_000001	"Your dress, as I consider, is a sort of disgrace to a Cavalier born, and the heir of Arnwood; why not, therefore, take its hat as well?	"Your dress, as I consider, is a sort of disgrace to a Cavalier born, and the heir of Arnwood; why not, therefore, take its hat as well?	true	1137.29	1146.78	21.61051
1825_135580_000100_000002	As secretary to the intendant, you should dress like him; if not, you may occasion remarks, especially when you travel on his concerns."	As secretary to the intendant, you should dress like him; if not, you may occasion remarks, especially when you travel on his concerns."	false	1146.78	1155.85	23.265524
1825_135580_000101_000000	"You are right, Humphrey, I must not do things by halves; and unless I wear the hat, I might be suspected."	"You are right, Humphrey, I must not do things by halves; and unless I wear the hat, I might be suspected."	true	1156.46	1162.78	19
1825_135580_000102_000000	"I doubt if the intendant wears it for any other reason," said Humphrey.	"I doubt if the intendant wears it for any other reason," said Humphrey.	true	1163.15	1166.77	16
1825_135580_000103_000000	"At all events, I will not go to the height of the fashion," replied Edward, laughing.	"At all events, I will not go to the height of the fashion," replied Edward, laughing.	true	1167.35	1171.81	18
1825_135580_000103_000001	"Some of the hats are not quite so tall as the others."	"Some of the hats are not quite so tall as the others."	true	1171.94	1175.23	19
1825_135580_000104_000000	"Here is the shop for the hat and for the sword-belt."	"Here is the shop for the hat and for the sword belt."	true	1176.11	1178.68	22
1825_135580_000105_000000	Edward chose a hat and a plain sword-belt, paid for them, and desired the man to carry them to the hostelry.	Edward chose a hat and a plain sword belt, paid for them, and desired the man to carry them to the hostelry.	true	1179.2	1185.46	19
1825_135580_000106_000000	While all these purchases on the part of Edward, and many others by Humphrey, such as nails, saws, tools, and various articles which Alice required for the household, were gathered together, the landlord had sent out to inquire for the goats, and found out at what price they were to be procured.	While all these purchases on the part of Edward, and many others by Humphrey, such as nails, saws, tools, and various articles which Alice required for the household, were gathered together, the landlord had sent out to inquire for the goats, and found out at what price they were to be procured.	false	1186.22	1203.82	20
1825_135580_000106_000001	Humphrey left Edward to put away these in the cart, while he went out a second time to see the goats; he made an agreement with the man who had them for sale, for a male and three females with two kids each at their sides, and ten more female kids which had just been weaned.	Humphrey left Edward to put away these in the cart, while he went out a second time to see the goats; he made an agreement with the man who had them for sale, for a male and three females with two kids each at their sides, and ten more female kids which had just been weaned.	true	1204.22	1221.88	21
1825_135580_000106_000002	The man engaged to drive them from Lymington as far as the road went into the forest, on the following day, when Humphrey would meet them, pay him his money, and drive them to the cottage, which would be only three miles from the place agreed upon.	The man engaged to drive them from Lymington as far as the road went into the forest, on the following day, when Humphrey would meet them, pay him his money, and drive them to the cottage, which would be only three miles from the place agreed upon.	true	1222.19	1235.89	17
1825_135580_000106_000003	Having settled that satisfactorily, he returned to Edward, who was all ready, and they went back home.	Having settled that satisfactorily, he returned to Edward, who was all ready, and they went back home.	true	1236.08	1241.92	18
1825_135580_000107_000000	"We have dipped somewhat into the bag to-day, Edward," said Humphrey, "but the money is well spent."	"We have dipped somewhat into the bag to day, Edward," said Humphrey, "but the money is well spent."	true	1242.17	1247.59	24.165607
1825_135580_000108_000000	"I think so, Humphrey; but I have no doubt that I shall be able to replace the money very soon, as the intendant will pay me for my services.	"I think so, Humphrey; but I have no doubt that I shall be able to replace the money very soon, as the intendant will pay me for my services.	true	1247.9	1255.53	16
1825_135580_000108_000001	The tailor has promised the clothes on Saturday without fail, so that you or I must go for them."	The tailor has promised the clothes on Saturday without fail, so that you or I must go for them."	true	1255.53	1261.36	18
1825_135580_000109_000000	"I will go, Edward; my sisters will wish you to stay with them now, as you are so soon to leave them; and I will take Pablo with me, that he may know his way to the town; and I will show him where to buy things, in case he goes there by himself."	"I will go, Edward; my sisters will wish you to stay with them now, as you are so soon to leave them; and I will take Pablo with me, that he may know his way to the town; and I will show him where to buy things, in case he goes there by himself."	true	1261.67	1275.79	18
1825_135580_000110_000000	"It appears to me to have been a most fortunate thing, your having caught Pablo as you did, Humphrey, for I do not well know how I could have left you, if you had not."	"It appears to me to have been a most fortunate thing, your having caught Pablo as you did, Humphrey, for I do not well know how I could have left you, if you had not."	true	1276.13	1287.04	19
1825_135580_000111_000000	"At all events, I can do much better without you than I should have done," replied Humphrey; "although I think now that I could get on by myself; but still, Edward, you know we can not tell what a day may bring forth, and I might fall sick, or something happen which might prevent my attending to any thing; and then, without you or Pablo, every thing might have gone to rack and ruin.	"At all events, I can do much better without you than I should have done," replied Humphrey; "although I think now that I could get on by myself; but still, Edward, you know we can not tell what a day may bring forth, and I might fall sick, or something happen which might prevent my attending to any thing; and then, without you or Pablo, every thing might have gone to rack and ruin.	false	1287.8	1311.09	20
1825_135580_000111_000001	Certainly, when we think how we were left, by the death of old Jacob, to our own resources, we have much to thank God for, in having got on so well."	Certainly, when we think how we were left, by the death of old Jacob, to our own resources, we have much to thank God for, in having got on so well."	true	1311.09	1320.55	21
1825_135580_000112_000000	"I agree with you, and also that it has pleased Heaven to grant us all such good health.	"I agree with you, and also that it has pleased Heaven to grant us all such good health.	true	1321.04	1326.73	20.89817
1825_135580_000112_000001	However, I shall be close at hand if you want me, and Oswald will always call and see how you get on."	However, I shall be close at hand if you want me, and Oswald will always call and see how you get on."	true	1326.92	1333.12	17
1825_135580_000113_000000	"I hope you will manage that he calls once a-week."	"I hope you will manage that he calls once a week."	true	1333.61	1336.18	19
1825_135580_000114_000000	"I will if I can, Humphrey, for I shall be just as anxious as you are to know if all goes on well.	"I will if I can, Humphrey, for I shall be just as anxious as you are to know if all goes on well.	true	1336.82	1342.21	12
1825_135580_000114_000001	Indeed, I shall insist upon coming over to you once a-fortnight; and I hardly think the intendant will refuse me--indeed, I am sure that he will not."	Indeed, I shall insist upon coming over to you once a fortnight; and I hardly think the intendant will refuse me-indeed, I am sure that he will not."	true	1342.76	1351.45	20
1825_135580_000115_000000	"So am I," replied Humphrey.	"So am I," replied Humphrey.	true	1352	1353.64	16
1825_135580_000115_000001	"I am certain that he wishes us all well, and has, in a measure, taken us under his protection; but, Edward, recollect, I shall never kill any venison after this, and so you may tell the intendant."	"I am certain that he wishes us all well, and has, in a measure, taken us under his protection; but, Edward, recollect, I shall never kill any venison after this, and so you may tell the intendant."	true	1353.65	1365.88	19
1825_135580_000116_000000	"I will, and that will be an excuse for him to send some over, if he pleases.	"I will, and that will be an excuse for him to send some over, if he pleases.	true	1366.34	1370.17	11
1825_135580_000116_000001	Indeed, as I know I shall be permitted to go out with Oswald, it will be hard if a stray buck does not find its way to the cottage."	Indeed, as I know I shall be permitted to go out with Oswald, it will be hard if a stray buck does not find its way to the cottage."	true	1370.3	1377.55	17
1825_135580_000117_000000	Thus did they continue talking over matters till they arrived at the cottage.	Thus did they continue talking over matters till they arrived at the cottage.	true	1378.13	1381.78	15
1825_135580_000117_000001	Alice came out to them, saying to Humphrey,	Alice came out to them, saying to Humphrey,	true	1382.06	1384.42	17
1825_135580_000118_000000	"Well, Humphrey, have you brought my geese and ducks?"	"Well, Humphrey, have you brought my geese and ducks?"	false	1384.97	1387.81	23.488382
1825_135580_000119_000000	Humphrey had forgotten them, but he replied, "You must wait till I go to Lymington again on Saturday, Alice, and then I hope to bring them with me.	Humphrey had forgotten them, but he replied, "You must wait till I go to Lymington again on Saturday, Alice, and then I hope to bring them with me.	false	1388.69	1396.33	19
1825_135580_000119_000001	As it is, look how poor Billy is loaded.	As it is, look how poor Billy is loaded.	true	1396.76	1399.42	20.075214
1825_135580_000119_000002	Where's Pablo?"	Where's Pablo?"	true	1399.64	1400.74	24.96372
1825_135580_000120_000000	"In the garden.	"In the garden.	true	1400.93	1401.93	27
1825_135580_000120_000001	He has been working there all day, and Edith is with him."	He has been working there all day, and Edith is with him."	true	1401.93	1405.06	24
1825_135580_000121_000000	"Well, then, we will unload the cart, while you get us something to eat, Alice, for we are not a little hungry.	"Well, then, we will unload the cart, while you get us something to eat, Alice, for we are not a little hungry.	true	1405.22	1410.93	19
1825_135580_000121_000001	I can tell you."	I can tell you."	true	1410.93	1411.84	18.78817
1825_135580_000122_000000	"I have some rabbit-stew on the fire, Humphrey, all ready for you, and you will find it very good."	"I have some rabbit stew on the fire, Humphrey, all ready for you, and you will find it very good."	true	1412.9	1418.35	19
1825_135580_000123_000000	"Nothing I like better, my dear girl.	"Nothing I like better, my dear girl.	true	1418.45	1420.63	24
1825_135580_000123_000001	Pablo won't thank me for bringing this home," continued Humphrey, taking the long saw out of the cart; "he will have to go to the bottom of the pit again, as soon as the pit is made."	Pablo won't thank me for bringing this home," continued Humphrey, taking the long saw out of the cart; "he will have to go to the bottom of the pit again, as soon as the pit is made."	true	1420.85	1430.98	21
1825_135580_000124_000000	The cart was soon unloaded, Billy taken out and turned out to feed, and then they went in to the supper.	The cart was soon unloaded, Billy taken out and turned out to feed, and then they went in to the supper.	false	1431.59	1437.55	22.004818
1825_135580_000125_000000	Humphrey was off the next morning, with Pablo, at an early hour, to meet the farmer of whom he had purchased the goats and kids.	Humphrey was off the next morning, with Pablo, at an early hour, to meet the farmer of whom he had purchased the goats and kids.	true	1438.25	1444.87	17
1825_135580_000125_000001	He found them punctual to the time, at the place agreed upon; and being satisfied with the lot, paid the farmer his money, and drove them home through the forest.	He found them punctual to the time, at the place agreed upon; and being satisfied with the lot, paid the farmer his money, and drove them home through the forest.	false	1445.15	1453.93	19
1825_135580_000126_000000	"Goat very good, kid better; always eat kid in Spain," said Pablo.	"Goat very good, kid better; always eat kid in Spain," said Pablo.	true	1454.72	1459.54	23.646597
1825_135580_000127_000000	"Were you born in Spain, Pablo?"	"Were you born in Spain, Pablo?"	true	1459.73	1461.52	23
1825_135580_000128_000000	"Not sure, but I think so.	"Not sure, but I think so.	true	1461.83	1464.01	23.377663
1825_135580_000128_000001	First recollect myself in that country."	First recollect myself in that country."	true	1464.38	1466.77	23
1825_135580_000129_000000	"Do you recollect your father?"	"Do you recollect your father?"	true	1467.14	1468.84	23.924109
1825_135580_000130_000000	"No; never see him."	"No; never see him."	true	1469.03	1471.09	18.923143
1825_135580_000131_000000	"Did your mother never talk about him?"	"Did your mother never talk about him?"	true	1471.61	1473.55	22.449434
1825_135580_000132_000000	"Call her mother, but think no mother at all.	"Call her mother, but think no mother at all.	true	1474.1	1476.88	19.818796
1825_135580_000132_000001	Custom with Gitanas."	Custom with Gitanas."	false	1477.13	1480.5	20.389128
1825_135580_000133_000000	"Why did you call her mother?"	"Why did you call her mother?"	true	1480.5	1481.98	18.461958
1825_135580_000134_000000	"'Cause she feed me when little, beat me when I get big."	"'cause she feed me when little, beat me when I get big."	true	1482.44	1486.18	19.34181
1825_135580_000135_000000	"All mothers do that.	"All mothers do that.	true	1486.46	1487.79	21.714228
1825_135580_000135_000001	What made you come to England?"	What made you come to England?"	true	1487.79	1489.27	20
1825_135580_000136_000000	"I don't know, but I hear people say, plenty of money in England--plenty to eat--plenty to drink; bring plenty money back to Spain."	"I don't know, but I hear people say, plenty of money in England-plenty to eat-plenty to drink; bring plenty money back to Spain."	true	1489.43	1498.51	22.547218
1825_135580_000137_000000	"How long have you been in England?"	"How long have you been in England?"	true	1498.91	1500.49	17.23896
1825_135580_000138_000000	"One, two, three year; yes, three year and a bit."	"One, two, three year; yes, three year and a bit."	true	1501.43	1506.04	24.24674
1825_135580_000139_000000	"Which did you like best--England or Spain?"	"Which did you like best-England or Spain?"	true	1506.74	1509.31	23.009426
1825_135580_000140_000000	"When with my people, like Spain best; warm sun--warm night.	"When with my people, like Spain best; warm sun-warm night.	true	1510.1	1514.71	22.343859
1825_135580_000140_000001	England, little sun, cold night, much rain, snow, and air always cold; but now I live with you, have warm bed, plenty victuals, like England best."	England, little sun, cold night, much rain, snow, and air always cold; but now I live with you, have warm bed, plenty victuals, like England best."	true	1514.9	1527.52	21.784576
1825_135580_000141_000000	"But when you were with the gipsies, they stole every thing, did they not?"	"But when you were with the gipsies, they stole every thing, did they not?"	true	1527.89	1531.66	21.810427
1825_135580_000142_000000	"Not steal every thing," replied Pablo, laughing; "sometimes take and no pay when nobody there; farmer look very sharp--have big dog."	"Not steal every thing," replied Pablo, laughing; "sometimes take and no pay when nobody there; farmer look very sharp-have big dog."	true	1532	1542.79	22.486454
1825_135580_000143_000000	"Did you ever go out to steal?"	"Did you ever go out to steal?"	true	1542.92	1544.68	24
1825_135580_000144_000000	"Make me go out.	"Make me go out.	true	1545.32	1546.6	25.994373
1825_135580_000144_000001	Not bring back something, beat me very hard; suppose farmer catch me, beat hard too; nothing but beat, beat, beat."	Not bring back something, beat me very hard; suppose farmer catch me, beat hard too; nothing but beat, beat, beat."	true	1546.73	1554.97	24.08676
1825_135580_000145_000000	"Then they obliged you to steal?"	"Then they obliged you to steal?"	false	1555.61	1557.99	22.73881
1825_135580_000146_000000	"Suppose bring nothing home, first beat, and then not have to eat for one, two, three days.	"Suppose bring nothing home, first beat, and then not have to eat for one, two, three days.	true	1557.99	1564.66	21.605585
1825_135580_000146_000001	How you like that, Master Humphrey?	How you like that, Master Humphrey?	true	1565.21	1567.3	25.443964
1825_135580_000146_000002	I think you steal, after no victuals for three days!"	I think you steal, after no victuals for three days!"	true	1567.49	1571.14	20.923645
1825_135580_000147_000000	"I should hope not," replied Humphrey, "although I have never been so severely punished: and I hope, Pablo, you will never steal any more."	"I should hope not," replied Humphrey, "although I have never been so severely punished: and I hope, Pablo, you will never steal any more."	true	1572.32	1580.47	20
1825_135580_000148_000000	"Why steal any more?" replied Pablo.	"Why steal any more?" replied Pablo.	true	1581.26	1583.38	18
1825_135580_000148_000001	"I not like to steal, but because hungry I steal.	"I not like to steal, but because hungry I steal.	false	1583.54	1587	22.722496
1825_135580_000148_000002	Now, I never hungry, always have plenty to eat; no one beat me now; sleep warm all night.	Now, I never hungry, always have plenty to eat; no one beat me now; sleep warm all night.	true	1587	1593.87	22.644089
1825_135580_000148_000003	Why I steal, then?	Why I steal, then?	false	1593.87	1595.26	21.688534
1825_135580_000148_000004	No, Master Humphrey, I never steal more, 'cause I have no reason why, and 'cause Missy Alice and Edith tell me how the good God up there say must not steal."	No, Master Humphrey, I never steal more, 'cause I have no reason why, and 'cause Missy Alice and Edith tell me how the good God up there say must not steal."	true	1595.39	1606.24	23
1825_135580_000149_000000	"I am glad to hear you give that as a reason, Pablo," replied Humphrey, "as it proves that my sisters have not been teaching you in vain."	"I am glad to hear you give that as a reason, Pablo," replied Humphrey, "as it proves that my sisters have not been teaching you in vain."	true	1606.76	1614.58	18
1825_135580_000150_000000	"Like to hear Missy Alice talk; she talk grave.	"Like to hear Missy Alice talk; she talk grave.	true	1615.28	1619.38	24.650204
1825_135580_000150_000001	Missy Edith talk too, but she laugh very much; very fond Missy Edith, very happy little girl; jump about just like one of these kids we drive home; always merry. Hah! see cottage now; soon get home, Massa Humphrey.	Missy Edith talk too, but she laugh very much; very fond Missy Edith, very happy little girl; jump about just like one of these kids we drive home; always merry. Hah! see cottage now; soon get home, Massa Humphrey.	true	1619.6	1637.2	21.589941
1825_135580_000150_000002	Missy Edith like see kids very much.	Missy Edith like see kids very much.	true	1637.45	1640.26	24.785412
1825_135580_000150_000003	Where we put them?"	Where we put them?"	true	1640.45	1641.6	27.420252
1825_135580_000151_000000	CHAPTER XIX.	CHAPTER nineteen.	false	1641.6	1642.05	2
1825_135580_000152_000000	"We will put them into the yard for the present.	"We will put them into the yard for the present.	false	1642.05	1644.45	-1
1825_135580_000152_000001	I mean that Holdfast shall take charge of them by-and-by.	I mean that Holdfast shall take charge of them by and by.	false	1644.45	1647.12	100
1825_135580_000152_000002	I will soon teach him."	I will soon teach him."	false	1647.12	1647.27	9
1825_135580_000153_000000	"Yes, he take charge of coat, or any thing I tell him; why not take charge of goats.	"Yes, he take charge of coat, or any thing I tell him; why not take charge of goats.	false	1647.27	1647.81	14
1825_135580_000153_000001	Clever dog, Holdfast.	Clever dog, Holdfast.	false	1647.81	1647.87	15
1825_135580_000153_000002	Massa Humphrey, you think Massa Edward take away both his dogs, Smoker and Watch?	Massa Humphrey, you think Massa Edward take away both his dogs, Smoker and Watch?	false	1647.87	1648.29	15
1825_135580_000153_000003	I say better not take puppy.	I say better not take puppy.	false	1648.29	1648.47	-20
1825_135580_000153_000004	Take Smoker, and leave puppy."	Take Smoker, and leave puppy."	false	1648.47	1648.59	3
