2056_143893_000000_000000	"Well, Mr. Goodwood, I should hope so!" Henrietta returned imperturbably.	"Well, mr Goodwood, I should hope so!" Henrietta returned imperturbably.	false	6.69	22.65	26.034529
2056_143893_000057_000012	When Isabel said to her that she had never yet spoken to her of what might have been going on in relation to her getting married, but that her silence had not been indifference or ignorance, had only been the desire to leave her at liberty, Pansy bent forward, raised her face nearer and nearer, and with a little murmur which evidently expressed a deep longing, answered that she had greatly wished her to speak and that she begged her to advise her now.	When Isabel said to her that she had never yet spoken to her of what might have been going on in relation to her getting married, but that her silence had not been indifference or ignorance, had only been the desire to leave her at liberty, Pansy bent forward, raised her face nearer and nearer, and with a little murmur which evidently expressed a deep longing, answered that she had greatly wished her to speak and that she begged her to advise her now.	true	926.27	952.63	23.467918
2056_143893_000058_000000	"It's difficult for me to advise you," Isabel returned.	"It's difficult for me to advise you," Isabel returned.	true	952.94	956.83	21.8015
2056_143893_000058_000001	"I don't know how I can undertake that.	"I don't know how I can undertake that.	true	956.87	958.87	28.069149
2056_143893_000058_000002	That's for your father; you must get his advice and, above all, you must act on it."	That's for your father; you must get his advice and, above all, you must act on it."	true	959	964.66	28.006798
2056_143893_000059_000000	At this Pansy dropped her eyes; for a moment she said nothing.	At this Pansy dropped her eyes; for a moment she said nothing.	true	964.82	968.98	25.379126
2056_143893_000059_000001	"I think I should like your advice better than papa's," she presently remarked.	"I think I should like your advice better than papa's," she presently remarked.	false	969.44	974.22	26.482262
2056_143893_000060_000000	"That's not as it should be," said Isabel coldly.	"That's not as it should be," said Isabel coldly.	false	974.22	977.59	26.303478
2056_143893_000060_000001	"I love you very much, but your father loves you better."	"I love you very much, but your father loves you better."	true	977.6	981.13	29.179752
2056_143893_000061_000000	"It isn't because you love me--it's because you're a lady," Pansy answered with the air of saying something very reasonable.	"It isn't because you love me-it's because you're a lady," Pansy answered with the air of saying something very reasonable.	true	981.47	989.13	19.908274
2056_143893_000061_000001	"A lady can advise a young girl better than a man."	"A lady can advise a young girl better than a man."	true	989.13	992.41	23.002687
2056_143893_000062_000000	"I advise you then to pay the greatest respect to your father's wishes."	"I advise you then to pay the greatest respect to your father's wishes."	true	992.54	996.12	24.275957
2056_143893_000063_000000	"Ah yes," said the child eagerly, "I must do that."	"Ah yes," said the child eagerly, "I must do that."	false	996.12	1000.75	28.298384
2056_143893_000064_000000	"But if I speak to you now about your getting married it's not for your own sake, it's for mine," Isabel went on.	"But if I speak to you now about your getting married it's not for your own sake, it's for mine," Isabel went on.	true	1000.85	1007.32	22.808582
2056_143893_000064_000001	"If I try to learn from you what you expect, what you desire, it's only that I may act accordingly."	"If I try to learn from you what you expect, what you desire, it's only that I may act accordingly."	true	1007.45	1013.86	24.693735
2056_143893_000065_000000	Pansy stared, and then very quickly, "Will you do everything I want?" she asked.	Pansy stared, and then very quickly, "Will you do everything I want?" she asked.	true	1013.93	1020.7	25.839226
2056_143893_000066_000000	"Before I say yes I must know what such things are."	"Before I say yes I must know what such things are."	true	1020.89	1024.57	22.239534
2056_143893_000067_000000	Pansy presently told her that the only thing she wanted in life was to marry Mr. Rosier.	Pansy presently told her that the only thing she wanted in life was to marry mr Rosier.	true	1024.82	1030.93	28.673323
2056_143893_000067_000001	He had asked her and she had told him she would do so if her papa would allow it.	He had asked her and she had told him she would do so if her papa would allow it.	true	1031.33	1035.85	24.628105
2056_143893_000067_000002	Now her papa wouldn't allow it.	Now her papa wouldn't allow it.	true	1035.98	1038.46	23.820204
2056_143893_000068_000000	"Very well then, it's impossible," Isabel pronounced.	"Very well then, it's impossible," Isabel pronounced.	true	1038.77	1042.36	27.262444
2056_143893_000069_000000	"Yes, it's impossible," said Pansy without a sigh and with the same extreme attention in her clear little face.	"Yes, it's impossible," said Pansy without a sigh and with the same extreme attention in her clear little face.	true	1042.61	1050.28	26.786028
2056_143893_000070_000000	"You must think of something else then," Isabel went on; but Pansy, sighing at this, told her that she had attempted that feat without the least success.	"You must think of something else then," Isabel went on; but Pansy, sighing at this, told her that she had attempted that feat without the least success.	true	1050.62	1060.09	25.121313
2056_143893_000071_000000	"You think of those who think of you," she said with a faint smile.	"You think of those who think of you," she said with a faint smile.	true	1060.73	1064.5	25.607563
2056_143893_000071_000001	"I know Mr. Rosier thinks of me."	"I know mr Rosier thinks of me."	true	1064.72	1067.35	32.77135
2056_143893_000072_000000	"He ought not to," said Isabel loftily.	"He ought not to," said Isabel loftily.	true	1067.36	1070.35	29.916864
2056_143893_000072_000001	"Your father has expressly requested he shouldn't."	"Your father has expressly requested he shouldn't."	true	1070.36	1074.08	23.233692
2056_143893_000073_000000	"He can't help it, because he knows I think of HIM."	"He can't help it, because he knows I think of HIM."	true	1074.08	1077.82	28.740332
2056_143893_000074_000000	"You shouldn't think of him.	"You shouldn't think of him.	true	1078.1	1079.64	23.822506
2056_143893_000074_000001	There's some excuse for him, perhaps; but there's none for you."	There's some excuse for him, perhaps; but there's none for you."	false	1079.64	1083.4	23.91706
2056_143893_000075_000000	"I wish you would try to find one," the girl exclaimed as if she were praying to the Madonna.	"I wish you would try to find one," the girl exclaimed as if she were praying to the Madonna.	true	1083.56	1089.22	22.403137
2056_143893_000076_000000	"I should be very sorry to attempt it," said the Madonna with unusual frigidity.	"I should be very sorry to attempt it," said the Madonna with unusual frigidity.	true	1089.22	1094.62	21.640036
2056_143893_000076_000001	"If you knew some one else was thinking of you, would you think of him?"	"If you knew some one else was thinking of you, would you think of him?"	false	1094.96	1099.57	27.82136
2056_143893_000077_000000	"No one can think of me as Mr. Rosier does; no one has the right."	"No one can think of me as mr Rosier does; no one has the right."	true	1099.73	1104.55	26.493904
2056_143893_000078_000000	"Ah, but I don't admit Mr. Rosier's right!" Isabel hypocritically cried.	"Ah, but I don't admit mr Rosier's right!" Isabel hypocritically cried.	true	1104.62	1109.59	23.767385
2056_143893_000079_000000	Pansy only gazed at her, evidently much puzzled; and Isabel, taking advantage of it, began to represent to her the wretched consequences of disobeying her father.	Pansy only gazed at her, evidently much puzzled; and Isabel, taking advantage of it, began to represent to her the wretched consequences of disobeying her father.	true	1109.87	1120.42	25.744242
2056_143893_000079_000001	At this Pansy stopped her with the assurance that she would never disobey him, would never marry without his consent.	At this Pansy stopped her with the assurance that she would never disobey him, would never marry without his consent.	true	1120.61	1127.89	25.25488
2056_143893_000079_000002	And she announced, in the serenest, simplest tone, that, though she might never marry Mr. Rosier, she would never cease to think of him.	And she announced, in the serenest, simplest tone, that, though she might never marry mr Rosier, she would never cease to think of him.	true	1127.96	1135.87	22.566982
2056_143893_000079_000003	She appeared to have accepted the idea of eternal singleness; but Isabel of course was free to reflect that she had no conception of its meaning. She was perfectly sincere; she was prepared to give up her lover.	She appeared to have accepted the idea of eternal singleness; but Isabel of course was free to reflect that she had no conception of its meaning. She was perfectly sincere; she was prepared to give up her lover.	true	1135.94	1148.8	25.871424
2056_143893_000079_000004	This might seem an important step toward taking another, but for Pansy, evidently, it failed to lead in that direction.	This might seem an important step toward taking another, but for Pansy, evidently, it failed to lead in that direction.	true	1149.08	1156.03	26.123224
2056_143893_000079_000005	She felt no bitterness toward her father; there was no bitterness in her heart; there was only the sweetness of fidelity to Edward Rosier, and a strange, exquisite intimation that she could prove it better by remaining single than even by marrying him.	She felt no bitterness toward her father; there was no bitterness in her heart; there was only the sweetness of fidelity to Edward Rosier, and a strange, exquisite intimation that she could prove it better by remaining single than even by marrying him.	true	1156.28	1172.59	23.360607
2056_143893_000080_000000	"Your father would like you to make a better marriage," said Isabel. "Mr.	"Your father would like you to make a better marriage," said Isabel. "mr	true	1172.69	1176.66	26.251661
2056_143893_000080_000001	Rosier's fortune is not at all large."	Rosier's fortune is not at all large."	true	1176.66	1179.79	22.143902
2056_143893_000081_000000	"How do you mean better--if that would be good enough?	"How do you mean better-if that would be good enough?	true	1179.83	1182.82	25.05813
2056_143893_000081_000001	And I have myself so little money; why should I look for a fortune?"	And I have myself so little money; why should I look for a fortune?"	true	1182.98	1186.93	25.570484
2056_143893_000082_000000	"Your having so little is a reason for looking for more." With which Isabel was grateful for the dimness of the room; she felt as if her face were hideously insincere.	"Your having so little is a reason for looking for more." With which Isabel was grateful for the dimness of the room; she felt as if her face were hideously insincere.	true	1187.66	1197.31	22.100063
2056_143893_000082_000001	It was what she was doing for Osmond; it was what one had to do for Osmond!	It was what she was doing for Osmond; it was what one had to do for Osmond!	true	1197.38	1202.62	24.805635
2056_143893_000082_000002	Pansy's solemn eyes, fixed on her own, almost embarrassed her; she was ashamed to think she had made so light of the girl's preference.	Pansy's solemn eyes, fixed on her own, almost embarrassed her; she was ashamed to think she had made so light of the girl's preference.	true	1203.05	1211.26	23.863382
2056_143893_000083_000000	"What should you like me to do?" her companion softly demanded.	"What should you like me to do?" her companion softly demanded.	true	1211.45	1215.37	24.87855
2056_143893_000084_000000	The question was a terrible one, and Isabel took refuge in timorous vagueness.	The question was a terrible one, and Isabel took refuge in timorous vagueness.	true	1215.56	1220.77	30.058084
2056_143893_000084_000001	"To remember all the pleasure it's in your power to give your father."	"To remember all the pleasure it's in your power to give your father."	true	1220.78	1224.82	26.500534
2056_143893_000085_000000	"To marry some one else, you mean--if he should ask me?"	"To marry some one else, you mean-if he should ask me?"	true	1225.07	1228.8	24.961863
2056_143893_000086_000000	For a moment Isabel's answer caused itself to be waited for; then she heard herself utter it in the stillness that Pansy's attention seemed to make.	For a moment Isabel's answer caused itself to be waited for; then she heard herself utter it in the stillness that Pansy's attention seemed to make.	true	1228.8	1237.27	22.403671
2056_143893_000086_000001	"Yes--to marry some one else."	"Yes-to marry some one else."	true	1237.58	1240.63	21.556852
2056_143893_000087_000000	The child's eyes grew more penetrating; Isabel believed she was doubting her sincerity, and the impression took force from her slowly getting up from her cushion.	The child's eyes grew more penetrating; Isabel believed she was doubting her sincerity, and the impression took force from her slowly getting up from her cushion.	true	1240.67	1249.48	26.381863
2056_143893_000087_000001	She stood there a moment with her small hands unclasped and then quavered out: "Well, I hope no one will ask me!"	She stood there a moment with her small hands unclasped and then quavered out: "Well, I hope no one will ask me!"	true	1249.61	1258.33	22.216694
2056_143893_000088_000000	"There has been a question of that.	"There has been a question of that.	true	1258.49	1260.45	32.34325
2056_143893_000088_000001	Some one else would have been ready to ask you."	Some one else would have been ready to ask you."	true	1260.45	1262.95	22.074102
2056_143893_000089_000000	"I don't think he can have been ready," said Pansy.	"I don't think he can have been ready," said Pansy.	true	1263.44	1266.58	24.897419
2056_143893_000090_000000	"It would appear so if he had been sure he'd succeed."	"It would appear so if he had been sure he'd succeed."	true	1266.89	1270.12	25.75969
2056_143893_000091_000000	"If he had been sure?	"If he had been sure?	true	1270.31	1271.77	22.119768
2056_143893_000091_000001	Then he wasn't ready!"	Then he wasn't ready!"	true	1271.93	1274.07	24.720802
2056_143893_000092_000000	Isabel thought this rather sharp; she also got up and stood a moment looking into the fire.	Isabel thought this rather sharp; she also got up and stood a moment looking into the fire.	true	1274.07	1279.12	26.399672
2056_143893_000092_000001	"Lord Warburton has shown you great attention," she resumed; "of course you know it's of him I speak." She found herself, against her expectation, almost placed in the position of justifying herself; which led her to introduce this nobleman more crudely than she had intended.	"Lord Warburton has shown you great attention," she resumed; "of course you know it's of him I speak." She found herself, against her expectation, almost placed in the position of justifying herself; which led her to introduce this nobleman more crudely than she had intended.	true	1279.58	1296.37	23.819044
2056_143893_000093_000000	"He has been very kind to me, and I like him very much.	"He has been very kind to me, and I like him very much.	true	1296.47	1299.73	23.644255
2056_143893_000093_000001	But if you mean that he'll propose for me I think you're mistaken."	But if you mean that he'll propose for me I think you're mistaken."	true	1299.95	1303.6	24.80636
2056_143893_000094_000000	"Perhaps I am.	"Perhaps I am.	true	1303.91	1305.16	30.937437
2056_143893_000094_000001	But your father would like it extremely."	But your father would like it extremely."	true	1305.29	1307.62	26.78812
2056_143893_000095_000000	Pansy shook her head with a little wise smile.	Pansy shook her head with a little wise smile.	true	1307.63	1310.59	25.723911
2056_143893_000095_000001	"Lord Warburton won't propose simply to please papa."	"Lord Warburton won't propose simply to please papa."	false	1310.84	1315.08	28.755184
2056_143893_000096_000000	"Your father would like you to encourage him," Isabel went on mechanically.	"Your father would like you to encourage him," Isabel went on mechanically.	true	1315.08	1320.13	24.499275
2056_143893_000097_000000	"How can I encourage him?"	"How can I encourage him?"	true	1320.2	1322.46	32.097187
2056_143893_000098_000000	"I don't know.	"I don't know.	true	1322.46	1323.16	20
2056_143893_000098_000001	Your father must tell you that."	Your father must tell you that."	true	1323.16	1325.38	27.654179
2056_143893_000099_000000	Pansy said nothing for a moment; she only continued to smile as if she were in possession of a bright assurance.	Pansy said nothing for a moment; she only continued to smile as if she were in possession of a bright assurance.	true	1325.42	1331.29	24
2056_143893_000099_000001	"There's no danger--no danger!" she declared at last.	"There's no danger-no danger!" she declared at last.	true	1331.63	1335.73	25.747398
2056_143893_000100_000000	There was a conviction in the way she said this, and a felicity in her believing it, which conduced to Isabel's awkwardness.	There was a conviction in the way she said this, and a felicity in her believing it, which conduced to Isabel's awkwardness.	true	1335.92	1342.75	24
2056_143893_000100_000001	She felt accused of dishonesty, and the idea was disgusting.	She felt accused of dishonesty, and the idea was disgusting.	true	1342.94	1346.83	28.966015
2056_143893_000100_000002	To repair her self-respect she was on the point of saying that Lord Warburton had let her know that there was a danger.	To repair her self respect she was on the point of saying that Lord Warburton had let her know that there was a danger.	true	1347.02	1353.64	21
2056_143893_000100_000003	But she didn't; she only said--in her embarrassment rather wide of the mark--that he surely had been most kind, most friendly.	But she didn't; she only said-in her embarrassment rather wide of the mark-that he surely had been most kind, most friendly.	true	1353.74	1361.95	23.684755
2056_143893_000101_000000	"Yes, he has been very kind," Pansy answered.	"Yes, he has been very kind," Pansy answered.	true	1362.41	1365.55	25.35616
2056_143893_000101_000001	"That's what I like him for."	"That's what I like him for."	true	1365.71	1367.32	26.688904
2056_143893_000102_000000	"Why then is the difficulty so great?"	"Why then is the difficulty so great?"	true	1367.72	1370.98	24.76097
2056_143893_000103_000000	"I've always felt sure of his knowing that I don't want--what did you say I should do?--to encourage him.	"I've always felt sure of his knowing that I don't want-what did you say I should do?--to encourage him.	false	1371.08	1377.64	24.817839
2056_143893_000103_000001	He knows I don't want to marry, and he wants me to know that he therefore won't trouble me.	He knows I don't want to marry, and he wants me to know that he therefore won't trouble me.	false	1377.98	1383.01	26.396152
2056_143893_000103_000002	That's the meaning of his kindness.	That's the meaning of his kindness.	true	1383.2	1385.08	24.734377
2056_143893_000103_000003	It's as if he said to me: 'I like you very much, but if it doesn't please you I'll never say it again.' I think that's very kind, very noble," Pansy went on with deepening positiveness.	It's as if he said to me: 'I like you very much, but if it doesn't please you I'll never say it again.' I think that's very kind, very noble," Pansy went on with deepening positiveness.	true	1385.27	1396.78	27.13185
2056_143893_000103_000004	"That is all we've said to each other.	"That is all we've said to each other.	true	1397.12	1399.06	27.580843
2056_143893_000103_000005	And he doesn't care for me either.	And he doesn't care for me either.	true	1399.07	1401.03	26.585316
2056_143893_000103_000006	Ah no, there's no danger."	Ah no, there's no danger."	false	1401.03	1403.23	25.965132
2056_143893_000104_000000	Isabel was touched with wonder at the depths of perception of which this submissive little person was capable; she felt afraid of Pansy's wisdom--began almost to retreat before it.	Isabel was touched with wonder at the depths of perception of which this submissive little person was capable; she felt afraid of Pansy's wisdom-began almost to retreat before it.	true	1403.81	1414.39	25.661545
2056_143893_000104_000001	"You must tell your father that," she remarked reservedly.	"You must tell your father that," she remarked reservedly.	true	1414.58	1417.87	27.176205
2056_143893_000105_000000	"I think I'd rather not," Pansy unreservedly answered.	"I think I'd rather not," Pansy unreservedly answered.	true	1418.15	1421.98	22.420834
2056_143893_000106_000000	"You oughtn't to let him have false hopes."	"You oughtn't to let him have false hopes."	true	1422.05	1424.56	27.888548
2056_143893_000107_000000	"Perhaps not; but it will be good for me that he should.	"Perhaps not; but it will be good for me that he should.	true	1425.08	1428.55	28.378025
2056_143893_000107_000001	So long as he believes that Lord Warburton intends anything of the kind you say, papa won't propose any one else.	So long as he believes that Lord Warburton intends anything of the kind you say, papa won't propose any one else.	true	1428.56	1435.52	22.827408
2056_143893_000107_000002	And that will be an advantage for me," said the child very lucidly.	And that will be an advantage for me," said the child very lucidly.	true	1435.52	1440.04	22.523573
2056_143893_000108_000000	There was something brilliant in her lucidity, and it made her companion draw a long breath.	There was something brilliant in her lucidity, and it made her companion draw a long breath.	true	1440.35	1445.95	24.536219
2056_143893_000108_000001	It relieved this friend of a heavy responsibility. Pansy had a sufficient illumination of her own, and Isabel felt that she herself just now had no light to spare from her small stock. Nevertheless it still clung to her that she must be loyal to Osmond, that she was on her honour in dealing with his daughter.	It relieved this friend of a heavy responsibility. Pansy had a sufficient illumination of her own, and Isabel felt that she herself just now had no light to spare from her small stock. Nevertheless it still clung to her that she must be loyal to Osmond, that she was on her honour in dealing with his daughter.	true	1446.05	1465.66	24.94197
2056_143893_000108_000002	Under the influence of this sentiment she threw out another suggestion before she retired--a suggestion with which it seemed to her that she should have done her utmost.	Under the influence of this sentiment she threw out another suggestion before she retired-a suggestion with which it seemed to her that she should have done her utmost.	true	1465.88	1475.68	23.553919
2056_143893_000109_000000	"Your father takes for granted at least that you would like to marry a nobleman."	"Your father takes for granted at least that you would like to marry a nobleman."	true	1475.87	1479.97	22
2056_143893_000110_000000	Pansy stood in the open doorway; she had drawn back the curtain for Isabel to pass.	Pansy stood in the open doorway; she had drawn back the curtain for Isabel to pass.	true	1480.49	1485.19	25.729149
2056_143893_000110_000001	"I think Mr. Rosier looks like one!" she remarked very gravely.	"I think mr Rosier looks like one!" she remarked very gravely.	true	1485.59	1490.46	26.571693
2056_143893_000111_000000	CHAPTER XLVI	CHAPTER forty six	false	1490.46	1490.55	-20
2056_143893_000112_000000	Lord Warburton was not seen in Mrs. Osmond's drawing-room for several days, and Isabel couldn't fail to observe that her husband said nothing to her about having received a letter from him.	Lord Warburton was not seen in mrs Osmond's drawing room for several days, and Isabel couldn't fail to observe that her husband said nothing to her about having received a letter from him.	false	1490.55	1491.54	-20
2056_143893_000112_000001	She couldn't fail to observe, either, that Osmond was in a state of expectancy and that, though it was not agreeable to him to betray it, he thought their distinguished friend kept him waiting quite too long.	She couldn't fail to observe, either, that Osmond was in a state of expectancy and that, though it was not agreeable to him to betray it, he thought their distinguished friend kept him waiting quite too long.	false	1491.54	1494.3	25.479818
2056_143893_000112_000002	At the end of four days he alluded to his absence.	At the end of four days he alluded to his absence.	false	1494.3	1496.52	26
