318_124164_000000_000000	Chapter 50	Chapter fifty	false	21.48	24.78	20.462496
318_124164_000035_000001	Is not he a charming man?	Is not he a charming man?	true	993.77	995.41	19.379677
318_124164_000035_000002	I am sure my sisters must all envy me.	I am sure my sisters must all envy me.	true	995.66	997.87	20.349104
318_124164_000035_000003	I only hope they may have half my good luck.	I only hope they may have half my good luck.	false	997.94	1000.14	25.215706
318_124164_000035_000004	They must all go to Brighton.	They must all go to Brighton.	true	1000.14	1001.56	24.809204
318_124164_000035_000005	That is the place to get husbands.	That is the place to get husbands.	false	1001.6	1003.27	24.809082
318_124164_000035_000006	What a pity it is, mamma, we did not all go."	What a pity it is, mamma, we did not all go."	true	1003.55	1005.85	22
318_124164_000036_000000	"Very true; and if I had my will, we should.	"Very true; and if I had my will, we should.	true	1007.18	1010.02	20
318_124164_000036_000001	But my dear Lydia, I don't at all like your going such a way off.	But my dear Lydia, I don't at all like your going such a way off.	true	1010.33	1014.64	23.917543
318_124164_000036_000002	Must it be so?"	Must it be so?"	false	1014.64	1015.81	20.863663
318_124164_000037_000000	"Oh, lord!	"Oh, lord!	false	1017.29	1018.23	22
318_124164_000037_000001	yes;--there is nothing in that.	yes;--there is nothing in that.	false	1018.23	1020.22	23.434002
318_124164_000037_000002	I shall like it of all things.	I shall like it of all things.	true	1020.89	1022.57	29.734932
318_124164_000037_000003	You and papa, and my sisters, must come down and see us.	You and papa, and my sisters, must come down and see us.	false	1022.57	1025.2	18
318_124164_000037_000004	We shall be at Newcastle all the winter, and I dare say there will be some balls, and I will take care to get good partners for them all."	We shall be at Newcastle all the winter, and I dare say there will be some balls, and I will take care to get good partners for them all."	true	1025.24	1031.32	21.745949
318_124164_000038_000000	"I should like it beyond anything!" said her mother.	"I should like it beyond anything!" said her mother.	true	1032.23	1034.62	20.718529
318_124164_000039_000000	"And then when you go away, you may leave one or two of my sisters behind you; and I dare say I shall get husbands for them before the winter is over."	"And then when you go away, you may leave one or two of my sisters behind you; and I dare say I shall get husbands for them before the winter is over."	false	1035.41	1042.15	19
318_124164_000040_000000	"I thank you for my share of the favour," said Elizabeth; "but I do not particularly like your way of getting husbands."	"I thank you for my share of the favour," said Elizabeth; "but I do not particularly like your way of getting husbands."	true	1042.85	1049.32	24.905396
318_124164_000041_000000	Their visitors were not to remain above ten days with them.	Their visitors were not to remain above ten days with them.	true	1051.16	1053.83	20.84622
318_124164_000041_000001	Mr. Wickham had received his commission before he left London, and he was to join his regiment at the end of a fortnight.	mr Wickham had received his commission before he left London, and he was to join his regiment at the end of a fortnight.	true	1053.83	1059.49	21.409613
318_124164_000042_000000	No one but Mrs. Bennet regretted that their stay would be so short; and she made the most of the time by visiting about with her daughter, and having very frequent parties at home.	No one but mrs Bennet regretted that their stay would be so short; and she made the most of the time by visiting about with her daughter, and having very frequent parties at home.	false	1060.28	1069.12	20.325089
318_124164_000042_000001	These parties were acceptable to all; to avoid a family circle was even more desirable to such as did think, than such as did not.	These parties were acceptable to all; to avoid a family circle was even more desirable to such as did think, than such as did not.	true	1069.28	1076.62	23.481855
318_124164_000043_000000	Wickham's affection for Lydia was just what Elizabeth had expected to find it; not equal to Lydia's for him.	Wickham's affection for Lydia was just what Elizabeth had expected to find it; not equal to Lydia's for him.	false	1078.73	1084.35	21.929817
318_124164_000043_000001	She had scarcely needed her present observation to be satisfied, from the reason of things, that their elopement had been brought on by the strength of her love, rather than by his; and she would have wondered why, without violently caring for her, he chose to elope with her at all, had she not felt certain that his flight was rendered necessary by distress of circumstances; and if that were the case, he was not the young man to resist an opportunity of having a companion.	She had scarcely needed her present observation to be satisfied, from the reason of things, that their elopement had been brought on by the strength of her love, rather than by his; and she would have wondered why, without violently caring for her, he chose to elope with her at all, had she not felt certain that his flight was rendered necessary by distress of circumstances; and if that were the case, he was not the young man to resist an opportunity of having a companion.	false	1084.35	1107.73	21.724686
318_124164_000044_000000	Lydia was exceedingly fond of him.	Lydia was exceedingly fond of him.	false	1109.66	1111.6	18.063826
318_124164_000044_000001	He was her dear Wickham on every occasion; no one was to be put in competition with him.	He was her dear Wickham on every occasion; no one was to be put in competition with him.	false	1111.82	1116.22	21.381916
318_124164_000044_000002	He did every thing best in the world; and she was sure he would kill more birds on the first of September, than any body else in the country.	He did every thing best in the world; and she was sure he would kill more birds on the first of September, than any body else in the country.	true	1116.41	1122.67	19
318_124164_000045_000000	One morning, soon after their arrival, as she was sitting with her two elder sisters, she said to Elizabeth:	One morning, soon after their arrival, as she was sitting with her two elder sisters, she said to Elizabeth:	true	1124.09	1129.18	21
318_124164_000046_000000	"Lizzy, I never gave _you_ an account of my wedding, I believe.	"Lizzy, I never gave underscore you underscore an account of my wedding, I believe.	false	1129.76	1133.74	21.616278
318_124164_000046_000001	You were not by, when I told mamma and the others all about it.	You were not by, when I told mamma and the others all about it.	true	1133.74	1136.65	21.497341
318_124164_000046_000002	Are not you curious to hear how it was managed?"	Are not you curious to hear how it was managed?"	true	1137.23	1139.59	20.889315
318_124164_000047_000000	"No really," replied Elizabeth; "I think there cannot be too little said on the subject."	"No really," replied Elizabeth; "I think there cannot be too little said on the subject."	true	1141.16	1145.97	20.222206
318_124164_000048_000000	"La!	"La!	false	1145.97	1146.54	-5
318_124164_000048_000001	You are so strange!	You are so strange!	false	1146.54	1149.13	18.337223
318_124164_000048_000002	But I must tell you how it went off.	But I must tell you how it went off.	true	1149.14	1150.88	22.107374
318_124164_000048_000003	We were married, you know, at St. Clement's, because Wickham's lodgings were in that parish.	We were married, you know, at saint Clement's, because Wickham's lodgings were in that parish.	true	1150.88	1155.52	21.44864
318_124164_000048_000004	And it was settled that we should all be there by eleven o'clock.	And it was settled that we should all be there by eleven o'clock.	true	1155.77	1158.64	23.367735
318_124164_000048_000005	My uncle and aunt and I were to go together; and the others were to meet us at the church.	My uncle and aunt and I were to go together; and the others were to meet us at the church.	true	1158.65	1162.75	20.647453
318_124164_000048_000006	Well, Monday morning came, and I was in such a fuss!	Well, Monday morning came, and I was in such a fuss!	true	1162.97	1165.68	21
318_124164_000048_000007	I was so afraid, you know, that something would happen to put it off, and then I should have gone quite distracted.	I was so afraid, you know, that something would happen to put it off, and then I should have gone quite distracted.	false	1165.68	1170.96	21.131126
318_124164_000048_000008	And there was my aunt, all the time I was dressing, preaching and talking away just as if she was reading a sermon.	And there was my aunt, all the time I was dressing, preaching and talking away just as if she was reading a sermon.	false	1170.96	1177.09	20.860678
318_124164_000048_000009	However, I did not hear above one word in ten, for I was thinking, you may suppose, of my dear Wickham.	However, I did not hear above one word in ten, for I was thinking, you may suppose, of my dear Wickham.	false	1177.55	1183.09	21
318_124164_000048_000010	I longed to know whether he would be married in his blue coat."	I longed to know whether he would be married in his blue coat."	true	1183.49	1186.42	26.074436
318_124164_000049_000000	"Well, and so we breakfasted at ten as usual; I thought it would never be over; for, by the bye, you are to understand, that my uncle and aunt were horrid unpleasant all the time I was with them.	"Well, and so we breakfasted at ten as usual; I thought it would never be over; for, by the bye, you are to understand, that my uncle and aunt were horrid unpleasant all the time I was with them.	false	1187.39	1196.4	20
318_124164_000049_000001	If you'll believe me, I did not once put my foot out of doors, though I was there a fortnight.	If you'll believe me, I did not once put my foot out of doors, though I was there a fortnight.	false	1196.4	1201.57	22.858015
318_124164_000049_000002	Not one party, or scheme, or anything.	Not one party, or scheme, or anything.	true	1202	1204.6	23
318_124164_000049_000003	To be sure London was rather thin, but, however, the Little Theatre was open.	To be sure London was rather thin, but, however, the Little Theatre was open.	true	1205.06	1208.98	18.421743
318_124164_000049_000004	Well, and so just as the carriage came to the door, my uncle was called away upon business to that horrid man Mr. Stone.	Well, and so just as the carriage came to the door, my uncle was called away upon business to that horrid man mr Stone.	true	1209.44	1215.19	18
318_124164_000049_000005	And then, you know, when once they get together, there is no end of it.	And then, you know, when once they get together, there is no end of it.	false	1215.35	1218.85	24.112226
318_124164_000049_000006	Well, I was so frightened I did not know what to do, for my uncle was to give me away; and if we were beyond the hour, we could not be married all day.	Well, I was so frightened I did not know what to do, for my uncle was to give me away; and if we were beyond the hour, we could not be married all day.	true	1219.16	1225.87	19
318_124164_000049_000007	But, luckily, he came back again in ten minutes' time, and then we all set out.	But, luckily, he came back again in ten minutes' time, and then we all set out.	true	1226.63	1230.46	21.832333
318_124164_000049_000008	However, I recollected afterwards that if he had been prevented going, the wedding need not be put off, for Mr. Darcy might have done as well."	However, I recollected afterwards that if he had been prevented going, the wedding need not be put off, for mr Darcy might have done as well."	false	1231.13	1237.39	23.367807
318_124164_000050_000000	"Mr. Darcy!" repeated Elizabeth, in utter amazement.	"mr Darcy!" repeated Elizabeth, in utter amazement.	true	1238.69	1242.52	24.66417
318_124164_000051_000000	"Oh, yes!--he was to come there with Wickham, you know.	"Oh, yes!--he was to come there with Wickham, you know.	true	1243.28	1246.03	23.435047
318_124164_000051_000001	But gracious me!	But gracious me!	true	1246.25	1247.2	23.50588
318_124164_000051_000002	I quite forgot!	I quite forgot!	true	1247.2	1248.02	26.279057
318_124164_000051_000003	I ought not to have said a word about it.	I ought not to have said a word about it.	false	1248.02	1249.62	21
318_124164_000051_000004	I promised them so faithfully!	I promised them so faithfully!	true	1249.62	1251.51	25.173357
318_124164_000051_000005	What will Wickham say?	What will Wickham say?	false	1251.51	1252.59	13
318_124164_000051_000006	It was to be such a secret!"	It was to be such a secret!"	true	1252.59	1253.89	19.963198
318_124164_000052_000000	"If it was to be secret," said Jane, "say not another word on the subject.	"If it was to be secret," said Jane, "say not another word on the subject.	true	1254.62	1259.38	21.42964
318_124164_000052_000001	You may depend upon my seeking no further."	You may depend upon my seeking no further."	true	1259.38	1261.6	21.619926
318_124164_000053_000000	"Oh! certainly," said Elizabeth, though burning with curiosity; "we will ask you no questions."	"Oh! certainly," said Elizabeth, though burning with curiosity; "we will ask you no questions."	true	1262.78	1268.95	20.905512
318_124164_000054_000000	"Thank you," said Lydia, "for if you did, I should certainly tell you all, and then Wickham would be angry."	"Thank you," said Lydia, "for if you did, I should certainly tell you all, and then Wickham would be angry."	true	1270.46	1275.58	22.932678
318_124164_000055_000000	On such encouragement to ask, Elizabeth was forced to put it out of her power, by running away.	On such encouragement to ask, Elizabeth was forced to put it out of her power, by running away.	true	1277.06	1282.06	20
318_124164_000056_000000	But to live in ignorance on such a point was impossible; or at least it was impossible not to try for information.	But to live in ignorance on such a point was impossible; or at least it was impossible not to try for information.	true	1283.57	1289.05	21.203426
318_124164_000056_000001	Mr. Darcy had been at her sister's wedding.	mr Darcy had been at her sister's wedding.	true	1289.48	1291.66	19
318_124164_000056_000002	It was exactly a scene, and exactly among people, where he had apparently least to do, and least temptation to go. Conjectures as to the meaning of it, rapid and wild, hurried into her brain; but she was satisfied with none.	It was exactly a scene, and exactly among people, where he had apparently least to do, and least temptation to go. Conjectures as to the meaning of it, rapid and wild, hurried into her brain; but she was satisfied with none.	false	1291.79	1305.49	22.700197
318_124164_000056_000003	Those that best pleased her, as placing his conduct in the noblest light, seemed most improbable.	Those that best pleased her, as placing his conduct in the noblest light, seemed most improbable.	true	1305.95	1311.13	19.822582
318_124164_000056_000004	She could not bear such suspense; and hastily seizing a sheet of paper, wrote a short letter to her aunt, to request an explanation of what Lydia had dropt, if it were compatible with the secrecy which had been intended.	She could not bear such suspense; and hastily seizing a sheet of paper, wrote a short letter to her aunt, to request an explanation of what Lydia had dropt, if it were compatible with the secrecy which had been intended.	false	1311.35	1322.29	20.170109
318_124164_000057_000000	"You may readily comprehend," she added, "what my curiosity must be to know how a person unconnected with any of us, and (comparatively speaking) a stranger to our family, should have been amongst you at such a time.	"You may readily comprehend," she added, "what my curiosity must be to know how a person unconnected with any of us, and (comparatively speaking) a stranger to our family, should have been amongst you at such a time.	true	1323.56	1335.13	20.797688
318_124164_000057_000001	Pray write instantly, and let me understand it--unless it is, for very cogent reasons, to remain in the secrecy which Lydia seems to think necessary; and then I must endeavour to be satisfied with ignorance."	Pray write instantly, and let me understand it-unless it is, for very cogent reasons, to remain in the secrecy which Lydia seems to think necessary; and then I must endeavour to be satisfied with ignorance."	false	1335.5	1346.08	19.849222
318_124164_000058_000000	"Not that I _shall_, though," she added to herself, as she finished the letter; "and my dear aunt, if you do not tell me in an honourable manner, I shall certainly be reduced to tricks and stratagems to find it out."	"Not that I underscore shall underscore, though," she added to herself, as she finished the letter; "and my dear aunt, if you do not tell me in an honourable manner, I shall certainly be reduced to tricks and stratagems to find it out."	false	1347.71	1358.92	18.994112
318_124164_000059_000000	Jane's delicate sense of honour would not allow her to speak to Elizabeth privately of what Lydia had let fall; Elizabeth was glad of it;--till it appeared whether her inquiries would receive any satisfaction, she had rather be without a confidante.	Jane's delicate sense of honour would not allow her to speak to Elizabeth privately of what Lydia had let fall; Elizabeth was glad of it;--till it appeared whether her inquiries would receive any satisfaction, she had rather be without a confidante.	false	1360.37	1379.13	21.74195
