258_130878_000000_000000	CHAPTER 24	CHAPTER twenty four	true	23.655	25.12	18
258_130878_000068_000000	Then the funeral party went back up the path to the Nautilus, returning beneath the arches of the forest, through the thickets, along the coral bushes, going steadily higher.	Then the funeral party went back up the path to the Nautilus, returning beneath the arches of the forest, through the thickets, along the coral bushes, going steadily higher.	true	1049.96	1059.7	21.542305
258_130878_000069_000000	Finally the ship's rays appeared.	Finally the ship's rays appeared.	true	1060.19	1062.34	21.895111
258_130878_000069_000001	Their luminous trail guided us to the Nautilus.	Their luminous trail guided us to the Nautilus.	true	1062.5	1065.22	20
258_130878_000069_000002	By one o'clock we had returned.	By one o'clock we had returned.	true	1065.68	1067.98	24.356945
258_130878_000070_000000	After changing clothes, I climbed onto the platform, and in the grip of dreadfully obsessive thoughts, I sat next to the beacon.	After changing clothes, I climbed onto the platform, and in the grip of dreadfully obsessive thoughts, I sat next to the beacon.	true	1070.6	1077.94	21.02491
258_130878_000071_000000	Captain Nemo rejoined me.	Captain Nemo rejoined me.	true	1078.91	1080.67	20.260693
258_130878_000071_000001	I stood up and said to him:	I stood up and said to him:	true	1081.16	1082.76	19.840324
258_130878_000072_000000	"So, as I predicted, that man died during the night?"	"So, as I predicted, that man died during the night?"	true	1082.76	1086.43	22.391247
258_130878_000073_000000	"Yes, Professor Aronnax," Captain Nemo replied.	"Yes, Professor Aronnax," Captain Nemo replied.	true	1087.31	1090.3	21.53347
258_130878_000074_000000	"And now he rests beside his companions in that coral cemetery?"	"And now he rests beside his companions in that coral cemetery?"	true	1091.39	1095.13	20.322931
258_130878_000075_000000	"Yes, forgotten by the world but not by us!	"Yes, forgotten by the world but not by us!	true	1095.83	1099.54	21.775482
258_130878_000075_000001	We dig the graves, then entrust the polyps with sealing away our dead for eternity!"	We dig the graves, then entrust the polyps with sealing away our dead for eternity!"	true	1100.18	1104.94	21.25178
258_130878_000076_000000	And with a sudden gesture, the captain hid his face in his clenched fists, vainly trying to hold back a sob.	And with a sudden gesture, the captain hid his face in his clenched fists, vainly trying to hold back a sob.	false	1105.31	1111.9	19.51077
258_130878_000076_000001	Then he added:	Then he added:	true	1112.45	1113.52	19.572126
258_130878_000077_000000	"There lies our peaceful cemetery, hundreds of feet beneath the surface of the waves!"	"There lies our peaceful cemetery, hundreds of feet beneath the surface of the waves!"	true	1113.77	1118.89	21.733711
258_130878_000078_000000	"At least, captain, your dead can sleep serenely there, out of the reach of sharks!"	"At least, captain, your dead can sleep serenely there, out of the reach of sharks!"	true	1119.68	1124.62	23.477926
258_130878_000079_000000	"Yes, sir," Captain Nemo replied solemnly, "of sharks and men!"	"Yes, sir," Captain Nemo replied solemnly, "of sharks and men!"	true	1125.38	1130.11	20.762257
258_130878_000080_000000	END OF THE FIRST PART	END OF THE FIRST PART	false	1132.4	1133.07	23.188646
258_130878_000081_000000	*Author's Note: About 106 meters.	asterisk Author's Note: About one hundred six meters.	false	1133.07	1133.46	19
258_130878_000081_000001	An English foot is only 30.4 centimeters. *German: "Bulletin." Ed. *Author's Note: A pier is a type of wharf expressly set aside for an individual vessel. *Author's Note: Tenders are small steamboats that assist the big liners. *Author's Note: A Bowie knife is a wide-bladed dagger that Americans are forever carrying around. *Author's Note: A steward is a waiter on board a steamer. *Latin: nemo means "no one." Ed. *Latin: "in a class by itself." Ed. **Author's Note: And sure enough, there's now talk of such a discovery, in which a new set of levers generates considerable power.	An English foot is only thirty point four centimeters. asterisk German: "Bulletin." Ed. asterisk Author's Note: A pier is a type of wharf expressly set aside for an individual vessel. asterisk Author's Note: Tenders are small steamboats that assist the big liners. asterisk Author's Note: A Bowie knife is a wide bladed dagger that Americans are forever carrying around. asterisk Author's Note: A steward is a waiter on board a steamer. asterisk Latin: nemo means "no one." Ed. asterisk Latin: "in a class by itself." Ed. asterisk asterisk Author's Note: And sure enough, there's now talk of such a discovery, in which a new set of levers generates considerable power.	false	1133.46	1139.52	22.761644
258_130878_000081_000002	Did its inventor meet up with Captain Nemo? *Author's Note: "Ladyfingers" are small, thin, white clouds with ragged edges. *Latin: a spigot "just for that purpose." Ed. *Latin: "troubled dreams." Ed. 2 · Twenty Thousand Leagues Under the Seas	Did its inventor meet up with Captain Nemo? asterisk Author's Note: "Ladyfingers" are small, thin, white clouds with ragged edges. asterisk Latin: a spigot "just for that purpose." Ed. asterisk Latin: "troubled dreams." Ed. two · Twenty Thousand Leagues Under the Seas	false	1139.52	1143.45	21.208872
