3180_138043_000000_000000	CHAPTER XXXIII.	CHAPTER thirty three.	false	5.76	42.345	20.805935
3180_138043_000033_000008	As he was clinging to a branch, however, half-way up in his struggle to reach the top, the bough, such was his ill-luck and hard fate, gave way, and caught in his fall by a broken limb of the oak, he hung suspended in the air unable to reach the ground. Finding himself in this position, and that the green coat was beginning to tear, and reflecting that if the fierce animal came that way he might be able to get at him, he began to utter such cries, and call for help so earnestly, that all who heard him and did not see him felt sure he must be in the teeth of some wild beast.	As he was clinging to a branch, however, half-way up in his struggle to reach the top, the bough, such was his ill luck and hard fate, gave way, and caught in his fall by a broken limb of the oak, he hung suspended in the air unable to reach the ground. Finding himself in this position, and that the green coat was beginning to tear, and reflecting that if the fierce animal came that way he might be able to get at him, he began to utter such cries, and call for help so earnestly, that all who heard him and did not see him felt sure he must be in the teeth of some wild beast.	false	1387.22	1429.54	20.368595
3180_138043_000033_000009	In the end the tusked boar fell pierced by the blades of the many spears they held in front of him; and Don Quixote, turning round at the cries of Sancho, for he knew by them that it was he, saw him hanging from the oak head downwards, with Dapple, who did not forsake him in his distress, close beside him; and Cide Hamete observes that he seldom saw Sancho Panza without seeing Dapple, or Dapple without seeing Sancho Panza; such was their attachment and loyalty one to the other.	In the end the tusked boar fell pierced by the blades of the many spears they held in front of him; and Don Quixote, turning round at the cries of Sancho, for he knew by them that it was he, saw him hanging from the oak head downwards, with Dapple, who did not forsake him in his distress, close beside him; and Cide Hamete observes that he seldom saw Sancho Panza without seeing Dapple, or Dapple without seeing Sancho Panza; such was their attachment and loyalty one to the other.	false	1431.47	1467.79	19.916296
3180_138043_000033_000010	Don Quixote went over and unhooked Sancho, who, as soon as he found himself on the ground, looked at the rent in his huntingcoat and was grieved to the heart, for he thought he had got a patrimonial estate in that suit.	Don Quixote went over and unhooked Sancho, who, as soon as he found himself on the ground, looked at the rent in his huntingcoat and was grieved to the heart, for he thought he had got a patrimonial estate in that suit.	true	1469.15	1483.69	20.54058
3180_138043_000034_000000	Meanwhile they had slung the mighty boar across the back of a mule, and having covered it with sprigs of rosemary and branches of myrtle, they bore it away as the spoils of victory to some large field-tents which had been pitched in the middle of the wood, where they found the tables laid and dinner served, in such grand and sumptuous style that it was easy to see the rank and magnificence of those who had provided it.	Meanwhile they had slung the mighty boar across the back of a mule, and having covered it with sprigs of rosemary and branches of myrtle, they bore it away as the spoils of victory to some large field tents which had been pitched in the middle of the wood, where they found the tables laid and dinner served, in such grand and sumptuous style that it was easy to see the rank and magnificence of those who had provided it.	false	1486.19	1513.12	20.058891
3180_138043_000034_000001	Sancho, as he showed the rents in his torn suit to the duchess, observed, "If we had been hunting hares, or after small birds, my coat would have been safe from being in the plight it's in; I don't know what pleasure one can find in lying in wait for an animal that may take your life with his tusk if he gets at you.	Sancho, as he showed the rents in his torn suit to the duchess, observed, "If we had been hunting hares, or after small birds, my coat would have been safe from being in the plight it's in; I don't know what pleasure one can find in lying in wait for an animal that may take your life with his tusk if he gets at you.	true	1515.08	1534.78	19
3180_138043_000034_000002	I recollect having heard an old ballad sung that says,	I recollect having heard an old ballad sung that says,	true	1536.11	1539.91	18
3180_138043_000035_000000	By bears be thou devoured, as erst Was famous Favila."	By bears be thou devoured, as erst Was famous Favila."	true	1540.37	1547.71	19.847853
3180_138043_000036_000000	"That," said Don Quixote, "was a Gothic king, who, going a-hunting, was devoured by a bear."	"That," said Don Quixote, "was a Gothic king, who, going a hunting, was devoured by a bear."	true	1549.79	1557.52	21.1585
3180_138043_000037_000000	"Just so," said Sancho; "and I would not have kings and princes expose themselves to such dangers for the sake of a pleasure which, to my mind, ought not to be one, as it consists in killing an animal that has done no harm whatever."	"Just so," said Sancho; "and I would not have kings and princes expose themselves to such dangers for the sake of a pleasure which, to my mind, ought not to be one, as it consists in killing an animal that has done no harm whatever."	true	1558.43	1574.2	19.915857
3180_138043_000038_000000	"Quite the contrary, Sancho; you are wrong there," said the duke; "for hunting is more suitable and requisite for kings and princes than for anybody else.	"Quite the contrary, Sancho; you are wrong there," said the duke; "for hunting is more suitable and requisite for kings and princes than for anybody else.	false	1575.02	1584.91	18
3180_138043_000038_000001	The chase is the emblem of war; it has stratagems, wiles, and crafty devices for overcoming the enemy in safety; in it extreme cold and intolerable heat have to be borne, indolence and sleep are despised, the bodily powers are invigorated, the limbs of him who engages in it are made supple, and, in a word, it is a pursuit which may be followed without injury to anyone and with enjoyment to many; and the best of it is, it is not for everybody, as field-sports of other sorts are, except hawking, which also is only for kings and great lords.	The chase is the emblem of war; it has stratagems, wiles, and crafty devices for overcoming the enemy in safety; in it extreme cold and intolerable heat have to be borne, indolence and sleep are despised, the bodily powers are invigorated, the limbs of him who engages in it are made supple, and, in a word, it is a pursuit which may be followed without injury to anyone and with enjoyment to many; and the best of it is, it is not for everybody, as field sports of other sorts are, except hawking, which also is only for kings and great lords.	true	1585.25	1625.8	19.9911
3180_138043_000038_000002	Reconsider your opinion therefore, Sancho, and when you are governor take to hunting, and you will find the good of it."	Reconsider your opinion therefore, Sancho, and when you are governor take to hunting, and you will find the good of it."	true	1626.35	1634.73	19.266731
3180_138043_000039_000000	"Nay," said Sancho, "the good governor should have a broken leg and keep at home;" it would be a nice thing if, after people had been at the trouble of coming to look for him on business, the governor were to be away in the forest enjoying himself; the government would go on badly in that fashion.	"Nay," said Sancho, "the good governor should have a broken leg and keep at home;" it would be a nice thing if, after people had been at the trouble of coming to look for him on business, the governor were to be away in the forest enjoying himself; the government would go on badly in that fashion.	false	1634.73	1656.1	18.756237
3180_138043_000039_000001	By my faith, senor, hunting and amusements are more fit for idlers than for governors; what I intend to amuse myself with is playing all fours at Eastertime, and bowls on Sundays and holidays; for these huntings don't suit my condition or agree with my conscience."	By my faith, senor, hunting and amusements are more fit for idlers than for governors; what I intend to amuse myself with is playing all fours at Eastertime, and bowls on Sundays and holidays; for these huntings don't suit my condition or agree with my conscience."	true	1656.71	1675.3	19.214453
3180_138043_000040_000000	"God grant it may turn out so," said the duke; "because it's a long step from saying to doing."	"God grant it may turn out so," said the duke; "because it's a long step from saying to doing."	false	1676.03	1682.71	19.91461
3180_138043_000041_000000	"Be that as it may," said Sancho, "'pledges don't distress a good payer,' and 'he whom God helps does better than he who gets up early,' and 'it's the tripes that carry the feet and not the feet the tripes;' I mean to say that if God gives me help and I do my duty honestly, no doubt I'll govern better than a gerfalcon.	"Be that as it may," said Sancho, "'pledges don't distress a good payer,' and 'he whom God helps does better than he who gets up early,' and 'it's the tripes that carry the feet and not the feet the tripes;' I mean to say that if God gives me help and I do my duty honestly, no doubt I'll govern better than a gerfalcon.	true	1683.56	1708	19.77918
3180_138043_000041_000001	Nay, let them only put a finger in my mouth, and they'll see whether I can bite or not."	Nay, let them only put a finger in my mouth, and they'll see whether I can bite or not."	true	1708.52	1716.67	19.663256
3180_138043_000042_000000	"The curse of God and all his saints upon thee, thou accursed Sancho!" exclaimed Don Quixote; "when will the day come--as I have often said to thee--when I shall hear thee make one single coherent, rational remark without proverbs?	"The curse of God and all his saints upon thee, thou accursed Sancho!" exclaimed Don Quixote; "when will the day come-as I have often said to thee-when I shall hear thee make one single coherent, rational remark without proverbs?	false	1717.16	1732.42	20.107676
3180_138043_000042_000001	Pray, your highnesses, leave this fool alone, for he will grind your souls between, not to say two, but two thousand proverbs, dragged in as much in season, and as much to the purpose as--may God grant as much health to him, or to me if I want to listen to them!"	Pray, your highnesses, leave this fool alone, for he will grind your souls between, not to say two, but two thousand proverbs, dragged in as much in season, and as much to the purpose as-may God grant as much health to him, or to me if I want to listen to them!"	false	1732.64	1752.97	18.775957
3180_138043_000043_000000	"Sancho Panza's proverbs," said the duchess, "though more in number than the Greek Commander's, are not therefore less to be esteemed for the conciseness of the maxims.	"Sancho Panza's proverbs," said the duchess, "though more in number than the Greek Commander's, are not therefore less to be esteemed for the conciseness of the maxims.	true	1754.87	1766.32	17
3180_138043_000043_000001	For my own part, I can say they give me more pleasure than others that may be better brought in and more seasonably introduced."	For my own part, I can say they give me more pleasure than others that may be better brought in and more seasonably introduced."	true	1766.72	1774.87	14
3180_138043_000044_000000	In pleasant conversation of this sort they passed out of the tent into the wood, and the day was spent in visiting some of the posts and hiding-places, and then night closed in, not, however, as brilliantly or tranquilly as might have been expected at the season, for it was then midsummer; but bringing with it a kind of haze that greatly aided the project of the duke and duchess; and thus, as night began to fall, and a little after twilight set in, suddenly the whole wood on all four sides seemed to be on fire, and shortly after, here, there, on all sides, a vast number of trumpets and other military instruments were heard, as if several troops of cavalry were passing through the wood.	In pleasant conversation of this sort they passed out of the tent into the wood, and the day was spent in visiting some of the posts and hiding places, and then night closed in, not, however, as brilliantly or tranquilly as might have been expected at the season, for it was then midsummer; but bringing with it a kind of haze that greatly aided the project of the duke and duchess; and thus, as night began to fall, and a little after twilight set in, suddenly the whole wood on all four sides seemed to be on fire, and shortly after, here, there, on all sides, a vast number of trumpets and other military instruments were heard, as if several troops of cavalry were passing through the wood.	false	1777.4	1824.16	19.138731
3180_138043_000044_000001	The blaze of the fire and the noise of the warlike instruments almost blinded the eyes and deafened the ears of those that stood by, and indeed of all who were in the wood.	The blaze of the fire and the noise of the warlike instruments almost blinded the eyes and deafened the ears of those that stood by, and indeed of all who were in the wood.	true	1824.98	1835.44	15
3180_138043_000044_000002	Then there were heard repeated lelilies after the fashion of the Moors when they rush to battle; trumpets and clarions brayed, drums beat, fifes played, so unceasingly and so fast that he could not have had any senses who did not lose them with the confused din of so many instruments.	Then there were heard repeated lelilies after the fashion of the Moors when they rush to battle; trumpets and clarions brayed, drums beat, fifes played, so unceasingly and so fast that he could not have had any senses who did not lose them with the confused din of so many instruments.	false	1836.68	1859.29	18.177948
3180_138043_000044_000003	The duke was astounded, the duchess amazed, Don Quixote wondering, Sancho Panza trembling, and indeed, even they who were aware of the cause were frightened.	The duke was astounded, the duchess amazed, Don Quixote wondering, Sancho Panza trembling, and indeed, even they who were aware of the cause were frightened.	false	1861.25	1873.29	19.813549
3180_138043_000044_000004	In their fear, silence fell upon them, and a postillion, in the guise of a demon, passed in front of them, blowing, in lieu of a bugle, a huge hollow horn that gave out a horrible hoarse note.	In their fear, silence fell upon them, and a postillion, in the guise of a demon, passed in front of them, blowing, in lieu of a bugle, a huge hollow horn that gave out a horrible hoarse note.	true	1873.29	1887.1	20.115158
3180_138043_000045_000000	"Ho there! brother courier," cried the duke, "who are you?	"Ho there! brother courier," cried the duke, "who are you?	true	1887.68	1891.84	21.265583
3180_138043_000045_000001	Where are you going?	Where are you going?	false	1892.12	1893.36	22.304186
3180_138043_000045_000002	What troops are these that seem to be passing through the wood?"	What troops are these that seem to be passing through the wood?"	true	1893.36	1896.34	17
3180_138043_000046_000000	To which the courier replied in a harsh, discordant voice, "I am the devil; I am in search of Don Quixote of La Mancha; those who are coming this way are six troops of enchanters, who are bringing on a triumphal car the peerless Dulcinea del Toboso; she comes under enchantment, together with the gallant Frenchman Montesinos, to give instructions to Don Quixote as to how, she the said lady, may be disenchanted."	To which the courier replied in a harsh, discordant voice, "I am the devil; I am in search of Don Quixote of La Mancha; those who are coming this way are six troops of enchanters, who are bringing on a triumphal car the peerless Dulcinea del Toboso; she comes under enchantment, together with the gallant Frenchman Montesinos, to give instructions to Don Quixote as to how, she the said lady, may be disenchanted."	true	1897.16	1929.82	20.534311
3180_138043_000047_000000	"If you were the devil, as you say and as your appearance indicates," said the duke, "you would have known the said knight Don Quixote of La Mancha, for you have him here before you."	"If you were the devil, as you say and as your appearance indicates," said the duke, "you would have known the said knight Don Quixote of La Mancha, for you have him here before you."	false	1931.3	1942.99	19.823423
3180_138043_000048_000000	"By God and upon my conscience," said the devil, "I never observed it, for my mind is occupied with so many different things that I was forgetting the main thing I came about."	"By God and upon my conscience," said the devil, "I never observed it, for my mind is occupied with so many different things that I was forgetting the main thing I came about."	true	1944.17	1956.4	20.06748
3180_138043_000049_000000	"This demon must be an honest fellow and a good Christian," said Sancho; "for if he wasn't he wouldn't swear by God and his conscience; I feel sure now there must be good souls even in hell itself."	"This demon must be an honest fellow and a good Christian," said Sancho; "for if he wasn't he wouldn't swear by God and his conscience; I feel sure now there must be good souls even in hell itself."	true	1957.79	1970.68	20.014204
3180_138043_000050_000000	Without dismounting, the demon then turned to Don Quixote and said, "The unfortunate but valiant knight Montesinos sends me to thee, the Knight of the Lions (would that I saw thee in their claws), bidding me tell thee to wait for him wherever I may find thee, as he brings with him her whom they call Dulcinea del Toboso, that he may show thee what is needful in order to disenchant her; and as I came for no more I need stay no longer; demons of my sort be with thee, and good angels with these gentles;" and so saying he blew his huge horn, turned about and went off without waiting for a reply from anyone.	Without dismounting, the demon then turned to Don Quixote and said, "The unfortunate but valiant knight Montesinos sends me to thee, the Knight of the Lions (would that I saw thee in their claws), bidding me tell thee to wait for him wherever I may find thee, as he brings with him her whom they call Dulcinea del Toboso, that he may show thee what is needful in order to disenchant her; and as I came for no more I need stay no longer; demons of my sort be with thee, and good angels with these gentles;" and so saying he blew his huge horn, turned about and went off without waiting for a reply from anyone.	false	1972.1	2018.23	19.905056
3180_138043_000051_000000	They all felt fresh wonder, but particularly Sancho and Don Quixote; Sancho to see how, in defiance of the truth, they would have it that Dulcinea was enchanted; Don Quixote because he could not feel sure whether what had happened to him in the cave of Montesinos was true or not; and as he was deep in these cogitations the duke said to him, "Do you mean to wait, Senor Don Quixote?"	They all felt fresh wonder, but particularly Sancho and Don Quixote; Sancho to see how, in defiance of the truth, they would have it that Dulcinea was enchanted; Don Quixote because he could not feel sure whether what had happened to him in the cave of Montesinos was true or not; and as he was deep in these cogitations the duke said to him, "Do you mean to wait, Senor Don Quixote?"	false	2020.97	2049.43	19.68058
3180_138043_000052_000000	"Why not?" replied he; "here will I wait, fearless and firm, though all hell should come to attack me."	"Why not?" replied he; "here will I wait, fearless and firm, though all hell should come to attack me."	false	2050.19	2057.41	19.149557
3180_138043_000053_000000	"Well then, if I see another devil or hear another horn like the last, I'll wait here as much as in Flanders," said Sancho.	"Well then, if I see another devil or hear another horn like the last, I'll wait here as much as in Flanders," said Sancho.	false	2058.56	2067.85	19.652061
3180_138043_000054_000000	Night now closed in more completely, and many lights began to flit through the wood, just as those fiery exhalations from the earth, that look like shooting-stars to our eyes, flit through the heavens; a frightful noise, too, was heard, like that made by the solid wheels the ox-carts usually have, by the harsh, ceaseless creaking of which, they say, the bears and wolves are put to flight, if there happen to be any where they are passing.	Night now closed in more completely, and many lights began to flit through the wood, just as those fiery exhalations from the earth, that look like shooting stars to our eyes, flit through the heavens; a frightful noise, too, was heard, like that made by the solid wheels the ox carts usually have, by the harsh, ceaseless creaking of which, they say, the bears and wolves are put to flight, if there happen to be any where they are passing.	false	2069.66	2099.95	20.313923
3180_138043_000054_000001	In addition to all this commotion, there came a further disturbance to increase the tumult, for now it seemed as if in truth, on all four sides of the wood, four encounters or battles were going on at the same time; in one quarter resounded the dull noise of a terrible cannonade, in another numberless muskets were being discharged, the shouts of the combatants sounded almost close at hand, and farther away the Moorish lelilies were raised again and again.	In addition to all this commotion, there came a further disturbance to increase the tumult, for now it seemed as if in truth, on all four sides of the wood, four encounters or battles were going on at the same time; in one quarter resounded the dull noise of a terrible cannonade, in another numberless muskets were being discharged, the shouts of the combatants sounded almost close at hand, and farther away the Moorish lelilies were raised again and again.	false	2100.65	2134.6	19.402246
3180_138043_000054_000002	In a word, the bugles, the horns, the clarions, the trumpets, the drums, the cannon, the musketry, and above all the tremendous noise of the carts, all made up together a din so confused and terrific that Don Quixote had need to summon up all his courage to brave it; but Sancho's gave way, and he fell fainting on the skirt of the duchess's robe, who let him lie there and promptly bade them throw water in his face.	In a word, the bugles, the horns, the clarions, the trumpets, the drums, the cannon, the musketry, and above all the tremendous noise of the carts, all made up together a din so confused and terrific that Don Quixote had need to summon up all his courage to brave it; but Sancho's gave way, and he fell fainting on the skirt of the duchess's robe, who let him lie there and promptly bade them throw water in his face.	true	2135.03	2163.01	20.294073
3180_138043_000054_000003	This was done, and he came to himself by the time that one of the carts with the creaking wheels reached the spot.	This was done, and he came to himself by the time that one of the carts with the creaking wheels reached the spot.	true	2164.67	2171.65	20
3180_138043_000054_000004	It was drawn by four plodding oxen all covered with black housings; on each horn they had fixed a large lighted wax taper, and on the top of the cart was constructed a raised seat, on which sat a venerable old man with a beard whiter than the very snow, and so long that it fell below his waist; he was dressed in a long robe of black buckram; for as the cart was thickly set with a multitude of candles it was easy to make out everything that was on it.	It was drawn by four plodding oxen all covered with black housings; on each horn they had fixed a large lighted wax taper, and on the top of the cart was constructed a raised seat, on which sat a venerable old man with a beard whiter than the very snow, and so long that it fell below his waist; he was dressed in a long robe of black buckram; for as the cart was thickly set with a multitude of candles it was easy to make out everything that was on it.	false	2172.02	2203.78	19.548304
3180_138043_000054_000005	Leading it were two hideous demons, also clad in buckram, with countenances so frightful that Sancho, having once seen them, shut his eyes so as not to see them again. As soon as the cart came opposite the spot the old man rose from his lofty seat, and standing up said in a loud voice, "I am the sage Lirgandeo," and without another word the cart then passed on.	Leading it were two hideous demons, also clad in buckram, with countenances so frightful that Sancho, having once seen them, shut his eyes so as not to see them again. As soon as the cart came opposite the spot the old man rose from his lofty seat, and standing up said in a loud voice, "I am the sage Lirgandeo," and without another word the cart then passed on.	false	2204.99	2232.61	19.604258
3180_138043_000054_000006	Behind it came another of the same form, with another aged man enthroned, who, stopping the cart, said in a voice no less solemn than that of the first, "I am the sage Alquife, the great friend of Urganda the Unknown," and passed on.	Behind it came another of the same form, with another aged man enthroned, who, stopping the cart, said in a voice no less solemn than that of the first, "I am the sage Alquife, the great friend of Urganda the Unknown," and passed on.	true	2233.19	2253.91	19.8862
3180_138043_000054_000007	Then another cart came by at the same pace, but the occupant of the throne was not old like the others, but a man stalwart and robust, and of a forbidding countenance, who as he came up said in a voice far hoarser and more devilish, "I am the enchanter Archelaus, the mortal enemy of Amadis of Gaul and all his kindred," and then passed on.	Then another cart came by at the same pace, but the occupant of the throne was not old like the others, but a man stalwart and robust, and of a forbidding countenance, who as he came up said in a voice far hoarser and more devilish, "I am the enchanter Archelaus, the mortal enemy of Amadis of Gaul and all his kindred," and then passed on.	true	2255.3	2281.3	21.032024
3180_138043_000054_000008	Having gone a short distance the three carts halted and the monotonous noise of their wheels ceased, and soon after they heard another, not noise, but sound of sweet, harmonious music, of which Sancho was very glad, taking it to be a good sign; and said he to the duchess, from whom he did not stir a step, or for a single instant, "Senora, where there's music there can't be mischief."	Having gone a short distance the three carts halted and the monotonous noise of their wheels ceased, and soon after they heard another, not noise, but sound of sweet, harmonious music, of which Sancho was very glad, taking it to be a good sign; and said he to the duchess, from whom he did not stir a step, or for a single instant, "Senora, where there's music there can't be mischief."	true	2281.82	2310.43	19.811903
3180_138043_000055_000000	"Nor where there are lights and it is bright," said the duchess; to which Sancho replied, "Fire gives light, and it's bright where there are bonfires, as we see by those that are all round us and perhaps may burn us; but music is a sign of mirth and merrymaking."	"Nor where there are lights and it is bright," said the duchess; to which Sancho replied, "Fire gives light, and it's bright where there are bonfires, as we see by those that are all round us and perhaps may burn us; but music is a sign of mirth and merrymaking."	true	2310.83	2329.9	18.880466
3180_138043_000056_000000	"That remains to be seen," said Don Quixote, who was listening to all that passed; and he was right, as is shown in the following chapter.	"That remains to be seen," said Don Quixote, who was listening to all that passed; and he was right, as is shown in the following chapter.	false	2331.65	2343.27	17.704905
3180_138043_000057_000000	CHAPTER XXXV.	CHAPTER thirty five.	false	2343.27	2344.11	17
3180_138043_000058_000000	WHEREIN IS CONTINUED THE INSTRUCTION GIVEN TO DON QUIXOTE TOUCHING THE DISENCHANTMENT OF DULCINEA, TOGETHER WITH OTHER MARVELLOUS INCIDENTS	WHEREIN IS CONTINUED THE INSTRUCTION GIVEN TO DON QUIXOTE TOUCHING THE DISENCHANTMENT OF DULCINEA, TOGETHER WITH OTHER MARVELLOUS INCIDENTS	false	2344.11	2345.82	14.5532
3180_138043_000059_000000	They saw advancing towards them, to the sound of this pleasing music, what they call a triumphal car, drawn by six grey mules with white linen housings, on each of which was mounted a penitent, robed also in white, with a large lighted wax taper in his hand.	They saw advancing towards them, to the sound of this pleasing music, what they call a triumphal car, drawn by six grey mules with white linen housings, on each of which was mounted a penitent, robed also in white, with a large lighted wax taper in his hand.	false	2345.82	2347.92	16.205107
3180_138043_000059_000001	The car was twice or, perhaps, three times as large as the former ones, and in front and on the sides stood twelve more penitents, all as white as snow and all with lighted tapers, a spectacle to excite fear as well as wonder; and on a raised throne was seated a nymph draped in a multitude of silver-tissue veils with an embroidery of countless gold spangles glittering all over them, that made her appear, if not richly, at least brilliantly, apparelled.	The car was twice or, perhaps, three times as large as the former ones, and in front and on the sides stood twelve more penitents, all as white as snow and all with lighted tapers, a spectacle to excite fear as well as wonder; and on a raised throne was seated a nymph draped in a multitude of silver tissue veils with an embroidery of countless gold spangles glittering all over them, that made her appear, if not richly, at least brilliantly, apparelled.	false	2347.92	2348.7	17
3180_138043_000059_000002	She had her face covered with thin transparent sendal, the texture of which did not prevent the fair features of a maiden from being distinguished, while the numerous lights made it possible to judge of her beauty and of her years, which seemed to be not less than seventeen but not to have yet reached twenty.	She had her face covered with thin transparent sendal, the texture of which did not prevent the fair features of a maiden from being distinguished, while the numerous lights made it possible to judge of her beauty and of her years, which seemed to be not less than seventeen but not to have yet reached twenty.	false	2348.7	2349.24	19
3180_138043_000059_000003	Beside her was a figure in a robe of state, as they call it, reaching to the feet, while the head was covered with a black veil.	Beside her was a figure in a robe of state, as they call it, reaching to the feet, while the head was covered with a black veil.	false	2349.24	2349.48	14
3180_138043_000059_000004	But the instant the car was opposite the duke and duchess and Don Quixote the music of the clarions ceased, and then that of the lutes and harps on the car, and the figure in the robe rose up, and flinging it apart and removing the veil from its face, disclosed to their eyes the shape of Death itself, fleshless and hideous, at which sight Don Quixote felt uneasy, Sancho frightened, and the duke and duchess displayed a certain trepidation.	But the instant the car was opposite the duke and duchess and Don Quixote the music of the clarions ceased, and then that of the lutes and harps on the car, and the figure in the robe rose up, and flinging it apart and removing the veil from its face, disclosed to their eyes the shape of Death itself, fleshless and hideous, at which sight Don Quixote felt uneasy, Sancho frightened, and the duke and duchess displayed a certain trepidation.	false	2349.48	2350.23	13
3180_138043_000059_000005	Having risen to its feet, this living death, in a sleepy voice and with a tongue hardly awake, held forth as follows:	Having risen to its feet, this living death, in a sleepy voice and with a tongue hardly awake, held forth as follows:	false	2350.23	2350.44	3
