4238_12895_000000_000000	Yours very sincerely,	Yours very sincerely,	false	1.77	5.31	26.019875
4238_12895_000035_000004	Of course you will take your rifles with you and keep a sharp lookout; but they will have heard the bell, if they are in the neighborhood, and will guess that we are on the alert, so they are not likely to attempt a surprise.	Of course you will take your rifles with you and keep a sharp lookout; but they will have heard the bell, if they are in the neighborhood, and will guess that we are on the alert, so they are not likely to attempt a surprise.	true	1395.44	1413.34	20.681334
4238_12895_000035_000005	Shut one of the gates and leave the other ajar, with the bar handy to put up in case you have to make a run for it.	Shut one of the gates and leave the other ajar, with the bar handy to put up in case you have to make a run for it.	true	1413.8	1420.69	16
4238_12895_000035_000006	Harold will go up to the lookout while you are at work."	Harold will go up to the lookout while you are at work."	true	1421.33	1424.98	19
4238_12895_000036_000000	Having seen that all was attended to, Mr. Welch went into the house, where his wife was going about her work as usual, pale, but quiet and resolute.	Having seen that all was attended to, mr Welch went into the house, where his wife was going about her work as usual, pale, but quiet and resolute.	true	1425.98	1437.76	15
4238_12895_000037_000000	"Now, Jane," he said, "sit down, and I will tell you exactly how matters stand, as far as Pearson, who brought the news, has told me. Then you shall decide as to the course we had better take."	"Now, Jane," he said, "sit down, and I will tell you exactly how matters stand, as far as Pearson, who brought the news, has told me. Then you shall decide as to the course we had better take."	true	1438.88	1453.21	17
4238_12895_000038_000000	After he had told her all that Pearson had said, and the reasons for and against expecting an early attack, he went on:	After he had told her all that Pearson had said, and the reasons for and against expecting an early attack, he went on:	true	1454.18	1462.69	15
4238_12895_000039_000000	"Now, it remains for you, my dear, to decide whether we shall stay and defend the place till the last against any attack that may be made, or whether we shall at once embark in the scow and make our way down to the settlements."	"Now, it remains for you, my dear, to decide whether we shall stay and defend the place till the last against any attack that may be made, or whether we shall at once embark in the scow and make our way down to the settlements."	true	1463.39	1478.86	17
4238_12895_000040_000000	"What do you think, William?" his wife asked.	"What do you think, William?" his wife asked.	true	1479.74	1484.02	15.587228
4238_12895_000041_000000	"I scarcely know, myself," he answered; "but, if I had quite my own way, I should send you and Nelly down to the settlements in the scow and fight it out here with the hands."	"I scarcely know, myself," he answered; "but, if I had quite my own way, I should send you and Nelly down to the settlements in the scow and fight it out here with the hands."	true	1484.84	1496.98	19
4238_12895_000042_000000	"You certainly will not have your own way in that," his wife said. "If you go of course I go; if you stay I stay.	"You certainly will not have your own way in that," his wife said. "If you go of course I go; if you stay I stay.	true	1497.98	1507.36	17
4238_12895_000042_000001	I would a thousand times rather go through a siege here, and risk the worst, than go down to Gloucester and have the frightful anxiety of not knowing what was happening here.	I would a thousand times rather go through a siege here, and risk the worst, than go down to Gloucester and have the frightful anxiety of not knowing what was happening here.	true	1507.82	1520.17	15
4238_12895_000042_000002	Besides, it is very possible, as you say, that the Indians may attack the settlement itself.	Besides, it is very possible, as you say, that the Indians may attack the settlement itself.	true	1520.81	1528.24	16
4238_12895_000042_000003	Many of the people there have had no experience in Indian war, and the redskins are likely to be far more successful in their surprise there than they would be here.	Many of the people there have had no experience in Indian war, and the redskins are likely to be far more successful in their surprise there than they would be here.	true	1528.88	1540.39	12
4238_12895_000042_000004	If we go we should have to leave our house, our barns, our stacks, and our animals to the mercy of the savages.	If we go we should have to leave our house, our barns, our stacks, and our animals to the mercy of the savages.	true	1541.27	1549.9	12
4238_12895_000042_000005	Your capital is pretty nearly all embarked here now, and the loss of all this would be ruin to us.	Your capital is pretty nearly all embarked here now, and the loss of all this would be ruin to us.	true	1550.57	1559.05	13
4238_12895_000042_000006	At any rate, William, I am ready to stay here and to risk what may come if you are.	At any rate, William, I am ready to stay here and to risk what may come if you are.	true	1559.6	1567.96	17
4238_12895_000042_000007	A life on the frontier is necessarily a life of danger, and if we are to abandon everything and to have to commence life afresh every time the Indians go on the war-path, we had better give it up at once and return to Massachusetts."	A life on the frontier is necessarily a life of danger, and if we are to abandon everything and to have to commence life afresh every time the Indians go on the war path, we had better give it up at once and return to Massachusetts."	true	1568.96	1587.22	15
4238_12895_000043_000000	"Very well, my dear," her husband said gravely.	"Very well, my dear," her husband said gravely.	true	1588.79	1593.04	18.056923
4238_12895_000043_000001	"You are a true frontiersman's wife; you have chosen as I should have done.	"You are a true frontiersman's wife; you have chosen as I should have done.	true	1593.92	1600.63	15
4238_12895_000043_000002	It is a choice of evils; but God has blessed and protected us since we came out into the wilderness--we will trust and confide in him now.	It is a choice of evils; but God has blessed and protected us since we came out into the wilderness-we will trust and confide in him now.	true	1601.15	1611.97	18
4238_12895_000043_000003	At any rate," he went on more cheerfully, "there is no fear of the enemy starving us out.	At any rate," he went on more cheerfully, "there is no fear of the enemy starving us out.	true	1612.58	1620.4	17.632736
4238_12895_000043_000004	We got in our store of provisions only a fortnight since, and have enough of everything for a three-months' siege.	We got in our store of provisions only a fortnight since, and have enough of everything for a three months' siege.	true	1621.01	1629.31	17
4238_12895_000043_000005	There is no fear of our well failing us; and as for ammunition, we have abundance.	There is no fear of our well failing us; and as for ammunition, we have abundance.	true	1629.98	1637.11	18
4238_12895_000043_000006	Seeing how Harold was using powder and ball, I had an extra supply when the stores came in the other day.	Seeing how Harold was using powder and ball, I had an extra supply when the stores came in the other day.	true	1637.96	1645.87	13
4238_12895_000043_000007	There is plenty of corn in the barn for the animals for months, and I will have the corn which the men are cutting brought in as a supply of food for the cows.	There is plenty of corn in the barn for the animals for months, and I will have the corn which the men are cutting brought in as a supply of food for the cows.	true	1646.87	1657.12	17
4238_12895_000043_000008	It will be useful for another purpose, too; we will keep a heap of it soaked with water and will cover the shingles with it in case of attack.	It will be useful for another purpose, too; we will keep a heap of it soaked with water and will cover the shingles with it in case of attack.	true	1657.76	1668.31	19.624952
4238_12895_000043_000009	It will effectually quench their fire arrows."	It will effectually quench their fire arrows."	true	1668.95	1672.69	19
4238_12895_000044_000000	The day passed off without the slightest alarm, and by nightfall the patch of corn was cleared away and an uninterrupted view of the ground for the distance of a hundred yards from the house was afforded.	The day passed off without the slightest alarm, and by nightfall the patch of corn was cleared away and an uninterrupted view of the ground for the distance of a hundred yards from the house was afforded.	true	1674.38	1688.92	14
4238_12895_000044_000001	When night fell two out of the four dogs belonging to the farm were fastened out in the open, at a distance of from seventy to eighty yards of the house, the others being retained within the stockade.	When night fell two out of the four dogs belonging to the farm were fastened out in the open, at a distance of from seventy to eighty yards of the house, the others being retained within the stockade.	true	1689.71	1706.08	14
4238_12895_000044_000002	The garrison was divided into three watches, two men being on the alert at a time, relieving each other every three hours.	The garrison was divided into three watches, two men being on the alert at a time, relieving each other every three hours.	true	1706.69	1716.19	12
4238_12895_000044_000003	Mr. Welch took Harold as his companion on the watch.	mr Welch took Harold as his companion on the watch.	true	1716.77	1720.72	10
4238_12895_000044_000004	The boy was greatly excited at the prospect of a struggle.	The boy was greatly excited at the prospect of a struggle.	true	1721.3	1725.43	16
4238_12895_000044_000005	He had often read of the desperate fights between the frontier settlers and the Indians, and had longed to take a share in the adventurous work.	He had often read of the desperate fights between the frontier settlers and the Indians, and had longed to take a share in the adventurous work.	true	1725.86	1736.41	14
4238_12895_000044_000006	He could scarcely believe that the time had come and that he was really a sharer in what might be a desperate struggle.	He could scarcely believe that the time had come and that he was really a sharer in what might be a desperate struggle.	true	1736.84	1745.32	14
4238_12895_000045_000000	The first watch was set at nine, and at twelve Mr. Welch and Harold came on duty.	The first watch was set at nine, and at twelve mr Welch and Harold came on duty.	true	1747.04	1753.84	15
4238_12895_000045_000001	The men they relieved reported that all was silent in the woods, and that they had heard no suspicious cries of any kind. When the men had returned to their room Mr. Welch told Harold that he should take a turn round the stockade and visit the dogs.	The men they relieved reported that all was silent in the woods, and that they had heard no suspicious cries of any kind. When the men had returned to their room mr Welch told Harold that he should take a turn round the stockade and visit the dogs.	true	1754.42	1773.49	13
4238_12895_000045_000002	Harold was to keep watch at the gate, to close it after he went out, to put up the bar, and to stand beside it ready to open it instantly if called upon.	Harold was to keep watch at the gate, to close it after he went out, to put up the bar, and to stand beside it ready to open it instantly if called upon.	true	1774.16	1785.97	17
4238_12895_000046_000000	Then the farmer stepped out into the darkness and, treading noiselessly, at once disappeared from Harold's sight.	Then the farmer stepped out into the darkness and, treading noiselessly, at once disappeared from Harold's sight.	true	1787.09	1796.29	13
4238_12895_000046_000001	The latter closed the gate, replaced the heavy bar, and stood with one hand on this and the other holding his rifle, listening intently.	The latter closed the gate, replaced the heavy bar, and stood with one hand on this and the other holding his rifle, listening intently.	true	1797.29	1807.84	11
4238_12895_000046_000002	Once he thought he heard a low growling from one of the dogs, but this presently ceased, and all was quiet again.	Once he thought he heard a low growling from one of the dogs, but this presently ceased, and all was quiet again.	true	1808.99	1818.94	11
4238_12895_000046_000003	The gate was a solid one, formed of strong timbers placed at a few inches apart and bolted to horizontal bars.	The gate was a solid one, formed of strong timbers placed at a few inches apart and bolted to horizontal bars.	false	1819.67	1829.59	15
4238_12895_000047_000000	Presently he felt the gate upon which his hand rested quiver, as if pressure was applied from without.	Presently he felt the gate upon which his hand rested quiver, as if pressure was applied from without.	true	1831.52	1840.06	14
4238_12895_000047_000001	His first impulse was to say, "Is that you?" but Mr. Welch had told him that he would give a low whistle as he approached the gate; he therefore stood quiet, with his whole attention absorbed in listening.	His first impulse was to say, "Is that you?" but mr Welch had told him that he would give a low whistle as he approached the gate; he therefore stood quiet, with his whole attention absorbed in listening.	true	1840.64	1857.13	18
4238_12895_000047_000002	Without making the least stir he peered through the bars and made out two dark figures behind them. After once or twice shaking the gate, one took his place against it and the other sprang upon his shoulders.	Without making the least stir he peered through the bars and made out two dark figures behind them. After once or twice shaking the gate, one took his place against it and the other sprang upon his shoulders.	true	1858.1	1875.64	19
4238_12895_000048_000000	Harold looked up and saw a man's head appear against the sky.	Harold looked up and saw a man's head appear against the sky.	true	1876.88	1881.22	17
4238_12895_000048_000001	Dim as was the light, he could see that it was no European head-gear, a long feather or two projecting from it.	Dim as was the light, he could see that it was no European head gear, a long feather or two projecting from it.	true	1881.68	1889.44	18
4238_12895_000048_000002	In an instant he leveled his rifle and fired.	In an instant he leveled his rifle and fired.	true	1889.75	1893.19	19.421938
4238_12895_000048_000003	There was a heavy fall and then all was silent.	There was a heavy fall and then all was silent.	true	1893.35	1896.58	17.47994
4238_12895_000048_000004	Harold again peered through the bars.	Harold again peered through the bars.	true	1897.49	1900.24	15
4238_12895_000048_000005	The second figure had disappeared, and a black mass lay at the foot of the gate.	The second figure had disappeared, and a black mass lay at the foot of the gate.	true	1900.61	1907.65	18
4238_12895_000049_000000	In an instant the men came running from the house, rifles in hand.	In an instant the men came running from the house, rifles in hand.	false	1908.44	1913.61	17
4238_12895_000050_000000	"What is it?" they exclaimed.	"What is it?" they exclaimed.	true	1913.61	1915.44	21.974604
4238_12895_000050_000001	"Where is Mr. Welch?"	"Where is mr Welch?"	true	1915.44	1917.13	19
4238_12895_000051_000000	"He went out to scout round the house, leaving me at the gate," Harold said.	"He went out to scout round the house, leaving me at the gate," Harold said.	true	1917.65	1922.74	20.731466
4238_12895_000051_000001	"Two men, I think Indians, came up; one was getting over the gate when I shot him.	"Two men, I think Indians, came up; one was getting over the gate when I shot him.	true	1922.78	1928.02	15
4238_12895_000051_000002	I think he is lying outside--the other has disappeared."	I think he is lying outside-the other has disappeared."	true	1928.18	1933.21	19.457182
4238_12895_000052_000000	"We must get the master in," one of the men said.	"We must get the master in," one of the men said.	true	1934.09	1937.51	19
4238_12895_000052_000001	"He is probably keeping away, not knowing what has happened.	"He is probably keeping away, not knowing what has happened.	true	1937.51	1941.61	15
4238_12895_000052_000002	Mr. Welch," he shouted, "it is all safe here, so far as we know; we are all on the lookout to cover you as you come up."	mr Welch," he shouted, "it is all safe here, so far as we know; we are all on the lookout to cover you as you come up."	true	1941.98	1951.69	20.103432
4238_12895_000053_000000	Immediately a whistle was heard close to the gate.	Immediately a whistle was heard close to the gate.	true	1952.81	1957.48	16
4238_12895_000053_000001	This was cautiously opened a few inches, and was closed and barred directly Mr. Welch entered.	This was cautiously opened a few inches, and was closed and barred directly mr Welch entered.	false	1958.06	1966.87	16
4238_12895_000054_000000	Harold told him what had happened.	Harold told him what had happened.	true	1968.38	1971.1	13
4238_12895_000055_000000	"I thought it was something of the sort.	"I thought it was something of the sort.	true	1972.16	1974.85	20.855387
4238_12895_000055_000001	I heard Wolf growl and felt sure that it was not at me.	I heard Wolf growl and felt sure that it was not at me.	true	1975.04	1979.53	15
4238_12895_000055_000002	I threw myself down and crept up to him and found him shot through the heart with an Indian arrow.	I threw myself down and crept up to him and found him shot through the heart with an Indian arrow.	true	1980.14	1986.97	17
4238_12895_000055_000003	I was crawling back to the house when I heard Harold's shot.	I was crawling back to the house when I heard Harold's shot.	true	1987.58	1991.86	17
4238_12895_000055_000004	Then I waited to see if it was followed by the war-whoop, which the redskins would have raised at once, on finding that they were discovered, had they been about to attack in force.	Then I waited to see if it was followed by the war whoop, which the redskins would have raised at once, on finding that they were discovered, had they been about to attack in force.	false	1992.65	2006.41	18.636885
4238_12895_000055_000005	Seeing that all was quiet, I conjectured that it was probably an attempt on the part of a spy to discover if we were upon the alert.	Seeing that all was quiet, I conjectured that it was probably an attempt on the part of a spy to discover if we were upon the alert.	true	2007.26	2016.73	19
4238_12895_000055_000006	Then I heard your call and at once came on.	Then I heard your call and at once came on.	true	2017.43	2020.27	15
4238_12895_000055_000007	I do not expect any attack to-night now, as these fellows must have been alone; but we will all keep watch till the morning.	I do not expect any attack to night now, as these fellows must have been alone; but we will all keep watch till the morning.	true	2021.51	2031.04	16
4238_12895_000055_000008	You have done very well, Harold, and have shown yourself a keen watchman.	You have done very well, Harold, and have shown yourself a keen watchman.	true	2031.92	2038.63	15
4238_12895_000055_000009	It is fortunate that you had the presence of mind neither to stir nor to call out when you first heard them; for, had you done so, you would probably have got an arrow between your ribs, as poor Wolf has done."	It is fortunate that you had the presence of mind neither to stir nor to call out when you first heard them; for, had you done so, you would probably have got an arrow between your ribs, as poor Wolf has done."	true	2039.45	2056.36	18.768377
4238_12895_000056_000000	When it was daylight, and the gate was opened, the body of an Indian was seen lying without; a small mark on his forehead showed where Harold's bullet had entered; death being instantaneous.	When it was daylight, and the gate was opened, the body of an Indian was seen lying without; a small mark on his forehead showed where Harold's bullet had entered; death being instantaneous.	true	2057.75	2073.61	16
4238_12895_000056_000001	His war-paint and the embroidery of his leggings showed him at once to be an Iroquois.	His war paint and the embroidery of his leggings showed him at once to be an Iroquois.	true	2074.61	2081.89	16
4238_12895_000056_000002	Beside him lay his bow, with an arrow which had evidently been fitted to the string for instant work.	Beside him lay his bow, with an arrow which had evidently been fitted to the string for instant work.	true	2082.83	2090.38	17
4238_12895_000056_000003	Harold shuddered when he saw it and congratulated himself on having stood perfectly quiet.	Harold shuddered when he saw it and congratulated himself on having stood perfectly quiet.	true	2091.05	2098.57	16
4238_12895_000056_000004	A grave was dug a short distance away, the Indian was buried, and the household proceeded about their work.	A grave was dug a short distance away, the Indian was buried, and the household proceeded about their work.	true	2099.33	2108.2	15
4238_12895_000057_000000	The day, as was usual in households in America, was begun with prayer, and the supplications of Mr. Welch for the protection of God over the household were warm and earnest.	The day, as was usual in households in America, was begun with prayer, and the supplications of mr Welch for the protection of God over the household were warm and earnest.	true	2109.2	2124.31	14
4238_12895_000057_000001	The men proceeded to feed the animals; these were then turned out of the inclosure, one of the party being always on watch in the little tower which they had erected for that purpose some ten or twelve feet above the roof of the house.	The men proceeded to feed the animals; these were then turned out of the inclosure, one of the party being always on watch in the little tower which they had erected for that purpose some ten or twelve feet above the roof of the house.	true	2125.46	2144.23	17
4238_12895_000057_000002	From this spot a view was obtainable right over the clearing to the forest which surrounded it on three sides.	From this spot a view was obtainable right over the clearing to the forest which surrounded it on three sides.	true	2145.14	2154.91	12
4238_12895_000057_000003	The other hands proceeded to cut down more of the corn, so as to extend the level space around the house.	The other hands proceeded to cut down more of the corn, so as to extend the level space around the house.	true	2155.7	2165.94	16
4238_12895_000058_000000	CHAPTER II.	CHAPTER two.	false	2165.94	2166	-20
4238_12895_000059_000000	AN INDIAN RAID.	AN INDIAN RAID.	false	2166	2166.09	-20
4238_12895_000060_000000	That day and the next passed quietly.	That day and the next passed quietly.	false	2166.09	2167.17	15
4238_12895_000060_000001	The first night the man who was on watch up to midnight remarked to Mr. Welch, when he relieved him, that it seemed to him that there were noises in the air.	The first night the man who was on watch up to midnight remarked to mr Welch, when he relieved him, that it seemed to him that there were noises in the air.	false	2167.17	2170.86	18.853521
