3540_163612_000005_000000	THE ENCHANTED CANARY	THE ENCHANTED CANARY
3540_163612_000137_000000	In order to do her more honour, Tubby came to meet her at the foot of the great marble staircase.	In order to do her more honour, Tubby came to meet her at the foot of the great marble staircase.
3540_163612_000137_000001	At the sight of the hideous creature he almost fell backwards.	At the sight of the hideous creature he almost fell backwards.
3540_163612_000138_000000	'What!' he cried.	'What!' he cried.
3540_163612_000138_000001	'Is this the wonderful beauty?'	'Is this the wonderful beauty?'
3540_163612_000139_000001	'But she has been bewitched by a wicked sorceress, and will not regain her beauty until she is my wife.'	'But she has been bewitched by a wicked sorceress, and will not regain her beauty until she is my wife.'
3540_163612_000140_000000	'Does she say so?	'Does she say so?
3540_163612_000140_000001	Well, if you believe that, you may drink cold water and think it bacon,' the unhappy Tubby answered crossly.	Well, if you believe that, you may drink cold water and think it bacon,' the unhappy Tubby answered crossly.
3540_163612_000141_000000	But all the same, as he adored his son, he gave the gypsy his hand and led her to the great hall, where the bridal feast was spread.	But all the same, as he adored his son, he gave the gypsy his hand and led her to the great hall, where the bridal feast was spread.
3540_163612_000142_000000	XIII	thirteen
3540_163612_000143_000001	However, to make up, the other guests ate greedily, and, as for Tubby, nothing ever took away his appetite.	However, to make up, the other guests ate greedily, and, as for Tubby, nothing ever took away his appetite.
3540_163612_000144_000000	When the moment arrived to serve the roast goose, there was a pause, and Tubby took the opportunity to lay down his knife and fork for a little. But as the goose gave no sign of appearing, he sent his head carver to find out what was the matter in the kitchen.	When the moment arrived to serve the roast goose, there was a pause, and Tubby took the opportunity to lay down his knife and fork for a little. But as the goose gave no sign of appearing, he sent his head carver to find out what was the matter in the kitchen.
3540_163612_000145_000000	Now this was what had happened.	Now this was what had happened.
3540_163612_000148_000000	'Good-morning, lovely golden bird,' replied the chief of the scullions, who had been well brought up.	'Good morning, lovely golden bird,' replied the chief of the scullions, who had been well brought up.
3540_163612_000149_000000	'I pray that Heaven may send you to sleep,' said the golden bird, 'and that the goose may burn, so that there may be none left for Titty.'	'I pray that Heaven may send you to sleep,' said the golden bird, 'and that the goose may burn, so that there may be none left for Titty.'
3540_163612_000150_000000	And instantly the chief of the scullions fell fast asleep, and the goose was burnt to a cinder.	And instantly the chief of the scullions fell fast asleep, and the goose was burnt to a cinder.
3540_163612_000152_000000	While it was browning at the fire, Tubby inquired for his goose a second time.	While it was browning at the fire, Tubby inquired for his goose a second time.
3540_163612_000152_000001	The Master Cook himself mounted to the hall to make his excuses, and to beg his lord to have a little patience.	The Master Cook himself mounted to the hall to make his excuses, and to beg his lord to have a little patience.
3540_163612_000152_000002	Tubby showed his patience by abusing his son.	Tubby showed his patience by abusing his son.
3540_163612_000153_000000	'As if it wasn't enough,' he grumbled between his teeth, 'that the boy should pick up a hag without a penny, but the goose must go and burn now.	'As if it wasn't enough,' he grumbled between his teeth, 'that the boy should pick up a hag without a penny, but the goose must go and burn now.
3540_163612_000155_000000	While the Master Cook was upstairs, the golden bird came again to perch on the window-sill, and called in his clear voice to the head scullion, who was watching the spit:	While the Master Cook was upstairs, the golden bird came again to perch on the window sill, and called in his clear voice to the head scullion, who was watching the spit:
3540_163612_000156_000000	'Good-morning, my fine Scullion!'	'Good morning, my fine Scullion!'
3540_163612_000157_000000	'Good-morning, lovely Golden Bird,' replied the Scullion, whom the Master Cook had forgotten in his excitement to warn.	'Good morning, lovely Golden Bird,' replied the Scullion, whom the Master Cook had forgotten in his excitement to warn.
3540_163612_000158_000000	'I pray Heaven,' went on the Canary, 'that it will send you to sleep, and that the goose may burn, so that there may be none left for Titty.'	'I pray Heaven,' went on the Canary, 'that it will send you to sleep, and that the goose may burn, so that there may be none left for Titty.'
3540_163612_000159_000000	And the Scullion fell fast asleep, and when the Master Cook came back he found the goose as black as the chimney.	And the Scullion fell fast asleep, and when the Master Cook came back he found the goose as black as the chimney.
3540_163612_000160_000000	In a fury he woke the Scullion, who in order to save himself from blame told the whole story.	In a fury he woke the Scullion, who in order to save himself from blame told the whole story.
3540_163612_000161_000000	'That accursed bird,' said the Cook; 'it will end by getting me sent away.	'That accursed bird,' said the Cook; 'it will end by getting me sent away.
3540_163612_000161_000001	Come, some of you, and hide yourselves, and if it comes again, catch it and wring its neck.'	Come, some of you, and hide yourselves, and if it comes again, catch it and wring its neck.'
3540_163612_000162_000000	He spitted a third goose, lit a huge fire, and seated himself by it.	He spitted a third goose, lit a huge fire, and seated himself by it.
3540_163612_000163_000000	The bird appeared a third time, and said: 'Good-morning, my fine Cook.'	The bird appeared a third time, and said: 'Good morning, my fine Cook.'
3540_163612_000164_000000	'Good-morning, lovely Golden Bird,' replied the Cook, as if nothing had happened, and at the moment that the Canary was beginning, 'I pray Heaven that it may send,' a scullion who was hidden outside rushed out and shut the shutters.	'Good morning, lovely Golden Bird,' replied the Cook, as if nothing had happened, and at the moment that the Canary was beginning, 'I pray Heaven that it may send,' a scullion who was hidden outside rushed out and shut the shutters.
3540_163612_000164_000001	The bird flew into the kitchen.	The bird flew into the kitchen.
3540_163612_000164_000002	Then all the cooks and scullions sprang after it, knocking at it with their aprons. At length one of them caught it just at the very moment that Tubby entered the kitchen, waving his sceptre.	Then all the cooks and scullions sprang after it, knocking at it with their aprons. At length one of them caught it just at the very moment that Tubby entered the kitchen, waving his sceptre.
3540_163612_000164_000003	He had come to see for himself why the goose had never made its appearance.	He had come to see for himself why the goose had never made its appearance.
3540_163612_000165_000000	The Scullion stopped at once, just as he was about to wring the Canary's neck.	The Scullion stopped at once, just as he was about to wring the Canary's neck.
3540_163612_000166_000000	XV	fifteen
3540_163612_000168_000000	'Your Excellency, it is the bird,' replied the Scullion, and he placed it in his hand.	'Your Excellency, it is the bird,' replied the Scullion, and he placed it in his hand.
3540_163612_000169_000000	'Nonsense!	'Nonsense!
3540_163612_000169_000001	What a lovely bird!' said Tubby, and in stroking its head he touched a pin that was sticking between its feathers.	What a lovely bird!' said Tubby, and in stroking its head he touched a pin that was sticking between its feathers.
3540_163612_000169_000002	He pulled it out, and lo! the Canary at once became a beautiful girl with a golden skin who jumped lightly to the ground.	He pulled it out, and lo! the Canary at once became a beautiful girl with a golden skin who jumped lightly to the ground.
3540_163612_000170_000000	'Gracious! what a pretty girl!' said Tubby.	'Gracious! what a pretty girl!' said Tubby.
3540_163612_000172_000000	And he took her in his arms, crying: 'My darling Zizi, how happy I am to see you once more!'	And he took her in his arms, crying: 'My darling Zizi, how happy I am to see you once more!'
3540_163612_000173_000000	'Well, and the other one?' asked Tubby.	'Well, and the other one?' asked Tubby.
3540_163612_000174_000000	The other one was stealing quietly to the door.	The other one was stealing quietly to the door.
3540_163612_000175_000000	'Stop her! called Tubby.	'Stop her! called Tubby.
3540_163612_000175_000001	'We will judge her cause at once.'	'We will judge her cause at once.'
3540_163612_000176_000000	And he seated himself solemnly on the oven, and condemned Titty to be burned alive.	And he seated himself solemnly on the oven, and condemned Titty to be burned alive.
3540_163612_000177_000000	XVI	sixteen
3540_163612_000178_000000	The marriage took place a few days later.	The marriage took place a few days later.
3540_163612_000178_000001	All the boys in the country side were there, armed with wooden swords, and decorated with epaulets made of gilt paper.	All the boys in the country side were there, armed with wooden swords, and decorated with epaulets made of gilt paper.
3540_163612_000179_000000	Zizi obtained Titty's pardon, and she was sent back to the brick-fields, followed and hooted at by all the boys.	Zizi obtained Titty's pardon, and she was sent back to the brick fields, followed and hooted at by all the boys.
3540_163612_000179_000001	And this is why to-day the country boys always throw stones at a titmouse.	And this is why to day the country boys always throw stones at a titmouse.
3540_163612_000180_000000	On the evening of the wedding-day all the larders, cellars, cupboards and tables of the people, whether rich or poor, were loaded as if by enchantment with bread, wine, beer, cakes and tarts, roast larks, and even geese, so that Tubby could not complain any more that his son had married Famine.	On the evening of the wedding day all the larders, cellars, cupboards and tables of the people, whether rich or poor, were loaded as if by enchantment with bread, wine, beer, cakes and tarts, roast larks, and even geese, so that Tubby could not complain any more that his son had married Famine.
3540_163612_000181_000000	Since that time there has always been plenty to eat in that country, and since that time, too, you see in the midst of the fair-haired blue-eyed women of Flanders a few beautiful girls, whose eyes are black and whose skins are the colour of gold.	Since that time there has always been plenty to eat in that country, and since that time, too, you see in the midst of the fair haired blue eyed women of Flanders a few beautiful girls, whose eyes are black and whose skins are the colour of gold.
