2393_144496_000000_000000	CHAPTER 47.	CHAPTER forty seven.	false	1.14	18.705	22.622883
2393_144496_000056_000001	Under a dull lamp in the road, I wrote our two addresses on a leaf of my pocket-book, which I tore out and gave to her, and which she put in her poor bosom.	Under a dull lamp in the road, I wrote our two addresses on a leaf of my pocket book, which I tore out and gave to her, and which she put in her poor bosom.	false	1046.39	1056.31	22.321377
2393_144496_000056_000002	I asked her where she lived herself.	I asked her where she lived herself.	true	1056.89	1059.13	19.760801
2393_144496_000056_000003	She said, after a pause, in no place long.	She said, after a pause, in no place long.	true	1059.14	1062.12	23.275589
2393_144496_000056_000004	It were better not to know.	It were better not to know.	false	1062.12	1064.26	19.131815
2393_144496_000057_000000	Mr. Peggotty suggesting to me, in a whisper, what had already occurred to myself, I took out my purse; but I could not prevail upon her to accept any money, nor could I exact any promise from her that she would do so at another time.	mr Peggotty suggesting to me, in a whisper, what had already occurred to myself, I took out my purse; but I could not prevail upon her to accept any money, nor could I exact any promise from her that she would do so at another time.	false	1065.14	1079.29	22.868107
2393_144496_000057_000001	I represented to her that Mr. Peggotty could not be called, for one in his condition, poor; and that the idea of her engaging in this search, while depending on her own resources, shocked us both.	I represented to her that mr Peggotty could not be called, for one in his condition, poor; and that the idea of her engaging in this search, while depending on her own resources, shocked us both.	false	1079.69	1092.49	21.952728
2393_144496_000057_000002	She continued steadfast.	She continued steadfast.	true	1093.31	1095.11	21.562254
2393_144496_000057_000003	In this particular, his influence upon her was equally powerless with mine.	In this particular, his influence upon her was equally powerless with mine.	true	1095.11	1099.9	22.23622
2393_144496_000057_000004	She gratefully thanked him but remained inexorable.	She gratefully thanked him but remained inexorable.	true	1099.97	1103.29	22.072353
2393_144496_000058_000000	'There may be work to be got,' she said.	'There may be work to be got,' she said.	true	1104.59	1106.7	23.74397
2393_144496_000058_000001	'I'll try.'	'I'll try.'	true	1106.7	1107.61	21.678574
2393_144496_000059_000000	'At least take some assistance,' I returned, 'until you have tried.'	'At least take some assistance,' I returned, 'until you have tried.'	true	1108.43	1112.08	17
2393_144496_000060_000000	'I could not do what I have promised, for money,' she replied.	'I could not do what I have promised, for money,' she replied.	true	1112.69	1116.04	20.425863
2393_144496_000060_000001	'I could not take it, if I was starving.	'I could not take it, if I was starving.	true	1116.32	1118.86	23.031403
2393_144496_000060_000002	To give me money would be to take away your trust, to take away the object that you have given me, to take away the only certain thing that saves me from the river.'	To give me money would be to take away your trust, to take away the object that you have given me, to take away the only certain thing that saves me from the river.'	false	1118.93	1128.31	21.289268
2393_144496_000061_000000	'In the name of the great judge,' said I, 'before whom you and all of us must stand at His dread time, dismiss that terrible idea!	'In the name of the great judge,' said I, 'before whom you and all of us must stand at His dread time, dismiss that terrible idea!	false	1129.19	1137.73	19
2393_144496_000061_000001	We can all do some good, if we will.'	We can all do some good, if we will.'	true	1137.98	1140.07	21.073305
2393_144496_000062_000000	She trembled, and her lip shook, and her face was paler, as she answered:	She trembled, and her lip shook, and her face was paler, as she answered:	true	1140.47	1145.29	19
2393_144496_000063_000000	'It has been put into your hearts, perhaps, to save a wretched creature for repentance.	'It has been put into your hearts, perhaps, to save a wretched creature for repentance.	true	1146.11	1151.05	21.629366
2393_144496_000063_000001	I am afraid to think so; it seems too bold.	I am afraid to think so; it seems too bold.	true	1151.18	1154.26	20.489569
2393_144496_000063_000002	If any good should come of me, I might begin to hope; for nothing but harm has ever come of my deeds yet.	If any good should come of me, I might begin to hope; for nothing but harm has ever come of my deeds yet.	true	1154.51	1160.92	21.252829
2393_144496_000063_000003	I am to be trusted, for the first time in a long while, with my miserable life, on account of what you have given me to try for.	I am to be trusted, for the first time in a long while, with my miserable life, on account of what you have given me to try for.	true	1161.41	1169.05	21.026125
2393_144496_000063_000004	I know no more, and I can say no more.'	I know no more, and I can say no more.'	true	1169.27	1172.2	19
2393_144496_000064_000000	Again she repressed the tears that had begun to flow; and, putting out her trembling hand, and touching Mr. Peggotty, as if there was some healing virtue in him, went away along the desolate road.	Again she repressed the tears that had begun to flow; and, putting out her trembling hand, and touching mr Peggotty, as if there was some healing virtue in him, went away along the desolate road.	true	1173.2	1185.25	20.69365
2393_144496_000064_000001	She had been ill, probably for a long time.	She had been ill, probably for a long time.	true	1185.8	1188.73	19.820976
2393_144496_000064_000002	I observed, upon that closer opportunity of observation, that she was worn and haggard, and that her sunken eyes expressed privation and endurance.	I observed, upon that closer opportunity of observation, that she was worn and haggard, and that her sunken eyes expressed privation and endurance.	false	1189.25	1199.59	20.050386
2393_144496_000065_000000	We followed her at a short distance, our way lying in the same direction, until we came back into the lighted and populous streets.	We followed her at a short distance, our way lying in the same direction, until we came back into the lighted and populous streets.	true	1200.59	1207.93	19.353157
2393_144496_000065_000001	I had such implicit confidence in her declaration, that I then put it to Mr. Peggotty, whether it would not seem, in the onset, like distrusting her, to follow her any farther.	I had such implicit confidence in her declaration, that I then put it to mr Peggotty, whether it would not seem, in the onset, like distrusting her, to follow her any farther.	true	1208.78	1220.14	22.930199
2393_144496_000065_000002	He being of the same mind, and equally reliant on her, we suffered her to take her own road, and took ours, which was towards Highgate.	He being of the same mind, and equally reliant on her, we suffered her to take her own road, and took ours, which was towards Highgate.	true	1220.6	1229.53	18.634184
2393_144496_000065_000003	He accompanied me a good part of the way; and when we parted, with a prayer for the success of this fresh effort, there was a new and thoughtful compassion in him that I was at no loss to interpret.	He accompanied me a good part of the way; and when we parted, with a prayer for the success of this fresh effort, there was a new and thoughtful compassion in him that I was at no loss to interpret.	true	1230.08	1241.35	21.145267
2393_144496_000066_000000	It was midnight when I arrived at home.	It was midnight when I arrived at home.	true	1242.53	1244.62	21.879248
2393_144496_000066_000001	I had reached my own gate, and was standing listening for the deep bell of St. Paul's, the sound of which I thought had been borne towards me among the multitude of striking clocks, when I was rather surprised to see that the door of my aunt's cottage was open, and that a faint light in the entry was shining out across the road.	I had reached my own gate, and was standing listening for the deep bell of saint Paul's, the sound of which I thought had been borne towards me among the multitude of striking clocks, when I was rather surprised to see that the door of my aunt's cottage was open, and that a faint light in the entry was shining out across the road.	false	1244.84	1263.4	22.360617
2393_144496_000067_000000	Thinking that my aunt might have relapsed into one of her old alarms, and might be watching the progress of some imaginary conflagration in the distance, I went to speak to her.	Thinking that my aunt might have relapsed into one of her old alarms, and might be watching the progress of some imaginary conflagration in the distance, I went to speak to her.	true	1264.31	1274.53	21
2393_144496_000067_000001	It was with very great surprise that I saw a man standing in her little garden.	It was with very great surprise that I saw a man standing in her little garden.	true	1275.02	1280.41	19
2393_144496_000068_000000	He had a glass and bottle in his hand, and was in the act of drinking.	He had a glass and bottle in his hand, and was in the act of drinking.	true	1281.35	1285.03	20.952032
2393_144496_000068_000001	I stopped short, among the thick foliage outside, for the moon was up now, though obscured; and I recognized the man whom I had once supposed to be a delusion of Mr. Dick's, and had once encountered with my aunt in the streets of the city.	I stopped short, among the thick foliage outside, for the moon was up now, though obscured; and I recognized the man whom I had once supposed to be a delusion of mr Dick's, and had once encountered with my aunt in the streets of the city.	false	1285.64	1299.43	22.381231
2393_144496_000069_000000	He was eating as well as drinking, and seemed to eat with a hungry appetite.	He was eating as well as drinking, and seemed to eat with a hungry appetite.	true	1299.95	1304.47	21.401209
2393_144496_000069_000001	He seemed curious regarding the cottage, too, as if it were the first time he had seen it.	He seemed curious regarding the cottage, too, as if it were the first time he had seen it.	false	1305.05	1310.59	20
2393_144496_000069_000002	After stooping to put the bottle on the ground, he looked up at the windows, and looked about; though with a covert and impatient air, as if he was anxious to be gone.	After stooping to put the bottle on the ground, he looked up at the windows, and looked about; though with a covert and impatient air, as if he was anxious to be gone.	false	1310.81	1321.3	22.340776
2393_144496_000070_000000	The light in the passage was obscured for a moment, and my aunt came out.	The light in the passage was obscured for a moment, and my aunt came out.	true	1321.94	1326.28	21.357298
2393_144496_000070_000001	She was agitated, and told some money into his hand.	She was agitated, and told some money into his hand.	false	1326.47	1330.39	21.800032
2393_144496_000070_000002	I heard it chink.	I heard it chink.	true	1330.61	1331.86	25
2393_144496_000071_000000	'What's the use of this?' he demanded.	'What's the use of this?' he demanded.	true	1332.44	1334.56	20.224537
2393_144496_000072_000000	'I can spare no more,' returned my aunt.	'I can spare no more,' returned my aunt.	false	1334.87	1337.38	21.152832
2393_144496_000073_000000	'Then I can't go,' said he.	'Then I can't go,' said he.	true	1337.81	1339.81	24.167517
2393_144496_000073_000001	'Here!	'Here!	true	1339.82	1340.52	26.062042
2393_144496_000073_000002	You may take it back!'	You may take it back!'	true	1340.52	1341.73	25.343063
2393_144496_000074_000000	'You bad man,' returned my aunt, with great emotion; 'how can you use me so?	'You bad man,' returned my aunt, with great emotion; 'how can you use me so?	true	1342.1	1347.31	22.649761
2393_144496_000074_000001	But why do I ask?	But why do I ask?	true	1347.5	1349.1	22.176125
2393_144496_000074_000002	It is because you know how weak I am!	It is because you know how weak I am!	true	1349.1	1351.48	20.414614
2393_144496_000074_000003	What have I to do, to free myself for ever of your visits, but to abandon you to your deserts?'	What have I to do, to free myself for ever of your visits, but to abandon you to your deserts?'	true	1351.79	1357.15	24.17339
2393_144496_000075_000000	'And why don't you abandon me to my deserts?' said he.	'And why don't you abandon me to my deserts?' said he.	true	1358.12	1361.08	23
2393_144496_000076_000000	'You ask me why!' returned my aunt.	'You ask me why!' returned my aunt.	true	1361.45	1363.69	19.133396
2393_144496_000076_000001	'What a heart you must have!'	'What a heart you must have!'	true	1363.79	1365.64	26.629765
2393_144496_000077_000000	He stood moodily rattling the money, and shaking his head, until at length he said:	He stood moodily rattling the money, and shaking his head, until at length he said:	false	1366.31	1371.76	19.102173
2393_144496_000078_000000	'Is this all you mean to give me, then?'	'Is this all you mean to give me, then?'	true	1372.46	1375.24	22.869265
2393_144496_000079_000000	'It is all I CAN give you,' said my aunt.	'It is all I CAN give you,' said my aunt.	true	1376.27	1378.96	27.699732
2393_144496_000079_000001	'You know I have had losses, and am poorer than I used to be.	'You know I have had losses, and am poorer than I used to be.	false	1379.48	1382.77	18.92019
2393_144496_000079_000002	I have told you so.	I have told you so.	true	1383.35	1384.62	21.592812
2393_144496_000079_000003	Having got it, why do you give me the pain of looking at you for another moment, and seeing what you have become?'	Having got it, why do you give me the pain of looking at you for another moment, and seeing what you have become?'	true	1384.62	1391.23	22.861605
2393_144496_000080_000000	'I have become shabby enough, if you mean that,' he said.	'I have become shabby enough, if you mean that,' he said.	true	1392.11	1395.52	21.794497
2393_144496_000080_000001	'I lead the life of an owl.'	'I lead the life of an owl.'	true	1396.34	1398.28	20.33555
2393_144496_000081_000000	'You stripped me of the greater part of all I ever had,' said my aunt. 'You closed my heart against the whole world, years and years.	'You stripped me of the greater part of all I ever had,' said my aunt. 'You closed my heart against the whole world, years and years.	false	1398.92	1407.26	21.007202
2393_144496_000081_000001	You treated me falsely, ungratefully, and cruelly.	You treated me falsely, ungratefully, and cruelly.	true	1407.26	1410.85	21.10473
2393_144496_000081_000002	Go, and repent of it. Don't add new injuries to the long, long list of injuries you have done me!'	Go, and repent of it. Don't add new injuries to the long, long list of injuries you have done me!'	false	1411.04	1417.24	20.108486
2393_144496_000082_000000	'Aye!' he returned.	'Aye!' he returned.	true	1417.91	1419.67	20.134111
2393_144496_000082_000001	'It's all very fine--Well!	'It's all very fine-Well!	true	1419.74	1421.41	27.1532
2393_144496_000082_000002	I must do the best I can, for the present, I suppose.'	I must do the best I can, for the present, I suppose.'	true	1421.48	1424.47	22.429989
2393_144496_000083_000000	In spite of himself, he appeared abashed by my aunt's indignant tears, and came slouching out of the garden.	In spite of himself, he appeared abashed by my aunt's indignant tears, and came slouching out of the garden.	true	1425.14	1431.4	24.416004
2393_144496_000083_000001	Taking two or three quick steps, as if I had just come up, I met him at the gate, and went in as he came out.	Taking two or three quick steps, as if I had just come up, I met him at the gate, and went in as he came out.	true	1431.77	1437.94	21.517859
2393_144496_000083_000002	We eyed one another narrowly in passing, and with no favour.	We eyed one another narrowly in passing, and with no favour.	true	1438.28	1441.77	18.41419
2393_144496_000084_000000	'Aunt,' said I, hurriedly.	'Aunt,' said I, hurriedly.	false	1441.77	1444.24	20.604485
2393_144496_000084_000001	'This man alarming you again!	'This man alarming you again!	true	1444.28	1445.81	19.311493
2393_144496_000084_000002	Let me speak to him.	Let me speak to him.	true	1445.81	1446.86	25.627096
2393_144496_000084_000003	Who is he?'	Who is he?'	true	1446.86	1447.72	23.309092
2393_144496_000085_000000	'Child,' returned my aunt, taking my arm, 'come in, and don't speak to me for ten minutes.'	'Child,' returned my aunt, taking my arm, 'come in, and don't speak to me for ten minutes.'	true	1448.12	1454.2	19.257093
2393_144496_000086_000000	We sat down in her little parlour.	We sat down in her little parlour.	true	1455.2	1457.26	21.041937
2393_144496_000086_000001	My aunt retired behind the round green fan of former days, which was screwed on the back of a chair, and occasionally wiped her eyes, for about a quarter of an hour.	My aunt retired behind the round green fan of former days, which was screwed on the back of a chair, and occasionally wiped her eyes, for about a quarter of an hour.	false	1457.3	1466.95	19
2393_144496_000086_000002	Then she came out, and took a seat beside me.	Then she came out, and took a seat beside me.	true	1467.26	1470.01	20.583982
2393_144496_000087_000000	'Trot,' said my aunt, calmly, 'it's my husband.'	'Trot,' said my aunt, calmly, 'it's my husband.'	true	1471.07	1474.69	27.25011
2393_144496_000088_000000	'Your husband, aunt?	'Your husband, aunt?	true	1475.51	1476.94	22.176594
2393_144496_000088_000001	I thought he had been dead!'	I thought he had been dead!'	true	1476.98	1478.56	20.463408
2393_144496_000089_000000	'Dead to me,' returned my aunt, 'but living.'	'Dead to me,' returned my aunt, 'but living.'	false	1479.02	1482.61	23.237764
2393_144496_000090_000000	I sat in silent amazement.	I sat in silent amazement.	true	1483.94	1485.88	14.16061
2393_144496_000091_000000	'Betsey Trotwood don't look a likely subject for the tender passion,' said my aunt, composedly, 'but the time was, Trot, when she believed in that man most entirely.	'Betsey Trotwood don't look a likely subject for the tender passion,' said my aunt, composedly, 'but the time was, Trot, when she believed in that man most entirely.	false	1487.18	1499.62	21.13837
2393_144496_000091_000001	When she loved him, Trot, right well.	When she loved him, Trot, right well.	true	1499.9	1502.95	23.458338
2393_144496_000091_000002	When there was no proof of attachment and affection that she would not have given him.	When there was no proof of attachment and affection that she would not have given him.	false	1503.62	1508.35	20.761288
2393_144496_000091_000003	He repaid her by breaking her fortune, and nearly breaking her heart.	He repaid her by breaking her fortune, and nearly breaking her heart.	true	1509.29	1513.63	22.570307
2393_144496_000091_000004	So she put all that sort of sentiment, once and for ever, in a grave, and filled it up, and flattened it down.'	So she put all that sort of sentiment, once and for ever, in a grave, and filled it up, and flattened it down.'	true	1513.94	1521.64	23.11826
2393_144496_000092_000000	'My dear, good aunt!'	'My dear, good aunt!'	true	1522.67	1524.58	22
2393_144496_000093_000000	'I left him,' my aunt proceeded, laying her hand as usual on the back of mine, 'generously.	'I left him,' my aunt proceeded, laying her hand as usual on the back of mine, 'generously.	true	1524.8	1531.21	19.22858
2393_144496_000093_000001	I may say at this distance of time, Trot, that I left him generously.	I may say at this distance of time, Trot, that I left him generously.	false	1531.49	1536.19	20.054653
2393_144496_000093_000002	He had been so cruel to me, that I might have effected a separation on easy terms for myself; but I did not.	He had been so cruel to me, that I might have effected a separation on easy terms for myself; but I did not.	false	1536.62	1544.02	21.856659
2393_144496_000093_000003	He soon made ducks and drakes of what I gave him, sank lower and lower, married another woman, I believe, became an adventurer, a gambler, and a cheat.	He soon made ducks and drakes of what I gave him, sank lower and lower, married another woman, I believe, became an adventurer, a gambler, and a cheat.	true	1544.63	1554.79	21.196426
2393_144496_000093_000004	What he is now, you see.	What he is now, you see.	true	1555.01	1556.83	17.447918
2393_144496_000093_000005	But he was a fine-looking man when I married him,' said my aunt, with an echo of her old pride and admiration in her tone; 'and I believed him--I was a fool!--to be the soul of honour!'	But he was a fine looking man when I married him,' said my aunt, with an echo of her old pride and admiration in her tone; 'and I believed him-I was a fool!--to be the soul of honour!'	false	1557.32	1570.09	20.48339
2393_144496_000094_000000	She gave my hand a squeeze, and shook her head.	She gave my hand a squeeze, and shook her head.	true	1570.79	1573.51	20.259348
2393_144496_000095_000000	'He is nothing to me now, Trot--less than nothing.	'He is nothing to me now, Trot-less than nothing.	false	1573.88	1577.29	23.68691
2393_144496_000095_000001	But, sooner than have him punished for his offences (as he would be if he prowled about in this country), I give him more money than I can afford, at intervals when he reappears, to go away.	But, sooner than have him punished for his offences (as he would be if he prowled about in this country), I give him more money than I can afford, at intervals when he reappears, to go away.	false	1577.66	1589.08	20.899233
2393_144496_000095_000002	I was a fool when I married him; and I am so far an incurable fool on that subject, that, for the sake of what I once believed him to be, I wouldn't have even this shadow of my idle fancy hardly dealt with.	I was a fool when I married him; and I am so far an incurable fool on that subject, that, for the sake of what I once believed him to be, I wouldn't have even this shadow of my idle fancy hardly dealt with.	false	1589.66	1602.79	21.599466
2393_144496_000095_000003	For I was in earnest, Trot, if ever a woman was.'	For I was in earnest, Trot, if ever a woman was.'	false	1603.01	1641.45	20.111023
