3307_145145_000003_000000	CHAPTER XV: THE LABYRINTH SPIDER	CHAPTER fifteen: THE LABYRINTH SPIDER
3307_145145_000050_000002	Her cloister of vaulted passages enables her to proceed to any point of the star-shaped pouch containing the eggs. Indefatigable in her rounds, she stops here and there; she fondly feels the satin, listens to the secrets of the wallet.	Her cloister of vaulted passages enables her to proceed to any point of the star shaped pouch containing the eggs. Indefatigable in her rounds, she stops here and there; she fondly feels the satin, listens to the secrets of the wallet.
3307_145145_000050_000003	If I shake the net at any point with a straw, she quickly runs up to enquire what is happening. Will this vigilance frighten off the Ichneumon and other lovers of omelettes?	If I shake the net at any point with a straw, she quickly runs up to enquire what is happening. Will this vigilance frighten off the Ichneumon and other lovers of omelettes?
3307_145145_000050_000004	Perhaps so.	Perhaps so.
3307_145145_000050_000005	But, though this danger be averted, others will come when the mother is no longer there.	But, though this danger be averted, others will come when the mother is no longer there.
3307_145145_000051_000000	Her attentive watch does not make her overlook her meals.	Her attentive watch does not make her overlook her meals.
3307_145145_000051_000001	One of the Locusts whereof I renew the supply at intervals in the cages is caught in the cords of the great entrance-hall.	One of the Locusts whereof I renew the supply at intervals in the cages is caught in the cords of the great entrance hall.
3307_145145_000051_000002	The Spider arrives hurriedly, snatches the giddy-pate and disjoints his shanks, which she empties of their contents, the best part of the insect.	The Spider arrives hurriedly, snatches the giddy pate and disjoints his shanks, which she empties of their contents, the best part of the insect.
3307_145145_000051_000004	The meal is taken outside the guard-room, on the threshold, never indoors.	The meal is taken outside the guard room, on the threshold, never indoors.
3307_145145_000052_000000	These are not capricious mouthfuls, serving to beguile the boredom of the watch for a brief while; they are substantial repasts, which require several sittings.	These are not capricious mouthfuls, serving to beguile the boredom of the watch for a brief while; they are substantial repasts, which require several sittings.
3307_145145_000052_000001	Such an appetite astonishes me, after I have seen the Crab Spider, that no less ardent watcher, refuse the Bees whom I give her and allow herself to die of inanition.	Such an appetite astonishes me, after I have seen the Crab Spider, that no less ardent watcher, refuse the Bees whom I give her and allow herself to die of inanition.
3307_145145_000052_000002	Can this other mother have so great a need as that to eat?	Can this other mother have so great a need as that to eat?
3307_145145_000052_000003	Yes, certainly she has; and for an imperative reason.	Yes, certainly she has; and for an imperative reason.
3307_145145_000053_000001	The walls never seem thick enough; the Spider is always working at them.	The walls never seem thick enough; the Spider is always working at them.
3307_145145_000053_000002	To satisfy this lavish expenditure, she must incessantly, by means of feeding, fill her silk-glands as and when she empties them by spinning.	To satisfy this lavish expenditure, she must incessantly, by means of feeding, fill her silk glands as and when she empties them by spinning.
3307_145145_000053_000003	Food is the means whereby she keeps the inexhaustible factory going.	Food is the means whereby she keeps the inexhaustible factory going.
3307_145145_000054_000000	A month passes and, about the middle of September, the little ones hatch, but without leaving their tabernacle, where they are to spend the winter packed in soft wadding.	A month passes and, about the middle of September, the little ones hatch, but without leaving their tabernacle, where they are to spend the winter packed in soft wadding.
3307_145145_000054_000001	The mother continues to watch and spin, lessening her activity from day to day.	The mother continues to watch and spin, lessening her activity from day to day.
3307_145145_000054_000002	She recruits herself with a Locust at longer intervals; she sometimes scorns those whom I myself entangle in her trap.	She recruits herself with a Locust at longer intervals; she sometimes scorns those whom I myself entangle in her trap.
3307_145145_000054_000003	This increasing abstemiousness, a sign of decrepitude, slackens and at last stops the work of the spinnerets.	This increasing abstemiousness, a sign of decrepitude, slackens and at last stops the work of the spinnerets.
3307_145145_000055_000000	For four or five weeks longer, the mother never ceases her leisurely inspection-rounds, happy at hearing the new-born Spiders swarming in the wallet.	For four or five weeks longer, the mother never ceases her leisurely inspection rounds, happy at hearing the new born Spiders swarming in the wallet.
3307_145145_000055_000001	At length, when October ends, she clutches her offspring's nursery and dies withered.	At length, when October ends, she clutches her offspring's nursery and dies withered.
3307_145145_000055_000002	She has done all that maternal devotion can do; the special providence of tiny animals will do the rest.	She has done all that maternal devotion can do; the special providence of tiny animals will do the rest.
3307_145145_000055_000003	When spring comes, the youngsters will emerge from their snug habitation, disperse all over the neighbourhood by the expedient of the floating thread and weave their first attempts at a labyrinth on the tufts of thyme.	When spring comes, the youngsters will emerge from their snug habitation, disperse all over the neighbourhood by the expedient of the floating thread and weave their first attempts at a labyrinth on the tufts of thyme.
3307_145145_000056_000000	Accurate in structure and neat in silk-work though they be, the nests of the caged captives do not tell us everything; we must go back to what happens in the fields, with their complicated conditions.	Accurate in structure and neat in silk work though they be, the nests of the caged captives do not tell us everything; we must go back to what happens in the fields, with their complicated conditions.
3307_145145_000056_000002	We inspect the stunted rosemaries along the edge of a path sheltered by a rocky, wooded slope; we lift the branches that spread over the ground.	We inspect the stunted rosemaries along the edge of a path sheltered by a rocky, wooded slope; we lift the branches that spread over the ground.
3307_145145_000056_000004	In a couple of hours, I am the owner of some nests.	In a couple of hours, I am the owner of some nests.
3307_145145_000057_000001	It needs the eyes of faith to see in these ruins the equivalent of the edifices built inside my cages.	It needs the eyes of faith to see in these ruins the equivalent of the edifices built inside my cages.
3307_145145_000057_000002	Fastened to the creeping branch, the unsightly bundle lies on the sand heaped up by the rains.	Fastened to the creeping branch, the unsightly bundle lies on the sand heaped up by the rains.
3307_145145_000057_000003	Oak-leaves, roughly joined by a few threads, wrap it all round.	Oak leaves, roughly joined by a few threads, wrap it all round.
3307_145145_000057_000004	One of these leaves, larger than the others, roofs it in and serves as a scaffolding for the whole of the ceiling.	One of these leaves, larger than the others, roofs it in and serves as a scaffolding for the whole of the ceiling.
3307_145145_000057_000005	If we did not see the silky remnants of the two vestibules projecting and feel a certain resistance when separating the parts of the bundle, we might take the thing for a casual accumulation, the work of the rain and the wind.	If we did not see the silky remnants of the two vestibules projecting and feel a certain resistance when separating the parts of the bundle, we might take the thing for a casual accumulation, the work of the rain and the wind.
3307_145145_000058_000000	Let us examine our find and look more closely into its shapelessness. Here is the large room, the maternal cabin, which rips as the coating of leaves is removed; here are the circular galleries of the guard-room; here are the central chamber and its pillars, all in a fabric of immaculate white.	Let us examine our find and look more closely into its shapelessness. Here is the large room, the maternal cabin, which rips as the coating of leaves is removed; here are the circular galleries of the guard room; here are the central chamber and its pillars, all in a fabric of immaculate white.
3307_145145_000058_000001	The dirt from the damp ground has not penetrated to this dwelling protected by its wrapper of dead leaves.	The dirt from the damp ground has not penetrated to this dwelling protected by its wrapper of dead leaves.
3307_145145_000059_000000	Now open the habitation of the offspring.	Now open the habitation of the offspring.
3307_145145_000059_000001	What is this?	What is this?
3307_145145_000059_000003	Put aside that idea, says the satin wall, which itself is perfectly clean inside.	Put aside that idea, says the satin wall, which itself is perfectly clean inside.
3307_145145_000059_000005	The grains of sand are stuck together with a cement of silk; and the whole resists the pressure of the fingers.	The grains of sand are stuck together with a cement of silk; and the whole resists the pressure of the fingers.
3307_145145_000060_000000	If we continue to unshell the kernel, we find, below this mineral layer, a last silken tunic that forms a globe around the brood.	If we continue to unshell the kernel, we find, below this mineral layer, a last silken tunic that forms a globe around the brood.
3307_145145_000060_000001	No sooner do we tear this final covering than the frightened little ones run away and scatter with an agility that is singular at this cold and torpid season.	No sooner do we tear this final covering than the frightened little ones run away and scatter with an agility that is singular at this cold and torpid season.
3307_145145_000061_000000	To sum up, when working in the natural state, the Labyrinth Spider builds around the eggs, between two sheets of satin, a wall composed of a great deal of sand and a little silk.	To sum up, when working in the natural state, the Labyrinth Spider builds around the eggs, between two sheets of satin, a wall composed of a great deal of sand and a little silk.
3307_145145_000061_000001	To stop the Ichneumon's probe and the teeth of the other ravagers, the best thing that occurred to her was this hoarding which combines the hardness of flint with the softness of muslin.	To stop the Ichneumon's probe and the teeth of the other ravagers, the best thing that occurred to her was this hoarding which combines the hardness of flint with the softness of muslin.
3307_145145_000062_000000	This means of defence seems to be pretty frequent among Spiders.	This means of defence seems to be pretty frequent among Spiders.
3307_145145_000062_000002	Other species, living in the open under stones, work in the same way.	Other species, living in the open under stones, work in the same way.
3307_145145_000062_000003	They wrap their eggs in a mineral shell held together with silk.	They wrap their eggs in a mineral shell held together with silk.
3307_145145_000062_000004	The same fears have inspired the same protective methods.	The same fears have inspired the same protective methods.
3307_145145_000063_000000	Then how comes it that, of the five mothers reared in my cages, not one has had recourse to the clay rampart?	Then how comes it that, of the five mothers reared in my cages, not one has had recourse to the clay rampart?
3307_145145_000063_000001	After all, sand abounded: the pans in which the wire-gauze covers stood were full of it.	After all, sand abounded: the pans in which the wire gauze covers stood were full of it.
3307_145145_000063_000002	On the other hand, under normal conditions, I have often come across nests without any mineral casing.	On the other hand, under normal conditions, I have often come across nests without any mineral casing.
3307_145145_000063_000003	These incomplete nests were placed at some height from the ground, in the thick of the brushwood; the others, on the contrary, those supplied with a coating of sand, lay on the ground.	These incomplete nests were placed at some height from the ground, in the thick of the brushwood; the others, on the contrary, those supplied with a coating of sand, lay on the ground.
3307_145145_000064_000000	The method of the work explains these differences.	The method of the work explains these differences.
3307_145145_000064_000001	The concrete of our buildings is obtained by the simultaneous manipulation of gravel and mortar.	The concrete of our buildings is obtained by the simultaneous manipulation of gravel and mortar.
3307_145145_000064_000003	The operation would be impossible if, after cementing each grain of sand, it were necessary to stop the work of the spinnerets and go to a distance to fetch further stony elements.	The operation would be impossible if, after cementing each grain of sand, it were necessary to stop the work of the spinnerets and go to a distance to fetch further stony elements.
3307_145145_000064_000004	Those materials have to be right under her legs; otherwise the Spider does without and continues her work just the same.	Those materials have to be right under her legs; otherwise the Spider does without and continues her work just the same.
3307_145145_000065_000000	In my cages, the sand is too far off.	In my cages, the sand is too far off.
3307_145145_000065_000001	To obtain it, the Spider would have to leave the top of the dome, where the nest is being built on its trellis-work support; she would have to come down some nine inches.	To obtain it, the Spider would have to leave the top of the dome, where the nest is being built on its trellis work support; she would have to come down some nine inches.
3307_145145_000065_000002	The worker refuses to take this trouble, which, if repeated in the case of each grain, would make the action of the spinnerets too irksome.	The worker refuses to take this trouble, which, if repeated in the case of each grain, would make the action of the spinnerets too irksome.
3307_145145_000065_000003	She also refuses to do so when, for reasons which I have not fathomed, the site chosen is some way up in the tuft of rosemary.	She also refuses to do so when, for reasons which I have not fathomed, the site chosen is some way up in the tuft of rosemary.
3307_145145_000065_000004	But, when the nest touches the ground, the clay rampart is never missing.	But, when the nest touches the ground, the clay rampart is never missing.
3307_145145_000066_000001	No inference is permissible in either direction.	No inference is permissible in either direction.
3307_145145_000066_000002	The Labyrinth Spider has simply taught us that instinct possesses resources which are employed or left latent according to the conditions of the moment.	The Labyrinth Spider has simply taught us that instinct possesses resources which are employed or left latent according to the conditions of the moment.
3307_145145_000066_000003	Place sand under her legs and the spinstress will knead concrete; refuse her that sand, or put it out of her reach, and the Spider will remain a simple silk-worker, always ready, however, to turn mason under favourable conditions.	Place sand under her legs and the spinstress will knead concrete; refuse her that sand, or put it out of her reach, and the Spider will remain a simple silk worker, always ready, however, to turn mason under favourable conditions.
