7313_91072_000000_000000	HORACE GREELEY.	HORACE GREELEY.	true	22.665	23.98	24.565086
7313_91072_000026_000003	In 1850 his first book was published by the Harpers, "Hints toward Reform," composed of ten lectures and twenty essays.	In eighteen fifty his first book was published by the Harpers, "Hints toward Reform," composed of ten lectures and twenty essays.	true	1195.97	1204.42	26.742462
7313_91072_000026_000004	The following year he visited England as one of the "jury" in the awarding of prizes; and while there made a close study of philanthropic and social questions.	The following year he visited England as one of the "jury" in the awarding of prizes; and while there made a close study of philanthropic and social questions.	true	1205.15	1214.8	20.26391
7313_91072_000026_000005	He always said, "He, who by voice or pen strikes his best blow at the impostures or vices whereby our race is debased and paralyzed, may close his eyes in death, consoled and cheered by the reflection that he has done what he could for the emancipation and elevation of his kind."	He always said, "He, who by voice or pen strikes his best blow at the impostures or vices whereby our race is debased and paralyzed, may close his eyes in death, consoled and cheered by the reflection that he has done what he could for the emancipation and elevation of his kind."	false	1215.62	1235.65	21.871264
7313_91072_000027_000000	In 1855 he again visited Europe; and four years later, California, where he was received with great demonstrations of honor and respect.	In eighteen fifty five he again visited Europe; and four years later, California, where he was received with great demonstrations of honor and respect.	true	1236.83	1246.09	21.532564
7313_91072_000027_000001	In 1860 he was at the Chicago Convention, and helped to nominate Abraham Lincoln in preference to William H. Seward.	In eighteen sixty he was at the Chicago Convention, and helped to nominate Abraham Lincoln in preference to William h Seward.	true	1246.61	1254.49	27.363413
7313_91072_000027_000002	Mr. Greeley had now become one of the leading men of the nation.	mr Greeley had now become one of the leading men of the nation.	true	1255.16	1258.63	19.895864
7313_91072_000027_000003	His paper molded the opinions of hundreds of thousands.	His paper molded the opinions of hundreds of thousands.	true	1258.73	1262.11	21.197987
7313_91072_000027_000004	He had fought against slavery with all the strength of his able pen; but he advocated buying the slaves for four hundred million dollars rather than going to war,--a cheaper method than our subsequent conflict, with enormous loss of life and money.	He had fought against slavery with all the strength of his able pen; but he advocated buying the slaves for four hundred million dollars rather than going to war,--a cheaper method than our subsequent conflict, with enormous loss of life and money.	true	1262.81	1277.56	21.602266
7313_91072_000027_000005	When he found the war inevitable, after General McClellan's defeat at the Chickahominy, he urged upon Mr. Lincoln immediate emancipation, which was soon adopted. The "New York World" said after his death, "Mr.	When he found the war inevitable, after General McClellan's defeat at the Chickahominy, he urged upon mr Lincoln immediate emancipation, which was soon adopted. The "New York World" said after his death, "mr	true	1278.38	1293.03	23.103285
7313_91072_000027_000006	Greeley will hold the first place with posterity on the roll of emancipation."	Greeley will hold the first place with posterity on the roll of emancipation."	true	1293.03	1298.02	25.595446
7313_91072_000028_000000	In the draft riots in New York, in 1863, the mob burst into the Tribune Building, smashing the furniture, and shouting, "Down with the old white coat!" Mr. Greeley always wore a coat and hat of this hue.	In the draft riots in New York, in eighteen sixty three, the mob burst into the Tribune Building, smashing the furniture, and shouting, "Down with the old white coat!" mr Greeley always wore a coat and hat of this hue.	true	1299.14	1313.83	23.282019
7313_91072_000028_000001	Had he been present, doubtless he would have been killed at once.	Had he been present, doubtless he would have been killed at once.	true	1314.17	1317.64	20.665718
7313_91072_000028_000002	When urged to arm the office, he said, "No; all my life I have worked for the workingmen; if they would now burn my office and hang me, why, let them do it."	When urged to arm the office, he said, "No; all my life I have worked for the workingmen; if they would now burn my office and hang me, why, let them do it."	true	1318.16	1329.25	24.589012
7313_91072_000029_000000	The same year he began his "History of the Civil War" for a Hartford publisher.	The same year he began his "History of the Civil War" for a Hartford publisher.	true	1330.43	1335.43	21.908112
7313_91072_000029_000001	Because so constantly interrupted, he went to the Bible House, and worked with an amanuensis from nine in the morning till four in the afternoon, and then to the "Tribune" office, and wrote on his paper till eleven at night.	Because so constantly interrupted, he went to the Bible House, and worked with an amanuensis from nine in the morning till four in the afternoon, and then to the "Tribune" office, and wrote on his paper till eleven at night.	false	1335.98	1347.85	23.580975
7313_91072_000029_000002	These volumes, dedicated to John Bright, have had a sale of several hundred thousand copies.	These volumes, dedicated to john Bright, have had a sale of several hundred thousand copies.	true	1348.43	1354.3	22.560976
7313_91072_000030_000000	After the war Mr. Greeley, while advocating "impartial suffrage" for black as well as white, advocated also "universal amnesty." He believed nothing was to be gained by punishing a defeated portion of our nation, and wanted the past buried as quickly as possible.	After the war mr Greeley, while advocating "impartial suffrage" for black as well as white, advocated also "universal amnesty." He believed nothing was to be gained by punishing a defeated portion of our nation, and wanted the past buried as quickly as possible.	true	1355.48	1373.05	26.200895
7313_91072_000030_000001	He was opposed to the hanging of Jefferson Davis; and with Gerritt Smith, a well-known abolitionist, and about twenty others, he signed Mr. Davis's bail-bond for one hundred thousand dollars, which released him from prison at Fortress Monroe, where he had been for two years.	He was opposed to the hanging of Jefferson Davis; and with Gerritt Smith, a well-known abolitionist, and about twenty others, he signed mr Davis's bail bond for one hundred thousand dollars, which released him from prison at Fortress Monroe, where he had been for two years.	true	1373.6	1390.21	23.33898
7313_91072_000030_000002	At once the North was aflame with indignation.	At once the North was aflame with indignation.	true	1390.85	1393.78	23.079237
7313_91072_000030_000003	No criticism was too scathing; but Mr. Greeley took the denunciations like a hero, because he had done what his conscience approved.	No criticism was too scathing; but mr Greeley took the denunciations like a hero, because he had done what his conscience approved.	true	1393.85	1403.35	25.422092
7313_91072_000030_000004	He said, "Seeing how passion cools and wrath abates, I confidently look forward to the time when thousands who have cursed will thank me for what I have done and dared in resistance to their own sanguinary impulses....	He said, "Seeing how passion cools and wrath abates, I confidently look forward to the time when thousands who have cursed will thank me for what I have done and dared in resistance to their own sanguinary impulses....	true	1403.6	1418.56	24.598108
7313_91072_000030_000005	Out of a life earnestly devoted to the good of human kind, your children will select my going to Richmond and signing that bail-bond as the wisest act."	Out of a life earnestly devoted to the good of human kind, your children will select my going to Richmond and signing that bail bond as the wisest act."	true	1418.81	1429.18	22.227135
7313_91072_000031_000000	In 1872 considerable disaffection having arisen in the Republican party at the course pursued by President Grant at the South, the "Liberal Republicans," headed by Sumner, Schurz, and Trumbull, held a convention at Cincinnati, and nominated Horace Greeley for President.	In eighteen seventy two considerable disaffection having arisen in the Republican party at the course pursued by President Grant at the South, the "Liberal Republicans," headed by Sumner, Schurz, and Trumbull, held a convention at Cincinnati, and nominated Horace Greeley for President.	true	1430.39	1448.14	23.27512
7313_91072_000031_000001	The Democratic party saw the hopelessness of nominating a man in opposition to Grant and Greeley, and accepted the latter as their own candidate. The contest was bitter and partisan in the extreme.	The Democratic party saw the hopelessness of nominating a man in opposition to Grant and Greeley, and accepted the latter as their own candidate. The contest was bitter and partisan in the extreme.	true	1448.57	1461.61	23.888735
7313_91072_000031_000002	Mr. Greeley received nearly three million votes, while General Grant received a half million majority.	mr Greeley received nearly three million votes, while General Grant received a half million majority.	true	1461.8	1468.24	21.918552
7313_91072_000032_000000	No doubt the defeat was a great disappointment to one who had served his country and the Republican party for so many years with very little political reward.	No doubt the defeat was a great disappointment to one who had served his country and the Republican party for so many years with very little political reward.	true	1469.3	1477.75	23.301186
7313_91072_000032_000001	But just a month before the election came the crushing blow of his life, in the death of his noble wife.	But just a month before the election came the crushing blow of his life, in the death of his noble wife.	true	1478.18	1484.68	23.352182
7313_91072_000032_000002	He left his speech-making, and for weeks attended her with the deepest devotion.	He left his speech making, and for weeks attended her with the deepest devotion.	true	1485.26	1490.02	23.999346
7313_91072_000032_000003	A few days before she died, he said, "I am a broken down old man.	A few days before she died, he said, "I am a broken down old man.	true	1490.78	1496.2	19.81808
7313_91072_000032_000004	I have not slept one hour in twenty-four for a month.	I have not slept one hour in twenty four for a month.	true	1496.48	1500.19	22.067421
7313_91072_000032_000005	If she lasts, poor soul, another week, I shall go before her."	If she lasts, poor soul, another week, I shall go before her."	true	1500.56	1506.01	20.63096
7313_91072_000033_000000	After her death he could not sleep at all, and brain-fever soon set in. Friday, Nov. 29, the end came.	After her death he could not sleep at all, and brain fever soon set in. friday november twenty ninth, the end came.	true	1507.28	1516.39	23.025276
7313_91072_000033_000001	At noon he said distinctly, his only remaining children, Ida and Gabriella, standing by his bedside, "I know that my Redeemer liveth;" and at half-past three, "It is done." He was ready for the great change.	At noon he said distinctly, his only remaining children, Ida and Gabriella, standing by his bedside, "I know that my Redeemer liveth;" and at half past three, "It is done." He was ready for the great change.	true	1516.79	1532.02	21.51084
7313_91072_000033_000002	He had written only a short time before, "With an awe that is not fear, and a consciousness of demerit which does not exclude hope, I await the opening, before my steps, of the gates of the eternal world." Dead at sixty-one!	He had written only a short time before, "With an awe that is not fear, and a consciousness of demerit which does not exclude hope, I await the opening, before my steps, of the gates of the eternal world." Dead at sixty one!	true	1532.24	1548.73	24.060009
7313_91072_000033_000003	Overworked, not having had "a good night's sleep in fifteen years!"	Overworked, not having had "a good night's sleep in fifteen years!"	true	1548.98	1554.31	25.712185
7313_91072_000034_000000	When his death became known, the whole nation mourned for him. Newspapers from Maine to Louisiana gave touching tributes to his greatness, his purity, and his far-sightedness as a leader of the people.	When his death became known, the whole nation mourned for him. Newspapers from Maine to Louisiana gave touching tributes to his greatness, his purity, and his far sightedness as a leader of the people.	true	1555.28	1567.39	24.322561
7313_91072_000034_000001	The Union League Club, the Lotos, the Typographical Society, the Associated Press, German and colored clubs, and temperance organizations passed resolutions of sorrow.	The Union League Club, the Lotos, the Typographical Society, the Associated Press, German and colored clubs, and temperance organizations passed resolutions of sorrow.	true	1568.03	1579.54	22.420595
7313_91072_000034_000002	Cornell University, of whose Board he was a member, did him honor.	Cornell University, of whose Board he was a member, did him honor.	true	1580.06	1584.31	19.689478
7313_91072_000034_000003	St. Louis, Albany, Indianapolis, Nashville, and other cities held memorial meetings.	saint Louis, Albany, Indianapolis, Nashville, and other cities held memorial meetings.	true	1584.65	1591.12	25.39264
7313_91072_000034_000004	John Bright sent regrets over "our friend, Horace Greeley." Congress passed resolutions of respect for his "eminent services and personal purity and worth."	john Bright sent regrets over "our friend, Horace Greeley." Congress passed resolutions of respect for his "eminent services and personal purity and worth."	true	1591.61	1603.06	22.353987
7313_91072_000035_000000	And then came the sad and impressive burial.	And then came the sad and impressive burial.	true	1604.03	1607.14	20.621338
7313_91072_000035_000001	In the governor's room in the City Hall, draped in black, surrounded by a guard of honor composed of the leading men of New York, the body of the great journalist lay in state.	In the governor's room in the City Hall, draped in black, surrounded by a guard of honor composed of the leading men of New York, the body of the great journalist lay in state.	true	1607.81	1618.78	19.374535
7313_91072_000035_000002	Over fifty thousand persons, rich and poor, maimed soldiers and working people, passed in one by one to look upon the familiar face. Said one workman, "It is little enough to lose a day for Horace Greeley, who spent many a day working for us." Just as the doors of the room were being closed for the night, a farmer made his way, saying, "I've come a hundred miles to be at the funeral of Horace Greeley.	Over fifty thousand persons, rich and poor, maimed soldiers and working people, passed in one by one to look upon the familiar face. Said one workman, "It is little enough to lose a day for Horace Greeley, who spent many a day working for us." Just as the doors of the room were being closed for the night, a farmer made his way, saying, "I've come a hundred miles to be at the funeral of Horace Greeley.	false	1619.48	1648.21	21.757978
7313_91072_000035_000003	Can't you possibly let me in to have one last look?"	Can't you possibly let me in to have one last look?"	true	1648.49	1652.2	20.690035
7313_91072_000035_000004	The man stood a moment by the open coffin, and then, pulling his hat low down to hide the tears, was lost in the crowd.	The man stood a moment by the open coffin, and then, pulling his hat low down to hide the tears, was lost in the crowd.	true	1653.26	1662.07	26.05305
7313_91072_000036_000000	From there the body was taken to Dr. Chapin's church, where it rested under a solid arch of flowers, with the words, "I know that my Redeemer liveth"; and in front of the pulpit, "It is done." The coffin was nearly hidden by floral gifts; one of the most touching being a plow made of white camelias on a ground of violets, from the "Tribune" workmen,--a gift to honor the man who honored labor, and ennobled farm-life at his country home at Chappaqua, a few miles from New York.	From there the body was taken to dr Chapin's church, where it rested under a solid arch of flowers, with the words, "I know that my Redeemer liveth"; and in front of the pulpit, "It is done." The coffin was nearly hidden by floral gifts; one of the most touching being a plow made of white camelias on a ground of violets, from the "Tribune" workmen,--a gift to honor the man who honored labor, and ennobled farm life at his country home at Chappaqua, a few miles from New York.	true	1663.46	1693.87	22.026867
7313_91072_000037_000000	And then through an enormous concourse of people, Fifth Avenue being blocked for a mile, the body was borne to Greenwood Cemetery.	And then through an enormous concourse of people, Fifth Avenue being blocked for a mile, the body was borne to Greenwood Cemetery.	true	1694.72	1702.81	23.503994
7313_91072_000037_000001	Stores were closed, and houses along the route were draped in black.	Stores were closed, and houses along the route were draped in black.	true	1703.33	1707.49	23.562592
7313_91072_000037_000002	Flags on the shipping, in the harbor, were at half-mast; and bells tolled from one to three o'clock.	Flags on the shipping, in the harbor, were at half mast; and bells tolled from one to three o'clock.	true	1707.86	1714.48	23.366837
7313_91072_000037_000003	Two hundred and fifty carriages, containing the President of the United States, governors, senators, and other friends, were in the procession.	Two hundred and fifty carriages, containing the President of the United States, governors, senators, and other friends, were in the procession.	true	1714.85	1723.48	24.153406
7313_91072_000037_000004	By the side of his wife and their three little children the great man was laid to rest, the two daughters stepping into the vault, and laying flowers tenderly upon the coffin.	By the side of his wife and their three little children the great man was laid to rest, the two daughters stepping into the vault, and laying flowers tenderly upon the coffin.	true	1724.15	1734.91	23.905794
7313_91072_000038_000000	The following Sabbath clergymen all over the country preached about this wonderful life: its struggles succeeded by world-wide honor.	The following Sabbath clergymen all over the country preached about this wonderful life: its struggles succeeded by world-wide honor.	true	1736	1744.3	23.930101
7313_91072_000038_000001	Mr. Greeley's one great wish was gratified, "I cherish the hope that the journal I projected and established will live and flourish long after I shall have mouldered into forgotten dust; and that the stone which covers my ashes may bear to future eyes the still intelligible inscription, 'Founder of the NEW YORK TRIBUNE.'"	mr Greeley's one great wish was gratified, "I cherish the hope that the journal I projected and established will live and flourish long after I shall have mouldered into forgotten dust; and that the stone which covers my ashes may bear to future eyes the still intelligible inscription, 'Founder of the NEW YORK TRIBUNE.'"	false	1744.82	1779.3	22.374132
