3009_10327_000000_000000	Their substance we consider absolutely and in relation to corporeal things.	Their substance we consider absolutely and in relation to corporeal things.	true	85.575	90.97	23.816118
3009_10327_000044_000003	Now, as in bodies such excess is observed in regard to their magnitude, so in things incorporeal is it observed in regard to their multitude.	Now, as in bodies such excess is observed in regard to their magnitude, so in things incorporeal is it observed in regard to their multitude.	false	1335.26	1346.98	23.219296
3009_10327_000044_000004	We see, in fact, that incorruptible bodies, exceed corruptible bodies almost incomparably in magnitude; for the entire sphere of things active and passive is something very small in comparison with the heavenly bodies.	We see, in fact, that incorruptible bodies, exceed corruptible bodies almost incomparably in magnitude; for the entire sphere of things active and passive is something very small in comparison with the heavenly bodies.	true	1347.65	1364.83	23.526648
3009_10327_000044_000005	Hence it is reasonable to conclude that the immaterial substances as it were incomparably exceed material substances as to multitude.	Hence it is reasonable to conclude that the immaterial substances as it were incomparably exceed material substances as to multitude.	true	1365.08	1376.02	24.564064
3009_10327_000045_000000	Reply Obj. 1: In the angels number is not that of discrete quantity, brought about by division of what is continuous, but that which is caused by distinction of forms; according as multitude is reckoned among the transcendentals, as was said above (Q. 30, A. 3; Q. 11).	Reply o b j. one: In the angels number is not that of discrete quantity, brought about by division of what is continuous, but that which is caused by distinction of forms; according as multitude is reckoned among the transcendentals, as was said above (Q. thirty, a three; q eleven).	false	1376.45	1399.42	23.010366
3009_10327_000046_000000	Reply Obj. 2: From the angelic nature being the nighest unto God, it must needs have least of multitude in its composition, but not so as to be found in few subjects.	Reply o b j. two: From the angelic nature being the nighest unto God, it must needs have least of multitude in its composition, but not so as to be found in few subjects.	false	1399.42	1414.33	26.246696
3009_10327_000047_000000	Reply Obj. 3: This is Aristotle's argument (Metaph.	Reply o b j. three: This is Aristotle's argument (Metaph.	false	1415.03	1420.29	24.743143
3009_10327_000047_000001	xii, text 44), and it would conclude necessarily if the separate substances were made for corporeal substances.	x i i, text forty four), and it would conclude necessarily if the separate substances were made for corporeal substances.	false	1420.29	1427.44	24.121677
3009_10327_000047_000002	For thus the immaterial substances would exist to no purpose, unless some movement from them were to appear in corporeal things.	For thus the immaterial substances would exist to no purpose, unless some movement from them were to appear in corporeal things.	true	1427.45	1436.47	24.935299
3009_10327_000047_000003	But it is not true that the immaterial substances exist on account of the corporeal, because the end is nobler than the means to the end.	But it is not true that the immaterial substances exist on account of the corporeal, because the end is nobler than the means to the end.	true	1436.6	1446.55	23.61114
3009_10327_000047_000004	Hence Aristotle says (Metaph.	Hence Aristotle says (Metaph.	false	1446.65	1448.25	22.330488
3009_10327_000047_000005	xii, text 44) that this is not a necessary argument, but a probable one.	x i i, text forty four) that this is not a necessary argument, but a probable one.	false	1448.25	1452.58	23.851286
3009_10327_000047_000006	He was forced to make use of this argument, since only through sensible things can we come to know intelligible ones.	He was forced to make use of this argument, since only through sensible things can we come to know intelligible ones.	true	1452.8	1460.65	22.051989
3009_10327_000048_000000	Reply Obj. 4: This argument comes from the opinion of such as hold that matter is the cause of the distinction of things; but this was refuted above (Q. 47, A. 1).	Reply o b j. four: This argument comes from the opinion of such as hold that matter is the cause of the distinction of things; but this was refuted above (Q. forty seven, a one).	false	1461.44	1473.6	23.113297
3009_10327_000048_000001	Accordingly, the multiplication of the angels is not to be taken according to matter, nor according to bodies, but according to the divine wisdom devising the various orders of immaterial substances. _______________________	Accordingly, the multiplication of the angels is not to be taken according to matter, nor according to bodies, but according to the divine wisdom devising the various orders of immaterial substances. , blank ,	false	1473.6	1490.55	22.919891
3009_10327_000049_000000	FOURTH ARTICLE [I, Q. 50, Art. 4]	FOURTH ARTICLE [I, q fifty, Art. four]	false	1490.55	1491.86	24.445858
3009_10327_000050_000000	Whether the Angels Differ in Species?	Whether the Angels Differ in Species?	true	1491.86	1494.52	18
3009_10327_000051_000000	Objection 1: It would seem that the angels do not differ in species. For since the "difference" is nobler than the 'genus,' all things which agree in what is noblest in them, agree likewise in their ultimate constitutive difference; and so they are the same according to species.	Objection one: It would seem that the angels do not differ in species. For since the "difference" is nobler than the 'genus,' all things which agree in what is noblest in them, agree likewise in their ultimate constitutive difference; and so they are the same according to species.	true	1495.4	1514.56	21
3009_10327_000051_000001	But all angels agree in what is noblest in them--that is to say, in intellectuality.	But all angels agree in what is noblest in them-that is to say, in intellectuality.	true	1514.69	1520.59	24
3009_10327_000051_000002	Therefore all the angels are of one species.	Therefore all the angels are of one species.	true	1520.69	1523.64	19
3009_10327_000052_000000	Obj. 2: Further, more and less do not change a species.	o b j. two: Further, more and less do not change a species.	false	1523.64	1528.87	21.26606
3009_10327_000052_000001	But the angels seem to differ only from one another according to more and less--namely, as one is simpler than another, and of keener intellect.	But the angels seem to differ only from one another according to more and less-namely, as one is simpler than another, and of keener intellect.	true	1529	1539.12	22.05974
3009_10327_000052_000002	Therefore the angels do not differ specifically.	Therefore the angels do not differ specifically.	true	1539.12	1542.33	21.82893
3009_10327_000053_000000	Obj. 3: Further, soul and angel are contra-distinguished mutually from each other.	o b j. three: Further, soul and angel are contra distinguished mutually from each other.	false	1542.33	1549.84	22.775648
3009_10327_000053_000001	But all souls are of the one species.	But all souls are of the one species.	true	1549.91	1552.74	19.278448
3009_10327_000053_000002	So therefore are the angels.	So therefore are the angels.	true	1552.74	1554.72	16
3009_10327_000054_000000	Obj. 4: Further, the more perfect a thing is in nature, the more ought it to be multiplied.	o b j. four: Further, the more perfect a thing is in nature, the more ought it to be multiplied.	false	1554.72	1561.57	24.444492
3009_10327_000054_000001	But this would not be so if there were but one individual under one species.	But this would not be so if there were but one individual under one species.	true	1561.64	1567.3	23.854534
3009_10327_000054_000002	Therefore there are many angels of one species.	Therefore there are many angels of one species.	true	1567.37	1570.71	18.372557
3009_10327_000055_000000	_On the contrary,_ In things of one species there is no such thing as "first" and "second" [prius et posterius], as the Philosopher says (Metaph. iii, text 2).	underscore On the contrary,underscore In things of one species there is no such thing as "first" and "second" [prius et posterius], as the Philosopher says (Metaph. iii, text two).	false	1570.71	1580.61	20.161654
3009_10327_000055_000001	But in the angels even of the one order there are first, middle, and last, as Dionysius says (Hier.	But in the angels even of the one order there are first, middle, and last, as Dionysius says (Hier.	false	1580.61	1587.24	20.43438
3009_10327_000055_000002	Ang. x). Therefore the angels are not of the same species.	Ang. x). Therefore the angels are not of the same species.	false	1587.24	1591.23	22.949373
3009_10327_000056_000000	_I answer that,_ Some have said that all spiritual substances, even souls, are of the one species.	underscore I answer that,underscore Some have said that all spiritual substances, even souls, are of the one species.	false	1591.23	1600.57	20.770142
3009_10327_000056_000001	Others, again, that all the angels are of the one species, but not souls; while others allege that all the angels of one hierarchy, or even of one order, are of the one species.	Others, again, that all the angels are of the one species, but not souls; while others allege that all the angels of one hierarchy, or even of one order, are of the one species.	true	1601.09	1615.57	19.95633
3009_10327_000057_000000	But this is impossible.	But this is impossible.	true	1615.58	1617.76	23.367065
3009_10327_000057_000001	For such things as agree in species but differ in number, agree in form, but are distinguished materially.	For such things as agree in species but differ in number, agree in form, but are distinguished materially.	true	1618.28	1626.31	21.070562
3009_10327_000057_000002	If, therefore, the angels be not composed of matter and form, as was said above (A. 2), it follows that it is impossible for two angels to be of one species; just as it would be impossible for there to be several whitenesses apart, or several humanities, since whitenesses are not several, except in so far as they are in several substances. And if the angels had matter, not even then could there be several angels of one species.	If, therefore, the angels be not composed of matter and form, as was said above (A. two), it follows that it is impossible for two angels to be of one species; just as it would be impossible for there to be several whitenesses apart, or several humanities, since whitenesses are not several, except in so far as they are in several substances. And if the angels had matter, not even then could there be several angels of one species.	false	1627.37	1659.22	21.900324
3009_10327_000057_000003	For it would be necessary for matter to be the principle of distinction of one from the other, not, indeed, according to the division of quantity, since they are incorporeal, but according to the diversity of their powers; and such diversity of matter causes diversity not merely of species, but of genus.	For it would be necessary for matter to be the principle of distinction of one from the other, not, indeed, according to the division of quantity, since they are incorporeal, but according to the diversity of their powers; and such diversity of matter causes diversity not merely of species, but of genus.	true	1659.41	1679.53	24.276823
3009_10327_000058_000000	Reply Obj. 1: "Difference" is nobler than genus, as the determined is more noble than the undetermined, and the proper than the common, but not as one nature is nobler than another; otherwise it would be necessary that all irrational animals be of the same species; or that there should be in them some form which is higher than the sensible soul.	Reply o b j. one: "Difference" is nobler than genus, as the determined is more noble than the undetermined, and the proper than the common, but not as one nature is nobler than another; otherwise it would be necessary that all irrational animals be of the same species; or that there should be in them some form which is higher than the sensible soul.	false	1681.79	1706.71	21.066406
3009_10327_000058_000001	Therefore irrational animals differ in species according to the various determined degrees of sensitive nature; and in like manner all the angels differ in species according to the diverse degrees of intellectual nature.	Therefore irrational animals differ in species according to the various determined degrees of sensitive nature; and in like manner all the angels differ in species according to the diverse degrees of intellectual nature.	false	1707.23	1722.19	21.868752
3009_10327_000059_000000	Reply Obj. 2: More and less change the species, not according as they are caused by the intensity or remissness of one form, but according as they are caused by forms of diverse degrees; for instance, if we say that fire is more perfect than air: and in this way the angels are diversified according to more or less.	Reply o b j. two: More and less change the species, not according as they are caused by the intensity or remissness of one form, but according as they are caused by forms of diverse degrees; for instance, if we say that fire is more perfect than air: and in this way the angels are diversified according to more or less.	false	1723.67	1748.68	22.626547
3009_10327_000060_000000	Reply Obj. 3: The good of the species preponderates over the good of the individual.	Reply o b j. three: The good of the species preponderates over the good of the individual.	false	1749.47	1756.57	23.914616
3009_10327_000060_000001	Hence it is much better for the species to be multiplied in the angels than for individuals to be multiplied in the one species.	Hence it is much better for the species to be multiplied in the angels than for individuals to be multiplied in the one species.	true	1756.76	1765.75	23.34022
3009_10327_000061_000000	Reply Obj. 4: Numerical multiplication, since it can be drawn out infinitely, is not intended by the agent, but only specific multiplication, as was said above (Q. 47, A. 3).	Reply o b j. four: Numerical multiplication, since it can be drawn out infinitely, is not intended by the agent, but only specific multiplication, as was said above (Q. forty seven, a three).	false	1766.81	1780.2	24.422325
3009_10327_000061_000001	Hence the perfection of the angelic nature calls for the multiplying of species, but not for the multiplying of individuals in one species. _______________________	Hence the perfection of the angelic nature calls for the multiplying of species, but not for the multiplying of individuals in one species. , blank ,	false	1780.2	1792.98	23.531061
3009_10327_000062_000000	FIFTH ARTICLE [I, Q. 50, Art.	FIFTH ARTICLE [I, q fifty, Art.	false	1792.98	1794.09	23.42056
3009_10327_000062_000001	5]	five]	false	1794.09	1794.11	-20
3009_10327_000063_000000	Whether the Angels Are Incorruptible?	Whether the Angels Are Incorruptible?	true	1794.11	1796.62	24.660217
3009_10327_000064_000000	Objection 1: It would seem that the angels are not incorruptible; for Damascene, speaking of the angel, says (De Fide Orth. ii, 3) that he is "an intellectual substance, partaking of immortality by favor, and not by nature."	Objection one: It would seem that the angels are not incorruptible; for Damascene, speaking of the angel, says (De Fide Orth. ii, three) that he is "an intellectual substance, partaking of immortality by favor, and not by nature."	false	1797.41	1811.91	21
3009_10327_000065_000000	Obj. 2: Further, Plato says in the Timaeus: "O gods of gods, whose maker and father am I: You are indeed my works, dissoluble by nature, yet indissoluble because I so will it." But gods such as these can only be understood to be the angels.	o b j. two: Further, Plato says in the Timaeus: "O gods of gods, whose maker and father am I: You are indeed my works, dissoluble by nature, yet indissoluble because I so will it." But gods such as these can only be understood to be the angels.	false	1811.91	1832.08	24.10243
3009_10327_000065_000001	Therefore the angels are corruptible by their nature	Therefore the angels are corruptible by their nature	true	1832.09	1835.25	19.582293
3009_10327_000066_000000	Obj. 3: Further, according to Gregory (Moral. xvi), "all things would tend towards nothing, unless the hand of the Almighty preserved them." But what can be brought to nothing is corruptible.	o b j. three: Further, according to Gregory (Moral. x v i), "all things would tend towards nothing, unless the hand of the Almighty preserved them." But what can be brought to nothing is corruptible.	false	1835.25	1848.19	24.470886
3009_10327_000066_000001	Therefore, since the angels were made by God, it would appear that they are corruptible of their own nature.	Therefore, since the angels were made by God, it would appear that they are corruptible of their own nature.	true	1848.29	1854.96	24.187397
3009_10327_000067_000000	_On the contrary,_ Dionysius says (Div.	underscore On the contrary,underscore Dionysius says (d i v.	false	1854.96	1858.53	18.12458
3009_10327_000067_000001	Nom. iv) that the intellectual substances "have unfailing life, being free from all corruption, death, matter, and generation."	Nom. i v) that the intellectual substances "have unfailing life, being free from all corruption, death, matter, and generation."	false	1858.53	1869.18	22.503834
3009_10327_000068_000000	_I answer that,_ It must necessarily be maintained that the angels are incorruptible of their own nature.	underscore I answer that,underscore It must necessarily be maintained that the angels are incorruptible of their own nature.	false	1869.18	1878.4	25.391958
3009_10327_000068_000001	The reason for this is, that nothing is corrupted except by its form being separated from the matter.	The reason for this is, that nothing is corrupted except by its form being separated from the matter.	true	1878.53	1885.48	23.937593
3009_10327_000068_000002	Hence, since an angel is a subsisting form, as is clear from what was said above (A. 2), it is impossible for its substance to be corruptible.	Hence, since an angel is a subsisting form, as is clear from what was said above (A. two), it is impossible for its substance to be corruptible.	false	1885.76	1895.32	22.957405
3009_10327_000068_000003	For what belongs to anything considered in itself can never be separated from it; but what belongs to a thing, considered in relation to something else, can be separated, when that something else is taken away, in view of which it belonged to it.	For what belongs to anything considered in itself can never be separated from it; but what belongs to a thing, considered in relation to something else, can be separated, when that something else is taken away, in view of which it belonged to it.	true	1895.54	1910.68	23.993073
3009_10327_000068_000004	Roundness can never be taken from the circle, because it belongs to it of itself; but a bronze circle can lose roundness, if the bronze be deprived of its circular shape.	Roundness can never be taken from the circle, because it belongs to it of itself; but a bronze circle can lose roundness, if the bronze be deprived of its circular shape.	true	1910.93	1922.68	23.662308
3009_10327_000068_000005	Now to be belongs to a form considered in itself; for everything is an actual being according to its form: whereas matter is an actual being by the form.	Now to be belongs to a form considered in itself; for everything is an actual being according to its form: whereas matter is an actual being by the form.	true	1923.02	1935.94	22.522343
3009_10327_000068_000006	Consequently a subject composed of matter and form ceases to be actually when the form is separated from the matter.	Consequently a subject composed of matter and form ceases to be actually when the form is separated from the matter.	true	1936.16	1943.8	22.894749
3009_10327_000068_000007	But if the form subsists in its own being, as happens in the angels, as was said above (A. 2), it cannot lose its being. Therefore, the angel's immateriality is the cause why it is incorruptible by its own nature.	But if the form subsists in its own being, as happens in the angels, as was said above (A. two), it cannot lose its being. Therefore, the angel's immateriality is the cause why it is incorruptible by its own nature.	false	1944.08	1960.6	22.571228
3009_10327_000069_000000	A token of this incorruptibility can be gathered from its intellectual operation; for since everything acts according as it is actual, the operation of a thing indicates its mode of being.	A token of this incorruptibility can be gathered from its intellectual operation; for since everything acts according as it is actual, the operation of a thing indicates its mode of being.	false	1961.21	1974.7	23.276962
3009_10327_000069_000001	Now the species and nature of the operation is understood from the object.	Now the species and nature of the operation is understood from the object.	true	1974.92	1980.04	24.129402
3009_10327_000069_000002	But an intelligible object, being above time, is everlasting.	But an intelligible object, being above time, is everlasting.	true	1980.08	1985.62	22.745087
3009_10327_000069_000003	Hence every intellectual substance is incorruptible of its own nature.	Hence every intellectual substance is incorruptible of its own nature.	false	1985.72	1990.9	24.612326
3009_10327_000070_000000	Reply Obj. 1: Damascene is dealing with perfect immortality, which includes complete immutability; since "every change is a kind of death," as Augustine says (Contra Maxim. iii).	Reply o b j. one: Damascene is dealing with perfect immortality, which includes complete immutability; since "every change is a kind of death," as Augustine says (Contra Maxim. iii).	false	1991.96	2003.88	27.445187
3009_10327_000070_000001	The angels obtain perfect immutability only by favor, as will appear later (Q. 62).	The angels obtain perfect immutability only by favor, as will appear later (Q. sixty two).	false	2003.88	2011.29	22.478651
3009_10327_000071_000000	Reply Obj. 2: By the expression 'gods' Plato understands the heavenly bodies, which he supposed to be made up of elements, and therefore dissoluble of their own nature; yet they are for ever preserved in existence by the Divine will.	Reply o b j. two: By the expression 'gods' Plato understands the heavenly bodies, which he supposed to be made up of elements, and therefore dissoluble of their own nature; yet they are for ever preserved in existence by the Divine will.	false	2011.29	2028.73	23.948658
3009_10327_000072_000000	Reply Obj. 3: As was observed above (Q. 44, A. 1) there is a kind of necessary thing which has a cause of its necessity.	Reply o b j. three: As was observed above (Q. forty four, a one) there is a kind of necessary thing which has a cause of its necessity.	false	2029.19	2039.2	21.518522
3009_10327_000072_000001	Hence it is not repugnant to a necessary or incorruptible being to depend for its existence on another as its cause.	Hence it is not repugnant to a necessary or incorruptible being to depend for its existence on another as its cause.	true	2039.66	2048.23	24.487137
3009_10327_000072_000002	Therefore, when it is said that all things, even the angels, would lapse into nothing, unless preserved by God, it is not to be gathered therefrom that there is any principle of corruption in the angels; but that the nature of the angels is dependent upon God as its cause.	Therefore, when it is said that all things, even the angels, would lapse into nothing, unless preserved by God, it is not to be gathered therefrom that there is any principle of corruption in the angels; but that the nature of the angels is dependent upon God as its cause.	true	2048.6	2068.63	23.888268
3009_10327_000072_000003	For a thing is said to be corruptible not merely because God can reduce it to non-existence, by withdrawing His act of preservation; but also because it has some principle of corruption within itself, or some contrariety, or at least the potentiality of matter. _______________________	For a thing is said to be corruptible not merely because God can reduce it to non existence, by withdrawing His act of preservation; but also because it has some principle of corruption within itself, or some contrariety, or at least the potentiality of matter. , blank ,	false	2068.64	2100.99	23.999472
