192_128345_000000_000000	"I have no hope," said Mr. Lorry, in a low and sorrowful whisper.	"I have no hope," said mr Lorry, in a low and sorrowful whisper.	false	0	1.56	19.554867
192_128345_000076_000000	"They are not in danger?"	"They are not in danger?"	true	881.78	883.27	18.553568
192_128345_000077_000000	"They are in great danger.	"They are in great danger.	true	883.76	885.52	23.452639
192_128345_000077_000001	They are in danger of denunciation by Madame Defarge.	They are in danger of denunciation by Madame Defarge.	true	885.71	889.24	17
192_128345_000077_000002	I know it from her own lips.	I know it from her own lips.	true	889.34	891.22	27.712048
192_128345_000077_000003	I have overheard words of that woman's, to-night, which have presented their danger to me in strong colours.	I have overheard words of that woman's, to night, which have presented their danger to me in strong colours.	true	891.32	897.43	20.712944
192_128345_000077_000004	I have lost no time, and since then, I have seen the spy.	I have lost no time, and since then, I have seen the spy.	true	897.71	901.15	18
192_128345_000077_000005	He confirms me.	He confirms me.	true	901.61	902.895	22.484646
192_128345_000077_000006	He knows that a wood-sawyer, living by the prison wall, is under the control of the Defarges, and has been rehearsed by Madame Defarge as to his having seen Her"--he never mentioned Lucie's name--"making signs and signals to prisoners.	He knows that a wood sawyer, living by the prison wall, is under the control of the Defarges, and has been rehearsed by Madame Defarge as to his having seen Her"--he never mentioned Lucie's name-"making signs and signals to prisoners.	false	902.895	917.2	20.56376
192_128345_000077_000007	It is easy to foresee that the pretence will be the common one, a prison plot, and that it will involve her life--and perhaps her child's--and perhaps her father's--for both have been seen with her at that place.	It is easy to foresee that the pretence will be the common one, a prison plot, and that it will involve her life-and perhaps her child's-and perhaps her father's-for both have been seen with her at that place.	false	917.54	929.59	22.562775
192_128345_000077_000008	Don't look so horrified.	Don't look so horrified.	true	929.81	931.41	22.294838
192_128345_000077_000009	You will save them all."	You will save them all."	true	931.41	932.89	13
192_128345_000078_000000	"Heaven grant I may, Carton!	"Heaven grant I may, Carton!	true	933.23	934.99	23.029694
192_128345_000078_000001	But how?"	But how?"	true	935.09	936.07	25.00368
192_128345_000079_000000	"I am going to tell you how.	"I am going to tell you how.	true	936.95	938.505	18.511332
192_128345_000079_000001	It will depend on you, and it could depend on no better man.	It will depend on you, and it could depend on no better man.	true	938.505	941.77	17
192_128345_000079_000002	This new denunciation will certainly not take place until after to-morrow; probably not until two or three days afterwards; more probably a week afterwards.	This new denunciation will certainly not take place until after to morrow; probably not until two or three days afterwards; more probably a week afterwards.	false	941.87	951.85	21.400507
192_128345_000079_000003	You know it is a capital crime, to mourn for, or sympathise with, a victim of the Guillotine.	You know it is a capital crime, to mourn for, or sympathise with, a victim of the Guillotine.	true	951.86	957.43	25.736069
192_128345_000079_000004	She and her father would unquestionably be guilty of this crime, and this woman (the inveteracy of whose pursuit cannot be described) would wait to add that strength to her case, and make herself doubly sure.	She and her father would unquestionably be guilty of this crime, and this woman (the inveteracy of whose pursuit cannot be described) would wait to add that strength to her case, and make herself doubly sure.	true	958.01	971.68	22.548191
192_128345_000079_000005	You follow me?"	You follow me?"	true	972.02	972.94	28.270117
192_128345_000080_000000	"So attentively, and with so much confidence in what you say, that for the moment I lose sight," touching the back of the Doctor's chair, "even of this distress."	"So attentively, and with so much confidence in what you say, that for the moment I lose sight," touching the back of the Doctor's chair, "even of this distress."	false	973.61	982.72	21.297762
192_128345_000081_000000	"You have money, and can buy the means of travelling to the seacoast as quickly as the journey can be made.	"You have money, and can buy the means of travelling to the seacoast as quickly as the journey can be made.	true	983.57	989.11	19
192_128345_000081_000001	Your preparations have been completed for some days, to return to England.	Your preparations have been completed for some days, to return to England.	true	989.6	993.49	20
192_128345_000081_000002	Early to-morrow have your horses ready, so that they may be in starting trim at two o'clock in the afternoon."	Early to morrow have your horses ready, so that they may be in starting trim at two o'clock in the afternoon."	true	993.86	999.94	23
192_128345_000082_000000	"It shall be done!"	"It shall be done!"	true	1000.01	1001.29	22.415165
192_128345_000083_000000	His manner was so fervent and inspiring, that Mr. Lorry caught the flame, and was as quick as youth.	His manner was so fervent and inspiring, that mr Lorry caught the flame, and was as quick as youth.	true	1001.33	1007.45	21.81659
192_128345_000084_000000	"You are a noble heart.	"You are a noble heart.	true	1007.45	1009	21.502632
192_128345_000084_000001	Did I say we could depend upon no better man? Tell her, to-night, what you know of her danger as involving her child and her father.	Did I say we could depend upon no better man? Tell her, to night, what you know of her danger as involving her child and her father.	false	1009.16	1016.68	20
192_128345_000084_000002	Dwell upon that, for she would lay her own fair head beside her husband's cheerfully." He faltered for an instant; then went on as before.	Dwell upon that, for she would lay her own fair head beside her husband's cheerfully." He faltered for an instant; then went on as before.	false	1016.87	1026.1	21.137026
192_128345_000084_000003	"For the sake of her child and her father, press upon her the necessity of leaving Paris, with them and you, at that hour.	"For the sake of her child and her father, press upon her the necessity of leaving Paris, with them and you, at that hour.	true	1026.92	1036.27	20.219038
192_128345_000084_000004	Tell her that it was her husband's last arrangement.	Tell her that it was her husband's last arrangement.	true	1036.76	1039.66	22.01522
192_128345_000084_000005	Tell her that more depends upon it than she dare believe, or hope.	Tell her that more depends upon it than she dare believe, or hope.	false	1039.85	1043.77	22.251572
192_128345_000084_000006	You think that her father, even in this sad state, will submit himself to her; do you not?"	You think that her father, even in this sad state, will submit himself to her; do you not?"	false	1043.96	1049.44	22.700958
192_128345_000085_000000	"I am sure of it."	"I am sure of it."	true	1050.02	1051.15	18.084957
192_128345_000086_000000	"I thought so.	"I thought so.	true	1051.25	1052.32	24.987719
192_128345_000086_000001	Quietly and steadily have all these arrangements made in the courtyard here, even to the taking of your own seat in the carriage. The moment I come to you, take me in, and drive away."	Quietly and steadily have all these arrangements made in the courtyard here, even to the taking of your own seat in the carriage. The moment I come to you, take me in, and drive away."	true	1052.51	1063	22.281084
192_128345_000087_000000	"I understand that I wait for you under all circumstances?"	"I understand that I wait for you under all circumstances?"	true	1063.13	1066.36	21.551664
192_128345_000088_000000	"You have my certificate in your hand with the rest, you know, and will reserve my place.	"You have my certificate in your hand with the rest, you know, and will reserve my place.	true	1067	1071.79	21.326233
192_128345_000088_000001	Wait for nothing but to have my place occupied, and then for England!"	Wait for nothing but to have my place occupied, and then for England!"	true	1071.95	1076.41	22.058342
192_128345_000089_000000	"Why, then," said Mr. Lorry, grasping his eager but so firm and steady hand, "it does not all depend on one old man, but I shall have a young and ardent man at my side."	"Why, then," said mr Lorry, grasping his eager but so firm and steady hand, "it does not all depend on one old man, but I shall have a young and ardent man at my side."	true	1076.75	1087.36	20
192_128345_000090_000000	"By the help of Heaven you shall!	"By the help of Heaven you shall!	true	1087.91	1089.76	19.171165
192_128345_000090_000001	Promise me solemnly that nothing will influence you to alter the course on which we now stand pledged to one another."	Promise me solemnly that nothing will influence you to alter the course on which we now stand pledged to one another."	true	1089.83	1096.6	20.97094
192_128345_000091_000000	"Nothing, Carton."	"Nothing, Carton."	true	1096.82	1098.27	22.491583
192_128345_000092_000000	"Remember these words to-morrow: change the course, or delay in it--for any reason--and no life can possibly be saved, and many lives must inevitably be sacrificed."	"Remember these words to morrow: change the course, or delay in it-for any reason-and no life can possibly be saved, and many lives must inevitably be sacrificed."	true	1098.27	1109.98	19.542158
192_128345_000093_000000	"I will remember them.	"I will remember them.	true	1110.26	1111.65	19.8658
192_128345_000093_000001	I hope to do my part faithfully."	I hope to do my part faithfully."	true	1111.65	1114.06	24.495405
192_128345_000094_000000	"And I hope to do mine.	"And I hope to do mine.	true	1114.28	1116.16	23.320896
192_128345_000094_000001	Now, good bye!"	Now, good bye!"	true	1116.35	1117.42	22.945385
192_128345_000095_000000	Though he said it with a grave smile of earnestness, and though he even put the old man's hand to his lips, he did not part from him then.	Though he said it with a grave smile of earnestness, and though he even put the old man's hand to his lips, he did not part from him then.	true	1117.85	1125.79	20.85996
192_128345_000095_000001	He helped him so far to arouse the rocking figure before the dying embers, as to get a cloak and hat put upon it, and to tempt it forth to find where the bench and work were hidden that it still moaningly besought to have.	He helped him so far to arouse the rocking figure before the dying embers, as to get a cloak and hat put upon it, and to tempt it forth to find where the bench and work were hidden that it still moaningly besought to have.	true	1125.98	1139.17	20.607376
192_128345_000095_000002	He walked on the other side of it and protected it to the courtyard of the house where the afflicted heart--so happy in the memorable time when he had revealed his own desolate heart to it--outwatched the awful night.	He walked on the other side of it and protected it to the courtyard of the house where the afflicted heart-so happy in the memorable time when he had revealed his own desolate heart to it-outwatched the awful night.	true	1139.39	1151.5	21.736015
192_128345_000095_000003	He entered the courtyard and remained there for a few moments alone, looking up at the light in the window of her room.	He entered the courtyard and remained there for a few moments alone, looking up at the light in the window of her room.	true	1151.6	1157.8	23
192_128345_000095_000004	Before he went away, he breathed a blessing towards it, and a Farewell.	Before he went away, he breathed a blessing towards it, and a Farewell.	false	1157.84	1170.06	19.58551
