6694_70837_000001_000000	Chapter IV	Chapter four
6694_70837_000093_000000	The election of the presidium took place amid stir and moving about. Avanessov announced that by agreement of the Bolsheviki, Left Socialist Revolutionaries and Mensheviki Internationalists, it was decided to base the presidium upon proportionality.	The election of the presidium took place amid stir and moving about. Avanessov announced that by agreement of the Bolsheviki, Left Socialist Revolutionaries and Mensheviki Internationalists, it was decided to base the presidium upon proportionality.
6694_70837_000093_000001	Several Mensheviki leaped to their feet protesting.	Several Mensheviki leaped to their feet protesting.
6694_70837_000093_000003	Hendelmann, for the right and centre Socialist Revolutionaries, said that they refused to take part in the presidium; the same from Kintchuk, for the Mensheviki; and from the Mensheviki Internationalists, that until the verification of certain circumstances, they too could not enter the presidium. Scattering applause and hoots.	Hendelmann, for the right and centre Socialist Revolutionaries, said that they refused to take part in the presidium; the same from Kintchuk, for the Mensheviki; and from the Mensheviki Internationalists, that until the verification of certain circumstances, they too could not enter the presidium. Scattering applause and hoots.
6694_70837_000093_000004	One voice, "Renegades, you call yourselves Socialists!" A representative of the Ukrainean delegates demanded, and received, a place.	One voice, "Renegades, you call yourselves Socialists!" A representative of the Ukrainean delegates demanded, and received, a place.
6694_70837_000093_000006	The hall rose, thundering.	The hall rose, thundering.
6694_70837_000093_000007	How far they had soared, these Bolsheviki, from a despised and hunted sect less than four months ago, to this supreme place, the helm of great Russia in full tide of insurrection!	How far they had soared, these Bolsheviki, from a despised and hunted sect less than four months ago, to this supreme place, the helm of great Russia in full tide of insurrection!
6694_70837_000095_000001	Martov, demanding the floor, croaked hoarsely, "The civil war is beginning, comrades!	Martov, demanding the floor, croaked hoarsely, "The civil war is beginning, comrades!
6694_70837_000095_000002	The first question must be a peaceful settlement of the crisis.	The first question must be a peaceful settlement of the crisis.
6694_70837_000095_000003	On principle and from a political standpoint we must urgently discuss a means of averting civil war. Our brothers are being shot down in the streets!	On principle and from a political standpoint we must urgently discuss a means of averting civil war. Our brothers are being shot down in the streets!
6694_70837_000095_000004	At this moment, when before the opening of the Congress of Soviets the question of Power is being settled by means of a military plot organised by one of the revolutionary parties--" for a moment he could not make himself heard above the noise, "All of the revolutionary parties must face the fact!	At this moment, when before the opening of the Congress of Soviets the question of Power is being settled by means of a military plot organised by one of the revolutionary parties-" for a moment he could not make himself heard above the noise, "All of the revolutionary parties must face the fact!
6694_70837_000095_000006	We must create a power which will be recognised by the whole democracy.	We must create a power which will be recognised by the whole democracy.
6694_70837_000095_000007	If the Congress wishes to be the voice of the revolutionary democracy it must not sit with folded hands before the developing civil war, the result of which may be a dangerous outburst of counter-revolution.... The possibility of a peaceful outcome lies in the formation of a united democratic authority....	If the Congress wishes to be the voice of the revolutionary democracy it must not sit with folded hands before the developing civil war, the result of which may be a dangerous outburst of counter revolution.... The possibility of a peaceful outcome lies in the formation of a united democratic authority....
6694_70837_000095_000008	We must elect a delegation to negotiate with the other Socialist parties and organisation...."	We must elect a delegation to negotiate with the other Socialist parties and organisation...."
6694_70837_000096_000000	Always the methodical muffled boom of cannon through the windows, and the delegates, screaming at each other....	Always the methodical muffled boom of cannon through the windows, and the delegates, screaming at each other....
6694_70837_000097_000000	The Left Socialist Revolutionaries and the United Social Democrats supported Martov's proposition.	The Left Socialist Revolutionaries and the United Social Democrats supported Martov's proposition.
6694_70837_000097_000001	It was accepted.	It was accepted.
6694_70837_000097_000003	"Some delegates are present," he said.	"Some delegates are present," he said.
6694_70837_000097_000004	"I move that they be given votes." Accepted.	"I move that they be given votes." Accepted.
6694_70837_000098_000001	"The political hypocrites who control this Congress," he shouted, "told us we were to settle the question of Power--and it is being settled behind our backs, before the Congress opens!	"The political hypocrites who control this Congress," he shouted, "told us we were to settle the question of Power-and it is being settled behind our backs, before the Congress opens!
6694_70837_000098_000003	Followed him Gharra: "While we are here discussing propositions of peace, there is a battle on in the streets....	Followed him Gharra: "While we are here discussing propositions of peace, there is a battle on in the streets....
6694_70837_000098_000005	You lie!"...	You lie!"...
6694_70837_000098_000009	The Army is imperfectly represented in this Congress, and furthermore, the Army does not consider the Congress of Soviets necessary at this time, only three weeks before the opening of the Constituent--" shouts and stamping, always growing more violent.	The Army is imperfectly represented in this Congress, and furthermore, the Army does not consider the Congress of Soviets necessary at this time, only three weeks before the opening of the Constituent-" shouts and stamping, always growing more violent.
6694_70837_000098_000010	"The Army does not consider that the Congress of Soviets has the necessary authority--" Soldiers began to stand up all over the hall.	"The Army does not consider that the Congress of Soviets has the necessary authority-" Soldiers began to stand up all over the hall.
6694_70837_000099_000000	"Who are you speaking for?	"Who are you speaking for?
6694_70837_000099_000001	What do you represent?" they cried.	What do you represent?" they cried.
6694_70837_000101_000001	You represent the officers, not the soldiers!	You represent the officers, not the soldiers!
6694_70837_000101_000002	What do the soldiers say about it?" Jeers and hoots.	What do the soldiers say about it?" Jeers and hoots.
6694_70837_000102_000000	"We, the Front group, disclaim all responsibility for what has happened and is happening, and we consider it necessary to mobilise all self-conscious revolutionary forces for the salvation of the Revolution!	"We, the Front group, disclaim all responsibility for what has happened and is happening, and we consider it necessary to mobilise all self conscious revolutionary forces for the salvation of the Revolution!
6694_70837_000102_000001	The Front group will leave the Congress....	The Front group will leave the Congress....
6694_70837_000102_000002	The place to fight is out on the streets!"	The place to fight is out on the streets!"
6694_70837_000103_000000	Immense bawling outcry.	Immense bawling outcry.
6694_70837_000103_000001	"You speak for the Staff--not for the Army!"	"You speak for the Staff-not for the Army!"
6694_70837_000104_000000	"I appeal to all reasonable soldiers to leave this Congress!"	"I appeal to all reasonable soldiers to leave this Congress!"
6694_70837_000105_000002	Provocator!" were hurled at him.	Provocator!" were hurled at him.
6694_70837_000106_000000	On behalf of the Mensheviki, Khintchuk then announced that the only possibility of a peaceful solution was to begin negotiations with the Provisional Government for the formation of a new Cabinet, which would find support in all strata of society.	On behalf of the Mensheviki, Khintchuk then announced that the only possibility of a peaceful solution was to begin negotiations with the Provisional Government for the formation of a new Cabinet, which would find support in all strata of society.
6694_70837_000106_000001	He could not proceed for several minutes.	He could not proceed for several minutes.
6694_70837_000106_000002	Raising his voice to a shout he read the Menshevik declaration:	Raising his voice to a shout he read the Menshevik declaration:
6694_70837_000107_000000	"Because the Bolsheviki have made a military conspiracy with the aid of the Petrograd Soviet, without consulting the other factions and parties, we find it impossible to remain in the Congress, and therefore withdraw, inviting the other groups to follow us and to meet for discussion of the situation!"	"Because the Bolsheviki have made a military conspiracy with the aid of the Petrograd Soviet, without consulting the other factions and parties, we find it impossible to remain in the Congress, and therefore withdraw, inviting the other groups to follow us and to meet for discussion of the situation!"
6694_70837_000108_000000	"Deserter!"	"Deserter!"
6694_70837_000108_000001	At intervals in the almost continuous disturbance Hendelman, for the Socialist Revolutionaries, could be heard protesting against the bombardment of the Winter Palace....	At intervals in the almost continuous disturbance Hendelman, for the Socialist Revolutionaries, could be heard protesting against the bombardment of the Winter Palace....
6694_70837_000108_000002	"We are opposed to this kind of anarchy...."	"We are opposed to this kind of anarchy...."
6694_70837_000109_000000	Scarcely had he stepped down than a young, lean-faced soldier, with flashing eyes, leaped to the platform, and dramatically lifted his hand:	Scarcely had he stepped down than a young, lean faced soldier, with flashing eyes, leaped to the platform, and dramatically lifted his hand:
6694_70837_000110_000000	"Comrades!" he cried and there was a hush.	"Comrades!" he cried and there was a hush.
6694_70837_000110_000005	I tell you now, the Lettish soldiers have many times said, 'No more resolutions!	I tell you now, the Lettish soldiers have many times said, 'No more resolutions!
6694_70837_000110_000006	No more talk!	No more talk!
6694_70837_000110_000007	We want deeds--the Power must be in our hands!' Let these impostor delegates leave the Congress!	We want deeds-the Power must be in our hands!' Let these impostor delegates leave the Congress!
6694_70837_000110_000008	The Army is not with them!"	The Army is not with them!"
6694_70837_000111_000000	The hall rocked with cheering.	The hall rocked with cheering.
6694_70837_000111_000001	In the first moments of the session, stunned by the rapidity of events, startled by the sound of cannon, the delegates had hesitated.	In the first moments of the session, stunned by the rapidity of events, startled by the sound of cannon, the delegates had hesitated.
6694_70837_000111_000002	For an hour hammer-blow after hammer-blow had fallen from that tribune, welding them together but beating them down.	For an hour hammer blow after hammer blow had fallen from that tribune, welding them together but beating them down.
6694_70837_000111_000003	Did they stand then alone?	Did they stand then alone?
6694_70837_000111_000004	Was Russia rising against them?	Was Russia rising against them?
