6694_70837_000000_000000	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	Behind us great Smolny, bright with lights, hummed like a gigantic hive....	false	0	22.665	25.081934
6694_70837_000059_000003	But if we should be overpowered, well, every man keeps one bullet for himself...."	But if we should be overpowered, well, every man keeps one bullet for himself...."	true	1020.83	1026.76	23.097906
6694_70837_000060_000000	At this point there was a burst of rifle-fire not far off.	At this point there was a burst of rifle fire not far off.	true	1027.79	1031.47	25.443596
6694_70837_000060_000001	Out on the Square all the people began to run, falling flat on their faces, and the _izvoshtchiki,_ standing on the corners, galloped in every direction.	Out on the Square all the people began to run, falling flat on their faces, and the underscore izvoshtchiki,underscore standing on the corners, galloped in every direction.	false	1031.84	1041.25	25.464972
6694_70837_000060_000002	Inside all was uproar, soldiers running here and there, grabbing up guns, rifle-belts and shouting, "Here they come!	Inside all was uproar, soldiers running here and there, grabbing up guns, rifle belts and shouting, "Here they come!	true	1041.68	1049.51	22.761852
6694_70837_000060_000003	Here they come!" ...	Here they come!" ...	true	1049.51	1050.52	23.415823
6694_70837_000060_000004	But in a few minutes it quieted down again.	But in a few minutes it quieted down again.	true	1051.19	1053.69	28.851019
6694_70837_000060_000005	The _izvoshtchiki_ came back, the people lying down stood up.	The underscore izvoshtchiki underscore came back, the people lying down stood up.	false	1053.69	1058.29	26.9212
6694_70837_000060_000006	Through the Red Arch appeared the _yunkers,_ marching a little out of step, one of them supported by two comrades.	Through the Red Arch appeared the underscore yunkers,underscore marching a little out of step, one of them supported by two comrades.	false	1058.84	1065.4	24.429672
6694_70837_000061_000000	It was getting late when we left the Palace.	It was getting late when we left the Palace.	true	1066.61	1069.29	24.284296
6694_70837_000061_000001	The sentries in the Square had all disappeared.	The sentries in the Square had all disappeared.	true	1069.29	1072.06	23.633402
6694_70837_000061_000002	The great semi-circle of Government buildings seemed deserted.	The great semi circle of Government buildings seemed deserted.	true	1072.4	1076.41	24.014482
6694_70837_000061_000003	We went into the Hotel France for dinner, and right in the middle of soup the waiter, very pale in the face, came up and insisted that we move to the main dining-room at the back of the house, because they were going to put out the lights in the cafe.	We went into the Hotel France for dinner, and right in the middle of soup the waiter, very pale in the face, came up and insisted that we move to the main dining room at the back of the house, because they were going to put out the lights in the cafe.	true	1077.08	1090.96	24.874603
6694_70837_000061_000004	"There will be much shooting," he said.	"There will be much shooting," he said.	true	1091.42	1094.11	29.727034
6694_70837_000062_000000	When we came out on the Morskaya again it was quite dark, except for one flickering street-light on the corner of the Nevsky.	When we came out on the Morskaya again it was quite dark, except for one flickering street light on the corner of the Nevsky.	true	1095.71	1103.02	25.948278
6694_70837_000062_000001	Under this stood a big armored automobile, with racing engine and oil-smoke pouring out of it.	Under this stood a big armored automobile, with racing engine and oil smoke pouring out of it.	true	1103.66	1110.58	25.230473
6694_70837_000062_000002	A small boy had climbed up the side of the thing and was looking down the barrel of a machine gun.	A small boy had climbed up the side of the thing and was looking down the barrel of a machine gun.	true	1111.19	1116.67	21
6694_70837_000062_000003	Soldiers and sailors stood around, evidently waiting for something.	Soldiers and sailors stood around, evidently waiting for something.	true	1117.4	1121.86	22.268055
6694_70837_000062_000004	We walked back up to the Red Arch, where a knot of soldiers was gathered staring at the brightly-lighted Winter Palace and talking in loud tones.	We walked back up to the Red Arch, where a knot of soldiers was gathered staring at the brightly lighted Winter Palace and talking in loud tones.	true	1122.59	1131.58	27.012514
6694_70837_000063_000000	"No, comrades," one was saying.	"No, comrades," one was saying.	true	1132.4	1134.7	25.958292
6694_70837_000063_000001	"How can we shoot at them?	"How can we shoot at them?	true	1134.98	1136.47	23.334414
6694_70837_000063_000002	The Women's Battalion is in there--they will say we have fired on Russian women."	The Women's Battalion is in there-they will say we have fired on Russian women."	true	1136.66	1141.6	21.932238
6694_70837_000064_000000	As we reached the Nevsky again another armoured car came around the corner, and a man poked his head out of the turret-top.	As we reached the Nevsky again another armoured car came around the corner, and a man poked his head out of the turret top.	true	1142.93	1150.51	27.019754
6694_70837_000065_000000	"Come on!" he yelled.	"Come on!" he yelled.	true	1151.12	1153.09	22.4328
6694_70837_000065_000001	"Let's go on through and attack!"	"Let's go on through and attack!"	true	1153.19	1155.31	24.924871
6694_70837_000066_000000	The driver of the other car came over, and shouted so as to be heard above the roaring engine.	The driver of the other car came over, and shouted so as to be heard above the roaring engine.	true	1156.01	1161.4	23.658457
6694_70837_000066_000001	"The Committee says to wait.	"The Committee says to wait.	true	1162.01	1163.95	23.311193
6694_70837_000066_000002	They have got artillery behind the wood-piles in there...."	They have got artillery behind the wood piles in there...."	true	1164.23	1167.43	22.97261
6694_70837_000067_000000	Here the street-cars had stopped running, few people passed, and there were no lights; but a few blocks away we could see the trams, the crowds, the lighted shop-windows and the electric signs of the moving-picture shows--life going on as usual.	Here the street cars had stopped running, few people passed, and there were no lights; but a few blocks away we could see the trams, the crowds, the lighted shop windows and the electric signs of the moving picture shows-life going on as usual.	true	1168.22	1183.54	24.67393
6694_70837_000067_000001	We had tickets to the Ballet at the Marinsky Theatre--all theatres were open--but it was too exciting out of doors....	We had tickets to the Ballet at the Marinsky Theatre-all theatres were open-but it was too exciting out of doors....	true	1184.39	1191.04	25.083181
6694_70837_000068_000000	In the darkness we stumbled over lumber-piles barricading the Police Bridge, and before the Stroganov Palace made out some soldiers wheeling into position a three-inch field-gun.	In the darkness we stumbled over lumber piles barricading the Police Bridge, and before the Stroganov Palace made out some soldiers wheeling into position a three inch field gun.	false	1192.13	1202.8	25
6694_70837_000068_000001	Men in various uniforms were coming and going in an aimless way, and doing a great deal of talking....	Men in various uniforms were coming and going in an aimless way, and doing a great deal of talking....	true	1203.53	1210.09	22.830866
6694_70837_000069_000000	Up the Nevsky the whole city seemed to be out promenading.	Up the Nevsky the whole city seemed to be out promenading.	true	1211.24	1214.95	23.812355
6694_70837_000069_000001	On every corner immense crowds were massed around a core of hot discussion. Pickets of a dozen soldiers with fixed bayonets lounged at the street-crossings, red-faced old men in rich fur coats shook their fists at them, smartly-dressed women screamed epithets; the soldiers argued feebly, with embarrassed grins.... Armoured cars went up and down the street, named after the first Tsars--Oleg, Rurik, Svietoslav--and daubed with huge red letters, "R.	On every corner immense crowds were massed around a core of hot discussion. Pickets of a dozen soldiers with fixed bayonets lounged at the street crossings, red faced old men in rich fur coats shook their fists at them, smartly dressed women screamed epithets; the soldiers argued feebly, with embarrassed grins.... Armoured cars went up and down the street, named after the first Tsars-Oleg, Rurik, Svietoslav-and daubed with huge red letters, "R.	true	1215.2	1249.18	23.331573
6694_70837_000069_000002	S. D. R. P." _(Rossiskaya Partia_)[13].	s d r p" underscore(Rossiskaya Partia underscore)[thirteen].	false	1249.18	1260.66	26.001368
6694_70837_000069_000003	At the Mikhailovsky a man appeared with an armful of newspapers, and was immediately stormed by frantic people, offering a rouble, five roubles, ten roubles, tearing at each other like animals.	At the Mikhailovsky a man appeared with an armful of newspapers, and was immediately stormed by frantic people, offering a rouble, five roubles, ten roubles, tearing at each other like animals.	true	1260.66	1273	24.70393
6694_70837_000069_000004	It was _Rabotchi i Soldat,_ announcing the victory of the Proletarian Revolution, the liberation of the Bolsheviki still in prison, calling upon the Army front and rear for support... a feverish little sheet of four pages, running to enormous type, containing no news....	It was underscore Rabotchi i Soldat,underscore announcing the victory of the Proletarian Revolution, the liberation of the Bolsheviki still in prison, calling upon the Army front and rear for support... a feverish little sheet of four pages, running to enormous type, containing no news....	false	1273.58	1291.41	23.879173
6694_70837_000070_000000	[13] (Russian Social Democratic Labor Party).	[thirteen] (Russian Social Democratic Labor Party).	false	1291.41	1292.94	-20
6694_70837_000071_000000	On the corner of the Sadovaya about two thousand citizens had gathered, staring up at the roof of a tall building, where a tiny red spark glowed and waned.	On the corner of the Sadovaya about two thousand citizens had gathered, staring up at the roof of a tall building, where a tiny red spark glowed and waned.	true	1292.94	1304.74	23.70887
6694_70837_000072_000000	"See!" said a tall peasant, pointing to it.	"See!" said a tall peasant, pointing to it.	true	1305.83	1309.24	28.244871
6694_70837_000072_000001	"It is a provocator. Presently he will fire on the people...." Apparently no one thought of going to investigate.	"It is a provocator. Presently he will fire on the people...." Apparently no one thought of going to investigate.	false	1309.82	1317.85	25.07542
6694_70837_000073_000000	The massive facade of Smolny blazed with lights as we drove up, and from every street converged upon it streams of hurrying shapes dim in the gloom.	The massive facade of Smolny blazed with lights as we drove up, and from every street converged upon it streams of hurrying shapes dim in the gloom.	true	1320.2	1331.35	22.091156
6694_70837_000073_000001	Automobiles and motorcycles came and went; an enormous elephant-coloured armoured automobile, with two red flags flying from the turret, lumbered out with screaming siren.	Automobiles and motorcycles came and went; an enormous elephant coloured armoured automobile, with two red flags flying from the turret, lumbered out with screaming siren.	true	1332.23	1344.43	23.39728
6694_70837_000073_000002	It was cold, and at the outer gate the Red Guards had built themselves a bon-fire.	It was cold, and at the outer gate the Red Guards had built themselves a bon fire.	true	1345.13	1350.88	24.65652
6694_70837_000073_000003	At the inner gate, too, there was a blaze, by the light of which the sentries slowly spelled out our passes and looked us up and down. The canvas covers had been taken off the four rapid-fire guns on each side of the doorway, and the ammunition-belts hung snakelike from their breeches.	At the inner gate, too, there was a blaze, by the light of which the sentries slowly spelled out our passes and looked us up and down. The canvas covers had been taken off the four rapid fire guns on each side of the doorway, and the ammunition belts hung snakelike from their breeches.	true	1351.58	1370.71	23.093765
6694_70837_000073_000004	A dun herd of armoured cars stood under the trees in the court-yard, engines going.	A dun herd of armoured cars stood under the trees in the court yard, engines going.	true	1371.5	1377.76	24.268955
6694_70837_000073_000005	The long, bare, dimly-illuminated halls roared with the thunder of feet, calling, shouting....	The long, bare, dimly illuminated halls roared with the thunder of feet, calling, shouting....	true	1378.79	1386.94	20.086897
6694_70837_000073_000006	There was an atmosphere of recklessness.	There was an atmosphere of recklessness.	true	1387.76	1390.15	28.823832
6694_70837_000073_000007	A crowd came pouring down the staircase, workers in black blouses and round black fur hats, many of them with guns slung over their shoulders, soldiers in rough dirt-coloured coats and grey fur _shapki_ pinched flat, a leader or so--Lunatcharsky, Kameniev--hurrying along in the centre of a group all talking at once, with harassed anxious faces, and bulging portfolios under their arms.	A crowd came pouring down the staircase, workers in black blouses and round black fur hats, many of them with guns slung over their shoulders, soldiers in rough dirt coloured coats and grey fur underscore shapki underscore pinched flat, a leader or so-Lunatcharsky, Kameniev-hurrying along in the centre of a group all talking at once, with harassed anxious faces, and bulging portfolios under their arms.	false	1390.79	1419.85	23.116812
6694_70837_000073_000008	The extraordinary meeting of the Petrograd Soviet was over.	The extraordinary meeting of the Petrograd Soviet was over.	true	1420.64	1424.92	23.986843
6694_70837_000073_000009	I stopped Kameniev--a quick moving little man, with a wide, vivacious face set close to his shoulders. Without preface he read in rapid French a copy of the resolution just passed:	I stopped Kameniev-a quick moving little man, with a wide, vivacious face set close to his shoulders. Without preface he read in rapid French a copy of the resolution just passed:	false	1425.5	1438.24	24.349941
6694_70837_000074_000000	The Petrograd Soviet of Workers' and Soldiers' Deputies, saluting the victorious Revolution of the Petrograd proletariat and garrison, particularly emphasises the unity, organisation, discipline, and complete cooperation shown by the masses in this rising; rarely has less blood been spilled, and rarely has an insurrection succeeded so well.	The Petrograd Soviet of Workers' and Soldiers' Deputies, saluting the victorious Revolution of the Petrograd proletariat and garrison, particularly emphasises the unity, organisation, discipline, and complete cooperation shown by the masses in this rising; rarely has less blood been spilled, and rarely has an insurrection succeeded so well.	true	1439.48	1458.46	22
6694_70837_000075_000000	The Soviet expresses its firm conviction that the Workers' and Peasants' Government which, as the government of the Soviets, will be created by the Revolution, and which will assure the industrial proletariat of the support of the entire mass of poor peasants, will march firmly toward Socialism, the only means by which the country can be spared the miseries and unheard-of horrors of war.	The Soviet expresses its firm conviction that the Workers' and Peasants' Government which, as the government of the Soviets, will be created by the Revolution, and which will assure the industrial proletariat of the support of the entire mass of poor peasants, will march firmly toward Socialism, the only means by which the country can be spared the miseries and unheard of horrors of war.	true	1458.5	1480.27	25.76121
6694_70837_000076_000000	The new Workers' and Peasants' Government will propose immediately a just and democratic peace to all the belligerent countries.	The new Workers' and Peasants' Government will propose immediately a just and democratic peace to all the belligerent countries.	true	1480.73	1488.01	24.48429
6694_70837_000077_000000	It will suppress immediately the great landed property, and transfer the land to the peasants.	It will suppress immediately the great landed property, and transfer the land to the peasants.	true	1488.59	1494.13	25.897747
6694_70837_000077_000001	It will establish workmen's control over production and distribution of manufactured products, and will set up a general control over the banks, which it will transform into a state monopoly.	It will establish workmen's control over production and distribution of manufactured products, and will set up a general control over the banks, which it will transform into a state monopoly.	true	1494.17	1504.54	24.333584
6694_70837_000078_000000	The Petrograd Soviet of Workers' and Soldiers' Deputies calls upon the workers and the peasants of Russia to support with all their energy and all their devotion the Proletarian Revolution.	The Petrograd Soviet of Workers' and Soldiers' Deputies calls upon the workers and the peasants of Russia to support with all their energy and all their devotion the Proletarian Revolution.	true	1504.76	1515.37	24.660078
6694_70837_000078_000001	The Soviet expresses its conviction that the city workers, allies of the poor peasants, will assure complete revolutionary order, indispensable to the victory of Socialism.	The Soviet expresses its conviction that the city workers, allies of the poor peasants, will assure complete revolutionary order, indispensable to the victory of Socialism.	true	1515.83	1526.17	25.184437
6694_70837_000078_000002	The Soviet is convinced that the proletariat of the countries of Western Europe will aid us in conducting the cause of Socialism to a real and lasting victory.	The Soviet is convinced that the proletariat of the countries of Western Europe will aid us in conducting the cause of Socialism to a real and lasting victory.	true	1526.36	1535.83	25.272392
6694_70837_000079_000000	"You consider it won then?"	"You consider it won then?"	true	1537.22	1538.8	22.47177
6694_70837_000080_000000	He lifted his shoulders.	He lifted his shoulders.	true	1539.65	1541.14	25.080185
6694_70837_000080_000001	"There is much to do.	"There is much to do.	true	1542.02	1543.33	24.8516
6694_70837_000080_000002	Horribly much.	Horribly much.	true	1543.46	1544.56	26.0591
6694_70837_000080_000003	It is just beginning...."	It is just beginning...."	true	1544.57	1545.91	26.439095
6694_70837_000081_000000	On the landing I met Riazanov, vice-president of the Trade Unions, looking black and biting his grey beard.	On the landing I met Riazanov, vice president of the Trade Unions, looking black and biting his grey beard.	false	1547.66	1554.88	25.016617
6694_70837_000081_000001	"It's insane!	"It's insane!	true	1555.31	1556.62	26.49151
6694_70837_000081_000002	Insane!" he shouted.	Insane!" he shouted.	true	1556.62	1558.68	30.151333
6694_70837_000081_000003	"The European working-class won't move!	"The European working class won't move!	true	1558.68	1561.42	24.987326
6694_70837_000081_000004	All Russia--" He waved his hand distractedly and ran off.	All Russia-" He waved his hand distractedly and ran off.	false	1561.46	1567.35	21.755486
6694_70837_000081_000005	Riazanov and Kameniev had both opposed the insurrection, and felt the lash of Lenin's terrible tongue....	Riazanov and Kameniev had both opposed the insurrection, and felt the lash of Lenin's terrible tongue....	false	1567.35	1574.29	26.39361
6694_70837_000082_000000	It had been a momentous session.	It had been a momentous session.	true	1576.43	1578.49	23.63895
6694_70837_000082_000001	In the name of the Military Revolutionary Committee Trotzky had declared that the Provisional Government no longer existed.	In the name of the Military Revolutionary Committee Trotzky had declared that the Provisional Government no longer existed.	true	1578.89	1587.4	24.073252
6694_70837_000083_000000	"The characteristic of bourgeois governments," he said, "is to deceive the people.	"The characteristic of bourgeois governments," he said, "is to deceive the people.	true	1588.7	1595.77	25.071373
6694_70837_000083_000001	We, the Soviets of Workers', Soldiers' and Peasants' Deputies, are going to try an experiment unique in history; we are going to found a power which will have no other aim but to satisfy the needs of the soldiers, workers, and peasants."	We, the Soviets of Workers', Soldiers' and Peasants' Deputies, are going to try an experiment unique in history; we are going to found a power which will have no other aim but to satisfy the needs of the soldiers, workers, and peasants."	true	1596.86	1618.96	25.309818
6694_70837_000084_000000	Lenin had appeared, welcomed with a mighty ovation, prophesying world-wide Social Revolution....	Lenin had appeared, welcomed with a mighty ovation, prophesying world-wide Social Revolution....	true	1619.99	1627.15	19.917908
6694_70837_000084_000001	And Zinoviev, crying, "This day we have paid our debt to the international proletariat, and struck a terrible blow at the war, a terrible body-blow at all the imperialists and particularly at Wilhelm the Executioner...."	And Zinoviev, crying, "This day we have paid our debt to the international proletariat, and struck a terrible blow at the war, a terrible body blow at all the imperialists and particularly at Wilhelm the Executioner...."	true	1627.64	1644.04	24.151522
6694_70837_000085_000000	Then Trotzky, that telegrams had been sent to the front announcing the victorious insurrection, but no reply had come.	Then Trotzky, that telegrams had been sent to the front announcing the victorious insurrection, but no reply had come.	true	1645.01	1653.19	21.583029
6694_70837_000085_000001	Troops were said to be marching against Petrograd--a delegation must be sent to tell them the truth.	Troops were said to be marching against Petrograd-a delegation must be sent to tell them the truth.	true	1653.8	1660.12	24.539278
6694_70837_000086_000000	Cries, "You are anticipating the will of the All-Russian Congress of Soviets!"	Cries, "You are anticipating the will of the All Russian Congress of Soviets!"	true	1660.79	1666.15	22.679134
6694_70837_000087_000000	Trotzky, coldly, "The will of the All-Russian Congress of Soviets has been anticipated by the rising of the Petrograd workers and soldiers!"	Trotzky, coldly, "The will of the All Russian Congress of Soviets has been anticipated by the rising of the Petrograd workers and soldiers!"	false	1666.64	1678.42	22.757128
6694_70837_000088_000000	So we came into the great meeting-hall, pushing through the clamorous mob at the door.	So we came into the great meeting hall, pushing through the clamorous mob at the door.	true	1679.6	1684.81	23.588322
6694_70837_000088_000001	In the rows of seats, under the white chandeliers, packed immovably in the aisles and on the sides, perched on every window-sill, and even the edge of the platform, the representatives of the workers and soldiers of all Russia waited in anxious silence or wild exultation the ringing of the chairman's bell.	In the rows of seats, under the white chandeliers, packed immovably in the aisles and on the sides, perched on every window sill, and even the edge of the platform, the representatives of the workers and soldiers of all Russia waited in anxious silence or wild exultation the ringing of the chairman's bell.	true	1685.54	1705.57	23.138206
6694_70837_000088_000002	There was no heat in the hall but the stifling heat of unwashed human bodies.	There was no heat in the hall but the stifling heat of unwashed human bodies.	true	1706.51	1711.81	24
6694_70837_000088_000003	A foul blue cloud of cigarette smoke rose from the mass and hung in the thick air.	A foul blue cloud of cigarette smoke rose from the mass and hung in the thick air.	true	1712.54	1719.13	21.493372
6694_70837_000088_000004	Occasionally some one in authority mounted the tribune and asked the comrades not to smoke; then everybody, smokers and all, took up the cry "Don't smoke, comrades!" and went on smoking.	Occasionally some one in authority mounted the tribune and asked the comrades not to smoke; then everybody, smokers and all, took up the cry "Don't smoke, comrades!" and went on smoking.	true	1720.1	1734.04	23.464869
6694_70837_000088_000005	Petrovsky, Anarchist delegate from the Obukhov factory, made a seat for me beside him.	Petrovsky, Anarchist delegate from the Obukhov factory, made a seat for me beside him.	true	1734.77	1741.69	25.100128
6694_70837_000088_000006	Unshaven and filthy, he was reeling from three nights' sleepless work on the Military Revolutionary Committee.	Unshaven and filthy, he was reeling from three nights' sleepless work on the Military Revolutionary Committee.	true	1742.18	1749.4	23
6694_70837_000089_000000	On the platform sat the leaders of the old _Tsay-ee-kah_--for the last time dominating the turbulent Soviets, which they had ruled from the first days, and which were now risen against them.	On the platform sat the leaders of the old underscore Tsay ee kah underscore--for the last time dominating the turbulent Soviets, which they had ruled from the first days, and which were now risen against them.	false	1751.06	1762.36	23.35678
6694_70837_000089_000001	It was the end of the first period of the Russian revolution, which these men had attempted to guide in careful ways....	It was the end of the first period of the Russian revolution, which these men had attempted to guide in careful ways....	true	1762.94	1769.8	20.643343
6694_70837_000089_000002	The three greatest of them were not there: Kerensky, flying to the front through country towns all doubtfully heaving up; Tcheidze, the old eagle, who had contemptuously retired to his own Georgian mountains, there to sicken with consumption; and the high-souled Tseretelli, also mortally stricken, who, nevertheless, would return and pour out his beautiful eloquence for a lost cause.	The three greatest of them were not there: Kerensky, flying to the front through country towns all doubtfully heaving up; Tcheidze, the old eagle, who had contemptuously retired to his own Georgian mountains, there to sicken with consumption; and the high souled Tseretelli, also mortally stricken, who, nevertheless, would return and pour out his beautiful eloquence for a lost cause.	false	1770.47	1797.01	23.921354
6694_70837_000089_000003	Gotz sat there, Dan, Lieber, Bogdanov, Broido, Fillipovsky,--white-faced, hollow-eyed and indignant.	Gotz sat there, Dan, Lieber, Bogdanov, Broido, Fillipovsky,--white faced, hollow eyed and indignant.	true	1797.71	1807.3	26.941767
6694_70837_000089_000004	Below them the second _siezd_ of the All-Russian Soviets boiled and swirled, and over their heads the Military Revolutionary Committee functioned white-hot, holding in its hands the threads of insurrection and striking with a long arm....	Below them the second underscore siezd underscore of the All Russian Soviets boiled and swirled, and over their heads the Military Revolutionary Committee functioned white hot, holding in its hands the threads of insurrection and striking with a long arm....	false	1808.3	1824.22	21.711159
6694_70837_000089_000005	It was 10.40 P. M.	It was ten forty p m	true	1824.77	1826.71	27.956398
6694_70837_000090_000000	Dan, a mild-faced, baldish figure in a shapeless military surgeon's uniform, was ringing the bell.	Dan, a mild faced, baldish figure in a shapeless military surgeon's uniform, was ringing the bell.	true	1828.61	1835.56	21.325764
6694_70837_000090_000001	Silence fell sharply, intense, broken by the scuffling and disputing of the people at the door....	Silence fell sharply, intense, broken by the scuffling and disputing of the people at the door....	true	1836.38	1843.36	28.152824
6694_70837_000091_000000	"We have the power in our hands," he began sadly, stopped for a moment, and then went on in a low voice.	"We have the power in our hands," he began sadly, stopped for a moment, and then went on in a low voice.	true	1844.69	1852.93	21.924725
6694_70837_000091_000001	"Comrades!	"Comrades!	true	1854.23	1855.12	22.926336
6694_70837_000091_000002	The Congress of Soviets in meeting in such unusual circumstances and in such an extraordinary moment that you will understand why the _Tsay-ee-kah_ considers it unnecessary to address you with a political speech. This will become much clearer to you if you will recollect that I am a member of the _Tsay-ee-kah,_ and that at this very moment our party comrades are in the Winter Palace under bombardment, sacrificing themselves to execute the duty put on them by the _Tsay-ee-kah."_ (Confused uproar.)	The Congress of Soviets in meeting in such unusual circumstances and in such an extraordinary moment that you will understand why the underscore Tsay ee kah underscore considers it unnecessary to address you with a political speech. This will become much clearer to you if you will recollect that I am a member of the underscore Tsay ee kah,underscore and that at this very moment our party comrades are in the Winter Palace under bombardment, sacrificing themselves to execute the duty put on them by the underscore Tsay ee kah."underscore (Confused uproar.)	false	1856.42	1888.72	24.184816
6694_70837_000092_000000	"I declare the first session of the Second Congress of Soviets of Workers' and Soldiers' Deputies open!"	"I declare the first session of the Second Congress of Soviets of Workers' and Soldiers' Deputies open!"	true	1889.84	1896.91	26.233355
6694_70837_000093_000000	The election of the presidium took place amid stir and moving about. Avanessov announced that by agreement of the Bolsheviki, Left Socialist Revolutionaries and Mensheviki Internationalists, it was decided to base the presidium upon proportionality.	The election of the presidium took place amid stir and moving about. Avanessov announced that by agreement of the Bolsheviki, Left Socialist Revolutionaries and Mensheviki Internationalists, it was decided to base the presidium upon proportionality.	true	1898.66	1915.33	21.784166
6694_70837_000093_000001	Several Mensheviki leaped to their feet protesting.	Several Mensheviki leaped to their feet protesting.	true	1916.09	1919.26	24.301922
6694_70837_000093_000002	A bearded soldier shouted at them, "Remember what you did to us Bolsheviki when _we_ were the minority!" Result--14 Bolsheviki, 7 Socialist Revolutionaries, 3 Mensheviki and 1 Internationalist (Gorky's group).	A bearded soldier shouted at them, "Remember what you did to us Bolsheviki when underscore we underscore were the minority!" Result minus fourteen Bolsheviki, seven Socialist Revolutionaries, three Mensheviki and one Internationalist (Gorky's group).	false	1919.66	1937.11	22.361612
6694_70837_000093_000003	Hendelmann, for the right and centre Socialist Revolutionaries, said that they refused to take part in the presidium; the same from Kintchuk, for the Mensheviki; and from the Mensheviki Internationalists, that until the verification of certain circumstances, they too could not enter the presidium. Scattering applause and hoots.	Hendelmann, for the right and centre Socialist Revolutionaries, said that they refused to take part in the presidium; the same from Kintchuk, for the Mensheviki; and from the Mensheviki Internationalists, that until the verification of certain circumstances, they too could not enter the presidium. Scattering applause and hoots.	true	1937.63	1957.87	22.839254
6694_70837_000093_000004	One voice, "Renegades, you call yourselves Socialists!" A representative of the Ukrainean delegates demanded, and received, a place.	One voice, "Renegades, you call yourselves Socialists!" A representative of the Ukrainean delegates demanded, and received, a place.	true	1958.39	1969.39	20.83315
6694_70837_000093_000005	Then the old _Tsay-ee-kah_ stepped down, and in their places appeared Trotzky, Kameniev, Lunatcharsky, Madame Kollentai, Nogin....	Then the old underscore Tsay ee kah underscore stepped down, and in their places appeared Trotzky, Kameniev, Lunatcharsky, Madame Kollentai, Nogin....	false	1970.72	1980.19	25.0375
6694_70837_000093_000006	The hall rose, thundering.	The hall rose, thundering.	true	1980.98	1983.58	20.393984
6694_70837_000093_000007	How far they had soared, these Bolsheviki, from a despised and hunted sect less than four months ago, to this supreme place, the helm of great Russia in full tide of insurrection!	How far they had soared, these Bolsheviki, from a despised and hunted sect less than four months ago, to this supreme place, the helm of great Russia in full tide of insurrection!	true	1983.98	1997.98	23.011494
6694_70837_000094_000000	The order of the day, said Kameniev, was first, Organisation of Power; second, War and Peace; and third, the Constituent Assembly. Lozovsky, rising, announced that upon agreement of the bureau of all factions, it was proposed to hear and discuss the report of the Petrograd Soviet, then to give the floor to members of the _Tsay-ee-kah_ and the different parties, and finally to pass to the order of the day.	The order of the day, said Kameniev, was first, Organisation of Power; second, War and Peace; and third, the Constituent Assembly. Lozovsky, rising, announced that upon agreement of the bureau of all factions, it was proposed to hear and discuss the report of the Petrograd Soviet, then to give the floor to members of the underscore Tsay ee kah underscore and the different parties, and finally to pass to the order of the day.	false	1999.4	2025.28	23.819942
6694_70837_000095_000000	But suddenly a new sound made itself heard, deeper than the tumult of the crowd, persistent, disquieting,--the dull shock of guns. People looked anxiously toward the clouded windows, and a sort of fever came over them.	But suddenly a new sound made itself heard, deeper than the tumult of the crowd, persistent, disquieting,--the dull shock of guns. People looked anxiously toward the clouded windows, and a sort of fever came over them.	false	2027.33	2043.13	22.278225
6694_70837_000095_000001	Martov, demanding the floor, croaked hoarsely, "The civil war is beginning, comrades!	Martov, demanding the floor, croaked hoarsely, "The civil war is beginning, comrades!	true	2043.53	2050.54	23.752506
6694_70837_000095_000002	The first question must be a peaceful settlement of the crisis.	The first question must be a peaceful settlement of the crisis.	true	2051.06	2055.25	22.669369
6694_70837_000095_000003	On principle and from a political standpoint we must urgently discuss a means of averting civil war. Our brothers are being shot down in the streets!	On principle and from a political standpoint we must urgently discuss a means of averting civil war. Our brothers are being shot down in the streets!	true	2055.71	2067.46	22.44987
6694_70837_000095_000004	At this moment, when before the opening of the Congress of Soviets the question of Power is being settled by means of a military plot organised by one of the revolutionary parties--" for a moment he could not make himself heard above the noise, "All of the revolutionary parties must face the fact!	At this moment, when before the opening of the Congress of Soviets the question of Power is being settled by means of a military plot organised by one of the revolutionary parties-" for a moment he could not make himself heard above the noise, "All of the revolutionary parties must face the fact!	true	2068.07	2089.09	22.890192
6694_70837_000095_000005	The first _vopros_ (question) before the Congress is the question of Power, and this question is already being settled by force of arms in the streets!...	The first underscore vopros underscore (question) before the Congress is the question of Power, and this question is already being settled by force of arms in the streets!...	false	2089.46	2101.03	23.158041
6694_70837_000095_000006	We must create a power which will be recognised by the whole democracy.	We must create a power which will be recognised by the whole democracy.	true	2101.79	2107	23.091425
6694_70837_000095_000007	If the Congress wishes to be the voice of the revolutionary democracy it must not sit with folded hands before the developing civil war, the result of which may be a dangerous outburst of counter-revolution.... The possibility of a peaceful outcome lies in the formation of a united democratic authority....	If the Congress wishes to be the voice of the revolutionary democracy it must not sit with folded hands before the developing civil war, the result of which may be a dangerous outburst of counter revolution.... The possibility of a peaceful outcome lies in the formation of a united democratic authority....	true	2107.79	2131.15	23.09362
6694_70837_000095_000008	We must elect a delegation to negotiate with the other Socialist parties and organisation...."	We must elect a delegation to negotiate with the other Socialist parties and organisation...."	true	2131.85	2138.68	22.390877
6694_70837_000096_000000	Always the methodical muffled boom of cannon through the windows, and the delegates, screaming at each other....	Always the methodical muffled boom of cannon through the windows, and the delegates, screaming at each other....	true	2140.04	2147.2	24.674717
