4495_10160_000000_000000	Few men of forty would have resisted her at that moment.	Few men of forty would have resisted her at that moment.	false	0.81	5.28	20.481098
4495_10160_000030_000000	When Frank presented himself in the evening, ignorant of the first elements of his part, she took him in hand, as a middle-aged schoolmistress might have taken in hand a backward little boy.	When Frank presented himself in the evening, ignorant of the first elements of his part, she took him in hand, as a middle aged schoolmistress might have taken in hand a backward little boy.	false	1113.68	1125.73	17
4495_10160_000030_000001	The few attempts he made to vary the sternly practical nature of the evening's occupation by slipping in compliments sidelong she put away from her with the contemptuous self-possession of a woman of twice her age.	The few attempts he made to vary the sternly practical nature of the evening's occupation by slipping in compliments sidelong she put away from her with the contemptuous self possession of a woman of twice her age.	false	1126.1	1140.43	17
4495_10160_000030_000002	She literally forced him into his part.	She literally forced him into his part.	true	1140.77	1144.09	17.016542
4495_10160_000030_000003	Her father fell asleep in his chair. Mrs. Vanstone and Miss Garth lost their interest in the proceedings, retired to the further end of the room, and spoke together in whispers. It grew later and later; and still Magdalen never flinched from her task--still, with equal perseverance, Norah, who had been on the watch all through the evening, kept on the watch to the end.	Her father fell asleep in his chair. mrs Vanstone and Miss Garth lost their interest in the proceedings, retired to the further end of the room, and spoke together in whispers. It grew later and later; and still Magdalen never flinched from her task-still, with equal perseverance, Norah, who had been on the watch all through the evening, kept on the watch to the end.	true	1144.46	1169.77	19.627726
4495_10160_000030_000004	The distrust darkened and darkened on her face as she looked at her sister and Frank; as she saw how close they sat together, devoted to the same interest and working to the same end.	The distrust darkened and darkened on her face as she looked at her sister and Frank; as she saw how close they sat together, devoted to the same interest and working to the same end.	false	1169.96	1184.25	19.640722
4495_10160_000030_000005	The clock on the mantel-piece pointed to half-past eleven before Lucy the resolute permitted Falkland the helpless to shut up his task-book for the night.	The clock on the mantel piece pointed to half past eleven before Lucy the resolute permitted Falkland the helpless to shut up his task book for the night.	true	1184.25	1194.07	20
4495_10160_000030_000006	"She's wonderfully clever, isn't she?" said Frank, taking leave of Mr. Vanstone at the hall door.	"She's wonderfully clever, isn't she?" said Frank, taking leave of mr Vanstone at the hall door.	true	1194.41	1201.21	18
4495_10160_000030_000007	"I'm to come to-morrow, and hear more of her views--if you have no objection.	"I'm to come to morrow, and hear more of her views-if you have no objection.	true	1202.33	1207.54	20.152998
4495_10160_000030_000008	I shall never do it; don't tell her I said so.	I shall never do it; don't tell her I said so.	true	1208	1211.53	18.594015
4495_10160_000030_000009	As fast as she teaches me one speech, the other goes out of my head.	As fast as she teaches me one speech, the other goes out of my head.	false	1212.29	1216.51	20
4495_10160_000030_000010	Discouraging, isn't it?	Discouraging, isn't it?	true	1216.67	1218.29	19.80895
4495_10160_000030_000011	Goodnight."	Goodnight."	true	1218.29	1219.3	21.667007
4495_10160_000031_000000	The next day but one was the day of the first full rehearsal.	The next day but one was the day of the first full rehearsal.	false	1220.18	1224.31	15
4495_10160_000031_000001	On the previous evening Mrs. Vanstone's spirits had been sadly depressed.	On the previous evening mrs Vanstone's spirits had been sadly depressed.	false	1224.83	1230.61	17
4495_10160_000031_000002	At a private interview with Miss Garth she had referred again, of her own accord, to the subject of her letter from London--had spoken self-reproachfully of her weakness in admitting Captain Wragge's impudent claim to a family connection with her--and had then reverted to the state of her health and to the doubtful prospect that awaited her in the coming summer in a tone of despondency which it was very distressing to hear.	At a private interview with Miss Garth she had referred again, of her own accord, to the subject of her letter from London-had spoken self reproachfully of her weakness in admitting Captain Wragge's impudent claim to a family connection with her-and had then reverted to the state of her health and to the doubtful prospect that awaited her in the coming summer in a tone of despondency which it was very distressing to hear.	false	1230.98	1260.79	18.934307
4495_10160_000031_000003	Anxious to cheer her spirits, Miss Garth had changed the conversation as soon as possible--had referred to the approaching theatrical performance--and had relieved Mrs. Vanstone's mind of all anxiety in that direction, by announcing her intention of accompanying Magdalen to each rehearsal, and of not losing sight of her until she was safely back again in her father's house.	Anxious to cheer her spirits, Miss Garth had changed the conversation as soon as possible-had referred to the approaching theatrical performance-and had relieved mrs Vanstone's mind of all anxiety in that direction, by announcing her intention of accompanying Magdalen to each rehearsal, and of not losing sight of her until she was safely back again in her father's house.	false	1261.07	1286.59	18.933577
4495_10160_000031_000004	Accordingly, when Frank presented himself at Combe-Raven on the eventful morning, there stood Miss Garth, prepared--in the interpolated character of Argus--to accompany Lucy and Falkland to the scene of trial.	Accordingly, when Frank presented himself at Combe Raven on the eventful morning, there stood Miss Garth, prepared-in the interpolated character of Argus-to accompany Lucy and Falkland to the scene of trial.	true	1287.08	1302.67	17
4495_10160_000031_000005	The railway conveyed the three, in excellent time, to Evergreen Lodge; and at one o'clock the rehearsal began.	The railway conveyed the three, in excellent time, to Evergreen Lodge; and at one o'clock the rehearsal began.	false	1303.37	1322.52	17.822577
