4719_25765_000000_000000	RAIDING WITH MORGAN.	RAIDING WITH MORGAN.	false	1.32	15.06	20.956657
4719_25765_000069_000000	Conway glared at him for a moment, but there was something in Calhoun's eye which told him that if he repeated the term it might cause trouble, so he snapped: "Well, spy and traitor, if those terms suit you better; but it may be of interest to you to know that I have sworn to see that precious cousin of yours hanged, and"--with a fearful oath--"I will see that he is."	Conway glared at him for a moment, but there was something in Calhoun's eye which told him that if he repeated the term it might cause trouble, so he snapped: "Well, spy and traitor, if those terms suit you better; but it may be of interest to you to know that I have sworn to see that precious cousin of yours hanged, and"--with a fearful oath-"I will see that he is."	true	738.05	757.12	21.923122
4719_25765_000070_000000	With these words he turned on his heel and stalked away.	With these words he turned on his heel and stalked away.	true	757.58	760.48	20.166645
4719_25765_000071_000000	"Shackelford's name has the same effect on Conway that a red rag has on a mad bull," laughed Morgan.	"Shackelford's name has the same effect on Conway that a red rag has on a mad bull," laughed Morgan.	true	760.55	765.64	10
4719_25765_000071_000001	"He can never forget that trick your cousin played on him."	"He can never forget that trick your cousin played on him."	true	766.1	768.66	20
4719_25765_000072_000000	"Ah!	"Ah!	false	768.66	768.84	-20
4719_25765_000072_000001	I remember," said Calhoun; "Fred told me all about it.	I remember," said Calhoun; "Fred told me all about it.	true	768.84	772.155	18.08899
4719_25765_000072_000002	Conway may take a dislike to me simply because I am Fred's cousin.	Conway may take a dislike to me simply because I am Fred's cousin.	true	772.155	775.48	15
4719_25765_000072_000003	I noticed that he greeted me rather coldly."	I noticed that he greeted me rather coldly."	true	775.61	777.79	23
4719_25765_000073_000000	"I reckon he will not carry his hatred so far as that," replied Morgan, "yet it may be best not to mention Shackelford's name to him."	"I reckon he will not carry his hatred so far as that," replied Morgan, "yet it may be best not to mention Shackelford's name to him."	false	777.83	784.26	17
4719_25765_000074_000000	But Morgan might have changed his mind if he had heard Conway talking to a brother officer.	But Morgan might have changed his mind if he had heard Conway talking to a brother officer.	false	784.26	788.56	17
4719_25765_000075_000000	"Just to think," he fumed, "that the Captain picked on that young upstart to go back to Kentucky to recruit instead of one of us.	"Just to think," he fumed, "that the Captain picked on that young upstart to go back to Kentucky to recruit instead of one of us.	false	788.75	795.465	21
4719_25765_000075_000001	I volunteered to go yesterday, and he put me down.	I volunteered to go yesterday, and he put me down.	true	795.465	798.43	18.890766
4719_25765_000075_000002	To my mind, Pennington is no better than that sneak of a cousin of his, and Morgan will find it out some day."	To my mind, Pennington is no better than that sneak of a cousin of his, and Morgan will find it out some day."	true	798.5	804.22	21
4719_25765_000076_000000	"Better keep a still tongue in your head, Conway," dryly replied the officer, a Captain Matthews, to whom Conway was complaining.	"Better keep a still tongue in your head, Conway," dryly replied the officer, a Captain Matthews, to whom Conway was complaining.	true	804.47	811.12	20
4719_25765_000076_000001	"Morgan will give you hell if he finds you are trying to create dissatisfaction."	"Morgan will give you hell if he finds you are trying to create dissatisfaction."	true	811.4	815.35	17
4719_25765_000077_000000	"I am not afraid of Morgan," muttered Conway, but he said no more.	"I am not afraid of Morgan," muttered Conway, but he said no more.	true	815.39	819.25	19.57189
4719_25765_000078_000000	In the mean time Calhoun was hurriedly making preparations for his journey.	In the mean time Calhoun was hurriedly making preparations for his journey.	true	819.62	823.335	16
4719_25765_000078_000001	Many of the officers and men were engaged in writing letters to send back by him to the dear ones in Kentucky.	Many of the officers and men were engaged in writing letters to send back by him to the dear ones in Kentucky.	true	823.335	828.705	12
4719_25765_000078_000002	Morgan intrusted to him several important communications to prominent Southern sympathizers.	Morgan intrusted to him several important communications to prominent Southern sympathizers.	true	828.705	833.58	14
4719_25765_000079_000000	Just as Calhoun was ready to start, Morgan gave him his secret instructions.	Just as Calhoun was ready to start, Morgan gave him his secret instructions.	true	833.58	837.99	21.825026
4719_25765_000080_000000	"What I now tell you," he said, "is too important to commit to writing. You may be captured.	"What I now tell you," he said, "is too important to commit to writing. You may be captured.	false	837.99	843.33	21.497614
4719_25765_000080_000001	For hundreds of miles you must ride through a country swarming with Yankees.	For hundreds of miles you must ride through a country swarming with Yankees.	true	843.33	846.94	16
4719_25765_000080_000002	You will need discretion, as much or more than you will need courage.	You will need discretion, as much or more than you will need courage.	true	846.98	850.425	18
4719_25765_000080_000003	Much depends on your success.	Much depends on your success.	true	850.425	852.04	21.911417
4719_25765_000080_000004	I intend to make a raid north about the first week in May.	I intend to make a raid north about the first week in May.	false	852.05	855.33	18
4719_25765_000080_000005	If possible (and I think it is), I shall try to reach Kentucky.	If possible (and I think it is), I shall try to reach Kentucky.	true	855.33	859.455	20.310469
4719_25765_000080_000006	My force when I start will not reach five hundred.	My force when I start will not reach five hundred.	true	859.455	862.155	19.407217
4719_25765_000080_000007	If I could be joined by a thousand when I reach Kentucky, I believe I could sweep clear to the Ohio River.	If I could be joined by a thousand when I reach Kentucky, I believe I could sweep clear to the Ohio River.	true	862.155	867.18	21
4719_25765_000080_000008	But with the short time at your disposal that will be impossible.	But with the short time at your disposal that will be impossible.	true	867.18	870.13	19
4719_25765_000080_000009	But join me at Glasgow with all you can.	But join me at Glasgow with all you can.	false	870.23	872.41	26
4719_25765_000080_000010	I expect to be in Glasgow by the tenth of May at the latest."	I expect to be in Glasgow by the tenth of May at the latest."	true	872.42	875.74	24
4719_25765_000081_000000	"All right," replied Calhoun, "I will try to meet you there at that time, with at least one or two good companies."	"All right," replied Calhoun, "I will try to meet you there at that time, with at least one or two good companies."	true	876.17	882.13	20.950977
4719_25765_000082_000000	Little did Morgan think at the time how badly he would need those companies.	Little did Morgan think at the time how badly he would need those companies.	false	882.32	885.72	14
4719_25765_000083_000000	At last all was ready, and amid shouts of "Good-bye" and "Success to you," Calhoun vaulted into the saddle and rode away eastward.	At last all was ready, and amid shouts of "Good bye" and "Success to you," Calhoun vaulted into the saddle and rode away eastward.	false	885.72	899.91	19.002348
