6373_65772_000000_000000	"I have this morning heard of the death of my darling Eddie....	"I have this morning heard of the death of my darling Eddie....	false	0	2.61	20.912193
6373_65772_000013_000003	In the intervals of this period, I made every endeavor to conciliate the three creditors who had given me so much annoyance.	In the intervals of this period, I made every endeavor to conciliate the three creditors who had given me so much annoyance.	true	1191.14	1198.42	16
6373_65772_000013_000004	In this I finally succeeded--partly by selling enough of my household furniture to satisfy a moiety of their claim, and partly by a promise of paying the balance upon completion of a little project which I told them I had in view, and for assistance in which I solicited their services.	In this I finally succeeded-partly by selling enough of my household furniture to satisfy a moiety of their claim, and partly by a promise of paying the balance upon completion of a little project which I told them I had in view, and for assistance in which I solicited their services.	true	1198.76	1215.82	20
6373_65772_000013_000005	By these means--for they were ignorant men--I found little difficulty in gaining them over to my purpose.	By these means-for they were ignorant men-I found little difficulty in gaining them over to my purpose.	true	1216.1	1222.93	16
6373_65772_000014_000000	"Matters being thus arranged, I contrived, by the aid of my wife and with the greatest secrecy and caution, to dispose of what property I had remaining, and to borrow, in small sums, under various pretences, and without paying any attention to my future means of repayment, no inconsiderable quantity of ready money.	"Matters being thus arranged, I contrived, by the aid of my wife and with the greatest secrecy and caution, to dispose of what property I had remaining, and to borrow, in small sums, under various pretences, and without paying any attention to my future means of repayment, no inconsiderable quantity of ready money.	true	1223.42	1244.74	18
6373_65772_000014_000001	With the means thus accruing I proceeded to procure at intervals, cambric muslin, very fine, in pieces of twelve yards each; twine; a lot of the varnish of caoutchouc; a large and deep basket of wicker-work, made to order; and several other articles necessary in the construction and equipment of a balloon of extraordinary dimensions.	With the means thus accruing I proceeded to procure at intervals, cambric muslin, very fine, in pieces of twelve yards each; twine; a lot of the varnish of caoutchouc; a large and deep basket of wicker work, made to order; and several other articles necessary in the construction and equipment of a balloon of extraordinary dimensions.	true	1244.9	1268.53	21.743153
6373_65772_000014_000002	This I directed my wife to make up as soon as possible, and gave her all requisite information as to the particular method of proceeding.	This I directed my wife to make up as soon as possible, and gave her all requisite information as to the particular method of proceeding.	true	1268.87	1277.2	21
6373_65772_000014_000003	In the meantime I worked up the twine into a net-work of sufficient dimensions; rigged it with a hoop and the necessary cords; bought a quadrant, a compass, a spy-glass, a common barometer with some important modifications, and two astronomical instruments not so generally known.	In the meantime I worked up the twine into a net work of sufficient dimensions; rigged it with a hoop and the necessary cords; bought a quadrant, a compass, a spy glass, a common barometer with some important modifications, and two astronomical instruments not so generally known.	true	1277.57	1295.62	21
6373_65772_000014_000004	I then took opportunities of conveying by night, to a retired situation east of Rotterdam, five iron-bound casks, to contain about fifty gallons each, and one of a larger size; six tinned ware tubes, three inches in diameter, properly shaped, and ten feet in length; a quantity of a particular metallic substance, or semi-metal, which I shall not name, and a dozen demijohns of a very common acid.	I then took opportunities of conveying by night, to a retired situation east of Rotterdam, five iron bound casks, to contain about fifty gallons each, and one of a larger size; six tinned ware tubes, three inches in diameter, properly shaped, and ten feet in length; a quantity of a particular metallic substance, or semi metal, which I shall not name, and a dozen demijohns of a very common acid.	false	1296.2	1323.22	21
6373_65772_000014_000005	The gas to be formed from these latter materials is a gas never yet generated by any other person than myself--or at least never applied to any similar purpose.	The gas to be formed from these latter materials is a gas never yet generated by any other person than myself-or at least never applied to any similar purpose.	true	1323.8	1333.84	15
6373_65772_000014_000006	The secret I would make no difficulty in disclosing, but that it of right belongs to a citizen of Nantz, in France, by whom it was conditionally communicated to myself. The same individual submitted to me, without being at all aware of my intentions, a method of constructing balloons from the membrane of a certain animal, through which substance any escape of gas was nearly an impossibility.	The secret I would make no difficulty in disclosing, but that it of right belongs to a citizen of Nantz, in France, by whom it was conditionally communicated to myself. The same individual submitted to me, without being at all aware of my intentions, a method of constructing balloons from the membrane of a certain animal, through which substance any escape of gas was nearly an impossibility.	false	1334.36	1359.73	19
6373_65772_000014_000007	I found it, however, altogether too expensive, and was not sure, upon the whole, whether cambric muslin with a coating of gum caoutchouc, was not equally as good.	I found it, however, altogether too expensive, and was not sure, upon the whole, whether cambric muslin with a coating of gum caoutchouc, was not equally as good.	true	1360.43	1371.37	18
6373_65772_000014_000008	I mention this circumstance, because I think it probable that hereafter the individual in question may attempt a balloon ascension with the novel gas and material I have spoken of, and I do not wish to deprive him of the honor of a very singular invention.	I mention this circumstance, because I think it probable that hereafter the individual in question may attempt a balloon ascension with the novel gas and material I have spoken of, and I do not wish to deprive him of the honor of a very singular invention.	true	1371.89	1387.84	16
6373_65772_000015_000000	"On the spot which I intended each of the smaller casks to occupy respectively during the inflation of the balloon, I privately dug a hole two feet deep; the holes forming in this manner a circle twenty-five feet in diameter.	"On the spot which I intended each of the smaller casks to occupy respectively during the inflation of the balloon, I privately dug a hole two feet deep; the holes forming in this manner a circle twenty five feet in diameter.	true	1387.94	1401.91	21.462608
6373_65772_000015_000001	In the centre of this circle, being the station designed for the large cask, I also dug a hole three feet in depth.	In the centre of this circle, being the station designed for the large cask, I also dug a hole three feet in depth.	true	1402.37	1410.31	21
6373_65772_000015_000002	In each of the five smaller holes, I deposited a canister containing fifty pounds, and in the larger one a keg holding one hundred and fifty pounds, of cannon powder.	In each of the five smaller holes, I deposited a canister containing fifty pounds, and in the larger one a keg holding one hundred and fifty pounds, of cannon powder.	false	1410.71	1421.44	15
6373_65772_000015_000003	These--the keg and canisters--I connected in a proper manner with covered trains; and having let into one of the canisters the end of about four feet of slow match, I covered up the hole, and placed the cask over it, leaving the other end of the match protruding about an inch, and barely visible beyond the cask.	These-the keg and canisters-I connected in a proper manner with covered trains; and having let into one of the canisters the end of about four feet of slow match, I covered up the hole, and placed the cask over it, leaving the other end of the match protruding about an inch, and barely visible beyond the cask.	true	1421.93	1441.99	22.436604
6373_65772_000015_000004	I then filled up the remaining holes, and placed the barrels over them in their destined situation.	I then filled up the remaining holes, and placed the barrels over them in their destined situation.	true	1442.33	1448.41	19
6373_65772_000016_000000	"Besides the articles above enumerated, I conveyed to the depot, and there secreted, one of M. Grimm's improvements upon the apparatus for condensation of the atmospheric air.	"Besides the articles above enumerated, I conveyed to the depot, and there secreted, one of m Grimm's improvements upon the apparatus for condensation of the atmospheric air.	false	1448.69	1460.41	22
6373_65772_000016_000001	I found this machine, however, to require considerable alteration before it could be adapted to the purposes to which I intended making it applicable.	I found this machine, however, to require considerable alteration before it could be adapted to the purposes to which I intended making it applicable.	true	1460.84	1469.17	15
6373_65772_000016_000002	But, with severe labor and unremitting perseverance, I at length met with entire success in all my preparations.	But, with severe labor and unremitting perseverance, I at length met with entire success in all my preparations.	true	1469.69	1477.45	18
6373_65772_000016_000003	My balloon was soon completed.	My balloon was soon completed.	true	1477.76	1479.91	17.226765
6373_65772_000016_000004	It would contain more than forty thousand cubic feet of gas; would take me up easily, I calculated, with all my implements, and, if I managed rightly, with one hundred and seventy-five pounds of ballast into the bargain.	It would contain more than forty thousand cubic feet of gas; would take me up easily, I calculated, with all my implements, and, if I managed rightly, with one hundred and seventy five pounds of ballast into the bargain.	false	1480.22	1493.65	18
6373_65772_000016_000005	It had received three coats of varnish, and I found the cambric muslin to answer all the purposes of silk itself, quite as strong and a good deal less expensive.	It had received three coats of varnish, and I found the cambric muslin to answer all the purposes of silk itself, quite as strong and a good deal less expensive.	true	1494.17	1504.36	22.01429
6373_65772_000017_000000	"Everything being now ready, I exacted from my wife an oath of secrecy in relation to all my actions from the day of my first visit to the bookseller's stall; and promising, on my part, to return as soon as circumstances would permit, I gave her what little money I had left, and bade her farewell.	"Everything being now ready, I exacted from my wife an oath of secrecy in relation to all my actions from the day of my first visit to the bookseller's stall; and promising, on my part, to return as soon as circumstances would permit, I gave her what little money I had left, and bade her farewell.	true	1505.12	1523.59	18
6373_65772_000017_000001	Indeed I had no fear on her account.	Indeed I had no fear on her account.	true	1524.08	1526.71	22.56506
6373_65772_000017_000002	She was what people call a notable woman, and could manage matters in the world without my assistance.	She was what people call a notable woman, and could manage matters in the world without my assistance.	true	1526.93	1533.25	21.570034
6373_65772_000017_000003	I believe, to tell the truth, she always looked upon me as an idle boy, a mere make-weight, good for nothing but building castles in the air, and was rather glad to get rid of me. It was a dark night when I bade her good-bye, and taking with me, as aides-de-camp, the three creditors who had given me so much trouble, we carried the balloon, with the car and accoutrements, by a roundabout way, to the station where the other articles were deposited.	I believe, to tell the truth, she always looked upon me as an idle boy, a mere make weight, good for nothing but building castles in the air, and was rather glad to get rid of me. It was a dark night when I bade her good bye, and taking with me, as aides de camp, the three creditors who had given me so much trouble, we carried the balloon, with the car and accoutrements, by a roundabout way, to the station where the other articles were deposited.	true	1533.65	1561.57	21.8609
6373_65772_000017_000004	We there found them all unmolested, and I proceeded immediately to business.	We there found them all unmolested, and I proceeded immediately to business.	true	1561.85	1566.58	18
6373_65772_000018_000000	"It was the first of April.	"It was the first of April.	true	1566.8	1568.5	27.300636
6373_65772_000018_000001	The night, as I said before, was dark; there was not a star to be seen; and a drizzling rain, falling at intervals, rendered us very uncomfortable.	The night, as I said before, was dark; there was not a star to be seen; and a drizzling rain, falling at intervals, rendered us very uncomfortable.	true	1568.75	1578.46	23
6373_65772_000018_000002	But my chief anxiety was concerning the balloon, which, in spite of the varnish with which it was defended, began to grow rather heavy with the moisture; the powder also was liable to damage.	But my chief anxiety was concerning the balloon, which, in spite of the varnish with which it was defended, began to grow rather heavy with the moisture; the powder also was liable to damage.	true	1578.95	1591	19.47199
6373_65772_000018_000003	I therefore kept my three duns working with great diligence, pounding down ice around the central cask, and stirring the acid in the others.	I therefore kept my three duns working with great diligence, pounding down ice around the central cask, and stirring the acid in the others.	true	1591.43	1600.39	20.552126
6373_65772_000018_000004	They did not cease, however, importuning me with questions as to what I intended to do with all this apparatus, and expressed much dissatisfaction at the terrible labor I made them undergo.	They did not cease, however, importuning me with questions as to what I intended to do with all this apparatus, and expressed much dissatisfaction at the terrible labor I made them undergo.	true	1600.91	1612.15	16
6373_65772_000018_000005	They could not perceive, so they said, what good was likely to result from their getting wet to the skin, merely to take a part in such horrible incantations.	They could not perceive, so they said, what good was likely to result from their getting wet to the skin, merely to take a part in such horrible incantations.	false	1612.76	1622.08	20.48295
6373_65772_000018_000006	I began to get uneasy, and worked away with all my might, for I verily believe the idiots supposed that I had entered into a compact with the devil, and that, in short, what I was now doing was nothing better than it should be.	I began to get uneasy, and worked away with all my might, for I verily believe the idiots supposed that I had entered into a compact with the devil, and that, in short, what I was now doing was nothing better than it should be.	true	1622.36	1636.87	17
6373_65772_000018_000007	I was, therefore, in great fear of their leaving me altogether.	I was, therefore, in great fear of their leaving me altogether.	true	1637.03	1640.83	17
6373_65772_000018_000008	I contrived, however, to pacify them by promises of payment of all scores in full, as soon as I could bring the present business to a termination.	I contrived, however, to pacify them by promises of payment of all scores in full, as soon as I could bring the present business to a termination.	true	1641.23	1649.62	16
6373_65772_000018_000009	To these speeches they gave, of course, their own interpretation; fancying, no doubt, that at all events I should come into possession of vast quantities of ready money; and provided I paid them all I owed, and a trifle more, in consideration of their services, I dare say they cared very little what became of either my soul or my carcass.	To these speeches they gave, of course, their own interpretation; fancying, no doubt, that at all events I should come into possession of vast quantities of ready money; and provided I paid them all I owed, and a trifle more, in consideration of their services, I dare say they cared very little what became of either my soul or my carcass.	false	1649.9	1671.34	18
6373_65772_000019_000000	"In about four hours and a half I found the balloon sufficiently inflated.	"In about four hours and a half I found the balloon sufficiently inflated.	true	1672.13	1676.29	18
6373_65772_000019_000001	I attached the car, therefore, and put all my implements in it--not forgetting the condensing apparatus, a copious supply of water, and a large quantity of provisions, such as pemmican, in which much nutriment is contained in comparatively little bulk.	I attached the car, therefore, and put all my implements in it-not forgetting the condensing apparatus, a copious supply of water, and a large quantity of provisions, such as pemmican, in which much nutriment is contained in comparatively little bulk.	true	1676.45	1691.44	18
6373_65772_000019_000002	I also secured in the car a pair of pigeons and a cat.	I also secured in the car a pair of pigeons and a cat.	true	1691.69	1695.25	21
6373_65772_000019_000003	It was now nearly daybreak, and I thought it high time to take my departure.	It was now nearly daybreak, and I thought it high time to take my departure.	true	1695.68	1700.62	22
6373_65772_000019_000004	Dropping a lighted cigar on the ground, as if by accident, I took the opportunity, in stooping to pick it up, of igniting privately the piece of slow match, whose end, as I said before, protruded a very little beyond the lower rim of one of the smaller casks.	Dropping a lighted cigar on the ground, as if by accident, I took the opportunity, in stooping to pick it up, of igniting privately the piece of slow match, whose end, as I said before, protruded a very little beyond the lower rim of one of the smaller casks.	true	1701.23	1718.08	20
6373_65772_000019_000005	This manoeuvre was totally unperceived on the part of the three duns; and, jumping into the car, I immediately cut the single cord which held me to the earth, and was pleased to find that I shot upward, carrying with all ease one hundred and seventy-five pounds of leaden ballast, and able to have carried up as many more.	This manoeuvre was totally unperceived on the part of the three duns; and, jumping into the car, I immediately cut the single cord which held me to the earth, and was pleased to find that I shot upward, carrying with all ease one hundred and seventy five pounds of leaden ballast, and able to have carried up as many more.	true	1718.6	1738.57	18
6373_65772_000020_000000	"Scarcely, however, had I attained the height of fifty yards, when, roaring and rumbling up after me in the most horrible and tumultuous manner, came so dense a hurricane of fire, and smoke, and sulphur, and legs and arms, and gravel, and burning wood, and blazing metal, that my very heart sunk within me, and I fell down in the bottom of the car, trembling with unmitigated terror.	"Scarcely, however, had I attained the height of fifty yards, when, roaring and rumbling up after me in the most horrible and tumultuous manner, came so dense a hurricane of fire, and smoke, and sulphur, and legs and arms, and gravel, and burning wood, and blazing metal, that my very heart sunk within me, and I fell down in the bottom of the car, trembling with unmitigated terror.	true	1738.73	1767.94	21
6373_65772_000020_000001	Indeed, I now perceived that I had entirely overdone the business, and that the main consequences of the shock were yet to be experienced.	Indeed, I now perceived that I had entirely overdone the business, and that the main consequences of the shock were yet to be experienced.	true	1768.43	1778.44	21
6373_65772_000020_000002	Accordingly, in less than a second, I felt all the blood in my body rushing to my temples, and immediately thereupon, a concussion, which I shall never forget, burst abruptly through the night and seemed to rip the very firmament asunder.	Accordingly, in less than a second, I felt all the blood in my body rushing to my temples, and immediately thereupon, a concussion, which I shall never forget, burst abruptly through the night and seemed to rip the very firmament asunder.	true	1778.45	1793.83	18
6373_65772_000020_000003	When I afterward had time for reflection, I did not fail to attribute the extreme violence of the explosion, as regarded myself, to its proper cause--my situation directly above it, and in the line of its greatest power.	When I afterward had time for reflection, I did not fail to attribute the extreme violence of the explosion, as regarded myself, to its proper cause-my situation directly above it, and in the line of its greatest power.	true	1794.02	1810.12	22
6373_65772_000020_000004	But at the time, I thought only of preserving my life.	But at the time, I thought only of preserving my life.	true	1810.4	1813.9	18
6373_65772_000020_000005	The balloon at first collapsed, then furiously expanded, then whirled round and round with horrible velocity, and finally, reeling and staggering like a drunken man, hurled me with great force over the rim of the car, and left me dangling, at a terrific height, with my head downward, and my face outwards, by a piece of slender cord about three feet in length, which hung accidentally through a crevice near the bottom of the wicker-work, and in which, as I fell, my left foot became most providentially entangled.	The balloon at first collapsed, then furiously expanded, then whirled round and round with horrible velocity, and finally, reeling and staggering like a drunken man, hurled me with great force over the rim of the car, and left me dangling, at a terrific height, with my head downward, and my face outwards, by a piece of slender cord about three feet in length, which hung accidentally through a crevice near the bottom of the wicker work, and in which, as I fell, my left foot became most providentially entangled.	false	1814.15	1849.72	20.914288
6373_65772_000020_000006	It is impossible--utterly impossible--to form any adequate idea of the horror of my situation.	It is impossible-utterly impossible-to form any adequate idea of the horror of my situation.	true	1849.88	1857.97	21.841665
6373_65772_000020_000007	I gasped convulsively for breath--a shudder resembling a fit of the ague agitated every nerve and muscle of my frame--I felt my eyes starting from their sockets--a horrible nausea overwhelmed me--and at length I fainted away.	I gasped convulsively for breath-a shudder resembling a fit of the ague agitated every nerve and muscle of my frame-I felt my eyes starting from their sockets-a horrible nausea overwhelmed me-and at length I fainted away.	true	1858.28	1876.72	20.114384
6373_65772_000021_000000	"How long I remained in this state it is impossible to say.	"How long I remained in this state it is impossible to say.	true	1877.03	1880.56	18
6373_65772_000021_000001	It must, however, have been no inconsiderable time, for when I partially recovered the sense of existence, I found the day breaking, the balloon at a prodigious height over a wilderness of ocean, and not a trace of land to be discovered far and wide within the limits of the vast horizon.	It must, however, have been no inconsiderable time, for when I partially recovered the sense of existence, I found the day breaking, the balloon at a prodigious height over a wilderness of ocean, and not a trace of land to be discovered far and wide within the limits of the vast horizon.	true	1880.87	1899.67	19
6373_65772_000021_000002	My sensations, however, upon thus recovering, were by no means so rife with agony as might have been anticipated.	My sensations, however, upon thus recovering, were by no means so rife with agony as might have been anticipated.	true	1900.16	1907.62	17
6373_65772_000021_000003	Indeed, there was much of incipient madness in the calm survey which I began to take of my situation.	Indeed, there was much of incipient madness in the calm survey which I began to take of my situation.	true	1907.93	1914.25	15
6373_65772_000021_000004	I drew up to my eyes each of my hands, one after the other, and wondered what occurrence could have given rise to the swelling of the veins, and the horrible blackness of the fingernails.	I drew up to my eyes each of my hands, one after the other, and wondered what occurrence could have given rise to the swelling of the veins, and the horrible blackness of the fingernails.	true	1914.77	1926.61	21
6373_65772_000021_000005	I afterward carefully examined my head, shaking it repeatedly, and feeling it with minute attention, until I succeeded in satisfying myself that it was not, as I had more than half suspected, larger than my balloon.	I afterward carefully examined my head, shaking it repeatedly, and feeling it with minute attention, until I succeeded in satisfying myself that it was not, as I had more than half suspected, larger than my balloon.	false	1926.62	1941.07	20
6373_65772_000021_000006	Then, in a knowing manner, I felt in both my breeches pockets, and, missing therefrom a set of tablets and a toothpick case, endeavored to account for their disappearance, and not being able to do so, felt inexpressibly chagrined.	Then, in a knowing manner, I felt in both my breeches pockets, and, missing therefrom a set of tablets and a toothpick case, endeavored to account for their disappearance, and not being able to do so, felt inexpressibly chagrined.	true	1941.38	1956.16	23.055433
6373_65772_000021_000007	It now occurred to me that I suffered great uneasiness in the joint of my left ankle, and a dim consciousness of my situation began to glimmer through my mind.	It now occurred to me that I suffered great uneasiness in the joint of my left ankle, and a dim consciousness of my situation began to glimmer through my mind.	true	1956.56	1966.36	17
6373_65772_000021_000008	But, strange to say!	But, strange to say!	true	1966.79	1968.09	21
6373_65772_000021_000009	I was neither astonished nor horror-stricken.	I was neither astonished nor horror stricken.	true	1968.09	1970.83	15
6373_65772_000021_000010	If I felt any emotion at all, it was a kind of chuckling satisfaction at the cleverness I was about to display in extricating myself from this dilemma; and I never, for a moment, looked upon my ultimate safety as a question susceptible of doubt.	If I felt any emotion at all, it was a kind of chuckling satisfaction at the cleverness I was about to display in extricating myself from this dilemma; and I never, for a moment, looked upon my ultimate safety as a question susceptible of doubt.	true	1971.26	1987.93	22
6373_65772_000021_000011	For a few minutes I remained wrapped in the profoundest meditation.	For a few minutes I remained wrapped in the profoundest meditation.	true	1988.48	1992.85	21
6373_65772_000021_000012	I have a distinct recollection of frequently compressing my lips, putting my forefinger to the side of my nose, and making use of other gesticulations and grimaces common to men who, at ease in their arm-chairs, meditate upon matters of intricacy or importance.	I have a distinct recollection of frequently compressing my lips, putting my forefinger to the side of my nose, and making use of other gesticulations and grimaces common to men who, at ease in their arm chairs, meditate upon matters of intricacy or importance.	true	1993.22	2010.07	18
6373_65772_000021_000013	Having, as I thought, sufficiently collected my ideas, I now, with great caution and deliberation, put my hands behind my back, and unfastened the large iron buckle which belonged to the waistband of my inexpressibles.	Having, as I thought, sufficiently collected my ideas, I now, with great caution and deliberation, put my hands behind my back, and unfastened the large iron buckle which belonged to the waistband of my inexpressibles.	false	2010.47	2025.25	17
6373_65772_000021_000014	This buckle had three teeth, which, being somewhat rusty, turned with great difficulty on their axis.	This buckle had three teeth, which, being somewhat rusty, turned with great difficulty on their axis.	true	2025.59	2032	21
6373_65772_000021_000015	I brought them, however, after some trouble, at right angles to the body of the buckle, and was glad to find them remain firm in that position.	I brought them, however, after some trouble, at right angles to the body of the buckle, and was glad to find them remain firm in that position.	true	2032.37	2040.58	18
6373_65772_000021_000016	Holding the instrument thus obtained within my teeth, I now proceeded to untie the knot of my cravat.	Holding the instrument thus obtained within my teeth, I now proceeded to untie the knot of my cravat.	true	2041.16	2047.12	20
6373_65772_000021_000017	I had to rest several times before I could accomplish this manoeuvre, but it was at length accomplished.	I had to rest several times before I could accomplish this manoeuvre, but it was at length accomplished.	true	2047.58	2054.08	21.644943
6373_65772_000021_000018	To one end of the cravat I then made fast the buckle, and the other end I tied, for greater security, tightly around my wrist.	To one end of the cravat I then made fast the buckle, and the other end I tied, for greater security, tightly around my wrist.	false	2054.3	2062.33	22
6373_65772_000021_000019	Drawing now my body upwards, with a prodigious exertion of muscular force, I succeeded, at the very first trial, in throwing the buckle over the car, and entangling it, as I had anticipated, in the circular rim of the wicker-work.	Drawing now my body upwards, with a prodigious exertion of muscular force, I succeeded, at the very first trial, in throwing the buckle over the car, and entangling it, as I had anticipated, in the circular rim of the wicker work.	true	2062.82	2078.29	21.385122
6373_65772_000022_000000	"My body was now inclined towards the side of the car, at an angle of about forty-five degrees; but it must not be understood that I was therefore only forty-five degrees below the perpendicular.	"My body was now inclined towards the side of the car, at an angle of about forty five degrees; but it must not be understood that I was therefore only forty five degrees below the perpendicular.	true	2078.78	2090.56	21
6373_65772_000022_000001	So far from it, I still lay nearly level with the plane of the horizon; for the change of situation which I had acquired, had forced the bottom of the car considerably outwards from my position, which was accordingly one of the most imminent and deadly peril.	So far from it, I still lay nearly level with the plane of the horizon; for the change of situation which I had acquired, had forced the bottom of the car considerably outwards from my position, which was accordingly one of the most imminent and deadly peril.	true	2090.84	2107.69	20
6373_65772_000022_000002	It should be remembered, however, that when I fell in the first instance, from the car, if I had fallen with my face turned toward the balloon, instead of turned outwardly from it, as it actually was; or if, in the second place, the cord by which I was suspended had chanced to hang over the upper edge, instead of through a crevice near the bottom of the car,--I say it may be readily conceived that, in either of these supposed cases, I should have been unable to accomplish even as much as I had now accomplished, and the wonderful adventures of Hans Pfaall would have been utterly lost to posterity, I had therefore every reason to be grateful; although, in point of fact, I was still too stupid to be anything at all, and hung for, perhaps, a quarter of an hour in that extraordinary manner, without making the slightest farther exertion whatsoever, and in a singularly tranquil state of idiotic enjoyment.	It should be remembered, however, that when I fell in the first instance, from the car, if I had fallen with my face turned toward the balloon, instead of turned outwardly from it, as it actually was; or if, in the second place, the cord by which I was suspended had chanced to hang over the upper edge, instead of through a crevice near the bottom of the car,--I say it may be readily conceived that, in either of these supposed cases, I should have been unable to accomplish even as much as I had now accomplished, and the wonderful adventures of Hans Pfaall would have been utterly lost to posterity, I had therefore every reason to be grateful; although, in point of fact, I was still too stupid to be anything at all, and hung for, perhaps, a quarter of an hour in that extraordinary manner, without making the slightest farther exertion whatsoever, and in a singularly tranquil state of idiotic enjoyment.	false	2108.42	2164.6	20.920538
6373_65772_000022_000003	But this feeling did not fail to die rapidly away, and thereunto succeeded horror, and dismay, and a chilling sense of utter helplessness and ruin.	But this feeling did not fail to die rapidly away, and thereunto succeeded horror, and dismay, and a chilling sense of utter helplessness and ruin.	true	2165.3	2175.94	18
6373_65772_000022_000004	In fact, the blood so long accumulating in the vessels of my head and throat, and which had hitherto buoyed up my spirits with madness and delirium, had now begun to retire within their proper channels, and the distinctness which was thus added to my perception of the danger, merely served to deprive me of the self-possession and courage to encounter it.	In fact, the blood so long accumulating in the vessels of my head and throat, and which had hitherto buoyed up my spirits with madness and delirium, had now begun to retire within their proper channels, and the distinctness which was thus added to my perception of the danger, merely served to deprive me of the self possession and courage to encounter it.	true	2176.31	2198.74	21
6373_65772_000022_000005	But this weakness was, luckily for me, of no very long duration.	But this weakness was, luckily for me, of no very long duration.	true	2199.35	2203.99	15
6373_65772_000022_000006	In good time came to my rescue the spirit of despair, and, with frantic cries and struggles, I jerked my way bodily upwards, till at length, clutching with a vise-like grip the long-desired rim, I writhed my person over it, and fell headlong and shuddering within the car.	In good time came to my rescue the spirit of despair, and, with frantic cries and struggles, I jerked my way bodily upwards, till at length, clutching with a vise like grip the long desired rim, I writhed my person over it, and fell headlong and shuddering within the car.	true	2204.39	2223.16	20
6373_65772_000023_000000	"It was not until some time afterward that I recovered myself sufficiently to attend to the ordinary cares of the balloon.	"It was not until some time afterward that I recovered myself sufficiently to attend to the ordinary cares of the balloon.	true	2223.74	2230.45	13
6373_65772_000023_000001	I then, however, examined it with attention, and found it, to my great relief, uninjured.	I then, however, examined it with attention, and found it, to my great relief, uninjured.	true	2230.67	2236.84	21.094934
6373_65772_000023_000002	My implements were all safe, and, fortunately, I had lost neither ballast nor provisions.	My implements were all safe, and, fortunately, I had lost neither ballast nor provisions.	true	2237.18	2243.44	22
6373_65772_000023_000003	Indeed, I had so well secured them in their places, that such an accident was entirely out of the question. Looking at my watch, I found it six o'clock.	Indeed, I had so well secured them in their places, that such an accident was entirely out of the question. Looking at my watch, I found it six o'clock.	true	2243.81	2254.42	22.176344
6373_65772_000023_000004	I was still rapidly ascending, and my barometer gave a present altitude of three and three-quarter miles.	I was still rapidly ascending, and my barometer gave a present altitude of three and three quarter miles.	true	2254.82	2261.53	19
6373_65772_000023_000005	Immediately beneath me in the ocean, lay a small black object, slightly oblong in shape, seemingly about the size, and in every way bearing a great resemblance to one of those childish toys called a domino.	Immediately beneath me in the ocean, lay a small black object, slightly oblong in shape, seemingly about the size, and in every way bearing a great resemblance to one of those childish toys called a domino.	true	2262.02	2276.92	20
6373_65772_000023_000006	Bringing my telescope to bear upon it, I plainly discerned it to be a British ninety four-gun ship, close-hauled, and pitching heavily in the sea with her head to the W.S.W.	Bringing my telescope to bear upon it, I plainly discerned it to be a British ninety four gun ship, close hauled, and pitching heavily in the sea with her head to the w s w	false	2277.05	2288.58	21.910591
6373_65772_000023_000007	Besides this ship, I saw nothing but the ocean and the sky, and the sun, which had long arisen.	Besides this ship, I saw nothing but the ocean and the sky, and the sun, which had long arisen.	true	2288.58	2294.32	12
6373_65772_000024_000000	"It is now high time that I should explain to your Excellencies the object of my perilous voyage.	"It is now high time that I should explain to your Excellencies the object of my perilous voyage.	true	2295.08	2300.98	16
6373_65772_000024_000001	Your Excellencies will bear in mind that distressed circumstances in Rotterdam had at length driven me to the resolution of committing suicide.	Your Excellencies will bear in mind that distressed circumstances in Rotterdam had at length driven me to the resolution of committing suicide.	true	2301.44	2310.22	16
6373_65772_000024_000002	It was not, however, that to life itself I had any, positive disgust, but that I was harassed beyond endurance by the adventitious miseries attending my situation.	It was not, however, that to life itself I had any, positive disgust, but that I was harassed beyond endurance by the adventitious miseries attending my situation.	false	2310.56	2321.53	15
6373_65772_000024_000003	In this state of mind, wishing to live, yet wearied with life, the treatise at the stall of the bookseller opened a resource to my imagination.	In this state of mind, wishing to live, yet wearied with life, the treatise at the stall of the bookseller opened a resource to my imagination.	true	2321.9	2331.88	21.777994
6373_65772_000024_000004	I then finally made up my mind.	I then finally made up my mind.	true	2332.22	2334.58	20.968775
6373_65772_000024_000005	I determined to depart, yet live--to leave the world, yet continue to exist--in short, to drop enigmas, I resolved, let what would ensue, to force a passage, if I could, to the moon.	I determined to depart, yet live-to leave the world, yet continue to exist-in short, to drop enigmas, I resolved, let what would ensue, to force a passage, if I could, to the moon.	true	2335.01	2348.98	21.96094
6373_65772_000024_000006	Now, lest I should be supposed more of a madman than I actually am, I will detail, as well as I am able, the considerations which led me to believe that an achievement of this nature, although without doubt difficult, and incontestably full of danger, was not absolutely, to a bold spirit, beyond the confines of the possible.	Now, lest I should be supposed more of a madman than I actually am, I will detail, as well as I am able, the considerations which led me to believe that an achievement of this nature, although without doubt difficult, and incontestably full of danger, was not absolutely, to a bold spirit, beyond the confines of the possible.	false	2349.26	2380.71	20.587673
