3187_168497_000000_000000	XI	XI	false	11.07	11.58	15
3187_168497_000034_000004	And why?	And why?	true	1176.77	1177.57	19.371729
3187_168497_000034_000005	Simply because its women are recruited, in the main, from a class much above that which furnishes its men.	Simply because its women are recruited, in the main, from a class much above that which furnishes its men.	true	1178.36	1185.34	17.838291
3187_168497_000034_000006	It is, after all, not unnatural for a woman of considerable intelligence to aspire to the stage.	It is, after all, not unnatural for a woman of considerable intelligence to aspire to the stage.	true	1186.79	1192.99	18
3187_168497_000034_000007	It offers her, indeed, one of the most tempting careers that is open to her.	It offers her, indeed, one of the most tempting careers that is open to her.	true	1194.59	1198.96	15
3187_168497_000034_000008	She cannot hope to succeed in business, and in the other professions she is an unwelcome and much-scoffed-at intruder, but on the boards she can meet men on an equal footing.	She cannot hope to succeed in business, and in the other professions she is an unwelcome and much scoffed at intruder, but on the boards she can meet men on an equal footing.	true	1199.78	1211.26	18.418213
3187_168497_000034_000009	It is, therefore, no wonder that women of a relatively superior class often take to the business....	It is, therefore, no wonder that women of a relatively superior class often take to the business....	true	1212.05	1218.07	18.460754
3187_168497_000034_000010	Once they embrace it, their superiority to their male colleagues is quickly manifest.	Once they embrace it, their superiority to their male colleagues is quickly manifest.	true	1218.59	1223.8	19.015095
3187_168497_000034_000011	All movements against puerility and imbecility in the drama have originated, not with actors, but with actresses--that is, in so far as they have originated among stage folks at all.	All movements against puerility and imbecility in the drama have originated, not with actors, but with actresses-that is, in so far as they have originated among stage folks at all.	false	1226.21	1239.07	17.052319
3187_168497_000034_000012	The Ibsen pioneers were such women as Helena Modjeska, Agnes Sorma and Janet Achurch; the men all hung back.	The Ibsen pioneers were such women as Helena Modjeska, Agnes Sorma and Janet Achurch; the men all hung back.	true	1240.37	1248.91	17.667969
3187_168497_000034_000013	Ibsen, it would appear, was aware of this superior alertness and took shrewd advantage of it.	Ibsen, it would appear, was aware of this superior alertness and took shrewd advantage of it.	false	1249.04	1254.64	16
3187_168497_000034_000014	At all events, his most tempting acting parts are feminine ones.	At all events, his most tempting acting parts are feminine ones.	true	1255.13	1259.74	17.835468
3187_168497_000035_000000	The girls of the stage demonstrate this tendency against great difficulties.	The girls of the stage demonstrate this tendency against great difficulties.	true	1261.01	1265.98	18
3187_168497_000035_000001	They have to carry a heavy handicap in the enormous number of women who seek the footlights merely to advertise their real profession, but despite all this, anyone who has the slightest acquaintance with stagefolk will testify that, taking one with another, the women have vastly more brains than the men and are appreciably less vain and idiotic.	They have to carry a heavy handicap in the enormous number of women who seek the footlights merely to advertise their real profession, but despite all this, anyone who has the slightest acquaintance with stagefolk will testify that, taking one with another, the women have vastly more brains than the men and are appreciably less vain and idiotic.	true	1266.89	1289.56	18.208996
3187_168497_000035_000002	Relatively few actresses of any rank marry actors. They find close communion with the strutting brethren psychologically impossible.	Relatively few actresses of any rank marry actors. They find close communion with the strutting brethren psychologically impossible.	true	1290.47	1299.25	17.707792
3187_168497_000035_000003	Stock-brokers, dramatists and even theatrical managers are greatly to be preferred.	Stock brokers, dramatists and even theatrical managers are greatly to be preferred.	true	1299.8	1305.3	18.8399
3187_168497_000036_000000	XX	x x	false	1305.3	1309.56	11.821872
3187_168497_000037_000000	THE CROWD	THE CROWD	true	1309.56	1310.47	18.084566
3187_168497_000038_000000	Gustave Le Bon and his school, in their discussions of the psychology of crowds, have put forward the doctrine that the individual man, cheek by jowl with the multitude, drops down an intellectual peg or two, and so tends to show the mental and emotional reactions of his inferiors.	Gustave Le Bon and his school, in their discussions of the psychology of crowds, have put forward the doctrine that the individual man, cheek by jowl with the multitude, drops down an intellectual peg or two, and so tends to show the mental and emotional reactions of his inferiors.	true	1311.77	1330.42	17.08508
3187_168497_000038_000001	It is thus that they explain the well-known violence and imbecility of crowds. The crowd, as a crowd, performs acts that many of its members, as individuals, would never be guilty of.	It is thus that they explain the well-known violence and imbecility of crowds. The crowd, as a crowd, performs acts that many of its members, as individuals, would never be guilty of.	true	1332.02	1345	17.1121
3187_168497_000038_000002	Its average intelligence is very low; it is inflammatory, vicious, idiotic, almost simian.	Its average intelligence is very low; it is inflammatory, vicious, idiotic, almost simian.	true	1346	1354.66	16.23467
3187_168497_000038_000003	Crowds, properly worked up by skilful demagogues, are ready to believe anything, and to do anything.	Crowds, properly worked up by skilful demagogues, are ready to believe anything, and to do anything.	true	1355.51	1363.09	18.625715
3187_168497_000039_000000	Le Bon, I daresay, is partly right, but also partly wrong.	Le Bon, I daresay, is partly right, but also partly wrong.	true	1364.15	1369.21	18.419632
3187_168497_000039_000001	His theory is probably too flattering to the average numskull.	His theory is probably too flattering to the average numskull.	false	1370.27	1374.99	17.1822
3187_168497_000039_000002	He accounts for the extravagance of crowds on the assumption that the numskull, along with the superior man, is knocked out of his wits by suggestion--that he, too, does things in association that he would never think of doing singly.	He accounts for the extravagance of crowds on the assumption that the numskull, along with the superior man, is knocked out of his wits by suggestion-that he, too, does things in association that he would never think of doing singly.	true	1374.99	1390.03	16.956303
3187_168497_000039_000003	The fact may be accepted, but the reasoning raises a doubt.	The fact may be accepted, but the reasoning raises a doubt.	true	1391.21	1395.01	17.856167
3187_168497_000039_000004	The numskull runs amuck in a crowd, not because he has been inoculated with new rascality by the mysterious crowd influence, but because his habitual rascality now has its only chance to function safely.	The numskull runs amuck in a crowd, not because he has been inoculated with new rascality by the mysterious crowd influence, but because his habitual rascality now has its only chance to function safely.	true	1395.95	1410.07	17.586697
3187_168497_000039_000005	In other words, the numskull is vicious, but a poltroon.	In other words, the numskull is vicious, but a poltroon.	true	1410.74	1415.53	17.209236
3187_168497_000039_000006	He refrains from all attempts at lynching _a cappella_, not because it takes suggestion to make him desire to lynch, but because it takes the protection of a crowd to make him brave enough to try it.	He refrains from all attempts at lynching underscore a cappella underscore, not because it takes suggestion to make him desire to lynch, but because it takes the protection of a crowd to make him brave enough to try it.	false	1416.77	1429.81	17.942133
3187_168497_000040_000000	What happens when a crowd cuts loose is not quite what Le Bon and his followers describe.	What happens when a crowd cuts loose is not quite what Le Bon and his followers describe.	true	1432.61	1438.36	18.621243
3187_168497_000040_000001	The few superior men in it are not straightway reduced to the level of the underlying stoneheads.	The few superior men in it are not straightway reduced to the level of the underlying stoneheads.	false	1439.45	1445.47	16
3187_168497_000040_000002	On the contrary, they usually keep their heads, and often make efforts to combat the crowd action.	On the contrary, they usually keep their heads, and often make efforts to combat the crowd action.	true	1445.69	1452.52	18.242855
3187_168497_000040_000003	But the stoneheads are too many for them; the fence is torn down or the blackamoor is lynched.	But the stoneheads are too many for them; the fence is torn down or the blackamoor is lynched.	true	1453.46	1459.66	16.343872
3187_168497_000040_000004	And why?	And why?	true	1460.21	1461.04	18.456148
3187_168497_000040_000005	Not because the stoneheads, normally virtuous, are suddenly criminally insane.	Not because the stoneheads, normally virtuous, are suddenly criminally insane.	true	1462.61	1468.03	16.57753
3187_168497_000040_000006	Nay, but because they are suddenly conscious of the power lying in their numbers--because they suddenly realize that their natural viciousness and insanity may be safely permitted to function.	Nay, but because they are suddenly conscious of the power lying in their numbers-because they suddenly realize that their natural viciousness and insanity may be safely permitted to function.	true	1469.03	1482.46	15.737591
3187_168497_000041_000000	In other words, the particular swinishness of a crowd is permanently resident in the majority of its members--in all those members, that is, who are naturally ignorant and vicious--perhaps 95 per cent.	In other words, the particular swinishness of a crowd is permanently resident in the majority of its members-in all those members, that is, who are naturally ignorant and vicious-perhaps ninety five per cent.	true	1483.22	1498.48	17.191236
3187_168497_000041_000001	All studies of mob psychology are defective in that they underestimate this viciousness.	All studies of mob psychology are defective in that they underestimate this viciousness.	false	1499.39	1505.17	18.557617
3187_168497_000041_000002	They are poisoned by the prevailing delusion that the lower orders of men are angels.	They are poisoned by the prevailing delusion that the lower orders of men are angels.	false	1506.05	1511.29	17
3187_168497_000041_000003	This is nonsense.	This is nonsense.	true	1511.78	1513.18	14
3187_168497_000041_000004	The lower orders of men are incurable rascals, either individually or collectively.	The lower orders of men are incurable rascals, either individually or collectively.	true	1513.85	1520.11	16.690535
3187_168497_000041_000005	Decency, self-restraint, the sense of justice, courage--these virtues belong only to a small minority of men.	Decency, self restraint, the sense of justice, courage-these virtues belong only to a small minority of men.	true	1520.48	1529.5	16.858707
3187_168497_000041_000006	This minority never runs amuck.	This minority never runs amuck.	true	1529.87	1532.2	15
3187_168497_000041_000007	Its most distinguishing character, in truth, is its resistance to all running amuck.	Its most distinguishing character, in truth, is its resistance to all running amuck.	false	1533.29	1540.11	16.296852
3187_168497_000041_000008	The third-rate man, though he may wear the false whiskers of a first-rate man, may always be detected by his inability to keep his head in the face of an appeal to his emotions.	The third rate man, though he may wear the false whiskers of a first rate man, may always be detected by his inability to keep his head in the face of an appeal to his emotions.	false	1540.11	1551.34	17.860407
3187_168497_000041_000009	A whoop strips off his disguise.	A whoop strips off his disguise.	false	1552.46	1560.09	15.924736
