17_362_000000_000000	Chapter 16	Chapter sixteen	true	14.25	15.39	23.268732
17_362_000036_000002	Thus would she assuredly act if her darkened eyes opened and she beheld me. The thought was madness; it stirred the fiend within me--not I, but she, shall suffer; the murder I have committed because I am forever robbed of all that she could give me, she shall atone.	Thus would she assuredly act if her darkened eyes opened and she beheld me. The thought was madness; it stirred the fiend within me-not I, but she, shall suffer; the murder I have committed because I am forever robbed of all that she could give me, she shall atone.	false	1229.36	1251.43	17.680716
17_362_000036_000003	The crime had its source in her; be hers the punishment!	The crime had its source in her; be hers the punishment!	true	1252.28	1257.79	20.549635
17_362_000036_000004	Thanks to the lessons of Felix and the sanguinary laws of man, I had learned now to work mischief.	Thanks to the lessons of Felix and the sanguinary laws of man, I had learned now to work mischief.	false	1259.27	1266.31	18
17_362_000036_000005	I bent over her and placed the portrait securely in one of the folds of her dress.	I bent over her and placed the portrait securely in one of the folds of her dress.	true	1267.16	1273.06	19.546318
17_362_000036_000006	She moved again, and I fled.	She moved again, and I fled.	true	1273.94	1277.14	19.819527
17_362_000037_000000	"For some days I haunted the spot where these scenes had taken place, sometimes wishing to see you, sometimes resolved to quit the world and its miseries forever.	"For some days I haunted the spot where these scenes had taken place, sometimes wishing to see you, sometimes resolved to quit the world and its miseries forever.	true	1279.61	1289.77	17.918745
17_362_000037_000001	At length I wandered towards these mountains, and have ranged through their immense recesses, consumed by a burning passion which you alone can gratify.	At length I wandered towards these mountains, and have ranged through their immense recesses, consumed by a burning passion which you alone can gratify.	true	1290.71	1301.53	18
17_362_000037_000002	We may not part until you have promised to comply with my requisition.	We may not part until you have promised to comply with my requisition.	true	1302.56	1307.5	14
17_362_000037_000003	I am alone and miserable; man will not associate with me; but one as deformed and horrible as myself would not deny herself to me.	I am alone and miserable; man will not associate with me; but one as deformed and horrible as myself would not deny herself to me.	true	1308.35	1320.94	16.450054
17_362_000037_000004	My companion must be of the same species and have the same defects.	My companion must be of the same species and have the same defects.	true	1321.82	1326.04	15
17_362_000037_000005	This being you must create."	This being you must create."	false	1326.8	1333.08	21.664595
