6317_54487_000000_000000	In 1916 a second break in amicable relations occurred.	In nineteen sixteen a second break in amicable relations occurred.	false	0	0.99	15.755067
6317_54487_000021_000002	"God grant," he concluded, "that we may not be challenged to defend them by acts of willful injustice on the part of the government of Germany." Yet the challenge came.	"God grant," he concluded, "that we may not be challenged to defend them by acts of willful injustice on the part of the government of Germany." Yet the challenge came.	true	1091.21	1100.95	22.933441
6317_54487_000021_000003	Between February 26 and April 2, six American merchant vessels were torpedoed, in most cases without any warning and without regard to the loss of American lives. President Wilson therefore called upon Congress to answer the German menace.	Between february twenty sixth and april second, six American merchant vessels were torpedoed, in most cases without any warning and without regard to the loss of American lives. President Wilson therefore called upon Congress to answer the German menace.	true	1101.02	1115.77	21.393625
6317_54487_000021_000004	The reply of Congress on April 6 was a resolution, passed with only a few dissenting votes, declaring the existence of a state of war with Germany.	The reply of Congress on april sixth was a resolution, passed with only a few dissenting votes, declaring the existence of a state of war with Germany.	true	1116.05	1124.8	23.43571
6317_54487_000021_000005	Austria-Hungary at once severed diplomatic relations with the United States; but it was not until December 7 that Congress, acting on the President's advice, declared war also on that "vassal of the German government."	Austria Hungary at once severed diplomatic relations with the United States; but it was not until december seventh that Congress, acting on the President's advice, declared war also on that "vassal of the German government."	true	1124.96	1137.63	20.827446
6317_54487_000022_000000	=American War Aims.=--In many addresses at the beginning and during the course of the war, President Wilson stated the purposes which actuated our government in taking up arms.	equals American War Aims.equals--In many addresses at the beginning and during the course of the war, President Wilson stated the purposes which actuated our government in taking up arms.	false	1137.63	1148.17	22.080557
6317_54487_000022_000001	He first made it clear that it was a war of self-defense.	He first made it clear that it was a war of self defense.	true	1148.24	1151.31	21.957096
6317_54487_000022_000002	"The military masters of Germany," he exclaimed, "denied us the right to be neutral." Proof of that lay on every hand. Agents of the German imperial government had destroyed American lives and American property on the high seas.	"The military masters of Germany," he exclaimed, "denied us the right to be neutral." Proof of that lay on every hand. Agents of the German imperial government had destroyed American lives and American property on the high seas.	true	1151.31	1164.16	21.653889
6317_54487_000022_000003	They had filled our communities with spies.	They had filled our communities with spies.	true	1164.26	1166.68	20.763527
6317_54487_000022_000004	They had planted bombs in ships and munition works.	They had planted bombs in ships and munition works.	true	1166.78	1169.89	19
6317_54487_000022_000005	They had fomented divisions among American citizens.	They had fomented divisions among American citizens.	true	1169.96	1172.92	18.925663
6317_54487_000023_000000	Though assailed in many ways and compelled to resort to war, the United States sought no material rewards.	Though assailed in many ways and compelled to resort to war, the United States sought no material rewards.	true	1173.35	1179.67	21.279701
6317_54487_000023_000001	"The world must be made safe for democracy.	"The world must be made safe for democracy.	true	1179.92	1182.52	25.725492
6317_54487_000023_000002	Its peace must be planted upon the tested foundations of political liberty.	Its peace must be planted upon the tested foundations of political liberty.	true	1182.65	1186.81	23.177343
6317_54487_000023_000003	We have no selfish ends to serve.	We have no selfish ends to serve.	true	1186.85	1189.08	24.892878
6317_54487_000023_000004	We desire no conquest, no dominion.	We desire no conquest, no dominion.	true	1189.08	1191.52	20
6317_54487_000023_000005	We seek no indemnities for ourselves."	We seek no indemnities for ourselves."	true	1191.59	1193.95	19.417316
6317_54487_000024_000000	In a very remarkable message read to Congress on January 8, 1918, President Wilson laid down his famous "fourteen points" summarizing the ideals for which we were fighting.	In a very remarkable message read to Congress on january eighth nineteen eighteen, President Wilson laid down his famous "fourteen points" summarizing the ideals for which we were fighting.	true	1194.47	1205.65	20.935228
6317_54487_000024_000001	They included open treaties of peace, openly arrived at; absolute freedom of navigation upon the seas; the removal, as far as possible, of trade barriers among nations; reduction of armaments; adjustment of colonial claims in the interest of the populations concerned; fair and friendly treatment of Russia; the restoration of Belgium; righting the wrong done to France in 1871 in the matter of Alsace-Lorraine; adjustment of Italian frontiers along the lines of nationality; more liberty for the peoples of Austria-Hungary; the restoration of Serbia and Rumania; the readjustment of the Turkish Empire; an independent Poland; and an association of nations to afford mutual guarantees to all states great and small.	They included open treaties of peace, openly arrived at; absolute freedom of navigation upon the seas; the removal, as far as possible, of trade barriers among nations; reduction of armaments; adjustment of colonial claims in the interest of the populations concerned; fair and friendly treatment of Russia; the restoration of Belgium; righting the wrong done to France in eighteen seventy one in the matter of Alsace Lorraine; adjustment of Italian frontiers along the lines of nationality; more liberty for the peoples of Austria Hungary; the restoration of Serbia and Rumania; the readjustment of the Turkish Empire; an independent Poland; and an association of nations to afford mutual guarantees to all states great and small.	true	1205.84	1249.63	20.607182
6317_54487_000024_000002	On a later occasion President Wilson elaborated the last point, namely, the formation of a league of nations to guarantee peace and establish justice among the powers of the world.	On a later occasion President Wilson elaborated the last point, namely, the formation of a league of nations to guarantee peace and establish justice among the powers of the world.	false	1249.73	1260.04	19.869234
6317_54487_000024_000003	Democracy, the right of nations to determine their own fate, a covenant of enduring peace--these were the ideals for which the American people were to pour out their blood and treasure.	Democracy, the right of nations to determine their own fate, a covenant of enduring peace-these were the ideals for which the American people were to pour out their blood and treasure.	true	1260.11	1270.62	22.797926
6317_54487_000025_000000	=The Selective Draft.=--The World War became a war of nations.	equals The Selective Draft.equals--The World War became a war of nations.	false	1270.62	1275.22	23.237679
6317_54487_000025_000001	The powers against which we were arrayed had every able-bodied man in service and all their resources, human and material, thrown into the scale.	The powers against which we were arrayed had every able bodied man in service and all their resources, human and material, thrown into the scale.	true	1275.23	1283.86	21.575867
6317_54487_000025_000002	For this reason, President Wilson summoned the whole people of the United States to make every sacrifice necessary for victory. Congress by law decreed that the national army should be chosen from all male citizens and males not enemy aliens who had declared their intention of becoming citizens.	For this reason, President Wilson summoned the whole people of the United States to make every sacrifice necessary for victory. Congress by law decreed that the national army should be chosen from all male citizens and males not enemy aliens who had declared their intention of becoming citizens.	true	1283.96	1300.18	20.746977
6317_54487_000025_000003	By the first act of May 18, 1917, it fixed the age limits at twenty-one to thirty-one inclusive.	By the first act of may eighteenth nineteen seventeen, it fixed the age limits at twenty one to thirty one inclusive.	true	1300.37	1307.53	21.369865
6317_54487_000025_000004	Later, in August, 1918, it extended them to eighteen and forty-five.	Later, in August, nineteen eighteen, it extended them to eighteen and forty five.	true	1307.6	1312.72	20.565325
6317_54487_000025_000005	From the men of the first group so enrolled were chosen by lot the soldiers for the World War who, with the regular army and the national guard, formed the American Expeditionary Force upholding the American cause on the battlefields of Europe.	From the men of the first group so enrolled were chosen by lot the soldiers for the World War who, with the regular army and the national guard, formed the American Expeditionary Force upholding the American cause on the battlefields of Europe.	false	1312.73	1326.49	21.603619
6317_54487_000025_000006	"The whole nation," said the President, "must be a team in which each man shall play the part for which he is best fitted."	"The whole nation," said the President, "must be a team in which each man shall play the part for which he is best fitted."	true	1326.56	1332.72	21.944431
6317_54487_000026_000000	=Liberty Loans and Taxes.=--In order that the military and naval forces should be stinted in no respect, the nation was called upon to place its financial resources at the service of the government.	equals Liberty Loans and Taxes.equals--In order that the military and naval forces should be stinted in no respect, the nation was called upon to place its financial resources at the service of the government.	false	1332.72	1344.49	19.666445
6317_54487_000026_000001	Some urged the "conscription of wealth as well as men," meaning the support of the war out of taxes upon great fortunes; but more conservative counsels prevailed.	Some urged the "conscription of wealth as well as men," meaning the support of the war out of taxes upon great fortunes; but more conservative counsels prevailed.	true	1345.55	1355.38	22.72957
6317_54487_000026_000002	Four great Liberty Loans were floated, all the agencies of modern publicity being employed to enlist popular interest.	Four great Liberty Loans were floated, all the agencies of modern publicity being employed to enlist popular interest.	true	1355.57	1362.43	22.61501
6317_54487_000026_000003	The first loan had four and a half million subscribers; the fourth more than twenty million.	The first loan had four and a half million subscribers; the fourth more than twenty million.	true	1362.59	1367.71	23.730886
6317_54487_000026_000004	Combined with loans were heavy taxes.	Combined with loans were heavy taxes.	true	1367.84	1370.17	22
6317_54487_000026_000005	A progressive tax was laid upon incomes beginning with four per cent on incomes in the lower ranges and rising to sixty-three per cent of that part of any income above $2,000,000.	A progressive tax was laid upon incomes beginning with four per cent on incomes in the lower ranges and rising to sixty three per cent of that part of any income above two million dollars.	true	1370.3	1381.3	20.622787
6317_54487_000026_000006	A progressive tax was levied upon inheritances. An excess profits tax was laid upon all corporations and partnerships, rising in amount to sixty per cent of the net income in excess of thirty-three per cent on the invested capital.	A progressive tax was levied upon inheritances. An excess profits tax was laid upon all corporations and partnerships, rising in amount to sixty per cent of the net income in excess of thirty three per cent on the invested capital.	true	1381.52	1395.91	22.185781
6317_54487_000026_000007	"This," said a distinguished economist, "is the high-water mark in the history of taxation.	"This," said a distinguished economist, "is the high water mark in the history of taxation.	true	1396.28	1401.97	20.950975
6317_54487_000026_000008	Never before in the annals of civilization has an attempt been made to take as much as two-thirds of a man's income by taxation."	Never before in the annals of civilization has an attempt been made to take as much as two thirds of a man's income by taxation."	true	1402.04	1409.46	20
6317_54487_000027_000000	=Mobilizing Material Resources.=--No stone was left unturned to provide the arms, munitions, supplies, and transportation required in the gigantic undertaking.	equals Mobilizing Material Resources.equals--No stone was left unturned to provide the arms, munitions, supplies, and transportation required in the gigantic undertaking.	false	1409.46	1420.51	20.638657
6317_54487_000027_000001	Between the declaration of war and the armistice, Congress enacted law after law relative to food supplies, raw materials, railways, mines, ships, forests, and industrial enterprises.	Between the declaration of war and the armistice, Congress enacted law after law relative to food supplies, raw materials, railways, mines, ships, forests, and industrial enterprises.	true	1420.85	1433.62	22.504972
6317_54487_000027_000002	No power over the lives and property of citizens, deemed necessary to the prosecution of the armed conflict, was withheld from the government.	No power over the lives and property of citizens, deemed necessary to the prosecution of the armed conflict, was withheld from the government.	true	1433.81	1442.17	22.016365
6317_54487_000027_000003	The farmer's wheat, the housewife's sugar, coal at the mines, labor in the factories, ships at the wharves, trade with friendly countries, the railways, banks, stores, private fortunes--all were mobilized and laid under whatever obligations the government deemed imperative.	The farmer's wheat, the housewife's sugar, coal at the mines, labor in the factories, ships at the wharves, trade with friendly countries, the railways, banks, stores, private fortunes-all were mobilized and laid under whatever obligations the government deemed imperative.	true	1442.27	1458.04	20.566355
6317_54487_000027_000004	Never was a nation more completely devoted to a single cause.	Never was a nation more completely devoted to a single cause.	true	1458.2	1461.73	20.414742
6317_54487_000028_000000	A law of August 10, 1917, gave the President power to fix the prices of wheat and coal and to take almost any steps necessary to prevent monopoly and excessive prices.	A law of august tenth nineteen seventeen, gave the President power to fix the prices of wheat and coal and to take almost any steps necessary to prevent monopoly and excessive prices.	true	1462.22	1472.89	21.735334
6317_54487_000028_000001	By a series of measures, enlarging the principles of the shipping act of 1916, ships and shipyards were brought under public control and the government was empowered to embark upon a great ship-building program.	By a series of measures, enlarging the principles of the shipping act of nineteen sixteen, ships and shipyards were brought under public control and the government was empowered to embark upon a great ship building program.	true	1472.9	1484.23	20.984749
6317_54487_000028_000002	In December, 1917, the government assumed for the period of the war the operation of the railways under a presidential proclamation which was elaborated in March, 1918, by act of Congress.	In December, nineteen seventeen, the government assumed for the period of the war the operation of the railways under a presidential proclamation which was elaborated in March, nineteen eighteen, by act of Congress.	true	1484.33	1496.77	20.79735
6317_54487_000028_000003	In the summer of 1918 the express, telephone, and telegraph business of the entire country passed under government control.	In the summer of nineteen eighteen the express, telephone, and telegraph business of the entire country passed under government control.	true	1497.29	1504.72	22
6317_54487_000028_000004	By war risk insurance acts allowances were made for the families of enlisted men, compensation for injuries was provided, death benefits were instituted, and a system of national insurance was established in the interest of the men in service.	By war risk insurance acts allowances were made for the families of enlisted men, compensation for injuries was provided, death benefits were instituted, and a system of national insurance was established in the interest of the men in service.	true	1504.79	1518.59	20.233578
6317_54487_000028_000005	Never before in the history of the country had the government taken such a wise and humane view of its obligations to those who served on the field of battle or on the seas.	Never before in the history of the country had the government taken such a wise and humane view of its obligations to those who served on the field of battle or on the seas.	true	1518.59	1527.66	23
6317_54487_000029_000000	=The Espionage and Sedition Acts.=--By the Espionage law of June 15, 1917, and the amending law, known as the Sedition act, passed in May of the following year, the government was given a drastic power over the expression of opinion.	equals The Espionage and Sedition Acts.equals--By the Espionage law of june fifteenth nineteen seventeen, and the amending law, known as the Sedition act, passed in May of the following year, the government was given a drastic power over the expression of opinion.	false	1527.66	1544.11	19.210926
6317_54487_000029_000001	The first measure penalized those who conveyed information to a foreign country to be used to the injury of the United States; those who made false statements designed to interfere with the military or naval forces of the United States; those who attempted to stir up insubordination or disloyalty in the army and navy; and those who willfully obstructed enlistment.	The first measure penalized those who conveyed information to a foreign country to be used to the injury of the United States; those who made false statements designed to interfere with the military or naval forces of the United States; those who attempted to stir up insubordination or disloyalty in the army and navy; and those who willfully obstructed enlistment.	true	1544.45	1564.36	19.507814
6317_54487_000029_000002	The Sedition act was still more severe and sweeping in its terms.	The Sedition act was still more severe and sweeping in its terms.	true	1564.46	1568.52	18.399178
6317_54487_000029_000003	It imposed heavy penalties upon any person who used "abusive language about the government or institutions of the country." It authorized the dismissal of any officer of the government who committed "disloyal acts" or uttered "disloyal language," and empowered the Postmaster General to close the mails to persons violating the law.	It imposed heavy penalties upon any person who used "abusive language about the government or institutions of the country." It authorized the dismissal of any officer of the government who committed "disloyal acts" or uttered "disloyal language," and empowered the Postmaster General to close the mails to persons violating the law.	true	1568.52	1589.92	19.382269
6317_54487_000029_000004	This measure, prepared by the Department of Justice, encountered vigorous opposition in the Senate, where twenty-four Republicans and two Democrats voted against it.	This measure, prepared by the Department of Justice, encountered vigorous opposition in the Senate, where twenty four Republicans and two Democrats voted against it.	true	1590.14	1600.12	19.251354
6317_54487_000029_000005	Senator Johnson of California denounced it as a law "to suppress the freedom of the press in the United States and to prevent any man, no matter who he is, from expressing legitimate criticism concerning the present government." The constitutionality of the acts was attacked; but they were sustained by the Supreme Court and stringently enforced.	Senator Johnson of California denounced it as a law "to suppress the freedom of the press in the United States and to prevent any man, no matter who he is, from expressing legitimate criticism concerning the present government." The constitutionality of the acts was attacked; but they were sustained by the Supreme Court and stringently enforced.	true	1600.19	1621.38	18.90146
6317_54487_000030_000000	[Illustration: _Copyright by Underwood and Underwood, N.Y._	[Illustration: underscore Copyright by Underwood and Underwood, n y underscore	false	1621.38	1622.85	16.137003
6317_54487_000031_000000	THE LAUNCHING OF A SHIP AT THE GREAT NAVAL YARDS, NEWARK, N.J.]	THE LAUNCHING OF A SHIP AT THE GREAT NAVAL YARDS, NEWARK, n j]	false	1622.85	1623	27
6317_54487_000032_000000	=Labor and the War.=--In view of the restlessness of European labor during the war and especially the proletarian revolution in Russia in November, 1917, some anxiety was early expressed as to the stand which organized labor might take in the United States.	equals Labor and the War.equals--In view of the restlessness of European labor during the war and especially the proletarian revolution in Russia in November, nineteen seventeen, some anxiety was early expressed as to the stand which organized labor might take in the United States.	false	1623	1638.72	18
6317_54487_000032_000001	It was, however, soon dispelled.	It was, however, soon dispelled.	true	1638.72	1640.86	19.118305
6317_54487_000032_000002	Samuel Gompers, speaking for the American Federation of Labor, declared that "this is labor's war," and pledged the united support of all the unions.	Samuel Gompers, speaking for the American Federation of Labor, declared that "this is labor's war," and pledged the united support of all the unions.	false	1640.93	1650.52	20.85304
6317_54487_000032_000003	There was some dissent.	There was some dissent.	true	1650.83	1652.29	17.564922
6317_54487_000032_000004	The Socialist party denounced the war as a capitalist quarrel; but all the protests combined were too slight to have much effect.	The Socialist party denounced the war as a capitalist quarrel; but all the protests combined were too slight to have much effect.	true	1652.45	1660.24	20
6317_54487_000032_000005	American labor leaders were sent to Europe to strengthen the wavering ranks of trade unionists in war-worn England, France, and Italy.	American labor leaders were sent to Europe to strengthen the wavering ranks of trade unionists in war worn England, France, and Italy.	true	1660.52	1668.49	15
6317_54487_000032_000006	Labor was given representation on the important boards and commissions dealing with industrial questions. Trade union standards were accepted by the government and generally applied in industry.	Labor was given representation on the important boards and commissions dealing with industrial questions. Trade union standards were accepted by the government and generally applied in industry.	true	1668.77	1680.82	21.03881
6317_54487_000032_000007	The Department of Labor became one of the powerful war centers of the nation.	The Department of Labor became one of the powerful war centers of the nation.	true	1680.86	1685.11	19
6317_54487_000032_000008	In a memorable address to the American Federation of Labor, President Wilson assured the trade unionists that labor conditions should not be made unduly onerous by the war and received in return a pledge of loyalty from the Federation.	In a memorable address to the American Federation of Labor, President Wilson assured the trade unionists that labor conditions should not be made unduly onerous by the war and received in return a pledge of loyalty from the Federation.	true	1685.3	1699.66	18
6317_54487_000032_000009	Recognition of labor's contribution to winning the war was embodied in the treaty of peace, which provided for a permanent international organization to promote the world-wide effort of labor to improve social conditions. "The league of nations has for its object the establishment of universal peace," runs the preamble to the labor section of the treaty, "and such a peace can be established only if it is based upon social justice.... The failure of any nation to adopt humane conditions of labor is an obstacle in the way of other nations which desire to improve the conditions in their own countries."	Recognition of labor's contribution to winning the war was embodied in the treaty of peace, which provided for a permanent international organization to promote the world-wide effort of labor to improve social conditions. "The league of nations has for its object the establishment of universal peace," runs the preamble to the labor section of the treaty, "and such a peace can be established only if it is based upon social justice.... The failure of any nation to adopt humane conditions of labor is an obstacle in the way of other nations which desire to improve the conditions in their own countries."	true	1699.94	1735.89	20.04993
6317_54487_000033_000000	=The American Navy in the War.=--As soon as Congress declared war the fleet was mobilized, American ports were thrown open to the warships of the Allies, immediate provision was made for increasing the number of men and ships, and a contingent of war vessels was sent to cooeperate with the British and French in their life-and-death contest with submarines.	equals The American Navy in the War.equals--As soon as Congress declared war the fleet was mobilized, American ports were thrown open to the warships of the Allies, immediate provision was made for increasing the number of men and ships, and a contingent of war vessels was sent to cooeperate with the British and French in their life and death contest with submarines.	false	1735.89	1758.25	20.496824
6317_54487_000033_000001	Special effort was made to stimulate the production of "submarine chasers" and "scout cruisers" to be sent to the danger zone. Convoys were provided to accompany the transports conveying soldiers to France.	Special effort was made to stimulate the production of "submarine chasers" and "scout cruisers" to be sent to the danger zone. Convoys were provided to accompany the transports conveying soldiers to France.	true	1758.38	1771.39	20.29849
6317_54487_000033_000002	Before the end of the war more than three hundred American vessels and 75,000 officers and men were operating in European waters. Though the German fleet failed to come out and challenge the sea power of the Allies, the battleships of the United States were always ready to do their full duty in such an event.	Before the end of the war more than three hundred American vessels and seventy five thousand officers and men were operating in European waters. Though the German fleet failed to come out and challenge the sea power of the Allies, the battleships of the United States were always ready to do their full duty in such an event.	true	1771.43	1789.15	20
6317_54487_000033_000003	As things turned out, the service of the American navy was limited mainly to helping in the campaign that wore down the submarine menace to Allied shipping.	As things turned out, the service of the American navy was limited mainly to helping in the campaign that wore down the submarine menace to Allied shipping.	true	1789.31	1797.42	15
6317_54487_000034_000000	=The War in France.=--Owing to the peculiar character of the warfare in France, it required a longer time for American military forces to get into action; but there was no unnecessary delay.	equals The War in France.equals--Owing to the peculiar character of the warfare in France, it required a longer time for American military forces to get into action; but there was no unnecessary delay.	false	1797.42	1810.48	20.007967
6317_54487_000034_000001	Soon after the declaration of war, steps were taken to give military assistance to the Allies.	Soon after the declaration of war, steps were taken to give military assistance to the Allies.	true	1810.55	1816.03	19.10861
6317_54487_000034_000002	The regular army was enlarged and the troops of the national guard were brought into national service.	The regular army was enlarged and the troops of the national guard were brought into national service.	true	1816.25	1821.72	19
6317_54487_000034_000003	On June 13, General John J. Pershing, chosen head of the American Expeditionary Forces, reached Paris and began preparations for the arrival of our troops.	On june thirteenth, General john j Pershing, chosen head of the American Expeditionary Forces, reached Paris and began preparations for the arrival of our troops.	false	1821.72	1831.93	19.00204
6317_54487_000034_000004	In June, the vanguard of the army reached France.	In June, the vanguard of the army reached France.	true	1832.03	1835.26	19.835327
6317_54487_000034_000005	A slow and steady stream followed. As soon as the men enrolled under the draft were ready, it became a flood.	A slow and steady stream followed. As soon as the men enrolled under the draft were ready, it became a flood.	true	1835.36	1841.89	18.629715
6317_54487_000034_000006	During the period of the war the army was enlarged from about 190,000 men to 3,665,000, of whom more than 2,000,000 were in France when the armistice was signed.	During the period of the war the army was enlarged from about one hundred ninety thousand men to three million six hundred sixty five thousand, of whom more than two million were in France when the armistice was signed.	true	1841.99	1854.04	18
6317_54487_000035_000000	Although American troops did not take part on a large scale until the last phase of the war in 1918, several battalions of infantry were in the trenches by October, 1917, and had their first severe encounter with the Germans early in November.	Although American troops did not take part on a large scale until the last phase of the war in nineteen eighteen, several battalions of infantry were in the trenches by October, nineteen seventeen, and had their first severe encounter with the Germans early in November.	true	1854.38	1869.16	20
6317_54487_000035_000001	In January, 1918, they took over a part of the front line as an American sector.	In January, nineteen eighteen, they took over a part of the front line as an American sector.	true	1869.26	1874.76	16
6317_54487_000035_000002	In March, General Pershing placed our forces at the disposal of General Foch, commander-in-chief of the Allied armies.	In March, General Pershing placed our forces at the disposal of General Foch, commander in chief of the Allied armies.	false	1874.76	1882.03	19.856604
6317_54487_000035_000003	The first division, which entered the Montdidier salient in April, soon was engaged with the enemy, "taking with splendid dash the town of Cantigny and all other objectives, which were organized and held steadfastly against vicious counter attacks and galling artillery fire."	The first division, which entered the Montdidier salient in April, soon was engaged with the enemy, "taking with splendid dash the town of Cantigny and all other objectives, which were organized and held steadfastly against vicious counter attacks and galling artillery fire."	false	1882.37	1898.46	19
6317_54487_000036_000000	[Illustration: _Copyright by Underwood and Underwood, N.Y._	[Illustration: underscore Copyright by Underwood and Underwood, n y underscore	false	1898.46	1899.06	-20
6317_54487_000037_000000	TROOPS RETURNING FROM FRANCE]	TROOPS RETURNING FROM FRANCE]	false	1899.06	1899.3	-20
6317_54487_000038_000000	When the Germans launched their grand drives toward the Marne and Paris, in June and July, 1918, every available man was placed at General Foch's command.	When the Germans launched their grand drives toward the Marne and Paris, in June and July, nineteen eighteen, every available man was placed at General Foch's command.	false	1899.3	1908.97	18
6317_54487_000038_000001	At Belleau Wood, at Chateau-Thierry, and other points along the deep salient made by the Germans into the French lines, American soldiers distinguished themselves by heroic action.	At Belleau Wood, at Chateau Thierry, and other points along the deep salient made by the Germans into the French lines, American soldiers distinguished themselves by heroic action.	true	1909.25	1920.16	20
6317_54487_000038_000002	They also played an important role in the counter attack that "smashed" the salient and drove the Germans back.	They also played an important role in the counter attack that "smashed" the salient and drove the Germans back.	true	1920.56	1926.85	21.220894
6317_54487_000039_000000	In September, American troops, with French aid, "wiped out" the German salient at St. Mihiel.	In September, American troops, with French aid, "wiped out" the German salient at st Mihiel.	false	1927.19	1933.8	21.02697
6317_54487_000039_000001	By this time General Pershing was ready for the great American drive to the northeast in the Argonne forest, while he also cooeperated with the British in the assault on the Hindenburg line. In the Meuse-Argonne battle, our soldiers encountered some of the most severe fighting of the war and pressed forward steadily against the most stubborn resistance from the enemy.	By this time General Pershing was ready for the great American drive to the northeast in the Argonne forest, while he also cooeperated with the British in the assault on the Hindenburg line. In the Meuse Argonne battle, our soldiers encountered some of the most severe fighting of the war and pressed forward steadily against the most stubborn resistance from the enemy.	false	1933.8	1953.82	17
6317_54487_000039_000002	On the 6th of November, reported General Pershing, "a division of the first corps reached a point on the Meuse opposite Sedan, twenty-five miles from our line of departure.	On the sixth of November, reported General Pershing, "a division of the first corps reached a point on the Meuse opposite Sedan, twenty five miles from our line of departure.	false	1954.01	1963.99	19.460968
6317_54487_000039_000003	The strategical goal which was our highest hope was gained.	The strategical goal which was our highest hope was gained.	true	1964.12	1967.19	17
6317_54487_000039_000004	We had cut the enemy's main line of communications and nothing but a surrender or an armistice could save his army from complete disaster." Five days later the end came.	We had cut the enemy's main line of communications and nothing but a surrender or an armistice could save his army from complete disaster." Five days later the end came.	false	1967.19	1977.76	18.431845
6317_54487_000039_000005	On the morning of November 11, the order to cease firing went into effect.	On the morning of november eleventh, the order to cease firing went into effect.	true	1977.92	1982.76	19
6317_54487_000039_000006	The German army was in rapid retreat and demoralization had begun.	The German army was in rapid retreat and demoralization had begun.	true	1982.76	1987.03	16
6317_54487_000039_000007	The Kaiser had abdicated and fled into Holland.	The Kaiser had abdicated and fled into Holland.	true	1987.28	1990.21	17
6317_54487_000039_000008	The Hohenzollern dreams of empire were shattered.	The Hohenzollern dreams of empire were shattered.	false	1990.46	1993.66	16
6317_54487_000039_000009	In the fifty-second month, the World War, involving nearly every civilized nation on the globe, was brought to a close.	In the fifty second month, the World War, involving nearly every civilized nation on the globe, was brought to a close.	true	1993.82	2001.22	19.944506
6317_54487_000039_000010	More than 75,000 American soldiers and sailors had given their lives.	More than seventy five thousand American soldiers and sailors had given their lives.	true	2001.59	2006.23	16
6317_54487_000039_000011	More than 250,000 had been wounded or were missing or in German prison camps.	More than two hundred fifty thousand had been wounded or were missing or in German prison camps.	false	2006.42	2017.26	15.821659
