2127_138047_000000_000000	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	false	0	3.54	23.14894
2127_138047_000059_000000	"Thy attire shall be hose of full length, a long jerkin, and a cloak a trifle longer; loose breeches by no means, for they are becoming neither for gentlemen nor for governors.	"Thy attire shall be hose of full length, a long jerkin, and a cloak a trifle longer; loose breeches by no means, for they are becoming neither for gentlemen nor for governors.	true	1074.38	1084.6	21.661598
2127_138047_000060_000000	"For the present, Sancho, this is all that has occurred to me to advise thee; as time goes by and occasions arise my instructions shall follow, if thou take care to let me know how thou art circumstanced."	"For the present, Sancho, this is all that has occurred to me to advise thee; as time goes by and occasions arise my instructions shall follow, if thou take care to let me know how thou art circumstanced."	true	1085.15	1096.87	19
2127_138047_000061_000000	"Senor," said Sancho, "I see well enough that all these things your worship has said to me are good, holy, and profitable; but what use will they be to me if I don't remember one of them?	"Senor," said Sancho, "I see well enough that all these things your worship has said to me are good, holy, and profitable; but what use will they be to me if I don't remember one of them?	true	1097.45	1107.29	18
2127_138047_000061_000001	To be sure that about not letting my nails grow, and marrying again if I have the chance, will not slip out of my head; but all that other hash, muddle, and jumble--I don't and can't recollect any more of it than of last year's clouds; so it must be given me in writing; for though I can't either read or write, I'll give it to my confessor, to drive it into me and remind me of it whenever it is necessary."	To be sure that about not letting my nails grow, and marrying again if I have the chance, will not slip out of my head; but all that other hash, muddle, and jumble-I don't and can't recollect any more of it than of last year's clouds; so it must be given me in writing; for though I can't either read or write, I'll give it to my confessor, to drive it into me and remind me of it whenever it is necessary."	true	1107.29	1128.78	18
2127_138047_000062_000000	"Ah, sinner that I am!" said Don Quixote, "how bad it looks in governors not to know how to read or write; for let me tell thee, Sancho, when a man knows not how to read, or is left-handed, it argues one of two things; either that he was the son of exceedingly mean and lowly parents, or that he himself was so incorrigible and ill-conditioned that neither good company nor good teaching could make any impression on him.	"Ah, sinner that I am!" said Don Quixote, "how bad it looks in governors not to know how to read or write; for let me tell thee, Sancho, when a man knows not how to read, or is left-handed, it argues one of two things; either that he was the son of exceedingly mean and lowly parents, or that he himself was so incorrigible and ill conditioned that neither good company nor good teaching could make any impression on him.	false	1128.78	1153.66	20.08338
2127_138047_000062_000001	It is a great defect that thou labourest under, and therefore I would have thee learn at any rate to sign thy name." "I can sign my name well enough," said Sancho, "for when I was steward of the brotherhood in my village I learned to make certain letters, like the marks on bales of goods, which they told me made out my name.	It is a great defect that thou labourest under, and therefore I would have thee learn at any rate to sign thy name." "I can sign my name well enough," said Sancho, "for when I was steward of the brotherhood in my village I learned to make certain letters, like the marks on bales of goods, which they told me made out my name.	false	1153.7	1172.47	20
2127_138047_000062_000002	Besides I can pretend my right hand is disabled and make some one else sign for me, for 'there's a remedy for everything except death;' and as I shall be in command and hold the staff, I can do as I like; moreover, 'he who has the alcalde for his father-,' and I'll be governor, and that's higher than alcalde.	Besides I can pretend my right hand is disabled and make some one else sign for me, for 'there's a remedy for everything except death;' and as I shall be in command and hold the staff, I can do as I like; moreover, 'he who has the alcalde for his father,' and I'll be governor, and that's higher than alcalde.	true	1172.47	1191.16	21.602795
2127_138047_000062_000003	Only come and see!	Only come and see!	false	1191.29	1192.79	22.402134
2127_138047_000062_000004	Let them make light of me and abuse me; 'they'll come for wool and go back shorn;' 'whom God loves, his house is known to Him;' 'the silly sayings of the rich pass for saws in the world;' and as I'll be rich, being a governor, and at the same time generous, as I mean to be, no fault will be seen in me.	Let them make light of me and abuse me; 'they'll come for wool and go back shorn;' 'whom God loves, his house is known to Him;' 'the silly sayings of the rich pass for saws in the world;' and as I'll be rich, being a governor, and at the same time generous, as I mean to be, no fault will be seen in me.	false	1192.79	1210.66	19.957787
2127_138047_000062_000005	'Only make yourself honey and the flies will suck you;' 'as much as thou hast so much art thou worth,' as my grandmother used to say; and 'thou canst have no revenge of a man of substance.'"	'Only make yourself honey and the flies will suck you;' 'as much as thou hast so much art thou worth,' as my grandmother used to say; and 'thou canst have no revenge of a man of substance.'"	false	1210.82	1223.62	20.596472
2127_138047_000063_000000	"Oh, God's curse upon thee, Sancho!" here exclaimed Don Quixote; "sixty thousand devils fly away with thee and thy proverbs!	"Oh, God's curse upon thee, Sancho!" here exclaimed Don Quixote; "sixty thousand devils fly away with thee and thy proverbs!	false	1223.62	1231.18	16
2127_138047_000063_000001	For the last hour thou hast been stringing them together and inflicting the pangs of torture on me with every one of them.	For the last hour thou hast been stringing them together and inflicting the pangs of torture on me with every one of them.	false	1231.18	1236.91	14
2127_138047_000063_000002	Those proverbs will bring thee to the gallows one day, I promise thee; thy subjects will take the government from thee, or there will be revolts among them.	Those proverbs will bring thee to the gallows one day, I promise thee; thy subjects will take the government from thee, or there will be revolts among them.	false	1236.95	1244.74	19
2127_138047_000063_000003	Tell me, where dost thou pick them up, thou booby?	Tell me, where dost thou pick them up, thou booby?	true	1244.75	1247.68	23.426504
2127_138047_000063_000004	How dost thou apply them, thou blockhead?	How dost thou apply them, thou blockhead?	true	1247.69	1250.2	18
2127_138047_000063_000005	For with me, to utter one and make it apply properly, I have to sweat and labour as if I were digging."	For with me, to utter one and make it apply properly, I have to sweat and labour as if I were digging."	true	1250.2	1256.19	15
2127_138047_000064_000000	"By God, master mine," said Sancho, "your worship is making a fuss about very little.	"By God, master mine," said Sancho, "your worship is making a fuss about very little.	false	1256.19	1261.92	20.892677
2127_138047_000064_000001	Why the devil should you be vexed if I make use of what is my own?	Why the devil should you be vexed if I make use of what is my own?	true	1261.92	1265.56	15
2127_138047_000064_000002	And I have got nothing else, nor any other stock in trade except proverbs and more proverbs; and here are three just this instant come into my head, pat to the purpose and like pears in a basket; but I won't repeat them, for 'sage silence is called Sancho.'"	And I have got nothing else, nor any other stock in trade except proverbs and more proverbs; and here are three just this instant come into my head, pat to the purpose and like pears in a basket; but I won't repeat them, for 'sage silence is called Sancho.'"	false	1265.57	1281	24
2127_138047_000065_000000	"That, Sancho, thou art not," said Don Quixote; "for not only art thou not sage silence, but thou art pestilent prate and perversity; still I would like to know what three proverbs have just now come into thy memory, for I have been turning over mine own--and it is a good one--and none occurs to me."	"That, Sancho, thou art not," said Don Quixote; "for not only art thou not sage silence, but thou art pestilent prate and perversity; still I would like to know what three proverbs have just now come into thy memory, for I have been turning over mine own-and it is a good one-and none occurs to me."	true	1281	1300.15	23
2127_138047_000066_000000	"What can be better," said Sancho, "than 'never put thy thumbs between two back teeth;' and 'to "get out of my house" and "what do you want with my wife?" there is no answer;' and 'whether the pitcher hits the stove, or the stove the pitcher, it's a bad business for the pitcher;' all which fit to a hair?	"What can be better," said Sancho, "than 'never put thy thumbs between two back teeth;' and 'to "get out of my house" and "what do you want with my wife?" there is no answer;' and 'whether the pitcher hits the stove, or the stove the pitcher, it's a bad business for the pitcher;' all which fit to a hair?	false	1301.33	1322.83	22.902655
2127_138047_000066_000001	For no one should quarrel with his governor, or him in authority over him, because he will come off the worst, as he does who puts his finger between two back and if they are not back teeth it makes no difference, so long as they are teeth; and to whatever the governor may say there's no answer, any more than to 'get out of my house' and 'what do you want with my wife?' and then, as for that about the stone and the pitcher, a blind man could see that.	For no one should quarrel with his governor, or him in authority over him, because he will come off the worst, as he does who puts his finger between two back and if they are not back teeth it makes no difference, so long as they are teeth; and to whatever the governor may say there's no answer, any more than to 'get out of my house' and 'what do you want with my wife?' and then, as for that about the stone and the pitcher, a blind man could see that.	false	1322.93	1347.81	22.406765
2127_138047_000066_000002	So that he 'who sees the mote in another's eye had need to see the beam in his own,' that it be not said of himself, 'the dead woman was frightened at the one with her throat cut;' and your worship knows well that 'the fool knows more in his own house than the wise man in another's.'"	So that he 'who sees the mote in another's eye had need to see the beam in his own,' that it be not said of himself, 'the dead woman was frightened at the one with her throat cut;' and your worship knows well that 'the fool knows more in his own house than the wise man in another's.'"	true	1347.81	1363.87	20
2127_138047_000067_000000	"Nay, Sancho," said Don Quixote, "the fool knows nothing, either in his own house or in anybody else's, for no wise structure of any sort can stand on a foundation of folly; but let us say no more about it, Sancho, for if thou governest badly, thine will be the fault and mine the shame; but I comfort myself with having done my duty in advising thee as earnestly and as wisely as I could; and thus I am released from my obligations and my promise.	"Nay, Sancho," said Don Quixote, "the fool knows nothing, either in his own house or in anybody else's, for no wise structure of any sort can stand on a foundation of folly; but let us say no more about it, Sancho, for if thou governest badly, thine will be the fault and mine the shame; but I comfort myself with having done my duty in advising thee as earnestly and as wisely as I could; and thus I am released from my obligations and my promise.	false	1364.78	1391.02	18
2127_138047_000067_000001	God guide thee, Sancho, and govern thee in thy government, and deliver me from the misgiving I have that thou wilt turn the whole island upside down, a thing I might easily prevent by explaining to the duke what thou art and telling him that all that fat little person of thine is nothing else but a sack full of proverbs and sauciness."	God guide thee, Sancho, and govern thee in thy government, and deliver me from the misgiving I have that thou wilt turn the whole island upside down, a thing I might easily prevent by explaining to the duke what thou art and telling him that all that fat little person of thine is nothing else but a sack full of proverbs and sauciness."	false	1391.09	1409.29	19
2127_138047_000068_000000	"Senor," said Sancho, "if your worship thinks I'm not fit for this government, I give it up on the spot; for the mere black of the nail of my soul is dearer to me than my whole body; and I can live just as well, simple Sancho, on bread and onions, as governor, on partridges and capons; and what's more, while we're asleep we're all equal, great and small, rich and poor.	"Senor," said Sancho, "if your worship thinks I'm not fit for this government, I give it up on the spot; for the mere black of the nail of my soul is dearer to me than my whole body; and I can live just as well, simple Sancho, on bread and onions, as governor, on partridges and capons; and what's more, while we're asleep we're all equal, great and small, rich and poor.	true	1409.87	1430.98	21
2127_138047_000068_000001	But if your worship looks into it, you will see it was your worship alone that put me on to this business of governing; for I know no more about the government of islands than a buzzard; and if there's any reason to think that because of my being a governor the devil will get hold of me, I'd rather go Sancho to heaven than governor to hell."	But if your worship looks into it, you will see it was your worship alone that put me on to this business of governing; for I know no more about the government of islands than a buzzard; and if there's any reason to think that because of my being a governor the devil will get hold of me, I'd rather go Sancho to heaven than governor to hell."	false	1431.02	1447.99	18
2127_138047_000069_000000	"By God, Sancho," said Don Quixote, "for those last words thou hast uttered alone, I consider thou deservest to be governor of a thousand islands.	"By God, Sancho," said Don Quixote, "for those last words thou hast uttered alone, I consider thou deservest to be governor of a thousand islands.	true	1448.57	1458.36	19.979427
2127_138047_000069_000001	Thou hast good natural instincts, without which no knowledge is worth anything; commend thyself to God, and try not to swerve in the pursuit of thy main object; I mean, always make it thy aim and fixed purpose to do right in all matters that come before thee, for heaven always helps good intentions; and now let us go to dinner, for I think my lord and lady are waiting for us."	Thou hast good natural instincts, without which no knowledge is worth anything; commend thyself to God, and try not to swerve in the pursuit of thy main object; I mean, always make it thy aim and fixed purpose to do right in all matters that come before thee, for heaven always helps good intentions; and now let us go to dinner, for I think my lord and lady are waiting for us."	false	1458.36	1493.52	20.669867
