7752_110522_000000_000000	[Illustration: "WITHOUT A WORD HE JUMPED ON TO THE BED AND GOBBLED UP THE POOR OLD LADY."]	[Illustration: "WITHOUT A WORD HE JUMPED ON TO THE BED AND GOBBLED UP THE POOR OLD LADY."]	false	4.89	21.54	23.730083
7752_110522_000060_000000	"Sir," politely replied Giroflee, "the Fawn was mine before it was yours," and she spoke to the Fawn, and the Fawn obeyed her in such a way that the Prince could not doubt that what she said was true. Giroflee then went on, and, to the surprise of the Prince and Becafigue, entered the old woman's house where they themselves lodged. Then Becafigue told the Prince that unless he was much mistaken the owner of the Fawn had lived with the Princess Desiree when he went there as ambassador.	"Sir," politely replied Giroflee, "the Fawn was mine before it was yours," and she spoke to the Fawn, and the Fawn obeyed her in such a way that the Prince could not doubt that what she said was true. Giroflee then went on, and, to the surprise of the Prince and Becafigue, entered the old woman's house where they themselves lodged. Then Becafigue told the Prince that unless he was much mistaken the owner of the Fawn had lived with the Princess Desiree when he went there as ambassador.	false	1058.96	1090.21	22.918434
7752_110522_000061_000000	"I mean to see her again," said Becafigue, "there is only a partition between her room and ours." And soon he had made a hole large enough to peep through, and through it he saw the charming Princess dressed in a robe of brocaded silver, with flowers embroidered in gold and emeralds, her hair falling in heavy masses on the most beautiful neck in the world.	"I mean to see her again," said Becafigue, "there is only a partition between her room and ours." And soon he had made a hole large enough to peep through, and through it he saw the charming Princess dressed in a robe of brocaded silver, with flowers embroidered in gold and emeralds, her hair falling in heavy masses on the most beautiful neck in the world.	false	1090.49	1113.93	24.300905
7752_110522_000061_000001	Giroflee was on her knees before her, bandaging up one arm from which the blood was flowing.	Giroflee was on her knees before her, bandaging up one arm from which the blood was flowing.	false	1113.93	1119.43	23.17775
7752_110522_000061_000002	They both seemed greatly concerned about the wound: "Let me die," the Princess was saying, "death would be better than the life which I lead.	They both seemed greatly concerned about the wound: "Let me die," the Princess was saying, "death would be better than the life which I lead.	false	1119.86	1128.91	24.03431
7752_110522_000061_000003	To be a Fawn all the day, to hear him speaking, and not to be able to tell him of my sad fate."	To be a Fawn all the day, to hear him speaking, and not to be able to tell him of my sad fate."	true	1129.1	1135.54	25.553776
7752_110522_000062_000000	One can guess the astonishment of Becafigue and of the Prince. Guerrier would almost have died of pleasure had he not thought that it must be some enchantment, for did he not know that Desiree and her Lady in Waiting were shut up in the castle.	One can guess the astonishment of Becafigue and of the Prince. Guerrier would almost have died of pleasure had he not thought that it must be some enchantment, for did he not know that Desiree and her Lady in Waiting were shut up in the castle.	true	1135.82	1149.67	23.701162
7752_110522_000063_000000	He went softly and knocked at the chamber door, which Giroflee opened, thinking it was the old woman, for she required help for the wounded arm.	He went softly and knocked at the chamber door, which Giroflee opened, thinking it was the old woman, for she required help for the wounded arm.	true	1150.19	1158.4	23.99737
7752_110522_000064_000000	The Prince entered, threw himself at Desiree's feet, and found she was indeed his Princess.	The Prince entered, threw himself at Desiree's feet, and found she was indeed his Princess.	false	1159.22	1164.73	21.947355
7752_110522_000065_000000	Great was their joy thus at last meeting, and while they were talking to each other the night passed, and the day dawned, and daylight came, and the morning sun shone brightly before Desiree had time to notice that she had not again taken the shape of a Fawn, but was her own beautiful self.	Great was their joy thus at last meeting, and while they were talking to each other the night passed, and the day dawned, and daylight came, and the morning sun shone brightly before Desiree had time to notice that she had not again taken the shape of a Fawn, but was her own beautiful self.	false	1165.16	1182.67	22.445145
7752_110522_000066_000000	Then it was found that it was the Fairy Tulip in disguise of the old woman who had provided that sheltering cottage in the forest.	Then it was found that it was the Fairy Tulip in disguise of the old woman who had provided that sheltering cottage in the forest.	true	1182.89	1190.1	22.155117
7752_110522_000067_000000	The joy of the King upon once more seeing his son can well be imagined, and the marriage of the Prince and Desiree, and Becafigue and Giroflee took place on the same day, the Fairies giving their diamond palace as their wedding present to Princess Desiree, and Fairy Tulip presenting four gold mines in the Indies to Giroflee.	The joy of the King upon once more seeing his son can well be imagined, and the marriage of the Prince and Desiree, and Becafigue and Giroflee took place on the same day, the Fairies giving their diamond palace as their wedding present to Princess Desiree, and Fairy Tulip presenting four gold mines in the Indies to Giroflee.	false	1190.1	1213.17	23.202723
7752_110522_000068_000000	[Illustration]	[Illustration]	false	1213.17	1214.07	-20
7752_110522_000069_000000	And, in accordance with the wish of Princess Desiree, Longue Epine and her mother, the false Lady in Waiting, were set at liberty.	And, in accordance with the wish of Princess Desiree, Longue Epine and her mother, the false Lady in Waiting, were set at liberty.	true	1214.07	1223.04	23.228813
7752_110522_000070_000000	[Illustration]	[Illustration]	false	1223.04	1224.33	-20
7752_110522_000071_000000	HANSEL AND GRETHEL	HANSEL AND GRETHEL	false	1224.33	1226.04	12.030761
7752_110522_000072_000000	Once upon a time there dwelt near a large wood a poor wood cutter, with his wife, and two children by his former marriage, a little boy called Hansel, and a girl named Grethel.	Once upon a time there dwelt near a large wood a poor wood cutter, with his wife, and two children by his former marriage, a little boy called Hansel, and a girl named Grethel.	false	1226.04	1228.98	23.71293
7752_110522_000072_000001	He had little enough to break or bite; and once, when there was a great famine in the land, he could hardly procure even his daily bread; and as he lay thinking in his bed one night, he sighed, and said to his wife, "What will become of us? How can we feed our children, when we have no more than we can eat ourselves?"	He had little enough to break or bite; and once, when there was a great famine in the land, he could hardly procure even his daily bread; and as he lay thinking in his bed one night, he sighed, and said to his wife, "What will become of us? How can we feed our children, when we have no more than we can eat ourselves?"	false	1228.98	1235.07	9.344245
