6510_62558_000000_000000	No reply was possible to these questions.	No reply was possible to these questions.	false	0	1.89	18
6510_62558_000082_000001	It was necessary, therefore, to follow this way, although it was well known to the convicts.	It was necessary, therefore, to follow this way, although it was well known to the convicts.	true	1065.92	1072.21	19.23826
6510_62558_000083_000000	Cyrus Harding and Gideon Spilett walked one on each side of the cart, ready to answer to any attack.	Cyrus Harding and Gideon Spilett walked one on each side of the cart, ready to answer to any attack.	false	1072.64	1079.68	20.324005
6510_62558_000083_000001	However, it was not probable that the convicts would have yet left the plateau of Prospect Heights.	However, it was not probable that the convicts would have yet left the plateau of Prospect Heights.	true	1080.2	1086.07	21.68343
6510_62558_000084_000000	Neb's note had evidently been written and sent as soon as the convicts had shown themselves there.	Neb's note had evidently been written and sent as soon as the convicts had shown themselves there.	true	1086.11	1092.55	18
6510_62558_000084_000001	Now, this note was dated six o'clock in the morning, and the active orang, accustomed to come frequently to the corral, had taken scarcely three quarters of an hour to cross the five miles which separated it from Granite House.	Now, this note was dated six o'clock in the morning, and the active orang, accustomed to come frequently to the corral, had taken scarcely three quarters of an hour to cross the five miles which separated it from Granite House.	false	1092.65	1106.35	19
6510_62558_000084_000002	They would, therefore, be safe at that time, and if there was any occasion for firing, it would probably not be until they were in the neighborhood of Granite House. However, the colonists kept a strict watch.	They would, therefore, be safe at that time, and if there was any occasion for firing, it would probably not be until they were in the neighborhood of Granite House. However, the colonists kept a strict watch.	true	1106.48	1120.33	20.097357
6510_62558_000084_000003	Top and Jup, the latter armed with his club, sometimes in front, sometimes beating the wood at the sides of the road, signalized no danger.	Top and Jup, the latter armed with his club, sometimes in front, sometimes beating the wood at the sides of the road, signalized no danger.	false	1120.43	1130.35	19.959198
6510_62558_000085_000000	The cart advanced slowly under Pencroft's guidance.	The cart advanced slowly under Pencroft's guidance.	true	1130.63	1134.19	19.257202
6510_62558_000085_000001	It had left the corral at half-past seven.	It had left the corral at half past seven.	true	1134.41	1137.45	20
6510_62558_000085_000002	An hour after, four out of the five miles had been cleared, without any incident having occurred.	An hour after, four out of the five miles had been cleared, without any incident having occurred.	true	1137.45	1145.83	19.426071
6510_62558_000085_000003	The road was as deserted as all that part of the Jacamar Wood which lay between the Mercy and the lake.	The road was as deserted as all that part of the Jacamar Wood which lay between the Mercy and the lake.	true	1146.26	1154.08	19.91694
6510_62558_000085_000004	There was no occasion for any warning.	There was no occasion for any warning.	true	1154.27	1157.1	16
6510_62558_000085_000005	The wood appeared as deserted as on the day when the colonists first landed on the island.	The wood appeared as deserted as on the day when the colonists first landed on the island.	true	1157.1	1163.17	17
6510_62558_000086_000000	They approached the plateau.	They approached the plateau.	true	1163.51	1165.33	23.015665
6510_62558_000086_000001	Another mile and they would see the bridge over Creek Glycerine.	Another mile and they would see the bridge over Creek Glycerine.	true	1165.46	1169.44	19
6510_62558_000086_000002	Cyrus Harding expected to find it in its place; supposing that the convicts would have crossed it, and that, after having passed one of the streams which enclosed the plateau, they would have taken the precaution to lower it again, so as to keep open a retreat.	Cyrus Harding expected to find it in its place; supposing that the convicts would have crossed it, and that, after having passed one of the streams which enclosed the plateau, they would have taken the precaution to lower it again, so as to keep open a retreat.	true	1169.78	1186.57	21.930199
6510_62558_000087_000000	At length an opening in the trees allowed the sea-horizon to be seen. But the cart continued its progress, for not one of its defenders thought of abandoning it.	At length an opening in the trees allowed the sea horizon to be seen. But the cart continued its progress, for not one of its defenders thought of abandoning it.	false	1187.12	1199.41	19.678005
6510_62558_000088_000000	At that moment Pencroft stopped the onager, and in a hoarse voice,--	At that moment Pencroft stopped the onager, and in a hoarse voice,--	true	1199.78	1205.08	21.092276
6510_62558_000089_000000	"Oh! the villains!" he exclaimed.	"Oh! the villains!" he exclaimed.	true	1205.45	1208.5	17.897211
6510_62558_000090_000000	And he pointed to a thick smoke rising from the mill, the sheds, and the buildings at the poultry-yard.	And he pointed to a thick smoke rising from the mill, the sheds, and the buildings at the poultry yard.	true	1208.66	1215.46	19.380644
6510_62558_000091_000000	A man was moving about in the midst of the smoke.	A man was moving about in the midst of the smoke.	true	1215.71	1218.39	15
6510_62558_000091_000001	It was Neb.	It was Neb.	true	1218.39	1219.45	18.930302
6510_62558_000092_000000	His companions uttered a shout.	His companions uttered a shout.	true	1219.82	1222.18	19.840366
6510_62558_000092_000001	He heard, and ran to meet them.	He heard, and ran to meet them.	true	1222.22	1224.73	22.013285
6510_62558_000093_000000	The convicts had left the plateau nearly half-an-hour before, having devastated it!	The convicts had left the plateau nearly half an hour before, having devastated it!	true	1225.04	1231.39	21.936317
6510_62558_000094_000000	"And Mr. Herbert?" asked Neb.	"And mr Herbert?" asked Neb.	true	1231.85	1234.51	22.49319
6510_62558_000095_000000	Gideon Spilett returned to the cart.	Gideon Spilett returned to the cart.	true	1234.7	1237.24	22.780836
6510_62558_000096_000000	Herbert had lost consciousness!	Herbert had lost consciousness!	false	1237.49	1245	21.594414
