5239_32139_000000_000000	Neptune was Poseidon, according to Plato, founder of Atlantis.	Neptune was Poseidon, according to Plato, founder of Atlantis.	false	0	5.94	24.55937
5239_32139_000050_000000	I might pursue those parallels much farther; but it seems to me that these extraordinary coincidences must have arisen either from identity of origin or long-continued ancient intercourse.	I might pursue those parallels much farther; but it seems to me that these extraordinary coincidences must have arisen either from identity of origin or long continued ancient intercourse.	true	1074.11	1086.4	20
5239_32139_000050_000001	There can be little doubt that a fair-skinned, light-haired, bearded race, holding the religion which Plato says prevailed in Atlantis, carried an Atlantean civilization at an early day up the valley of the Amazon to the heights of Bolivia and Peru, precisely as a similar emigration of Aryans went westward to the shores of the Mediterranean and Caspian, and it is very likely that these diverse migrations habitually spoke the same language.	There can be little doubt that a fair skinned, light haired, bearded race, holding the religion which Plato says prevailed in Atlantis, carried an Atlantean civilization at an early day up the valley of the Amazon to the heights of Bolivia and Peru, precisely as a similar emigration of Aryans went westward to the shores of the Mediterranean and Caspian, and it is very likely that these diverse migrations habitually spoke the same language.	true	1086.83	1113.7	18
5239_32139_000051_000000	Senor Vincente Lopez, a Spanish gentleman of Montevideo, in 1872 published a work entitled "Les Races Aryennes in Perou," in which he attempts to prove that the great Quichua language, which the Incas imposed on their subjects over a vast extent of territory, and which is still a living tongue in Peru and Bolivia, is really a branch of the great Aryan or Indo-European speech.	Senor Vincente Lopez, a Spanish gentleman of Montevideo, in eighteen seventy two published a work entitled "Les Races Aryennes in Perou," in which he attempts to prove that the great Quichua language, which the Incas imposed on their subjects over a vast extent of territory, and which is still a living tongue in Peru and Bolivia, is really a branch of the great Aryan or Indo European speech.	false	1113.86	1140.67	22
5239_32139_000051_000001	I quote Andrew Lang's summary of the proofs on this point:	I quote Andrew Lang's summary of the proofs on this point:	false	1140.8	1144.29	22.4172
5239_32139_000052_000000	OWL-HEADED VASE, TROY	OWL HEADED VASE, TROY	false	1144.29	1146.46	21.192776
5239_32139_000053_000000	"Senor Lopez's view, that the Peruvians were Aryans who left the parent stock long before the Teutonic or Hellenic races entered Europe, is supported by arguments drawn from language, from the traces of institutions, from religious beliefs, from legendary records, and artistic remains.	"Senor Lopez's view, that the Peruvians were Aryans who left the parent stock long before the Teutonic or Hellenic races entered Europe, is supported by arguments drawn from language, from the traces of institutions, from religious beliefs, from legendary records, and artistic remains.	true	1146.46	1163.86	22.773415
5239_32139_000053_000001	The evidence from language is treated scientifically, and not as a kind of ingenious guessing.	The evidence from language is treated scientifically, and not as a kind of ingenious guessing.	true	1164.17	1170.04	25.239069
5239_32139_000053_000002	Senor Lopez first combats the idea that the living dialect of Peru is barbarous and fluctuating.	Senor Lopez first combats the idea that the living dialect of Peru is barbarous and fluctuating.	true	1170.05	1176.58	25.248846
5239_32139_000053_000003	It is not one of the casual and shifting forms of speech produced by nomad races.	It is not one of the casual and shifting forms of speech produced by nomad races.	true	1176.74	1181.86	22.327524
5239_32139_000053_000004	To which of the stages of language does this belong--the agglutinative, in which one root is fastened on to another, and a word is formed in which the constitutive elements are obviously distinct, or the inflexional, where the auxiliary roots get worn down and are only distinguishable by the philologist?	To which of the stages of language does this belong-the agglutinative, in which one root is fastened on to another, and a word is formed in which the constitutive elements are obviously distinct, or the inflexional, where the auxiliary roots get worn down and are only distinguishable by the philologist?	true	1182.05	1201.02	22.608866
5239_32139_000053_000005	As all known Aryan tongues are inflexional, Senor Lopez may appear to contradict himself when he says that Quichua is an agglutinative Aryan language.	As all known Aryan tongues are inflexional, Senor Lopez may appear to contradict himself when he says that Quichua is an agglutinative Aryan language.	false	1201.02	1211.35	22
5239_32139_000053_000006	But he quotes Mr. Max Mueller's opinion that there must have been a time when the germs of Aryan tongues had not yet reached the inflexional stage, and shows that while the form of Quichua is agglutinative, as in Turanian, the roots of words are Aryan.	But he quotes mr Max Mueller's opinion that there must have been a time when the germs of Aryan tongues had not yet reached the inflexional stage, and shows that while the form of Quichua is agglutinative, as in Turanian, the roots of words are Aryan.	false	1211.54	1227.45	22
5239_32139_000053_000007	If this be so, Quichua may be a linguistic missing link.	If this be so, Quichua may be a linguistic missing link.	false	1227.45	1231.81	22.31674
5239_32139_000054_000000	"When we first look at Quichua, with its multitude of words, beginning with hu, and its great preponderance of q's, it seems almost as odd as Mexican.	"When we first look at Quichua, with its multitude of words, beginning with hu, and its great preponderance of q's, it seems almost as odd as Mexican.	false	1232	1241.6	23
5239_32139_000054_000001	But many of these forms are due to a scanty alphabet, and really express familiar sounds; and many, again, result from the casual spelling of the Spaniards.	But many of these forms are due to a scanty alphabet, and really express familiar sounds; and many, again, result from the casual spelling of the Spaniards.	true	1241.6	1251.19	23.255413
5239_32139_000054_000002	We must now examine some of the forms which Aryan roots are supposed to take in Quichua.	We must now examine some of the forms which Aryan roots are supposed to take in Quichua.	false	1251.5	1257.81	23.835684
5239_32139_000054_000003	In the first place, Quichua abhors the shock of two consonants.	In the first place, Quichua abhors the shock of two consonants.	false	1257.81	1262.27	24.690807
5239_32139_000054_000004	Thus, a word like ple'w in Greek would be unpleasant to the Peruvian's ear, and he says pillui, 'I sail.' The plu, again, in pluma, a feather, is said to be found in pillu, 'to fly.' Quichua has no v, any more than Greek has, and just as the Greeks had to spell Roman words beginning with V with Ou, like Valerius--Ou?ale'rios--so, where Sanscrit has v, Quichua has sometimes hu.	Thus, a word like ple'w in Greek would be unpleasant to the Peruvian's ear, and he says pillui, 'I sail.' The p l u, again, in pluma, a feather, is said to be found in pillu, 'to fly.' Quichua has no v, any more than Greek has, and just as the Greeks had to spell Roman words beginning with V with Ou, like Valerius-Ou?ale'rios-so, where Sanscrit has v, Quichua has sometimes hu.	false	1262.27	1291.62	23.046484
5239_32139_000054_000005	Here is a list of words in hu:	Here is a list of words in hu:	false	1291.62	1293.99	17
5239_32139_000055_000000	+----------------------+----------------------------+ | QUICHUA. | SANSCRIT.	plus----------------------plus----------------------------plus | q u i c h u a. | s a n s c r i t.	false	1293.99	1296.63	23.149668
5239_32139_000055_000001	| +----------------------+----------------------------+ | Huakia, to call.	| plus----------------------plus----------------------------plus | Huakia, to call.	false	1296.63	1298.88	30.7838
5239_32139_000055_000002	| Vacc, to speak.	| v a c c, to speak.	false	1298.88	1300.98	22.68411
5239_32139_000055_000003	| +----------------------+----------------------------+ | Huasi, a house.	| plus----------------------plus----------------------------plus | Huasi, a house.	false	1300.98	1303.42	22.363289
5239_32139_000055_000004	| Vas, to inhabit.	| Vas, to inhabit.	true	1303.61	1305.33	19.710115
5239_32139_000055_000005	| +----------------------+----------------------------+ | Huayra, air, au?'ra. | Va, to breathe.	| plus----------------------plus----------------------------plus | Huayra, air, au?'ra. | v a, to breathe.	false	1305.33	1310.55	25.420525
5239_32139_000055_000006	| +----------------------+----------------------------+ | Huasa, the back.	| plus----------------------plus----------------------------plus | Huasa, the back.	false	1310.55	1312.38	24.763777
5239_32139_000055_000007	| Vas, to be able (pouvoir).	| Vas, to be able (pouvoir).	false	1312.38	1314.3	24.353216
5239_32139_000055_000008	| +----------------------+----------------------------+	| plus----------------------plus----------------------------plus	false	1314.3	1315.2	20.030985
5239_32139_000056_000000	"There is a Sanscrit root, kr, to act, to do: this root is found in more than three hundred names of peoples and places in Southern America.	"There is a Sanscrit root, k r, to act, to do: this root is found in more than three hundred names of peoples and places in Southern America.	false	1315.2	1325.17	23.777596
5239_32139_000056_000001	Thus there are the Caribs, whose name may have the same origin as that of our old friends the Carians, and mean the Braves, and their land the home of the Braves, like Kaleva-la, in Finnish.	Thus there are the Caribs, whose name may have the same origin as that of our old friends the Carians, and mean the Braves, and their land the home of the Braves, like Kaleva la, in Finnish.	false	1325.18	1338.55	19
5239_32139_000056_000002	The same root gives kara, the hand, the Greek xei'r, and kkalli, brave, which a person of fancy may connect with kalo's.	The same root gives kara, the hand, the Greek xei'r, and k kalli, brave, which a person of fancy may connect with kalo's.	false	1338.71	1348.29	27.675697
5239_32139_000056_000003	Again, Quichua has an 'alpha privative'--thus A-stani means 'I change a thing's place;' for ni or mi is the first person singular, and, added to the root of a verb, is the sign of the first person of the present indicative.	Again, Quichua has an 'alpha privative'--thus A stani means 'I change a thing's place;' for ni or mi is the first person singular, and, added to the root of a verb, is the sign of the first person of the present indicative.	false	1348.29	1365.43	22.735115
5239_32139_000056_000004	For instance, can means being, and Can-mi, or Cani, is 'I am.' In the same way Munanmi, or Munani, is 'I love,' and Apanmi, or Apani, 'I carry.' So Lord Strangford was wrong when he supposed that the last verb in mi lived with the last patriot in Lithuania.	For instance, can means being, and Can mi, or Cani, is 'I am.' In the same way Munanmi, or Munani, is 'I love,' and Apanmi, or Apani, 'I carry.' So Lord Strangford was wrong when he supposed that the last verb in mi lived with the last patriot in Lithuania.	false	1365.44	1385.95	23.973902
5239_32139_000056_000005	Peru has stores of a grammatical form which has happily perished in Europe.	Peru has stores of a grammatical form which has happily perished in Europe.	true	1386.08	1391.55	19.148829
5239_32139_000056_000006	It is impossible to do more than refer to the supposed Aryan roots contained in the glossary, but it may be noticed that the future of the Quichuan verb is formed in s--I love, Munani; I shall love, Munasa--and that the affixes denoting cases in the noun are curiously like the Greek prepositions."	It is impossible to do more than refer to the supposed Aryan roots contained in the glossary, but it may be noticed that the future of the Quichuan verb is formed in s-I love, Munani; I shall love, Munasa-and that the affixes denoting cases in the noun are curiously like the Greek prepositions."	true	1391.55	1411.57	23.287027
5239_32139_000057_000000	The resemblance between the Quichua and Mandan words for I or me--mi--will here be observed.	The resemblance between the Quichua and Mandan words for I or me-mi-will here be observed.	false	1411.79	1419.42	22.433308
5239_32139_000058_000000	Very recently Dr. Rudolf Falb has announced (Neue Freie Presse, of Vienna) that he has discovered that the relation of the Quichua and Aimara languages to the Aryan and Semitic tongues is very close; that, in fact, they "exhibit the most astounding affinities with the Semitic tongue, and particularly the Arabic," in which tongue Dr. Falb has been skilled from his boyhood.	Very recently dr Rudolf Falb has announced (Neue Freie Presse, of Vienna) that he has discovered that the relation of the Quichua and Aimara languages to the Aryan and Semitic tongues is very close; that, in fact, they "exhibit the most astounding affinities with the Semitic tongue, and particularly the Arabic," in which tongue dr Falb has been skilled from his boyhood.	false	1419.42	1444.96	23.990246
5239_32139_000058_000001	Following up the lines of this discovery, Dr. Falb has found (1) a connecting link with the Aryan roots, and (2) has ultimately arrived face to face with the surprising revelation that "the Semitic roots are universally Aryan." The common stems of all the variants are found in their purest condition in Quichua and Aimara, from which fact Dr. Falb derives the conclusion that the high plains of Peru and Bolivia must be regarded as the point of exit of the present human race.	Following up the lines of this discovery, dr Falb has found (one) a connecting link with the Aryan roots, and (two) has ultimately arrived face to face with the surprising revelation that "the Semitic roots are universally Aryan." The common stems of all the variants are found in their purest condition in Quichua and Aimara, from which fact dr Falb derives the conclusion that the high plains of Peru and Bolivia must be regarded as the point of exit of the present human race.	true	1445.06	1476.04	23.603954
5239_32139_000059_000000	[Since the above was written I have received a letter from Dr. Falb, dated Leipsic, April 5th, 1881.	[Since the above was written I have received a letter from dr Falb, dated Leipsic, april fifth eighteen eighty one.	true	1476.32	1483.69	23.58788
5239_32139_000059_000001	Scholars will be glad to learn that Dr. Falb's great work on the relationship of the Aryan and Semitic languages to the Quichua and Aimara tongues will be published in a year or two; the manuscript contains over two thousand pages, and Dr. Falb has devoted to it ten years of study.	Scholars will be glad to learn that dr Falb's great work on the relationship of the Aryan and Semitic languages to the Quichua and Aimara tongues will be published in a year or two; the manuscript contains over two thousand pages, and dr Falb has devoted to it ten years of study.	false	1483.85	1501.75	23.251032
5239_32139_000059_000002	A work from such a source, upon so curious and important a subject, will be looked for with great interest.]	A work from such a source, upon so curious and important a subject, will be looked for with great interest.]	true	1501.94	1508.83	24.455063
5239_32139_000060_000000	But it is impossible that the Quichuas and Aimaras could have passed across the wide Atlantic to Europe if there had been no stepping-stone in the shape of Atlantis with its bridge-like ridges connecting the two continents.	But it is impossible that the Quichuas and Aimaras could have passed across the wide Atlantic to Europe if there had been no stepping stone in the shape of Atlantis with its bridge like ridges connecting the two continents.	true	1508.99	1521.25	23.734581
5239_32139_000061_000000	It is, however, more reasonable to suppose that the Quichuas and Aimaras were a race of emigrants from Plato's island than to think that Atlantis was populated from South America.	It is, however, more reasonable to suppose that the Quichuas and Aimaras were a race of emigrants from Plato's island than to think that Atlantis was populated from South America.	false	1521.41	1533.31	23.44687
5239_32139_000061_000001	The very traditions to which we have referred as existing among the Peruvians, that the civilized race were white and bearded, and that they entered or invaded the country, would show that civilization did not originate in Peru, but was a transplantation from abroad, and only in the direction of Atlantis can we look for a white and bearded race.	The very traditions to which we have referred as existing among the Peruvians, that the civilized race were white and bearded, and that they entered or invaded the country, would show that civilization did not originate in Peru, but was a transplantation from abroad, and only in the direction of Atlantis can we look for a white and bearded race.	false	1533.32	1554.82	21.437271
5239_32139_000062_000000	In fact, kindred races, with the same arts, and speaking the same tongue in an early age of the world, separated in Atlantis and went east and west--the one to repeat the civilization of the mother-country along the shores of the Mediterranean Sea, which, like a great river, may be said to flow out from the Black Sea, with the Nile as one of its tributaries, and along the shores of the Red Sea and the Persian Gulf; while the other emigration advanced up the Amazon, and created mighty nations upon its head-waters in the valleys of the Andes and on the shores of the Pacific.	In fact, kindred races, with the same arts, and speaking the same tongue in an early age of the world, separated in Atlantis and went east and west-the one to repeat the civilization of the mother country along the shores of the Mediterranean Sea, which, like a great river, may be said to flow out from the Black Sea, with the Nile as one of its tributaries, and along the shores of the Red Sea and the Persian Gulf; while the other emigration advanced up the Amazon, and created mighty nations upon its head waters in the valleys of the Andes and on the shores of the Pacific.	false	1555.19	1603.29	22.412506
