8152_258993_000000_000000	CHAPTER 41	CHAPTER forty one	false	0.57	26.31	20.443737
8152_258993_000034_000005	The best use of income forbids the purchase of an additional unit of any good unless it affords the highest gratification obtainable, at the moment, at an equal price.	The best use of income forbids the purchase of an additional unit of any good unless it affords the highest gratification obtainable, at the moment, at an equal price.	true	940.85	949.72	20
8152_258993_000034_000006	Various circumstances prevent the exact application of this rule.	Various circumstances prevent the exact application of this rule.	true	950.18	954.03	22.9138
8152_258993_000034_000007	Expenditure is a matter of habit, in large measure, rather than a matter of judgment.	Expenditure is a matter of habit, in large measure, rather than a matter of judgment.	true	954.03	958.51	20.774948
8152_258993_000034_000008	The knowledge needed for a rational choice very often is lacking.	The knowledge needed for a rational choice very often is lacking.	true	958.79	962.44	20
8152_258993_000034_000009	Appetites change, making unwise the old purchases, yet men go on buying the same things in the same proportions simply because a readjustment that would give greater gratification requires thought.	Appetites change, making unwise the old purchases, yet men go on buying the same things in the same proportions simply because a readjustment that would give greater gratification requires thought.	true	962.45	973.48	21.69638
8152_258993_000034_000010	Finally, the best economic adjustment must conform to the abiding physical and moral welfare of the user, not to a temporary impulse; and such a choice is far more difficult than that of the temporary good.	Finally, the best economic adjustment must conform to the abiding physical and moral welfare of the user, not to a temporary impulse; and such a choice is far more difficult than that of the temporary good.	true	973.85	985.68	21.99708
8152_258993_000035_000000	[Sidenote: Progress and the refinement of desires]	[Sidenote: Progress and the refinement of desires]	false	985.68	986.775	10
8152_258993_000036_000000	3.	three.	true	986.775	987.39	21.362911
8152_258993_000036_000001	_Progress takes place where new wealth gratifies marginal wants as intense as those of the preceding period._ If the utility of every kind of goods decreased uniformly as wealth increased, desire would steadily decline in intensity.	underscore Progress takes place where new wealth gratifies marginal wants as intense as those of the preceding period.underscore If the utility of every kind of goods decreased uniformly as wealth increased, desire would steadily decline in intensity.	false	987.39	1003	21.285427
8152_258993_000036_000002	But old wants vary and new wants develop with prosperity.	But old wants vary and new wants develop with prosperity.	true	1003.13	1007.35	22.628927
8152_258993_000036_000003	Desire grows by what it feeds on.	Desire grows by what it feeds on.	true	1007.84	1010.11	24.217073
8152_258993_000036_000004	Ambition passes on to other and higher peaks.	Ambition passes on to other and higher peaks.	true	1010.18	1013.11	23.14172
8152_258993_000036_000005	The direction of the individual man's life thus is determined by the expenditure of his increasing income.	The direction of the individual man's life thus is determined by the expenditure of his increasing income.	true	1013.3	1019.22	19.212872
8152_258993_000036_000006	Wealth makes possible a new adjustment of life, a new character, both in the individual and in the society.	Wealth makes possible a new adjustment of life, a new character, both in the individual and in the society.	true	1019.22	1026.66	21.630236
8152_258993_000037_000000	[Sidenote: Wealth a means to living]	[Sidenote: Wealth a means to living]	false	1026.66	1027.38	24
8152_258993_000038_000000	The thought that needs emphasis in this connection is that, while production and consumption are separable in thought and distinguishable in practice, they are not opposed in their ultimate purpose.	The thought that needs emphasis in this connection is that, while production and consumption are separable in thought and distinguishable in practice, they are not opposed in their ultimate purpose.	true	1027.38	1037.41	20
8152_258993_000038_000001	The highest fruits of production are in the lessons of sacrifice and discipline, and in its opportunities for experience and self-expression.	The highest fruits of production are in the lessons of sacrifice and discipline, and in its opportunities for experience and self expression.	true	1037.87	1046.26	22.139479
8152_258993_000038_000002	The best result of the consumption of wealth is not the gratification of appetite, but the strengthening of the spiritual forces within men.	The best result of the consumption of wealth is not the gratification of appetite, but the strengthening of the spiritual forces within men.	true	1046.45	1054.36	18.861195
8152_258993_000038_000003	The world is to rise to a higher social stage not by banishing labor and by multiplying sensual enjoyments of the commoner sort.	The world is to rise to a higher social stage not by banishing labor and by multiplying sensual enjoyments of the commoner sort.	true	1054.7	1062.76	19.795378
8152_258993_000038_000004	Wealth, even in an economic view, is not the end of life, but merely the means to its realization.	Wealth, even in an economic view, is not the end of life, but merely the means to its realization.	true	1062.98	1069.38	20.475555
8152_258993_000039_000000	[Sidenote: Variety and harmony in the choice of goods]	[Sidenote: Variety and harmony in the choice of goods]	false	1069.38	1071.3	22.381657
8152_258993_000040_000000	4.	four.	false	1071.3	1071.51	8
8152_258993_000040_000001	_Enjoyment is increased by a proper variety and harmony of goods._ As the old kinds of goods increase in amount and fall in value, there must be a substitution of new goods.	underscore Enjoyment is increased by a proper variety and harmony of goods.underscore As the old kinds of goods increase in amount and fall in value, there must be a substitution of new goods.	false	1071.51	1081.24	20.384405
8152_258993_000040_000002	An element added to the dress or to the diet heightens greatly the total gratification.	An element added to the dress or to the diet heightens greatly the total gratification.	true	1081.88	1086.91	22.35121
8152_258993_000040_000003	The result is a unit. Think of a dinner without butter, or a cranberry-pie without sugar, or a dress-suit without a linen collar.	The result is a unit. Think of a dinner without butter, or a cranberry pie without sugar, or a dress suit without a linen collar.	true	1087.13	1096.24	22.16284
8152_258993_000040_000004	Certain combinations are essential to the requirements of developed taste and present a problem of complementary goods.	Certain combinations are essential to the requirements of developed taste and present a problem of complementary goods.	true	1096.7	1103.35	19.823055
8152_258993_000040_000005	Combinations of complementary goods enhance the enjoyment; inharmonious combinations decrease it.	Combinations of complementary goods enhance the enjoyment; inharmonious combinations decrease it.	true	1103.75	1110.01	21.636686
8152_258993_000040_000006	That certain things "go together" is a fact that rests often in the nature of things. Complementary colors please the eye; well-seasoned dishes please the palate.	That certain things "go together" is a fact that rests often in the nature of things. Complementary colors please the eye; well seasoned dishes please the palate.	true	1110.38	1120.51	21.556887
8152_258993_000041_000000	Again, the harmony of goods is affected by the special nature of the occupation.	Again, the harmony of goods is affected by the special nature of the occupation.	true	1121.51	1126.21	20.821505
8152_258993_000041_000001	A farmer with his out-of-door life can use tobacco with far less danger than the sedentary worker.	A farmer with his out of door life can use tobacco with far less danger than the sedentary worker.	true	1126.55	1132.99	22.983099
8152_258993_000041_000002	A piano player cannot be a base-ball player: the one requires soft and supple hands, the other hard and callous ones.	A piano player cannot be a base ball player: the one requires soft and supple hands, the other hard and callous ones.	true	1133.51	1140.43	22.6258
8152_258993_000041_000003	The young man must give up the piano or the game, or play both badly.	The young man must give up the piano or the game, or play both badly.	true	1140.86	1145.62	23.538807
8152_258993_000041_000004	The harmony may rest on a still more complex social adjustment.	The harmony may rest on a still more complex social adjustment.	true	1146.08	1150	23
8152_258993_000041_000005	The loss to the man whose life is in the main on a higher plane is greater if he descends occasionally to a lower.	The loss to the man whose life is in the main on a higher plane is greater if he descends occasionally to a lower.	true	1150.52	1157.5	21.01366
8152_258993_000041_000006	A ditch-digger, looking at the question short-sightedly, may deem "a good drunk" a very desirable form of enjoyment.	A ditch digger, looking at the question short sightedly, may deem "a good drunk" a very desirable form of enjoyment.	true	1157.63	1164.97	21.047962
8152_258993_000041_000007	But a brain-worker, whose joy as well as efficiency depends on the clearness of his intellectual processes, must see that in his case the perils and the costs are much greater.	But a brain worker, whose joy as well as efficiency depends on the clearness of his intellectual processes, must see that in his case the perils and the costs are much greater.	true	1165.1	1175.04	16
8152_258993_000042_000000	[Sidenote: Unity of choice in happiness and in character]	[Sidenote: Unity of choice in happiness and in character]	false	1175.04	1175.87	3
8152_258993_000043_000000	Wise consumption depends not alone on physical pleasures, but on the spiritual unity of the uses made of goods.	Wise consumption depends not alone on physical pleasures, but on the spiritual unity of the uses made of goods.	true	1175.87	1182.79	21
8152_258993_000043_000001	Happiness and character are akin in the qualities of simplicity and unity.	Happiness and character are akin in the qualities of simplicity and unity.	true	1182.95	1187.71	21
8152_258993_000043_000002	Happiness, so far as it depends on wealth, is a harmony of gratifications.	Happiness, so far as it depends on wealth, is a harmony of gratifications.	true	1187.87	1193.41	22.277847
8152_258993_000043_000003	Character is a harmony of actions, a group of complementary deeds.	Character is a harmony of actions, a group of complementary deeds.	true	1193.48	1197.85	21.834679
8152_258993_000043_000004	There can be no harmony, without a central, simple, guiding principle.	There can be no harmony, without a central, simple, guiding principle.	true	1198.19	1202.35	21.246168
8152_258993_000043_000005	The wise and moral use of goods and the economic use of them are therefore for the individual essentially the same.	The wise and moral use of goods and the economic use of them are therefore for the individual essentially the same.	true	1202.63	1209.91	19
8152_258993_000043_000006	Life is a unity.	Life is a unity.	true	1210.25	1211.95	23.460278
8152_258993_000043_000007	The results of the choice of goods are reflected in the health, intelligence, happiness, morality, and progress of society.	The results of the choice of goods are reflected in the health, intelligence, happiness, morality, and progress of society.	true	1212.56	1220.41	21.458044
8152_258993_000043_000008	It is vain for the economist to ignore the ultimate relations between economic choice and morality; it is folly for the moralist to ignore the economic bases of right and wrong in human conduct.	It is vain for the economist to ignore the ultimate relations between economic choice and morality; it is folly for the moralist to ignore the economic bases of right and wrong in human conduct.	false	1220.87	1236.45	20.754313
