1629_139710_000000_000000	He died in the fifty-fifth year of his age, and the twenty-fifth of his reign.	He died in the fifty fifth year of his age, and the twenty fifth of his reign.	false	0	17.37	20.090868
1629_139710_000015_000013	He dismissed his own brother-in-law from his Council because he was a Protestant, and made a Privy Councillor of the before-mentioned Father Petre.	He dismissed his own brother in law from his Council because he was a Protestant, and made a Privy Councillor of the before mentioned Father Petre.	true	880.4	887.08	17.659569
1629_139710_000015_000014	He handed Ireland over to RICHARD TALBOT, EARL OF TYRCONNELL, a worthless, dissolute knave, who played the same game there for his master, and who played the deeper game for himself of one day putting it under the protection of the French King.	He handed Ireland over to RICHARD TALBOT, EARL OF t y r c o n n e l l, a worthless, dissolute knave, who played the same game there for his master, and who played the deeper game for himself of one day putting it under the protection of the French King.	false	887.3	898.12	17
1629_139710_000015_000015	In going to these extremities, every man of sense and judgment among the Catholics, from the Pope to a porter, knew that the King was a mere bigoted fool, who would undo himself and the cause he sought to advance; but he was deaf to all reason, and, happily for England ever afterwards, went tumbling off his throne in his own blind way.	In going to these extremities, every man of sense and judgment among the Catholics, from the Pope to a porter, knew that the King was a mere bigoted fool, who would undo himself and the cause he sought to advance; but he was deaf to all reason, and, happily for England ever afterwards, went tumbling off his throne in his own blind way.	false	898.46	914.53	16
1629_139710_000016_000000	A spirit began to arise in the country, which the besotted blunderer little expected.	A spirit began to arise in the country, which the besotted blunderer little expected.	true	915.14	919.3	18.976767
1629_139710_000016_000001	He first found it out in the University of Cambridge. Having made a Catholic a dean at Oxford without any opposition, he tried to make a monk a master of arts at Cambridge: which attempt the University resisted, and defeated him.	He first found it out in the University of Cambridge. Having made a Catholic a dean at Oxford without any opposition, he tried to make a monk a master of arts at Cambridge: which attempt the University resisted, and defeated him.	false	919.34	930.34	15
1629_139710_000016_000002	He then went back to his favourite Oxford.	He then went back to his favourite Oxford.	true	930.56	932.8	19
1629_139710_000016_000003	On the death of the President of Magdalen College, he commanded that there should be elected to succeed him, one MR.	On the death of the President of Magdalen College, he commanded that there should be elected to succeed him, one mr	true	932.81	937.89	13
1629_139710_000016_000004	ANTHONY FARMER, whose only recommendation was, that he was of the King's religion.	ANTHONY FARMER, whose only recommendation was, that he was of the King's religion.	true	937.89	942.01	13
1629_139710_000016_000005	The University plucked up courage at last, and refused.	The University plucked up courage at last, and refused.	true	942.26	945.16	19.309908
1629_139710_000016_000006	The King substituted another man, and it still refused, resolving to stand by its own election of a MR.	The King substituted another man, and it still refused, resolving to stand by its own election of a mr	true	945.17	949.95	13
1629_139710_000016_000007	HOUGH.	HOUGH.	false	949.95	951.12	24.000532
1629_139710_000016_000008	The dull tyrant, upon this, punished Mr. Hough, and five-and-twenty more, by causing them to be expelled and declared incapable of holding any church preferment; then he proceeded to what he supposed to be his highest step, but to what was, in fact, his last plunge head-foremost in his tumble off his throne.	The dull tyrant, upon this, punished mr Hough, and five and twenty more, by causing them to be expelled and declared incapable of holding any church preferment; then he proceeded to what he supposed to be his highest step, but to what was, in fact, his last plunge head foremost in his tumble off his throne.	false	951.12	967.33	16
1629_139710_000017_000000	He had issued a declaration that there should be no religious tests or penal laws, in order to let in the Catholics more easily; but the Protestant dissenters, unmindful of themselves, had gallantly joined the regular church in opposing it tooth and nail.	He had issued a declaration that there should be no religious tests or penal laws, in order to let in the Catholics more easily; but the Protestant dissenters, unmindful of themselves, had gallantly joined the regular church in opposing it tooth and nail.	true	968.24	979.99	15
1629_139710_000017_000001	The King and Father Petre now resolved to have this read, on a certain Sunday, in all the churches, and to order it to be circulated for that purpose by the bishops.	The King and Father Petre now resolved to have this read, on a certain Sunday, in all the churches, and to order it to be circulated for that purpose by the bishops.	true	980.33	988.15	15
1629_139710_000017_000002	The latter took counsel with the Archbishop of Canterbury, who was in disgrace; and they resolved that the declaration should not be read, and that they would petition the King against it.	The latter took counsel with the Archbishop of Canterbury, who was in disgrace; and they resolved that the declaration should not be read, and that they would petition the King against it.	true	988.43	996.67	17
1629_139710_000017_000003	The Archbishop himself wrote out the petition, and six bishops went into the King's bedchamber the same night to present it, to his infinite astonishment.	The Archbishop himself wrote out the petition, and six bishops went into the King's bedchamber the same night to present it, to his infinite astonishment.	true	996.92	1004.29	17
1629_139710_000017_000004	Next day was the Sunday fixed for the reading, and it was only read by two hundred clergymen out of ten thousand.	Next day was the Sunday fixed for the reading, and it was only read by two hundred clergymen out of ten thousand.	true	1004.57	1009.57	15
1629_139710_000017_000005	The King resolved against all advice to prosecute the bishops in the Court of King's Bench, and within three weeks they were summoned before the Privy Council, and committed to the Tower.	The King resolved against all advice to prosecute the bishops in the Court of King's Bench, and within three weeks they were summoned before the Privy Council, and committed to the Tower.	true	1010.03	1018.15	16
1629_139710_000017_000006	As the six bishops were taken to that dismal place, by water, the people who were assembled in immense numbers fell upon their knees, and wept for them, and prayed for them.	As the six bishops were taken to that dismal place, by water, the people who were assembled in immense numbers fell upon their knees, and wept for them, and prayed for them.	true	1018.52	1025.68	15
1629_139710_000017_000007	When they got to the Tower, the officers and soldiers on guard besought them for their blessing.	When they got to the Tower, the officers and soldiers on guard besought them for their blessing.	true	1025.99	1030.12	15
1629_139710_000017_000008	While they were confined there, the soldiers every day drank to their release with loud shouts.	While they were confined there, the soldiers every day drank to their release with loud shouts.	true	1030.19	1034.92	17
1629_139710_000017_000009	When they were brought up to the Court of King's Bench for their trial, which the Attorney-General said was for the high offence of censuring the Government, and giving their opinion about affairs of state, they were attended by similar multitudes, and surrounded by a throng of noblemen and gentlemen.	When they were brought up to the Court of King's Bench for their trial, which the Attorney General said was for the high offence of censuring the Government, and giving their opinion about affairs of state, they were attended by similar multitudes, and surrounded by a throng of noblemen and gentlemen.	true	1034.99	1047.97	14
1629_139710_000017_000010	When the jury went out at seven o'clock at night to consider of their verdict, everybody (except the King) knew that they would rather starve than yield to the King's brewer, who was one of them, and wanted a verdict for his customer.	When the jury went out at seven o'clock at night to consider of their verdict, everybody (except the King) knew that they would rather starve than yield to the King's brewer, who was one of them, and wanted a verdict for his customer.	true	1048.28	1059.13	19.617723
1629_139710_000017_000011	When they came into court next morning, after resisting the brewer all night, and gave a verdict of not guilty, such a shout rose up in Westminster Hall as it had never heard before; and it was passed on among the people away to Temple Bar, and away again to the Tower.	When they came into court next morning, after resisting the brewer all night, and gave a verdict of not guilty, such a shout rose up in Westminster Hall as it had never heard before; and it was passed on among the people away to Temple Bar, and away again to the Tower.	false	1059.53	1073.89	17
1629_139710_000017_000012	It did not pass only to the east, but passed to the west too, until it reached the camp at Hounslow, where the fifteen thousand soldiers took it up and echoed it.	It did not pass only to the east, but passed to the west too, until it reached the camp at Hounslow, where the fifteen thousand soldiers took it up and echoed it.	true	1074.02	1081.24	17
1629_139710_000017_000013	And still, when the dull King, who was then with Lord Feversham, heard the mighty roar, asked in alarm what it was, and was told that it was 'nothing but the acquittal of the bishops,' he said, in his dogged way, 'Call you that nothing?	And still, when the dull King, who was then with Lord Feversham, heard the mighty roar, asked in alarm what it was, and was told that it was 'nothing but the acquittal of the bishops,' he said, in his dogged way, 'Call you that nothing?	true	1081.4	1092.19	15
1629_139710_000017_000014	It is so much the worse for them.'	It is so much the worse for them.'	true	1092.19	1094.05	19.825464
1629_139710_000018_000000	Between the petition and the trial, the Queen had given birth to a son, which Father Petre rather thought was owing to Saint Winifred.	Between the petition and the trial, the Queen had given birth to a son, which Father Petre rather thought was owing to Saint Winifred.	false	1094.42	1100.2	15
1629_139710_000018_000001	But I doubt if Saint Winifred had much to do with it as the King's friend, inasmuch as the entirely new prospect of a Catholic successor (for both the King's daughters were Protestants) determined the EARLS OF SHREWSBURY, DANBY, and DEVONSHIRE, LORD LUMLEY, the BISHOP OF LONDON, ADMIRAL RUSSELL, and COLONEL SIDNEY, to invite the Prince of Orange over to England.	But I doubt if Saint Winifred had much to do with it as the King's friend, inasmuch as the entirely new prospect of a Catholic successor (for both the King's daughters were Protestants) determined the EARLS OF SHREWSBURY, DANBY, and DEVONSHIRE, LORD LUMLEY, the BISHOP OF LONDON, ADMIRAL RUSSELL, and COLONEL SIDNEY, to invite the Prince of Orange over to England.	true	1100.36	1118.8	17
1629_139710_000018_000002	The Royal Mole, seeing his danger at last, made, in his fright, many great concessions, besides raising an army of forty thousand men; but the Prince of Orange was not a man for James the Second to cope with.	The Royal Mole, seeing his danger at last, made, in his fright, many great concessions, besides raising an army of forty thousand men; but the Prince of Orange was not a man for james the Second to cope with.	false	1118.93	1129.07	14
1629_139710_000018_000003	His preparations were extraordinarily vigorous, and his mind was resolved.	His preparations were extraordinarily vigorous, and his mind was resolved.	true	1129.07	1132.62	13
1629_139710_000019_000000	For a fortnight after the Prince was ready to sail for England, a great wind from the west prevented the departure of his fleet.	For a fortnight after the Prince was ready to sail for England, a great wind from the west prevented the departure of his fleet.	false	1132.62	1138.72	18.526194
1629_139710_000019_000001	Even when the wind lulled, and it did sail, it was dispersed by a storm, and was obliged to put back to refit.	Even when the wind lulled, and it did sail, it was dispersed by a storm, and was obliged to put back to refit.	true	1139	1144.63	18
1629_139710_000019_000002	At last, on the first of November, one thousand six hundred and eighty-eight, the Protestant east wind, as it was long called, began to blow; and on the third, the people of Dover and the people of Calais saw a fleet twenty miles long sailing gallantly by, between the two places.	At last, on the first of November, one thousand six hundred and eighty eight, the Protestant east wind, as it was long called, began to blow; and on the third, the people of Dover and the people of Calais saw a fleet twenty miles long sailing gallantly by, between the two places.	false	1144.7	1157.41	15
1629_139710_000019_000003	On Monday, the fifth, it anchored at Torbay in Devonshire, and the Prince, with a splendid retinue of officers and men, marched into Exeter.	On Monday, the fifth, it anchored at Torbay in Devonshire, and the Prince, with a splendid retinue of officers and men, marched into Exeter.	true	1157.78	1164.01	13
1629_139710_000019_000004	But the people in that western part of the country had suffered so much in The Bloody Assize, that they had lost heart.	But the people in that western part of the country had suffered so much in The Bloody Assize, that they had lost heart.	true	1164.41	1169.53	14
1629_139710_000019_000005	Few people joined him; and he began to think of returning, and publishing the invitation he had received from those lords, as his justification for having come at all.	Few people joined him; and he began to think of returning, and publishing the invitation he had received from those lords, as his justification for having come at all.	true	1169.72	1177.21	14
1629_139710_000019_000006	At this crisis, some of the gentry joined him; the Royal army began to falter; an engagement was signed, by which all who set their hand to it declared that they would support one another in defence of the laws and liberties of the three Kingdoms, of the Protestant religion, and of the Prince of Orange.	At this crisis, some of the gentry joined him; the Royal army began to falter; an engagement was signed, by which all who set their hand to it declared that they would support one another in defence of the laws and liberties of the three Kingdoms, of the Protestant religion, and of the Prince of Orange.	true	1177.67	1191.8	17
1629_139710_000019_000007	From that time, the cause received no check; the greatest towns in England began, one after another, to declare for the Prince; and he knew that it was all safe with him when the University of Oxford offered to melt down its plate, if he wanted any money.	From that time, the cause received no check; the greatest towns in England began, one after another, to declare for the Prince; and he knew that it was all safe with him when the University of Oxford offered to melt down its plate, if he wanted any money.	false	1191.8	1204.3	16
1629_139710_000020_000000	By this time the King was running about in a pitiable way, touching people for the King's evil in one place, reviewing his troops in another, and bleeding from the nose in a third.	By this time the King was running about in a pitiable way, touching people for the King's evil in one place, reviewing his troops in another, and bleeding from the nose in a third.	true	1205.18	1213.99	16
1629_139710_000020_000001	The young Prince was sent to Portsmouth, Father Petre went off like a shot to France, and there was a general and swift dispersal of all the priests and friars.	The young Prince was sent to Portsmouth, Father Petre went off like a shot to France, and there was a general and swift dispersal of all the priests and friars.	true	1214.06	1221.55	15
1629_139710_000020_000002	One after another, the King's most important officers and friends deserted him and went over to the Prince.	One after another, the King's most important officers and friends deserted him and went over to the Prince.	true	1221.77	1226.68	15.632641
1629_139710_000020_000003	In the night, his daughter Anne fled from Whitehall Palace; and the Bishop of London, who had once been a soldier, rode before her with a drawn sword in his hand, and pistols at his saddle.	In the night, his daughter Anne fled from Whitehall Palace; and the Bishop of London, who had once been a soldier, rode before her with a drawn sword in his hand, and pistols at his saddle.	true	1227.14	1236.34	17
1629_139710_000020_000004	'God help me,' cried the miserable King: 'my very children have forsaken me!' In his wildness, after debating with such lords as were in London, whether he should or should not call a Parliament, and after naming three of them to negotiate with the Prince, he resolved to fly to France.	'God help me,' cried the miserable King: 'my very children have forsaken me!' In his wildness, after debating with such lords as were in London, whether he should or should not call a Parliament, and after naming three of them to negotiate with the Prince, he resolved to fly to France.	true	1236.62	1250.17	17
1629_139710_000020_000005	He had the little Prince of Wales brought back from Portsmouth; and the child and the Queen crossed the river to Lambeth in an open boat, on a miserable wet night, and got safely away.	He had the little Prince of Wales brought back from Portsmouth; and the child and the Queen crossed the river to Lambeth in an open boat, on a miserable wet night, and got safely away.	false	1250.48	1258.75	14
1629_139710_000020_000006	This was on the night of the ninth of December.	This was on the night of the ninth of December.	true	1258.85	1261.21	20
1629_139710_000021_000000	At one o'clock on the morning of the eleventh, the King, who had, in the meantime, received a letter from the Prince of Orange, stating his objects, got out of bed, told LORD NORTHUMBERLAND who lay in his room not to open the door until the usual hour in the morning, and went down the back stairs (the same, I suppose, by which the priest in the wig and gown had come up to his brother) and crossed the river in a small boat: sinking the great seal of England by the way.	At one o'clock on the morning of the eleventh, the King, who had, in the meantime, received a letter from the Prince of Orange, stating his objects, got out of bed, told LORD NORTHUMBERLAND who lay in his room not to open the door until the usual hour in the morning, and went down the back stairs (the same, I suppose, by which the priest in the wig and gown had come up to his brother) and crossed the river in a small boat: sinking the great seal of England by the way.	true	1261.97	1283.26	15
1629_139710_000021_000001	Horses having been provided, he rode, accompanied by SIR EDWARD HALES, to Feversham, where he embarked in a Custom House Hoy.	Horses having been provided, he rode, accompanied by SIR EDWARD HALES, to Feversham, where he embarked in a Custom House Hoy.	true	1283.78	1290.76	16
1629_139710_000021_000002	The master of this Hoy, wanting more ballast, ran into the Isle of Sheppy to get it, where the fishermen and smugglers crowded about the boat, and informed the King of their suspicions that he was a 'hatchet-faced Jesuit.' As they took his money and would not let him go, he told them who he was, and that the Prince of Orange wanted to take his life; and he began to scream for a boat--and then to cry, because he had lost a piece of wood on his ride which he called a fragment of Our Saviour's cross.	The master of this Hoy, wanting more ballast, ran into the Isle of Sheppy to get it, where the fishermen and smugglers crowded about the boat, and informed the King of their suspicions that he was a 'hatchet faced Jesuit.' As they took his money and would not let him go, he told them who he was, and that the Prince of Orange wanted to take his life; and he began to scream for a boat-and then to cry, because he had lost a piece of wood on his ride which he called a fragment of Our Saviour's cross.	true	1290.8	1313.38	14.45292
1629_139710_000021_000003	He put himself into the hands of the Lord Lieutenant of the county, and his detention was made known to the Prince of Orange at Windsor--who, only wanting to get rid of him, and not caring where he went, so that he went away, was very much disconcerted that they did not let him go.	He put himself into the hands of the Lord Lieutenant of the county, and his detention was made known to the Prince of Orange at Windsor-who, only wanting to get rid of him, and not caring where he went, so that he went away, was very much disconcerted that they did not let him go.	false	1313.63	1326.82	14
1629_139710_000021_000004	However, there was nothing for it but to have him brought back, with some state in the way of Life Guards, to Whitehall.	However, there was nothing for it but to have him brought back, with some state in the way of Life Guards, to Whitehall.	true	1327.1	1332.13	17
1629_139710_000021_000005	And as soon as he got there, in his infatuation, he heard mass, and set a Jesuit to say grace at his public dinner.	And as soon as he got there, in his infatuation, he heard mass, and set a Jesuit to say grace at his public dinner.	false	1332.38	1338.43	15
1629_139710_000022_000000	The people had been thrown into the strangest state of confusion by his flight, and had taken it into their heads that the Irish part of the army were going to murder the Protestants.	The people had been thrown into the strangest state of confusion by his flight, and had taken it into their heads that the Irish part of the army were going to murder the Protestants.	true	1338.98	1347.31	14
1629_139710_000022_000001	Therefore, they set the bells a ringing, and lighted watch-fires, and burned Catholic Chapels, and looked about in all directions for Father Petre and the Jesuits, while the Pope's ambassador was running away in the dress of a footman.	Therefore, they set the bells a ringing, and lighted watch fires, and burned Catholic Chapels, and looked about in all directions for Father Petre and the Jesuits, while the Pope's ambassador was running away in the dress of a footman.	false	1347.47	1358.44	15
1629_139710_000022_000002	They found no Jesuits; but a man, who had once been a frightened witness before Jeffreys in court, saw a swollen, drunken face looking through a window down at Wapping, which he well remembered.	They found no Jesuits; but a man, who had once been a frightened witness before Jeffreys in court, saw a swollen, drunken face looking through a window down at Wapping, which he well remembered.	false	1358.78	1369.63	19
1629_139710_000022_000003	The face was in a sailor's dress, but he knew it to be the face of that accursed judge, and he seized him.	The face was in a sailor's dress, but he knew it to be the face of that accursed judge, and he seized him.	true	1369.82	1374.82	15.427063
1629_139710_000022_000004	The people, to their lasting honour, did not tear him to pieces.	The people, to their lasting honour, did not tear him to pieces.	true	1375.16	1378.57	17
1629_139710_000022_000005	After knocking him about a little, they took him, in the basest agonies of terror, to the Lord Mayor, who sent him, at his own shrieking petition, to the Tower for safety.	After knocking him about a little, they took him, in the basest agonies of terror, to the Lord Mayor, who sent him, at his own shrieking petition, to the Tower for safety.	true	1378.58	1386.81	13
1629_139710_000022_000006	There, he died.	There, he died.	true	1386.81	1388.02	21.41495
1629_139710_000023_000000	Their bewilderment continuing, the people now lighted bonfires and made rejoicings, as if they had any reason to be glad to have the King back again.	Their bewilderment continuing, the people now lighted bonfires and made rejoicings, as if they had any reason to be glad to have the King back again.	true	1388.6	1395.82	15
1629_139710_000023_000001	But, his stay was very short, for the English guards were removed from Whitehall, Dutch guards were marched up to it, and he was told by one of his late ministers that the Prince would enter London, next day, and he had better go to Ham.	But, his stay was very short, for the English guards were removed from Whitehall, Dutch guards were marched up to it, and he was told by one of his late ministers that the Prince would enter London, next day, and he had better go to Ham.	false	1396.19	1407.54	17
1629_139710_000023_000002	He said, Ham was a cold, damp place, and he would rather go to Rochester.	He said, Ham was a cold, damp place, and he would rather go to Rochester.	true	1407.54	1411.24	14
1629_139710_000023_000003	He thought himself very cunning in this, as he meant to escape from Rochester to France.	He thought himself very cunning in this, as he meant to escape from Rochester to France.	true	1411.43	1415.5	15
1629_139710_000023_000004	The Prince of Orange and his friends knew that, perfectly well, and desired nothing more.	The Prince of Orange and his friends knew that, perfectly well, and desired nothing more.	false	1415.72	1419.7	13
1629_139710_000023_000005	So, he went to Gravesend, in his royal barge, attended by certain lords, and watched by Dutch troops, and pitied by the generous people, who were far more forgiving than he had ever been, when they saw him in his humiliation.	So, he went to Gravesend, in his royal barge, attended by certain lords, and watched by Dutch troops, and pitied by the generous people, who were far more forgiving than he had ever been, when they saw him in his humiliation.	true	1419.86	1429.84	13
1629_139710_000023_000006	On the night of the twenty-third of December, not even then understanding that everybody wanted to get rid of him, he went out, absurdly, through his Rochester garden, down to the Medway, and got away to France, where he rejoined the Queen.	On the night of the twenty third of December, not even then understanding that everybody wanted to get rid of him, he went out, absurdly, through his Rochester garden, down to the Medway, and got away to France, where he rejoined the Queen.	true	1430.24	1441.15	15.419203
1629_139710_000024_000000	There had been a council in his absence, of the lords, and the authorities of London.	There had been a council in his absence, of the lords, and the authorities of London.	true	1442.03	1445.83	14
1629_139710_000024_000001	When the Prince came, on the day after the King's departure, he summoned the Lords to meet him, and soon afterwards, all those who had served in any of the Parliaments of King Charles the Second.	When the Prince came, on the day after the King's departure, he summoned the Lords to meet him, and soon afterwards, all those who had served in any of the Parliaments of King Charles the Second.	true	1446.08	1454.5	14
1629_139710_000024_000002	It was finally resolved by these authorities that the throne was vacant by the conduct of King James the Second; that it was inconsistent with the safety and welfare of this Protestant kingdom, to be governed by a Popish prince; that the Prince and Princess of Orange should be King and Queen during their lives and the life of the survivor of them; and that their children should succeed them, if they had any.	It was finally resolved by these authorities that the throne was vacant by the conduct of King james the Second; that it was inconsistent with the safety and welfare of this Protestant kingdom, to be governed by a Popish prince; that the Prince and Princess of Orange should be King and Queen during their lives and the life of the survivor of them; and that their children should succeed them, if they had any.	true	1454.81	1473.4	15
1629_139710_000024_000003	That if they had none, the Princess Anne and her children should succeed; that if she had none, the heirs of the Prince of Orange should succeed.	That if they had none, the Princess Anne and her children should succeed; that if she had none, the heirs of the Prince of Orange should succeed.	true	1473.71	1480.93	16
1629_139710_000025_000000	On the thirteenth of January, one thousand six hundred and eighty-nine, the Prince and Princess, sitting on a throne in Whitehall, bound themselves to these conditions.	On the thirteenth of January, one thousand six hundred and eighty nine, the Prince and Princess, sitting on a throne in Whitehall, bound themselves to these conditions.	true	1481.33	1489.24	12
1629_139710_000025_000001	The Protestant religion was established in England, and England's great and glorious Revolution was complete.	The Protestant religion was established in England, and England's great and glorious Revolution was complete.	false	1489.37	1506.78	19.27014
