2673_156474_000000_000000	XX	x x	false	16.86	36.735	24.616634
2673_156474_000019_000002	When Corinth, at the end of May, fell into Halleck's hands, Forts Pillow and Randolph on the Mississippi River were hastily evacuated by the enemy, and on June 6 the Union flotilla of river gunboats which had rendered such signal service at Henry, Donelson, and Island No. 10, reinforced by a hastily constructed flotilla of heavy river tugs converted into rams, gained another brilliant victory in a most dramatic naval battle at Memphis, during which an opposing Confederate flotilla of similar rams and gunboats was almost completely destroyed, and the immediate evacuation of Memphis by the Confederates thereby forced.	When Corinth, at the end of May, fell into Halleck's hands, Forts Pillow and Randolph on the Mississippi River were hastily evacuated by the enemy, and on june sixth the Union flotilla of river gunboats which had rendered such signal service at Henry, Donelson, and Island no ten, reinforced by a hastily constructed flotilla of heavy river tugs converted into rams, gained another brilliant victory in a most dramatic naval battle at Memphis, during which an opposing Confederate flotilla of similar rams and gunboats was almost completely destroyed, and the immediate evacuation of Memphis by the Confederates thereby forced.	false	1231.55	1273.78	23.161514
2673_156474_000020_000000	This left Vicksburg as the single barrier to the complete opening of the Mississippi, and that barrier was defended by only six batteries and a garrison of six Confederate regiments at the date of Farragut's arrival before it.	This left Vicksburg as the single barrier to the complete opening of the Mississippi, and that barrier was defended by only six batteries and a garrison of six Confederate regiments at the date of Farragut's arrival before it.	true	1274.27	1287.94	23.341047
2673_156474_000020_000001	But Farragut had with his expedition only two regiments of troops, and the rebel batteries were situated at such an elevation that the guns of the Union fleet could not be raised sufficiently to silence them.	But Farragut had with his expedition only two regiments of troops, and the rebel batteries were situated at such an elevation that the guns of the Union fleet could not be raised sufficiently to silence them.	true	1288.4	1301.44	21.756718
2673_156474_000020_000002	Neither help nor promise of help came from Halleck's army, and Farragut could therefore do nothing but turn his vessels down stream and return to New Orleans.	Neither help nor promise of help came from Halleck's army, and Farragut could therefore do nothing but turn his vessels down stream and return to New Orleans.	true	1301.96	1311.55	23.542768
2673_156474_000020_000003	There, about June 1, he received news from the Navy Department that the administration was exceedingly anxious to have the Mississippi opened; and this time, taking with him Porter's mortar flotilla and three thousand troops, he again proceeded up the river, and a second time reached Vicksburg on June 25.	There, about june first, he received news from the Navy Department that the administration was exceedingly anxious to have the Mississippi opened; and this time, taking with him Porter's mortar flotilla and three thousand troops, he again proceeded up the river, and a second time reached Vicksburg on june twenty fifth.	false	1312.07	1334.55	23.161154
2673_156474_000021_000000	The delay, however, had enabled the Confederates greatly to strengthen the fortifications and the garrison of the city.	The delay, however, had enabled the Confederates greatly to strengthen the fortifications and the garrison of the city.	true	1334.55	1341.19	18
2673_156474_000021_000001	Neither a bombardment from Porter's mortar sloops, nor the running of Farragut's ships past the batteries, where they were joined by the Union gunboat flotilla from above, sufficed to bring the Confederates to a surrender.	Neither a bombardment from Porter's mortar sloops, nor the running of Farragut's ships past the batteries, where they were joined by the Union gunboat flotilla from above, sufficed to bring the Confederates to a surrender.	true	1342.04	1355.53	22.776358
2673_156474_000021_000002	Farragut estimated that a cooeperating land force of twelve to fifteen thousand would have enabled him to take the works; and Halleck, on June 28 and July 3, partially promised early assistance.	Farragut estimated that a cooeperating land force of twelve to fifteen thousand would have enabled him to take the works; and Halleck, on june twenty eighth and july third, partially promised early assistance.	false	1356.35	1370.05	23.909918
2673_156474_000021_000003	But on July 14 he reported definitely that it would be impossible for him to render the expected aid.	But on july fourteenth he reported definitely that it would be impossible for him to render the expected aid.	true	1370.54	1377.22	24.521454
2673_156474_000021_000004	Under these circumstances, the Navy Department ordered Farragut back to New Orleans, lest his ships of deep draft should be detained in the river by the rapidly falling water.	Under these circumstances, the Navy Department ordered Farragut back to New Orleans, lest his ships of deep draft should be detained in the river by the rapidly falling water.	false	1377.83	1389.85	23.035698
2673_156474_000021_000005	The capture of Vicksburg was postponed for a whole year, and the early transfer of Halleck to Washington changed the current of Western campaigns.	The capture of Vicksburg was postponed for a whole year, and the early transfer of Halleck to Washington changed the current of Western campaigns.	false	1390.04	1411.05	22.1842
