7754_108640_000000_000000	I replied as best I could--as only a true lover can.	I replied as best I could-as only a true lover can.	true	31.095	35.05	22
7754_108640_000030_000007	what--what--what--what had become of her teeth?	what-what-what-what had become of her teeth?	true	1146.73	1150.78	22.813887
7754_108640_000030_000008	I dashed the spectacles violently to the ground, and, leaping to my feet, stood erect in the middle of the floor, confronting Mrs. Simpson, with my arms set a-kimbo, and grinning and foaming, but, at the same time, utterly speechless with terror and with rage.	I dashed the spectacles violently to the ground, and, leaping to my feet, stood erect in the middle of the floor, confronting mrs Simpson, with my arms set a kimbo, and grinning and foaming, but, at the same time, utterly speechless with terror and with rage.	true	1150.97	1167.72	20
7754_108640_000031_000000	Now I have already said that Madame Eugenie Lalande--that is to say, Simpson--spoke the English language but very little better than she wrote it, and for this reason she very properly never attempted to speak it upon ordinary occasions.	Now I have already said that Madame Eugenie Lalande-that is to say, Simpson-spoke the English language but very little better than she wrote it, and for this reason she very properly never attempted to speak it upon ordinary occasions.	false	1167.72	1182.97	20.876728
7754_108640_000031_000001	But rage will carry a lady to any extreme; and in the present care it carried Mrs. Simpson to the very extraordinary extreme of attempting to hold a conversation in a tongue that she did not altogether understand.	But rage will carry a lady to any extreme; and in the present care it carried mrs Simpson to the very extraordinary extreme of attempting to hold a conversation in a tongue that she did not altogether understand.	false	1183.07	1196.14	20
7754_108640_000032_000000	"Vell, Monsieur," said she, after surveying me, in great apparent astonishment, for some moments--"Vell, Monsieur?--and vat den?--vat de matter now?	"Vell, Monsieur," said she, after surveying me, in great apparent astonishment, for some moments-"Vell, Monsieur?--and vat den?--vat de matter now?	false	1196.6	1207.5	21.876736
7754_108640_000032_000001	Is it de dance of de Saint itusse dat you ave?	Is it de dance of de Saint itusse dat you ave?	false	1207.5	1211.67	20.13451
7754_108640_000032_000002	If not like me, vat for vy buy de pig in the poke?"	If not like me, vat for v y buy de pig in the poke?"	false	1211.67	1216.87	22.66143
7754_108640_000033_000000	"You wretch!" said I, catching my breath--"you--you--you villainous old hag!"	"You wretch!" said I, catching my breath-"you-you-you villainous old hag!"	true	1217.33	1224.07	21.587757
7754_108640_000034_000000	"Ag?--ole?--me not so ver ole, after all!	"Ag?--ole?--me not so ver ole, after all!	false	1224.62	1228.87	24.058804
7754_108640_000034_000001	Me not one single day more dan de eighty-doo."	Me not one single day more dan de eighty doo."	true	1228.91	1232.5	20.237461
7754_108640_000035_000000	"Eighty-two!" I ejaculated, staggering to the wall--"eighty-two hundred thousand baboons!	"Eighty two!" I ejaculated, staggering to the wall-"eighty two hundred thousand baboons!	true	1233.02	1240.15	21.215624
7754_108640_000035_000001	The miniature said twenty-seven years and seven months!"	The miniature said twenty seven years and seven months!"	true	1240.37	1244.29	19
7754_108640_000036_000000	"To be sure!--dat is so!--ver true! but den de portraite has been take for dese fifty-five year.	"To be sure!--dat is so!--ver true! but den de portraite has been take for dese fifty five year.	true	1246.16	1255.5	25.556747
7754_108640_000036_000001	Ven I go marry my segonde usbande, Monsieur Lalande, at dat time I had de portraite take for my daughter by my first usbande, Monsieur Moissart!"	Ven I go marry my segonde u s bande, Monsieur Lalande, at dat time I had de portraite take for my daughter by my first u s bande, Monsieur Moissart!"	false	1255.5	1270.71	21.82405
7754_108640_000037_000000	"Moissart!" said I.	"Moissart!" said i	true	1270.71	1272.43	23.170008
7754_108640_000038_000000	"Yes, Moissart," said she, mimicking my pronunciation, which, to speak the truth, was none of the best,--"and vat den?	"Yes, Moissart," said she, mimicking my pronunciation, which, to speak the truth, was none of the best,--"and vat den?	true	1273.04	1281.52	22.222073
7754_108640_000038_000001	Vat you know about de Moissart?"	Vat you know about de Moissart?"	false	1281.74	1285.04	21.91051
7754_108640_000039_000000	"Nothing, you old fright!--I know nothing about him at all; only I had an ancestor of that name, once upon a time."	"Nothing, you old fright!--I know nothing about him at all; only I had an ancestor of that name, once upon a time."	true	1285.04	1291.96	22
7754_108640_000040_000000	"Dat name! and vat you ave for say to dat name?	"Dat name! and vat you ave for say to dat name?	false	1292.06	1296.37	23.862486
7754_108640_000040_000001	'Tis ver goot name; and so is Voissart--dat is ver goot name too.	'tis ver goot name; and so is Voissart-dat is ver goot name too.	false	1296.41	1301.73	22.33176
7754_108640_000040_000002	My daughter, Mademoiselle Moissart, she marry von Monsieur Voissart,--and de name is bot ver respectaable name."	My daughter, Mademoiselle Moissart, she marry von Monsieur Voissart,--and de name is bot ver respectaable name."	false	1301.73	1309.78	20.091805
7754_108640_000041_000000	"Moissart?" I exclaimed, "and Voissart!	"Moissart?" I exclaimed, "and Voissart!	true	1310.3	1313.17	23.14458
7754_108640_000041_000001	Why, what is it you mean?"	Why, what is it you mean?"	true	1313.17	1314.49	19
7754_108640_000042_000000	"Vat I mean?--I mean Moissart and Voissart; and for de matter of dat, I mean Croissart and Froisart, too, if I only tink proper to mean it. My daughter's daughter, Mademoiselle Voissart, she marry von Monsieur Croissart, and den again, my daughter's grande daughter, Mademoiselle Croissart, she marry von Monsieur Froissart; and I suppose you say dat dat is not von ver respectaable name.-"	"Vat I mean?--I mean Moissart and Voissart; and for de matter of dat, I mean Croissart and Froisart, too, if I only tink proper to mean it. My daughter's daughter, Mademoiselle Voissart, she marry von Monsieur Croissart, and den again, my daughter's grande daughter, Mademoiselle Croissart, she marry von Monsieur Froissart; and I suppose you say dat dat is not von ver respectaable name.-"	false	1315.19	1347.34	23.046684
7754_108640_000043_000000	"Froissart!" said I, beginning to faint, "why, surely you don't say Moissart, and Voissart, and Croissart, and Froissart?"	"Froissart!" said I, beginning to faint, "why, surely you don't say Moissart, and Voissart, and Croissart, and Froissart?"	true	1347.92	1354.87	20.193638
7754_108640_000044_000000	"Yes," she replied, leaning fully back in her chair, and stretching out her lower limbs at great length; "yes, Moissart, and Voissart, and Croissart, and Froissart.	"Yes," she replied, leaning fully back in her chair, and stretching out her lower limbs at great length; "yes, Moissart, and Voissart, and Croissart, and Froissart.	false	1355.39	1365.7	21.029434
7754_108640_000044_000001	But Monsieur Froissart, he vas von ver big vat you call fool--he vas von ver great big donce like yourself--for he lef la belle France for come to dis stupide Amerique--and ven he get here he went and ave von ver stupide, von ver, ver stupide sonn, so I hear, dough I not yet av ad de plaisir to meet vid him--neither me nor my companion, de Madame Stephanie Lalande.	But Monsieur Froissart, he vas von ver big vat you call fool-he vas von ver great big donce like yourself-for he l e f la belle France for come to dis stupide Amerique-and ven he get here he went and ave von ver stupide, von ver, ver stupide sonn, so I hear, dough I not yet av ad de plaisir to meet vid him-neither me nor my companion, de Madame Stephanie Lalande.	false	1365.98	1393.18	20.197742
7754_108640_000044_000002	He is name de Napoleon Bonaparte Froissart, and I suppose you say dat dat, too, is not von ver respectable name."	He is name de Napoleon Bonaparte Froissart, and I suppose you say dat dat, too, is not von ver respectable name."	false	1393.37	1402.27	24.435707
7754_108640_000045_000000	Either the length or the nature of this speech, had the effect of working up Mrs. Simpson into a very extraordinary passion indeed; and as she made an end of it, with great labor, she lumped up from her chair like somebody bewitched, dropping upon the floor an entire universe of bustle as she lumped.	Either the length or the nature of this speech, had the effect of working up mrs Simpson into a very extraordinary passion indeed; and as she made an end of it, with great labor, she lumped up from her chair like somebody bewitched, dropping upon the floor an entire universe of bustle as she lumped.	true	1403.21	1420.39	19
7754_108640_000045_000001	Once upon her feet, she gnashed her gums, brandished her arms, rolled up her sleeves, shook her fist in my face, and concluded the performance by tearing the cap from her head, and with it an immense wig of the most valuable and beautiful black hair, the whole of which she dashed upon the ground with a yell, and there trammpled and danced a fandango upon it, in an absolute ecstasy and agony of rage.	Once upon her feet, she gnashed her gums, brandished her arms, rolled up her sleeves, shook her fist in my face, and concluded the performance by tearing the cap from her head, and with it an immense wig of the most valuable and beautiful black hair, the whole of which she dashed upon the ground with a yell, and there trammpled and danced a fandango upon it, in an absolute ecstasy and agony of rage.	false	1420.79	1445.37	23.15752
7754_108640_000046_000000	Meantime I sank aghast into the chair which she had vacated.	Meantime I sank aghast into the chair which she had vacated.	true	1445.37	1449.28	22.890583
7754_108640_000046_000001	"Moissart and Voissart!" I repeated, thoughtfully, as she cut one of her pigeon-wings, and "Croissart and Froissart!" as she completed another--"Moissart and Voissart and Croissart and Napoleon Bonaparte Froissart!--why, you ineffable old serpent, that's me--that's me--d'ye hear?	"Moissart and Voissart!" I repeated, thoughtfully, as she cut one of her pigeon wings, and "Croissart and Froissart!" as she completed another-"Moissart and Voissart and Croissart and Napoleon Bonaparte Froissart!--why, you ineffable old serpent, that's me-that's me-d'ye hear?	true	1449.47	1469.62	22.68725
7754_108640_000046_000002	that's me"--here I screamed at the top of my voice--"that's me-e-e!	that's me"--here I screamed at the top of my voice-"that's me e e!	false	1469.62	1476	24.32942
7754_108640_000046_000003	I am Napoleon Bonaparte Froissart! and if I havn't married my great, great, grandmother, I wish I may be everlastingly confounded!"	I am Napoleon Bonaparte Froissart! and if I havn't married my great, great, grandmother, I wish I may be everlastingly confounded!"	true	1476	1484.35	21
7754_108640_000047_000000	Madame Eugenie Lalande, quasi Simpson--formerly Moissart--was, in sober fact, my great, great, grandmother.	Madame Eugenie Lalande, quasi Simpson-formerly Moissart-was, in sober fact, my great, great, grandmother.	true	1485.26	1493.89	22.285387
7754_108640_000047_000001	In her youth she had been beautiful, and even at eighty-two, retained the majestic height, the sculptural contour of head, the fine eyes and the Grecian nose of her girlhood.	In her youth she had been beautiful, and even at eighty two, retained the majestic height, the sculptural contour of head, the fine eyes and the Grecian nose of her girlhood.	true	1493.96	1504.06	22.574804
7754_108640_000047_000002	By the aid of these, of pearl-powder, of rouge, of false hair, false teeth, and false tournure, as well as of the most skilful modistes of Paris, she contrived to hold a respectable footing among the beauties en peu passees of the French metropolis.	By the aid of these, of pearl powder, of rouge, of false hair, false teeth, and false tournure, as well as of the most skilful modistes of Paris, she contrived to hold a respectable footing among the beauties en peu passees of the French metropolis.	false	1504.13	1520.38	22
7754_108640_000047_000003	In this respect, indeed, she might have been regarded as little less than the equal of the celebrated Ninon De L'Enclos.	In this respect, indeed, she might have been regarded as little less than the equal of the celebrated Ninon De L'Enclos.	true	1520.69	1527.49	20
7754_108640_000048_000000	She was immensely wealthy, and being left, for the second time, a widow without children, she bethought herself of my existence in America, and for the purpose of making me her heir, paid a visit to the United States, in company with a distant and exceedingly lovely relative of her second husband's--a Madame Stephanie Lalande.	She was immensely wealthy, and being left, for the second time, a widow without children, she bethought herself of my existence in America, and for the purpose of making me her heir, paid a visit to the United States, in company with a distant and exceedingly lovely relative of her second husband's-a Madame Stephanie Lalande.	false	1528.19	1548.87	22.471008
7754_108640_000049_000000	At the opera, my great, great, grandmother's attention was arrested by my notice; and, upon surveying me through her eye-glass, she was struck with a certain family resemblance to herself.	At the opera, my great, great, grandmother's attention was arrested by my notice; and, upon surveying me through her eye glass, she was struck with a certain family resemblance to herself.	true	1548.87	1560.58	21
7754_108640_000049_000001	Thus interested, and knowing that the heir she sought was actually in the city, she made inquiries of her party respecting me.	Thus interested, and knowing that the heir she sought was actually in the city, she made inquiries of her party respecting me.	true	1560.95	1568.44	20
7754_108640_000049_000002	The gentleman who attended her knew my person, and told her who I was.	The gentleman who attended her knew my person, and told her who I was.	true	1568.87	1572.79	19
7754_108640_000049_000003	The information thus obtained induced her to renew her scrutiny; and this scrutiny it was which so emboldened me that I behaved in the absurd manner already detailed. She returned my bow, however, under the impression that, by some odd accident, I had discovered her identity.	The information thus obtained induced her to renew her scrutiny; and this scrutiny it was which so emboldened me that I behaved in the absurd manner already detailed. She returned my bow, however, under the impression that, by some odd accident, I had discovered her identity.	true	1572.8	1590.94	20.539858
7754_108640_000049_000004	When, deceived by my weakness of vision, and the arts of the toilet, in respect to the age and charms of the strange lady, I demanded so enthusiastically of Talbot who she was, he concluded that I meant the younger beauty, as a matter of course, and so informed me, with perfect truth, that she was "the celebrated widow, Madame Lalande."	When, deceived by my weakness of vision, and the arts of the toilet, in respect to the age and charms of the strange lady, I demanded so enthusiastically of Talbot who she was, he concluded that I meant the younger beauty, as a matter of course, and so informed me, with perfect truth, that she was "the celebrated widow, Madame Lalande."	true	1591.4	1611.37	21
7754_108640_000050_000000	In the street, next morning, my great, great, grandmother encountered Talbot, an old Parisian acquaintance; and the conversation, very naturally turned upon myself.	In the street, next morning, my great, great, grandmother encountered Talbot, an old Parisian acquaintance; and the conversation, very naturally turned upon myself.	true	1611.98	1620.76	19
7754_108640_000050_000001	My deficiencies of vision were then explained; for these were notorious, although I was entirely ignorant of their notoriety, and my good old relative discovered, much to her chagrin, that she had been deceived in supposing me aware of her identity, and that I had been merely making a fool of myself in making open love, in a theatre, to an old woman unknown.	My deficiencies of vision were then explained; for these were notorious, although I was entirely ignorant of their notoriety, and my good old relative discovered, much to her chagrin, that she had been deceived in supposing me aware of her identity, and that I had been merely making a fool of myself in making open love, in a theatre, to an old woman unknown.	false	1620.92	1642.6	21
7754_108640_000050_000002	By way of punishing me for this imprudence, she concocted with Talbot a plot.	By way of punishing me for this imprudence, she concocted with Talbot a plot.	true	1643.12	1648.12	23.612175
7754_108640_000050_000003	He purposely kept out of my way to avoid giving me the introduction.	He purposely kept out of my way to avoid giving me the introduction.	true	1648.82	1652.56	20
7754_108640_000050_000004	My street inquiries about "the lovely widow, Madame Lalande," were supposed to refer to the younger lady, of course, and thus the conversation with the three gentlemen whom I encountered shortly after leaving Talbot's hotel will be easily explained, as also their allusion to Ninon De L'Enclos.	My street inquiries about "the lovely widow, Madame Lalande," were supposed to refer to the younger lady, of course, and thus the conversation with the three gentlemen whom I encountered shortly after leaving Talbot's hotel will be easily explained, as also their allusion to Ninon De L'Enclos.	false	1652.6	1670.49	21.435047
7754_108640_000050_000005	I had no opportunity of seeing Madame Lalande closely during daylight; and, at her musical soiree, my silly weakness in refusing the aid of glasses effectually prevented me from making a discovery of her age.	I had no opportunity of seeing Madame Lalande closely during daylight; and, at her musical soiree, my silly weakness in refusing the aid of glasses effectually prevented me from making a discovery of her age.	true	1670.49	1683.01	15
7754_108640_000050_000006	When "Madame Lalande" was called upon to sing, the younger lady was intended; and it was she who arose to obey the call; my great, great, grandmother, to further the deception, arising at the same moment and accompanying her to the piano in the main drawing-room.	When "Madame Lalande" was called upon to sing, the younger lady was intended; and it was she who arose to obey the call; my great, great, grandmother, to further the deception, arising at the same moment and accompanying her to the piano in the main drawing room.	true	1683.35	1699.81	21
7754_108640_000050_000007	Had I decided upon escorting her thither, it had been her design to suggest the propriety of my remaining where I was; but my own prudential views rendered this unnecessary.	Had I decided upon escorting her thither, it had been her design to suggest the propriety of my remaining where I was; but my own prudential views rendered this unnecessary.	true	1699.91	1710.61	19
7754_108640_000050_000008	The songs which I so much admired, and which so confirmed my impression of the youth of my mistress, were executed by Madame Stephanie Lalande.	The songs which I so much admired, and which so confirmed my impression of the youth of my mistress, were executed by Madame Stephanie Lalande.	true	1710.8	1719.49	18
7754_108640_000050_000009	The eyeglass was presented by way of adding a reproof to the hoax--a sting to the epigram of the deception.	The eyeglass was presented by way of adding a reproof to the hoax-a sting to the epigram of the deception.	true	1720.01	1726.3	23.099674
7754_108640_000050_000010	Its presentation afforded an opportunity for the lecture upon affectation with which I was so especially edified.	Its presentation afforded an opportunity for the lecture upon affectation with which I was so especially edified.	true	1726.61	1734.43	23.71386
7754_108640_000050_000011	It is almost superfluous to add that the glasses of the instrument, as worn by the old lady, had been exchanged by her for a pair better adapted to my years.	It is almost superfluous to add that the glasses of the instrument, as worn by the old lady, had been exchanged by her for a pair better adapted to my years.	true	1734.83	1743.46	16
7754_108640_000050_000012	They suited me, in fact, to a T.	They suited me, in fact, to a t	true	1743.59	1746.04	23.178165
7754_108640_000051_000000	The clergyman, who merely pretended to tie the fatal knot, was a boon companion of Talbot's, and no priest.	The clergyman, who merely pretended to tie the fatal knot, was a boon companion of Talbot's, and no priest.	true	1746.56	1753.21	23
7754_108640_000051_000001	He was an excellent "whip," however; and having doffed his cassock to put on a great-coat, he drove the hack which conveyed the "happy couple" out of town.	He was an excellent "whip," however; and having doffed his cassock to put on a great coat, he drove the hack which conveyed the "happy couple" out of town.	true	1753.31	1762.06	24.402023
7754_108640_000051_000002	Talbot took a seat at his side.	Talbot took a seat at his side.	true	1762.22	1764.31	24.946497
7754_108640_000051_000003	The two scoundrels were thus "in at the death," and through a half-open window of the back parlor of the inn, amused themselves in grinning at the denouement of the drama.	The two scoundrels were thus "in at the death," and through a half open window of the back parlor of the inn, amused themselves in grinning at the denouement of the drama.	false	1764.32	1774.12	21.452536
7754_108640_000051_000004	I believe I shall be forced to call them both out.	I believe I shall be forced to call them both out.	true	1774.34	1777.18	21.031094
7754_108640_000052_000000	Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief,--but I am the husband of Madame Lalande--of Madame Stephanie Lalande--with whom my good old relative, besides making me her sole heir when she dies--if she ever does--has been at the trouble of concocting me a match.	Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief,--but I am the husband of Madame Lalande-of Madame Stephanie Lalande-with whom my good old relative, besides making me her sole heir when she dies-if she ever does-has been at the trouble of concocting me a match.	true	1778.06	1801	23.350204
7754_108640_000052_000001	In conclusion: I am done forever with billets doux and am never to be met without SPECTACLES.	In conclusion: I am done forever with billets doux and am never to be met without SPECTACLES.	false	1801.73	1809.57	22.12124
7754_108640_000053_000000	KING PEST.	KING PEST.	false	1809.57	1809.72	4
7754_108640_000054_000000	A Tale Containing an Allegory.	A Tale Containing an Allegory.	false	1809.72	1810.11	2
7754_108640_000055_000000	The gods do bear and will allow in kings The things which they abhor in rascal routes.	The gods do bear and will allow in kings The things which they abhor in rascal routes.	false	1810.11	1811.49	100
7754_108640_000056_000000	_Buckhurst's Tragedy of Ferrex and Porrex._	underscore Buckhurst's Tragedy of Ferrex and Porrex.underscore	false	1811.49	1811.91	-20
7754_108640_000057_000000	ABOUT twelve o'clock, one night in the month of October, and during the chivalrous reign of the third Edward, two seamen belonging to the crew of the "Free and Easy," a trading schooner plying between Sluys and the Thames, and then at anchor in that river, were much astonished to find themselves seated in the tap-room of an ale-house in the parish of St. Andrews, London--which ale-house bore for sign the portraiture of a "Jolly Tar."	ABOUT twelve o'clock, one night in the month of October, and during the chivalrous reign of the third Edward, two seamen belonging to the crew of the "Free and Easy," a trading schooner plying between Sluys and the Thames, and then at anchor in that river, were much astonished to find themselves seated in the tap room of an ale house in the parish of st Andrews, London-which ale house bore for sign the portraiture of a "Jolly Tar."	false	1811.91	1823.31	17.575975
