55_121068_000000_000000	Chapter 50.	Chapter fifty.	true	13.29	14.31	17
55_121068_000045_000000	"In the name of heaven," said Maximilian, "if you know anything of him, tell us what it is."	"In the name of heaven," said Maximilian, "if you know anything of him, tell us what it is."	true	937.55	941.86	11
55_121068_000046_000000	"Alas," cried Monte Cristo, striving to repress his emotion, "if Lord Wilmore was your unknown benefactor, I fear you will never see him again.	"Alas," cried Monte Cristo, striving to repress his emotion, "if Lord Wilmore was your unknown benefactor, I fear you will never see him again.	true	942.26	949.96	13
55_121068_000046_000001	I parted from him two years ago at Palermo, and he was then on the point of setting out for the most remote regions; so that I fear he will never return."	I parted from him two years ago at Palermo, and he was then on the point of setting out for the most remote regions; so that I fear he will never return."	true	950.33	958.21	14
55_121068_000047_000000	"Oh, monsieur, this is cruel of you," said Julie, much affected; and the young lady's eyes swam with tears.	"Oh, monsieur, this is cruel of you," said Julie, much affected; and the young lady's eyes swam with tears.	true	959.12	964.69	13
55_121068_000048_000000	"Madame," replied Monte Cristo gravely, and gazing earnestly on the two liquid pearls that trickled down Julie's cheeks, "had Lord Wilmore seen what I now see, he would become attached to life, for the tears you shed would reconcile him to mankind;" and he held out his hand to Julie, who gave him hers, carried away by the look and accent of the count.	"Madame," replied Monte Cristo gravely, and gazing earnestly on the two liquid pearls that trickled down Julie's cheeks, "had Lord Wilmore seen what I now see, he would become attached to life, for the tears you shed would reconcile him to mankind;" and he held out his hand to Julie, who gave him hers, carried away by the look and accent of the count.	true	965.63	986.74	17
55_121068_000048_000001	"But," continued she, "Lord Wilmore had a family or friends, he must have known some one, can we not--"	"But," continued she, "Lord Wilmore had a family or friends, he must have known some one, can we not-"	true	987.35	992.8	15
55_121068_000049_000000	"Oh, it is useless to inquire," returned the count; "perhaps, after all, he was not the man you seek for.	"Oh, it is useless to inquire," returned the count; "perhaps, after all, he was not the man you seek for.	true	993.56	999.19	20
55_121068_000049_000001	He was my friend: he had no secrets from me, and if this had been so he would have confided in me."	He was my friend: he had no secrets from me, and if this had been so he would have confided in me."	true	999.32	1004.14	15
55_121068_000050_000000	"And he told you nothing?"	"And he told you nothing?"	true	1004.24	1005.49	17
55_121068_000051_000000	"Not a word."	"Not a word."	true	1005.56	1006.69	20.212328
55_121068_000052_000000	"Nothing that would lead you to suppose?"	"Nothing that would lead you to suppose?"	true	1006.7	1008.52	19
55_121068_000053_000000	"Nothing."	"Nothing."	true	1008.92	1009.69	20
55_121068_000054_000000	"And yet you spoke of him at once."	"And yet you spoke of him at once."	true	1009.91	1011.54	18
55_121068_000055_000000	"Ah, in such a case one supposes"--	"Ah, in such a case one supposes"--	false	1011.54	1014.28	20.348648
55_121068_000056_000000	"Sister, sister," said Maximilian, coming to the count's aid, "monsieur is quite right.	"Sister, sister," said Maximilian, coming to the count's aid, "monsieur is quite right.	true	1015.01	1019.14	14
55_121068_000056_000001	Recollect what our excellent father so often told us, 'It was no Englishman that thus saved us.'" Monte Cristo started.	Recollect what our excellent father so often told us, 'It was no Englishman that thus saved us.'" Monte Cristo started.	true	1019.39	1026.34	20
55_121068_000056_000002	"What did your father tell you, M. Morrel?" said he eagerly.	"What did your father tell you, m Morrel?" said he eagerly.	false	1026.56	1029.43	12
55_121068_000057_000000	"My father thought that this action had been miraculously performed--he believed that a benefactor had arisen from the grave to save us.	"My father thought that this action had been miraculously performed-he believed that a benefactor had arisen from the grave to save us.	true	1030.4	1037.29	17
55_121068_000057_000001	Oh, it was a touching superstition, monsieur, and although I did not myself believe it, I would not for the world have destroyed my father's faith. How often did he muse over it and pronounce the name of a dear friend--a friend lost to him forever; and on his death-bed, when the near approach of eternity seemed to have illumined his mind with supernatural light, this thought, which had until then been but a doubt, became a conviction, and his last words were, 'Maximilian, it was Edmond Dantes!'" At these words the count's paleness, which had for some time been increasing, became alarming; he could not speak; he looked at his watch like a man who has forgotten the hour, said a few hurried words to Madame Herbault, and pressing the hands of Emmanuel and Maximilian,--"Madame," said he, "I trust you will allow me to visit you occasionally; I value your friendship, and feel grateful to you for your welcome, for this is the first time for many years that I have thus yielded to my feelings;" and he hastily quitted the apartment.	Oh, it was a touching superstition, monsieur, and although I did not myself believe it, I would not for the world have destroyed my father's faith. How often did he muse over it and pronounce the name of a dear friend-a friend lost to him forever; and on his death bed, when the near approach of eternity seemed to have illumined his mind with supernatural light, this thought, which had until then been but a doubt, became a conviction, and his last words were, 'Maximilian, it was Edmond Dantes!'" At these words the count's paleness, which had for some time been increasing, became alarming; he could not speak; he looked at his watch like a man who has forgotten the hour, said a few hurried words to Madame Herbault, and pressing the hands of Emmanuel and Maximilian,--"Madame," said he, "I trust you will allow me to visit you occasionally; I value your friendship, and feel grateful to you for your welcome, for this is the first time for many years that I have thus yielded to my feelings;" and he hastily quitted the apartment.	false	1037.57	1094.56	18
55_121068_000058_000000	"This Count of Monte Cristo is a strange man," said Emmanuel.	"This Count of Monte Cristo is a strange man," said Emmanuel.	true	1094.81	1097.83	13
55_121068_000059_000000	"Yes," answered Maximilian, "but I feel sure he has an excellent heart, and that he likes us."	"Yes," answered Maximilian, "but I feel sure he has an excellent heart, and that he likes us."	true	1098.2	1103.51	17.448671
55_121068_000060_000000	"His voice went to my heart," observed Julie; "and two or three times I fancied that I had heard it before."	"His voice went to my heart," observed Julie; "and two or three times I fancied that I had heard it before."	false	1103.51	1115.22	13.5439
