7128_84121_000000_000000	"I'm afraid I shall have to do the proposing though," Dorothy added.	"I'm afraid I shall have to do the proposing though," Dorothy added.	false	0	1.95	20.0507
7128_84121_000080_000002	"If it hadn't been for me you wouldn't have had them at all," she added.	"If it hadn't been for me you wouldn't have had them at all," she added.	true	1056.86	1060.9	18
7128_84121_000080_000003	Presently she was munching chocolates contentedly, whilst Dorothy found herself hating both the chocolates and flowers.	Presently she was munching chocolates contentedly, whilst Dorothy found herself hating both the chocolates and flowers.	true	1061.3	1069.51	19
7128_84121_000081_000000	At the end of the fifth week Blake wrote that the _Destroyer_ would be ready for sea on the following Wednesday.	At the end of the fifth week Blake wrote that the underscore Destroyer underscore would be ready for sea on the following Wednesday.	false	1071.14	1078.09	19.819324
7128_84121_000081_000001	The effect of the news upon John Dene was curious.	The effect of the news upon john Dene was curious.	true	1078.52	1081.93	19
7128_84121_000081_000002	Instead of appearing elated at the near approach of the fruition of his schemes, he sat at his table for fully half an hour looking straight in front of him.	Instead of appearing elated at the near approach of the fruition of his schemes, he sat at his table for fully half an hour looking straight in front of him.	true	1082.09	1092.88	20
7128_84121_000081_000003	When at last he spoke, it was to enquire of Dorothy if she liked men in uniform.	When at last he spoke, it was to enquire of Dorothy if she liked men in uniform.	true	1093.73	1099.66	21.06281
7128_84121_000082_000000	That afternoon he worked with unflagging industry.	That afternoon he worked with unflagging industry.	true	1101.05	1104.91	21.955507
7128_84121_000082_000001	It seemed to Dorothy that he was deliberately calling to mind every little detail that had for some reason or other temporarily been put aside.	It seemed to Dorothy that he was deliberately calling to mind every little detail that had for some reason or other temporarily been put aside.	true	1105.22	1114.42	17
7128_84121_000082_000002	He seemed to be determined to leave no loose ends.	He seemed to be determined to leave no loose ends.	true	1114.88	1118.38	16.675621
7128_84121_000082_000003	Such matters as he was unable to clear up himself, he gave elaborate instructions to Dorothy that would enable her to act without reference to him.	Such matters as he was unable to clear up himself, he gave elaborate instructions to Dorothy that would enable her to act without reference to him.	true	1118.81	1128.48	19.550503
7128_84121_000082_000004	At half-past five, after a final glance round the room, he leaned back in his chair.	At half past five, after a final glance round the room, he leaned back in his chair.	false	1128.48	1135.09	20.187225
7128_84121_000083_000000	"I shall sleep some to-night," he remarked.	"I shall sleep some to night," he remarked.	false	1135.55	1138.92	18.999296
7128_84121_000084_000000	"Don't you always sleep?" enquired Dorothy.	"Don't you always sleep?" enquired Dorothy.	true	1138.92	1141.54	19.977468
7128_84121_000085_000000	"I sleep better when there are no loose ends tickling my brain," was the reply.	"I sleep better when there are no loose ends tickling my brain," was the reply.	true	1142.06	1146.97	17
7128_84121_000086_000000	As Dorothy left the office a few minutes after six he called her back.	As Dorothy left the office a few minutes after six he called her back.	true	1148.27	1153.09	21.378716
7128_84121_000087_000000	"If I've forgotten anything you'd best remind me."	"If I've forgotten anything you'd best remind me."	true	1153.67	1157.17	20.593433
7128_84121_000088_000000	"Mother," she remarked, when she got home that evening, "John Dene's the funniest man in all the world."	"Mother," she remarked, when she got home that evening, "john Dene's the funniest man in all the world."	false	1157.57	1164.52	19.706688
7128_84121_000089_000000	"Is he, dear?" said Mrs. West non-committally.	"Is he, dear?" said mrs West non committally.	true	1165.28	1169.29	20.151836
7128_84121_000090_000000	Dorothy nodded her head with decision.	Dorothy nodded her head with decision.	true	1170.02	1172.29	19.841972
7128_84121_000090_000001	"He wastes an awful lot of time, and then he hustles like--like--well, you know."	"He wastes an awful lot of time, and then he hustles like-like-well, you know."	true	1172.45	1178.83	18.205303
7128_84121_000091_000000	"How do you mean, dear?" queried Mrs. West.	"How do you mean, dear?" queried mrs West.	true	1180.01	1183.18	21.28454
7128_84121_000092_000000	"Well, he'll sit sometimes for an hour looking at nothing.	"Well, he'll sit sometimes for an hour looking at nothing.	true	1184.03	1188.01	20.677553
7128_84121_000092_000001	It's not complimentary when I'm there," she added.	It's not complimentary when I'm there," she added.	true	1188.14	1191.79	20.710892
7128_84121_000093_000000	"Perhaps he's thinking," suggested Mrs. West.	"Perhaps he's thinking," suggested mrs West.	true	1192.64	1195.63	15
7128_84121_000094_000000	"Oh, no!" Dorothy shook her head with decision.	"Oh, no!" Dorothy shook her head with decision.	true	1196.3	1199.83	17.257969
7128_84121_000094_000001	"He thinks while he's eating.	"He thinks while he's eating.	true	1200.32	1202.35	19.9978
7128_84121_000094_000002	You can see him do it.	You can see him do it.	false	1202.63	1205.7	17.8893
7128_84121_000094_000003	That's why he thinks salmon is pink cod.	That's why he thinks salmon is pink cod.	true	1205.7	1208.59	19.871733
7128_84121_000094_000004	No; John Dene is a very remarkable man; but he'd be very trying as a husband."	No; john Dene is a very remarkable man; but he'd be very trying as a husband."	true	1208.99	1215.28	21.541695
7128_84121_000095_000000	Dorothy spoke lightly; but during the last few days she had been asking herself what she would do when John Dene was gone.	Dorothy spoke lightly; but during the last few days she had been asking herself what she would do when john Dene was gone.	true	1216.34	1223.71	20
7128_84121_000095_000001	Sometimes she would sit and ponder over it, then with a movement of impatience she would plunge once more into her work.	Sometimes she would sit and ponder over it, then with a movement of impatience she would plunge once more into her work.	false	1224.26	1232.44	19.84212
7128_84121_000095_000002	What was John Dene to her that she should miss him?	What was john Dene to her that she should miss him?	false	1233.11	1236.43	19
7128_84121_000095_000003	He was just her employer, and in a few months he would go back to Canada, and she would never see him again.	He was just her employer, and in a few months he would go back to Canada, and she would never see him again.	true	1236.92	1243.84	20.222868
7128_84121_000095_000004	One morning she awakened crying from a dream in which John Dene had just said good-day to her and stepped on a large steamer labelled "To Canada." That day she was almost brusque in her manner, so much so that John Dene had asked her if she were not well.	One morning she awakened crying from a dream in which john Dene had just said good day to her and stepped on a large steamer labelled "To Canada." That day she was almost brusque in her manner, so much so that john Dene had asked her if she were not well.	false	1244.93	1262.8	19.625128
7128_84121_000096_000000	The next morning when Dorothy arrived at the office, she found John Dene sitting at his table.	The next morning when Dorothy arrived at the office, she found john Dene sitting at his table.	false	1264.43	1270.33	18
7128_84121_000096_000001	As she entered, he looked round, stared at her for a moment and then nodded, and as if as an after-thought added, "Good morning."	As she entered, he looked round, stared at her for a moment and then nodded, and as if as an after thought added, "Good morning."	false	1270.76	1280.71	20.473736
7128_84121_000097_000000	Dorothy passed into her own room.	Dorothy passed into her own room.	true	1281.74	1283.95	19.284658
7128_84121_000097_000001	She was a little puzzled.	She was a little puzzled.	true	1283.99	1285.63	20.932808
7128_84121_000097_000002	This was the first morning that John Dene had been there before her.	This was the first morning that john Dene had been there before her.	true	1286.3	1290.07	18
7128_84121_000098_000000	As she came out with her note-book she looked at him closely, conscious of something in his manner that was strange, something she could not altogether define.	As she came out with her note book she looked at him closely, conscious of something in his manner that was strange, something she could not altogether define.	false	1291.04	1302.19	19.384872
7128_84121_000098_000001	His voice seemed a little husky, and he lacked the quick bird-like movements so characteristic of him.	His voice seemed a little husky, and he lacked the quick bird like movements so characteristic of him.	false	1302.68	1312.44	20.22332
7128_84121_000099_000000	She made no remark, however, merely seating herself in her customary place and waited for letters.	She made no remark, however, merely seating herself in her customary place and waited for letters.	true	1312.44	1318.99	20.845299
7128_84121_000100_000000	He drew from his pocket some notes and began to dictate.	He drew from his pocket some notes and began to dictate.	true	1319.57	1323.16	17
7128_84121_000101_000000	Never before had he used notes when dictating.	Never before had he used notes when dictating.	true	1323.8	1327.36	18
7128_84121_000101_000001	Several times she glanced at him, and noted that he appeared to be reading from the manuscript rather than dictating; but she decided that he had probably written out rough drafts in order to assure accuracy.	Several times she glanced at him, and noted that he appeared to be reading from the manuscript rather than dictating; but she decided that he had probably written out rough drafts in order to assure accuracy.	true	1327.64	1341.52	20.792889
7128_84121_000101_000002	His voice was very strange.	His voice was very strange.	true	1341.71	1343.83	20.974096
7128_84121_000102_000000	"Did you sleep well last night, Mr. Dene?" she enquired during a pause in the dictation.	"Did you sleep well last night, mr Dene?" she enquired during a pause in the dictation.	true	1344.35	1350.28	18.553453
7128_84121_000103_000000	"Sleep well," he repeated, looking up at her, "I always sleep well."	"Sleep well," he repeated, looking up at her, "I always sleep well."	true	1351.31	1356.85	21.909838
7128_84121_000104_000000	Dorothy was startled.	Dorothy was startled.	true	1357.79	1359.28	22.238556
7128_84121_000104_000001	There was something in the glance and the brusque tone that puzzled her.	There was something in the glance and the brusque tone that puzzled her.	true	1359.65	1363.9	20
7128_84121_000104_000002	Both were so unlike John Dene.	Both were so unlike john Dene.	true	1364.48	1367.02	20.737951
7128_84121_000104_000003	She had mentally decided that he spoke to her as he spoke to no one else.	She had mentally decided that he spoke to her as he spoke to no one else.	true	1367.33	1372.96	18
7128_84121_000104_000004	She had compared his inflection when addressing her with that he adopted to others, even so important a person as Sir Bridgman North.	She had compared his inflection when addressing her with that he adopted to others, even so important a person as Sir Bridgman North.	false	1373.36	1383.46	21.041588
7128_84121_000104_000005	Now he spoke gruffly, as if he were irritated at being spoken to.	Now he spoke gruffly, as if he were irritated at being spoken to.	false	1383.89	1388.83	21.844645
7128_84121_000105_000000	Apparently he sensed what was passing through her mind, for he turned to her again and said:	Apparently he sensed what was passing through her mind, for he turned to her again and said:	true	1389.59	1396.06	21.256529
7128_84121_000106_000000	"I'm not feeling very well this morning, Miss West, I----"	"I'm not feeling very well this morning, Miss West, I----"	true	1396.73	1400.5	20
7128_84121_000106_000001	Then he hesitated.	Then he hesitated.	true	1401.11	1402.39	19.8995
7128_84121_000107_000000	"Perhaps you didn't sleep very well," she suggested mischievously.	"Perhaps you didn't sleep very well," she suggested mischievously.	true	1403.42	1407.46	18
7128_84121_000108_000000	"No, I'm afraid that's what it was," he acknowledged Dorothy's eyes opened just a little in surprise.	"No, I'm afraid that's what it was," he acknowledged Dorothy's eyes opened just a little in surprise.	true	1408.4	1416.85	20.0606
7128_84121_000108_000001	A minute ago he had stated that he always slept well.	A minute ago he had stated that he always slept well.	false	1417.55	1421.95	20.343601
7128_84121_000108_000002	Either John Dene was mad or ill; and Dorothy continued to take down, greatly puzzled.	Either john Dene was mad or ill; and Dorothy continued to take down, greatly puzzled.	true	1422.29	1429.84	19.205545
7128_84121_000108_000003	Had he been drugged?	Had he been drugged?	true	1430.39	1431.82	21.841059
7128_84121_000108_000004	The thought caused her to pause in her work and glance up at him.	The thought caused her to pause in her work and glance up at him.	true	1432.28	1436.41	21
7128_84121_000108_000005	He certainly seemed vague and uncertain, and then he looked so strange.	He certainly seemed vague and uncertain, and then he looked so strange.	true	1436.84	1441.87	18
7128_84121_000109_000000	When he had dictated for about half an hour, John Dene handed her a large number of documents to copy, telling her that there would not be any more letters that day.	When he had dictated for about half an hour, john Dene handed her a large number of documents to copy, telling her that there would not be any more letters that day.	false	1442.75	1455.36	19.796951
7128_84121_000109_000001	To her surprise he picked up his hat and announced that he would not be back until five o'clock to sign the letters.	To her surprise he picked up his hat and announced that he would not be back until five o'clock to sign the letters.	true	1455.36	1462.54	20
7128_84121_000109_000002	Never before had he missed lunching at his office.	Never before had he missed lunching at his office.	true	1463.06	1466.65	18
7128_84121_000109_000003	Dorothy was now convinced that something was wrong.	Dorothy was now convinced that something was wrong.	true	1466.99	1470.22	20.096556
7128_84121_000109_000004	Everything about him seemed strange and forced.	Everything about him seemed strange and forced.	false	1470.62	1474.03	18.210394
7128_84121_000110_000000	Once or twice she caught him looking at her furtively; but immediately she raised her eyes, he hastily shifted his, as if caught in some doubtful act.	Once or twice she caught him looking at her furtively; but immediately she raised her eyes, he hastily shifted his, as if caught in some doubtful act.	true	1474.67	1487.17	20.265337
7128_84121_000111_000000	At twelve o'clock lunch arrived, and Dorothy had to confess to herself that it was a lonely and unsatisfactory meal.	At twelve o'clock lunch arrived, and Dorothy had to confess to herself that it was a lonely and unsatisfactory meal.	true	1487.78	1495.9	21
7128_84121_000112_000000	At five o'clock John Dene returned and signed the letters with a rubber stamp, which he had recently adopted.	At five o'clock john Dene returned and signed the letters with a rubber stamp, which he had recently adopted.	true	1496.45	1503.82	19.6195
7128_84121_000113_000000	"When are you going away, Mr. Dene?" asked Dorothy.	"When are you going away, mr Dene?" asked Dorothy.	true	1504.28	1507.63	20.856089
7128_84121_000114_000000	"I don't know," he responded gruffly.	"I don't know," he responded gruffly.	true	1507.73	1509.97	21.113403
7128_84121_000115_000000	"I merely asked because two people on the telephone enquired when you were going away."	"I merely asked because two people on the telephone enquired when you were going away."	true	1510.82	1516.39	21
7128_84121_000116_000000	"And what did you say?"	"And what did you say?"	true	1517.3	1518.7	19.942833
7128_84121_000117_000000	"Oh, I just said what you told me.	"Oh, I just said what you told me.	true	1519.16	1521.4	21.405602
7128_84121_000117_000001	A man called this afternoon also with the same question."	A man called this afternoon also with the same question."	true	1521.47	1525.09	19.818146
7128_84121_000118_000000	For a moment he looked at her, then turning on his heel said "good evening," and with a nod walked out.	For a moment he looked at her, then turning on his heel said "good evening," and with a nod walked out.	true	1525.91	1533.16	19.959927
7128_84121_000119_000000	Dorothy had expected him to make some remark about these enquiries. She knew that John Dene had no friends in London, and the questions as to when he was going away had struck her as strange.	Dorothy had expected him to make some remark about these enquiries. She knew that john Dene had no friends in London, and the questions as to when he was going away had struck her as strange.	true	1534.64	1548.37	20.776777
7128_84121_000120_000000	The next day was a repetition of the first.	The next day was a repetition of the first.	true	1549.46	1552.45	19.475643
7128_84121_000120_000001	A few letters were dictated, a sheaf of documents handed to her to copy, and John Dene disappeared.	A few letters were dictated, a sheaf of documents handed to her to copy, and john Dene disappeared.	true	1552.67	1560.4	21.142225
7128_84121_000120_000002	Again lunch was brought for her, which she ate alone, and at five o'clock he came in and signed the letters.	Again lunch was brought for her, which she ate alone, and at five o'clock he came in and signed the letters.	true	1560.89	1567.84	20.11497
7128_84121_000121_000000	By this time Dorothy was convinced that he was ill.	By this time Dorothy was convinced that he was ill.	false	1569.23	1572.52	20.064957
7128_84121_000121_000001	The strain of the past few weeks had evidently been telling on him.	The strain of the past few weeks had evidently been telling on him.	false	1572.68	1576.56	16
7128_84121_000121_000002	When he had signed the last letter she bluntly enquired if he felt better.	When he had signed the last letter she bluntly enquired if he felt better.	true	1576.56	1581.58	20.914846
7128_84121_000122_000000	"Better?" he interrogated.	"Better?" he interrogated.	true	1582.43	1584.61	22.369555
7128_84121_000122_000001	"I haven't been ill."	"I haven't been ill."	true	1584.65	1586.56	20.181822
7128_84121_000123_000000	"I thought you didn't seem quite well," said Dorothy hesitatingly; but he brushed aside the enquiry by picking up his hat and bidding her "good evening."	"I thought you didn't seem quite well," said Dorothy hesitatingly; but he brushed aside the enquiry by picking up his hat and bidding her "good evening."	false	1587.23	1597.06	20.954245
7128_84121_000124_000000	Dorothy was feeling annoyed and a little hurt; and preserved an attitude of businesslike brevity in all her remarks to John Dene.	Dorothy was feeling annoyed and a little hurt; and preserved an attitude of businesslike brevity in all her remarks to john Dene.	false	1598.18	1606.78	19.923027
7128_84121_000124_000001	If he chose to adopt the attitude of the uncompromising employer, she on her part would humour him by becoming an ordinary employee.	If he chose to adopt the attitude of the uncompromising employer, she on her part would humour him by becoming an ordinary employee.	false	1607.21	1616.23	20
7128_84121_000124_000002	Still she had to confess to herself that the old pleasure in her work had departed.	Still she had to confess to herself that the old pleasure in her work had departed.	true	1616.6	1621.99	21.245764
7128_84121_000124_000003	Hitherto she had looked forward to her arrival at the office, the coming of John Dene, their luncheons together and the occasional little chats that were sandwiched in between her work.	Hitherto she had looked forward to her arrival at the office, the coming of john Dene, their luncheons together and the occasional little chats that were sandwiched in between her work.	false	1622.45	1634.35	20.543552
7128_84121_000125_000000	She had become deeply interested in the _Destroyer_ and what it would achieve in the war.	She had become deeply interested in the underscore Destroyer underscore and what it would achieve in the war.	false	1635.08	1641.19	20.346994
7128_84121_000125_000001	She had been flattered by the confidence that John Dene had shown hi her discretion, and had felt that she was "doing her bit." Again, the sense of being behind the scenes pleased her.	She had been flattered by the confidence that john Dene had shown hi her discretion, and had felt that she was "doing her bit." Again, the sense of being behind the scenes pleased her.	false	1641.92	1656.16	20.078152
7128_84121_000125_000002	She was conscious of knowing secrets that were denied even to Cabinet Ministers.	She was conscious of knowing secrets that were denied even to Cabinet Ministers.	true	1656.26	1661.41	17
7128_84121_000125_000003	The members of the War Cabinet knew less than she did about the _Destroyer_ and what was expected of it.	The members of the War Cabinet knew less than she did about the underscore Destroyer underscore and what was expected of it.	false	1661.81	1668.37	20.186096
7128_84121_000126_000000	John Dene was a man who did everything thoroughly.	john Dene was a man who did everything thoroughly.	true	1668.92	1672.78	18.463167
7128_84121_000126_000001	If he trusted anyone, he did it implicitly; if he distrusted anyone, he did it uncompromisingly.	If he trusted anyone, he did it implicitly; if he distrusted anyone, he did it uncompromisingly.	true	1673.06	1681.12	21.60773
7128_84121_000126_000002	Where he liked, he liked to excess; where he disliked, he disliked to the elimination of all good qualities.	Where he liked, he liked to excess; where he disliked, he disliked to the elimination of all good qualities.	true	1681.58	1690.57	20.877016
7128_84121_000126_000003	Half measures did not exist for John Dene of Toronto.	Half measures did not exist for john Dene of Toronto.	true	1690.94	1694.83	19
7128_84121_000127_000000	When Dorothy discovered that all the old intimacy had passed away, and John Dene had become merely an employer, treating her as a secretary, she was conscious that the glamour had fallen from her work.	When Dorothy discovered that all the old intimacy had passed away, and john Dene had become merely an employer, treating her as a secretary, she was conscious that the glamour had fallen from her work.	false	1695.74	1710.25	20.667284
7128_84121_000127_000001	Somehow or other the _Destroyer_ had receded into something impersonal, whereas hitherto it had appeared to her as if she had been in some way or other intimately associated with it.	Somehow or other the underscore Destroyer underscore had receded into something impersonal, whereas hitherto it had appeared to her as if she had been in some way or other intimately associated with it.	false	1711.07	1724.83	20.631092
7128_84121_000128_000000	It was all very strange and very puzzling, she told herself.	It was all very strange and very puzzling, she told herself.	true	1725.65	1729.72	20.46845
7128_84121_000128_000001	Sometimes she wondered if she had done anything to annoy him.	Sometimes she wondered if she had done anything to annoy him.	true	1729.94	1733.71	18
7128_84121_000128_000002	Then she told herself that there was something more than personal pique in his manner.	Then she told herself that there was something more than personal pique in his manner.	true	1734.17	1739.32	18
7128_84121_000128_000003	His whole bearing seemed to have changed, as if he had decided to regard her merely as a piece of mechanism, just as he did the typewriter, or his office chair.	His whole bearing seemed to have changed, as if he had decided to regard her merely as a piece of mechanism, just as he did the typewriter, or his office chair.	true	1739.78	1751.71	20.153158
7128_84121_000129_000000	It was at this period of her reasoning that Dorothy discovered her dignity.	It was at this period of her reasoning that Dorothy discovered her dignity.	true	1752.98	1758.16	20
7128_84121_000129_000001	From that time her attitude was that of the injured woman, yet perfect secretary.	From that time her attitude was that of the injured woman, yet perfect secretary.	true	1759.1	1765.24	20.995878
7128_84121_000129_000002	Her sense of humour had deserted her, and she arrived at the office and left it very much upon her dignity.	Her sense of humour had deserted her, and she arrived at the office and left it very much upon her dignity.	true	1766	1773.67	20.116802
7128_84121_000129_000003	Even Mrs. West noticed the difference in her manner, and at last enquired if anything were wrong, or if she were unwell; but Dorothy reassured her with a hug and a kiss, and for the rest of that evening had been particularly bright and vivacious.	Even mrs West noticed the difference in her manner, and at last enquired if anything were wrong, or if she were unwell; but Dorothy reassured her with a hug and a kiss, and for the rest of that evening had been particularly bright and vivacious.	false	1774.13	1791.88	19.19914
7128_84121_000130_000000	When Mrs. West mentioned the name of John Dene, Dorothy did not pursue the topic, although Mrs. West failed to notice that she was switched off to other subjects.	When mrs West mentioned the name of john Dene, Dorothy did not pursue the topic, although mrs West failed to notice that she was switched off to other subjects.	true	1793.06	1804.33	18
7128_84121_000131_000000	At the end of the week she noticed that John Dene handed her the week's salary in notes.	At the end of the week she noticed that john Dene handed her the week's salary in notes.	true	1805.09	1810.66	14
7128_84121_000131_000001	Hitherto it had been his custom to place the money in an envelope and put it on her table.	Hitherto it had been his custom to place the money in an envelope and put it on her table.	true	1811.06	1817.05	19
7128_84121_000131_000002	She concluded that this new method was to impress upon her that she was a dependent, and that the old relationship between them had been severed.	She concluded that this new method was to impress upon her that she was a dependent, and that the old relationship between them had been severed.	true	1818.08	1828.63	19.948883
7128_84121_000131_000003	That evening, Dorothy was always paid on the Friday evening, she held her head very high when she left the office.	That evening, Dorothy was always paid on the Friday evening, she held her head very high when she left the office.	true	1829.12	1837.54	20.024874
7128_84121_000131_000004	If Mr. John Dene required decorum, then he should have it in plenty from his secretary.	If mr john Dene required decorum, then he should have it in plenty from his secretary.	false	1838	1845.07	20.559023
7128_84121_000132_000000	The next morning and the Monday following, Dorothy was very much on her dignity.	The next morning and the Monday following, Dorothy was very much on her dignity.	true	1846.37	1852.09	19
7128_84121_000132_000001	She seemed suddenly to have become imbued with all the qualities of the perfect secretary.	She seemed suddenly to have become imbued with all the qualities of the perfect secretary.	true	1852.46	1858.69	20
7128_84121_000132_000002	No hint of a smile was allowed to wanton across her features, she was grave, ceremonial, efficient.	No hint of a smile was allowed to wanton across her features, she was grave, ceremonial, efficient.	true	1859.39	1867.39	19.564833
7128_84121_000132_000003	She worked harder than ever and, when she had finished the tasks John Dene set her, she manufactured others so that her time should be fully occupied.	She worked harder than ever and, when she had finished the tasks john Dene set her, she manufactured others so that her time should be fully occupied.	true	1867.73	1878.13	20
7128_84121_000133_000000	For a day and a half she laboured to show John Dene that she was offended; but apparently he was oblivious, not only of having offended her, but of the fact that she was endeavouring to convey to him the change that had come about in their relations.	For a day and a half she laboured to show john Dene that she was offended; but apparently he was oblivious, not only of having offended her, but of the fact that she was endeavouring to convey to him the change that had come about in their relations.	false	1879.7	1896.37	20
7128_84121_000134_000000	On the Monday evening he did not return to sign his letters until nearly six.	On the Monday evening he did not return to sign his letters until nearly six.	true	1897.52	1902.82	16
7128_84121_000134_000001	By that time Dorothy was almost desperate in her desire to show this obtuse man that she was annoyed with him.	By that time Dorothy was almost desperate in her desire to show this obtuse man that she was annoyed with him.	true	1902.98	1911.4	19
7128_84121_000134_000002	She felt at the point of tears when he bade her good night and left the office, just as Big Ben was booming out the hour.	She felt at the point of tears when he bade her good night and left the office, just as Big Ben was booming out the hour.	true	1911.89	1919.77	20
7128_84121_000135_000000	She would go home and forget all about the stupid creature, Dorothy decided, as she hastily put on her coat and dug the hat-pins through her hat.	She would go home and forget all about the stupid creature, Dorothy decided, as she hastily put on her coat and dug the hat pins through her hat.	false	1921.25	1932.93	20.346247
7128_84121_000135_000001	On reaching the street she saw John Dene standing at the corner of Charles Street.	On reaching the street she saw john Dene standing at the corner of Charles Street.	true	1932.93	1938.07	18
7128_84121_000135_000002	For a moment she thrilled.	For a moment she thrilled.	true	1938.41	1940.26	23.342274
7128_84121_000135_000003	Was he waiting for her?	Was he waiting for her?	false	1940.39	1942.5	20.312654
7128_84121_000135_000004	No, he was looking in the opposite direction, apparently deep in thought.	No, he was looking in the opposite direction, apparently deep in thought.	true	1942.5	1947.58	21.091534
7128_84121_000135_000005	She saw a taxi draw up beside him.	She saw a taxi draw up beside him.	true	1948.28	1951.09	22.041834
7128_84121_000135_000006	The driver, a little man with a grey moustache, Dorothy remembered to have seen him several times "crawling" about on the look-out for fares.	The driver, a little man with a grey moustache, Dorothy remembered to have seen him several times "crawling" about on the look out for fares.	true	1951.7	1962.43	20.519228
7128_84121_000135_000007	The taxi stopped and the man bent towards John Dene.	The taxi stopped and the man bent towards john Dene.	false	1963.58	1967.26	19
7128_84121_000135_000008	Dorothy stood and watched.	Dorothy stood and watched.	true	1967.81	1969.72	21.22642
7128_84121_000135_000009	John Dene was right in her line of route to the Piccadilly Tube, and she did not wish him to see her.	john Dene was right in her line of route to the Piccadilly Tube, and she did not wish him to see her.	true	1969.79	1976.53	18
7128_84121_000136_000000	For a moment John Dene seemed to hesitate, then with a word to the driver he opened the door and got in.	For a moment john Dene seemed to hesitate, then with a word to the driver he opened the door and got in.	true	1978.25	1984.99	21
7128_84121_000136_000001	Suddenly Dorothy remembered Colonel Walton's warning.	Suddenly Dorothy remembered Colonel Walton's warning.	true	1985.54	1989.88	19.16831
7128_84121_000136_000002	Impulsively she started forward, just as the taxi started and a moment later whizzed swiftly past her.	Impulsively she started forward, just as the taxi started and a moment later whizzed swiftly past her.	true	1990.37	1997.98	20
7128_84121_000136_000003	John Dene was evidently in a hurry.	john Dene was evidently in a hurry.	true	1998.74	2001.19	20
7128_84121_000136_000004	At that moment her attention was distracted by shouts and a smash.	At that moment her attention was distracted by shouts and a smash.	true	2001.77	2006.47	18
7128_84121_000136_000005	A small run-about car had suddenly dashed across Regent Street from the west side of Charles Street and crashed into the forepart of another taxi.	A small run about car had suddenly dashed across Regent Street from the west side of Charles Street and crashed into the forepart of another taxi.	false	2007.32	2018.08	20.757845
7128_84121_000136_000006	A crowd gathered, a policeman arrived, and she had a vision of an angry taxi-driver, another man pointing to the roadway, as if the blame lay there, whilst the passenger from the taxi was running towards the Florence Nightingale statue shouting and waving his arms at the vehicles passing along Pall Mall.	A crowd gathered, a policeman arrived, and she had a vision of an angry taxi driver, another man pointing to the roadway, as if the blame lay there, whilst the passenger from the taxi was running towards the Florence Nightingale statue shouting and waving his arms at the vehicles passing along Pall Mall.	false	2018.42	2041.15	21.502207
7128_84121_000137_000000	Slowly Dorothy turned and pursued her way up Regent Street.	Slowly Dorothy turned and pursued her way up Regent Street.	true	2041.43	2046.07	21.54046
7128_84121_000137_000001	She was tired and--and, oh!	She was tired and-and, oh!	false	2046.14	2048.31	25.123358
7128_84121_000137_000002	it was so stupid, going on living.	it was so stupid, going on living.	true	2048.31	2051.05	13
7128_84121_000138_000000	That night as she was undressing she remembered the passenger from the second taxi.	That night as she was undressing she remembered the passenger from the second taxi.	true	2051.81	2056.99	16
7128_84121_000138_000001	Why had he been so interested in the taxi that was bearing John Dene away, and why had he tried to signal to other vehicles passing along Pall Mall?	Why had he been so interested in the taxi that was bearing john Dene away, and why had he tried to signal to other vehicles passing along Pall Mall?	false	2057.72	2067.58	17
7128_84121_000138_000002	He had seemed greatly excited. Above all, why had John Dene taken a taxi when he had been warned against it?	He had seemed greatly excited. Above all, why had john Dene taken a taxi when he had been warned against it?	false	2068.37	2084.91	20.91682
