2790_142824_000000_000000	_Time_.--About 1/2 hour.	underscore Time underscore.--About one half hour.	false	88.05	151.62	20.097538
2790_142824_000074_000001	_Average cost_, in full season, 1s.	underscore Average cost underscore, in full season, ones.	false	1161.78	1164.27	21.127716
2790_142824_000075_000000	_Sufficient_ for 4 or 5 persons.	underscore Sufficient underscore for four or five persons.	false	1164.27	1168.59	19.942251
2790_142824_000076_000000	_Seasonable_ in August, September, and October; green ones rather earlier.	underscore Seasonable underscore in August, September, and October; green ones rather earlier.	false	1168.59	1174.08	19.736395
2790_142824_000077_000000	_Note_.--Green apricots make very good tarts, but they should be boiled with a little sugar and water before they are covered with the crust.	underscore Note underscore.--Green apricots make very good tarts, but they should be boiled with a little sugar and water before they are covered with the crust.	false	1174.08	1182.55	20.730963
2790_142824_000078_000000	APRICOTS.--The apricot is indigenous to the plains of Armenia, but is now cultivated in almost every climate, temperate or tropical.	APRICOTS.--The apricot is indigenous to the plains of Armenia, but is now cultivated in almost every climate, temperate or tropical.	true	1183.94	1193.26	20.510687
2790_142824_000078_000001	There are several varieties.	There are several varieties.	true	1193.57	1195.27	21.886845
2790_142824_000078_000002	The skin of this fruit has a perfumed flavour, highly esteemed.	The skin of this fruit has a perfumed flavour, highly esteemed.	false	1195.67	1199.2	20.241362
2790_142824_000078_000003	A good apricot, when perfectly ripe, is an excellent fruit.	A good apricot, when perfectly ripe, is an excellent fruit.	true	1199.54	1203.31	22.371906
2790_142824_000078_000004	It has been somewhat condemned for its laxative qualities, but this has possibly arisen from the fruit having been eaten unripe, or in too great excess.	It has been somewhat condemned for its laxative qualities, but this has possibly arisen from the fruit having been eaten unripe, or in too great excess.	true	1203.65	1212.52	20.738464
2790_142824_000078_000005	Delicate persons should not eat the apricot uncooked, without a liberal allowance of powdered sugar.	Delicate persons should not eat the apricot uncooked, without a liberal allowance of powdered sugar.	true	1213.19	1219.03	22.104273
2790_142824_000078_000006	The apricot makes excellent jam and marmalade, and there are several foreign preparations of it which are considered great luxuries.	The apricot makes excellent jam and marmalade, and there are several foreign preparations of it which are considered great luxuries.	true	1219.52	1226.83	21.645575
2790_142824_000079_000000	BAKED OR BOILED ARROWROOT PUDDING.	BAKED o r BOILED ARROWROOT PUDDING.	false	1228.97	1231.99	20.121008
2790_142824_000080_000000	1240.	twelve forty.	true	1232.66	1233.73	18.39518
2790_142824_000080_000001	INGREDIENTS.--2 tablespoonfuls of arrowroot, 1-1/2 pint of milk, 1 oz. of butter, the rind of 1/2 lemon, 2 heaped tablespoonfuls of moist sugar, a little grated nutmeg.	INGREDIENTS.-minus two tablespoonfuls of arrowroot, one minus one half pint of milk, one ounce. of butter, the rind of one half lemon, two heaped tablespoonfuls of moist sugar, a little grated nutmeg.	false	1234.49	1249.5	19.531765
2790_142824_000081_000000	_Mode_.--Mix the arrowroot with as much cold milk as will make it into a smooth batter, moderately thick; put the remainder of the milk into a stewpan with the lemon-peel, and let it infuse for about 1/2 hour; when it boils, strain it gently to the batter, stirring it all the time to keep it smooth; then add the butter; beat this well in until thoroughly mixed, and sweeten with moist sugar.	underscore Mode underscore.--Mix the arrowroot with as much cold milk as will make it into a smooth batter, moderately thick; put the remainder of the milk into a stewpan with the lemon peel, and let it infuse for about one half hour; when it boils, strain it gently to the batter, stirring it all the time to keep it smooth; then add the butter; beat this well in until thoroughly mixed, and sweeten with moist sugar.	false	1249.5	1278.4	19.77929
2790_142824_000081_000001	Put the mixture into a pie-dish, round which has been placed a border of paste, grate a little nutmeg over the top, and bake the pudding from 1 to 1-1/4 hour, in a moderate oven, or boil it the same length of time in a well-buttered basin.	Put the mixture into a pie dish, round which has been placed a border of paste, grate a little nutmeg over the top, and bake the pudding from one to one minus one quarter hour, in a moderate oven, or boil it the same length of time in a well buttered basin.	false	1279.01	1295.86	21.401337
2790_142824_000081_000002	To enrich this pudding, stir to the other ingredients, just before it is put in the oven, 3 well-whisked eggs, and add a tablespoonful of brandy. For a nursery pudding, the addition of the latter ingredients will be found quite superfluous, as also the paste round the edge of the dish.	To enrich this pudding, stir to the other ingredients, just before it is put in the oven, three well whisked eggs, and add a tablespoonful of brandy. For a nursery pudding, the addition of the latter ingredients will be found quite superfluous, as also the paste round the edge of the dish.	false	1296.32	1316.7	20.553879
2790_142824_000082_000000	_Time_.--1 to 1-1/4 hour, baked or boiled.	underscore Time underscore.-minus one to one minus one quarter hour, baked or boiled.	false	1316.7	1321.71	20.134645
2790_142824_000082_000001	_Average cost_, 7d.	underscore Average cost underscore, seven d.	false	1321.71	1323.87	18.988483
2790_142824_000083_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	1323.87	1326.33	22.186329
2790_142824_000083_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1326.33	1328.31	22.091578
2790_142824_000084_000000	_ARROWROOT_.--In India, and in the colonies, by the process of rasping, they extract from a vegetable (_Maranta arundinacea_) a sediment nearly resembling tapioca.	underscore ARROWROOT underscore.--In India, and in the colonies, by the process of rasping, they extract from a vegetable (underscore Maranta arundinacea underscore) a sediment nearly resembling tapioca.	false	1328.31	1343.29	19.726755
2790_142824_000084_000001	The grated pulp is sifted into a quantity of water, from which it is afterwards strained and dried, and the sediment thus produced is called arrowroot. Its qualities closely resemble those of tapioca.	The grated pulp is sifted into a quantity of water, from which it is afterwards strained and dried, and the sediment thus produced is called arrowroot. Its qualities closely resemble those of tapioca.	true	1343.9	1356.82	19.694468
2790_142824_000085_000000	A BACHELOR'S PUDDING.	A BACHELOR'S PUDDING.	true	1359.65	1361.08	21.169739
2790_142824_000086_000000	1241.	twelve forty one.	true	1361.75	1362.97	19.295609
2790_142824_000086_000001	INGREDIENTS.--4 oz. of grated bread, 4 oz. of currants, 4 oz. of apples, 2 oz. of sugar, 3 eggs, a few drops of essence of lemon, a little grated nutmeg.	INGREDIENTS.-minus four ounces. of grated bread, four ounces. of currants, four ounces. of apples, two ounces. of sugar, three eggs, a few drops of essence of lemon, a little grated nutmeg.	false	1363.19	1376.94	20.4673
2790_142824_000087_000000	_Mode_.--Pare, core, and mince the apples very finely, sufficient, when minced, to make 4 oz.; add to these the currants, which should be well washed, the grated bread, and sugar; whisk the eggs, beat these up with the remaining ingredients, and, when all is thoroughly mixed, put the pudding into a buttered basin, tie it down with a cloth, and boil for 3 hours.	underscore Mode underscore.--Pare, core, and mince the apples very finely, sufficient, when minced, to make four ounces.; add to these the currants, which should be well washed, the grated bread, and sugar; whisk the eggs, beat these up with the remaining ingredients, and, when all is thoroughly mixed, put the pudding into a buttered basin, tie it down with a cloth, and boil for three hours.	false	1376.94	1401	21.306501
2790_142824_000088_000000	_Time_.--3 hours.	underscore Time underscore.-minus three hours.	false	1401	1404.21	15.843129
2790_142824_000088_000001	_Average cost_, 9d.	underscore Average cost underscore, nine d.	false	1404.21	1406.46	17.178143
2790_142824_000089_000000	_Sufficient_ for 4 or 5 persons.	underscore Sufficient underscore for four or five persons.	false	1406.46	1409.07	19.382412
2790_142824_000089_000001	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	1409.07	1411.54	17.037678
2790_142824_000090_000000	BAKEWELL PUDDING.	BAKEWELL PUDDING.	true	1413.62	1414.74	23.517761
2790_142824_000091_000000	(_Very Rich_.)	(underscore Very Rich underscore.)	false	1414.74	1417.35	18.712639
2790_142824_000092_000000	I.	I.	false	1417.35	1418.31	-20
2790_142824_000093_000000	1242.	twelve forty two.	true	1418.31	1419.43	18.865358
2790_142824_000093_000001	INGREDIENTS.--1/4 lb. of puff-paste, 5 eggs, 6 oz. of sugar, 1/4 lb. of butter, 1 oz. of almonds, jam.	INGREDIENTS.-minus one quarter l b of puff paste, five eggs, six ounces. of sugar, one quarter l b of butter, one ounce. of almonds, jam.	false	1419.95	1429.62	20.35132
2790_142824_000094_000000	_Mode_.--Cover a dish with thin paste, and put over this a layer of any kind of jam, 1/2 inch thick; put the yolks of 5 eggs into a basin with the white of 1, and beat these well; add the sifted sugar, the butter, which should be melted, and the almonds, which should be well pounded; beat all together until well mixed, then pour it into the dish over the jam, and bake for an hour in a moderate oven.	underscore Mode underscore.--Cover a dish with thin paste, and put over this a layer of any kind of jam, one half inch thick; put the yolks of five eggs into a basin with the white of one, and beat these well; add the sifted sugar, the butter, which should be melted, and the almonds, which should be well pounded; beat all together until well mixed, then pour it into the dish over the jam, and bake for an hour in a moderate oven.	false	1429.62	1454.79	20.493616
2790_142824_000095_000000	_Time_.--1 hour.	underscore Time underscore.-minus one hour.	false	1454.79	1457.67	18.111277
2790_142824_000095_000001	_Average cost_, 1s. 6d.	underscore Average cost underscore, ones. six d.	false	1457.67	1460.61	17.98008
2790_142824_000096_000000	_Sufficient_ for 4 or 6 persons.	underscore Sufficient underscore for four or six persons.	false	1460.61	1463.49	20.097824
2790_142824_000096_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1463.49	1465.68	17.375055
2790_142824_000097_000000	II.	two.	false	1465.68	1468.5	14.902412
2790_142824_000098_000000	1243.	twelve forty three.	true	1468.5	1469.62	20.165743
2790_142824_000098_000001	INGREDIENTS.--3/4 pint of bread crumbs, 1 pint of milk, 4 eggs, 2 oz. of sugar, 3 oz. of butter, 1 oz. of pounded almonds, jam.	INGREDIENTS.-minus three quarters pint of bread crumbs, one pint of milk, four eggs, two ounces. of sugar, three ounces. of butter, one ounce. of pounded almonds, jam.	false	1469.99	1482.15	19.811676
2790_142824_000099_000000	_Mode_.--Put the bread crumbs at the bottom of a pie-dish, then over them a layer of jam of any kind that may be preferred; mix the milk and eggs together; add the sugar, butter, and pounded almonds; beat fill well together; pour it into the dish, and bake in a moderate oven for 1 hour.	underscore Mode underscore.--Put the bread crumbs at the bottom of a pie dish, then over them a layer of jam of any kind that may be preferred; mix the milk and eggs together; add the sugar, butter, and pounded almonds; beat fill well together; pour it into the dish, and bake in a moderate oven for one hour.	false	1482.15	1500.63	19.089104
2790_142824_000100_000000	_Time_.--1 hour.	underscore Time underscore.-minus one hour.	false	1500.63	1502.58	15.599346
2790_142824_000100_000001	_Average cost_. 1s. 3d. to 1s.	underscore Average cost underscore. ones. three d. to ones.	false	1502.58	1505.4	19
2790_142824_000100_000002	6d.	six d.	false	1505.4	1506.24	12
2790_142824_000101_000000	_Sufficient_ for 4 or 5 persons.	underscore Sufficient underscore for four or five persons.	false	1506.24	1508.73	19.966593
2790_142824_000101_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1508.73	1510.6	17.903229
2790_142824_000102_000000	BARONESS PUDDING.	BARONESS PUDDING.	true	1511.6	1512.78	22.66225
2790_142824_000103_000000	(_Author's Recipe_.)	(underscore Author's Recipe underscore.)	false	1512.78	1515.18	19.402048
2790_142824_000104_000000	1244.	twelve forty four.	true	1515.18	1516.45	21.311018
2790_142824_000104_000001	INGREDIENTS.--3/4 lb. of suet, 3/4 lb. of raisins weighed after being stoned, 3/4 lb. of flour, 1/2 pint of milk, 1/4 saltspoonful of salt.	INGREDIENTS.-minus three quarters l b of suet, three quarters l b of raisins weighed after being stoned, three quarters l b of flour, one half pint of milk, one quarter saltspoonful of salt.	false	1516.76	1530.57	20.192919
2790_142824_000105_000000	_Mode_.--Prepare the suet, by carefully freeing it from skin, and chop it finely; stone the raisins, and cut them in halves, and mix both these ingredients with the salt and flour; moisten the whole with the above proportion of milk, stir the mixture well, and tie the pudding in a floured cloth, which has been previously wrung out in boiling water.	underscore Mode underscore.--Prepare the suet, by carefully freeing it from skin, and chop it finely; stone the raisins, and cut them in halves, and mix both these ingredients with the salt and flour; moisten the whole with the above proportion of milk, stir the mixture well, and tie the pudding in a floured cloth, which has been previously wrung out in boiling water.	false	1530.57	1554.94	21.071436
2790_142824_000105_000001	Put the pudding into a saucepan of boiling water, and let it boil, without ceasing, 4-1/2 hours.	Put the pudding into a saucepan of boiling water, and let it boil, without ceasing, four to half a hour.	false	1555.55	1562.64	21.453663
2790_142824_000105_000002	Serve merely with plain sifted sugar, a little of which may be sprinkled over the pudding.	Serve merely with plain sifted sugar, a little of which may be sprinkled over the pudding.	true	1562.64	1567.38	21.150698
2790_142824_000106_000000	_Time_.--4-1/2 hours.	underscore Time underscore.-minus four to half a hour.	false	1567.38	1569.96	17.207235
2790_142824_000106_000001	_Average cost_, 1s. 4d.	underscore Average cost underscore, ones. four d.	false	1569.96	1573.29	21.382273
2790_142824_000107_000000	_Sufficient_ for 7 or 8 persons.	underscore Sufficient underscore for seven or eight persons.	false	1573.29	1575.87	20.271019
2790_142824_000108_000000	_Seasonable_ in winter, when fresh fruit is not obtainable.	underscore Seasonable underscore in winter, when fresh fruit is not obtainable.	false	1575.87	1580.01	20.460367
2790_142824_000109_000000	_Note_.--This pudding the editress cannot too highly recommend.	underscore Note underscore.--This pudding the editress cannot too highly recommend.	false	1580.01	1586.32	19.607391
2790_142824_000109_000001	The recipe was kindly given to her family by a lady who bore the title here prefixed to it; and with all who have partaken of it, it is an especial favourite.	The recipe was kindly given to her family by a lady who bore the title here prefixed to it; and with all who have partaken of it, it is an especial favourite.	true	1586.63	1596.46	22.306911
2790_142824_000109_000002	Nothing is of greater consequence, in the above directions, than attention to the time of boiling, which should never be _less_ than that mentioned.	Nothing is of greater consequence, in the above directions, than attention to the time of boiling, which should never be underscore less underscore than that mentioned.	false	1596.77	1605.19	21.077847
2790_142824_000110_000000	BARBERRY TART.	BARBERRY TART.	true	1607	1608.19	18.24843
2790_142824_000111_000000	1245.	twelve forty five.	true	1608.86	1610.23	19.981441
2790_142824_000111_000001	INGREDIENTS.--To every lb. of barberries allow 3/4 lb. of lump sugar; paste.	INGREDIENTS.--To every l b of barberries allow three quarters l b of lump sugar; paste.	false	1610.63	1617.84	20.387838
2790_142824_000112_000000	[Illustration: LEAF IN PUFF-PASTE.]	[Illustration: LEAF IN PUFF PASTE.]	false	1617.84	1619.07	-1
2790_142824_000113_000000	_Mode_.--Pick the barberries from the stalks, and put the fruit into a stone jar; place this jar in boiling water, and let it simmer very slowly until the fruit is soft; then put it into a preserving-pan with the sugar, and boil gently for 15 minutes; line a tartlet-pan with paste, bake it, and, when the paste is cold, fill with the barberries, and ornament the tart with a few baked leaves of paste, cut out, as shown in the engraving.	underscore Mode underscore.--Pick the barberries from the stalks, and put the fruit into a stone jar; place this jar in boiling water, and let it simmer very slowly until the fruit is soft; then put it into a preserving pan with the sugar, and boil gently for fifteen minutes; line a tartlet pan with paste, bake it, and, when the paste is cold, fill with the barberries, and ornament the tart with a few baked leaves of paste, cut out, as shown in the engraving.	false	1619.07	1648.71	21.0953
2790_142824_000114_000000	_Time_.--1/4 hour to bake the tart.	underscore Time underscore.-minus one quarter hour to bake the tart.	false	1648.71	1652.82	19.17378
2790_142824_000115_000000	_Average cost_, 4d. per pint.	underscore Average cost underscore, four d. per pint.	false	1652.82	1656.72	21.88407
2790_142824_000116_000000	_Seasonable_ in autumn.	underscore Seasonable underscore in autumn.	false	1656.72	1658.49	18.325634
2790_142824_000117_000000	[Illustration: BARBERRY.]	[Illustration: BARBERRY.]	false	1658.49	1661.55	-3
2790_142824_000118_000000	BARBERRIES (_Berberris vulgaris_.)--A fruit of such great acidity, that even birds refuse to eat it.	BARBERRIES (underscore Berberris vulgaris underscore.)--A fruit of such great acidity, that even birds refuse to eat it.	false	1661.55	1668.37	20.877758
2790_142824_000118_000001	In this respect, it nearly approaches the tamarind.	In this respect, it nearly approaches the tamarind.	true	1668.53	1671.82	20.753149
2790_142824_000118_000002	When boiled with sugar, it makes a very agreeable preserve or jelly, according to the different modes of preparing it.	When boiled with sugar, it makes a very agreeable preserve or jelly, according to the different modes of preparing it.	true	1672.4	1678.9	20.522724
2790_142824_000118_000003	Barberries are also used as a dry sweetmeat, and in sugarplums or comfits; are pickled with vinegar, and are used for various culinary purposes.	Barberries are also used as a dry sweetmeat, and in sugarplums or comfits; are pickled with vinegar, and are used for various culinary purposes.	true	1679.33	1689.19	21.412195
2790_142824_000118_000004	They are well calculated to allay heat and thirst in persons afflicted with fevers.	They are well calculated to allay heat and thirst in persons afflicted with fevers.	false	1689.53	1704.42	19.888073
2790_142824_000118_000005	The berries, arranged on bunches of nice curled parsley, make an exceedingly pretty garnish for supper-dishes, particularly for white meats, like boiled fowl a la Bechamel, the three colours, scarlet, green, and white, contrasting so well, and producing a very good effect.	The berries, arranged on bunches of nice curled parsley, make an exceedingly pretty garnish for supper dishes, particularly for white meats, like boiled fowl a la Bechamel, the three colours, scarlet, green, and white, contrasting so well, and producing a very good effect.	true	1704.42	1721.17	20.82846
2790_142824_000119_000000	BAKED BATTER PUDDING.	BAKED BATTER PUDDING.	true	1722.71	1724.2	22.866177
2790_142824_000120_000000	1246.	twelve forty six.	true	1724.42	1725.73	23.043562
2790_142824_000120_000001	INGREDIENTS.--1-1/4 pint of milk, 4 tablespoonfuls of flour, 2 oz. of butter, 4 eggs, a little salt.	INGREDIENTS.-minus one minus one quarter pint of milk, four tablespoonfuls of flour, two ounces. of butter, four eggs, a little salt.	false	1726.19	1735.53	20.644527
2790_142824_000121_000000	_Mode_.--Mix the flour with a small quantity of cold milk; make the remainder hot, and pour it on to the flour, keeping the mixture well stirred; add the butter, eggs, and salt; beat the whole well, and put the pudding into a buttered pie-dish; bake for 3/4 hour, and serve with sweet sauce, wine sauce, or stewed fruit.	underscore Mode underscore.--Mix the flour with a small quantity of cold milk; make the remainder hot, and pour it on to the flour, keeping the mixture well stirred; add the butter, eggs, and salt; beat the whole well, and put the pudding into a buttered pie dish; bake for three quarters hour, and serve with sweet sauce, wine sauce, or stewed fruit.	false	1735.53	1759.06	20.228045
2790_142824_000121_000001	Baked in small cups, this makes very pretty little puddings, and should be eaten with the same accompaniments as above.	Baked in small cups, this makes very pretty little puddings, and should be eaten with the same accompaniments as above.	true	1759.82	1766.46	22.071527
2790_142824_000122_000000	_Time_.--3/4 hour.	underscore Time underscore.-minus three quarters hour.	false	1766.46	1769.73	16.942766
2790_142824_000122_000001	_Average cost_, 9d.	underscore Average cost underscore, nine d.	false	1769.73	1771.59	20.70326
2790_142824_000123_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	1771.59	1774.14	20.40027
2790_142824_000123_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1774.14	1776.43	21.511465
2790_142824_000124_000000	BAKED BATTER PUDDING, with Dried or Fresh Fruit.	BAKED BATTER PUDDING, with Dried or Fresh Fruit.	true	1778.42	1781.26	20.942816
2790_142824_000125_000000	1247.	twelve forty seven.	true	1781.57	1782.94	19.390726
2790_142824_000125_000001	INGREDIENTS.--1-1/4 pint of milk, 4 tablespoonfuls of flour, 3 eggs, 2 oz. of finely-shredded suet, 1/4 lb. of currants, a pinch of salt.	INGREDIENTS.-minus one minus one quarter pint of milk, four tablespoonfuls of flour, three eggs, two ounces. of finely shredded suet, one quarter l b of currants, a pinch of salt.	false	1783.58	1796.16	20.666235
2790_142824_000126_000000	_Mode_.--Mix the milk, flour, and eggs to a smooth batter; add a little salt, the suet, and the currants, which should be well washed, picked, and dried; put the mixture into a buttered pie-dish, and bake in a moderate oven for 1-1/4 hour.	underscore Mode underscore.--Mix the milk, flour, and eggs to a smooth batter; add a little salt, the suet, and the currants, which should be well washed, picked, and dried; put the mixture into a buttered pie dish, and bake in a moderate oven for one minus one quarter hour.	false	1796.16	1812.46	20.934208
2790_142824_000126_000001	When fresh fruits are in season, this pudding is exceedingly nice, with damsons, plums, red currants, gooseberries, or apples; when made with these, the pudding must be thickly sprinkled over with sifted sugar.	When fresh fruits are in season, this pudding is exceedingly nice, with damsons, plums, red currants, gooseberries, or apples; when made with these, the pudding must be thickly sprinkled over with sifted sugar.	false	1813.4	1826.11	21.6633
2790_142824_000126_000002	Boiled batter pudding, with fruit, is made in the same manner, by putting the fruit into a buttered basin, and filling it up with batter made in the above proportion, but omitting the suet.	Boiled batter pudding, with fruit, is made in the same manner, by putting the fruit into a buttered basin, and filling it up with batter made in the above proportion, but omitting the suet.	false	1827.05	1840.45	20.530886
2790_142824_000126_000003	It must be sent quickly to table, and covered plentifully with sifted sugar.	It must be sent quickly to table, and covered plentifully with sifted sugar.	true	1840.61	1845.27	22.187578
2790_142824_000127_000000	_Time_.--Baked batter pudding, with fruit, 1-1/4 to 1-1/2 hour; boiled ditto, 1-1/2 to 1-3/4 hour, allowing that both are made with the above proportion of batter.	underscore Time underscore.--Baked batter pudding, with fruit, one minus one quarter to one minus one half hour; boiled ditto, one minus one half to one minus three quarters hour, allowing that both are made with the above proportion of batter.	false	1845.27	1858.96	20.84962
2790_142824_000127_000001	Smaller puddings will be done enough in 3/4 or 1 hour.	Smaller puddings will be done enough in three quarters or one hour.	false	1859.12	1862.67	21
2790_142824_000128_000000	_Average cost_, 10d.	underscore Average cost underscore, ten d.	false	1862.67	1865.55	19.54471
2790_142824_000129_000000	_Sufficient_ for 7 or 8 persons.	underscore Sufficient underscore for seven or eight persons.	false	1865.55	1868.1	19.53981
2790_142824_000130_000000	_Seasonable_ at any time, with dried fruits.	underscore Seasonable underscore at any time, with dried fruits.	false	1868.1	1871.44	20.955778
2790_142824_000131_000000	BOILED BATTER PUDDING.	BOILED BATTER PUDDING.	true	1873.85	1875.36	20.496916
2790_142824_000132_000000	1248.	twelve forty eight.	true	1875.36	1876.63	20.553312
2790_142824_000132_000001	INGREDIENTS.--3 eggs, 1 oz. of butter, 1 pint of milk, 3 tablespoonfuls of flour, a little salt.	INGREDIENTS.-minus three eggs, one ounce. of butter, one pint of milk, three tablespoonfuls of flour, a little salt.	false	1876.88	1885.59	21.14498
2790_142824_000133_000000	_Mode_.--Put the flour into a basin, and add sufficient milk to moisten it; carefully rub down all the lumps with a spoon, then pour in the remainder of the milk, and stir in the butter, which should be previously melted; keep beating the mixture, add the eggs and a pinch of salt, and when the batter is quite smooth, put it into a well-buttered basin, tie it down very tightly, and put it into boiling water; move the basin about for a few minutes after it is put into the water, to prevent the flour settling in any part, and boil for 1-1/4 hour.	underscore Mode underscore.--Put the flour into a basin, and add sufficient milk to moisten it; carefully rub down all the lumps with a spoon, then pour in the remainder of the milk, and stir in the butter, which should be previously melted; keep beating the mixture, add the eggs and a pinch of salt, and when the batter is quite smooth, put it into a well buttered basin, tie it down very tightly, and put it into boiling water; move the basin about for a few minutes after it is put into the water, to prevent the flour settling in any part, and boil for one minus one quarter hour.	false	1885.59	1920.82	21.315649
2790_142824_000133_000001	This pudding may also be boiled in a floured cloth that has been wetted in hot water; it will then take a few minutes less than when boiled in a basin.	This pudding may also be boiled in a floured cloth that has been wetted in hot water; it will then take a few minutes less than when boiled in a basin.	true	1921.64	1929.67	21.806103
2790_142824_000133_000002	Send these puddings very quickly to table, and serve with sweet sauce, wine sauce, stewed fruit, or jam of any kind: when the latter is used, a little of it may be placed round the dish in small quantities, as a garnish.	Send these puddings very quickly to table, and serve with sweet sauce, wine sauce, stewed fruit, or jam of any kind: when the latter is used, a little of it may be placed round the dish in small quantities, as a garnish.	false	1930.13	1943.7	20.834833
2790_142824_000134_000000	_Time_.--1-1/4 hour in a basin, 1 hour in a cloth.	underscore Time underscore.-minus one minus one quarter hour in a basin, one hour in a cloth.	false	1943.7	1949.61	19.975534
2790_142824_000134_000001	_Average cost_, 7d.	underscore Average cost underscore, seven d.	false	1949.61	1951.74	20.518572
2790_142824_000135_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	1951.74	1954.35	19.985527
2790_142824_000135_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	1954.35	1957.54	18.430588
2790_142824_000136_000000	ORANGE BATTER PUDDING.	ORANGE BATTER PUDDING.	true	1958.24	1959.73	22.11738
2790_142824_000137_000000	1249.	twelve forty nine.	true	1960.01	1961.2	19.52275
2790_142824_000137_000001	INGREDIENTS.--4 eggs, 1 pint of milk, 1-1/4 oz. of loaf sugar, 3 tablespoonfuls of flour.	INGREDIENTS.-minus four eggs, one pint of milk, one to one quarter of an ounce. of loaf sugar, three tablespoonfuls of flour.	false	1961.63	1970.1	20.402199
2790_142824_000138_000000	_Mode_.--Make the batter with the above ingredients, put it into a well-buttered basin, tie it down with a cloth, and boil for 1 hour.	underscore Mode underscore.--Make the batter with the above ingredients, put it into a well buttered basin, tie it down with a cloth, and boil for one hour.	false	1970.1	1979.53	21.035925
2790_142824_000138_000001	As soon as it is turned out of the basin, put a small jar of orange marmalade all over the top, and send the pudding very quickly to table.	As soon as it is turned out of the basin, put a small jar of orange marmalade all over the top, and send the pudding very quickly to table.	true	1979.84	1987.89	21.466665
2790_142824_000139_000000	_Time_.--1 hour.	underscore Time underscore.-minus one hour.	false	1987.89	1990.5	15.7403145
2790_142824_000139_000001	_Average cost_, with the marmalade, 1s. 3d.	underscore Average cost underscore, with the marmalade, ones. three d.	false	1990.5	1994.19	22.169468
2790_142824_000140_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	1994.19	1996.68	19.515188
2790_142824_000141_000000	_Seasonable_ at any time; but more suitable for a winter pudding.	underscore Seasonable underscore at any time; but more suitable for a winter pudding.	false	1996.68	2001.49	18.608036
2790_142824_000142_000000	BAKED BREAD PUDDING.	BAKED BREAD PUDDING.	true	2003.42	2004.85	21.77632
2790_142824_000143_000000	1250.	twelve fifty.	true	2004.98	2006.14	20.472458
2790_142824_000143_000001	INGREDIENTS.--1/2 lb. of grated bread, 1 pint of milk, 4 eggs, 4 oz. of butter, 4 oz. of moist sugar, 2 oz. of candied peel, 6 bitter almonds, 1 tablespoonful of brandy.	INGREDIENTS.-minus one half l b of grated bread, one pint of milk, four eggs, four ounces. of butter, four ounces. of moist sugar, two ounces. of candied peel, six bitter almonds, one tablespoonful of brandy.	false	2006.78	2022.51	20.554462
2790_142824_000144_000000	_Mode_.--Put the milk into a stewpan, with the bitter almonds; let it infuse for 1/4 hour; bring it to the boiling point; strain it on to the bread crumbs, and let these remain till cold; then add the eggs, which should be well whisked, the butter, sugar, and brandy, and beat the pudding well until all the ingredients are thoroughly mixed; line the bottom of a pie-dish with the candied peel sliced thin, put in the mixture, and bake for nearly 3/4 hour.	underscore Mode underscore.--Put the milk into a stewpan, with the bitter almonds; let it infuse for one quarter hour; bring it to the boiling point; strain it on to the bread crumbs, and let these remain till cold; then add the eggs, which should be well whisked, the butter, sugar, and brandy, and beat the pudding well until all the ingredients are thoroughly mixed; line the bottom of a pie dish with the candied peel sliced thin, put in the mixture, and bake for nearly three quarters hour.	false	2022.51	2053.29	20.892433
2790_142824_000145_000000	_Time_.--Nearly 3/4 hour.	underscore Time underscore.--Nearly three quarters hour.	false	2053.29	2056.56	21.452501
2790_142824_000145_000001	_Average cost_, 1s. 4d.	underscore Average cost underscore, ones. four d.	false	2056.56	2059.5	21.087374
2790_142824_000146_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	2059.5	2061.96	20.310106
2790_142824_000147_000000	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	2061.96	2064.09	20.027685
2790_142824_000148_000000	_Note_.--A few currants may be substituted for the candied peel, and will be found an excellent addition to this pudding: they should be beaten in with the mixture, and not laid at the bottom of the pie-dish.	underscore Note underscore.--A few currants may be substituted for the candied peel, and will be found an excellent addition to this pudding: they should be beaten in with the mixture, and not laid at the bottom of the pie dish.	false	2064.09	2077.72	20.472042
2790_142824_000149_000000	VERY PLAIN BREAD PUDDING.	VERY PLAIN BREAD PUDDING.	true	2079.08	2080.87	24.015154
2790_142824_000150_000000	1251.	twelve fifty one.	true	2081.27	2082.55	24.588696
