6233_36633_000000_000000	The Florida	The Florida	false	3.03	10.35	21.040453
6233_36633_000055_000001	The natives, adopting a system of denial and evasion, refused to guide them to the site of the casualty. This rather shady conduct aroused the suspicion that the natives had mistreated the castaways; and in truth, the natives seemed afraid that Dumont d'Urville had come to avenge the Count de La Pérouse and his unfortunate companions.	The natives, adopting a system of denial and evasion, refused to guide them to the site of the casualty. This rather shady conduct aroused the suspicion that the natives had mistreated the castaways; and in truth, the natives seemed afraid that Dumont d'Urville had come to avenge the Count de La Pérouse and his unfortunate companions.	true	1065.74	1084.66	19
6233_36633_000056_000000	But on the 26th, appeased with gifts and seeing that they didn't need to fear any reprisals, the natives led the chief officer, Mr. Jacquinot, to the site of the shipwreck.	But on the twenty sixth, appeased with gifts and seeing that they didn't need to fear any reprisals, the natives led the chief officer, mr Jacquinot, to the site of the shipwreck.	true	1084.7	1094.65	19
6233_36633_000057_000000	At this location, in three or four fathoms of water between the Paeu and Vana reefs, there lay some anchors, cannons, and ingots of iron and lead, all caked with limestone concretions.	At this location, in three or four fathoms of water between the p a e u and Vana reefs, there lay some anchors, cannons, and ingots of iron and lead, all caked with limestone concretions.	false	1094.65	1106.32	18
6233_36633_000057_000001	A launch and whaleboat from the new Astrolabe were steered to this locality, and after going to exhausting lengths, their crews managed to dredge up an anchor weighing 1,800 pounds, a cast-iron eight-pounder cannon, a lead ingot, and two copper swivel guns.	A launch and whaleboat from the new Astrolabe were steered to this locality, and after going to exhausting lengths, their crews managed to dredge up an anchor weighing one thousand eight hundred pounds, a cast iron eight pounder cannon, a lead ingot, and two copper swivel guns.	false	1106.63	1122.55	18
6233_36633_000058_000000	Questioning the natives, Captain Dumont d'Urville also learned that after La Pérouse's two ships had miscarried on the island's reefs, the count had built a smaller craft, only to go off and miscarry a second time.	Questioning the natives, Captain Dumont d'Urville also learned that after La Pérouse's two ships had miscarried on the island's reefs, the count had built a smaller craft, only to go off and miscarry a second time.	false	1122.89	1135.18	20
6233_36633_000058_000001	Where?	Where?	true	1135.19	1135.87	30.802
6233_36633_000058_000002	Nobody knew.	Nobody knew.	true	1136.21	1137.25	29.131304
6233_36633_000059_000000	The commander of the new Astrolabe then had a monument erected under a tuft of mangrove, in memory of the famous navigator and his companions. It was a simple quadrangular pyramid, set on a coral base, with no ironwork to tempt the natives' avarice.	The commander of the new Astrolabe then had a monument erected under a tuft of mangrove, in memory of the famous navigator and his companions. It was a simple quadrangular pyramid, set on a coral base, with no ironwork to tempt the natives' avarice.	false	1137.86	1152.76	15
6233_36633_000060_000000	Then Dumont d'Urville tried to depart; but his crews were run down from the fevers raging on these unsanitary shores, and quite ill himself, he was unable to weigh anchor until March 17.	Then Dumont d'Urville tried to depart; but his crews were run down from the fevers raging on these unsanitary shores, and quite ill himself, he was unable to weigh anchor until march seventeenth.	false	1153.58	1165.08	19.87944
6233_36633_000061_000000	Meanwhile, fearing that Dumont d'Urville wasn't abreast of Dillon's activities, the French government sent a sloop of war to Vanikoro, the Bayonnaise under Commander Legoarant de Tromelin, who had been stationed on the American west coast.	Meanwhile, fearing that Dumont d'Urville wasn't abreast of Dillon's activities, the French government sent a sloop of war to Vanikoro, the Bayonnaise under Commander Legoarant de Tromelin, who had been stationed on the American west coast.	false	1165.08	1178.08	16
6233_36633_000061_000001	Dropping anchor before Vanikoro a few months after the new Astrolabe's departure, the Bayonnaise didn't find any additional evidence but verified that the savages hadn't disturbed the memorial honoring the Count de La Pérouse.	Dropping anchor before Vanikoro a few months after the new Astrolabe's departure, the Bayonnaise didn't find any additional evidence but verified that the savages hadn't disturbed the memorial honoring the Count de La Pérouse.	false	1178.24	1191.81	20
6233_36633_000062_000000	This is the substance of the account I gave Captain Nemo.	This is the substance of the account I gave Captain Nemo.	true	1191.81	1194.97	21
6233_36633_000063_000000	"So," he said to me, "the castaways built a third ship on Vanikoro Island, and to this day, nobody knows where it went and perished?"	"So," he said to me, "the castaways built a third ship on Vanikoro Island, and to this day, nobody knows where it went and perished?"	true	1196	1206.34	20.300491
6233_36633_000064_000000	"Nobody knows."	"Nobody knows."	true	1207.13	1208.26	24.068623
6233_36633_000065_000000	Captain Nemo didn't reply but signaled me to follow him to the main lounge.	Captain Nemo didn't reply but signaled me to follow him to the main lounge.	true	1209.47	1213.66	17
6233_36633_000065_000001	The Nautilus sank a few meters beneath the waves, and the panels opened.	The Nautilus sank a few meters beneath the waves, and the panels opened.	true	1213.91	1218.25	26.256702
6233_36633_000066_000000	I rushed to the window and saw crusts of coral: fungus coral, siphonula coral, alcyon coral, sea anemone from the genus Caryophylia, plus myriads of charming fish including greenfish, damselfish, sweepers, snappers, and squirrelfish; underneath this coral covering I detected some rubble the old dredges hadn't been able to tear free-- iron stirrups, anchors, cannons, shells, tackle from a capstan, a stempost, all objects hailing from the wrecked ships and now carpeted in moving flowers.	I rushed to the window and saw crusts of coral: fungus coral, siphonula coral, alcyon coral, sea anemone from the genus Caryophylia, plus myriads of charming fish including greenfish, damselfish, sweepers, snappers, and squirrelfish; underneath this coral covering I detected some rubble the old dredges hadn't been able to tear free- iron stirrups, anchors, cannons, shells, tackle from a capstan, a stempost, all objects hailing from the wrecked ships and now carpeted in moving flowers.	false	1218.32	1250.41	17
6233_36633_000067_000000	And as I stared at this desolate wreckage, Captain Nemo told me in a solemn voice:	And as I stared at this desolate wreckage, Captain Nemo told me in a solemn voice:	true	1251.59	1257.01	23.195377
6233_36633_000068_000000	"Commander La Pérouse set out on December 7, 1785, with his ships, the Compass and the Astrolabe.	"Commander La Pérouse set out on december seventh seventeen eighty five, with his ships, the Compass and the Astrolabe.	false	1257.35	1265.17	16
6233_36633_000068_000001	He dropped anchor first at Botany Bay, visited the Tonga Islands and New Caledonia, headed toward the Santa Cruz Islands, and put in at Nomuka, one of the islands in the Ha'apai group.	He dropped anchor first at Botany Bay, visited the Tonga Islands and New Caledonia, headed toward the Santa Cruz Islands, and put in at Nomuka, one of the islands in the Ha'apai group.	true	1265.17	1276.81	19
6233_36633_000068_000002	Then his ships arrived at the unknown reefs of Vanikoro.	Then his ships arrived at the unknown reefs of Vanikoro.	true	1276.91	1280.36	16
6233_36633_000068_000003	Traveling in the lead, the Compass ran afoul of breakers on the southerly coast.	Traveling in the lead, the Compass ran afoul of breakers on the southerly coast.	true	1280.36	1284.85	12
6233_36633_000068_000004	The Astrolabe went to its rescue and also ran aground.	The Astrolabe went to its rescue and also ran aground.	true	1284.92	1288.06	14
6233_36633_000068_000005	The first ship was destroyed almost immediately. The second, stranded to leeward, held up for some days. The natives gave the castaways a fair enough welcome. The latter took up residence on the island and built a smaller craft with rubble from the two large ones.	The first ship was destroyed almost immediately. The second, stranded to leeward, held up for some days. The natives gave the castaways a fair enough welcome. The latter took up residence on the island and built a smaller craft with rubble from the two large ones.	true	1288.07	1303.84	16
6233_36633_000068_000006	A few seamen stayed voluntarily in Vanikoro.	A few seamen stayed voluntarily in Vanikoro.	true	1304	1306.8	10
6233_36633_000068_000007	The others, weak and ailing, set sail with the Count de La Pérouse.	The others, weak and ailing, set sail with the Count de La Pérouse.	false	1306.8	1311.39	24.03232
6233_36633_000068_000008	They headed to the Solomon Islands, and they perished with all hands on the westerly coast of the chief island in that group, between Cape Deception and Cape Satisfaction!"	They headed to the Solomon Islands, and they perished with all hands on the westerly coast of the chief island in that group, between Cape Deception and Cape Satisfaction!"	false	1311.39	1321.51	17
6233_36633_000069_000000	"And how do you know all this?" I exclaimed.	"And how do you know all this?" I exclaimed.	true	1322.51	1325.53	20.680462
6233_36633_000070_000000	"Here's what I found at the very site of that final shipwreck!"	"Here's what I found at the very site of that final shipwreck!"	true	1325.72	1330.3	23.03684
6233_36633_000071_000000	Captain Nemo showed me a tin box, stamped with the coat of arms of France and all corroded by salt water.	Captain Nemo showed me a tin box, stamped with the coat of arms of France and all corroded by salt water.	true	1330.4	1337.38	19
6233_36633_000071_000001	He opened it and I saw a bundle of papers, yellowed but still legible.	He opened it and I saw a bundle of papers, yellowed but still legible.	true	1337.75	1342.3	25.058466
6233_36633_000072_000000	They were the actual military orders given by France's Minister of the Navy to Commander La Pérouse, with notes along the margin in the handwriting of King Louis XVI!	They were the actual military orders given by France's Minister of the Navy to Commander La Pérouse, with notes along the margin in the handwriting of King Louis the sixteenth!	false	1342.82	1378.29	20.31413
