5293_82020_000000_000000	Karl soon found himself before the house in which his friend Hoellenrachen resided.	Karl soon found himself before the house in which his friend Hoellenrachen resided.	true	22.8	27.55	22.86426
5293_82020_000044_000000	In a closet in the room hung a number of costumes, which Lilith had at different times worn for her father.	In a closet in the room hung a number of costumes, which Lilith had at different times worn for her father.	true	963.17	969.22	23.955473
5293_82020_000044_000001	Among them was a large white drapery, which she easily disposed as a shroud.	Among them was a large white drapery, which she easily disposed as a shroud.	true	969.5	974.65	23.3006
5293_82020_000044_000002	With the help of some chalk, she soon made herself ghastly enough, and then placing her lamp on the floor behind the screen, and setting a chair over it, so that it should throw no light in any direction, she waited once more for the vampire.	With the help of some chalk, she soon made herself ghastly enough, and then placing her lamp on the floor behind the screen, and setting a chair over it, so that it should throw no light in any direction, she waited once more for the vampire.	true	975.02	988.18	23.609575
5293_82020_000044_000003	Nor had she much longer to wait.	Nor had she much longer to wait.	true	988.55	990.46	22.015436
5293_82020_000044_000004	She soon heard a door move, the sound of which she hardly knew, and then the studio door opened.	She soon heard a door move, the sound of which she hardly knew, and then the studio door opened.	true	990.59	996.55	20.916546
5293_82020_000044_000005	Her heart beat dreadfully, not with fear lest it should be a vampire after all, but with hope that it was Karl.	Her heart beat dreadfully, not with fear lest it should be a vampire after all, but with hope that it was Karl.	true	998.33	1004.68	22.265543
5293_82020_000044_000006	To see him once more was too great joy.	To see him once more was too great joy.	true	1005.44	1008.13	21.48594
5293_82020_000044_000007	Would she not make up to him for all her coldness!	Would she not make up to him for all her coldness!	true	1008.44	1010.83	20.925985
5293_82020_000044_000008	But would he care for her now?	But would he care for her now?	true	1011.56	1013.59	26.07638
5293_82020_000044_000009	Perhaps he had been quite cured of his longing for a hard heart like hers.	Perhaps he had been quite cured of his longing for a hard heart like hers.	true	1014.71	1018.72	22.459158
5293_82020_000044_000010	She peeped.	She peeped.	true	1018.94	1020.16	27.195137
5293_82020_000044_000011	It was he sure enough, looking as handsome as ever.	It was he sure enough, looking as handsome as ever.	true	1020.83	1024.21	21.590347
5293_82020_000044_000012	He was holding his light to look at her last work, and the expression of his face, even in regarding her handiwork, was enough to let her know that he loved her still.	He was holding his light to look at her last work, and the expression of his face, even in regarding her handiwork, was enough to let her know that he loved her still.	true	1024.31	1033.33	22.082022
5293_82020_000044_000013	If she had not seen this, she dared not have shown herself from her hiding-place.	If she had not seen this, she dared not have shown herself from her hiding place.	true	1033.82	1038.55	20.406727
5293_82020_000044_000014	Taking the lamp in her hand, she got upon the chair, and looked over the screen, letting the light shine from below upon her face.	Taking the lamp in her hand, she got upon the chair, and looked over the screen, letting the light shine from below upon her face.	false	1039.46	1046.08	24.369196
5293_82020_000044_000015	She then made a slight noise to attract Karl's attention.	She then made a slight noise to attract Karl's attention.	true	1046.39	1049.62	24.949577
5293_82020_000044_000016	He looked up, evidently rather startled, and saw the face of Lilith in the air: He gave a stifled cry threw himself on his knees with his arms stretched towards her, and moaned--	He looked up, evidently rather startled, and saw the face of Lilith in the air: He gave a stifled cry threw himself on his knees with his arms stretched towards her, and moaned-	true	1050.02	1061.26	22.509356
5293_82020_000045_000000	"I have killed her!	"I have killed her!	true	1061.63	1062.94	22.649996
5293_82020_000045_000001	I have killed her!"	I have killed her!"	true	1062.94	1064.32	22.798311
5293_82020_000046_000000	Lilith descended, and approached him noiselessly.	Lilith descended, and approached him noiselessly.	true	1065.5	1068.61	20.517921
5293_82020_000046_000001	He did not move.	He did not move.	true	1068.89	1070.32	25.233469
5293_82020_000046_000002	She came close to him and said--	She came close to him and said-	true	1070.72	1072.72	20.89334
5293_82020_000047_000000	"Are you Karl Wolkenlicht?"	"Are you Karl Wolkenlicht?"	true	1073.39	1075.18	23.733109
5293_82020_000048_000000	His lips moved, but no sound came.	His lips moved, but no sound came.	true	1076.48	1079.32	22.148956
5293_82020_000049_000000	"If you are a vampire, and I am a ghost," she said--but a low happy laugh alone concluded the sentence.	"If you are a vampire, and I am a ghost," she said-but a low happy laugh alone concluded the sentence.	true	1080.44	1088.71	19.619118
5293_82020_000050_000000	Karl sprang to his feet.	Karl sprang to his feet.	true	1089.14	1091.08	24.707624
5293_82020_000050_000001	Lilith's laugh changed into a burst of sobbing and weeping, and in another moment the ghost was in the arms of the vampire.	Lilith's laugh changed into a burst of sobbing and weeping, and in another moment the ghost was in the arms of the vampire.	true	1091.39	1099.09	20.761162
5293_82020_000051_000000	Lilith had no idea how far her father had wronged Karl, and though, from thinking over the past, he had no doubt that the painter had drugged him, he did not wish to pain her by imparting this conviction.	Lilith had no idea how far her father had wronged Karl, and though, from thinking over the past, he had no doubt that the painter had drugged him, he did not wish to pain her by imparting this conviction.	true	1100	1112.17	23.235353
5293_82020_000051_000001	But Lilith was afraid of a reaction of rage and hatred in her father after the terror was removed; and Karl saw that he might thus be deprived of all further intercourse with Lilith, and all chance of softening the old man's heart towards him; while Lilith would not hear of forsaking him who had banished all the human race but herself.	But Lilith was afraid of a reaction of rage and hatred in her father after the terror was removed; and Karl saw that he might thus be deprived of all further intercourse with Lilith, and all chance of softening the old man's heart towards him; while Lilith would not hear of forsaking him who had banished all the human race but herself.	true	1112.69	1133.71	21.52298
5293_82020_000051_000002	They managed at length to agree upon a plan of operation.	They managed at length to agree upon a plan of operation.	true	1134.41	1138.27	26.72389
5293_82020_000052_000000	The first thing they did was to go to the cellar where the plaster mass lay, Karl carrying with him a great axe used for cleaving wood.	The first thing they did was to go to the cellar where the plaster mass lay, Karl carrying with him a great axe used for cleaving wood.	true	1138.73	1147	20.068327
5293_82020_000052_000001	Lilith shuddered when she saw it, stained as it was with the wine Heinrich had spilt over it, and almost believed herself the midnight companion of a vampire after all, visiting with him the terrible corpse in which he lived all day.	Lilith shuddered when she saw it, stained as it was with the wine Heinrich had spilt over it, and almost believed herself the midnight companion of a vampire after all, visiting with him the terrible corpse in which he lived all day.	true	1147.61	1160.14	22.364365
5293_82020_000052_000002	But Karl soon reassured her; and a few good blows of the axe revealed a very different core to that which Teufelsbuerst supposed to be in it.	But Karl soon reassured her; and a few good blows of the axe revealed a very different core to that which Teufelsbuerst supposed to be in it.	true	1160.48	1168.39	22.402464
5293_82020_000052_000003	Karl broke it into pieces, and with Lilith's help, who insisted on carrying her share, the whole was soon at the bottom of the Moldau and every trace of its ever having existed removed.	Karl broke it into pieces, and with Lilith's help, who insisted on carrying her share, the whole was soon at the bottom of the Moldau and every trace of its ever having existed removed.	true	1169.03	1181.26	22.821692
5293_82020_000052_000004	Before morning, too, the form of Lilith had dawned anew in every picture.	Before morning, too, the form of Lilith had dawned anew in every picture.	true	1181.66	1186.36	22.402248
5293_82020_000052_000005	There was no time to restore to its former condition the one Karl had first altered; for in it the changes were all that they seemed; nor indeed was he capable of restoring it in the master's style; but they put it quite out of the way, and hoped that sufficient time might elapse before the painter thought of it again.	There was no time to restore to its former condition the one Karl had first altered; for in it the changes were all that they seemed; nor indeed was he capable of restoring it in the master's style; but they put it quite out of the way, and hoped that sufficient time might elapse before the painter thought of it again.	false	1186.7	1204.45	21.963093
5293_82020_000053_000000	When they had done, and Lilith, for all his entreaties, would remain with him no longer, Karl took his former clothes with him, and having spent the rest of the night in his old room, dressed in them in the morning.	When they had done, and Lilith, for all his entreaties, would remain with him no longer, Karl took his former clothes with him, and having spent the rest of the night in his old room, dressed in them in the morning.	true	1205.84	1217.11	22.89492
5293_82020_000053_000001	When Teufelsbuerst entered his studio next day, there sat Karl, as if nothing had happened, finishing the drawing on which he had been at work when the fit of insensibility came upon him.	When Teufelsbuerst entered his studio next day, there sat Karl, as if nothing had happened, finishing the drawing on which he had been at work when the fit of insensibility came upon him.	false	1217.48	1227.58	21.823193
5293_82020_000053_000002	The painter started, stared, rubbed his eyes, thought it was another spectral illusion, and was on the point of yielding to his terror, when Karl rose, and approached him with a smile.	The painter started, stared, rubbed his eyes, thought it was another spectral illusion, and was on the point of yielding to his terror, when Karl rose, and approached him with a smile.	true	1227.89	1239.04	23.392633
5293_82020_000053_000003	The healthy, sunshiny countenance of Karl, let him be ghost or goblin, could not fail to produce somewhat of a tranquillising effect on Teufelsbuerst.	The healthy, sunshiny countenance of Karl, let him be ghost or goblin, could not fail to produce somewhat of a tranquillising effect on Teufelsbuerst.	true	1239.71	1248.82	22.04002
5293_82020_000053_000004	He took his offered hand mechanically, his countenance utterly vacant with idiotic bewilderment. Karl said--	He took his offered hand mechanically, his countenance utterly vacant with idiotic bewilderment. Karl said-	true	1248.89	1255.85	23.409622
5293_82020_000054_000000	"I was not well, and thought it better to pay a visit to a friend for a few days; but I shall soon make up for lost time, for I am all right now."	"I was not well, and thought it better to pay a visit to a friend for a few days; but I shall soon make up for lost time, for I am all right now."	true	1255.85	1263.16	21.568775
5293_82020_000055_000000	He sat down at once, taking no notice of his master's behaviour, and went on with his drawing.	He sat down at once, taking no notice of his master's behaviour, and went on with his drawing.	true	1263.44	1268.28	19.665722
5293_82020_000055_000001	Teufelsbuerst stood staring at him for some minutes without moving, then suddenly turned and left the room.	Teufelsbuerst stood staring at him for some minutes without moving, then suddenly turned and left the room.	false	1268.28	1275.13	21.874792
5293_82020_000055_000002	Karl heard him hurrying down the cellar stairs.	Karl heard him hurrying down the cellar stairs.	false	1275.59	1278.84	19.350512
5293_82020_000055_000003	In a few moments he came up again.	In a few moments he came up again.	true	1278.84	1281.13	25.978281
5293_82020_000055_000004	Karl stole a glance at him.	Karl stole a glance at him.	true	1281.41	1283.23	21.326944
5293_82020_000055_000005	There he stood in the same spot, no doubt more full of bewilderment than ever, but it was not possible that his face should express more.	There he stood in the same spot, no doubt more full of bewilderment than ever, but it was not possible that his face should express more.	true	1283.45	1290.67	22.106308
5293_82020_000055_000006	At last he went to his easel, and sat down with a long-drawn sigh as if of relief.	At last he went to his easel, and sat down with a long drawn sigh as if of relief.	true	1291.22	1296.73	21.499756
5293_82020_000055_000007	But though he sat at his easel, he painted none that day; and as often as Karl ventured a glance, he saw him still staring at him.	But though he sat at his easel, he painted none that day; and as often as Karl ventured a glance, he saw him still staring at him.	true	1297.1	1305.37	23.027882
5293_82020_000055_000008	The discovery that his pictures were restored to their former condition aided, no doubt, in leading him to the same conclusion as the other facts, whatever that conclusion might be--probably that he had been the sport of some evil power, and had been for the greater part of a week utterly bewitched.	The discovery that his pictures were restored to their former condition aided, no doubt, in leading him to the same conclusion as the other facts, whatever that conclusion might be-probably that he had been the sport of some evil power, and had been for the greater part of a week utterly bewitched.	true	1305.83	1321.15	21.308567
5293_82020_000055_000009	Lilith had taken care to instruct the old woman, with whom she was all-powerful; and as neither of them showed the smallest traces of the astonishment which seemed to be slowly vitrifying his own brain, he was at last perfectly satisfied that things had been going on all right everywhere but in his inner man; and in this conclusion he certainly was not far wrong, in more senses than one.	Lilith had taken care to instruct the old woman, with whom she was all powerful; and as neither of them showed the smallest traces of the astonishment which seemed to be slowly vitrifying his own brain, he was at last perfectly satisfied that things had been going on all right everywhere but in his inner man; and in this conclusion he certainly was not far wrong, in more senses than one.	false	1321.31	1343.74	21.7444
5293_82020_000055_000010	But when all was restored again to the old routine, it became evident that the peculiar direction of his art in which he had hitherto indulged had ceased to interest him.	But when all was restored again to the old routine, it became evident that the peculiar direction of his art in which he had hitherto indulged had ceased to interest him.	true	1344.53	1353.73	20.45721
5293_82020_000055_000011	The shock had acted chiefly upon that part of his mental being which had been so absorbed.	The shock had acted chiefly upon that part of his mental being which had been so absorbed.	true	1354.28	1359.73	21.597363
5293_82020_000055_000012	He would sit for hours without doing anything, apparently plunged in meditation.--Several weeks elapsed without any change, and both Lilith and Karl were getting dreadfully anxious about him.	He would sit for hours without doing anything, apparently plunged in meditation.--Several weeks elapsed without any change, and both Lilith and Karl were getting dreadfully anxious about him.	true	1359.98	1372	19.997911
5293_82020_000055_000013	Karl paid him every attention; and the old man, for he now looked much older than before, submitted to receive his services as well as those of Lilith.	Karl paid him every attention; and the old man, for he now looked much older than before, submitted to receive his services as well as those of Lilith.	true	1372.43	1381.81	21.701485
5293_82020_000055_000014	At length, one morning, he said in a slow thoughtful tone--	At length, one morning, he said in a slow thoughtful tone-	true	1382.42	1385.92	23.160027
5293_82020_000056_000000	"Karl Wolkenlicht, I should like to paint you."	"Karl Wolkenlicht, I should like to paint you."	true	1386.83	1390.72	21.424978
5293_82020_000057_000000	"Certainly, sir," answered Karl, jumping up, "where would you like me to sit?"	"Certainly, sir," answered Karl, jumping up, "where would you like me to sit?"	true	1391.84	1396.84	20.268417
5293_82020_000058_000000	So the ice of silence and inactivity was broken, and the painter drew and painted; and the spring of his art flowed once more; and he made a beautiful portrait of Karl--a portrait without evil or suffering.	So the ice of silence and inactivity was broken, and the painter drew and painted; and the spring of his art flowed once more; and he made a beautiful portrait of Karl-a portrait without evil or suffering.	true	1397.87	1410.49	19.767168
5293_82020_000058_000001	And as soon as he had finished Karl, he began once more to paint Lilith; and when he had painted her, he composed a picture for the very purpose of introducing them together; and in this picture there was neither ugliness nor torture, but human feeling and human hope instead.	And as soon as he had finished Karl, he began once more to paint Lilith; and when he had painted her, he composed a picture for the very purpose of introducing them together; and in this picture there was neither ugliness nor torture, but human feeling and human hope instead.	true	1411.04	1428.61	20.161787
5293_82020_000058_000002	Then Karl knew that he might speak to him of Lilith; and he spoke, and was heard with a smile.	Then Karl knew that he might speak to him of Lilith; and he spoke, and was heard with a smile.	true	1429.55	1435.75	21.90166
5293_82020_000058_000003	But he did not dare to tell him the truth of the vampire story till one day that Teufelsbuerst was lying on the floor of a room in Karl's ancestral castle, half smothered in grandchildren; when the only answer it drew from the old man was a kind of shuddering laugh and the words "Don't speak of it, Karl, my boy!"	But he did not dare to tell him the truth of the vampire story till one day that Teufelsbuerst was lying on the floor of a room in Karl's ancestral castle, half smothered in grandchildren; when the only answer it drew from the old man was a kind of shuddering laugh and the words "Don't speak of it, Karl, my boy!"	false	1436.96	1465.14	20.288689
