8421_283462_000000_000000	Uncle Larry stopped.	Uncle Larry stopped.	false	0	0.45	100
8421_283462_000055_000000	"I should like to oblige a lady," returned the master, courteously, "but my clothes are rather heavy, and a hundred yards an hour is about my speed.	"I should like to oblige a lady," returned the master, courteously, "but my clothes are rather heavy, and a hundred yards an hour is about my speed.	true	1152.02	1161.64	20.534
8421_283462_000055_000001	Indeed, I think we would better sit down here on this snowdrift, and talk matters over."	Indeed, I think we would better sit down here on this snowdrift, and talk matters over."	true	1161.64	1168.78	20.993675
8421_283462_000056_000000	"Do not!	"Do not!	true	1169.96	1170.81	23
8421_283462_000056_000001	Do not do so, I beg!" cried the ghost.	Do not do so, I beg!" cried the ghost.	true	1170.81	1173.94	22.842192
8421_283462_000056_000002	"Let me move on.	"Let me move on.	true	1174.04	1174.98	16.514473
8421_283462_000056_000003	I feel myself growing rigid as it is.	I feel myself growing rigid as it is.	true	1174.98	1176.93	10
8421_283462_000056_000004	If we stop here, I shall be frozen stiff."	If we stop here, I shall be frozen stiff."	true	1176.93	1179.82	22.880596
8421_283462_000057_000000	"That, madam," said the master slowly, and seating himself on an ice-cake--"that is why I have brought you here.	"That, madam," said the master slowly, and seating himself on an ice cake-"that is why I have brought you here.	true	1180.73	1190.98	23.115168
8421_283462_000057_000001	We have been on this spot just ten minutes; we have fifty more.	We have been on this spot just ten minutes; we have fifty more.	true	1191.32	1196.77	23.421328
8421_283462_000057_000002	Take your time about it, madam, but freeze, that is all I ask of you."	Take your time about it, madam, but freeze, that is all I ask of you."	true	1196.99	1201.54	21.360968
8421_283462_000058_000000	"I cannot move my right leg now," cried the ghost, in despair, "and my overskirt is a solid sheet of ice.	"I cannot move my right leg now," cried the ghost, in despair, "and my overskirt is a solid sheet of ice.	true	1202.87	1209.57	19.24415
8421_283462_000058_000001	Oh, good, kind Mr. Oglethorpe, light a fire, and let me go free from these icy fetters."	Oh, good, kind mr Oglethorpe, light a fire, and let me go free from these icy fetters."	true	1209.57	1215.67	19
8421_283462_000059_000000	"Never, madam.	"Never, madam.	true	1216.67	1218.03	20
8421_283462_000059_000001	It cannot be.	It cannot be.	true	1218.03	1219.23	22
8421_283462_000059_000002	I have you at last."	I have you at last."	true	1219.23	1221.85	24.63885
8421_283462_000060_000000	"Alas!" cried the ghost, a tear trickling down her frozen cheek.	"Alas!" cried the ghost, a tear trickling down her frozen cheek.	true	1222.82	1228.3	21.159325
8421_283462_000060_000001	"Help me, I beg.	"Help me, I beg.	true	1228.61	1231.12	24.076433
8421_283462_000060_000002	I congeal!"	I congeal!"	true	1231.12	1232.59	22.117485
8421_283462_000061_000000	"Congeal, madam, congeal!" returned Oglethorpe, coldly.	"Congeal, madam, congeal!" returned Oglethorpe, coldly.	true	1233.29	1239.55	19.506006
8421_283462_000061_000001	"You have drenched me and mine for two hundred and three years, madam.	"You have drenched me and mine for two hundred and three years, madam.	true	1240.16	1245.51	20.41444
8421_283462_000061_000002	To-night you have had your last drench."	To night you have had your last drench."	true	1245.51	1248.73	24.453373
8421_283462_000062_000000	"Ah, but I shall thaw out again, and then you'll see.	"Ah, but I shall thaw out again, and then you'll see.	true	1248.95	1252.24	21.52247
8421_283462_000062_000001	Instead of the comfortably tepid, genial ghost I have been in my past, sir, I shall be iced-water," cried the lady, threateningly.	Instead of the comfortably tepid, genial ghost I have been in my past, sir, I shall be iced water," cried the lady, threateningly.	true	1252.25	1261.15	21.674164
8421_283462_000063_000000	"No, you won't, either," returned Oglethorpe; "for when you are frozen quite stiff, I shall send you to a cold-storage warehouse, and there shall you remain an icy work of art forever more."	"No, you won't, either," returned Oglethorpe; "for when you are frozen quite stiff, I shall send you to a cold storage warehouse, and there shall you remain an icy work of art forever more."	true	1261.61	1277.11	22.743176
8421_283462_000064_000000	"But warehouses burn."	"But warehouses burn."	true	1277.99	1280.05	23.281898
8421_283462_000065_000000	"So they do, but this warehouse cannot burn.	"So they do, but this warehouse cannot burn.	true	1280.69	1283.41	24.904808
8421_283462_000065_000001	It is made of asbestos and surrounding it are fireproof walls, and within those walls the temperature is now and shall forever be 416 degrees below the zero point; low enough to make an icicle of any flame in this world--or the next," the master added, with an ill-suppressed chuckle.	It is made of asbestos and surrounding it are fireproof walls, and within those walls the temperature is now and shall forever be four hundred sixteen degrees below the zero point; low enough to make an icicle of any flame in this world-or the next," the master added, with an ill suppressed chuckle.	false	1283.6	1305.43	21.616152
8421_283462_000066_000000	"For the last time let me beseech you.	"For the last time let me beseech you.	true	1305.53	1308.51	23.463205
8421_283462_000066_000001	I would go on my knees to you, Oglethorpe, were they not already frozen.	I would go on my knees to you, Oglethorpe, were they not already frozen.	true	1308.51	1312.81	14
8421_283462_000066_000002	I beg of you do not doo----"	I beg of you do not doo----"	true	1313.12	1315.24	23.146711
8421_283462_000067_000000	Here even the words froze on the water-ghost's lips and the clock struck one.	Here even the words froze on the water ghost's lips and the clock struck one.	false	1316.03	1322.8	22.628706
8421_283462_000067_000001	There was a momentary tremor throughout the ice-bound form, and the moon, coming out from behind a cloud, shone down on the rigid figure of a beautiful woman sculptured in clear, transparent ice.	There was a momentary tremor throughout the ice bound form, and the moon, coming out from behind a cloud, shone down on the rigid figure of a beautiful woman sculptured in clear, transparent ice.	true	1323.59	1337.35	22
8421_283462_000067_000002	There stood the ghost of Harrowby Hall, conquered by the cold, a prisoner for all time.	There stood the ghost of Harrowby Hall, conquered by the cold, a prisoner for all time.	true	1337.78	1345.6	21.574747
8421_283462_000068_000000	The heir of Harrowby had won at last, and to-day in a large storage house in London stands the frigid form of one who will never again flood the house of Oglethorpe with woe and sea-water.	The heir of Harrowby had won at last, and to day in a large storage house in London stands the frigid form of one who will never again flood the house of Oglethorpe with woe and sea water.	true	1346.93	1360.57	19.51719
8421_283462_000069_000000	As for the heir of Harrowby, his success in coping with a ghost has made him famous, a fame that still lingers about him, although his victory took place some twenty years ago; and so far from being unpopular with the fair sex, as he was when we first knew him, he has not only been married twice, but is to lead a third bride to the altar before the year is out.	As for the heir of Harrowby, his success in coping with a ghost has made him famous, a fame that still lingers about him, although his victory took place some twenty years ago; and so far from being unpopular with the fair sex, as he was when we first knew him, he has not only been married twice, but is to lead a third bride to the altar before the year is out.	false	1361.18	1402.11	22.196857
