1460_138290_000000_000000	When the love-led man had ceased from his labours, Bathsheba came and looked him in the face.	When the love led man had ceased from his labours, Bathsheba came and looked him in the face.	false	1.29	8.1	22
1460_138290_000048_000000	"A true man, and proud as a lucifer."	"A true man, and proud as a lucifer."	false	987.44	989.77	16.396477
1460_138290_000049_000000	"You see the artfulness?	"You see the artfulness?	true	990.11	991.545	23.867939
1460_138290_000049_000001	Why, 'twas about being baily really; but I didn't put it so plain that she could understand my meaning, so I could lay it on all the stronger.	Why, 'twas about being baily really; but I didn't put it so plain that she could understand my meaning, so I could lay it on all the stronger.	true	991.545	998.835	17
1460_138290_000049_000002	That was my depth! ...	That was my depth! ...	true	998.835	1000.21	31.838474
1460_138290_000049_000003	However, let her marry an she will.	However, let her marry an she will.	true	1000.31	1002.74	21.370249
1460_138290_000049_000004	Perhaps 'tis high time.	Perhaps 'tis high time.	true	1002.74	1004.12	21
1460_138290_000049_000005	I believe Farmer Boldwood kissed her behind the spear-bed at the sheep-washing t'other day--that I do."	I believe Farmer Boldwood kissed her behind the spear bed at the sheep washing t'other day-that I do."	true	1004.12	1008.79	17
1460_138290_000050_000000	"What a lie!" said Gabriel.	"What a lie!" said Gabriel.	true	1009.22	1010.87	20.706774
1460_138290_000051_000000	"Ah, neighbour Oak--how'st know?" said, Henery, mildly.	"Ah, neighbour Oak-how'st know?" said, Henery, mildly.	true	1010.87	1014.51	22
1460_138290_000052_000000	"Because she told me all that passed," said Oak, with a pharisaical sense that he was not as other shearers in this matter.	"Because she told me all that passed," said Oak, with a pharisaical sense that he was not as other shearers in this matter.	true	1014.51	1020.93	18
1460_138290_000053_000000	"Ye have a right to believe it," said Henery, with dudgeon; "a very true right.	"Ye have a right to believe it," said Henery, with dudgeon; "a very true right.	false	1020.93	1025.5	26.159216
1460_138290_000053_000001	But I mid see a little distance into things!	But I mid see a little distance into things!	true	1025.6	1027.86	15
1460_138290_000053_000002	To be long-headed enough for a baily's place is a poor mere trifle--yet a trifle more than nothing.	To be long headed enough for a baily's place is a poor mere trifle-yet a trifle more than nothing.	false	1027.86	1033.09	16
1460_138290_000053_000003	However, I look round upon life quite cool.	However, I look round upon life quite cool.	true	1033.43	1035.81	23
1460_138290_000053_000004	Do you heed me, neighbours?	Do you heed me, neighbours?	true	1035.81	1036.98	10
1460_138290_000053_000005	My words, though made as simple as I can, mid be rather deep for some heads."	My words, though made as simple as I can, mid be rather deep for some heads."	true	1036.98	1041.1	16
1460_138290_000054_000000	"O yes, Henery, we quite heed ye."	"O yes, Henery, we quite heed ye."	true	1041.47	1044.25	19.81321
1460_138290_000055_000000	"A strange old piece, goodmen--whirled about from here to yonder, as if I were nothing!	"A strange old piece, goodmen-whirled about from here to yonder, as if I were nothing!	true	1044.74	1049.14	18
1460_138290_000055_000001	A little warped, too.	A little warped, too.	false	1049.18	1050.63	19.973541
1460_138290_000055_000002	But I have my depths; ha, and even my great depths!	But I have my depths; ha, and even my great depths!	true	1050.63	1053.8	23.074923
1460_138290_000055_000003	I might gird at a certain shepherd, brain to brain.	I might gird at a certain shepherd, brain to brain.	true	1053.8	1056.3	17
1460_138290_000055_000004	But no--O no!"	But no-O no!"	true	1056.3	1058.25	24.019592
1460_138290_000056_000000	"A strange old piece, ye say!" interposed the maltster, in a querulous voice.	"A strange old piece, ye say!" interposed the maltster, in a querulous voice.	false	1058.25	1062.16	17
1460_138290_000056_000001	"At the same time ye be no old man worth naming--no old man at all.	"At the same time ye be no old man worth naming-no old man at all.	true	1062.2	1066.35	12
1460_138290_000056_000002	Yer teeth bain't half gone yet; and what's a old man's standing if so be his teeth bain't gone?	Yer teeth bain't half gone yet; and what's a old man's standing if so be his teeth bain't gone?	false	1066.35	1072.24	21.743908
1460_138290_000056_000003	Weren't I stale in wedlock afore ye were out of arms?	Weren't I stale in wedlock afore ye were out of arms?	true	1072.43	1075.57	20.991173
1460_138290_000056_000004	'Tis a poor thing to be sixty, when there's people far past four-score--a boast weak as water."	'tis a poor thing to be sixty, when there's people far past four score-a boast weak as water."	true	1075.79	1081.45	22.841055
1460_138290_000057_000000	It was the unvarying custom in Weatherbury to sink minor differences when the maltster had to be pacified.	It was the unvarying custom in Weatherbury to sink minor differences when the maltster had to be pacified.	true	1082.39	1088.05	16
1460_138290_000058_000000	"Weak as water!	"Weak as water!	true	1088.15	1089.09	26.972878
1460_138290_000058_000001	yes," said Jan Coggan.	yes," said Jan Coggan.	true	1089.09	1090.6	15
1460_138290_000058_000002	"Malter, we feel ye to be a wonderful veteran man, and nobody can gainsay it."	"Malter, we feel ye to be a wonderful veteran man, and nobody can gainsay it."	false	1090.73	1095.13	16
1460_138290_000059_000000	"Nobody," said Joseph Poorgrass.	"Nobody," said Joseph Poorgrass.	true	1095.29	1097.2	20.52655
1460_138290_000059_000001	"Ye be a very rare old spectacle, malter, and we all admire ye for that gift."	"Ye be a very rare old spectacle, malter, and we all admire ye for that gift."	true	1097.2	1102.26	18
1460_138290_000060_000000	"Ay, and as a young man, when my senses were in prosperity, I was likewise liked by a good-few who knowed me," said the maltster.	"Ay, and as a young man, when my senses were in prosperity, I was likewise liked by a good few who knowed me," said the maltster.	false	1102.26	1109.74	20.278673
1460_138290_000061_000000	"'Ithout doubt you was--'ithout doubt."	"'Ithout doubt you was-'ithout doubt."	true	1110.41	1113.19	25.177326
1460_138290_000062_000000	The bent and hoary man was satisfied, and so apparently was Henery Fray.	The bent and hoary man was satisfied, and so apparently was Henery Fray.	true	1113.74	1117.84	15
1460_138290_000062_000001	That matters should continue pleasant Maryann spoke, who, what with her brown complexion, and the working wrapper of rusty linsey, had at present the mellow hue of an old sketch in oils--notably some of Nicholas Poussin's:--	That matters should continue pleasant Maryann spoke, who, what with her brown complexion, and the working wrapper of rusty linsey, had at present the mellow hue of an old sketch in oils-notably some of Nicholas Poussin's:--	false	1118.06	1130.53	17
1460_138290_000063_000000	"Do anybody know of a crooked man, or a lame, or any second-hand fellow at all that would do for poor me?" said Maryann.	"Do anybody know of a crooked man, or a lame, or any second-hand fellow at all that would do for poor me?" said Maryann.	true	1131.38	1137.51	13
1460_138290_000063_000001	"A perfect one I don't expect to get at my time of life.	"A perfect one I don't expect to get at my time of life.	false	1137.51	1140.52	23.061483
1460_138290_000063_000002	If I could hear of such a thing twould do me more good than toast and ale."	If I could hear of such a thing twould do me more good than toast and ale."	false	1140.56	1144.57	18
1460_138290_000064_000000	Coggan furnished a suitable reply.	Coggan furnished a suitable reply.	true	1144.88	1147.03	18
1460_138290_000064_000001	Oak went on with his shearing, and said not another word.	Oak went on with his shearing, and said not another word.	true	1147.22	1150.15	19
1460_138290_000064_000002	Pestilent moods had come, and teased away his quiet.	Pestilent moods had come, and teased away his quiet.	false	1150.34	1153.36	20
1460_138290_000064_000003	Bathsheba had shown indications of anointing him above his fellows by installing him as the bailiff that the farm imperatively required.	Bathsheba had shown indications of anointing him above his fellows by installing him as the bailiff that the farm imperatively required.	false	1153.46	1161.4	13
1460_138290_000064_000004	He did not covet the post relatively to the farm: in relation to herself, as beloved by him and unmarried to another, he had coveted it.	He did not covet the post relatively to the farm: in relation to herself, as beloved by him and unmarried to another, he had coveted it.	true	1161.74	1170.01	20
1460_138290_000064_000005	His readings of her seemed now to be vapoury and indistinct.	His readings of her seemed now to be vapoury and indistinct.	true	1170.35	1173.64	18
1460_138290_000064_000006	His lecture to her was, he thought, one of the absurdest mistakes.	His lecture to her was, he thought, one of the absurdest mistakes.	true	1173.71	1177.81	22
1460_138290_000064_000007	Far from coquetting with Boldwood, she had trifled with himself in thus feigning that she had trifled with another.	Far from coquetting with Boldwood, she had trifled with himself in thus feigning that she had trifled with another.	true	1178.18	1183.87	20
1460_138290_000064_000008	He was inwardly convinced that, in accordance with the anticipations of his easy-going and worse-educated comrades, that day would see Boldwood the accepted husband of Miss Everdene.	He was inwardly convinced that, in accordance with the anticipations of his easy going and worse educated comrades, that day would see Boldwood the accepted husband of Miss Everdene.	true	1184.27	1194.97	17
1460_138290_000064_000009	Gabriel at this time of his life had out-grown the instinctive dislike which every Christian boy has for reading the Bible, perusing it now quite frequently, and he inwardly said, "'I find more bitter than death the woman whose heart is snares and nets!'"	Gabriel at this time of his life had out grown the instinctive dislike which every Christian boy has for reading the Bible, perusing it now quite frequently, and he inwardly said, "'I find more bitter than death the woman whose heart is snares and nets!'"	false	1195.52	1209.76	19
1460_138290_000064_000010	This was mere exclamation--the froth of the storm.	This was mere exclamation-the froth of the storm.	true	1210.13	1213.04	20
1460_138290_000064_000011	He adored Bathsheba just the same.	He adored Bathsheba just the same.	true	1213.04	1215.31	20
1460_138290_000065_000000	"We workfolk shall have some lordly junketing to-night," said Cainy Ball, casting forth his thoughts in a new direction.	"We workfolk shall have some lordly junketing to night," said Cainy Ball, casting forth his thoughts in a new direction.	true	1216.22	1222.18	17
1460_138290_000065_000001	"This morning I see 'em making the great puddens in the milking-pails--lumps of fat as big as yer thumb, Mister Oak!	"This morning I see 'em making the great puddens in the milking pails-lumps of fat as big as yer thumb, Mister Oak!	false	1222.43	1229.34	20
1460_138290_000065_000002	I've never seed such splendid large knobs of fat before in the days of my life--they never used to be bigger then a horse-bean.	I've never seed such splendid large knobs of fat before in the days of my life-they never used to be bigger then a horse bean.	true	1229.34	1236.22	18
1460_138290_000065_000003	And there was a great black crock upon the brandish with his legs a-sticking out, but I don't know what was in within."	And there was a great black crock upon the brandish with his legs a sticking out, but I don't know what was in within."	false	1236.38	1242.25	23
1460_138290_000066_000000	"And there's two bushels of biffins for apple-pies," said Maryann.	"And there's two bushels of biffins for apple pies," said Maryann.	true	1242.53	1246.3	17
1460_138290_000067_000000	"Well, I hope to do my duty by it all," said Joseph Poorgrass, in a pleasant, masticating manner of anticipation.	"Well, I hope to do my duty by it all," said Joseph Poorgrass, in a pleasant, masticating manner of anticipation.	false	1246.43	1251.82	16
1460_138290_000067_000001	"Yes; victuals and drink is a cheerful thing, and gives nerves to the nerveless, if the form of words may be used.	"Yes; victuals and drink is a cheerful thing, and gives nerves to the nerveless, if the form of words may be used.	false	1252.22	1258.32	15
1460_138290_000067_000002	'Tis the gospel of the body, without which we perish, so to speak it."	'tis the gospel of the body, without which we perish, so to speak it."	false	1258.32	1266.87	23.742554
