512_124520_000000_000000	VI	VI	false	0	0.45	-20
512_124520_000044_000005	But she saw or she imagined that the women who had gurgled at her so welcomingly when she had first come to Gopher Prairie were nodding at her brusquely.	But she saw or she imagined that the women who had gurgled at her so welcomingly when she had first come to Gopher Prairie were nodding at her brusquely.	true	1003.55	1013.77	17
512_124520_000045_000000	During the pause after the first game she petitioned Mrs. Jackson Elder, "Don't you think we ought to get up another bob-sled party soon?"	During the pause after the first game she petitioned mrs Jackson Elder, "Don't you think we ought to get up another bob sled party soon?"	true	1014.44	1022.83	17
512_124520_000046_000000	"It's so cold when you get dumped in the snow," said Mrs. Elder, indifferently.	"It's so cold when you get dumped in the snow," said mrs Elder, indifferently.	true	1022.99	1027.78	19.494335
512_124520_000047_000000	"I hate snow down my neck," volunteered Mrs. Dave Dyer, with an unpleasant look at Carol and, turning her back, she bubbled at Rita Simons, "Dearie, won't you run in this evening?	"I hate snow down my neck," volunteered mrs Dave Dyer, with an unpleasant look at Carol and, turning her back, she bubbled at Rita Simons, "Dearie, won't you run in this evening?	true	1028.9	1039.72	17
512_124520_000047_000001	I've got the loveliest new Butterick pattern I want to show you."	I've got the loveliest new Butterick pattern I want to show you."	true	1039.73	1043.05	15
512_124520_000048_000000	Carol crept back to her chair.	Carol crept back to her chair.	true	1044.44	1046.32	19
512_124520_000048_000001	In the fervor of discussing the game they ignored her.	In the fervor of discussing the game they ignored her.	true	1046.63	1049.71	13
512_124520_000048_000002	She was not used to being a wallflower.	She was not used to being a wallflower.	true	1049.9	1052.17	15
512_124520_000048_000003	She struggled to keep from oversensitiveness, from becoming unpopular by the sure method of believing that she was unpopular; but she hadn't much reserve of patience, and at the end of the second game, when Ella Stowbody sniffily asked her, "Are you going to send to Minneapolis for your dress for the next soiree--heard you were," Carol said "Don't know yet" with unnecessary sharpness.	She struggled to keep from oversensitiveness, from becoming unpopular by the sure method of believing that she was unpopular; but she hadn't much reserve of patience, and at the end of the second game, when Ella Stowbody sniffily asked her, "Are you going to send to Minneapolis for your dress for the next soiree-heard you were," Carol said "Don't know yet" with unnecessary sharpness.	true	1052.18	1075.93	19
512_124520_000049_000000	She was relieved by the admiration with which the jeune fille Rita Simons looked at the steel buckles on her pumps; but she resented Mrs. Howland's tart demand, "Don't you find that new couch of yours is too broad to be practical?" She nodded, then shook her head, and touchily left Mrs. Howland to get out of it any meaning she desired.	She was relieved by the admiration with which the jeune fille Rita Simons looked at the steel buckles on her pumps; but she resented mrs Howland's tart demand, "Don't you find that new couch of yours is too broad to be practical?" She nodded, then shook her head, and touchily left mrs Howland to get out of it any meaning she desired.	false	1077.29	1098.22	17
512_124520_000049_000001	Immediately she wanted to make peace.	Immediately she wanted to make peace.	true	1098.71	1100.83	15
512_124520_000049_000002	She was close to simpering in the sweetness with which she addressed Mrs Howland: "I think that is the prettiest display of beef-tea your husband has in his store."	She was close to simpering in the sweetness with which she addressed Mrs Howland: "I think that is the prettiest display of beef tea your husband has in his store."	true	1101.08	1110.22	17
512_124520_000050_000000	"Oh yes, Gopher Prairie isn't so much behind the times," gibed Mrs. Howland.	"Oh yes, Gopher Prairie isn't so much behind the times," gibed mrs Howland.	true	1111.64	1116.28	17
512_124520_000050_000001	Some one giggled.	Some one giggled.	true	1116.47	1117.75	22.000683
512_124520_000051_000000	Their rebuffs made her haughty; her haughtiness irritated them to franker rebuffs; they were working up to a state of painfully righteous war when they were saved by the coming of food.	Their rebuffs made her haughty; her haughtiness irritated them to franker rebuffs; they were working up to a state of painfully righteous war when they were saved by the coming of food.	true	1118.09	1128.73	18
512_124520_000052_000000	Though Juanita Haydock was highly advanced in the matters of finger-bowls, doilies, and bath-mats, her "refreshments" were typical of all the afternoon-coffees.	Though Juanita Haydock was highly advanced in the matters of finger bowls, doilies, and bath mats, her "refreshments" were typical of all the afternoon coffees.	true	1128.89	1138.15	13
512_124520_000052_000001	Juanita's best friends, Mrs. Dyer and Mrs. Dashaway, passed large dinner plates, each with a spoon, a fork, and a coffee cup without saucer.	Juanita's best friends, mrs Dyer and mrs Dashaway, passed large dinner plates, each with a spoon, a fork, and a coffee cup without saucer.	true	1138.46	1147.87	19
512_124520_000052_000002	They apologized and discussed the afternoon's game as they passed through the thicket of women's feet.	They apologized and discussed the afternoon's game as they passed through the thicket of women's feet.	true	1148.21	1153.24	14
512_124520_000052_000003	Then they distributed hot buttered rolls, coffee poured from an enamel-ware pot, stuffed olives, potato salad, and angel's-food cake.	Then they distributed hot buttered rolls, coffee poured from an enamel ware pot, stuffed olives, potato salad, and angel's food cake.	true	1153.46	1161.46	18
512_124520_000052_000004	There was, even in the most strictly conforming Gopher Prairie circles, a certain option as to collations.	There was, even in the most strictly conforming Gopher Prairie circles, a certain option as to collations.	true	1161.71	1168.54	18
512_124520_000052_000005	The olives need not be stuffed.	The olives need not be stuffed.	true	1168.85	1170.91	24.361868
512_124520_000052_000006	Doughnuts were in some houses well thought of as a substitute for the hot buttered rolls. But there was in all the town no heretic save Carol who omitted angel's-food.	Doughnuts were in some houses well thought of as a substitute for the hot buttered rolls. But there was in all the town no heretic save Carol who omitted angel's food.	true	1171.55	1181.86	16
512_124520_000053_000000	They ate enormously.	They ate enormously.	true	1182.53	1184.29	17
512_124520_000053_000001	Carol had a suspicion that the thriftier housewives made the afternoon treat do for evening supper.	Carol had a suspicion that the thriftier housewives made the afternoon treat do for evening supper.	true	1184.63	1190.05	13
512_124520_000054_000000	She tried to get back into the current.	She tried to get back into the current.	true	1190.78	1192.92	20
512_124520_000054_000001	She edged over to Mrs. McGanum. Chunky, amiable, young Mrs. McGanum with her breast and arms of a milkmaid, and her loud delayed laugh which burst startlingly from a sober face, was the daughter of old Dr. Westlake, and the wife of Westlake's partner, Dr. McGanum.	She edged over to mrs McGanum. Chunky, amiable, young mrs McGanum with her breast and arms of a milkmaid, and her loud delayed laugh which burst startlingly from a sober face, was the daughter of old dr Westlake, and the wife of Westlake's partner, dr McGanum.	true	1192.92	1209.91	16
512_124520_000054_000002	Kennicott asserted that Westlake and McGanum and their contaminated families were tricky, but Carol had found them gracious.	Kennicott asserted that Westlake and McGanum and their contaminated families were tricky, but Carol had found them gracious.	true	1210.28	1217.32	18
512_124520_000054_000003	She asked for friendliness by crying to Mrs. McGanum, "How is the baby's throat now?" and she was attentive while Mrs. McGanum rocked and knitted and placidly described symptoms.	She asked for friendliness by crying to mrs McGanum, "How is the baby's throat now?" and she was attentive while mrs McGanum rocked and knitted and placidly described symptoms.	true	1217.69	1228.39	16
512_124520_000055_000000	Vida Sherwin came in after school, with Miss Ethel Villets, the town librarian.	Vida Sherwin came in after school, with Miss Ethel Villets, the town librarian.	true	1228.43	1233.4	12
512_124520_000055_000001	Miss Sherwin's optimistic presence gave Carol more confidence.	Miss Sherwin's optimistic presence gave Carol more confidence.	true	1233.5	1237.29	17
512_124520_000055_000002	She talked.	She talked.	true	1237.29	1238.38	20.207571
512_124520_000055_000003	She informed the circle "I drove almost down to Wahkeenyan with Will, a few days ago.	She informed the circle "I drove almost down to Wahkeenyan with Will, a few days ago.	true	1238.42	1243.66	19
512_124520_000055_000004	Isn't the country lovely!	Isn't the country lovely!	true	1243.76	1245.55	22.794504
512_124520_000055_000005	And I do admire the Scandinavian farmers down there so: their big red barns and silos and milking-machines and everything.	And I do admire the Scandinavian farmers down there so: their big red barns and silos and milking machines and everything.	true	1245.74	1253.05	12
512_124520_000055_000006	Do you all know that lonely Lutheran church, with the tin-covered spire, that stands out alone on a hill?	Do you all know that lonely Lutheran church, with the tin covered spire, that stands out alone on a hill?	true	1253.21	1259.05	13
512_124520_000055_000007	It's so bleak; somehow it seems so brave.	It's so bleak; somehow it seems so brave.	true	1259.12	1262.61	18.819899
512_124520_000055_000008	I do think the Scandinavians are the hardiest and best people----"	I do think the Scandinavians are the hardiest and best people----"	true	1262.61	1266.61	15
512_124520_000056_000000	"Oh, do you THINK so?" protested Mrs. Jackson Elder.	"Oh, do you THINK so?" protested mrs Jackson Elder.	true	1267.25	1271.76	20.65296
512_124520_000056_000001	"My husband says the Svenskas that work in the planing-mill are perfectly terrible--so silent and cranky, and so selfish, the way they keep demanding raises. If they had their way they'd simply ruin the business."	"My husband says the Svenskas that work in the planing mill are perfectly terrible-so silent and cranky, and so selfish, the way they keep demanding raises. If they had their way they'd simply ruin the business."	false	1271.76	1284.52	19
512_124520_000057_000000	"Yes, and they're simply GHASTLY hired girls!" wailed Mrs. Dave Dyer. "I swear, I work myself to skin and bone trying to please my hired girls--when I can get them!	"Yes, and they're simply GHASTLY hired girls!" wailed mrs Dave Dyer. "I swear, I work myself to skin and bone trying to please my hired girls-when I can get them!	true	1285.46	1297.75	18
512_124520_000057_000001	I do everything in the world for them.	I do everything in the world for them.	true	1298.06	1300.72	16
512_124520_000057_000002	They can have their gentleman friends call on them in the kitchen any time, and they get just the same to eat as we do, if there's, any left over, and I practically never jump on them."	They can have their gentleman friends call on them in the kitchen any time, and they get just the same to eat as we do, if there's, any left over, and I practically never jump on them."	true	1300.73	1311.25	16
512_124520_000058_000000	Juanita Haydock rattled, "They're ungrateful, all that class of people. I do think the domestic problem is simply becoming awful.	Juanita Haydock rattled, "They're ungrateful, all that class of people. I do think the domestic problem is simply becoming awful.	true	1312.34	1320.49	24
512_124520_000058_000001	I don't know what the country's coming to, with these Scandahoofian clodhoppers demanding every cent you can save, and so ignorant and impertinent, and on my word, demanding bath-tubs and everything--as if they weren't mighty good and lucky at home if they got a bath in the wash-tub."	I don't know what the country's coming to, with these Scandahoofian clodhoppers demanding every cent you can save, and so ignorant and impertinent, and on my word, demanding bath tubs and everything-as if they weren't mighty good and lucky at home if they got a bath in the wash tub."	true	1320.59	1335.46	19
512_124520_000059_000000	They were off, riding hard.	They were off, riding hard.	true	1336.07	1337.95	20.639614
512_124520_000059_000001	Carol thought of Bea and waylaid them:	Carol thought of Bea and waylaid them:	true	1338.23	1340.44	15
512_124520_000060_000000	"But isn't it possibly the fault of the mistresses if the maids are ungrateful?	"But isn't it possibly the fault of the mistresses if the maids are ungrateful?	true	1340.57	1345.12	16
512_124520_000060_000001	For generations we've given them the leavings of food, and holes to live in.	For generations we've given them the leavings of food, and holes to live in.	true	1345.19	1349.5	13
512_124520_000060_000002	I don't want to boast, but I must say I don't have much trouble with Bea.	I don't want to boast, but I must say I don't have much trouble with Bea.	true	1349.66	1353.4	19
512_124520_000060_000003	She's so friendly.	She's so friendly.	true	1353.47	1354.56	15
512_124520_000060_000004	The Scandinavians are sturdy and honest----"	The Scandinavians are sturdy and honest----"	true	1354.56	1357.03	14
512_124520_000061_000000	Mrs. Dave Dyer snapped, "Honest?	mrs Dave Dyer snapped, "Honest?	true	1357.1	1359.34	24.221159
512_124520_000061_000001	Do you call it honest to hold us up for every cent of pay they can get?	Do you call it honest to hold us up for every cent of pay they can get?	true	1359.53	1363.36	22
512_124520_000061_000002	I can't say that I've had any of them steal anything (though you might call it stealing to eat so much that a roast of beef hardly lasts three days), but just the same I don't intend to let them think they can put anything over on ME!	I can't say that I've had any of them steal anything (though you might call it stealing to eat so much that a roast of beef hardly lasts three days), but just the same I don't intend to let them think they can put anything over on m e!	false	1363.55	1375.59	16
512_124520_000061_000003	I always make them pack and unpack their trunks down-stairs, right under my eyes, and then I know they aren't being tempted to dishonesty by any slackness on MY part!"	I always make them pack and unpack their trunks down stairs, right under my eyes, and then I know they aren't being tempted to dishonesty by any slackness on MY part!"	true	1375.59	1385.35	15
512_124520_000062_000000	"How much do the maids get here?" Carol ventured.	"How much do the maids get here?" Carol ventured.	true	1386.38	1389.34	22.90048
512_124520_000063_000000	Mrs. B. J. Gougerling, wife of the banker, stated in a shocked manner, "Any place from three-fifty to five-fifty a week!	mrs b j Gougerling, wife of the banker, stated in a shocked manner, "Any place from three fifty to five fifty a week!	true	1389.47	1399.48	21.68309
512_124520_000063_000001	I know positively that Mrs. Clark, after swearing that she wouldn't weaken and encourage them in their outrageous demands, went and paid five-fifty--think of it! practically a dollar a day for unskilled work and, of course, her food and room and a chance to do her own washing right in with the rest of the wash.	I know positively that mrs Clark, after swearing that she wouldn't weaken and encourage them in their outrageous demands, went and paid five fifty-think of it! practically a dollar a day for unskilled work and, of course, her food and room and a chance to do her own washing right in with the rest of the wash.	true	1399.64	1417.93	20
512_124520_000063_000002	HOW MUCH DO YOU PAY, Mrs. KENNICOTT?"	HOW MUCH DO YOU PAY, mrs KENNICOTT?"	true	1417.93	1420.75	27.35155
512_124520_000064_000000	"Yes!	"Yes!	true	1421.78	1422.67	27.106268
512_124520_000064_000001	How much do you pay?" insisted half a dozen.	How much do you pay?" insisted half a dozen.	true	1422.74	1426.05	20
512_124520_000065_000000	"W-why, I pay six a week," she feebly confessed.	"W why, I pay six a week," she feebly confessed.	false	1426.05	1431.52	22.429113
512_124520_000066_000000	They gasped.	They gasped.	true	1432.28	1433.41	21.929384
512_124520_000066_000001	Juanita protested, "Don't you think it's hard on the rest of us when you pay so much?" Juanita's demand was reinforced by the universal glower.	Juanita protested, "Don't you think it's hard on the rest of us when you pay so much?" Juanita's demand was reinforced by the universal glower.	true	1433.81	1442.53	19
512_124520_000067_000000	Carol was angry.	Carol was angry.	true	1443.44	1444.78	21
512_124520_000067_000001	"I don't care!	"I don't care!	true	1445.18	1446.31	25.336872
512_124520_000067_000002	A maid has one of the hardest jobs on earth.	A maid has one of the hardest jobs on earth.	true	1446.47	1449.13	23.10648
512_124520_000067_000003	She works from ten to eighteen hours a day.	She works from ten to eighteen hours a day.	true	1449.14	1451.67	14
512_124520_000067_000004	She has to wash slimy dishes and dirty clothes.	She has to wash slimy dishes and dirty clothes.	true	1451.67	1454.61	17
512_124520_000067_000005	She tends the children and runs to the door with wet chapped hands and----"	She tends the children and runs to the door with wet chapped hands and----"	true	1454.61	1458.8	17
512_124520_000068_000000	Mrs. Dave Dyer broke into Carol's peroration with a furious, "That's all very well, but believe me, I do those things myself when I'm without a maid--and that's a good share of the time for a person that isn't willing to yield and pay exorbitant wages!"	mrs Dave Dyer broke into Carol's peroration with a furious, "That's all very well, but believe me, I do those things myself when I'm without a maid-and that's a good share of the time for a person that isn't willing to yield and pay exorbitant wages!"	true	1458.8	1471.57	14
512_124520_000069_000000	Carol was retorting, "But a maid does it for strangers, and all she gets out of it is the pay----"	Carol was retorting, "But a maid does it for strangers, and all she gets out of it is the pay----"	true	1472.12	1478.11	20.167732
512_124520_000070_000000	Their eyes were hostile.	Their eyes were hostile.	true	1478.84	1480.26	20
512_124520_000070_000001	Four of them were talking at once.	Four of them were talking at once.	false	1480.26	1482.21	23.588135
512_124520_000070_000002	Vida Sherwin's dictatorial voice cut through, took control of the revolution:	Vida Sherwin's dictatorial voice cut through, took control of the revolution:	false	1482.21	1487.26	21
512_124520_000071_000000	"Tut, tut, tut, tut!	"Tut, tut, tut, tut!	false	1487.48	1489.92	29.57368
512_124520_000071_000001	What angry passions--and what an idiotic discussion!	What angry passions-and what an idiotic discussion!	true	1489.92	1493.89	24
512_124520_000071_000002	All of you getting too serious.	All of you getting too serious.	true	1494.29	1495.98	14
512_124520_000071_000003	Stop it!	Stop it!	true	1495.98	1496.83	24.389494
512_124520_000071_000004	Carol Kennicott, you're probably right, but you're too much ahead of the times.	Carol Kennicott, you're probably right, but you're too much ahead of the times.	true	1496.9	1501.05	23.413761
512_124520_000071_000005	Juanita, quit looking so belligerent.	Juanita, quit looking so belligerent.	true	1501.05	1503.24	23.589632
512_124520_000071_000006	What is this, a card party or a hen fight? Carol, you stop admiring yourself as the Joan of Arc of the hired girls, or I'll spank you.	What is this, a card party or a hen fight? Carol, you stop admiring yourself as the Joan of Arc of the hired girls, or I'll spank you.	true	1503.24	1511.05	22
512_124520_000071_000007	You come over here and talk libraries with Ethel Villets.	You come over here and talk libraries with Ethel Villets.	true	1511.06	1513.86	17
512_124520_000071_000008	Boooooo!	Boooooo!	true	1513.86	1514.65	23.96858
512_124520_000071_000009	If there's any more pecking, I'll take charge of the hen roost myself!"	If there's any more pecking, I'll take charge of the hen roost myself!"	true	1514.72	1518.25	26.198423
512_124520_000072_000000	They all laughed artificially, and Carol obediently "talked libraries."	They all laughed artificially, and Carol obediently "talked libraries."	true	1519.58	1524.07	20
512_124520_000073_000000	A small-town bungalow, the wives of a village doctor and a village dry-goods merchant, a provincial teacher, a colloquial brawl over paying a servant a dollar more a week.	A small town bungalow, the wives of a village doctor and a village dry goods merchant, a provincial teacher, a colloquial brawl over paying a servant a dollar more a week.	true	1524.41	1534.06	13
512_124520_000073_000001	Yet this insignificance echoed cellar-plots and cabinet meetings and labor conferences in Persia and Prussia, Rome and Boston, and the orators who deemed themselves international leaders were but the raised voices of a billion Juanitas denouncing a million Carols, with a hundred thousand Vida Sherwins trying to shoo away the storm.	Yet this insignificance echoed cellar plots and cabinet meetings and labor conferences in Persia and Prussia, Rome and Boston, and the orators who deemed themselves international leaders were but the raised voices of a billion Juanitas denouncing a million Carols, with a hundred thousand Vida Sherwins trying to shoo away the storm.	true	1534.22	1553.17	13
512_124520_000074_000000	Carol felt guilty.	Carol felt guilty.	true	1553.87	1555.3	19
512_124520_000074_000001	She devoted herself to admiring the spinsterish Miss Villets--and immediately committed another offense against the laws of decency.	She devoted herself to admiring the spinsterish Miss Villets-and immediately committed another offense against the laws of decency.	true	1555.61	1562.77	12
512_124520_000075_000000	"We haven't seen you at the library yet," Miss Villets reproved.	"We haven't seen you at the library yet," Miss Villets reproved.	false	1563.65	1569.3	22.611475
512_124520_000076_000000	"I've wanted to run in so much but I've been getting settled and----I'll probably come in so often you'll get tired of me!	"I've wanted to run in so much but I've been getting settled and----I'll probably come in so often you'll get tired of me!	true	1569.3	1575.04	16
512_124520_000076_000001	I hear you have such a nice library."	I hear you have such a nice library."	true	1575.05	1577.05	17
512_124520_000077_000000	"There are many who like it.	"There are many who like it.	true	1577.75	1579.18	19.667345
512_124520_000077_000001	We have two thousand more books than Wakamin."	We have two thousand more books than Wakamin."	true	1579.28	1581.4	20.784937
512_124520_000078_000000	"Isn't that fine.	"Isn't that fine.	true	1582.16	1583.53	19
512_124520_000078_000001	I'm sure you are largely responsible.	I'm sure you are largely responsible.	true	1583.63	1586.29	17
512_124520_000078_000002	I've had some experience, in St. Paul."	I've had some experience, in saint Paul."	true	1586.3	1588.78	22.402262
512_124520_000079_000000	"So I have been informed.	"So I have been informed.	true	1588.88	1590.43	20.982336
512_124520_000079_000001	Not that I entirely approve of library methods in these large cities.	Not that I entirely approve of library methods in these large cities.	true	1590.56	1593.81	12
512_124520_000079_000002	So careless, letting tramps and all sorts of dirty persons practically sleep in the reading-rooms."	So careless, letting tramps and all sorts of dirty persons practically sleep in the reading rooms."	true	1593.81	1598.95	16
512_124520_000080_000000	"I know, but the poor souls----Well, I'm sure you will agree with me in one thing: The chief task of a librarian is to get people to read."	"I know, but the poor souls----Well, I'm sure you will agree with me in one thing: The chief task of a librarian is to get people to read."	true	1599.56	1607.32	17
512_124520_000081_000000	"You feel so?	"You feel so?	true	1607.81	1608.94	20.534979
512_124520_000081_000001	My feeling, Mrs. Kennicott, and I am merely quoting the librarian of a very large college, is that the first duty of the CONSCIENTIOUS librarian is to preserve the books."	My feeling, mrs Kennicott, and I am merely quoting the librarian of a very large college, is that the first duty of the CONSCIENTIOUS librarian is to preserve the books."	false	1609.16	1620.73	21.223839
512_124520_000082_000000	"Oh!" Carol repented her "Oh." Miss Villets stiffened, and attacked:	"Oh!" Carol repented her "Oh." Miss Villets stiffened, and attacked:	true	1621.31	1627.78	19.931086
512_124520_000083_000000	"It may be all very well in cities, where they have unlimited funds, to let nasty children ruin books and just deliberately tear them up, and fresh young men take more books out than they are entitled to by the regulations, but I'm never going to permit it in this library!"	"It may be all very well in cities, where they have unlimited funds, to let nasty children ruin books and just deliberately tear them up, and fresh young men take more books out than they are entitled to by the regulations, but I'm never going to permit it in this library!"	true	1628.66	1642.87	17
512_124520_000084_000000	"What if some children are destructive?	"What if some children are destructive?	true	1643.45	1645.47	18
512_124520_000084_000001	They learn to read.	They learn to read.	true	1645.47	1646.43	9
512_124520_000084_000002	Books are cheaper than minds."	Books are cheaper than minds."	true	1646.43	1648.03	12
512_124520_000085_000000	"Nothing is cheaper than the minds of some of these children that come in and bother me simply because their mothers don't keep them home where they belong.	"Nothing is cheaper than the minds of some of these children that come in and bother me simply because their mothers don't keep them home where they belong.	true	1648.22	1655.86	17
512_124520_000085_000001	Some librarians may choose to be so wishy-washy and turn their libraries into nursing-homes and kindergartens, but as long as I'm in charge, the Gopher Prairie library is going to be quiet and decent, and the books well kept!"	Some librarians may choose to be so wishy washy and turn their libraries into nursing homes and kindergartens, but as long as I'm in charge, the Gopher Prairie library is going to be quiet and decent, and the books well kept!"	true	1656.05	1668.25	18
512_124520_000086_000000	Carol saw that the others were listening, waiting for her to be objectionable.	Carol saw that the others were listening, waiting for her to be objectionable.	true	1669.37	1673.41	16
512_124520_000086_000001	She flinched before their dislike.	She flinched before their dislike.	true	1673.81	1675.96	18
512_124520_000086_000002	She hastened to smile in agreement with Miss Villets, to glance publicly at her wrist-watch, to warble that it was "so late--have to hurry home--husband--such nice party--maybe you were right about maids, prejudiced because Bea so nice--such perfectly divine angel's-food, Mrs. Haydock must give me the recipe--good-by, such happy party----"	She hastened to smile in agreement with Miss Villets, to glance publicly at her wrist watch, to warble that it was "so late-have to hurry home-husband-such nice party-maybe you were right about maids, prejudiced because Bea so nice-such perfectly divine angel's food, mrs Haydock must give me the recipe-good by, such happy party----"	true	1676.33	1695.46	18
512_124520_000087_000000	She walked home.	She walked home.	true	1696.1	1697.23	23.08655
512_124520_000087_000001	She reflected, "It was my fault.	She reflected, "It was my fault.	true	1697.45	1700.3	18.952728
512_124520_000087_000002	I was touchy.	I was touchy.	true	1700.3	1701.43	13
512_124520_000087_000003	And I opposed them so much.	And I opposed them so much.	true	1701.65	1703.56	15
512_124520_000087_000004	Only----I can't!	Only----I can't!	true	1703.6	1705.69	21.960524
512_124520_000087_000005	I can't be one of them if I must damn all the maids toiling in filthy kitchens, all the ragged hungry children.	I can't be one of them if I must damn all the maids toiling in filthy kitchens, all the ragged hungry children.	true	1705.91	1711.78	16
512_124520_000087_000006	And these women are to be my arbiters, the rest of my life!"	And these women are to be my arbiters, the rest of my life!"	true	1712.06	1715.8	14
512_124520_000088_000000	She ignored Bea's call from the kitchen; she ran up-stairs to the unfrequented guest-room; she wept in terror, her body a pale arc as she knelt beside a cumbrous black-walnut bed, beside a puffy mattress covered with a red quilt, in a shuttered and airless room.	She ignored Bea's call from the kitchen; she ran up stairs to the unfrequented guest room; she wept in terror, her body a pale arc as she knelt beside a cumbrous black walnut bed, beside a puffy mattress covered with a red quilt, in a shuttered and airless room.	false	1716.08	1739.73	20.679792
