4490_16020_000000_000000	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	false	0	8.46	18.97017
4490_16020_000049_000003	Nearly the whole of the descent of the market-gardeners from Montreuil, from Charonne, from Vincennes, and from Bercy to the markets was accomplished through the Rue Saint-Antoine.	Nearly the whole of the descent of the market gardeners from Montreuil, from Charonne, from Vincennes, and from Bercy to the markets was accomplished through the Rue Saint Antoine.	false	1105.88	1118.28	17.79917
4490_16020_000050_000000	Four o'clock struck.	Four o'clock struck.	true	1118.28	1119.7	19
4490_16020_000050_000001	Thenardier shuddered.	Thenardier shuddered.	true	1120.04	1121.68	19.018578
4490_16020_000050_000002	A few moments later, that terrified and confused uproar which follows the discovery of an escape broke forth in the prison.	A few moments later, that terrified and confused uproar which follows the discovery of an escape broke forth in the prison.	true	1121.84	1130.08	19
4490_16020_000050_000003	The sound of doors opening and shutting, the creaking of gratings on their hinges, a tumult in the guard-house, the hoarse shouts of the turnkeys, the shock of musket-butts on the pavement of the courts, reached his ears.	The sound of doors opening and shutting, the creaking of gratings on their hinges, a tumult in the guard house, the hoarse shouts of the turnkeys, the shock of musket butts on the pavement of the courts, reached his ears.	false	1131.29	1143.7	18
4490_16020_000050_000004	Lights ascended and descended past the grated windows of the dormitories, a torch ran along the ridge-pole of the top story of the New Building, the firemen belonging in the barracks on the right had been summoned.	Lights ascended and descended past the grated windows of the dormitories, a torch ran along the ridge pole of the top story of the New Building, the firemen belonging in the barracks on the right had been summoned.	true	1144.73	1156.39	13
4490_16020_000050_000005	Their helmets, which the torch lighted up in the rain, went and came along the roofs.	Their helmets, which the torch lighted up in the rain, went and came along the roofs.	false	1156.61	1161.85	18
4490_16020_000050_000006	At the same time, Thenardier perceived in the direction of the Bastille a wan whiteness lighting up the edge of the sky in doleful wise.	At the same time, Thenardier perceived in the direction of the Bastille a wan whiteness lighting up the edge of the sky in doleful wise.	false	1162.16	1171.45	17
4490_16020_000051_000000	He was on top of a wall ten inches wide, stretched out under the heavy rains, with two gulfs to right and left, unable to stir, subject to the giddiness of a possible fall, and to the horror of a certain arrest, and his thoughts, like the pendulum of a clock, swung from one of these ideas to the other: "Dead if I fall, caught if I stay." In the midst of this anguish, he suddenly saw, the street being still dark, a man who was gliding along the walls and coming from the Rue Pavee, halt in the recess above which Thenardier was, as it were, suspended.	He was on top of a wall ten inches wide, stretched out under the heavy rains, with two gulfs to right and left, unable to stir, subject to the giddiness of a possible fall, and to the horror of a certain arrest, and his thoughts, like the pendulum of a clock, swung from one of these ideas to the other: "Dead if I fall, caught if I stay." In the midst of this anguish, he suddenly saw, the street being still dark, a man who was gliding along the walls and coming from the Rue Pavee, halt in the recess above which Thenardier was, as it were, suspended.	false	1172.6	1212.61	20
4490_16020_000051_000001	Here this man was joined by a second, who walked with the same caution, then by a third, then by a fourth.	Here this man was joined by a second, who walked with the same caution, then by a third, then by a fourth.	true	1213.25	1221.58	18
4490_16020_000051_000002	When these men were re-united, one of them lifted the latch of the gate in the fence, and all four entered the enclosure in which the shanty stood.	When these men were re united, one of them lifted the latch of the gate in the fence, and all four entered the enclosure in which the shanty stood.	true	1221.95	1230.64	14
4490_16020_000051_000003	They halted directly under Thenardier.	They halted directly under Thenardier.	false	1231.37	1235.01	17.768719
4490_16020_000051_000004	These men had evidently chosen this vacant space in order that they might consult without being seen by the passers-by or by the sentinel who guards the wicket of La Force a few paces distant.	These men had evidently chosen this vacant space in order that they might consult without being seen by the passers by or by the sentinel who guards the wicket of La Force a few paces distant.	true	1235.01	1246.54	14
4490_16020_000051_000005	It must be added, that the rain kept this sentinel blocked in his box. Thenardier, not being able to distinguish their visages, lent an ear to their words with the desperate attention of a wretch who feels himself lost.	It must be added, that the rain kept this sentinel blocked in his box. Thenardier, not being able to distinguish their visages, lent an ear to their words with the desperate attention of a wretch who feels himself lost.	true	1247.42	1260.66	18
4490_16020_000052_000000	Thenardier saw something resembling a gleam of hope flash before his eyes,--these men conversed in slang.	Thenardier saw something resembling a gleam of hope flash before his eyes,--these men conversed in slang.	false	1260.66	1268.5	18.695967
4490_16020_000053_000000	The first said in a low but distinct voice:--	The first said in a low but distinct voice:--	true	1269.02	1271.92	17
4490_16020_000054_000000	"Let's cut.	"Let's cut.	true	1272.41	1273.54	23.279285
4490_16020_000054_000001	What are we up to here?"	What are we up to here?"	true	1273.76	1276.42	21.950062
4490_16020_000055_000000	The second replied: "It's raining hard enough to put out the very devil's fire.	The second replied: "It's raining hard enough to put out the very devil's fire.	true	1276.61	1281.04	19
4490_16020_000055_000001	And the bobbies will be along instanter.	And the bobbies will be along instanter.	true	1281.2	1283.47	17
4490_16020_000055_000002	There's a soldier on guard yonder.	There's a soldier on guard yonder.	false	1283.84	1286.31	17.480852
4490_16020_000055_000003	We shall get nabbed here."	We shall get nabbed here."	true	1286.31	1288.03	12
4490_16020_000056_000000	These two words, icigo and icicaille, both of which mean ici, and which belong, the first to the slang of the barriers, the second to the slang of the Temple, were flashes of light for Thenardier.	These two words, icigo and icicaille, both of which mean i c i, and which belong, the first to the slang of the barriers, the second to the slang of the Temple, were flashes of light for Thenardier.	false	1289.03	1305.3	19.944674
4490_16020_000056_000001	By the icigo he recognized Brujon, who was a prowler of the barriers, by the icicaille he knew Babet, who, among his other trades, had been an old-clothes broker at the Temple.	By the icigo he recognized Brujon, who was a prowler of the barriers, by the icicaille he knew Babet, who, among his other trades, had been an old clothes broker at the Temple.	false	1305.3	1319.29	18
4490_16020_000057_000000	The antique slang of the great century is no longer spoken except in the Temple, and Babet was really the only person who spoke it in all its purity.	The antique slang of the great century is no longer spoken except in the Temple, and Babet was really the only person who spoke it in all its purity.	false	1319.48	1329.36	13
4490_16020_000057_000001	Had it not been for the icicaille, Thenardier would not have recognized him, for he had entirely changed his voice.	Had it not been for the icicaille, Thenardier would not have recognized him, for he had entirely changed his voice.	false	1329.36	1337.5	17
4490_16020_000058_000000	In the meanwhile, the third man had intervened.	In the meanwhile, the third man had intervened.	true	1338.68	1341.16	14.232727
4490_16020_000059_000000	"There's no hurry yet, let's wait a bit.	"There's no hurry yet, let's wait a bit.	true	1341.26	1343.74	21.567396
4490_16020_000059_000001	How do we know that he doesn't stand in need of us?"	How do we know that he doesn't stand in need of us?"	true	1343.78	1346.68	12
4490_16020_000060_000000	By this, which was nothing but French, Thenardier recognized Montparnasse, who made it a point in his elegance to understand all slangs and to speak none of them.	By this, which was nothing but French, Thenardier recognized Montparnasse, who made it a point in his elegance to understand all slangs and to speak none of them.	true	1346.93	1356.31	18
4490_16020_000061_000000	As for the fourth, he held his peace, but his huge shoulders betrayed him.	As for the fourth, he held his peace, but his huge shoulders betrayed him.	true	1356.83	1362.59	21.326046
4490_16020_000061_000001	Thenardier did not hesitate.	Thenardier did not hesitate.	false	1362.59	1364.49	19.52586
4490_16020_000061_000002	It was Guelemer.	It was Guelemer.	true	1364.49	1365.7	14.71396
4490_16020_000062_000000	Brujon replied almost impetuously but still in a low tone:--	Brujon replied almost impetuously but still in a low tone:--	true	1366.49	1370.54	21
4490_16020_000063_000000	"What are you jabbering about?	"What are you jabbering about?	true	1370.54	1371.94	22
4490_16020_000063_000001	The tavern-keeper hasn't managed to cut his stick.	The tavern keeper hasn't managed to cut his stick.	true	1372.19	1375	19
4490_16020_000063_000002	He don't tumble to the racket, that he don't!	He don't tumble to the racket, that he don't!	false	1375.16	1377.79	23.151403
4490_16020_000063_000003	You have to be a pretty knowing cove to tear up your shirt, cut up your sheet to make a rope, punch holes in doors, get up false papers, make false keys, file your irons, hang out your cord, hide yourself, and disguise yourself! The old fellow hasn't managed to play it, he doesn't understand how to work the business."	You have to be a pretty knowing cove to tear up your shirt, cut up your sheet to make a rope, punch holes in doors, get up false papers, make false keys, file your irons, hang out your cord, hide yourself, and disguise yourself! The old fellow hasn't managed to play it, he doesn't understand how to work the business."	true	1378.01	1397.49	20.516502
4490_16020_000064_000000	Babet added, still in that classical slang which was spoken by Poulailler and Cartouche, and which is to the bold, new, highly colored and risky argot used by Brujon what the language of Racine is to the language of Andre Chenier:--	Babet added, still in that classical slang which was spoken by Poulailler and Cartouche, and which is to the bold, new, highly colored and risky argot used by Brujon what the language of Racine is to the language of Andre Chenier:--	false	1397.49	1413.25	18
4490_16020_000065_000000	"Your tavern-keeper must have been nabbed in the act.	"Your tavern keeper must have been nabbed in the act.	true	1413.56	1416.22	19
4490_16020_000065_000001	You have to be knowing.	You have to be knowing.	true	1416.38	1417.53	17
4490_16020_000065_000002	He's only a greenhorn.	He's only a greenhorn.	false	1417.53	1419.34	21.595585
4490_16020_000065_000003	He must have let himself be taken in by a bobby, perhaps even by a sheep who played it on him as his pal. Listen, Montparnasse, do you hear those shouts in the prison?	He must have let himself be taken in by a bobby, perhaps even by a sheep who played it on him as his pal. Listen, Montparnasse, do you hear those shouts in the prison?	true	1419.62	1429.81	16
4490_16020_000065_000004	You have seen all those lights.	You have seen all those lights.	true	1429.94	1431.87	15.980675
4490_16020_000065_000005	He's recaptured, there!	He's recaptured, there!	true	1431.87	1433.53	20
4490_16020_000065_000006	He'll get off with twenty years.	He'll get off with twenty years.	true	1433.63	1435.36	18
4490_16020_000065_000007	I ain't afraid, I ain't a coward, but there ain't anything more to do, or otherwise they'd lead us a dance.	I ain't afraid, I ain't a coward, but there ain't anything more to do, or otherwise they'd lead us a dance.	false	1435.88	1442.35	19.540056
4490_16020_000065_000008	Don't get mad, come with us, let's go drink a bottle of old wine together."	Don't get mad, come with us, let's go drink a bottle of old wine together."	true	1442.54	1446.94	17
4490_16020_000066_000000	"One doesn't desert one's friends in a scrape," grumbled Montparnasse.	"One doesn't desert one's friends in a scrape," grumbled Montparnasse.	false	1447.07	1452.39	21.862375
4490_16020_000067_000000	"I tell you he's nabbed!" retorted Brujon.	"I tell you he's nabbed!" retorted Brujon.	false	1452.39	1454.77	14
4490_16020_000067_000001	"At the present moment, the inn-keeper ain't worth a ha'penny.	"At the present moment, the inn keeper ain't worth a ha'penny.	true	1454.93	1457.95	17
4490_16020_000067_000002	We can't do nothing for him.	We can't do nothing for him.	true	1458.35	1460.04	17.758623
4490_16020_000067_000003	Let's be off.	Let's be off.	false	1460.04	1460.13	-20
4490_16020_000067_000004	Every minute I think a bobby has got me in his fist."	Every minute I think a bobby has got me in his fist."	true	1460.13	1464.01	17.754667
4490_16020_000068_000000	Montparnasse no longer offered more than a feeble resistance; the fact is, that these four men, with the fidelity of ruffians who never abandon each other, had prowled all night long about La Force, great as was their peril, in the hope of seeing Thenardier make his appearance on the top of some wall.	Montparnasse no longer offered more than a feeble resistance; the fact is, that these four men, with the fidelity of ruffians who never abandon each other, had prowled all night long about La Force, great as was their peril, in the hope of seeing Thenardier make his appearance on the top of some wall.	false	1465.13	1483.18	19
4490_16020_000068_000001	But the night, which was really growing too fine,--for the downpour was such as to render all the streets deserted,--the cold which was overpowering them, their soaked garments, their hole-ridden shoes, the alarming noise which had just burst forth in the prison, the hours which had elapsed, the patrol which they had encountered, the hope which was vanishing, all urged them to beat a retreat.	But the night, which was really growing too fine,--for the downpour was such as to render all the streets deserted,--the cold which was overpowering them, their soaked garments, their hole ridden shoes, the alarming noise which had just burst forth in the prison, the hours which had elapsed, the patrol which they had encountered, the hope which was vanishing, all urged them to beat a retreat.	false	1483.22	1507.15	16
4490_16020_000068_000002	Montparnasse himself, who was, perhaps, almost Thenardier's son-in-law, yielded.	Montparnasse himself, who was, perhaps, almost Thenardier's son in law, yielded.	true	1507.97	1513	16
4490_16020_000068_000003	A moment more, and they would be gone.	A moment more, and they would be gone.	false	1514.24	1517.19	21.137527
4490_16020_000068_000004	Thenardier was panting on his wall like the shipwrecked sufferers of the Meduse on their raft when they beheld the vessel which had appeared in sight vanish on the horizon.	Thenardier was panting on his wall like the shipwrecked sufferers of the Meduse on their raft when they beheld the vessel which had appeared in sight vanish on the horizon.	false	1517.19	1526.23	11
4490_16020_000069_000000	He dared not call to them; a cry might be heard and ruin everything.	He dared not call to them; a cry might be heard and ruin everything.	true	1526.69	1530.82	14
4490_16020_000069_000001	An idea occurred to him, a last idea, a flash of inspiration; he drew from his pocket the end of Brujon's rope, which he had detached from the chimney of the New Building, and flung it into the space enclosed by the fence.	An idea occurred to him, a last idea, a flash of inspiration; he drew from his pocket the end of Brujon's rope, which he had detached from the chimney of the New Building, and flung it into the space enclosed by the fence.	true	1530.98	1546.11	19.107872
4490_16020_000070_000000	This rope fell at their feet.	This rope fell at their feet.	false	1546.11	1548.43	19.768108
4490_16020_000071_000000	"A widow,"[37] said Babet.	"A widow,"[thirty seven] said Babet.	false	1549.58	1551.6	18.569925
4490_16020_000072_000000	"My tortouse!"[38] said Brujon.	"My tortouse!"[thirty eight] said Brujon.	false	1551.6	1553.67	25.9434
4490_16020_000073_000000	"The tavern-keeper is there," said Montparnasse.	"The tavern keeper is there," said Montparnasse.	true	1553.67	1555.9	9
4490_16020_000074_000000	They raised their eyes.	They raised their eyes.	false	1556.24	1557.84	18
4490_16020_000074_000001	Thenardier thrust out his head a very little.	Thenardier thrust out his head a very little.	false	1557.84	1560.13	8
4490_16020_000075_000000	"Quick!" said Montparnasse, "have you the other end of the rope, Brujon?"	"Quick!" said Montparnasse, "have you the other end of the rope, Brujon?"	false	1561.13	1565.07	17.37814
4490_16020_000076_000000	"Yes."	"Yes."	true	1565.07	1565.62	21.80601
4490_16020_000077_000000	"Knot the two pieces together, we'll fling him the rope, he can fasten it to the wall, and he'll have enough of it to get down with."	"Knot the two pieces together, we'll fling him the rope, he can fasten it to the wall, and he'll have enough of it to get down with."	true	1566.35	1572.9	16
4490_16020_000078_000000	Thenardier ran the risk, and spoke:--	Thenardier ran the risk, and spoke:--	false	1572.9	1576.03	20.94613
4490_16020_000079_000000	"I am paralyzed with cold."	"I am paralyzed with cold."	false	1576.79	1579.38	21.945564
4490_16020_000080_000000	"We'll warm you up."	"We'll warm you up."	true	1579.38	1580.5	18.11839
4490_16020_000081_000000	"I can't budge."	"I can't budge."	true	1580.69	1581.82	21.020927
4490_16020_000082_000000	"Let yourself slide, we'll catch you."	"Let yourself slide, we'll catch you."	true	1582.76	1584.76	18.907139
4490_16020_000083_000000	"My hands are benumbed."	"My hands are benumbed."	true	1585.22	1587.04	21.927511
4490_16020_000084_000000	"Only fasten the rope to the wall."	"Only fasten the rope to the wall."	true	1587.35	1589.43	19
4490_16020_000085_000000	"I can't."	"I can't."	true	1589.43	1590.34	27.36491
4490_16020_000086_000000	"Then one of us must climb up," said Montparnasse.	"Then one of us must climb up," said Montparnasse.	true	1590.44	1592.92	15
4490_16020_000087_000000	"Three stories!" ejaculated Brujon.	"Three stories!" ejaculated Brujon.	true	1593.38	1595.82	10
4490_16020_000088_000000	An ancient plaster flue, which had served for a stove that had been used in the shanty in former times, ran along the wall and mounted almost to the very spot where they could see Thenardier.	An ancient plaster flue, which had served for a stove that had been used in the shanty in former times, ran along the wall and mounted almost to the very spot where they could see Thenardier.	false	1595.82	1608.15	19.381657
4490_16020_000088_000001	This flue, then much damaged and full of cracks, has since fallen, but the marks of it are still visible.	This flue, then much damaged and full of cracks, has since fallen, but the marks of it are still visible.	true	1608.15	1614.52	17
4490_16020_000089_000000	It was very narrow.	It was very narrow.	true	1614.65	1616.11	21
4490_16020_000090_000000	"One might get up by the help of that," said Montparnasse.	"One might get up by the help of that," said Montparnasse.	true	1616.75	1619.83	11
4490_16020_000091_000000	"By that flue?" exclaimed Babet, "a grown-up cove, never! it would take a brat."	"By that flue?" exclaimed Babet, "a grown up cove, never! it would take a brat."	false	1620.77	1626.61	24.280191
4490_16020_000092_000000	"A brat must be got," resumed Brujon.	"A brat must be got," resumed Brujon.	true	1627.43	1629.79	24
4490_16020_000093_000000	"Where are we to find a young 'un?" said Guelemer.	"Where are we to find a young 'un?" said Guelemer.	false	1630.97	1633.27	13
4490_16020_000094_000000	"Wait," said Montparnasse.	"Wait," said Montparnasse.	true	1633.73	1635.07	15
4490_16020_000094_000001	"I've got the very article."	"I've got the very article."	true	1635.17	1636.9	16
4490_16020_000095_000000	He opened the gate of the fence very softly, made sure that no one was passing along the street, stepped out cautiously, shut the gate behind him, and set off at a run in the direction of the Bastille.	He opened the gate of the fence very softly, made sure that no one was passing along the street, stepped out cautiously, shut the gate behind him, and set off at a run in the direction of the Bastille.	false	1637.39	1649.55	19.73257
4490_16020_000096_000000	Seven or eight minutes elapsed, eight thousand centuries to Thenardier; Babet, Brujon, and Guelemer did not open their lips; at last the gate opened once more, and Montparnasse appeared, breathless, and followed by Gavroche.	Seven or eight minutes elapsed, eight thousand centuries to Thenardier; Babet, Brujon, and Guelemer did not open their lips; at last the gate opened once more, and Montparnasse appeared, breathless, and followed by Gavroche.	false	1649.55	1665.28	18.883217
4490_16020_000096_000001	The rain still rendered the street completely deserted.	The rain still rendered the street completely deserted.	true	1665.74	1668.67	13
4490_16020_000097_000000	Little Gavroche entered the enclosure and gazed at the forms of these ruffians with a tranquil air.	Little Gavroche entered the enclosure and gazed at the forms of these ruffians with a tranquil air.	true	1669.61	1674.91	11
4490_16020_000097_000001	The water was dripping from his hair. Guelemer addressed him:--	The water was dripping from his hair. Guelemer addressed him:--	true	1675.22	1679.17	19.427256
4490_16020_000098_000000	"Are you a man, young 'un?"	"Are you a man, young 'un?"	false	1679.87	1682.04	17.749481
4490_16020_000099_000000	Gavroche shrugged his shoulders, and replied:--	Gavroche shrugged his shoulders, and replied:--	true	1682.04	1684.63	17
4490_16020_000100_000000	"A young 'un like me's a man, and men like you are babes."	"A young 'un like me's a man, and men like you are babes."	false	1684.91	1688.41	12
4490_16020_000101_000000	"The brat's tongue's well hung!" exclaimed Babet.	"The brat's tongue's well hung!" exclaimed Babet.	false	1688.9	1692.87	22.008465
4490_16020_000102_000000	"The Paris brat ain't made of straw," added Brujon.	"The Paris brat ain't made of straw," added Brujon.	false	1692.87	1696.15	12
4490_16020_000103_000000	"What do you want?" asked Gavroche.	"What do you want?" asked Gavroche.	false	1696.88	1698.81	20.225239
4490_16020_000104_000000	Montparnasse answered:--	Montparnasse answered:--	true	1698.81	1700.14	12
4490_16020_000105_000000	"Climb up that flue."	"Climb up that flue."	true	1700.15	1701.55	22.26816
4490_16020_000106_000000	"With this rope," said Babet.	"With this rope," said Babet.	false	1701.74	1703.88	21.365633
4490_16020_000107_000000	"And fasten it," continued Brujon.	"And fasten it," continued Brujon.	true	1703.88	1705.99	23
4490_16020_000108_000000	"To the top of the wall," went on Babet.	"To the top of the wall," went on Babet.	false	1706.66	1709.79	17.579414
4490_16020_000109_000000	"To the cross-bar of the window," added Brujon.	"To the cross bar of the window," added Brujon.	true	1709.79	1712.29	13
4490_16020_000110_000000	"And then?" said Gavroche.	"And then?" said Gavroche.	false	1712.39	1714.26	20.40833
4490_16020_000111_000000	"There!" said Guelemer.	"There!" said Guelemer.	true	1714.26	1715.68	12
4490_16020_000112_000000	The gamin examined the rope, the flue, the wall, the windows, and made that indescribable and disdainful noise with his lips which signifies:--	The gamin examined the rope, the flue, the wall, the windows, and made that indescribable and disdainful noise with his lips which signifies:--	true	1716.02	1724.57	17
4490_16020_000113_000000	"Is that all!"	"Is that all!"	true	1724.57	1725.67	21
4490_16020_000114_000000	"There's a man up there whom you are to save," resumed Montparnasse.	"There's a man up there whom you are to save," resumed Montparnasse.	true	1726.49	1730.08	15
4490_16020_000115_000000	"Will you?" began Brujon again.	"Will you?" began Brujon again.	true	1731.02	1733.17	14
4490_16020_000116_000000	"Greenhorn!" replied the lad, as though the question appeared a most unprecedented one to him.	"Greenhorn!" replied the lad, as though the question appeared a most unprecedented one to him.	true	1733.27	1738.39	14
4490_16020_000117_000000	And he took off his shoes.	And he took off his shoes.	true	1738.61	1740.1	20
4490_16020_000118_000000	Guelemer seized Gavroche by one arm, set him on the roof of the shanty, whose worm-eaten planks bent beneath the urchin's weight, and handed him the rope which Brujon had knotted together during Montparnasse's absence.	Guelemer seized Gavroche by one arm, set him on the roof of the shanty, whose worm eaten planks bent beneath the urchin's weight, and handed him the rope which Brujon had knotted together during Montparnasse's absence.	false	1740.47	1751.95	13
4490_16020_000118_000001	The gamin directed his steps towards the flue, which it was easy to enter, thanks to a large crack which touched the roof.	The gamin directed his steps towards the flue, which it was easy to enter, thanks to a large crack which touched the roof.	false	1752.2	1758.91	21
4490_16020_000118_000002	At the moment when he was on the point of ascending, Thenardier, who saw life and safety approaching, bent over the edge of the wall; the first light of dawn struck white upon his brow dripping with sweat, upon his livid cheek-bones, his sharp and savage nose, his bristling gray beard, and Gavroche recognized him.	At the moment when he was on the point of ascending, Thenardier, who saw life and safety approaching, bent over the edge of the wall; the first light of dawn struck white upon his brow dripping with sweat, upon his livid cheek bones, his sharp and savage nose, his bristling gray beard, and Gavroche recognized him.	true	1759.94	1778.88	15
4490_16020_000119_000000	"Hullo!	"Hullo!	false	1778.88	1779.78	37
4490_16020_000119_000001	it's my father!	it's my father!	true	1779.78	1780.93	15
4490_16020_000119_000002	Oh, that won't hinder."	Oh, that won't hinder."	true	1781.27	1782.76	13
4490_16020_000120_000000	And taking the rope in his teeth, he resolutely began the ascent.	And taking the rope in his teeth, he resolutely began the ascent.	true	1783.16	1786.75	11
4490_16020_000121_000000	He reached the summit of the hut, bestrode the old wall as though it had been a horse, and knotted the rope firmly to the upper cross-bar of the window.	He reached the summit of the hut, bestrode the old wall as though it had been a horse, and knotted the rope firmly to the upper cross bar of the window.	false	1788.17	1796.11	19
4490_16020_000122_000000	A moment later, Thenardier was in the street.	A moment later, Thenardier was in the street.	false	1796.36	1798.99	18.742786
4490_16020_000123_000000	As soon as he touched the pavement, as soon as he found himself out of danger, he was no longer either weary, or chilled or trembling; the terrible things from which he had escaped vanished like smoke, all that strange and ferocious mind awoke once more, and stood erect and free, ready to march onward.	As soon as he touched the pavement, as soon as he found himself out of danger, he was no longer either weary, or chilled or trembling; the terrible things from which he had escaped vanished like smoke, all that strange and ferocious mind awoke once more, and stood erect and free, ready to march onward.	true	1799.51	1819.15	19
4490_16020_000124_000000	These were this man's first words:--	These were this man's first words:--	false	1819.91	1821.91	13
4490_16020_000125_000000	"Now, whom are we to eat?"	"Now, whom are we to eat?"	true	1822.16	1824.52	21.87087
4490_16020_000126_000000	It is useless to explain the sense of this frightfully transparent remark, which signifies both to kill, to assassinate, and to plunder.	It is useless to explain the sense of this frightfully transparent remark, which signifies both to kill, to assassinate, and to plunder.	true	1825.16	1832.95	18
4490_16020_000126_000001	To eat, true sense: to devour.	To eat, true sense: to devour.	true	1833.29	1837.6	18.376373
4490_16020_000127_000000	"Let's get well into a corner," said Brujon.	"Let's get well into a corner," said Brujon.	true	1839.11	1841.33	20
4490_16020_000127_000001	"Let's settle it in three words, and part at once.	"Let's settle it in three words, and part at once.	true	1841.33	1843.96	18
4490_16020_000127_000002	There was an affair that promised well in the Rue Plumet, a deserted street, an isolated house, an old rotten gate on a garden, and lone women."	There was an affair that promised well in the Rue Plumet, a deserted street, an isolated house, an old rotten gate on a garden, and lone women."	false	1844.48	1852.75	15
4490_16020_000128_000000	"Well! why not?" demanded Thenardier.	"Well! why not?" demanded Thenardier.	true	1853.69	1856.29	21.700703
4490_16020_000129_000000	"Your girl, Eponine, went to see about the matter," replied Babet.	"Your girl, Eponine, went to see about the matter," replied Babet.	false	1856.84	1860.96	20.240305
4490_16020_000130_000000	"And she brought a biscuit to Magnon," added Guelemer.	"And she brought a biscuit to Magnon," added Guelemer.	false	1860.96	1864.44	22.843304
4490_16020_000130_000001	"Nothing to be made there."	"Nothing to be made there."	true	1864.44	1865.83	8
4490_16020_000131_000000	"The girl's no fool," said Thenardier.	"The girl's no fool," said Thenardier.	false	1866.53	1868.91	18.3791
4490_16020_000131_000001	"Still, it must be seen to."	"Still, it must be seen to."	true	1868.91	1870.33	8
4490_16020_000132_000000	"Yes, yes," said Brujon, "it must be looked up."	"Yes, yes," said Brujon, "it must be looked up."	true	1870.49	1873.3	20
4490_16020_000133_000000	In the meanwhile, none of the men seemed to see Gavroche, who, during this colloquy, had seated himself on one of the fence-posts; he waited a few moments, thinking that perhaps his father would turn towards him, then he put on his shoes again, and said:--	In the meanwhile, none of the men seemed to see Gavroche, who, during this colloquy, had seated himself on one of the fence posts; he waited a few moments, thinking that perhaps his father would turn towards him, then he put on his shoes again, and said:--	true	1875.2	1890.43	21.797966
4490_16020_000134_000000	"Is that all?	"Is that all?	true	1890.98	1891.81	22.22522
4490_16020_000134_000001	You don't want any more, my men?	You don't want any more, my men?	false	1892.06	1893.73	16
4490_16020_000134_000002	Now you're out of your scrape.	Now you're out of your scrape.	true	1893.98	1895.68	15
4490_16020_000134_000003	I'm off.	I'm off.	true	1895.68	1896.52	19
4490_16020_000134_000004	I must go and get my brats out of bed."	I must go and get my brats out of bed."	true	1896.71	1899.01	17
4490_16020_000135_000000	And off he went.	And off he went.	true	1899.59	1900.72	18.589727
4490_16020_000136_000000	The five men emerged, one after another, from the enclosure.	The five men emerged, one after another, from the enclosure.	true	1901.3	1904.65	11
4490_16020_000137_000000	When Gavroche had disappeared at the corner of the Rue des Ballets, Babet took Thenardier aside.	When Gavroche had disappeared at the corner of the Rue des Ballets, Babet took Thenardier aside.	false	1905.68	1911.85	21
4490_16020_000138_000000	"Did you take a good look at that young 'un?" he asked.	"Did you take a good look at that young 'un?" he asked.	false	1912.58	1915.39	12
4490_16020_000139_000000	"What young 'un?"	"What young 'un?"	false	1915.55	1917.54	16.747704
4490_16020_000140_000000	"The one who climbed the wall and carried you the rope."	"The one who climbed the wall and carried you the rope."	true	1917.54	1920.25	15
4490_16020_000141_000000	"Not particularly."	"Not particularly."	true	1920.41	1921.9	13
4490_16020_000142_000000	"Well, I don't know, but it strikes me that it was your son."	"Well, I don't know, but it strikes me that it was your son."	true	1922.03	1926.56	18.737421
4490_16020_000143_000000	"Bah!" said Thenardier, "do you think so?"	"Bah!" said Thenardier, "do you think so?"	false	1926.56	1934.82	16.186468
4490_16020_000144_000000	BOOK SEVENTH.--SLANG	BOOK SEVENTH.--SLANG	false	1934.82	1935.33	23
4490_16020_000145_000000	[Illustration: Slang b7-1-slang]	[Illustration: Slang b seven one-slang]	false	1935.33	1936.17	23.119251
4490_16020_000146_000000	CHAPTER I--ORIGIN	CHAPTER one-ORIGIN	false	1936.17	1937.04	8
4490_16020_000147_000000	Pigritia is a terrible word.	Pigritia is a terrible word.	false	1937.04	1938.3	15.197703
4490_16020_000148_000000	It engenders a whole world, la pegre, for which read theft, and a hell, la pegrenne, for which read hunger.	It engenders a whole world, la pegre, for which read theft, and a hell, la pegrenne, for which read hunger.	false	1938.3	1943.43	16.59693
