7145_87280_000002_000000	After we had all returned to Greenwich the princess and Brandon were together frequently.	After we had all returned to Greenwich the princess and Brandon were together frequently.
7145_87280_000089_000000	"Please do.	"Please do.
7145_87280_000089_000001	I beg--if I cannot command.	I beg-if I cannot command.
7145_87280_000090_000000	"Master Brandon!" she exclaimed sharply, and drew away her hand. Brandon dropped the hand and moved over on the seat.	"Master Brandon!" she exclaimed sharply, and drew away her hand. Brandon dropped the hand and moved over on the seat.
7145_87280_000090_000003	Mary saw the eloquent movement away from her and his speaking attitude, with averted face; then the princess went into eclipse, and the imperial woman was ascendant once more.	Mary saw the eloquent movement away from her and his speaking attitude, with averted face; then the princess went into eclipse, and the imperial woman was ascendant once more.
7145_87280_000090_000004	She looked at him for a brief space with softening eyes, and, lifting her hand, put it back in his, saying:	She looked at him for a brief space with softening eyes, and, lifting her hand, put it back in his, saying:
7145_87280_000092_000002	The hand would not satisfy now; it must be all, all!	The hand would not satisfy now; it must be all, all!
7145_87280_000093_000001	Not this time.	Not this time.
7145_87280_000093_000004	Mary mother, forgive me." Then her woman spirit fell before the whirlwind of his passion, and she was on his breast with her white arms around his neck, paying the same tribute to the little blind god that he would have exacted from the lowliest maiden of the land.	Mary mother, forgive me." Then her woman spirit fell before the whirlwind of his passion, and she was on his breast with her white arms around his neck, paying the same tribute to the little blind god that he would have exacted from the lowliest maiden of the land.
7145_87280_000093_000005	Just as though it were not the blood of fifty kings and queens that made so red and sweet, aye, sweet as nectar thrice distilled, those lips which now so freely paid their dues in coined bliss.	Just as though it were not the blood of fifty kings and queens that made so red and sweet, aye, sweet as nectar thrice distilled, those lips which now so freely paid their dues in coined bliss.
7145_87280_000095_000000	"Heaven help me!" he cried.	"Heaven help me!" he cried.
7145_87280_000097_000000	"Heaven help us both; for I love you!"	"Heaven help us both; for I love you!"
7145_87280_000098_000001	"Don't! don't!	"Don't! don't!
7145_87280_000099_000000	Mary followed him nearly to the door of the room, but when he turned he saw that she had stopped, and was standing with her hands over her face, as if in tears.	Mary followed him nearly to the door of the room, but when he turned he saw that she had stopped, and was standing with her hands over her face, as if in tears.
7145_87280_000100_000001	It is all my fault.	It is all my fault.
7145_87280_000100_000003	I could not help it; I tried.	I could not help it; I tried.
7145_87280_000100_000004	Oh!	Oh!
7145_87280_000100_000005	I tried."	I tried."
7145_87280_000101_000000	Mary's eyes were bent upon the floor, and tears were falling over her flushed cheeks, unheeded and unchecked.	Mary's eyes were bent upon the floor, and tears were falling over her flushed cheeks, unheeded and unchecked.
7145_87280_000102_000000	"There is no fault in any one; neither could I help it," she murmured.	"There is no fault in any one; neither could I help it," she murmured.
7145_87280_000103_000002	I shall never recover."	I shall never recover."
7145_87280_000105_000003	Her eyes were cast down in silence, and she was evidently thinking as she toyed with the lace of his doublet.	Her eyes were cast down in silence, and she was evidently thinking as she toyed with the lace of his doublet.
7145_87280_000105_000004	Brandon knew her varying expressions so well that he saw there was something wanting, so he asked:	Brandon knew her varying expressions so well that he saw there was something wanting, so he asked:
7145_87280_000109_000000	She nodded her head slowly: "Yes."	She nodded her head slowly: "Yes."
7145_87280_000110_000000	"What is it?	"What is it?
7145_87280_000110_000001	Tell me and I will say it."	Tell me and I will say it."
7145_87280_000112_000000	"What is it?	"What is it?
7145_87280_000112_000001	I cannot guess."	I cannot guess."
7145_87280_000113_000000	"Did you not like to hear me say that--that I--loved you?"	"Did you not like to hear me say that-that I-loved you?"
7145_87280_000114_000000	"Ah, yes; you know it.	"Ah, yes; you know it.
7145_87280_000114_000001	But--oh!--do you wish to hear me say it?"	But-oh!--do you wish to hear me say it?"
7145_87280_000117_000000	She nestled closer to him and hid her face on his breast.	She nestled closer to him and hid her face on his breast.
7145_87280_000118_000000	"Now that I have said it, what is my reward?" he asked--and the fair face came up, red and rosy, with "rewards," any one of which was worth a king's ransom.	"Now that I have said it, what is my reward?" he asked-and the fair face came up, red and rosy, with "rewards," any one of which was worth a king's ransom.
7145_87280_000119_000000	"But this is worse than insanity," cried Brandon, as he almost pushed her from him.	"But this is worse than insanity," cried Brandon, as he almost pushed her from him.
7145_87280_000119_000001	"We can never belong to each other; never."	"We can never belong to each other; never."
7145_87280_000120_000000	"No," said Mary, with a despairing shake of the head, as the tears began to flow again; "no! never." And falling upon his knees, he caught both her hands in his, sprang to his feet and ran from the room.	"No," said Mary, with a despairing shake of the head, as the tears began to flow again; "no! never." And falling upon his knees, he caught both her hands in his, sprang to his feet and ran from the room.
7145_87280_000121_000000	Her words showed him the chasm anew.	Her words showed him the chasm anew.
7145_87280_000121_000002	Evidently it seemed farther looking down than looking up.	Evidently it seemed farther looking down than looking up.
7145_87280_000121_000003	There was nothing left now but flight.	There was nothing left now but flight.
7145_87280_000122_000001	Why did I ever come to this court?	Why did I ever come to this court?
7145_87280_000125_000000	It was better, he thought, and wisely too, that there be no leave-taking, but that he should go without meeting her.	It was better, he thought, and wisely too, that there be no leave taking, but that he should go without meeting her.
7145_87280_000126_000000	"If I see her again," he said, "I shall have to kill some one, even if it is only myself."	"If I see her again," he said, "I shall have to kill some one, even if it is only myself."
7145_87280_000128_000000	But providence, or fate, or some one, ordered it differently, and there was plenty of trouble ahead.	But providence, or fate, or some one, ordered it differently, and there was plenty of trouble ahead.
