2272_150674_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	false	7.95	10.21	21.012434
2272_150674_000021_000021	p. 175-178.)]	p. one hundred seventy five to one hundred seventy eight.)]	false	754.38	757.62	14
2272_150674_000022_000000	[Footnote 11: See Ducange, in Gloss.	[Footnote eleven: See Ducange, in Gloss.	false	757.62	759.57	15
2272_150674_000022_000001	Graec. et Lat.	Graec. et Lat.	false	759.57	760.56	24.520748
2272_150674_000022_000002	The subject is treated with equal learning and bigotry by the Jesuit Gretser, (Syntagma de Imaginibus non Manu factis, ad calcem Codini de Officiis, p. 289-330,) the ass, or rather the fox, of Ingoldstadt, (see the Scaligerana;) with equal reason and wit by the Protestant Beausobre, in the ironical controversy which he has spread through many volumes of the Bibliotheque Germanique, (tom. xviii.	The subject is treated with equal learning and bigotry by the Jesuit Gretser, (Syntagma de Imaginibus non Manu factis, ad calcem Codini de Officiis, p. two hundred eighty nine to three hundred thirty,) the ass, or rather the fox, of Ingoldstadt, (see the Scaligerana winking face  with equal reason and wit by the Protestant Beausobre, in the ironical controversy which he has spread through many volumes of the Bibliotheque Germanique, (tom. x v i i i.	false	760.56	790.26	17
2272_150674_000022_000003	p. 1-50, xx.	p. one to fifty, x x.	false	790.26	792.45	15
2272_150674_000022_000004	p. 27-68, xxv.	p. twenty seven to sixty eight, x x v.	false	792.45	795.39	21.930882
2272_150674_000022_000005	p. 1-36, xxvii.	p. one to thirty six, x x v i i.	false	795.39	798.66	15
2272_150674_000022_000006	p. 85-118, xxviii.	p. eighty five to one hundred eighteen, x x v i i i.	false	798.66	802.92	14
2272_150674_000022_000007	p. 1-33, xxxi.	p. one to thirty three, x x x i.	false	802.92	805.86	19
2272_150674_000022_000008	p. 111-148, xxxii.	p. one hundred eleven to one hundred forty eight, x x x i i.	false	805.86	810.42	23.148312
2272_150674_000022_000009	p. 75-107, xxxiv.	p. seventy five to one hundred seven, x x x i v.	false	810.42	814.35	23
2272_150674_000022_000010	p. 67-96.)]	p. sixty seven to ninety six.)]	false	814.35	816.3	27.550064
2272_150674_000023_000000	[Footnote 12: Theophylact Simocatta (l.	[Footnote twelve: Theophylact Simocatta (l.	false	816.3	817.95	12
2272_150674_000023_000001	ii.	ii.	false	817.95	818.28	21.446493
2272_150674_000023_000002	c.	c.	false	818.28	818.61	85
2272_150674_000023_000003	3, p. 34, l.	three, p. thirty four, l.	false	818.61	820.23	14
2272_150674_000023_000004	iii. c.	iii. c.	false	820.23	820.89	17.344307
2272_150674_000023_000005	1, p. 63) celebrates it; yet it was no more than a copy, since he adds (of Edessa).	one, p. sixty three) celebrates it; yet it was no more than a copy, since he adds (of Edessa).	false	820.89	826.38	18
2272_150674_000023_000006	See Pagi, tom.	See Pagi, tom.	false	826.38	827.13	5
2272_150674_000023_000007	ii.	ii.	false	827.13	827.88	4
2272_150674_000023_000008	A.D. 588 No. 11.]	a d five hundred eighty eight no eleven.]	false	827.88	830.28	20
2272_150674_000024_000000	[Footnote 13: See, in the genuine or supposed works of John Damascenus, two passages on the Virgin and St. Luke, which have not been noticed by Gretser, nor consequently by Beausobre, (Opera Joh.	[Footnote thirteen: See, in the genuine or supposed works of john Damascenus, two passages on the Virgin and saint Luke, which have not been noticed by Gretser, nor consequently by Beausobre, (Opera Joh.	false	830.28	841.17	20
2272_150674_000024_000001	Damascen.	Damascen.	false	841.17	841.53	16
2272_150674_000024_000002	tom. i.	tom. i.	false	841.53	842.25	2
2272_150674_000024_000003	p. 618, 631.)]	p. six hundred eighteen, six hundred thirty one.)]	false	842.25	845.13	11
2272_150674_000025_000000	[Footnote 14: "Your scandalous figures stand quite out from the canvass: they are as bad as a group of statues!"	[Footnote fourteen: "Your scandalous figures stand quite out from the canvass: they are as bad as a group of statues!"	false	845.13	852.96	22
2272_150674_000025_000001	It was thus that the ignorance and bigotry of a Greek priest applauded the pictures of Titian, which he had ordered, and refused to accept.]	It was thus that the ignorance and bigotry of a Greek priest applauded the pictures of Titian, which he had ordered, and refused to accept.]	false	852.96	863.28	17
2272_150674_000026_000000	The worship of images had stolen into the church by insensible degrees, and each petty step was pleasing to the superstitious mind, as productive of comfort, and innocent of sin.	The worship of images had stolen into the church by insensible degrees, and each petty step was pleasing to the superstitious mind, as productive of comfort, and innocent of sin.	false	863.28	870.99	17
2272_150674_000026_000001	But in the beginning of the eighth century, in the full magnitude of the abuse, the more timorous Greeks were awakened by an apprehension, that under the mask of Christianity, they had restored the religion of their fathers: they heard, with grief and impatience, the name of idolaters; the incessant charge of the Jews and Mahometans, [15] who derived from the Law and the Koran an immortal hatred to graven images and all relative worship. The servitude of the Jews might curb their zeal, and depreciate their authority; but the triumphant Mussulmans, who reigned at Damascus, and threatened Constantinople, cast into the scale of reproach the accumulated weight of truth and victory.	But in the beginning of the eighth century, in the full magnitude of the abuse, the more timorous Greeks were awakened by an apprehension, that under the mask of Christianity, they had restored the religion of their fathers: they heard, with grief and impatience, the name of idolaters; the incessant charge of the Jews and Mahometans, [fifteen] who derived from the Law and the Koran an immortal hatred to graven images and all relative worship. The servitude of the Jews might curb their zeal, and depreciate their authority; but the triumphant Mussulmans, who reigned at Damascus, and threatened Constantinople, cast into the scale of reproach the accumulated weight of truth and victory.	false	870.99	906.75	19
2272_150674_000026_000002	The cities of Syria, Palestine, and Egypt had been fortified with the images of Christ, his mother, and his saints; and each city presumed on the hope or promise of miraculous defence.	The cities of Syria, Palestine, and Egypt had been fortified with the images of Christ, his mother, and his saints; and each city presumed on the hope or promise of miraculous defence.	false	906.75	915.57	10
2272_150674_000026_000003	In a rapid conquest of ten years, the Arabs subdued those cities and these images; and, in their opinion, the Lord of Hosts pronounced a decisive judgment between the adoration and contempt of these mute and inanimate idols.	In a rapid conquest of ten years, the Arabs subdued those cities and these images; and, in their opinion, the Lord of Hosts pronounced a decisive judgment between the adoration and contempt of these mute and inanimate idols.	false	915.57	926.34	20
2272_150674_000026_000004	[1511] For a while Edessa had braved the Persian assaults; but the chosen city, the spouse of Christ, was involved in the common ruin; and his divine resemblance became the slave and trophy of the infidels.	[fifteen eleven] For a while Edessa had braved the Persian assaults; but the chosen city, the spouse of Christ, was involved in the common ruin; and his divine resemblance became the slave and trophy of the infidels.	false	926.34	939.09	14
2272_150674_000026_000005	After a servitude of three hundred years, the Palladium was yielded to the devotion of Constantinople, for a ransom of twelve thousand pounds of silver, the redemption of two hundred Mussulmans, and a perpetual truce for the territory of Edessa. [16] In this season of distress and dismay, the eloquence of the monks was exercised in the defence of images; and they attempted to prove, that the sin and schism of the greatest part of the Orientals had forfeited the favor, and annihilated the virtue, of these precious symbols.	After a servitude of three hundred years, the Palladium was yielded to the devotion of Constantinople, for a ransom of twelve thousand pounds of silver, the redemption of two hundred Mussulmans, and a perpetual truce for the territory of Edessa. [sixteen] In this season of distress and dismay, the eloquence of the monks was exercised in the defence of images; and they attempted to prove, that the sin and schism of the greatest part of the Orientals had forfeited the favor, and annihilated the virtue, of these precious symbols.	false	939.09	962.85	14
2272_150674_000026_000006	But they were now opposed by the murmurs of many simple or rational Christians, who appealed to the evidence of texts, of facts, and of the primitive times, and secretly desired the reformation of the church.	But they were now opposed by the murmurs of many simple or rational Christians, who appealed to the evidence of texts, of facts, and of the primitive times, and secretly desired the reformation of the church.	false	962.85	973.47	21
2272_150674_000026_000007	As the worship of images had never been established by any general or positive law, its progress in the Eastern empire had been retarded, or accelerated, by the differences of men and manners, the local degrees of refinement, and the personal characters of the bishops. The splendid devotion was fondly cherished by the levity of the capital, and the inventive genius of the Byzantine clergy; while the rude and remote districts of Asia were strangers to this innovation of sacred luxury.	As the worship of images had never been established by any general or positive law, its progress in the Eastern empire had been retarded, or accelerated, by the differences of men and manners, the local degrees of refinement, and the personal characters of the bishops. The splendid devotion was fondly cherished by the levity of the capital, and the inventive genius of the Byzantine clergy; while the rude and remote districts of Asia were strangers to this innovation of sacred luxury.	false	973.47	995.79	15
2272_150674_000026_000008	Many large congregations of Gnostics and Arians maintained, after their conversion, the simple worship which had preceded their separation; and the Armenians, the most warlike subjects of Rome, were not reconciled, in the twelfth century, to the sight of images.	Many large congregations of Gnostics and Arians maintained, after their conversion, the simple worship which had preceded their separation; and the Armenians, the most warlike subjects of Rome, were not reconciled, in the twelfth century, to the sight of images.	false	995.79	1005.09	16
2272_150674_000026_000009	[17] These various denominations of men afforded a fund of prejudice and aversion, of small account in the villages of Anatolia or Thrace, but which, in the fortune of a soldier, a prelate, or a eunuch, might be often connected with the powers of the church and state.	[seventeen] These various denominations of men afforded a fund of prejudice and aversion, of small account in the villages of Anatolia or Thrace, but which, in the fortune of a soldier, a prelate, or a eunuch, might be often connected with the powers of the church and state.	false	1005.09	1018.38	18
2272_150674_000027_000000	[Footnote 15: By Cedrenus, Zonaras, Glycas, and Manasses, the origin of the Aconoclcasts is imprinted to the caliph Yezid and two Jews, who promised the empire to Leo; and the reproaches of these hostile sectaries are turned into an absurd conspiracy for restoring the purity of the Christian worship, (see Spanheim, Hist.	[Footnote fifteen: By Cedrenus, Zonaras, Glycas, and Manasses, the origin of the Aconoclcasts is imprinted to the caliph Yezid and two Jews, who promised the empire to Leo; and the reproaches of these hostile sectaries are turned into an absurd conspiracy for restoring the purity of the Christian worship, (see Spanheim, Hist.	false	1018.38	1033.77	19
2272_150674_000027_000001	Imag. c.	Imag. c.	false	1033.77	1034.37	4
2272_150674_000027_000002	2.)]	two.)]	false	1034.37	1034.67	-8
2272_150674_000028_000000	[Footnote 1511: Yezid, ninth caliph of the race of the Ommiadae, caused all the images in Syria to be destroyed about the year 719; hence the orthodox reproaches the sectaries with following the example of the Saracens and the Jews Fragm.	[Footnote fifteen eleven: Yezid, ninth caliph of the race of the Ommiadae, caused all the images in Syria to be destroyed about the year seven hundred nineteen; hence the orthodox reproaches the sectaries with following the example of the Saracens and the Jews Fragm.	false	1034.67	1046.13	17
2272_150674_000028_000001	Mon. Johan.	mon Johan.	false	1046.13	1046.7	33
2272_150674_000028_000002	Jerosylym.	Jerosylym.	false	1046.7	1046.97	4
2272_150674_000028_000003	Script.	Script.	false	1046.97	1047.27	1
2272_150674_000028_000004	Byzant. vol. xvi.	Byzant. vol x v i.	false	1047.27	1048.68	4
2272_150674_000028_000005	p. 235.	p. two hundred thirty five.	false	1048.68	1050.12	27.464615
2272_150674_000028_000006	Hist. des Repub.	Hist. des Repub.	false	1050.12	1050.96	8
2272_150674_000028_000007	Ital. par M. Sismondi, vol. i.	Ital. par m Sismondi, vol i.	false	1050.96	1052.67	4
2272_150674_000028_000008	p. 126.--G.]	p. one hundred twenty six.--G.]	false	1052.67	1054.38	6
2272_150674_000029_000000	[Footnote 16: See Elmacin, (Hist.	[Footnote sixteen: See Elmacin, (Hist.	false	1054.38	1055.82	23.205013
2272_150674_000029_000001	Saracen.	Saracen.	false	1055.82	1056.09	3
2272_150674_000029_000002	p. 267,) Abulpharagius, (Dynast.	p. two hundred sixty seven,) Abulpharagius, (Dynast.	false	1056.09	1058.07	12
2272_150674_000029_000003	p. 201,) and Abulfeda, (Annal.	p. two hundred one,) and Abulfeda, (Annal.	false	1058.07	1060.05	23
2272_150674_000029_000004	Moslem.	Moslem.	false	1060.05	1060.38	13
2272_150674_000029_000005	p. 264,), and the criticisms of Pagi, (tom. iii.	p. two hundred sixty four,), and the criticisms of Pagi, (tom. iii.	false	1060.38	1063.89	13
2272_150674_000029_000006	A.D. 944.) The prudent Franciscan refuses to determine whether the image of Edessa now reposes at Rome or Genoa; but its repose is inglorious, and this ancient object of worship is no longer famous or fashionable.]	a d nine hundred forty four.) The prudent Franciscan refuses to determine whether the image of Edessa now reposes at Rome or Genoa; but its repose is inglorious, and this ancient object of worship is no longer famous or fashionable.]	false	1063.89	1076.19	19
2272_150674_000030_000000	[Footnote 17: (Nicetas, l.	[Footnote seventeen: (Nicetas, l.	false	1076.19	1077.57	25
2272_150674_000030_000001	ii.	ii.	false	1077.57	1077.93	12
2272_150674_000030_000002	p. 258.) The Armenian churches are still content with the Cross, (Missions du Levant, tom.	p. two hundred fifty eight.) The Armenian churches are still content with the Cross, (Missions du Levant, tom.	false	1077.93	1082.4	19
2272_150674_000030_000003	iii.	iii.	false	1082.4	1082.58	-20
2272_150674_000030_000004	p. 148;) but surely the superstitious Greek is unjust to the superstition of the Germans of the xiith century.]	p. one hundred forty eight winking face  but surely the superstitious Greek is unjust to the superstition of the Germans of the x i i t h century.]	false	1082.58	1089.15	19
2272_150674_000031_000000	Of such adventurers, the most fortunate was the emperor Leo the Third, [18] who, from the mountains of Isauria, ascended the throne of the East.	Of such adventurers, the most fortunate was the emperor Leo the Third, [eighteen] who, from the mountains of Isauria, ascended the throne of the East.	false	1089.15	1098.12	19
2272_150674_000031_000001	He was ignorant of sacred and profane letters; but his education, his reason, perhaps his intercourse with the Jews and Arabs, had inspired the martial peasant with a hatred of images; and it was held to be the duty of a prince to impose on his subjects the dictates of his own conscience.	He was ignorant of sacred and profane letters; but his education, his reason, perhaps his intercourse with the Jews and Arabs, had inspired the martial peasant with a hatred of images; and it was held to be the duty of a prince to impose on his subjects the dictates of his own conscience.	false	1098.12	1115.16	21
2272_150674_000031_000002	But in the outset of an unsettled reign, during ten years of toil and danger, Leo submitted to the meanness of hypocrisy, bowed before the idols which he despised, and satisfied the Roman pontiff with the annual professions of his orthodoxy and zeal.	But in the outset of an unsettled reign, during ten years of toil and danger, Leo submitted to the meanness of hypocrisy, bowed before the idols which he despised, and satisfied the Roman pontiff with the annual professions of his orthodoxy and zeal.	false	1115.16	1127.04	21
2272_150674_000031_000003	In the reformation of religion, his first steps were moderate and cautious: he assembled a great council of senators and bishops, and enacted, with their consent, that all the images should be removed from the sanctuary and altar to a proper height in the churches where they might be visible to the eyes, and inaccessible to the superstition, of the people.	In the reformation of religion, his first steps were moderate and cautious: he assembled a great council of senators and bishops, and enacted, with their consent, that all the images should be removed from the sanctuary and altar to a proper height in the churches where they might be visible to the eyes, and inaccessible to the superstition, of the people.	false	1127.04	1149.12	18
2272_150674_000031_000004	But it was impossible on either side to check the rapid through adverse impulse of veneration and abhorrence: in their lofty position, the sacred images still edified their votaries, and reproached the tyrant.	But it was impossible on either side to check the rapid through adverse impulse of veneration and abhorrence: in their lofty position, the sacred images still edified their votaries, and reproached the tyrant.	false	1149.12	1158.6	17
2272_150674_000031_000005	He was himself provoked by resistance and invective; and his own party accused him of an imperfect discharge of his duty, and urged for his imitation the example of the Jewish king, who had broken without scruple the brazen serpent of the temple.	He was himself provoked by resistance and invective; and his own party accused him of an imperfect discharge of his duty, and urged for his imitation the example of the Jewish king, who had broken without scruple the brazen serpent of the temple.	false	1158.6	1169.49	20
2272_150674_000031_000006	By a second edict, he proscribed the existence as well as the use of religious pictures; the churches of Constantinople and the provinces were cleansed from idolatry; the images of Christ, the Virgin, and the saints, were demolished, or a smooth surface of plaster was spread over the walls of the edifice.	By a second edict, he proscribed the existence as well as the use of religious pictures; the churches of Constantinople and the provinces were cleansed from idolatry; the images of Christ, the Virgin, and the saints, were demolished, or a smooth surface of plaster was spread over the walls of the edifice.	false	1169.49	1188.39	20
2272_150674_000031_000007	The sect of the Iconoclasts was supported by the zeal and despotism of six emperors, and the East and West were involved in a noisy conflict of one hundred and twenty years.	The sect of the Iconoclasts was supported by the zeal and despotism of six emperors, and the East and West were involved in a noisy conflict of one hundred and twenty years.	false	1188.39	1200.54	19
2272_150674_000031_000008	It was the design of Leo the Isaurian to pronounce the condemnation of images as an article of faith, and by the authority of a general council: but the convocation of such an assembly was reserved for his son Constantine; [19] and though it is stigmatized by triumphant bigotry as a meeting of fools and atheists, their own partial and mutilated acts betray many symptoms of reason and piety.	It was the design of Leo the Isaurian to pronounce the condemnation of images as an article of faith, and by the authority of a general council: but the convocation of such an assembly was reserved for his son Constantine; [nineteen] and though it is stigmatized by triumphant bigotry as a meeting of fools and atheists, their own partial and mutilated acts betray many symptoms of reason and piety.	false	1200.54	1222.44	19
2272_150674_000031_000009	The debates and decrees of many provincial synods introduced the summons of the general council which met in the suburbs of Constantinople, and was composed of the respectable number of three hundred and thirty-eight bishops of Europe and Anatolia; for the patriarchs of Antioch and Alexandria were the slaves of the caliph, and the Roman pontiff had withdrawn the churches of Italy and the West from the communion of the Greeks.	The debates and decrees of many provincial synods introduced the summons of the general council which met in the suburbs of Constantinople, and was composed of the respectable number of three hundred and thirty eight bishops of Europe and Anatolia; for the patriarchs of Antioch and Alexandria were the slaves of the caliph, and the Roman pontiff had withdrawn the churches of Italy and the West from the communion of the Greeks.	false	1222.44	1258.05	20
2272_150674_000031_000010	This Byzantine synod assumed the rank and powers of the seventh general council; yet even this title was a recognition of the six preceding assemblies, which had laboriously built the structure of the Catholic faith.	This Byzantine synod assumed the rank and powers of the seventh general council; yet even this title was a recognition of the six preceding assemblies, which had laboriously built the structure of the Catholic faith.	false	1258.05	1275.12	18
2272_150674_000031_000011	After a serious deliberation of six months, the three hundred and thirty-eight bishops pronounced and subscribed a unanimous decree, that all visible symbols of Christ, except in the Eucharist, were either blasphemous or heretical; that image-worship was a corruption of Christianity and a renewal of Paganism; that all such monuments of idolatry should be broken or erased; and that those who should refuse to deliver the objects of their private superstition, were guilty of disobedience to the authority of the church and of the emperor.	After a serious deliberation of six months, the three hundred and thirty eight bishops pronounced and subscribed a unanimous decree, that all visible symbols of Christ, except in the Eucharist, were either blasphemous or heretical; that image worship was a corruption of Christianity and a renewal of Paganism; that all such monuments of idolatry should be broken or erased; and that those who should refuse to deliver the objects of their private superstition, were guilty of disobedience to the authority of the church and of the emperor.	false	1275.12	1314.66	18
2272_150674_000031_000012	In their loud and loyal acclamations, they celebrated the merits of their temporal redeemer; and to his zeal and justice they intrusted the execution of their spiritual censures.	In their loud and loyal acclamations, they celebrated the merits of their temporal redeemer; and to his zeal and justice they intrusted the execution of their spiritual censures.	false	1314.66	1325.25	18
2272_150674_000031_000013	At Constantinople, as in the former councils, the will of the prince was the rule of episcopal faith; but on this occasion, I am inclined to suspect that a large majority of the prelates sacrificed their secret conscience to the temptations of hope and fear.	At Constantinople, as in the former councils, the will of the prince was the rule of episcopal faith; but on this occasion, I am inclined to suspect that a large majority of the prelates sacrificed their secret conscience to the temptations of hope and fear.	false	1325.25	1350.75	20
2272_150674_000031_000014	In the long night of superstition, the Christians had wandered far away from the simplicity of the gospel: nor was it easy for them to discern the clew, and tread back the mazes, of the labyrinth. The worship of images was inseparably blended, at least to a pious fancy, with the Cross, the Virgin, the Saints and their relics; the holy ground was involved in a cloud of miracles and visions; and the nerves of the mind, curiosity and scepticism, were benumbed by the habits of obedience and belief.	In the long night of superstition, the Christians had wandered far away from the simplicity of the gospel: nor was it easy for them to discern the clew, and tread back the mazes, of the labyrinth. The worship of images was inseparably blended, at least to a pious fancy, with the Cross, the Virgin, the Saints and their relics; the holy ground was involved in a cloud of miracles and visions; and the nerves of the mind, curiosity and scepticism, were benumbed by the habits of obedience and belief.	false	1350.75	1406.37	16
2272_150674_000031_000015	Constantine himself is accused of indulging a royal license to doubt, or deny, or deride the mysteries of the Catholics, [20] but they were deeply inscribed in the public and private creed of his bishops; and the boldest Iconoclast might assault with a secret horror the monuments of popular devotion, which were consecrated to the honor of his celestial patrons.	Constantine himself is accused of indulging a royal license to doubt, or deny, or deride the mysteries of the Catholics, [twenty] but they were deeply inscribed in the public and private creed of his bishops; and the boldest Iconoclast might assault with a secret horror the monuments of popular devotion, which were consecrated to the honor of his celestial patrons.	false	1406.37	1448.68	18
2272_150674_000031_000016	In the reformation of the sixteenth century, freedom and knowledge had expanded all the faculties of man: the thirst of innovation superseded the reverence of antiquity; and the vigor of Europe could disdain those phantoms which terrified the sickly and servile weakness of the Greeks.	In the reformation of the sixteenth century, freedom and knowledge had expanded all the faculties of man: the thirst of innovation superseded the reverence of antiquity; and the vigor of Europe could disdain those phantoms which terrified the sickly and servile weakness of the Greeks.	false	1448.68	1480.23	22
