6620_283138_000000_000000	APPENDIX IV.	APPENDIX i v.	false	23.1	24.72	25.513954
6620_283138_000023_000007	Waking or rest he used indiscriminately, by night or by day.--These great Virtues were balanced by great Vices; inhuman cruelty; perfidy more than punic; no truth, no faith, no regard to oaths, promises, or religion.	Waking or rest he used indiscriminately, by night or by day.--These great Virtues were balanced by great Vices; inhuman cruelty; perfidy more than punic; no truth, no faith, no regard to oaths, promises, or religion.	true	1037.33	1052.83	23.895409
6620_283138_000024_000000	The character of Alexander the Sixth, to be found in Guicciardin, [Footnote: Lib. i.] is pretty similar, but juster; and is a proof that even the moderns, where they speak naturally, hold the same language with the ancients.	The character of Alexander the Sixth, to be found in Guicciardin, [Footnote: Lib. i.] is pretty similar, but juster; and is a proof that even the moderns, where they speak naturally, hold the same language with the ancients.	false	1054.43	1064.44	21.442892
6620_283138_000024_000001	In this pope, says he, there was a singular capacity and judgement: admirable prudence; a wonderful talent of persuasion; and in all momentous enterprizes a diligence and dexterity incredible.	In this pope, says he, there was a singular capacity and judgement: admirable prudence; a wonderful talent of persuasion; and in all momentous enterprizes a diligence and dexterity incredible.	true	1065.08	1076.2	22.48439
6620_283138_000024_000002	But these VIRTUES were infinitely overbalanced by his VICES; no faith, no religion, insatiable avarice, exorbitant ambition, and a more than barbarous cruelty.	But these VIRTUES were infinitely overbalanced by his VICES; no faith, no religion, insatiable avarice, exorbitant ambition, and a more than barbarous cruelty.	true	1076.57	1086.31	22.066284
6620_283138_000025_000000	Polybius, [Footnote: Lib. xii.] reprehending Timaeus for his partiality against Agathocles, whom he himself allows to be the most cruel and impious of all tyrants, says: if he took refuge in Syracuse, as asserted by that historian, flying the dirt and smoke and toil of his former profession of a potter; and if proceeding from such slender beginnings, he became master, in a little time, of all Sicily; brought the Carthaginian state into the utmost danger; and at last died in old age, and in possession of sovereign dignity: must he not be allowed something prodigious and extraordinary, and to have possessed great talents and capacity for business and action?	Polybius, [Footnote: Lib. x i i.] reprehending Timaeus for his partiality against Agathocles, whom he himself allows to be the most cruel and impious of all tyrants, says: if he took refuge in Syracuse, as asserted by that historian, flying the dirt and smoke and toil of his former profession of a potter; and if proceeding from such slender beginnings, he became master, in a little time, of all Sicily; brought the Carthaginian state into the utmost danger; and at last died in old age, and in possession of sovereign dignity: must he not be allowed something prodigious and extraordinary, and to have possessed great talents and capacity for business and action?	false	1087.55	1124.32	22.304256
6620_283138_000025_000001	His historian, therefore, ought not to have alone related what tended to his reproach and infamy; but also what might redound to his Praise and Honour.	His historian, therefore, ought not to have alone related what tended to his reproach and infamy; but also what might redound to his Praise and Honour.	false	1124.96	1133.41	22.628893
6620_283138_000026_000000	In general, we may observe, that the distinction of voluntary or involuntary was little regarded by the ancients in their moral reasonings; where they frequently treated the question as very doubtful, WHETHER VIRTUE COULD BE TAUGHT OR NOT [Vid.	In general, we may observe, that the distinction of voluntary or involuntary was little regarded by the ancients in their moral reasonings; where they frequently treated the question as very doubtful, WHETHER VIRTUE COULD BE TAUGHT o r NOT [Vid.	false	1134.38	1146.45	21.446142
6620_283138_000026_000001	Plato in Menone, Seneca de otio sap.	Plato in Menone, Seneca de otio sap.	false	1146.45	1146.75	-20
6620_283138_000026_000002	cap. 31.	cap. thirty one.	false	1146.75	1146.87	-20
6620_283138_000026_000003	So also Horace, Virtutem doctrina paret, naturane donet, Epist. lib.	So also Horace, Virtutem doctrina paret, naturane donet, Epist. lib.	false	1146.87	1147.29	-20
6620_283138_000026_000004	I. ep. 18.	I. e p. eighteen.	false	1147.29	1147.47	-20
6620_283138_000026_000005	Aeschines Socraticus, Dial.	Aeschines Socraticus, Dial.	false	1147.47	1147.59	-20
6620_283138_000026_000006	I.]?	I.]?	false	1147.59	1147.65	-20
6620_283138_000026_000007	They justly considered that cowardice, meanness, levity, anxiety, impatience, folly, and many other qualities of the mind, might appear ridiculous and deformed, contemptible and odious, though independent of the will.	They justly considered that cowardice, meanness, levity, anxiety, impatience, folly, and many other qualities of the mind, might appear ridiculous and deformed, contemptible and odious, though independent of the will.	true	1147.65	1160.53	22.985054
6620_283138_000026_000008	Nor could it be supposed, at all times, in every man's power to attain every kind of mental more than of exterior beauty.	Nor could it be supposed, at all times, in every man's power to attain every kind of mental more than of exterior beauty.	true	1161.47	1167.61	22
6620_283138_000027_000000	And here there occurs the FOURTH reflection which I purposed to make, in suggesting the reason why modern philosophers have often followed a course in their moral enquiries so different from that of the ancients. In later times, philosophy of all kinds, especially ethics, have been more closely united with theology than ever they were observed to be among the heathens; and as this latter science admits of no terms of composition, but bends every branch of knowledge to its own purpose, without much regard to the phenomena of nature, or to the unbiassed sentiments of the mind, hence reasoning, and even language, have been warped from their natural course, and distinctions have been endeavoured to be established where the difference of the objects was, in a manner, imperceptible.	And here there occurs the FOURTH reflection which I purposed to make, in suggesting the reason why modern philosophers have often followed a course in their moral enquiries so different from that of the ancients. In later times, philosophy of all kinds, especially ethics, have been more closely united with theology than ever they were observed to be among the heathens; and as this latter science admits of no terms of composition, but bends every branch of knowledge to its own purpose, without much regard to the phenomena of nature, or to the unbiassed sentiments of the mind, hence reasoning, and even language, have been warped from their natural course, and distinctions have been endeavoured to be established where the difference of the objects was, in a manner, imperceptible.	false	1168.94	1209.01	22.0885
6620_283138_000027_000001	Philosophers, or rather divines under that disguise, treating all morals as on a like footing with civil laws, guarded by the sanctions of reward and punishment, were necessarily led to render this circumstance, of VOLUNTARY or INVOLUNTARY, the foundation of their whole theory.	Philosophers, or rather divines under that disguise, treating all morals as on a like footing with civil laws, guarded by the sanctions of reward and punishment, were necessarily led to render this circumstance, of VOLUNTARY or INVOLUNTARY, the foundation of their whole theory.	false	1209.89	1226.11	19.081242
6620_283138_000027_000002	Every one may employ TERMS in what sense he pleases: but this, in the mean time, must be allowed, that SENTIMENTS are every day experienced of blame and praise, which have objects beyond the dominion of the will or choice, and of which it behoves us, if not as moralists, as speculative philosophers at least, to give some satisfactory theory and explication.	Every one may employ TERMS in what sense he pleases: but this, in the mean time, must be allowed, that SENTIMENTS are every day experienced of blame and praise, which have objects beyond the dominion of the will or choice, and of which it behoves us, if not as moralists, as speculative philosophers at least, to give some satisfactory theory and explication.	true	1226.27	1244.47	22.386494
6620_283138_000028_000000	A blemish, a fault, a vice, a crime; these expressions seem to denote different degrees of censure and disapprobation; which are, however, all of them, at the bottom, pretty nearly all the same kind of species.	A blemish, a fault, a vice, a crime; these expressions seem to denote different degrees of censure and disapprobation; which are, however, all of them, at the bottom, pretty nearly all the same kind of species.	true	1245.41	1257.67	19.963566
6620_283138_000028_000001	The explication of one will easily lead us into a just conception of the others; and it is of greater consequence to attend to things than to verbal appellations.	The explication of one will easily lead us into a just conception of the others; and it is of greater consequence to attend to things than to verbal appellations.	true	1258.58	1267.15	23.118576
6620_283138_000028_000002	That we owe a duty to ourselves is confessed even in the most vulgar system of morals; and it must be of consequence to examine that duty, in order to see whether it bears any affinity to that which we owe to society.	That we owe a duty to ourselves is confessed even in the most vulgar system of morals; and it must be of consequence to examine that duty, in order to see whether it bears any affinity to that which we owe to society.	true	1267.7	1277.97	22.119736
6620_283138_000028_000003	It is probable that the approbation attending the observance of both is of a similar nature, and arises from similar principles, whatever appellation we may give to either of these excellencies.	It is probable that the approbation attending the observance of both is of a similar nature, and arises from similar principles, whatever appellation we may give to either of these excellencies.	false	1277.97	1303.74	21.502707
