54_121079_000000_000000	Chapter 61.	Chapter sixty one.	true	17.34	18.73	18
54_121079_000129_000000	"And a thousand francs a year."	"And a thousand francs a year."	true	1022.3	1024.06	21
54_121079_000130_000000	"Oh, heavens!"	"Oh, heavens!"	true	1024.49	1025.92	18.875755
54_121079_000131_000000	"Come, take them," and Monte Cristo forced the bank-notes into his hand.	"Come, take them," and Monte Cristo forced the bank notes into his hand.	true	1026.14	1030.78	19.780546
54_121079_000132_000000	"What am I to do?"	"What am I to do?"	true	1031.36	1032.55	27.023243
54_121079_000133_000000	"Nothing very difficult."	"Nothing very difficult."	true	1033.01	1034.68	24.931038
54_121079_000134_000000	"But what is it?"	"But what is it?"	true	1034.87	1036.12	25.402111
54_121079_000135_000000	"To repeat these signs." Monte Cristo took a paper from his pocket, upon which were drawn three signs, with numbers to indicate the order in which they were to be worked.	"To repeat these signs." Monte Cristo took a paper from his pocket, upon which were drawn three signs, with numbers to indicate the order in which they were to be worked.	true	1036.61	1048.84	21.161438
54_121079_000136_000000	"There, you see it will not take long."	"There, you see it will not take long."	true	1049.03	1051.84	20.684649
54_121079_000137_000000	"Yes; but"--	"Yes; but"--	true	1052.24	1053.43	28.317974
54_121079_000138_000000	"Do this, and you will have nectarines and all the rest." The shot told; red with fever, while the large drops fell from his brow, the man executed, one after the other, the three signs given by the count, in spite of the frightful contortions of the right-hand correspondent, who, not understanding the change, began to think the gardener had gone mad. As to the left-hand one, he conscientiously repeated the same signals, which were finally transmitted to the Minister of the Interior.	"Do this, and you will have nectarines and all the rest." The shot told; red with fever, while the large drops fell from his brow, the man executed, one after the other, the three signs given by the count, in spite of the frightful contortions of the right-hand correspondent, who, not understanding the change, began to think the gardener had gone mad. As to the left hand one, he conscientiously repeated the same signals, which were finally transmitted to the Minister of the Interior.	true	1054.19	1088.11	21.173983
54_121079_000138_000001	"Now you are rich," said Monte Cristo.	"Now you are rich," said Monte Cristo.	true	1088.54	1091.23	23.8106
54_121079_000139_000000	"Yes," replied the man, "but at what a price!"	"Yes," replied the man, "but at what a price!"	false	1091.69	1094.86	22.581873
54_121079_000140_000000	"Listen, friend," said Monte Cristo.	"Listen, friend," said Monte Cristo.	true	1096.16	1098.55	20.78018
54_121079_000140_000001	"I do not wish to cause you any remorse; believe me, then, when I swear to you that you have wronged no man, but on the contrary have benefited mankind." The man looked at the bank-notes, felt them, counted them, turned pale, then red, then rushed into his room to drink a glass of water, but he had no time to reach the water-jug, and fainted in the midst of his dried herbs.	"I do not wish to cause you any remorse; believe me, then, when I swear to you that you have wronged no man, but on the contrary have benefited mankind." The man looked at the bank notes, felt them, counted them, turned pale, then red, then rushed into his room to drink a glass of water, but he had no time to reach the water jug, and fainted in the midst of his dried herbs.	true	1098.83	1124.62	23.25155
54_121079_000140_000002	Five minutes after the new telegram reached the minister, Debray had the horses put to his carriage, and drove to Danglars' house.	Five minutes after the new telegram reached the minister, Debray had the horses put to his carriage, and drove to Danglars' house.	false	1124.99	1133.32	22.875763
54_121079_000141_000000	"Has your husband any Spanish bonds?" he asked of the baroness.	"Has your husband any Spanish bonds?" he asked of the baroness.	false	1134.47	1138.24	20
54_121079_000142_000000	"I think so, indeed!	"I think so, indeed!	true	1138.64	1140.55	21.879766
54_121079_000142_000001	He has six millions' worth."	He has six millions' worth."	true	1140.62	1142.62	21.71515
54_121079_000143_000000	"He must sell them at whatever price."	"He must sell them at whatever price."	true	1143.38	1145.59	19.204054
54_121079_000144_000000	"Why?"	"Why?"	true	1146.26	1147	20.682928
54_121079_000145_000000	"Because Don Carlos has fled from Bourges, and has returned to Spain."	"Because Don Carlos has fled from Bourges, and has returned to Spain."	true	1147.34	1152.4	21
54_121079_000146_000000	"How do you know?" Debray shrugged his shoulders.	"How do you know?" Debray shrugged his shoulders.	true	1152.71	1155.61	21.499691
54_121079_000146_000001	"The idea of asking how I hear the news," he said.	"The idea of asking how I hear the news," he said.	true	1155.8	1158.91	18
54_121079_000146_000002	The baroness did not wait for a repetition; she ran to her husband, who immediately hastened to his agent, and ordered him to sell at any price.	The baroness did not wait for a repetition; she ran to her husband, who immediately hastened to his agent, and ordered him to sell at any price.	true	1159.34	1168.63	20
54_121079_000146_000003	When it was seen that Danglars sold, the Spanish funds fell directly.	When it was seen that Danglars sold, the Spanish funds fell directly.	false	1168.91	1173.4	18.86364
54_121079_000146_000004	Danglars lost five hundred thousand francs; but he rid himself of all his Spanish shares. The same evening the following was read in Le Messager:	Danglars lost five hundred thousand francs; but he rid himself of all his Spanish shares. The same evening the following was read in Le Messager:	true	1173.53	1183	19.067902
54_121079_000147_000000	"[By telegraph.] The king, Don Carlos, has escaped the vigilance of his guardians at Bourges, and has returned to Spain by the Catalonian frontier.	"[By telegraph.] The king, Don Carlos, has escaped the vigilance of his guardians at Bourges, and has returned to Spain by the Catalonian frontier.	false	1183.94	1194.25	20
54_121079_000147_000001	Barcelona has risen in his favor."	Barcelona has risen in his favor."	true	1194.74	1197.07	18
54_121079_000148_000000	All that evening nothing was spoken of but the foresight of Danglars, who had sold his shares, and of the luck of the stock-jobber, who only lost five hundred thousand francs by such a blow.	All that evening nothing was spoken of but the foresight of Danglars, who had sold his shares, and of the luck of the stock jobber, who only lost five hundred thousand francs by such a blow.	true	1197.8	1210.66	21.623543
54_121079_000148_000001	Those who had kept their shares, or bought those of Danglars, looked upon themselves as ruined, and passed a very bad night.	Those who had kept their shares, or bought those of Danglars, looked upon themselves as ruined, and passed a very bad night.	true	1211	1219	21.569036
54_121079_000148_000002	Next morning Le Moniteur contained the following:	Next morning Le Moniteur contained the following:	false	1219.46	1222.92	21.011755
54_121079_000149_000000	"It was without any foundation that Le Messager yesterday announced the flight of Don Carlos and the revolt of Barcelona.	"It was without any foundation that Le Messager yesterday announced the flight of Don Carlos and the revolt of Barcelona.	true	1222.92	1231.66	19.072968
54_121079_000149_000001	The king (Don Carlos) has not left Bourges, and the peninsula is in the enjoyment of profound peace.	The king (Don Carlos) has not left Bourges, and the peninsula is in the enjoyment of profound peace.	true	1232.06	1239.28	19
54_121079_000149_000002	A telegraphic signal, improperly interpreted, owing to the fog, was the cause of this error."	A telegraphic signal, improperly interpreted, owing to the fog, was the cause of this error."	false	1239.62	1246.66	22.8295
54_121079_000150_000000	The funds rose one per cent higher than before they had fallen.	The funds rose one per cent higher than before they had fallen.	true	1247.09	1250.86	18
54_121079_000150_000001	This, reckoning his loss, and what he had missed gaining, made the difference of a million to Danglars.	This, reckoning his loss, and what he had missed gaining, made the difference of a million to Danglars.	true	1251.17	1258.27	20.760347
54_121079_000150_000002	"Good," said Monte Cristo to Morrel, who was at his house when the news arrived of the strange reverse of fortune of which Danglars had been the victim, "I have just made a discovery for twenty-five thousand francs, for which I would have paid a hundred thousand."	"Good," said Monte Cristo to Morrel, who was at his house when the news arrived of the strange reverse of fortune of which Danglars had been the victim, "I have just made a discovery for twenty five thousand francs, for which I would have paid a hundred thousand."	false	1258.64	1275.04	20.656227
54_121079_000151_000000	"What have you discovered?" asked Morrel.	"What have you discovered?" asked Morrel.	true	1275.68	1277.62	19.503113
54_121079_000152_000000	"I have just discovered how a gardener may get rid of the dormice that eat his peaches."	"I have just discovered how a gardener may get rid of the dormice that eat his peaches."	false	1278.77	1291.86	20.522894
