666_11243_000000_000000	CHAPTER XIII	CHAPTER thirteen	false	0.96	33.37	19.579752
666_11243_000074_000001	He removed the paper, and showed, in a frame of crimson plush, a common white plate decorated with a simple band and line, and a monogram in the centre--'A.T.' Anna blushed, recognising the plate which she had painted that afternoon in July at Mynors' works.	He removed the paper, and showed, in a frame of crimson plush, a common white plate decorated with a simple band and line, and a monogram in the centre-'a t' Anna blushed, recognising the plate which she had painted that afternoon in July at Mynors' works.	false	1052.96	1073.86	23.33845
666_11243_000075_000000	'Can you sell this?' Mynors asked Mrs. Sutton.	'Can you sell this?' Mynors asked mrs Sutton.	true	1074.29	1077.97	19.872896
666_11243_000076_000000	'I'll try to,' said Mrs. Sutton doubtfully--not in the secret.	'I'll try to,' said mrs Sutton doubtfully-not in the secret.	true	1078.13	1083.01	23.801664
666_11243_000076_000001	'What's it meant for?'	'What's it meant for?'	true	1083.14	1084.75	24.961237
666_11243_000077_000000	'Try to sell it to me,' said Mynors.	'Try to sell it to me,' said Mynors.	true	1085.36	1088.05	19
666_11243_000078_000000	'Well,' she laughed, 'what will you give?'	'Well,' she laughed, 'what will you give?'	true	1088.3	1091.26	24.846788
666_11243_000079_000000	'A couple of sovereigns.'	'A couple of sovereigns.'	true	1091.42	1093.24	20.958792
666_11243_000080_000000	'Make it guineas.'	'Make it guineas.'	true	1093.4	1094.8	24.474257
666_11243_000081_000000	He paid the money, and requested Anna to keep the plate for him.	He paid the money, and requested Anna to keep the plate for him.	true	1095.05	1099.18	26.593279
666_11243_000082_000000	At nine o'clock it was announced that, though raffling was forbidden, the bazaar would be enlivened by an auction.	At nine o'clock it was announced that, though raffling was forbidden, the bazaar would be enlivened by an auction.	true	1099.7	1107.67	23.606731
666_11243_000082_000001	A licensed auctioneer was brought, and the sale commenced.	A licensed auctioneer was brought, and the sale commenced.	true	1107.8	1112.44	23.399557
666_11243_000082_000002	The auctioneer, however, failed to attune himself to the wild spirit of the hour, and his professional efforts would have resulted in a fiasco had not Mynors, perceiving the danger, leaped to the platform and masterfully assumed the hammer. Mynors surpassed himself in the kind of wit that amuses an excited crowd, and the auction soon monopolised the attention of the room; it was always afterwards remembered as the crowning success of the bazaar. The incredible man took ten pounds in twenty minutes.	The auctioneer, however, failed to attune himself to the wild spirit of the hour, and his professional efforts would have resulted in a fiasco had not Mynors, perceiving the danger, leaped to the platform and masterfully assumed the hammer. Mynors surpassed himself in the kind of wit that amuses an excited crowd, and the auction soon monopolised the attention of the room; it was always afterwards remembered as the crowning success of the bazaar. The incredible man took ten pounds in twenty minutes.	true	1112.75	1150.87	22.616524
666_11243_000082_000003	During this episode Anna, who had been left alone in the stall, first noticed Willie Price in the room.	During this episode Anna, who had been left alone in the stall, first noticed Willie Price in the room.	true	1151.12	1159	21.489378
666_11243_000082_000004	His ship sailed on the Monday, but steerage passengers had to be aboard on Sunday, and he was saying good-bye to a few acquaintances.	His ship sailed on the Monday, but steerage passengers had to be aboard on Sunday, and he was saying good bye to a few acquaintances.	true	1159.22	1168.6	22
666_11243_000082_000005	He seemed quite cheerful, as he walked about with his hands in his pockets, chatting with this one and that; it was the false and hysterical gaiety that precedes a final separation.	He seemed quite cheerful, as he walked about with his hands in his pockets, chatting with this one and that; it was the false and hysterical gaiety that precedes a final separation.	true	1168.85	1181.61	22.653376
666_11243_000082_000006	As soon as he saw Anna he came towards her.	As soon as he saw Anna he came towards her.	true	1181.61	1184.89	20.63433
666_11243_000083_000000	'Well, good-bye, Miss Tellwright,' he said jauntily.	'Well, good bye, Miss Tellwright,' he said jauntily.	true	1185.38	1188.52	23.777079
666_11243_000083_000001	'I leave for Liverpool to-morrow morning.	'I leave for Liverpool to morrow morning.	true	1188.74	1191.55	19
666_11243_000083_000002	Wish me luck.'	Wish me luck.'	true	1191.62	1192.96	23.805645
666_11243_000084_000000	Nothing more; no word, no accent, to recall the terrible but sublime past.	Nothing more; no word, no accent, to recall the terrible but sublime past.	true	1193.48	1200.13	20.89212
666_11243_000085_000000	'I do,' she answered.	'I do,' she answered.	true	1200.38	1202.5	20.30574
666_11243_000085_000001	They shook hands.	They shook hands.	true	1202.63	1204.15	20.716223
666_11243_000085_000002	Others approaching, he drifted away.	Others approaching, he drifted away.	true	1204.28	1207.48	21.367506
666_11243_000085_000003	Her glance followed him like a beneficent influence.	Her glance followed him like a beneficent influence.	true	1207.7	1212.07	25.864973
666_11243_000086_000000	For three days she had carried in her pocket an envelope containing a bank-note for a hundred pounds, intending by some device to force it on him as a parting gift.	For three days she had carried in her pocket an envelope containing a bank note for a hundred pounds, intending by some device to force it on him as a parting gift.	true	1212.65	1224.55	21.39286
666_11243_000086_000001	Now the last chance was lost, and she had not even attempted this difficult feat of charity.	Now the last chance was lost, and she had not even attempted this difficult feat of charity.	true	1224.71	1231.66	23.16902
666_11243_000086_000002	Such futility, she reflected, self-scorning, was of a piece with her life.	Such futility, she reflected, self scorning, was of a piece with her life.	true	1231.94	1238.11	22.867256
666_11243_000086_000003	'He hasn't really gone.	'He hasn't really gone.	true	1238.84	1240.72	17.633448
666_11243_000086_000004	He hasn't really gone,' she kept repeating, and yet knew well that he had gone.	He hasn't really gone,' she kept repeating, and yet knew well that he had gone.	true	1240.91	1246.6	20.532267
666_11243_000087_000000	'Do you know what they are saying, Anna?' said Beatrice, when, after eleven o'clock, the bazaar was closed to the public, and the stall-holders and their assistants were preparing to depart, their movements hastened by the stern aspect of the town-hall keeper.	'Do you know what they are saying, Anna?' said Beatrice, when, after eleven o'clock, the bazaar was closed to the public, and the stall holders and their assistants were preparing to depart, their movements hastened by the stern aspect of the town hall keeper.	true	1247.42	1263.88	22.128
666_11243_000088_000000	'No. What?' said Anna; and in the same moment guessed.	'no What?' said Anna; and in the same moment guessed.	true	1264.46	1268.35	24.580492
666_11243_000089_000000	'They say old Titus Price embezzled fifty pounds from the building fund, and Henry made it up, privately, so that there shouldn't be a scandal.	'They say old titus Price embezzled fifty pounds from the building fund, and Henry made it up, privately, so that there shouldn't be a scandal.	true	1268.75	1279.87	21.698244
666_11243_000089_000001	Just fancy!	Just fancy!	true	1279.88	1281.28	20.698875
666_11243_000089_000002	Do you believe it?'	Do you believe it?'	true	1281.38	1282.72	23.77215
666_11243_000090_000000	The secret was abroad.	The secret was abroad.	true	1283.48	1285.37	25.314945
666_11243_000090_000001	She looked round the room, and saw it in every face.	She looked round the room, and saw it in every face.	true	1285.37	1289.14	22
666_11243_000091_000000	'Who says?' Anna demanded fiercely.	'Who says?' Anna demanded fiercely.	true	1289.33	1292.05	22.328003
666_11243_000092_000000	'It's all over the place.	'It's all over the place.	true	1292.27	1294.15	19.527126
666_11243_000092_000001	Miss Dickinson told me.'	Miss Dickinson told me.'	true	1294.16	1296.04	24.320473
666_11243_000093_000000	'You will be glad to know, ladies,' Mynors' voice sang out from the platform, 'that the total proceeds, so far as we can calculate them now, exceed five hundred and twenty-five pounds.'	'You will be glad to know, ladies,' Mynors' voice sang out from the platform, 'that the total proceeds, so far as we can calculate them now, exceed five hundred and twenty five pounds.'	false	1296.32	1310.43	22.818485
666_11243_000094_000000	There was clapping of hands, which died out suddenly.	There was clapping of hands, which died out suddenly.	true	1310.43	1314.16	23
666_11243_000095_000000	'Now Agnes,' Anna called, 'come along, quick; you're as white as a sheet.	'Now Agnes,' Anna called, 'come along, quick; you're as white as a sheet.	true	1314.59	1320.46	23.646605
666_11243_000095_000001	Good-night, Mrs. Sutton; good-night, Bee.'	Good night, mrs Sutton; good night, Bee.'	true	1320.46	1323.52	24.008703
666_11243_000096_000000	Mynors was still occupied on the platform.	Mynors was still occupied on the platform.	true	1323.83	1326.85	23.456928
666_11243_000097_000000	The town-hall keeper extinguished some of the lights.	The town hall keeper extinguished some of the lights.	true	1327.01	1330.62	23.10938
666_11243_000097_000001	The bazaar was over.	The bazaar was over.	true	1330.62	1332.42	19.181164
666_11243_000098_000000	[1] _Cut_: canal.	[one] underscore Cut underscore: canal.	false	1332.42	1334.13	-20
666_11243_000099_000000	CHAPTER XIV	CHAPTER fourteen	false	1334.13	1334.82	-20
666_11243_000100_000000	END OF A SIMPLE SOUL	END OF A SIMPLE SOUL	false	1334.82	1336.29	21.62154
666_11243_000101_000000	The next morning, at half-past seven, Anna was standing in the garden-doorway of the Priory.	The next morning, at half past seven, Anna was standing in the garden doorway of the Priory.	false	1336.29	1340.01	25.269117
666_11243_000101_000001	The sun had just risen, the air was cold; roof and pavement were damp; rain had fallen, and more was to fall.	The sun had just risen, the air was cold; roof and pavement were damp; rain had fallen, and more was to fall.	false	1340.01	1343.13	15.1356
666_11243_000101_000002	A door opened higher up the street, and Willie Price came out, carrying a small bag.	A door opened higher up the street, and Willie Price came out, carrying a small bag.	false	1343.13	1343.13	
666_11243_000101_000003	He turned to speak to some person within the house, and then stepped forward.	He turned to speak to some person within the house, and then stepped forward.	false	1343.13	1343.13	
666_11243_000101_000004	As he passed Anna she sprang forth.	As he passed Anna she sprang forth.	false	1343.13	1343.13	
