1473_135657_000000_000000	OF LIBERTY AND NECESSITY.	OF LIBERTY AND NECESSITY.	true	26.46	28.48	22.547062
1473_135657_000019_000005	Where would be the foundation of _morals,_ if particular characters had no certain or determinate power to produce particular sentiments, and if these sentiments had no constant operation on actions?	Where would be the foundation of underscore morals,underscore if particular characters had no certain or determinate power to produce particular sentiments, and if these sentiments had no constant operation on actions?	false	1198.46	1208.8	16
1473_135657_000019_000006	And with what pretence could we employ our _criticism_ upon any poet or polite author, if we could not pronounce the conduct and sentiments of his actors either natural or unnatural to such characters, and in such circumstances?	And with what pretence could we employ our underscore criticism underscore upon any poet or polite author, if we could not pronounce the conduct and sentiments of his actors either natural or unnatural to such characters, and in such circumstances?	false	1209.47	1221.91	15
1473_135657_000019_000007	It seems almost impossible, therefore, to engage either in science or action of any kind without acknowledging the doctrine of necessity, and this _inference_ from motive to voluntary actions, from characters to conduct.	It seems almost impossible, therefore, to engage either in science or action of any kind without acknowledging the doctrine of necessity, and this underscore inference underscore from motive to voluntary actions, from characters to conduct.	false	1222.61	1235.62	15
1473_135657_000020_000000	And indeed, when we consider how aptly _natural_ and _moral_ evidence link together, and form only one chain of argument, we shall make no scruple to allow that they are of the same nature, and derived from the same principles.	And indeed, when we consider how aptly underscore natural underscore and underscore moral underscore evidence link together, and form only one chain of argument, we shall make no scruple to allow that they are of the same nature, and derived from the same principles.	false	1235.93	1248.7	15
1473_135657_000020_000001	A prisoner who has neither money nor interest, discovers the impossibility of his escape, as well when he considers the obstinacy of the gaoler, as the walls and bars with which he is surrounded; and, in all attempts for his freedom, chooses rather to work upon the stone and iron of the one, than upon the inflexible nature of the other.	A prisoner who has neither money nor interest, discovers the impossibility of his escape, as well when he considers the obstinacy of the gaoler, as the walls and bars with which he is surrounded; and, in all attempts for his freedom, chooses rather to work upon the stone and iron of the one, than upon the inflexible nature of the other.	true	1249.16	1267.81	15
1473_135657_000020_000002	The same prisoner, when conducted to the scaffold, foresees his death as certainly from the constancy and fidelity of his guards, as from the operation of the axe or wheel.	The same prisoner, when conducted to the scaffold, foresees his death as certainly from the constancy and fidelity of his guards, as from the operation of the axe or wheel.	true	1268.33	1278.34	19
1473_135657_000020_000003	His mind runs along a certain train of ideas: The refusal of the soldiers to consent to his escape; the action of the executioner; the separation of the head and body; bleeding, convulsive motions, and death.	His mind runs along a certain train of ideas: The refusal of the soldiers to consent to his escape; the action of the executioner; the separation of the head and body; bleeding, convulsive motions, and death.	true	1278.68	1291.81	18
1473_135657_000020_000004	Here is a connected chain of natural causes and voluntary actions; but the mind feels no difference between them in passing from one link to another: Nor is less certain of the future event than if it were connected with the objects present to the memory or senses, by a train of causes, cemented together by what we are pleased to call a _physical_ necessity.	Here is a connected chain of natural causes and voluntary actions; but the mind feels no difference between them in passing from one link to another: Nor is less certain of the future event than if it were connected with the objects present to the memory or senses, by a train of causes, cemented together by what we are pleased to call a underscore physical underscore necessity.	false	1292.39	1312.42	16
1473_135657_000020_000005	The same experienced union has the same effect on the mind, whether the united objects be motives, volition, and actions; or figure and motion.	The same experienced union has the same effect on the mind, whether the united objects be motives, volition, and actions; or figure and motion.	true	1313.09	1322.08	18
1473_135657_000020_000006	We may change the name of things; but their nature and their operation on the understanding never change.	We may change the name of things; but their nature and their operation on the understanding never change.	false	1322.12	1327.72	15
1473_135657_000021_000000	Were a man, whom I know to be honest and opulent, and with whom I live in intimate friendship, to come into my house, where I am surrounded with my servants, I rest assured that he is not to stab me before he leaves it in order to rob me of my silver standish; and I no more suspect this event than the falling of the house itself, which is new, and solidly built and founded._--But he may have been seized with a sudden and unknown frenzy.--_So may a sudden earthquake arise, and shake and tumble my house about my ears.	Were a man, whom I know to be honest and opulent, and with whom I live in intimate friendship, to come into my house, where I am surrounded with my servants, I rest assured that he is not to stab me before he leaves it in order to rob me of my silver standish; and I no more suspect this event than the falling of the house itself, which is new, and solidly built and founded.underscore--But he may have been seized with a sudden and unknown frenzy.--underscore So may a sudden earthquake arise, and shake and tumble my house about my ears.	false	1328.09	1359.7	20
1473_135657_000021_000001	I shall therefore change the suppositions.	I shall therefore change the suppositions.	true	1360.61	1363.12	21
1473_135657_000021_000002	I shall say that I know with certainty that he is not to put his hand into the fire and hold it there till it be consumed: And this event, I think I can foretell with the same assurance, as that, if he throw himself out at the window, and meet with no obstruction, he will not remain a moment suspended in the air.	I shall say that I know with certainty that he is not to put his hand into the fire and hold it there till it be consumed: And this event, I think I can foretell with the same assurance, as that, if he throw himself out at the window, and meet with no obstruction, he will not remain a moment suspended in the air.	true	1363.22	1381.15	17
1473_135657_000021_000003	No suspicion of an unknown frenzy can give the least possibility to the former event, which is so contrary to all the known principles of human nature.	No suspicion of an unknown frenzy can give the least possibility to the former event, which is so contrary to all the known principles of human nature.	true	1381.85	1390.72	15
1473_135657_000021_000004	A man who at noon leaves his purse full of gold on the pavement at Charing-Cross, may as well expect that it will fly away like a feather, as that he will find it untouched an hour after.	A man who at noon leaves his purse full of gold on the pavement at Charing Cross, may as well expect that it will fly away like a feather, as that he will find it untouched an hour after.	false	1391.57	1402.6	17
1473_135657_000021_000005	Above one half of human reasonings contain inferences of a similar nature, attended with more or less degrees of certainty proportioned to our experience of the usual conduct of mankind in such particular situations.	Above one half of human reasonings contain inferences of a similar nature, attended with more or less degrees of certainty proportioned to our experience of the usual conduct of mankind in such particular situations.	true	1403.33	1417.02	14
1473_135657_000022_000000	71.	seventy one.	false	1417.02	1417.65	3
1473_135657_000022_000001	I have frequently considered, what could possibly be the reason why all mankind, though they have ever, without hesitation, acknowledged the doctrine of necessity in their whole practice and reasoning, have yet discovered such a reluctance to acknowledge it in words, and have rather shown a propensity, in all ages, to profess the contrary opinion.	I have frequently considered, what could possibly be the reason why all mankind, though they have ever, without hesitation, acknowledged the doctrine of necessity in their whole practice and reasoning, have yet discovered such a reluctance to acknowledge it in words, and have rather shown a propensity, in all ages, to profess the contrary opinion.	false	1417.65	1437.34	16
1473_135657_000022_000002	The matter, I think, may be accounted for after the following manner.	The matter, I think, may be accounted for after the following manner.	true	1437.77	1441.57	18
1473_135657_000022_000003	If we examine the operations of body, and the production of effects from their causes, we shall find that all our faculties can never carry us farther in our knowledge of this relation than barely to observe that particular objects are _constantly conjoined_ together, and that the mind is carried, by a _customary transition,_ from the appearance of one to the belief of the other.	If we examine the operations of body, and the production of effects from their causes, we shall find that all our faculties can never carry us farther in our knowledge of this relation than barely to observe that particular objects are underscore constantly conjoined underscore together, and that the mind is carried, by a underscore customary transition,underscore from the appearance of one to the belief of the other.	false	1441.7	1462.42	18
1473_135657_000022_000004	But though this conclusion concerning human ignorance be the result of the strictest scrutiny of this subject, men still entertain a strong propensity to believe that they penetrate farther into the powers of nature, and perceive something like a necessary connexion between the cause and the effect.	But though this conclusion concerning human ignorance be the result of the strictest scrutiny of this subject, men still entertain a strong propensity to believe that they penetrate farther into the powers of nature, and perceive something like a necessary connexion between the cause and the effect.	false	1463.45	1478.41	15
1473_135657_000022_000005	When again they turn their reflections towards the operations of their own minds, and _feel_ no such connexion of the motive and the action; they are thence apt to suppose, that there is a difference between the effects which result from material force, and those which arise from thought and intelligence.	When again they turn their reflections towards the operations of their own minds, and underscore feel underscore no such connexion of the motive and the action; they are thence apt to suppose, that there is a difference between the effects which result from material force, and those which arise from thought and intelligence.	false	1478.63	1494.87	18
1473_135657_000022_000006	But being once convinced that we know nothing farther of causation of any kind than merely the _constant conjunction_ of objects, and the consequent _inference_ of the mind from one to another, and finding that these two circumstances are universally allowed to have place in voluntary actions; we may be more easily led to own the same necessity common to all causes.	But being once convinced that we know nothing farther of causation of any kind than merely the underscore constant conjunction underscore of objects, and the consequent underscore inference underscore of the mind from one to another, and finding that these two circumstances are universally allowed to have place in voluntary actions; we may be more easily led to own the same necessity common to all causes.	false	1494.87	1514.89	14
1473_135657_000022_000007	And though this reasoning may contradict the systems of many philosophers, in ascribing necessity to the determinations of the will, we shall find, upon reflection, that they dissent from it in words only, not in their real sentiment.	And though this reasoning may contradict the systems of many philosophers, in ascribing necessity to the determinations of the will, we shall find, upon reflection, that they dissent from it in words only, not in their real sentiment.	true	1516.07	1529.98	15
1473_135657_000022_000008	Necessity, according to the sense in which it is here taken, has never yet been rejected, nor can ever, I think, be rejected by any philosopher.	Necessity, according to the sense in which it is here taken, has never yet been rejected, nor can ever, I think, be rejected by any philosopher.	false	1530.98	1539.7	17
1473_135657_000022_000009	It may only, perhaps, be pretended that the mind can perceive, in the operations of matter, some farther connexion between the cause and effect; and connexion that has not place in voluntary actions of intelligent beings.	It may only, perhaps, be pretended that the mind can perceive, in the operations of matter, some farther connexion between the cause and effect; and connexion that has not place in voluntary actions of intelligent beings.	true	1540.7	1553.47	15
1473_135657_000022_000010	Now whether it be so or not, can only appear upon examination; and it is incumbent on these philosophers to make good their assertion, by defining or describing that necessity, and pointing it out to us in the operations of material causes.	Now whether it be so or not, can only appear upon examination; and it is incumbent on these philosophers to make good their assertion, by defining or describing that necessity, and pointing it out to us in the operations of material causes.	false	1553.93	1568.61	18
1473_135657_000023_000000	72.	seventy two.	false	1568.61	1569.81	-20
1473_135657_000023_000001	It would seem, indeed, that men begin at the wrong end of this question concerning liberty and necessity, when they enter upon it by examining the faculties of the soul, the influence of the understanding, and the operations of the will.	It would seem, indeed, that men begin at the wrong end of this question concerning liberty and necessity, when they enter upon it by examining the faculties of the soul, the influence of the understanding, and the operations of the will.	false	1569.81	1582.45	15
1473_135657_000023_000002	Let them first discuss a more simple question, namely, the operations of body and of brute unintelligent matter; and try whether they can there form any idea of causation and necessity, except that of a constant conjunction of objects, and subsequent inference of the mind from one to another.	Let them first discuss a more simple question, namely, the operations of body and of brute unintelligent matter; and try whether they can there form any idea of causation and necessity, except that of a constant conjunction of objects, and subsequent inference of the mind from one to another.	false	1583.27	1601.38	17
1473_135657_000023_000003	If these circumstances form, in reality, the whole of that necessity, which we conceive in matter, and if these circumstances be also universally acknowledged to take place in the operations of the mind, the dispute is at an end; at least, must be owned to be thenceforth merely verbal.	If these circumstances form, in reality, the whole of that necessity, which we conceive in matter, and if these circumstances be also universally acknowledged to take place in the operations of the mind, the dispute is at an end; at least, must be owned to be thenceforth merely verbal.	false	1602.65	1619.47	15
1473_135657_000023_000004	But as long as we will rashly suppose, that we have some farther idea of necessity and causation in the operations of external objects; at the same time, that we can find nothing farther in the voluntary actions of the mind; there is no possibility of bringing the question to any determinate issue, while we proceed upon so erroneous a supposition.	But as long as we will rashly suppose, that we have some farther idea of necessity and causation in the operations of external objects; at the same time, that we can find nothing farther in the voluntary actions of the mind; there is no possibility of bringing the question to any determinate issue, while we proceed upon so erroneous a supposition.	false	1619.84	1639.21	14
1473_135657_000023_000005	The only method of undeceiving us is to mount up higher; to examine the narrow extent of science when applied to material causes; and to convince ourselves that all we know of them is the constant conjunction and inference above mentioned.	The only method of undeceiving us is to mount up higher; to examine the narrow extent of science when applied to material causes; and to convince ourselves that all we know of them is the constant conjunction and inference above mentioned.	false	1639.55	1652.08	15
1473_135657_000023_000006	We may, perhaps, find that it is with difficulty we are induced to fix such narrow limits to human understanding: But we can afterwards find no difficulty when we come to apply this doctrine to the actions of the will.	We may, perhaps, find that it is with difficulty we are induced to fix such narrow limits to human understanding: But we can afterwards find no difficulty when we come to apply this doctrine to the actions of the will.	true	1652.45	1664.56	17
1473_135657_000023_000007	For as it is evident that these have a regular conjunction with motives and circumstances and characters, and as we always draw inferences from one to the other, we must be obliged to acknowledge in words that necessity, which we have already avowed, in every deliberation of our lives, and in every step of our conduct and behaviour.[17]	For as it is evident that these have a regular conjunction with motives and circumstances and characters, and as we always draw inferences from one to the other, we must be obliged to acknowledge in words that necessity, which we have already avowed, in every deliberation of our lives, and in every step of our conduct and behaviour.[seventeen]	false	1665.23	1685.13	18
1473_135657_000024_000000	[17] The prevalence of the doctrine of liberty may be accounted for, from another cause, viz. a false sensation or seeming experience which we have, or may have, of liberty or indifference, in many of our actions.	[seventeen] The prevalence of the doctrine of liberty may be accounted for, from another cause, viz. a false sensation or seeming experience which we have, or may have, of liberty or indifference, in many of our actions.	false	1685.13	1699.33	19.955845
1473_135657_000024_000001	The necessity of any action, whether of matter or of mind, is not, properly speaking, a quality in the agent, but in any thinking or intelligent being, who may consider the action; and it consists chiefly in the determination of his thoughts to infer the existence of that action from some preceding objects; as liberty, when opposed to necessity, is nothing but the want of that determination, and a certain looseness or indifference, which we feel, in passing, or not passing, from the idea of one object to that of any succeeding one.	The necessity of any action, whether of matter or of mind, is not, properly speaking, a quality in the agent, but in any thinking or intelligent being, who may consider the action; and it consists chiefly in the determination of his thoughts to infer the existence of that action from some preceding objects; as liberty, when opposed to necessity, is nothing but the want of that determination, and a certain looseness or indifference, which we feel, in passing, or not passing, from the idea of one object to that of any succeeding one.	false	1699.46	1730.86	17
1473_135657_000024_000002	Now we may observe, that, though, in _reflecting_ on human actions, we seldom feel such a looseness, or indifference, but are commonly able to infer them with considerable certainty from their motives, and from the dispositions of the agent; yet it frequently happens, that, in _performing_ the actions themselves, we are sensible of something like it: And as all resembling objects are readily taken for each other, this has been employed as a demonstrative and even intuitive proof of human liberty.	Now we may observe, that, though, in underscore reflecting underscore on human actions, we seldom feel such a looseness, or indifference, but are commonly able to infer them with considerable certainty from their motives, and from the dispositions of the agent; yet it frequently happens, that, in underscore performing underscore the actions themselves, we are sensible of something like it: And as all resembling objects are readily taken for each other, this has been employed as a demonstrative and even intuitive proof of human liberty.	false	1731.59	1759.21	19
1473_135657_000024_000003	We feel, that our actions are subject to our will, on most occasions; and imagine we feel, that the will itself is subject to nothing, because, when by a denial of it we are provoked to try, we feel, that it moves easily every way, and produces an image of itself (or a _Velleity,_ as it is called in the schools) even on that side, on which it did not settle.	We feel, that our actions are subject to our will, on most occasions; and imagine we feel, that the will itself is subject to nothing, because, when by a denial of it we are provoked to try, we feel, that it moves easily every way, and produces an image of itself (or a underscore Velleity,underscore as it is called in the schools) even on that side, on which it did not settle.	false	1759.94	1781.92	17
1473_135657_000024_000004	This image, or faint motion, we persuade ourselves, could, at that time, have been compleated into the thing itself; because, should that be denied, we find, upon a second trial, that, at present, it can.	This image, or faint motion, we persuade ourselves, could, at that time, have been compleated into the thing itself; because, should that be denied, we find, upon a second trial, that, at present, it can.	true	1782.5	1795.15	19.603287
1473_135657_000024_000005	We consider not, that the fantastical desire of shewing liberty, is here the motive of our actions.	We consider not, that the fantastical desire of shewing liberty, is here the motive of our actions.	true	1795.52	1801.39	19
1473_135657_000024_000006	And it seems certain, that, however we may imagine we feel a liberty within ourselves, a spectator can commonly infer our actions from our motives and character; and even where he cannot, he concludes in general, that he might, were he perfectly acquainted with every circumstance of our situation and temper, and the most secret springs of our complexion and disposition.	And it seems certain, that, however we may imagine we feel a liberty within ourselves, a spectator can commonly infer our actions from our motives and character; and even where he cannot, he concludes in general, that he might, were he perfectly acquainted with every circumstance of our situation and temper, and the most secret springs of our complexion and disposition.	true	1801.55	1822.92	17
1473_135657_000024_000007	Now this is the very essence of necessity, according to the foregoing doctrine.	Now this is the very essence of necessity, according to the foregoing doctrine.	true	1822.92	1827.75	16
1473_135657_000025_000000	73.	seventy three.	false	1827.75	1833.45	18.85535
1473_135657_000025_000001	But to proceed in this reconciling project with regard to the question of liberty and necessity; the most contentious question of metaphysics, the most contentious science; it will not require many words to prove, that all mankind have ever agreed in the doctrine of liberty as well as in that of necessity, and that the whole dispute, in this respect also, has been hitherto merely verbal.	But to proceed in this reconciling project with regard to the question of liberty and necessity; the most contentious question of metaphysics, the most contentious science; it will not require many words to prove, that all mankind have ever agreed in the doctrine of liberty as well as in that of necessity, and that the whole dispute, in this respect also, has been hitherto merely verbal.	false	1833.45	1853.47	16
1473_135657_000025_000002	For what is meant by liberty, when applied to voluntary actions?	For what is meant by liberty, when applied to voluntary actions?	true	1853.96	1857.31	17
1473_135657_000025_000003	We cannot surely mean that actions have so little connexion with motives, inclinations, and circumstances, that one does not follow with a certain degree of uniformity from the other, and that one affords no inference by which we can conclude the existence of the other.	We cannot surely mean that actions have so little connexion with motives, inclinations, and circumstances, that one does not follow with a certain degree of uniformity from the other, and that one affords no inference by which we can conclude the existence of the other.	true	1857.98	1871.77	14
1473_135657_000025_000004	For these are plain and acknowledged matters of fact.	For these are plain and acknowledged matters of fact.	true	1871.78	1875.28	20
1473_135657_000025_000005	By liberty, then, we can only mean _a power of acting or not acting, according to the determinations of the will;_ that is, if we choose to remain at rest, we may; if we choose to move, we also may.	By liberty, then, we can only mean underscore a power of acting or not acting, according to the determinations of the will;underscore that is, if we choose to remain at rest, we may; if we choose to move, we also may.	false	1875.38	1887.73	19
1473_135657_000025_000006	Now this hypothetical liberty is universally allowed to belong to every one who is not a prisoner and in chains.	Now this hypothetical liberty is universally allowed to belong to every one who is not a prisoner and in chains.	true	1887.92	1893.79	13
1473_135657_000025_000007	Here, then, is no subject of dispute.	Here, then, is no subject of dispute.	true	1894.07	1897.05	19.18033
1473_135657_000026_000000	74.	seventy four.	false	1897.05	1897.68	-20
1473_135657_000026_000001	Whatever definition we may give of liberty, we should be careful to observe two requisite circumstances; _first,_ that it be consistent with plain matter of fact; _secondly,_ that it be consistent with itself.	Whatever definition we may give of liberty, we should be careful to observe two requisite circumstances; underscore first,underscore that it be consistent with plain matter of fact; underscore secondly,underscore that it be consistent with itself.	false	1897.68	1910.44	19.573015
1473_135657_000026_000002	If we observe these circumstances, and render our definition intelligible, I am persuaded that all mankind will be found of one opinion with regard to it.	If we observe these circumstances, and render our definition intelligible, I am persuaded that all mankind will be found of one opinion with regard to it.	true	1910.78	1920.19	19
1473_135657_000027_000000	It is universally allowed that nothing exists without a cause of its existence, and that chance, when strictly examined, is a mere negative word, and means not any real power which has anywhere a being in nature. But it is pretended that some causes are necessary, some not necessary. Here then is the advantage of definitions.	It is universally allowed that nothing exists without a cause of its existence, and that chance, when strictly examined, is a mere negative word, and means not any real power which has anywhere a being in nature. But it is pretended that some causes are necessary, some not necessary. Here then is the advantage of definitions.	true	1920.8	1941.67	19
1473_135657_000027_000001	Let any one _define_ a cause, without comprehending, as a part of the definition, a _necessary connexion_ with its effect; and let him show distinctly the origin of the idea, expressed by the definition; and I shall readily give up the whole controversy.	Let any one underscore define underscore a cause, without comprehending, as a part of the definition, a underscore necessary connexion underscore with its effect; and let him show distinctly the origin of the idea, expressed by the definition; and I shall readily give up the whole controversy.	false	1942.04	1956.58	19
1473_135657_000027_000002	But if the foregoing explication of the matter be received, this must be absolutely impracticable.	But if the foregoing explication of the matter be received, this must be absolutely impracticable.	true	1957.52	1964.29	20.108452
1473_135657_000027_000003	Had not objects a regular conjunction with each other, we should never have entertained any notion of cause and effect; and this regular conjunction produces that inference of the understanding, which is the only connexion, that we can have any comprehension of.	Had not objects a regular conjunction with each other, we should never have entertained any notion of cause and effect; and this regular conjunction produces that inference of the understanding, which is the only connexion, that we can have any comprehension of.	false	1964.33	1977.76	16
1473_135657_000027_000004	Whoever attempts a definition of cause, exclusive of these circumstances, will be obliged either to employ unintelligible terms or such as are synonymous to the term which he endeavours to define.[18] And if the definition above mentioned be admitted; liberty, when opposed to necessity, not to constraint, is the same thing with chance; which is universally allowed to have no existence.	Whoever attempts a definition of cause, exclusive of these circumstances, will be obliged either to employ unintelligible terms or such as are synonymous to the term which he endeavours to define.[eighteen] And if the definition above mentioned be admitted; liberty, when opposed to necessity, not to constraint, is the same thing with chance; which is universally allowed to have no existence.	false	1978.25	2055.57	19.80555
