4860_13185_000000_000000	THE ISLE OF BLASTED HOPES.	THE ISLE OF BLASTED HOPES.	true	23.7	25.81	27.095686
4860_13185_000033_000000	The order was obeyed and when the smoke cleared away the print dress was gone, but all the rest of the plunder was recovered on the spot. The shirts were stripped off the bodies of the blacks; and after they had been rinsed in a water-hole, they were found to have been not much damaged, each shirt having only a small bullet hole in it.	The order was obeyed and when the smoke cleared away the print dress was gone, but all the rest of the plunder was recovered on the spot. The shirts were stripped off the bodies of the blacks; and after they had been rinsed in a water hole, they were found to have been not much damaged, each shirt having only a small bullet hole in it.	false	1036.19	1054.2	22.861889
4860_13185_000033_000001	It was in this way that the lilac dress escaped, and was found in the canoe at the Old Port; the blackfellow who wore it had taken it off and put it under his knees in the bottom of his canoe, and when the white men's boat came after him, he was in so great a hurry to hide himself in the scrub that he left the dress behind.	It was in this way that the lilac dress escaped, and was found in the canoe at the Old Port; the blackfellow who wore it had taken it off and put it under his knees in the bottom of his canoe, and when the white men's boat came after him, he was in so great a hurry to hide himself in the scrub that he left the dress behind.	false	1054.2	1073.5	23.744564
4860_13185_000034_000000	Next day there was a sudden alarm in the camp at the Old Port. Clancy and Dick the Devil came running toward the beach, full of fear and excitement, screaming, "The blacks, the blacks, they are coming, hundreds of them, and they are all naked, and daubed over white, and they have long spears."	Next day there was a sudden alarm in the camp at the Old Port. Clancy and Dick the Devil came running toward the beach, full of fear and excitement, screaming, "The blacks, the blacks, they are coming, hundreds of them, and they are all naked, and daubed over white, and they have long spears."	false	1073.75	1090.39	24.114325
4860_13185_000035_000000	The men who had guns--Campbell, Shay, and Davy--fetched them out of their huts and stood ready to receive the enemy; even McClure, although very weak, left his bed and came outside to assist in the fight.	The men who had guns-Campbell, Shay, and Davy-fetched them out of their huts and stood ready to receive the enemy; even McClure, although very weak, left his bed and came outside to assist in the fight.	true	1090.39	1102.1	22.386927
4860_13185_000035_000001	The fringe of the scrub was dotted with the piebald bodies of the blacks, dancing about, brandishing their spears, and shouting defiance at the white men.	The fringe of the scrub was dotted with the piebald bodies of the blacks, dancing about, brandishing their spears, and shouting defiance at the white men.	true	1102.1	1110.12	19
4860_13185_000035_000002	They were not in hundreds, as the boys imagined, their number apparently not exceeding forty; but it was evident that they were threatening death and destruction to the invaders of their territory.	They were not in hundreds, as the boys imagined, their number apparently not exceeding forty; but it was evident that they were threatening death and destruction to the invaders of their territory.	true	1110.12	1119.64	24.483263
4860_13185_000035_000003	None, however, but the very bravest ventured far into the cleared space, and they showed no disposition to make a rush or anything like a concerted attack.	None, however, but the very bravest ventured far into the cleared space, and they showed no disposition to make a rush or anything like a concerted attack.	true	1119.64	1129	21.261517
4860_13185_000036_000000	Campbell, after watching the enemy's movements for some time, said, "I think it will be better to give them a taste of the nine-pounder. Keep a look-out while I load her."	Campbell, after watching the enemy's movements for some time, said, "I think it will be better to give them a taste of the nine pounder. Keep a look out while I load her."	false	1129.13	1138.59	24.485401
4860_13185_000037_000000	He went into his store to get the charge ready.	He went into his store to get the charge ready.	true	1138.59	1141.18	22.297415
4860_13185_000037_000001	He tied some powder tightly in a piece of calico and rammed it home.	He tied some powder tightly in a piece of calico and rammed it home.	true	1141.28	1144.99	25.065489
4860_13185_000037_000002	On this he put a nine-pound shot; but, reflecting that the aim at the dancing savages would be uncertain, he put in a double charge, consisting of some broken glass and a handful of nails.	On this he put a nine pound shot; but, reflecting that the aim at the dancing savages would be uncertain, he put in a double charge, consisting of some broken glass and a handful of nails.	true	1144.99	1156.72	22
4860_13185_000038_000000	He then thrust a wooden skewer down the touch-hole into the powder bag below, primed and directed the piece towards the scrub, giving it, as he judged, sufficient elevation to send the charge among the thickest of the foe.	He then thrust a wooden skewer down the touch hole into the powder bag below, primed and directed the piece towards the scrub, giving it, as he judged, sufficient elevation to send the charge among the thickest of the foe.	true	1156.91	1169.17	21.72885
4860_13185_000038_000001	As this was the first time the gun had been brought into action, and there was no telling for certain which way it would act, Campbell thought it best to be cautious; so he ordered all his men to take shelter behind the store.	As this was the first time the gun had been brought into action, and there was no telling for certain which way it would act, Campbell thought it best to be cautious; so he ordered all his men to take shelter behind the store.	false	1169.18	1180.99	23.506493
4860_13185_000038_000002	He then selected a long piece of bark, which he lighted at the fire, and, standing behind an angle of the building, he applied the light to the touch-hole.	He then selected a long piece of bark, which he lighted at the fire, and, standing behind an angle of the building, he applied the light to the touch hole.	true	1181.21	1189.84	25.208662
4860_13185_000038_000003	Every man was watching the scrub to see the effect of the discharge.	Every man was watching the scrub to see the effect of the discharge.	true	1190.06	1194.04	21.568005
4860_13185_000038_000004	There was a fearful explosion, succeeded by shrieks of horror and fear from the blacks, as the ball and nails and broken glass went whistling over their heads through the trees.	There was a fearful explosion, succeeded by shrieks of horror and fear from the blacks, as the ball and nails and broken glass went whistling over their heads through the trees.	true	1194.05	1204.62	21.838345
4860_13185_000038_000005	Then there was a moment of complete silence.	Then there was a moment of complete silence.	true	1204.62	1207.09	24.159752
4860_13185_000038_000006	Campbell, like a skilful general, ordered his men to pursue at once the flying foe, in order to reap to the full the fruits of victory, and they ran across the open ground to deliver a volley; but on arriving at the scrub no foe was to be seen, either dead or alive.	Campbell, like a skilful general, ordered his men to pursue at once the flying foe, in order to reap to the full the fruits of victory, and they ran across the open ground to deliver a volley; but on arriving at the scrub no foe was to be seen, either dead or alive.	true	1208.12	1224.67	23.02472
4860_13185_000038_000007	The elevation of the artillery had been too great, and the missiles had passed overhead; but the result was all that could be hoped for, for two months afterwards not a single native was visible.	The elevation of the artillery had been too great, and the missiles had passed overhead; but the result was all that could be hoped for, for two months afterwards not a single native was visible.	true	1225.19	1236.55	22.39134
4860_13185_000039_000000	Two victories had been gained by the pioneers, and it was felt that they deserved some commemoration.	Two victories had been gained by the pioneers, and it was felt that they deserved some commemoration.	true	1236.59	1243.69	20.526575
4860_13185_000039_000001	At night there was a feast around the camp fire; it was of necessity a frugal one, but each member of the small community contributed to it as much as he was able. Campbell produced flour enough for a large damper, a luxury unseen for the last eight weeks; McClure gave tea and sugar; Davy brought out a box full of eggs and a dozen mutton birds; Scutt and Pateley furnished a course of roast flathead; Clancy and Dick the Devil, the poor pirates, gave all the game they had that day killed, viz., two parrots and a wattle bird.	At night there was a feast around the camp fire; it was of necessity a frugal one, but each member of the small community contributed to it as much as he was able. Campbell produced flour enough for a large damper, a luxury unseen for the last eight weeks; McClure gave tea and sugar; Davy brought out a box full of eggs and a dozen mutton birds; Scutt and Pateley furnished a course of roast flathead; Clancy and Dick the Devil, the poor pirates, gave all the game they had that day killed, viz., two parrots and a wattle bird.	false	1244	1279.57	23.042912
4860_13185_000039_000002	The twelve canoes, the spoils of victory, were of little value; they were placed on the camp fire one after another, and reduced to ashes.	The twelve canoes, the spoils of victory, were of little value; they were placed on the camp fire one after another, and reduced to ashes.	true	1280.15	1288.27	24.144098
4860_13185_000040_000000	The warriors sat around on logs and boxes enjoying the good things provided and talking cheerfully, but they made no set speeches. Dinner oratory is full of emptiness and they had plenty of that every day.	The warriors sat around on logs and boxes enjoying the good things provided and talking cheerfully, but they made no set speeches. Dinner oratory is full of emptiness and they had plenty of that every day.	true	1288.4	1301.89	19.745895
4860_13185_000040_000001	They dipped pannikins of tea out of the iron pot.	They dipped pannikins of tea out of the iron pot.	true	1302.11	1305.13	27.484808
4860_13185_000041_000000	When Burke and Wills were starving at Cooper's Creek on a diet of nardoo, the latter recorded in his diary that what the food wanted was sugar; he believed that nardoo and sugar would keep him alive. The pioneers at the Old Port were convinced that their great want was fat; with that their supper would have been perfect.	When Burke and Wills were starving at Cooper's Creek on a diet of nardoo, the latter recorded in his diary that what the food wanted was sugar; he believed that nardoo and sugar would keep him alive. The pioneers at the Old Port were convinced that their great want was fat; with that their supper would have been perfect.	true	1305.62	1326.31	21.58333
4860_13185_000042_000000	McClure was dying of consumption as everybody knew but himself; he could not believe that he had come so far from home only to die, and he joined the revellers at the camp fire.	McClure was dying of consumption as everybody knew but himself; he could not believe that he had come so far from home only to die, and he joined the revellers at the camp fire.	true	1326.92	1337.62	21.215483
4860_13185_000042_000001	He said to kindly enquirers that he felt quite well, and would soon regain his strength.	He said to kindly enquirers that he felt quite well, and would soon regain his strength.	true	1337.87	1343.38	22.744032
4860_13185_000042_000002	Before that terrible journey over the mountains he had been the life and soul of the Port.	Before that terrible journey over the mountains he had been the life and soul of the Port.	true	1343.51	1348.3	20.898985
4860_13185_000042_000003	He could play on the violin, on the bagpipes--both Scotch and Irish--and he was always so pleasant and cheerful, looking as innocent as a child, that no one could be long dispirited in his company, and the most impatient growler became ashamed of himself.	He could play on the violin, on the bagpipes-both Scotch and Irish-and he was always so pleasant and cheerful, looking as innocent as a child, that no one could be long dispirited in his company, and the most impatient growler became ashamed of himself.	true	1348.37	1364.59	21.40529
4860_13185_000043_000000	McClure was persuaded to bring out his violin once more--it had been long silent--and he began playing the liveliest of tunes, strathspeys, jigs, and reels, until some of the men could hardly keep their heels still, but it is hard to dance on loose sand, and they had to be contented with expressing their feelings in song.	McClure was persuaded to bring out his violin once more-it had been long silent-and he began playing the liveliest of tunes, strathspeys, jigs, and reels, until some of the men could hardly keep their heels still, but it is hard to dance on loose sand, and they had to be contented with expressing their feelings in song.	false	1365.02	1385.38	22.594675
4860_13185_000043_000001	Davy sang "Ye Mariners of England," and other songs of the sea; and Pateley Jim gave the "Angel's Whisper," followed by an old ballad of the days of Robin Hood called "The Wedding of Aythur O'Braidley," the violin accompanying the airs and putting the very soul of music into every song.	Davy sang "Ye Mariners of England," and other songs of the sea; and Pateley Jim gave the "Angel's Whisper," followed by an old ballad of the days of Robin Hood called "The Wedding of Aythur O'Braidley," the violin accompanying the airs and putting the very soul of music into every song.	false	1385.69	1404.34	21.269333
4860_13185_000044_000000	But by degrees the musician grew weary, and began to play odds and ends of old tunes, sacred and profane.	But by degrees the musician grew weary, and began to play odds and ends of old tunes, sacred and profane.	true	1404.56	1412.14	21.99579
4860_13185_000044_000001	He dwelt some time on an ancient "Kyrie Eleeson," and at last glided, unconsciously as it were, into the "Land o' the Leal."	He dwelt some time on an ancient "Kyrie Eleeson," and at last glided, unconsciously as it were, into the "Land o' the Leal."	false	1412.54	1421.47	24.338623
4860_13185_000045_000000	I'm wearin' away, Jean, Like snaw wreaths in thaw, Jean, I'm wearin' awa, Jean, To the Land o' the Leal.	I'm wearin' away, Jean, Like snaw wreaths in thaw, Jean, I'm wearin' awa, Jean, To the Land o' the Leal.	false	1421.63	1430.92	21.031477
4860_13185_000046_000000	There's nae sorrow there, Jean, There's nae caul or care, Jean, The days aye fair, Jean, I' the Land of the Leal.	There's nae sorrow there, Jean, There's nae caul or care, Jean, The days aye fair, Jean, I' the Land of the Leal.	false	1431.86	1441	21.19782
4860_13185_000047_000000	At last McClure rose from his seat, and said, "I'll pit awa the fiddle, and bid ye a good nicht.	At last McClure rose from his seat, and said, "I'll pit awa the fiddle, and bid ye a good nicht.	false	1441.58	1447.41	24.150072
4860_13185_000047_000001	I think I'll be going hame to my mither the morn."	I think I'll be going hame to my mither the morn."	false	1447.41	1450.68	22.36404
4860_13185_000048_000000	He went into his tent.	He went into his tent.	true	1450.68	1452.18	25.224962
4860_13185_000048_000001	It was high tide, and there was a gentle swish of long low waves lapping the sandy beach.	It was high tide, and there was a gentle swish of long low waves lapping the sandy beach.	true	1452.18	1458.76	20.99724
4860_13185_000048_000002	The night wind sighed a soothing lullaby through the spines of the she-oak, and his spirit passed peacefully away with the ebb.	The night wind sighed a soothing lullaby through the spines of the she oak, and his spirit passed peacefully away with the ebb.	true	1459.4	1468.75	24.203672
4860_13185_000048_000003	He was the first man who died at the Old Port, and he was buried on the bank of the river where Friday first saw its waters flowing towards the mountain.	He was the first man who died at the Old Port, and he was buried on the bank of the river where Friday first saw its waters flowing towards the mountain.	true	1470.53	1479.97	21.509205
4860_13185_000049_000000	Thirty years afterwards I saw two old men, Campbell and Montgomery, pulling up the long grass which had covered his neglected grave.	Thirty years afterwards I saw two old men, Campbell and Montgomery, pulling up the long grass which had covered his neglected grave.	false	1480.28	1502.4	21.881353
