5606_54666_000000_000000	Everything was oppressively new.	Everything was oppressively new.	true	25.155	27.765	19.898106
5606_54666_000055_000001	To have a gentleman of your birth and breeding for a son-in-law, is of course--but then there is the money question. Suppose you failed with your father after all--_my_ money is out in my speculations--_I_ can do nothing.	To have a gentleman of your birth and breeding for a son in law, is of course-but then there is the money question. Suppose you failed with your father after all-underscore my underscore money is out in my speculations-underscore I underscore can do nothing.	false	1030.1	1042.69	18.99815
5606_54666_000055_000002	Upon my word, you have placed me in a position that I never was placed in before."	Upon my word, you have placed me in a position that I never was placed in before."	false	1043	1047.13	17.095213
5606_54666_000056_000000	"I have influential friends, Mr. Sherwin, in many directions--there are appointments, good appointments, which would be open to me, if I pushed my interests.	"I have influential friends, mr Sherwin, in many directions-there are appointments, good appointments, which would be open to me, if I pushed my interests.	true	1048.46	1057.45	18
5606_54666_000056_000001	I might provide in this way against the chance of failure."	I might provide in this way against the chance of failure."	true	1057.58	1060.69	19.52047
5606_54666_000057_000000	"Ah!--well--yes.	"Ah!--well-yes.	false	1061.12	1062.86	21.332788
5606_54666_000057_000001	There's something in that, certainly."	There's something in that, certainly."	true	1062.86	1064.89	20.66809
5606_54666_000058_000000	"I can only assure you that my attachment to Miss Sherwin is not of a nature to be overcome by any pecuniary considerations.	"I can only assure you that my attachment to Miss Sherwin is not of a nature to be overcome by any pecuniary considerations.	true	1065.32	1072.6	15
5606_54666_000058_000001	I speak in all our interests, when I say that a private marriage gives us a chance for the future, as opportunities arise of gradually disclosing it.	I speak in all our interests, when I say that a private marriage gives us a chance for the future, as opportunities arise of gradually disclosing it.	true	1072.88	1081.42	20.368452
5606_54666_000058_000002	My offer to you may be made under some disadvantages and difficulties, perhaps; for, with the exception of a very small independence, left me by my mother, I have no certain prospects.	My offer to you may be made under some disadvantages and difficulties, perhaps; for, with the exception of a very small independence, left me by my mother, I have no certain prospects.	true	1081.76	1094.35	19.679075
5606_54666_000058_000003	But I really think my proposals have some compensating advantages to recommend them--"	But I really think my proposals have some compensating advantages to recommend them-"	true	1094.54	1099.33	17
5606_54666_000059_000000	"Certainly! most decidedly so!	"Certainly! most decidedly so!	true	1099.82	1102.53	21.750994
5606_54666_000059_000001	I am not insensible, my dear Sir, to the great advantage, and honour, and so forth.	I am not insensible, my dear Sir, to the great advantage, and honour, and so forth.	true	1102.53	1107.06	12
5606_54666_000059_000002	But there is something so unusual about the whole affair.	But there is something so unusual about the whole affair.	true	1107.06	1111.78	19.202026
5606_54666_000059_000003	What would be my feelings, if your father should not come round, and my dear girl was disowned by the family?	What would be my feelings, if your father should not come round, and my dear girl was disowned by the family?	false	1111.88	1118.32	19
5606_54666_000059_000004	Well, well! that could hardly happen, I think, with her accomplishments and education, and manners too, so distinguished--though perhaps I ought not to say so.	Well, well! that could hardly happen, I think, with her accomplishments and education, and manners too, so distinguished-though perhaps I ought not to say so.	false	1118.72	1127.74	19.985918
5606_54666_000059_000005	Her schooling alone was a hundred a-year, Sir, without including extras--"	Her schooling alone was a hundred a year, Sir, without including extras-"	false	1128.89	1132.78	16
5606_54666_000060_000000	"I am sure, Mr. Sherwin--"	"I am sure, mr Sherwin-"	true	1132.88	1134.96	21.703499
5606_54666_000061_000000	"--A school, Sir, where it was a rule to take in no thing lower than the daughter of a professional man--they only waived the rule in my case--the most genteel school, perhaps, in all London!	"--A school, Sir, where it was a rule to take in no thing lower than the daughter of a professional man-they only waived the rule in my case-the most genteel school, perhaps, in all London!	true	1134.96	1146.91	18
5606_54666_000061_000001	A drawing-room-deportment day once every week--the girls taught how to enter a room and leave a room with dignity and ease--a model of a carriage door and steps, in the back drawing-room, to practise the girls (with the footman of the establishment in attendance) in getting into a carriage and getting out again, in a lady-like manner!	A drawing room deportment day once every week-the girls taught how to enter a room and leave a room with dignity and ease-a model of a carriage door and steps, in the back drawing room, to practise the girls (with the footman of the establishment in attendance) in getting into a carriage and getting out again, in a lady like manner!	true	1146.92	1164.67	19
5606_54666_000061_000002	No duchess has had a better education than my Margaret!--"	No duchess has had a better education than my Margaret!--"	true	1164.67	1168.06	22.25771
5606_54666_000062_000000	"Permit me to assure you, Mr. Sherwin--"	"Permit me to assure you, mr Sherwin-"	true	1168.19	1170.57	21
5606_54666_000063_000000	"And then, her knowledge of languages--her French, and Italian, and German, not discontinued in holidays, or after she left school (she has only just left it); but all kept up and improved every evening, by the kind attention of Mr. Mannion--"	"And then, her knowledge of languages-her French, and Italian, and German, not discontinued in holidays, or after she left school (she has only just left it); but all kept up and improved every evening, by the kind attention of mr Mannion-"	false	1170.57	1185.13	19.69017
5606_54666_000064_000000	"May I ask who Mr. Mannion is?"	"May I ask who mr Mannion is?"	true	1185.47	1188.31	20.58278
5606_54666_000064_000001	The tone in which I put this question, cooled his enthusiasm about his daughter's education immediately.	The tone in which I put this question, cooled his enthusiasm about his daughter's education immediately.	true	1188.8	1194.61	16
5606_54666_000064_000002	He answered in his former tones, and with one of his former bows:	He answered in his former tones, and with one of his former bows:	false	1195.1	1199.97	20.550016
5606_54666_000065_000000	"Mr. Mannion is my confidential clerk, Sir--a most superior person, most highly talented, and well read, and all that."	"mr Mannion is my confidential clerk, Sir-a most superior person, most highly talented, and well read, and all that."	false	1199.97	1207.3	22.323793
5606_54666_000066_000000	"Is he a young man?"	"Is he a young man?"	true	1208.54	1210.66	19.77965
5606_54666_000067_000000	"Young!	"Young!	true	1211.15	1211.98	19.20712
5606_54666_000067_000001	Oh, dear no! Mr. Mannion is forty, or a year or two more, if he's a day--an admirable man of business, as well as a great scholar. He's at Lyons now, buying silks for me.	Oh, dear no! mr Mannion is forty, or a year or two more, if he's a day-an admirable man of business, as well as a great scholar. He's at Lyons now, buying silks for me.	false	1211.98	1223.77	18
5606_54666_000067_000002	When he comes back I shall be delighted to introduce---"	When he comes back I shall be delighted to introduce---"	true	1223.78	1226.22	18
5606_54666_000068_000000	"I beg your pardon, but I think we are wandering away from the point, a little."	"I beg your pardon, but I think we are wandering away from the point, a little."	false	1226.22	1230.34	19.215977
5606_54666_000069_000000	"I beg _yours_--so we are.	"I beg underscore yours underscore--so we are.	false	1230.68	1232.6	19.374348
5606_54666_000069_000001	Well, my dear Sir, I must be allowed a day or two--say two days--to ascertain what my daughter's feelings are, and to consider your proposals, which have taken me very much by surprise, as you may in fact see.	Well, my dear Sir, I must be allowed a day or two-say two days-to ascertain what my daughter's feelings are, and to consider your proposals, which have taken me very much by surprise, as you may in fact see.	true	1232.6	1244.2	19
5606_54666_000069_000002	But I assure you I am most flattered, most honoured, most anxious--".	But I assure you I am most flattered, most honoured, most anxious-".	true	1244.21	1249.81	19.738441
5606_54666_000070_000000	"I hope you will consider my anxieties, Mr. Sherwin, and let me know the result of your deliberations as soon as possible."	"I hope you will consider my anxieties, mr Sherwin, and let me know the result of your deliberations as soon as possible."	true	1250.39	1257.67	18
5606_54666_000071_000000	"Without fail, depend upon it.	"Without fail, depend upon it.	true	1257.95	1260.08	23.727152
5606_54666_000071_000001	Let me see: shall we say the second day from this, at the same time, if you can favour me with a visit?"	Let me see: shall we say the second day from this, at the same time, if you can favour me with a visit?"	false	1260.08	1265.56	20.562521
5606_54666_000072_000000	"Certainly."	"Certainly."	true	1265.75	1266.7	26.030481
5606_54666_000073_000000	"And between that time and this, you will engage not to hold any communication with my daughter?"	"And between that time and this, you will engage not to hold any communication with my daughter?"	true	1266.98	1272.13	20
5606_54666_000074_000000	"I promise not, Mr. Sherwin--because I believe that your answer will be favourable."	"I promise not, mr Sherwin-because I believe that your answer will be favourable."	true	1272.35	1277.23	21.520813
5606_54666_000075_000000	"Ah, well--well! lovers, they say, should never despair.	"Ah, well-well! lovers, they say, should never despair.	false	1277.3	1281.37	21.3201
5606_54666_000075_000001	A little consideration, and a little talk with my dear girl--really now, won't you change your mind and have a glass of sherry?	A little consideration, and a little talk with my dear girl-really now, won't you change your mind and have a glass of sherry?	false	1281.56	1288.74	20.394491
5606_54666_000075_000002	(No again?) Very well, then, the day after tomorrow, at five o'clock."	(No again?) Very well, then, the day after tomorrow, at five o'clock."	true	1288.74	1293.16	19.995605
5606_54666_000076_000000	With a louder crack than ever, the brand-new drawing-room door was opened to let me out.	With a louder crack than ever, the brand new drawing room door was opened to let me out.	true	1293.17	1298.59	19.453342
5606_54666_000076_000001	The noise was instantly succeeded by the rustling of a silk dress, and the banging of another door, at the opposite end of the passage.	The noise was instantly succeeded by the rustling of a silk dress, and the banging of another door, at the opposite end of the passage.	true	1298.75	1305.55	19.28891
5606_54666_000076_000002	Had anybody been listening?	Had anybody been listening?	true	1305.86	1307.59	16.756735
5606_54666_000076_000003	Where was Margaret?	Where was Margaret?	false	1307.75	1333.77	20.216894
