3340_169293_000000_000000	Chapter XIV.	Chapter fourteen.	false	0.12	20.235	20.05164
3340_169293_000033_000001	I knew that I was right, and that time and the sober second thought of the people would vindicate me.	I knew that I was right, and that time and the sober second thought of the people would vindicate me.	true	1022.66	1027.55	19
3340_169293_000033_000002	It was not long before the bishops and other church leaders began to make careful investigation of the conditions of the ministry, and they found out that I was right.	It was not long before the bishops and other church leaders began to make careful investigation of the conditions of the ministry, and they found out that I was right.	true	1027.55	1035.88	12
3340_169293_000033_000003	In fact, the oldest and most influential bishop in one branch of the Methodist Church said that my words were far too mild.	In fact, the oldest and most influential bishop in one branch of the Methodist Church said that my words were far too mild.	true	1035.98	1042.5	15
3340_169293_000033_000004	Very soon public sentiment began making itself felt, in demanding a purifying of the ministry.	Very soon public sentiment began making itself felt, in demanding a purifying of the ministry.	true	1042.5	1047.91	16
3340_169293_000033_000005	While this is not yet complete by any means, I think I may say, without egotism, and I have been told by many of our most influential ministers, that my words had much to do with starting a demand for the placing of a higher type of men in the pulpit.	While this is not yet complete by any means, I think I may say, without egotism, and I have been told by many of our most influential ministers, that my words had much to do with starting a demand for the placing of a higher type of men in the pulpit.	false	1048.01	1060.78	12
3340_169293_000033_000006	I have had the satisfaction of having many who once condemned me thank me heartily for my frank words.	I have had the satisfaction of having many who once condemned me thank me heartily for my frank words.	true	1061.21	1066.83	17
3340_169293_000034_000000	The change of the attitude of the Negro ministry, so far as regards myself, is so complete that at the present time I have no warmer friends among any class than I have among the clergymen.	The change of the attitude of the Negro ministry, so far as regards myself, is so complete that at the present time I have no warmer friends among any class than I have among the clergymen.	true	1066.83	1076.2	12
3340_169293_000034_000001	The improvement in the character and life of the Negro ministers is one of the most gratifying evidences of the progress of the race.	The improvement in the character and life of the Negro ministers is one of the most gratifying evidences of the progress of the race.	true	1076.2	1082.65	11
3340_169293_000034_000002	My experience with them, as well as other events in my life, convince me that the thing to do, when one feels sure that he has said or done the right thing, and is condemned, is to stand still and keep quiet.	My experience with them, as well as other events in my life, convince me that the thing to do, when one feels sure that he has said or done the right thing, and is condemned, is to stand still and keep quiet.	true	1082.81	1094.38	15
3340_169293_000034_000003	If he is right, time will show it.	If he is right, time will show it.	true	1094.42	1096.66	23.047379
3340_169293_000035_000000	In the midst of the discussion which was going on concerning my Atlanta speech, I received the letter which I give below, from Dr. Gilman, the President of Johns Hopkins University, who had been made chairman of the judges of award in connection with the Atlanta Exposition:--	In the midst of the discussion which was going on concerning my Atlanta speech, I received the letter which I give below, from dr Gilman, the President of Johns Hopkins University, who had been made chairman of the judges of award in connection with the Atlanta Exposition:--	true	1097.3	1111.87	14
3340_169293_000036_000000	Johns Hopkins University, Baltimore,	Johns Hopkins University, Baltimore,	true	1112.93	1115.62	20
3340_169293_000037_000000	President's Office, September 30, 1895.	President's Office, september thirtieth eighteen ninety five.	true	1116.05	1119.97	21.222843
3340_169293_000038_000000	Dear Mr. Washington: Would it be agreeable to you to be one of the Judges of Award in the Department of Education at Atlanta?	Dear mr Washington: Would it be agreeable to you to be one of the judges of Award in the Department of Education at Atlanta?	true	1120.52	1127.98	18.147732
3340_169293_000038_000001	If so, I shall be glad to place your name upon the list.	If so, I shall be glad to place your name upon the list.	true	1128.32	1131.43	16
3340_169293_000038_000002	A line by telegraph will be welcomed.	A line by telegraph will be welcomed.	true	1131.43	1133.83	20.252083
3340_169293_000039_000000	Yours very truly,	Yours very truly,	true	1133.93	1135.33	22.641834
3340_169293_000040_000000	D.C. Gilman	d c Gilman	true	1135.49	1136.8	21.386093
3340_169293_000041_000000	I think I was even more surprised to receive this invitation than I had been to receive the invitation to speak at the opening of the Exposition.	I think I was even more surprised to receive this invitation than I had been to receive the invitation to speak at the opening of the Exposition.	true	1137.47	1144.48	11
3340_169293_000041_000001	It was to be a part of my duty, as one of the jurors, to pass not only upon the exhibits of the coloured schools, but also upon those of the white schools.	It was to be a part of my duty, as one of the jurors, to pass not only upon the exhibits of the coloured schools, but also upon those of the white schools.	false	1144.48	1152.58	13
3340_169293_000041_000002	I accepted the position, and spent a month in Atlanta in performance of the duties which it entailed.	I accepted the position, and spent a month in Atlanta in performance of the duties which it entailed.	true	1152.59	1157.54	15
3340_169293_000041_000003	The board of jurors was a large one, containing in all of sixty members.	The board of jurors was a large one, containing in all of sixty members.	true	1157.54	1161.35	12
3340_169293_000041_000004	It was about equally divided between Southern white people and Northern white people. Among them were college presidents, leading scientists and men of letters, and specialists in many subjects.	It was about equally divided between Southern white people and Northern white people. Among them were college presidents, leading scientists and men of letters, and specialists in many subjects.	true	1161.35	1171.06	13
3340_169293_000041_000005	When the group of jurors to which I was assigned met for organization, Mr. Thomas Nelson Page, who was one of the number, moved that I be made secretary of that division, and the motion was unanimously adopted.	When the group of jurors to which I was assigned met for organization, mr Thomas Nelson Page, who was one of the number, moved that I be made secretary of that division, and the motion was unanimously adopted.	true	1171.16	1182.53	14
3340_169293_000041_000006	Nearly half of our division were Southern people.	Nearly half of our division were Southern people.	true	1182.53	1184.91	16
3340_169293_000041_000007	In performing my duties in the inspection of the exhibits of white schools I was in every case treated with respect, and at the close of our labours I parted from my associates with regret.	In performing my duties in the inspection of the exhibits of white schools I was in every case treated with respect, and at the close of our labours I parted from my associates with regret.	false	1184.91	1194.58	18
3340_169293_000042_000000	I am often asked to express myself more freely than I do upon the political condition and the political future of my race.	I am often asked to express myself more freely than I do upon the political condition and the political future of my race.	false	1195.37	1201.48	14
3340_169293_000042_000001	These recollections of my experience in Atlanta give me the opportunity to do so briefly.	These recollections of my experience in Atlanta give me the opportunity to do so briefly.	true	1201.61	1206.4	15
3340_169293_000042_000002	My own belief is, although I have never before said so in so many words, that the time will come when the Negro in the South will be accorded all the political rights which his ability, character, and material possessions entitle him to.	My own belief is, although I have never before said so in so many words, that the time will come when the Negro in the South will be accorded all the political rights which his ability, character, and material possessions entitle him to.	true	1206.44	1218.57	14
3340_169293_000042_000003	I think, though, that the opportunity to freely exercise such political rights will not come in any large degree through outside or artificial forcing, but will be accorded to the Negro by the Southern white people themselves, and that they will protect him in the exercise of those rights.	I think, though, that the opportunity to freely exercise such political rights will not come in any large degree through outside or artificial forcing, but will be accorded to the Negro by the Southern white people themselves, and that they will protect him in the exercise of those rights.	true	1218.57	1233.22	13
3340_169293_000042_000004	Just as soon as the South gets over the old feeling that it is being forced by "foreigners," or "aliens," to do something which it does not want to do, I believe that the change in the direction that I have indicated is going to begin.	Just as soon as the South gets over the old feeling that it is being forced by "foreigners," or "aliens," to do something which it does not want to do, I believe that the change in the direction that I have indicated is going to begin.	true	1233.22	1244.65	12
3340_169293_000042_000005	In fact, there are indications that it is already beginning in a slight degree.	In fact, there are indications that it is already beginning in a slight degree.	true	1244.87	1249.29	16
3340_169293_000043_000000	Let me illustrate my meaning.	Let me illustrate my meaning.	true	1249.29	1251.06	22.994816
3340_169293_000043_000001	Suppose that some months before the opening of the Atlanta Exposition there had been a general demand from the press and public platform outside the South that a Negro be given a place on the opening programme, and that a Negro be placed upon the board of jurors of award.	Suppose that some months before the opening of the Atlanta Exposition there had been a general demand from the press and public platform outside the South that a Negro be given a place on the opening programme, and that a Negro be placed upon the board of jurors of award.	true	1251.06	1264.34	11
3340_169293_000043_000002	Would any such recognition of the race have taken place?	Would any such recognition of the race have taken place?	true	1264.34	1267.09	14
3340_169293_000043_000003	I do not think so.	I do not think so.	true	1267.13	1268.44	22.305077
3340_169293_000043_000004	The Atlanta officials went as far as they did because they felt it to be a pleasure, as well as a duty, to reward what they considered merit in the Negro race.	The Atlanta officials went as far as they did because they felt it to be a pleasure, as well as a duty, to reward what they considered merit in the Negro race.	true	1268.44	1276.36	14
3340_169293_000043_000005	Say what we will, there is something in human nature which we cannot blot out, which makes one man, in the end, recognize and reward merit in another, regardless of colour or race.	Say what we will, there is something in human nature which we cannot blot out, which makes one man, in the end, recognize and reward merit in another, regardless of colour or race.	true	1276.43	1286.35	15
3340_169293_000044_000000	I believe it is the duty of the Negro--as the greater part of the race is already doing--to deport himself modestly in regard to political claims, depending upon the slow but sure influences that proceed from the possession of property, intelligence, and high character for the full recognition of his political rights.	I believe it is the duty of the Negro-as the greater part of the race is already doing-to deport himself modestly in regard to political claims, depending upon the slow but sure influences that proceed from the possession of property, intelligence, and high character for the full recognition of his political rights.	true	1286.42	1303.18	12
3340_169293_000044_000001	I think that the according of the full exercise of political rights is going to be a matter of natural, slow growth, not an over-night, gourd-vine affair.	I think that the according of the full exercise of political rights is going to be a matter of natural, slow growth, not an over night, gourd vine affair.	true	1303.18	1311.4	13
3340_169293_000044_000002	I do not believe that the Negro should cease voting, for a man cannot learn the exercise of self-government by ceasing to vote, any more than a boy can learn to swim by keeping out of the water, but I do believe that in his voting he should more and more be influenced by those of intelligence and character who are his next-door neighbours.	I do not believe that the Negro should cease voting, for a man cannot learn the exercise of self government by ceasing to vote, any more than a boy can learn to swim by keeping out of the water, but I do believe that in his voting he should more and more be influenced by those of intelligence and character who are his next door neighbours.	false	1311.65	1328.16	12
3340_169293_000045_000000	I know coloured men who, through the encouragement, help, and advice of Southern white people, have accumulated thousands of dollars' worth of property, but who, at the same time, would never think of going to those same persons for advice concerning the casting of their ballots.	I know coloured men who, through the encouragement, help, and advice of Southern white people, have accumulated thousands of dollars' worth of property, but who, at the same time, would never think of going to those same persons for advice concerning the casting of their ballots.	false	1328.16	1342.02	14
3340_169293_000045_000001	This, it seems to me, is unwise and unreasonable, and should cease.	This, it seems to me, is unwise and unreasonable, and should cease.	true	1342.02	1345.96	13
3340_169293_000045_000002	In saying this I do not mean that the Negro should truckle, or not vote from principle, for the instant he ceases to vote from principle he loses the confidence and respect of the Southern white man even.	In saying this I do not mean that the Negro should truckle, or not vote from principle, for the instant he ceases to vote from principle he loses the confidence and respect of the Southern white man even.	true	1346.03	1356.04	14
3340_169293_000046_000000	I do not believe that any state should make a law that permits an ignorant and poverty-stricken white man to vote, and prevents a black man in the same condition from voting.	I do not believe that any state should make a law that permits an ignorant and poverty stricken white man to vote, and prevents a black man in the same condition from voting.	true	1356.2	1364.02	13
3340_169293_000046_000001	Such a law is not only unjust, but it will react, as all unjust laws do, in time; for the effect of such a law is to encourage the Negro to secure education and property, and at the same time it encourages the white man to remain in ignorance and poverty.	Such a law is not only unjust, but it will react, as all unjust laws do, in time; for the effect of such a law is to encourage the Negro to secure education and property, and at the same time it encourages the white man to remain in ignorance and poverty.	true	1364.03	1377.79	13
3340_169293_000046_000002	I believe that in time, through the operation of intelligence and friendly race relations, all cheating at the ballot-box in the South will cease.	I believe that in time, through the operation of intelligence and friendly race relations, all cheating at the ballot box in the South will cease.	true	1377.86	1385.34	12
3340_169293_000046_000003	It will become apparent that the white man who begins by cheating a Negro out of his ballot soon learns to cheat a white man out of his, and that the man who does this ends his career of dishonesty by the theft of property or by some equally serious crime.	It will become apparent that the white man who begins by cheating a Negro out of his ballot soon learns to cheat a white man out of his, and that the man who does this ends his career of dishonesty by the theft of property or by some equally serious crime.	true	1385.34	1398.12	13
3340_169293_000046_000004	In my opinion, the time will come when the South will encourage all of its citizens to vote.	In my opinion, the time will come when the South will encourage all of its citizens to vote.	true	1398.12	1402.42	14
3340_169293_000046_000005	It will see that it pays better, from every standpoint, to have healthy, vigorous life than to have that political stagnation which always results when one-half of the population has no share and no interest in the Government.	It will see that it pays better, from every standpoint, to have healthy, vigorous life than to have that political stagnation which always results when one half of the population has no share and no interest in the Government.	false	1402.42	1445.25	19.768364
